,IFF US Equity
,RSI_30D
2021-01-12,61.6143
2021-01-13,56.9462
2021-01-14,55.4077
2021-01-15,53.3142
2021-01-16,53.3142
2021-01-17,53.3142
2021-01-18,53.3142
2021-01-19,55.3728
2021-01-20,55.1233
2021-01-21,51.3657
2021-01-22,51.1976
2021-01-23,51.1976
2021-01-24,51.1976
2021-01-25,51.6457
2021-01-26,49.3471
2021-01-27,46.9401
2021-01-28,50.5264
2021-01-29,48.3394
2021-01-30,48.3394
2021-01-31,48.3394
2021-02-01,60.3037
2021-02-02,55.8463
2021-02-03,58.0361
2021-02-04,57.0722
2021-02-05,57.1386
2021-02-06,57.1386
2021-02-07,57.1386
2021-02-08,57.247
2021-02-09,57.6551
2021-02-10,61.7653
2021-02-11,62.3605
2021-02-12,60.1722
2021-02-13,60.1722
2021-02-14,60.1722
2021-02-15,60.1722
2021-02-16,61.6269
2021-02-17,62.0224
2021-02-18,62.1672
2021-02-19,62.9756
2021-02-20,62.9756
2021-02-21,62.9756
2021-02-22,63.5269
2021-02-23,62.0481
2021-02-24,61.3543
2021-02-25,59.9848
2021-02-26,58.9813
2021-02-27,58.9813
2021-02-28,58.9813
2021-03-01,61.1656
2021-03-02,59.3686
2021-03-03,54.8509
2021-03-04,54.1898
2021-03-05,56.0366
2021-03-06,56.0366
2021-03-07,56.0366
2021-03-08,54.0532
2021-03-09,54.1072
2021-03-10,56.7242
2021-03-11,57.093
2021-03-12,56.2128
2021-03-13,56.2128
2021-03-14,56.2128
2021-03-15,57.4962
2021-03-16,57.398
2021-03-17,58.1836
2021-03-18,58.0228
2021-03-19,57.6639
2021-03-20,57.6639
2021-03-21,57.6639
2021-03-22,57.654
2021-03-23,56.3439
2021-03-24,56.6807
2021-03-25,59.5147
2021-03-26,60.3098
2021-03-27,60.3098
2021-03-28,60.3098
2021-03-29,60.8755
2021-03-30,59.1532
2021-03-31,58.9982
2021-04-01,58.1428
2021-04-02,58.1428
2021-04-03,58.1428
2021-04-04,58.1428
2021-04-05,58.2664
2021-04-06,59.8439
2021-04-07,57.0358
2021-04-08,56.8994
2021-04-09,58.524
2021-04-10,58.524
2021-04-11,58.524
2021-04-12,58.702
