,ETR US Equity
,RSI_30D
2020-05-21,48.381
2020-05-22,48.5997
2020-05-23,48.5997
2020-05-24,48.5997
2020-05-25,48.5997
2020-05-26,49.7866
2020-05-27,49.6069
2020-05-28,51.9974
2020-05-29,51.1262
2020-05-30,51.1262
2020-05-31,51.1262
2020-06-01,51.7021
2020-06-02,52.2771
2020-06-03,52.6272
2020-06-04,50.5152
2020-06-05,52.2778
2020-06-06,52.2778
2020-06-07,52.2778
2020-06-08,53.7502
2020-06-09,51.7984
2020-06-10,50.9355
2020-06-11,47.1094
2020-06-12,46.8741
2020-06-13,46.8741
2020-06-14,46.8741
2020-06-15,47.4711
2020-06-16,48.0436
2020-06-17,47.421
2020-06-18,47.7752
2020-06-19,45.5744
2020-06-20,45.5744
2020-06-21,45.5744
2020-06-22,47.6263
2020-06-23,46.1781
2020-06-24,45.105
2020-06-25,44.2834
2020-06-26,43.7812
2020-06-27,43.7812
2020-06-28,43.7812
2020-06-29,45.7013
2020-06-30,45.7376
2020-07-01,48.34
2020-07-02,48.463
2020-07-03,48.463
2020-07-04,48.463
2020-07-05,48.463
2020-07-06,48.0739
2020-07-07,47.6012
2020-07-08,48.5994
2020-07-09,48.1923
2020-07-10,49.8342
2020-07-11,49.8342
2020-07-12,49.8342
2020-07-13,48.1534
2020-07-14,49.4114
2020-07-15,48.1102
2020-07-16,50.152
2020-07-17,52.1197
2020-07-18,52.1197
2020-07-19,52.1197
2020-07-20,50.1308
2020-07-21,51.2204
2020-07-22,54.4013
2020-07-23,55.1533
2020-07-24,53.7519
2020-07-25,53.7519
2020-07-26,53.7519
2020-07-27,52.8028
2020-07-28,53.6584
2020-07-29,54.97
2020-07-30,55.4259
2020-07-31,55.8699
2020-08-01,55.8699
2020-08-02,55.8699
2020-08-03,53.0684
2020-08-04,53.5864
2020-08-05,50.5913
2020-08-06,52.485
2020-08-07,54.6998
2020-08-08,54.6998
2020-08-09,54.6998
2020-08-10,55.6259
2020-08-11,51.8073
2020-08-12,52.2553
2020-08-13,52.3333
2020-08-14,51.4634
2020-08-15,51.4634
2020-08-16,51.4634
2020-08-17,51.1009
2020-08-18,50.5429
2020-08-19,49.3064
2020-08-20,47.9083
2020-08-21,48.4049
2020-08-22,48.4049
2020-08-23,48.4049
2020-08-24,49.0155
2020-08-25,48.0694
2020-08-26,46.2992
2020-08-27,47.5838
2020-08-28,49.6796
2020-08-29,49.6796
2020-08-30,49.6796
2020-08-31,49.899
2020-09-01,48.1494
2020-09-02,51.5321
2020-09-03,48.6156
2020-09-04,48.5011
2020-09-05,48.5011
2020-09-06,48.5011
2020-09-07,48.5011
2020-09-08,48.5638
2020-09-09,49.1019
2020-09-10,46.1077
2020-09-11,45.6506
2020-09-12,45.6506
2020-09-13,45.6506
2020-09-14,47.3645
2020-09-15,47.1465
2020-09-16,47.5626
2020-09-17,48.6636
2020-09-18,45.888
2020-09-19,45.888
2020-09-20,45.888
2020-09-21,45.1613
2020-09-22,48.5998
2020-09-23,46.0286
2020-09-24,46.8692
2020-09-25,48.5017
2020-09-26,48.5017
2020-09-27,48.5017
2020-09-28,48.1193
2020-09-29,46.9701
2020-09-30,50.6922
2020-10-01,54.0301
2020-10-02,56.6465
2020-10-03,56.6465
2020-10-04,56.6465
2020-10-05,57.8609
2020-10-06,59.127
2020-10-07,57.1917
2020-10-08,59.727
2020-10-09,57.808
2020-10-10,57.808
2020-10-11,57.808
2020-10-12,58.1658
2020-10-13,58.4574
2020-10-14,57.3933
2020-10-15,56.7403
2020-10-16,58.248
2020-10-17,58.248
2020-10-18,58.248
2020-10-19,56.25
2020-10-20,57.2536
2020-10-21,57.9789
2020-10-22,59.296
2020-10-23,60.2891
2020-10-24,60.2891
2020-10-25,60.2891
2020-10-26,60.355
2020-10-27,57.9484
2020-10-28,51.0499
2020-10-29,49.3483
2020-10-30,49.0179
2020-10-31,49.0179
2020-11-01,49.0179
2020-11-02,54.0602
2020-11-03,57.0967
2020-11-04,53.9391
2020-11-05,55.0664
2020-11-06,52.6854
2020-11-07,52.6854
2020-11-08,52.6854
2020-11-09,56.9592
2020-11-10,57.9227
2020-11-11,58.4828
2020-11-12,55.8184
2020-11-13,57.205
2020-11-14,57.205
2020-11-15,57.205
2020-11-16,60.4303
2020-11-17,59.3857
2020-11-18,57.1523
2020-11-19,55.6597
2020-11-20,55.6695
2020-11-21,55.6695
2020-11-22,55.6695
2020-11-23,56.4083
2020-11-24,57.2841
2020-11-25,58.8862
2020-11-26,58.8862
2020-11-27,57.879
2020-11-28,57.879
2020-11-29,57.879
2020-11-30,54.4181
2020-12-01,54.4181
2020-12-02,54.1057
2020-12-03,51.5909
2020-12-04,51.697
2020-12-05,51.697
2020-12-06,51.697
2020-12-07,51.5411
2020-12-08,49.832
2020-12-09,48.7798
2020-12-10,47.2865
2020-12-11,46.6949
2020-12-12,46.6949
2020-12-13,46.6949
2020-12-14,45.0317
2020-12-15,46.7087
2020-12-16,44.2272
2020-12-17,44.3155
2020-12-18,43.672
2020-12-19,43.672
2020-12-20,43.672
2020-12-21,40.3078
2020-12-22,39.2546
2020-12-23,38.6954
2020-12-24,38.5691
2020-12-25,38.5691
2020-12-26,38.5691
2020-12-27,38.5691
2020-12-28,39.1003
2020-12-29,40.9409
2020-12-30,44.0201
2020-12-31,45.8642
2021-01-01,45.8642
2021-01-02,45.8642
2021-01-03,45.8642
2021-01-04,43.5984
2021-01-05,42.0598
2021-01-06,44.4293
2021-01-07,40.6215
2021-01-08,41.614
2021-01-09,41.614
2021-01-10,41.614
2021-01-11,40.4309
2021-01-12,38.6829
2021-01-13,40.1867
2021-01-14,40.7406
2021-01-15,42.701
2021-01-16,42.701
2021-01-17,42.701
2021-01-18,42.701
2021-01-19,42.5495
2021-01-20,42.0746
2021-01-21,40.8367
2021-01-22,41.3467
2021-01-23,41.3467
2021-01-24,41.3467
2021-01-25,42.6759
2021-01-26,42.5991
2021-01-27,41.2176
2021-01-28,45.0736
2021-01-29,44.3544
2021-01-30,44.3544
2021-01-31,44.3544
2021-02-01,44.1117
2021-02-02,45.2819
2021-02-03,43.9655
2021-02-04,46.6616
2021-02-05,46.9291
2021-02-06,46.9291
2021-02-07,46.9291
2021-02-08,43.8574
2021-02-09,44.7749
2021-02-10,46.4986
2021-02-11,45.8765
2021-02-12,46.3188
2021-02-13,46.3188
2021-02-14,46.3188
2021-02-15,46.3188
2021-02-16,44.5996
2021-02-17,43.774
2021-02-18,45.1617
2021-02-19,44.0225
2021-02-20,44.0225
2021-02-21,44.0225
2021-02-22,38.5268
2021-02-23,42.3067
2021-02-24,40.8211
2021-02-25,38.55
2021-02-26,37.1861
2021-02-27,37.1861
2021-02-28,37.1861
2021-03-01,38.913
2021-03-02,40.6886
2021-03-03,39.1239
2021-03-04,39.4139
2021-03-05,42.157
2021-03-06,42.157
2021-03-07,42.157
2021-03-08,43.9139
2021-03-09,44.9056
2021-03-10,50.561
2021-03-11,49.0233
2021-03-12,52.3388
2021-03-13,52.3388
2021-03-14,52.3388
2021-03-15,55.2966
2021-03-16,56.2216
2021-03-17,56.2576
2021-03-18,54.8723
2021-03-19,55.3705
2021-03-20,55.3705
2021-03-21,55.3705
2021-03-22,54.1651
2021-03-23,54.7418
2021-03-24,53.6378
2021-03-25,54.8566
2021-03-26,55.0372
2021-03-27,55.0372
2021-03-28,55.0372
2021-03-29,56.0449
2021-03-30,55.1569
2021-03-31,56.3169
2021-04-01,56.5608
2021-04-02,56.5608
2021-04-03,56.5608
2021-04-04,56.5608
2021-04-05,57.8362
2021-04-06,59.7193
2021-04-07,59.359
2021-04-08,58.4669
2021-04-09,58.1791
2021-04-10,58.1791
2021-04-11,58.1791
2021-04-12,59.4046
2021-04-13,61.433
2021-04-14,62.4703
2021-04-15,64.2898
2021-04-16,65.5754
2021-04-17,65.5754
2021-04-18,65.5754
2021-04-19,65.4361
2021-04-20,67.133
2021-04-21,66.3917
2021-04-22,63.8506
2021-04-23,63.9958
2021-04-24,63.9958
2021-04-25,63.9958
2021-04-26,64.3859
2021-04-27,63.2612
2021-04-28,63.3188
2021-04-29,66.0849
2021-04-30,66.9819
2021-05-01,66.9819
2021-05-02,66.9819
2021-05-03,66.8252
2021-05-04,66.5033
2021-05-05,63.2695
2021-05-06,64.2856
2021-05-07,65.2652
2021-05-08,65.2652
2021-05-09,65.2652
2021-05-10,66.3872
2021-05-11,61.0803
2021-05-12,54.2821
2021-05-13,57.6561
2021-05-14,59.2543
2021-05-15,59.2543
2021-05-16,59.2543
2021-05-17,56.0129
2021-05-18,56.0279
