,WERN US Equity
,RSI_30D
2020-08-09,50.592
2020-08-10,52.5911
2020-08-11,54.5901
2020-08-12,56.4284
2020-08-13,53.6607
2020-08-14,53.9394
2020-08-15,53.9394
2020-08-16,53.9394
2020-08-17,54.1589
2020-08-18,54.406
2020-08-19,55.5333
2020-08-20,56.4795
2020-08-21,58.8959
2020-08-22,58.8959
2020-08-23,58.8959
2020-08-24,58.131
2020-08-25,57.3897
2020-08-26,58.9911
2020-08-27,58.8983
2020-08-28,58.1099
2020-08-29,58.1099
2020-08-30,58.1099
2020-08-31,55.7332
2020-09-01,56.0231
2020-09-02,54.0395
2020-09-03,53.7066
2020-09-04,54.5492
2020-09-05,54.5492
2020-09-06,54.5492
2020-09-07,54.5492
2020-09-08,54.3254
2020-09-09,56.8126
2020-09-10,55.5607
2020-09-11,53.138
2020-09-12,53.138
2020-09-13,53.138
2020-09-14,47.3989
2020-09-15,52.1191
2020-09-16,49.1055
2020-09-17,49.4359
2020-09-18,46.5954
2020-09-19,46.5954
2020-09-20,46.5954
2020-09-21,45.8335
2020-09-22,44.8001
2020-09-23,45.7284
2020-09-24,46.7942
2020-09-25,46.3727
2020-09-26,46.3727
2020-09-27,46.3727
2020-09-28,48.4086
2020-09-29,47.1485
2020-09-30,44.809
2020-10-01,45.0465
2020-10-02,47.8669
2020-10-03,47.8669
2020-10-04,47.8669
2020-10-05,49.2557
2020-10-06,48.1413
2020-10-07,49.1612
2020-10-08,51.0159
2020-10-09,49.7001
2020-10-10,49.7001
2020-10-11,49.7001
2020-10-12,49.1697
2020-10-13,48.8012
2020-10-14,48.5694
2020-10-15,52.8015
2020-10-16,48.0909
2020-10-17,48.0909
2020-10-18,48.0909
2020-10-19,43.8731
2020-10-20,44.7045
2020-10-21,44.3762
2020-10-22,45.4419
2020-10-23,43.9654
2020-10-24,43.9654
2020-10-25,43.9654
2020-10-26,42.1536
2020-10-27,40.9235
2020-10-28,41.1496
2020-10-29,38.1701
2020-10-30,37.2403
2020-10-31,37.2403
2020-11-01,37.2403
2020-11-02,38.1217
2020-11-03,41.2095
2020-11-04,39.2071
2020-11-05,40.5879
2020-11-06,40.4332
2020-11-07,40.4332
2020-11-08,40.4332
2020-11-09,41.8415
2020-11-10,47.3243
2020-11-11,47.0734
2020-11-12,45.8661
2020-11-13,47.7993
2020-11-14,47.7993
2020-11-15,47.7993
2020-11-16,50.4494
2020-11-17,51.0327
2020-11-18,50.0085
2020-11-19,49.0183
2020-11-20,47.7682
2020-11-21,47.7682
2020-11-22,47.7682
2020-11-23,45.975
2020-11-24,47.9945
2020-11-25,45.9311
2020-11-26,45.9311
2020-11-27,45.9919
2020-11-28,45.9919
2020-11-29,45.9919
2020-11-30,45.3586
2020-12-01,46.5638
2020-12-02,45.5518
2020-12-03,45.1132
2020-12-04,44.4763
2020-12-05,44.4763
2020-12-06,44.4763
2020-12-07,44.8962
2020-12-08,45.3945
2020-12-09,46.1502
2020-12-10,45.6522
2020-12-11,46.0661
2020-12-12,46.0661
2020-12-13,46.0661
2020-12-14,44.3815
2020-12-15,45.2798
2020-12-16,44.7275
2020-12-17,45.2155
2020-12-18,46.9126
2020-12-19,46.9126
2020-12-20,46.9126
2020-12-21,46.8411
2020-12-22,45.9006
2020-12-23,45.3212
2020-12-24,44.918
2020-12-25,44.918
2020-12-26,44.918
2020-12-27,44.918
2020-12-28,45.6008
2020-12-29,45.4841
2020-12-30,44.6183
2020-12-31,44.0648
2021-01-01,44.0648
2021-01-02,44.0648
2021-01-03,44.0648
2021-01-04,42.4315
2021-01-05,44.7518
2021-01-06,54.1105
2021-01-07,56.0283
2021-01-08,56.5979
2021-01-09,56.5979
2021-01-10,56.5979
2021-01-11,51.7813
2021-01-12,54.1095
2021-01-13,53.5977
2021-01-14,55.5707
2021-01-15,54.514
2021-01-16,54.514
2021-01-17,54.514
2021-01-18,54.514
2021-01-19,55.5892
2021-01-20,56.8424
2021-01-21,56.7988
2021-01-22,57.8856
2021-01-23,57.8856
2021-01-24,57.8856
2021-01-25,61.2237
2021-01-26,57.9945
2021-01-27,51.7653
2021-01-28,46.3297
2021-01-29,44.2109
2021-01-30,44.2109
2021-01-31,44.2109
2021-02-01,46.859
2021-02-02,49.1958
2021-02-03,47.1801
2021-02-04,47.989
2021-02-05,50.0077
2021-02-06,50.0077
2021-02-07,50.0077
2021-02-08,49.823
2021-02-09,54.2768
2021-02-10,54.8191
2021-02-11,52.7481
2021-02-12,54.7646
2021-02-13,54.7646
2021-02-14,54.7646
2021-02-15,54.7646
2021-02-16,53.566
2021-02-17,53.3375
2021-02-18,56.1823
2021-02-19,56.6599
2021-02-20,56.6599
2021-02-21,56.6599
2021-02-22,55.1063
2021-02-23,54.8987
2021-02-24,56.5635
2021-02-25,55.3807
2021-02-26,54.1733
2021-02-27,54.1733
2021-02-28,54.1733
2021-03-01,58.1437
2021-03-02,59.1924
2021-03-03,61.9803
2021-03-04,60.4159
2021-03-05,61.4463
2021-03-06,61.4463
2021-03-07,61.4463
2021-03-08,60.473
2021-03-09,61.4212
2021-03-10,60.0457
2021-03-11,62.8099
2021-03-12,63.8949
2021-03-13,63.8949
2021-03-14,63.8949
2021-03-15,60.7927
2021-03-16,59.6958
2021-03-17,59.2168
2021-03-18,61.6645
2021-03-19,60.0974
2021-03-20,60.0974
2021-03-21,60.0974
2021-03-22,57.1974
2021-03-23,54.4779
2021-03-24,54.313
2021-03-25,55.4295
2021-03-26,59.8225
2021-03-27,59.8225
2021-03-28,59.8225
2021-03-29,59.472
2021-03-30,61.81
2021-03-31,58.788
2021-04-01,59.8386
2021-04-02,59.8386
2021-04-03,59.8386
2021-04-04,59.8386
2021-04-05,61.4213
2021-04-06,59.9037
2021-04-07,60.5869
2021-04-08,60.0132
2021-04-09,60.3289
2021-04-10,60.3289
2021-04-11,60.3289
2021-04-12,60.7238
2021-04-13,60.4128
2021-04-14,59.1973
2021-04-15,60.1341
2021-04-16,59.8493
2021-04-17,59.8493
2021-04-18,59.8493
2021-04-19,59.8074
2021-04-20,59.5488
2021-04-21,52.1269
2021-04-22,51.2959
2021-04-23,49.6909
2021-04-24,49.6909
2021-04-25,49.6909
2021-04-26,48.101
2021-04-27,46.8727
2021-04-28,47.3122
2021-04-29,53.8028
2021-04-30,52.4126
2021-05-01,52.4126
2021-05-02,52.4126
2021-05-03,55.1328
2021-05-04,56.1368
2021-05-05,56.967
2021-05-06,57.0511
2021-05-07,58.0958
2021-05-08,58.0958
2021-05-09,58.0958
2021-05-10,59.9741
2021-05-11,55.637
2021-05-12,53.2996
2021-05-13,57.0342
2021-05-14,57.1385
2021-05-15,57.1385
2021-05-16,57.1385
2021-05-17,57.4324
2021-05-18,57.542
2021-05-19,57.3511
2021-05-20,55.6705
2021-05-21,56.8305
2021-05-22,56.8305
2021-05-23,56.8305
2021-05-24,56.8305
2021-05-25,52.6355
2021-05-26,54.0884
2021-05-27,54.7747
2021-05-28,54.3924
2021-05-29,54.3924
2021-05-30,54.3924
2021-05-31,54.3924
2021-06-01,53.848
2021-06-02,49.8994
2021-06-03,49.7583
2021-06-04,46.4306
2021-06-05,46.4306
2021-06-06,46.4306
2021-06-07,45.7842
2021-06-08,47.0799
2021-06-09,46.4717
2021-06-10,43.5911
2021-06-11,45.5525
2021-06-12,45.5525
2021-06-13,45.5525
2021-06-14,43.5475
2021-06-15,45.6361
2021-06-16,44.2864
2021-06-17,41.0989
2021-06-18,38.3484
2021-06-19,38.3484
2021-06-20,38.3484
2021-06-21,42.2691
2021-06-22,45.4073
2021-06-23,44.6265
2021-06-24,44.8018
2021-06-25,45.6212
2021-06-26,45.6212
2021-06-27,45.6212
2021-06-28,44.9904
2021-06-29,45.6566
2021-06-30,45.5299
2021-07-01,46.301
2021-07-02,46.267
2021-07-03,46.267
2021-07-04,46.267
2021-07-05,46.267
2021-07-06,45.0697
2021-07-07,47.403
2021-07-08,44.535
2021-07-09,46.2373
2021-07-10,46.2373
2021-07-11,46.2373
2021-07-12,47.135
2021-07-13,48.8261
2021-07-14,51.4549
2021-07-15,51.5621
2021-07-16,48.2881
2021-07-17,48.2881
2021-07-18,48.2881
2021-07-19,45.1242
2021-07-20,48.0171
2021-07-21,45.6854
2021-07-22,44.9735
2021-07-23,48.3404
2021-07-24,48.3404
2021-07-25,48.3404
2021-07-26,48.0786
2021-07-27,47.5788
2021-07-28,48.0259
2021-07-29,52.9708
2021-07-30,51.7596
2021-07-31,51.7596
2021-08-01,51.7596
2021-08-02,49.2579
2021-08-03,52.5713
2021-08-04,49.8009
2021-08-05,49.416
2021-08-06,50.4072
2021-08-07,50.4072
2021-08-08,50.4072
2021-08-09,47.6695
2021-08-10,48.3523
2021-08-11,51.1854
2021-08-12,51.1854
2021-08-13,53.106
2021-08-14,53.106
2021-08-15,53.106
2021-08-16,53.07
2021-08-17,53.3318
2021-08-18,52.0184
2021-08-19,51.9427
2021-08-20,54.4758
2021-08-21,54.4758
2021-08-22,54.4758
2021-08-23,55.6203
2021-08-24,55.2508
2021-08-25,54.1347
2021-08-26,54.2762
2021-08-27,57.905
2021-08-28,57.905
2021-08-29,57.905
2021-08-30,59.974
2021-08-31,54.9603
2021-09-01,56.7389
2021-09-02,56.5398
2021-09-03,55.7305
2021-09-04,55.7305
2021-09-05,55.7305
2021-09-06,55.7305
2021-09-07,55.7305
2021-09-08,56.2333
2021-09-09,53.7896
2021-09-10,54.0035
2021-09-11,54.0035
2021-09-12,54.0035
2021-09-13,52.9057
2021-09-14,49.3157
2021-09-15,52.5364
2021-09-16,50.9951
2021-09-17,49.4931
2021-09-18,49.4931
2021-09-19,49.4931
2021-09-20,50.1763
2021-09-21,52.1835
2021-09-22,50.7347
2021-09-23,48.6212
2021-09-24,49.4766
2021-09-25,49.4766
2021-09-26,49.4766
2021-09-27,51.4893
2021-09-28,49.8985
2021-09-29,47.457
2021-09-30,43.3661
2021-10-01,42.3502
2021-10-02,42.3502
2021-10-03,42.3502
2021-10-04,41.8583
2021-10-05,44.3249
2021-10-06,45.3014
2021-10-07,43.1796
2021-10-08,39.4453
2021-10-09,39.4453
2021-10-10,39.4453
2021-10-11,38.2855
2021-10-12,41.4731
2021-10-13,40.6274
2021-10-14,45.5653
2021-10-15,46.3172
2021-10-16,46.3172
2021-10-17,46.3172
2021-10-18,48.7579
2021-10-19,50.4556
2021-10-20,52.0662
2021-10-21,55.452
2021-10-22,55.3446
2021-10-23,55.3446
2021-10-24,55.3446
2021-10-25,55.1238
2021-10-26,54.6352
2021-10-27,54.2906
2021-10-28,58.0611
2021-10-29,49.3644
2021-10-30,49.3644
2021-10-31,49.3644
2021-11-01,50.5029
2021-11-02,50.7141
2021-11-03,53.3605
2021-11-04,51.7941
2021-11-05,50.6331
2021-11-06,50.6331
2021-11-07,50.6331
2021-11-08,50.7257
2021-11-09,52.4489
2021-11-10,50.8715
2021-11-11,52.2639
2021-11-12,54.2891
2021-11-13,54.2891
2021-11-14,54.2891
2021-11-15,54.4655
2021-11-16,55.5302
2021-11-17,55.0127
2021-11-18,50.4925
2021-11-19,50.8141
2021-11-20,50.8141
2021-11-21,50.8141
2021-11-22,51.2725
2021-11-23,53.0508
2021-11-24,52.2616
2021-11-25,52.2616
2021-11-26,48.3077
2021-11-27,48.3077
2021-11-28,48.3077
2021-11-29,48.1467
2021-11-30,47.2665
2021-12-01,43.2109
2021-12-02,46.772
2021-12-03,50.0447
2021-12-04,50.0447
2021-12-05,50.0447
2021-12-06,51.933
2021-12-07,51.3277
2021-12-08,49.5055
2021-12-09,50.1681
2021-12-10,50.7727
2021-12-11,50.7727
2021-12-12,50.7727
2021-12-13,53.9374
2021-12-14,53.6628
2021-12-15,52.9313
2021-12-16,50.3932
2021-12-17,48.0419
2021-12-18,48.0419
2021-12-19,48.0419
2021-12-20,47.3927
2021-12-21,48.0839
2021-12-22,47.5028
2021-12-23,51.1025
2021-12-24,51.1025
2021-12-25,51.1025
2021-12-26,51.1025
2021-12-27,54.9881
2021-12-28,55.6383
2021-12-29,56.6521
2021-12-30,55.202
2021-12-31,55.5266
2022-01-01,55.5266
2022-01-02,55.5266
2022-01-03,53.9456
2022-01-04,57.3628
2022-01-05,54.4344
2022-01-06,50.3788
2022-01-07,49.3742
2022-01-08,49.3742
2022-01-09,49.3742
2022-01-10,49.2203
2022-01-11,49.1253
2022-01-12,48.6397
2022-01-13,49.9034
2022-01-14,50.9494
2022-01-15,50.9494
2022-01-16,50.9494
2022-01-17,50.9494
2022-01-18,52.1822
2022-01-19,50.5483
2022-01-20,46.7312
2022-01-21,45.6851
2022-01-22,45.6851
2022-01-23,45.6851
2022-01-24,49.7571
2022-01-25,45.1118
2022-01-26,42.2697
2022-01-27,41.7991
2022-01-28,43.7427
2022-01-29,43.7427
2022-01-30,43.7427
2022-01-31,46.468
2022-02-01,46.0286
2022-02-02,46.777
2022-02-03,46.2007
2022-02-04,44.9965
2022-02-05,44.9965
2022-02-06,44.9965
2022-02-07,44.3418
2022-02-08,44.2838
2022-02-09,45.137
2022-02-10,42.7241
2022-02-11,44.1552
2022-02-12,44.1552
2022-02-13,44.1552
2022-02-14,43.2722
2022-02-15,42.3665
2022-02-16,41.7253
2022-02-17,41.5774
2022-02-18,44.158
2022-02-19,44.158
2022-02-20,44.158
2022-02-21,44.158
2022-02-22,42.2284
2022-02-23,41.1362
2022-02-24,43.8175
2022-02-25,46.0514
2022-02-26,46.0514
2022-02-27,46.0514
2022-02-28,45.695
2022-03-01,47.749
2022-03-02,51.1141
2022-03-03,50.2681
2022-03-04,50.3389
2022-03-05,50.3389
2022-03-06,50.3389
2022-03-07,46.9157
2022-03-08,43.4857
2022-03-09,44.7653
2022-03-10,43.1311
