,DAN US Equity
,RSI_30D
2021-04-04,54.5235
2021-04-05,54.6251
2021-04-06,55.7251
2021-04-07,53.3898
2021-04-08,53.6843
2021-04-09,57.3114
2021-04-10,57.3114
2021-04-11,57.3114
2021-04-12,59.2065
2021-04-13,55.8002
2021-04-14,57.9362
2021-04-15,58.2949
2021-04-16,58.4095
2021-04-17,58.4095
2021-04-18,58.4095
2021-04-19,57.5583
2021-04-20,55.3133
2021-04-21,58.046
2021-04-22,57.7872
2021-04-23,59.8916
2021-04-24,59.8916
2021-04-25,59.8916
2021-04-26,58.5316
2021-04-27,59.4152
2021-04-28,59.5091
2021-04-29,55.3658
2021-04-30,51.8971
2021-05-01,51.8971
2021-05-02,51.8971
2021-05-03,53.1534
2021-05-04,51.6136
2021-05-05,51.5262
2021-05-06,54.1599
2021-05-07,55.783
2021-05-08,55.783
2021-05-09,55.783
2021-05-10,54.3824
2021-05-11,53.6394
2021-05-12,50.8257
2021-05-13,54.1846
2021-05-14,56.5765
2021-05-15,56.5765
2021-05-16,56.5765
2021-05-17,57.5718
2021-05-18,54.7922
2021-05-19,53.1756
2021-05-20,52.3763
2021-05-21,54.1093
2021-05-22,54.1093
2021-05-23,54.1093
2021-05-24,53.052
2021-05-25,51.323
2021-05-26,52.6014
2021-05-27,55.3558
2021-05-28,54.7519
2021-05-29,54.7519
2021-05-30,54.7519
2021-05-31,54.7519
2021-06-01,56.4477
2021-06-02,53.8746
2021-06-03,56.3907
2021-06-04,56.0561
2021-06-05,56.0561
2021-06-06,56.0561
2021-06-07,53.8622
2021-06-08,54.2932
2021-06-09,52.2442
2021-06-10,50.1175
2021-06-11,51.2934
2021-06-12,51.2934
2021-06-13,51.2934
2021-06-14,49.5782
2021-06-15,50.3386
2021-06-16,48.9251
2021-06-17,44.4336
2021-06-18,42.5969
2021-06-19,42.5969
2021-06-20,42.5969
2021-06-21,43.9619
2021-06-22,44.4176
2021-06-23,44.9732
2021-06-24,46.3597
2021-06-25,45.6719
2021-06-26,45.6719
2021-06-27,45.6719
2021-06-28,44.7732
2021-06-29,44.5333
2021-06-30,45.4076
2021-07-01,47.26
2021-07-02,45.5471
2021-07-03,45.5471
2021-07-04,45.5471
2021-07-05,45.5471
2021-07-06,42.9692
2021-07-07,42.0712
2021-07-08,41.0072
2021-07-09,44.4988
2021-07-10,44.4988
2021-07-11,44.4988
2021-07-12,44.6665
2021-07-13,44.5829
2021-07-14,44.9384
2021-07-15,45.2291
2021-07-16,42.8033
2021-07-17,42.8033
2021-07-18,42.8033
2021-07-19,41.9069
2021-07-20,46.2046
2021-07-21,46.9275
2021-07-22,44.5955
2021-07-23,45.1311
2021-07-24,45.1311
2021-07-25,45.1311
2021-07-26,46.5562
2021-07-27,45.1314
2021-07-28,46.4304
2021-07-29,48.8988
2021-07-30,50.1048
2021-07-31,50.1048
2021-08-01,50.1048
2021-08-02,48.2401
2021-08-03,49.2008
2021-08-04,46.3708
2021-08-05,47.3217
2021-08-06,49.1526
2021-08-07,49.1526
2021-08-08,49.1526
2021-08-09,48.7557
2021-08-10,50.1776
2021-08-11,51.9277
2021-08-12,51.103
2021-08-13,50.3477
2021-08-14,50.3477
2021-08-15,50.3477
2021-08-16,50.2745
2021-08-17,48.0693
2021-08-18,48.2234
2021-08-19,44.7553
2021-08-20,44.8771
2021-08-21,44.8771
2021-08-22,44.8771
2021-08-23,46.0663
2021-08-24,48.0262
2021-08-25,48.4219
2021-08-26,46.7289
2021-08-27,50.4677
2021-08-28,50.4677
2021-08-29,50.4677
2021-08-30,48.9499
2021-08-31,48.2542
2021-09-01,47.3383
2021-09-02,47.5032
2021-09-03,46.4867
2021-09-04,46.4867
2021-09-05,46.4867
2021-09-06,46.4867
2021-09-07,45.5164
2021-09-08,42.5814
2021-09-09,40.7789
2021-09-10,41.98
2021-09-11,41.98
2021-09-12,41.98
2021-09-13,45.4984
2021-09-14,44.5209
2021-09-15,47.4017
2021-09-16,47.4426
2021-09-17,45.2227
2021-09-18,45.2227
2021-09-19,45.2227
2021-09-20,41.9906
2021-09-21,41.5473
2021-09-22,45.0216
2021-09-23,48.7922
2021-09-24,50.459
2021-09-25,50.459
2021-09-26,50.459
2021-09-27,53.8382
2021-09-28,51.5119
2021-09-29,50.8373
2021-09-30,47.2337
2021-10-01,52.1821
2021-10-02,52.1821
2021-10-03,52.1821
2021-10-04,51.1631
2021-10-05,51.6982
2021-10-06,49.646
2021-10-07,53.2387
2021-10-08,54.3143
2021-10-09,54.3143
2021-10-10,54.3143
2021-10-11,53.6928
2021-10-12,54.1749
2021-10-13,53.3842
2021-10-14,54.7808
2021-10-15,55.8451
2021-10-16,55.8451
2021-10-17,55.8451
2021-10-18,52.8661
2021-10-19,53.3114
2021-10-20,55.2783
2021-10-21,56.306
2021-10-22,52.7644
2021-10-23,52.7644
2021-10-24,52.7644
2021-10-25,55.0784
2021-10-26,45.7192
2021-10-27,45.9975
2021-10-28,47.1803
2021-10-29,46.1081
2021-10-30,46.1081
2021-10-31,46.1081
2021-11-01,48.2302
2021-11-02,47.3509
2021-11-03,50.8774
2021-11-04,49.7336
2021-11-05,50.7037
2021-11-06,50.7037
2021-11-07,50.7037
2021-11-08,50.1875
2021-11-09,49.2719
2021-11-10,47.5372
2021-11-11,50.3139
2021-11-12,52.4214
2021-11-13,52.4214
