,LILAK US Equity
2020-07-27,45.6275
2020-07-28,45.8568
2020-07-29,47.4053
2020-07-30,50.2923
2020-07-31,51.5889
2020-08-01,51.5889
2020-08-02,51.5889
2020-08-03,52.0034
2020-08-04,52.1094
2020-08-05,52.8635
2020-08-06,44.4796
2020-08-07,46.693
2020-08-08,46.693
2020-08-09,46.693
2020-08-10,49.7748
2020-08-11,49.9221
2020-08-12,51.3489
2020-08-13,48.1211
2020-08-14,48.6773
2020-08-15,48.6773
2020-08-16,48.6773
2020-08-17,47.1558
2020-08-18,47.8929
2020-08-19,46.8309
2020-08-20,46.8863
2020-08-21,45.2294
2020-08-22,45.2294
2020-08-23,45.2294
2020-08-24,46.6631
2020-08-25,49.2993
2020-08-26,48.7283
2020-08-27,49.7678
2020-08-28,50.8528
2020-08-29,50.8528
2020-08-30,50.8528
2020-08-31,48.7818
2020-09-01,48.0362
2020-09-02,50.4962
2020-09-03,49.667
2020-09-04,50.1748
2020-09-05,50.1748
2020-09-06,50.1748
2020-09-07,50.1748
2020-09-08,48.2176
2020-09-09,49.7809
2020-09-10,47.6322
2020-09-11,47.705
2020-09-12,47.705
2020-09-13,47.705
2020-09-14,46.7068
2020-09-15,44.8781
2020-09-16,43.4483
2020-09-17,42.2695
2020-09-18,45.2718
2020-09-19,45.2718
2020-09-20,45.2718
2020-09-21,44.5472
2020-09-22,43.7122
2020-09-23,41.4102
2020-09-24,42.5029
2020-09-25,43.0885
2020-09-26,43.0885
2020-09-27,43.0885
2020-09-28,46.8017
2020-09-29,46.6235
2020-09-30,45.9601
2020-10-01,49.9148
2020-10-02,50.6119
2020-10-03,50.6119
2020-10-04,50.6119
2020-10-05,52.478
2020-10-06,49.9404
2020-10-07,51.6759
2020-10-08,54.6936
2020-10-09,61.365
2020-10-10,61.365
2020-10-11,61.365
2020-10-12,61.365
2020-10-13,59.4118
2020-10-14,58.7448
2020-10-15,56.8306
2020-10-16,55.7295
2020-10-17,55.7295
2020-10-18,55.7295
2020-10-19,56.2963
2020-10-20,57.7217
2020-10-21,57.8234
2020-10-22,58.0322
2020-10-23,57.884
2020-10-24,57.884
2020-10-25,57.884
2020-10-26,55.9621
2020-10-27,55.522
2020-10-28,52.3292
2020-10-29,52.4549
2020-10-30,52.0996
2020-10-31,52.0996
2020-11-01,52.0996
2020-11-02,52.6307
2020-11-03,56.2092
2020-11-04,53.7057
2020-11-05,54.9273
2020-11-06,52.1512
2020-11-07,52.1512
2020-11-08,52.1512
2020-11-09,58.0555
2020-11-10,59.9541
2020-11-11,60.5229
2020-11-12,60.0086
2020-11-13,61.3202
2020-11-14,61.3202
2020-11-15,61.3202
2020-11-16,61.8948
2020-11-17,62.9389
2020-11-18,62.8579
2020-11-19,62.3599
2020-11-20,61.1895
2020-11-21,61.1895
2020-11-22,61.1895
2020-11-23,62.7397
2020-11-24,65.0953
2020-11-25,60.7947
2020-11-26,60.7947
2020-11-27,58.7492
2020-11-28,58.7492
2020-11-29,58.7492
2020-11-30,55.8
2020-12-01,56.0228
2020-12-02,56.4767
2020-12-03,55.954
2020-12-04,57.4667
2020-12-05,57.4667
2020-12-06,57.4667
2020-12-07,55.8636
2020-12-08,56.0749
2020-12-09,55.2541
2020-12-10,57.4041
2020-12-11,55.3599
2020-12-12,55.3599
2020-12-13,55.3599
2020-12-14,56.2282
2020-12-15,57.7464
2020-12-16,55.8236
2020-12-17,56.4486
2020-12-18,54.8431
2020-12-19,54.8431
2020-12-20,54.8431
2020-12-21,51.7233
2020-12-22,50.6332
2020-12-23,53.0555
2020-12-24,52.7913
2020-12-25,52.7913
2020-12-26,52.7913
2020-12-27,52.7913
2020-12-28,52.9989
2020-12-29,52.1296
2020-12-30,51.4942
2020-12-31,51.5706
2021-01-01,51.5706
2021-01-02,51.5706
2021-01-03,51.5706
2021-01-04,51.6493
2021-01-05,51.7304
2021-01-06,56.6258
2021-01-07,58.6927
2021-01-08,53.8149
2021-01-09,53.8149
2021-01-10,53.8149
2021-01-11,50.609
2021-01-12,52.4912
2021-01-13,52.0353
2021-01-14,51.1169
2021-01-15,50.8846
2021-01-16,50.8846
2021-01-17,50.8846
2021-01-18,50.8846
2021-01-19,50.489
2021-01-20,49.1453
2021-01-21,47.3804
2021-01-22,47.6341
2021-01-23,47.6341
2021-01-24,47.6341
2021-01-25,47.3585
2021-01-26,46.9172
2021-01-27,43.4872
2021-01-28,43.8646
2021-01-29,41.4995
2021-01-30,41.4995
2021-01-31,41.4995
2021-02-01,42.1836
2021-02-02,43.2621
2021-02-03,44.952
2021-02-04,47.5823
2021-02-05,51.0623
2021-02-06,51.0623
2021-02-07,51.0623
2021-02-08,57.5969
2021-02-09,54.6044
2021-02-10,54.1657
2021-02-11,54.7807
2021-02-12,53.704
2021-02-13,53.704
2021-02-14,53.704
2021-02-15,53.704
2021-02-16,55.244
2021-02-17,56.6674
2021-02-18,53.8016
2021-02-19,53.719
2021-02-20,53.719
2021-02-21,53.719
2021-02-22,54.3716
2021-02-23,53.3342
2021-02-24,51.0664
2021-02-25,47.6506
2021-02-26,49.4012
2021-02-27,49.4012
2021-02-28,49.4012
2021-03-01,59.136
2021-03-02,59.4027
2021-03-03,61.7523
2021-03-04,59.2198
2021-03-05,60.8795
2021-03-06,60.8795
2021-03-07,60.8795
2021-03-08,62.9891
2021-03-09,63.725
2021-03-10,66.8371
2021-03-11,63.5166
2021-03-12,66.2215
2021-03-13,66.2215
2021-03-14,66.2215
2021-03-15,65.8446
2021-03-16,62.8829
2021-03-17,64.6902
2021-03-18,61.6215
2021-03-19,63.0191
2021-03-20,63.0191
2021-03-21,63.0191
2021-03-22,63.1434
2021-03-23,59.4881
2021-03-24,57.1629
2021-03-25,57.9655
2021-03-26,57.4416
2021-03-27,57.4416
2021-03-28,57.4416
2021-03-29,54.8148
2021-03-30,54.6257
2021-03-31,53.0482
2021-04-01,55.1389
2021-04-02,55.1389
2021-04-03,55.1389
2021-04-04,55.1389
2021-04-05,55.7659
2021-04-06,57.1094
2021-04-07,57.3414
2021-04-08,58.5023
2021-04-09,58.6575
2021-04-10,58.6575
2021-04-11,58.6575
2021-04-12,57.8739
2021-04-13,56.4619
2021-04-14,57.3402
2021-04-15,57.907
2021-04-16,57.8275
2021-04-17,57.8275
2021-04-18,57.8275
2021-04-19,55.465
2021-04-20,56.7447
2021-04-21,56.9276
2021-04-22,55.7091
2021-04-23,57.2854
2021-04-24,57.2854
2021-04-25,57.2854
2021-04-26,57.9663
2021-04-27,55.3921
2021-04-28,55.7202
2021-04-29,56.8688
2021-04-30,55.8833
2021-05-01,55.8833
2021-05-02,55.8833
2021-05-03,58.1658
2021-05-04,57.4194
2021-05-05,58.615
2021-05-06,59.936
2021-05-07,60.0616
2021-05-08,60.0616
2021-05-09,60.0616
2021-05-10,55.4741
2021-05-11,53.9691
2021-05-12,52.0223
2021-05-13,54.2963
2021-05-14,56.9356
2021-05-15,56.9356
2021-05-16,56.9356
2021-05-17,54.8863
2021-05-18,52.7645
2021-05-19,50.0934
2021-05-20,52.5112
2021-05-21,52.5791
2021-05-22,52.5791
2021-05-23,52.5791
2021-05-24,53.809
2021-05-25,53.4901
2021-05-26,57.1061
2021-05-27,55.8005
2021-05-28,55.3911
2021-05-29,55.3911
2021-05-30,55.3911
2021-05-31,55.3911
2021-06-01,57.8844
2021-06-02,55.2627
2021-06-03,54.9409
2021-06-04,56.4492
2021-06-05,56.4492
2021-06-06,56.4492
2021-06-07,55.3656
2021-06-08,51.5831
2021-06-09,49.6109
2021-06-10,52.5969
2021-06-11,51.5677
2021-06-12,51.5677
2021-06-13,51.5677
2021-06-14,51.7073
2021-06-15,52.6258
2021-06-16,53.1225
2021-06-17,53.8377
2021-06-18,52.3505
2021-06-19,52.3505
2021-06-20,52.3505
2021-06-21,53.0951
2021-06-22,53.4712
2021-06-23,53.2944
2021-06-24,55.1362
2021-06-25,56.4681
2021-06-26,56.4681
2021-06-27,56.4681
2021-06-28,52.9451
2021-06-29,51.0038
2021-06-30,50.8361
2021-07-01,51.5772
2021-07-02,49.1097
2021-07-03,49.1097
2021-07-04,49.1097
2021-07-05,49.1097
2021-07-06,47.4106
2021-07-07,45.7724
2021-07-08,44.1202
2021-07-09,50.3555
2021-07-10,50.3555
2021-07-11,50.3555
2021-07-12,52.6455
2021-07-13,51.0732
2021-07-14,50.0677
2021-07-15,48.6946
2021-07-16,46.9911
2021-07-17,46.9911
2021-07-18,46.9911
2021-07-19,43.8194
2021-07-20,50.3063
2021-07-21,51.584
2021-07-22,51.1543
2021-07-23,52.0495
2021-07-24,52.0495
2021-07-25,52.0495
2021-07-26,52.0495
2021-07-27,50.8227
2021-07-28,51.778
2021-07-29,49.6299
2021-07-30,48.9546
2021-07-31,48.9546
2021-08-01,48.9546
2021-08-02,46.2082
2021-08-03,46.1378
2021-08-04,43.7237
2021-08-05,53.9735
2021-08-06,51.417
2021-08-07,51.417
2021-08-08,51.417
2021-08-09,49.5637
2021-08-10,48.8724
2021-08-11,49.9233
2021-08-12,49.0114
2021-08-13,47.6606
2021-08-14,47.6606
2021-08-15,47.6606
2021-08-16,46.7093
2021-08-17,44.9759
2021-08-18,46.658
2021-08-19,43.8824
2021-08-20,49.9729
2021-08-21,49.9729
2021-08-22,49.9729
2021-08-23,51.8157
2021-08-24,52.8589
2021-08-25,54.5005
2021-08-26,53.8979
2021-08-27,54.189
2021-08-28,54.189
2021-08-29,54.189
2021-08-30,52.8765
2021-08-31,53.0622
2021-09-01,52.8468
2021-09-02,53.2396
2021-09-03,52.7097
2021-09-04,52.7097
2021-09-05,52.7097
2021-09-06,52.7097
2021-09-07,50.2696
2021-09-08,50.4852
2021-09-09,47.7043
2021-09-10,46.1534
2021-09-11,46.1534
2021-09-12,46.1534
2021-09-13,48.4163
2021-09-14,45.5763
2021-09-15,44.0231
2021-09-16,43.1709
2021-09-17,41.9701
2021-09-18,41.9701
2021-09-19,41.9701
2021-09-20,39.9581
2021-09-21,39.29
2021-09-22,41.0736
2021-09-23,42.8116
2021-09-24,41.7796
2021-09-25,41.7796
2021-09-26,41.7796
2021-09-27,43.2772
2021-09-28,41.6161
2021-09-29,45.3154
2021-09-30,47.269
2021-10-01,47.6412
2021-10-02,47.6412
2021-10-03,47.6412
2021-10-04,47.4334
2021-10-05,48.2122
2021-10-06,45.6912
2021-10-07,45.0816
2021-10-08,43.6749
2021-10-09,43.6749
2021-10-10,43.6749
2021-10-11,43.079
2021-10-12,43.4339
2021-10-13,42.6095
2021-10-14,46.6267
2021-10-15,45.9754
2021-10-16,45.9754
2021-10-17,45.9754
2021-10-18,43.6618
2021-10-19,42.9837
2021-10-20,45.3541
2021-10-21,43.0241
2021-10-22,42.89
2021-10-23,42.89
2021-10-24,42.89
2021-10-25,42.2766
2021-10-26,40.9311
2021-10-27,42.9049
2021-10-28,42.6243
2021-10-29,41.8455
2021-10-30,41.8455
2021-10-31,41.8455
2021-11-01,49.0269
2021-11-02,48.2009
2021-11-03,50.4765
2021-11-04,50.7082
2021-11-05,52.9841
2021-11-06,52.9841
2021-11-07,52.9841
2021-11-08,51.5878
2021-11-09,51.3408
2021-11-10,51.8967
2021-11-11,52.4586
2021-11-12,53.7364
2021-11-13,53.7364
2021-11-14,53.7364
2021-11-15,52.0189
2021-11-16,48.6336
2021-11-17,46.4449
2021-11-18,43.4807
2021-11-19,43.8425
2021-11-20,43.8425
2021-11-21,43.8425
2021-11-22,43.3403
2021-11-23,45.0155
2021-11-24,44.1896
2021-11-25,44.1896
2021-11-26,39.0068
2021-11-27,39.0068
2021-11-28,39.0068
2021-11-29,38.5213
2021-11-30,37.7317
2021-12-01,36.3102
2021-12-02,39.2687
2021-12-03,38.3473
2021-12-04,38.3473
2021-12-05,38.3473
2021-12-06,44.6201
2021-12-07,42.3893
2021-12-08,41.291
2021-12-09,40.3889
2021-12-10,40.568
2021-12-11,40.568
2021-12-12,40.568
2021-12-13,39.7042
2021-12-14,38.9685
2021-12-15,38.7211
2021-12-16,37.9118
2021-12-17,41.9656
2021-12-18,41.9656
2021-12-19,41.9656
2021-12-20,38.9003
2021-12-21,43.837
2021-12-22,44.8082
2021-12-23,45.6189
2021-12-24,45.6189
2021-12-25,45.6189
2021-12-26,45.6189
2021-12-27,45.2067
2021-12-28,45.3769
2021-12-29,44.9437
2021-12-30,45.5708
2021-12-31,45.1905
2022-01-01,45.1905
2022-01-02,45.1905
2022-01-03,49.0608
2022-01-04,49.6459
2022-01-05,45.9051
2022-01-06,46.5989
2022-01-07,47.038
2022-01-08,47.038
2022-01-09,47.038
2022-01-10,42.8795
2022-01-11,44.3092
2022-01-12,43.9535
2022-01-13,44.2314
2022-01-14,44.4214
2022-01-15,44.4214
2022-01-16,44.4214
2022-01-17,44.4214
2022-01-18,40.7581
2022-01-19,40.1536
2022-01-20,39.2176
2022-01-21,37.4748
2022-01-22,37.4748
2022-01-23,37.4748
2022-01-24,42.1076
2022-01-25,43.6694
2022-01-26,41.4899
2022-01-27,40.4458
2022-01-28,42.3227
2022-01-29,42.3227
2022-01-30,42.3227
2022-01-31,45.0971
2022-02-01,44.7381
2022-02-02,41.9076
2022-02-03,42.7304
2022-02-04,43.1009
2022-02-05,43.1009
2022-02-06,43.1009
2022-02-07,44.1292
2022-02-08,46.6673
2022-02-09,47.023
2022-02-10,45.531
2022-02-11,48.9691
2022-02-12,48.9691
2022-02-13,48.9691
2022-02-14,48.0836
2022-02-15,51.4677
2022-02-16,53.1624
2022-02-17,51.0662
2022-02-18,48.3075
2022-02-19,48.3075
2022-02-20,48.3075
2022-02-21,48.3075
2022-02-22,47.5483
2022-02-23,45.1969
2022-02-24,43.0627
2022-02-25,43.7715
2022-02-26,43.7715
2022-02-27,43.7715
2022-02-28,41.8193
2022-03-01,39.1415
2022-03-02,43.4938
2022-03-03,41.3523
2022-03-04,40.9353
2022-03-05,40.9353
2022-03-06,40.9353
2022-03-07,37.4218
2022-03-08,39.4692
2022-03-09,44.1915
2022-03-10,42.7538
2022-03-11,42.3547
2022-03-12,42.3547
2022-03-13,42.3547
2022-03-14,41.496
2022-03-15,42.6192
2022-03-16,43.6583
2022-03-17,43.9812
2022-03-18,44.1468
2022-03-19,44.1468
2022-03-20,44.1468
2022-03-21,44.6545
2022-03-22,46.5799
2022-03-23,44.759
2022-03-24,44.9303
2022-03-25,45.2814
2022-03-26,45.2814
2022-03-27,45.2814
2022-03-28,44.6919
2022-03-29,46.0983
2022-03-30,44.6216
2022-03-31,43.2258
2022-04-01,44.8233
2022-04-02,44.8233
2022-04-03,44.8233
2022-04-04,51.7614
2022-04-05,51.6016
2022-04-06,51.0311
2022-04-07,50.0498
2022-04-08,52.7148
2022-04-09,52.7148
2022-04-10,52.7148
2022-04-11,52.2063
2022-04-12,51.6056
2022-04-13,54.76
2022-04-14,52.1853
2022-04-15,52.1853
2022-04-16,52.1853
2022-04-17,52.1853
2022-04-18,52.1008
2022-04-19,55.2482
2022-04-20,52.1267
2022-04-21,49.1749
2022-04-22,46.7943
2022-04-23,46.7943
2022-04-24,46.7943
2022-04-25,47.2744
2022-04-26,43.7993
2022-04-27,43.3469
2022-04-28,45.7486
2022-04-29,42.1181
2022-04-30,42.1181
2022-05-01,42.1181
2022-05-02,41.9369
2022-05-03,42.5337
2022-05-04,44.7168
2022-05-05,39.6788
2022-05-06,37.8913
2022-05-07,37.8913
2022-05-08,37.8913
2022-05-09,35.325
2022-05-10,38.7269
2022-05-11,37.6063
2022-05-12,39.8001
2022-05-13,41.0258
2022-05-14,41.0258
2022-05-15,41.0258
2022-05-16,44.0459
2022-05-17,48.0093
2022-05-18,46.9025
2022-05-19,46.7851
2022-05-20,46.4841
2022-05-21,46.4841
2022-05-22,46.4841
2022-05-23,46.1767
2022-05-24,45.3089
2022-05-25,47.2853
2022-05-26,48.3579
2022-05-27,49.9044
2022-05-28,49.9044
2022-05-29,49.9044
2022-05-30,49.9044
2022-05-31,48.9396
2022-06-01,46.9928
2022-06-02,47.9529
2022-06-03,45.902
2022-06-04,45.902
2022-06-05,45.902
2022-06-06,47.1098
2022-06-07,46.6385
2022-06-08,45.8256
2022-06-09,44.3591
2022-06-10,41.371
2022-06-11,41.371
2022-06-12,41.371
2022-06-13,38.887
2022-06-14,36.7594
2022-06-15,39.2743
2022-06-16,35.6118
2022-06-17,40.7204
2022-06-18,40.7204
2022-06-19,40.7204
2022-06-20,40.7204
2022-06-21,39.4167
2022-06-22,39.565
2022-06-23,40.0958
2022-06-24,42.0515
2022-06-25,42.0515
2022-06-26,42.0515
2022-06-27,42.3511
2022-06-28,41.7924
2022-06-29,44.3007
2022-06-30,42.9095
2022-07-01,44.4875
2022-07-02,44.4875
2022-07-03,44.4875
2022-07-04,44.4875
2022-07-05,43.023
2022-07-06,42.502
2022-07-07,42.0918
2022-07-08,40.9246
2022-07-09,40.9246
2022-07-10,40.9246
2022-07-11,38.7039
2022-07-12,39.8849
2022-07-13,39.3803
2022-07-14,38.4849
2022-07-15,39.5513
2022-07-16,39.5513
2022-07-17,39.5513
2022-07-18,39.7314
2022-07-19,42.3103
2022-07-20,43.5172
2022-07-21,42.3391
2022-07-22,41.1233
2022-07-23,41.1233
2022-07-24,41.1233
2022-07-25,40.7412
2022-07-26,40.2893
2022-07-27,41.7222
2022-07-28,42.1054
2022-07-29,44.01
2022-07-30,44.01
2022-07-31,44.01
2022-08-01,43.6387
2022-08-02,42.7435
2022-08-03,45.991
2022-08-04,45.4421
2022-08-05,43.3033
2022-08-06,43.3033
2022-08-07,43.3033
2022-08-08,44.2723
2022-08-09,45.0496
2022-08-10,49.4277
2022-08-11,49.4277
2022-08-12,51.9863
2022-08-13,51.9863
2022-08-14,51.9863
2022-08-15,50.9203
2022-08-16,51.6047
2022-08-17,48.377
2022-08-18,48.7356
2022-08-19,47.2091
2022-08-20,47.2091
2022-08-21,47.2091
2022-08-22,43.3824
2022-08-23,43.1608
2022-08-24,43.3603
2022-08-25,45.0562
2022-08-26,43.244
2022-08-27,43.244
2022-08-28,43.244
2022-08-29,42.7797
2022-08-30,41.6238
2022-08-31,43.4162
2022-09-01,43.94
2022-09-02,41.856
2022-09-03,41.856
2022-09-04,41.856
2022-09-05,41.856
2022-09-06,41.157
2022-09-07,40.3059
2022-09-08,39.8411
2022-09-09,44.7821
2022-09-10,44.7821
2022-09-11,44.7821
2022-09-12,48.0209
2022-09-13,44.731
2022-09-14,43.3486
2022-09-15,42.7412
2022-09-16,44.3543
2022-09-17,44.3543
2022-09-18,44.3543
2022-09-19,43.8748
2022-09-20,42.8369
2022-09-21,41.3576
2022-09-22,39.9311
2022-09-23,40.7105
2022-09-24,40.7105
2022-09-25,40.7105
2022-09-26,38.4961
2022-09-27,37.857
2022-09-28,43.6621
2022-09-29,42.0807
2022-09-30,41.5616
2022-10-01,41.5616
2022-10-02,41.5616
2022-10-03,44.206
2022-10-04,46.7011
2022-10-05,49.1442
2022-10-06,50.2794
2022-10-07,51.1472
2022-10-08,51.1472
2022-10-09,51.1472
2022-10-10,54.0507
2022-10-11,53.956
2022-10-12,53.2794
2022-10-13,52.31
2022-10-14,49.9593
2022-10-15,49.9593
2022-10-16,49.9593
2022-10-17,53.6643
2022-10-18,53.9921
2022-10-19,52.7377
2022-10-20,52.5434
2022-10-21,54.7835
2022-10-22,54.7835
2022-10-23,54.7835
2022-10-24,55.2042
2022-10-25,55.4614
2022-10-26,53.8619
2022-10-27,53.4368
2022-10-28,56.5416
2022-10-29,56.5416
2022-10-30,56.5416
2022-10-31,55.2353
2022-11-01,57.4393
2022-11-02,53.8525
2022-11-03,52.652
2022-11-04,54.235
2022-11-05,54.235
2022-11-06,54.235
2022-11-07,57.3492
2022-11-08,58.0486
2022-11-09,49.5496
2022-11-10,52.1763
2022-11-11,54.8999
2022-11-12,54.8999
2022-11-13,54.8999
2022-11-14,56.0203
2022-11-15,56.4402
2022-11-16,57.4212
2022-11-17,53.9215
2022-11-18,53.233
2022-11-19,53.233
2022-11-20,53.233
2022-11-21,51.4492
2022-11-22,51.8466
2022-11-23,53.3479
2022-11-24,53.3479
2022-11-25,52.0233
2022-11-26,52.0233
2022-11-27,52.0233
2022-11-28,50.1346
2022-11-29,50.9715
2022-11-30,51.8904
2022-12-01,51.8904
2022-12-02,51.796
2022-12-03,51.796
2022-12-04,51.796
2022-12-05,49.5567
2022-12-06,47.2665
2022-12-07,44.7177
2022-12-08,44.9159
2022-12-09,44.2592
2022-12-10,44.2592
2022-12-11,44.2592
2022-12-12,44.1756
2022-12-13,45.7639
2022-12-14,45.7639
2022-12-15,44.7644
2022-12-16,44.1299
2022-12-17,44.1299
2022-12-18,44.1299
2022-12-19,44.709
2022-12-20,47.0916
2022-12-21,53.6796
2022-12-22,51.9807
2022-12-23,52.9769
2022-12-24,52.9769
2022-12-25,52.9769
2022-12-26,52.9769
2022-12-27,52.1628
2022-12-28,50.2649
2022-12-29,51.607
2022-12-30,51.5043
2022-12-31,51.5043
2023-01-01,51.5043
2023-01-02,51.5043
2023-01-03,54.2364
2023-01-04,55.4015
2023-01-05,55.178
2023-01-06,57.3163
2023-01-07,57.3163
2023-01-08,57.3163
2023-01-09,59.9517
2023-01-10,60.3474
2023-01-11,60.9855
2023-01-12,62.8412
2023-01-13,63.8058
2023-01-14,63.8058
2023-01-15,63.8058
2023-01-16,63.8058
2023-01-17,60.9117
2023-01-18,60.9117
2023-01-19,62.3422
2023-01-20,63.5683
2023-01-21,63.5683
2023-01-22,63.5683
2023-01-23,62.6452
2023-01-24,62.2445
2023-01-25,64.5878
2023-01-26,67.6988
2023-01-27,65.5797
2023-01-28,65.5797
2023-01-29,65.5797
2023-01-30,66.3958
2023-01-31,66.8698
2023-02-01,67.5464
2023-02-02,67.404
2023-02-03,64.0518
2023-02-04,64.0518
2023-02-05,64.0518
2023-02-06,62.4454
2023-02-07,62.6874
2023-02-08,59.6393
2023-02-09,59.3796
2023-02-10,59.1133
2023-02-11,59.1133
2023-02-12,59.1133
2023-02-13,59.7666
2023-02-14,56.5611
2023-02-15,53.0074
2023-02-16,54.5358
2023-02-17,56.7663
2023-02-18,56.7663
2023-02-19,56.7663
2023-02-20,56.7663
2023-02-21,49.3598
2023-02-22,52.2952
2023-02-23,55.0759
2023-02-24,49.734
2023-02-25,49.734
2023-02-26,49.734
2023-02-27,50.5179
2023-02-28,50.9575
2023-03-01,50.6781
2023-03-02,51.3224
2023-03-03,53.132
2023-03-04,53.132
2023-03-05,53.132
2023-03-06,51.9336
2023-03-07,48.8917
2023-03-08,51.0246
2023-03-09,47.4611
2023-03-10,45.2542
2023-03-11,45.2542
2023-03-12,45.2542
2023-03-13,44.2298
2023-03-14,46.3557
2023-03-15,44.2159
2023-03-16,43.0732
2023-03-17,43.0732
2023-03-18,43.0732
2023-03-19,43.0732
2023-03-20,42.8362
2023-03-21,46.5851
