,SPG US Equity
2020-07-15,49.1543
2020-07-16,47.2005
2020-07-17,46.939
2020-07-18,46.939
2020-07-19,46.939
2020-07-20,45.8973
2020-07-21,46.2277
2020-07-22,46.9113
2020-07-23,46.7803
2020-07-24,46.0685
2020-07-25,46.0685
2020-07-26,46.0685
2020-07-27,47.011
2020-07-28,48.4721
2020-07-29,49.4314
2020-07-30,48.1709
2020-07-31,47.3654
2020-08-01,47.3654
2020-08-02,47.3654
2020-08-03,46.5288
2020-08-04,47.9412
2020-08-05,47.6159
2020-08-06,46.7455
2020-08-07,47.5015
2020-08-08,47.5015
2020-08-09,47.5015
2020-08-10,49.9375
2020-08-11,51.1387
2020-08-12,51.6248
2020-08-13,50.2484
2020-08-14,51.8337
2020-08-15,51.8337
2020-08-16,51.8337
2020-08-17,51.8337
2020-08-18,49.4526
2020-08-19,48.5078
2020-08-20,49.3014
2020-08-21,49.0251
2020-08-22,49.0251
2020-08-23,49.0251
2020-08-24,52.178
2020-08-25,52.293
2020-08-26,50.3387
2020-08-27,51.3515
2020-08-28,53.1327
2020-08-29,53.1327
2020-08-30,53.1327
2020-08-31,51.4251
2020-09-01,50.8727
2020-09-02,51.4044
2020-09-03,51.5401
2020-09-04,53.4231
2020-09-05,53.4231
2020-09-06,53.4231
2020-09-07,53.4231
2020-09-08,53.2416
2020-09-09,52.0946
2020-09-10,49.614
2020-09-11,47.8144
2020-09-12,47.8144
2020-09-13,47.8144
2020-09-14,51.0975
2020-09-15,53.7917
2020-09-16,56.1242
2020-09-17,54.0513
2020-09-18,52.2252
2020-09-19,52.2252
2020-09-20,52.2252
2020-09-21,48.1534
2020-09-22,48.3549
2020-09-23,46.6207
2020-09-24,46.5739
2020-09-25,47.2572
2020-09-26,47.2572
2020-09-27,47.2572
2020-09-28,49.236
2020-09-29,47.7273
2020-09-30,48.3548
2020-10-01,50.0192
2020-10-02,51.4794
2020-10-03,51.4794
2020-10-04,51.4794
2020-10-05,51.9662
2020-10-06,53.0282
2020-10-07,53.9351
2020-10-08,54.2365
2020-10-09,51.8121
2020-10-10,51.8121
2020-10-11,51.8121
2020-10-12,52.0949
2020-10-13,49.8744
2020-10-14,49.7746
2020-10-15,49.1642
2020-10-16,48.8543
2020-10-17,48.8543
2020-10-18,48.8543
2020-10-19,47.9068
2020-10-20,48.531
2020-10-21,48.2591
2020-10-22,50.7045
2020-10-23,51.2943
2020-10-24,51.2943
2020-10-25,51.2943
2020-10-26,48.7878
2020-10-27,45.9379
2020-10-28,44.7169
2020-10-29,47.8326
2020-10-30,47.2094
2020-10-31,47.2094
2020-11-01,47.2094
2020-11-02,49.3702
2020-11-03,49.6842
2020-11-04,46.7796
2020-11-05,48.1564
2020-11-06,46.4738
2020-11-07,46.4738
2020-11-08,46.4738
2020-11-09,61.4102
2020-11-10,61.144
2020-11-11,55.9082
2020-11-12,52.2674
2020-11-13,56.1168
2020-11-14,56.1168
2020-11-15,56.1168
2020-11-16,58.7533
2020-11-17,58.7533
2020-11-18,56.7408
2020-11-19,59.2131
2020-11-20,59.505
2020-11-21,59.505
2020-11-22,59.505
2020-11-23,61.9694
2020-11-24,63.7666
2020-11-25,62.3243
2020-11-26,62.3243
2020-11-27,60.8646
2020-11-28,60.8646
2020-11-29,60.8646
2020-11-30,58.2979
2020-12-01,59.7247
2020-12-02,61.0134
2020-12-03,62.3266
2020-12-04,64.548
2020-12-05,64.548
2020-12-06,64.548
2020-12-07,60.6253
2020-12-08,61.0247
2020-12-09,61.424
2020-12-10,61.0693
2020-12-11,58.8377
2020-12-12,58.8377
2020-12-13,58.8377
2020-12-14,58.3341
2020-12-15,59.8184
2020-12-16,58.5174
2020-12-17,58.9914
2020-12-18,55.8242
2020-12-19,55.8242
2020-12-20,55.8242
2020-12-21,54.3321
2020-12-22,54.3817
2020-12-23,55.2786
2020-12-24,55.8048
2020-12-25,55.8048
2020-12-26,55.8048
2020-12-27,55.8048
2020-12-28,56.6188
2020-12-29,54.5675
2020-12-30,55.0901
2020-12-31,56.0966
2021-01-01,56.0966
2021-01-02,56.0966
2021-01-03,56.0966
2021-01-04,53.7471
2021-01-05,54.0373
2021-01-06,55.5599
2021-01-07,55.608
2021-01-08,56.7054
2021-01-09,56.7054
2021-01-10,56.7054
2021-01-11,53.345
2021-01-12,55.2215
2021-01-13,57.8556
2021-01-14,61.9483
2021-01-15,60.0147
2021-01-16,60.0147
2021-01-17,60.0147
2021-01-18,60.0147
2021-01-19,59.6885
2021-01-20,61.411
2021-01-21,60.6134
2021-01-22,61.2672
2021-01-23,61.2672
2021-01-24,61.2672
2021-01-25,62.5725
2021-01-26,63.5743
2021-01-27,60.9823
2021-01-28,61.5674
2021-01-29,56.9185
2021-01-30,56.9185
2021-01-31,56.9185
2021-02-01,56.9258
2021-02-02,56.4479
2021-02-03,57.1611
2021-02-04,58.5206
2021-02-05,59.7023
2021-02-06,59.7023
2021-02-07,59.7023
2021-02-08,61.2743
2021-02-09,63.6897
2021-02-10,65.9249
2021-02-11,67.6376
2021-02-12,67.626
2021-02-13,67.626
2021-02-14,67.626
2021-02-15,67.626
2021-02-16,68.0319
2021-02-17,65.953
2021-02-18,63.9768
2021-02-19,65.7818
2021-02-20,65.7818
2021-02-21,65.7818
2021-02-22,67.7032
2021-02-23,68.9713
2021-02-24,70.9215
2021-02-25,66.279
2021-02-26,64.2998
2021-02-27,64.2998
2021-02-28,64.2998
2021-03-01,64.871
2021-03-02,62.5521
2021-03-03,63.9277
2021-03-04,60.0921
2021-03-05,60.7575
2021-03-06,60.7575
2021-03-07,60.7575
2021-03-08,61.0931
2021-03-09,60.3876
2021-03-10,62.5056
2021-03-11,63.4403
2021-03-12,64.6383
2021-03-13,64.6383
2021-03-14,64.6383
2021-03-15,66.4276
2021-03-16,62.4745
2021-03-17,63.0989
2021-03-18,61.6634
2021-03-19,61.5308
2021-03-20,61.5308
2021-03-21,61.5308
2021-03-22,60.0514
2021-03-23,55.4185
2021-03-24,54.5106
2021-03-25,57.5319
2021-03-26,58.2291
2021-03-27,58.2291
2021-03-28,58.2291
2021-03-29,57.415
2021-03-30,58.5173
2021-03-31,56.9536
2021-04-01,57.9789
2021-04-02,57.9789
2021-04-03,57.9789
2021-04-04,57.9789
2021-04-05,57.8295
2021-04-06,58.8822
2021-04-07,59.2621
2021-04-08,57.78
2021-04-09,58.9946
2021-04-10,58.9946
2021-04-11,58.9946
2021-04-12,57.7225
2021-04-13,56.2637
2021-04-14,56.5809
2021-04-15,57.2643
2021-04-16,59.3481
2021-04-17,59.3481
2021-04-18,59.3481
2021-04-19,58.6979
2021-04-20,56.087
2021-04-21,58.8606
2021-04-22,56.6846
2021-04-23,57.7217
2021-04-24,57.7217
2021-04-25,57.7217
2021-04-26,60.2418
2021-04-27,61.8279
2021-04-28,62.3529
2021-04-29,62.5186
2021-04-30,60.6103
2021-05-01,60.6103
2021-05-02,60.6103
2021-05-03,61.7202
2021-05-04,59.5332
2021-05-05,59.0159
2021-05-06,60.6248
2021-05-07,62.1761
2021-05-08,62.1761
2021-05-09,62.1761
2021-05-10,63.5088
2021-05-11,58.6543
2021-05-12,53.4883
2021-05-13,53.7986
2021-05-14,57.1473
2021-05-15,57.1473
2021-05-16,57.1473
2021-05-17,57.1933
2021-05-18,57.4529
2021-05-19,57.1271
2021-05-20,57.3771
2021-05-21,57.1587
2021-05-22,57.1587
2021-05-23,57.1587
2021-05-24,59.0759
2021-05-25,58.7869
2021-05-26,60.6932
2021-05-27,61.9518
2021-05-28,62.1097
2021-05-29,62.1097
2021-05-30,62.1097
2021-05-31,62.1097
2021-06-01,66.2397
2021-06-02,66.8946
2021-06-03,65.4114
2021-06-04,63.118
2021-06-05,63.118
2021-06-06,63.118
2021-06-07,64.3671
2021-06-08,65.5597
2021-06-09,65.4008
2021-06-10,63.9967
2021-06-11,63.5798
2021-06-12,63.5798
2021-06-13,63.5798
2021-06-14,62.2933
2021-06-15,59.6766
2021-06-16,58.9557
2021-06-17,56.3525
2021-06-18,52.4951
2021-06-19,52.4951
2021-06-20,52.4951
2021-06-21,58.005
2021-06-22,56.6284
2021-06-23,58.2361
2021-06-24,56.4792
2021-06-25,56.8603
2021-06-26,56.8603
2021-06-27,56.8603
2021-06-28,55.8817
2021-06-29,56.5836
2021-06-30,55.9888
2021-07-01,58.205
2021-07-02,55.9424
2021-07-03,55.9424
2021-07-04,55.9424
2021-07-05,55.9424
2021-07-06,53.6928
2021-07-07,51.6937
2021-07-08,50.9512
2021-07-09,55.3147
2021-07-10,55.3147
2021-07-11,55.3147
2021-07-12,55.8272
2021-07-13,51.9381
2021-07-14,52.7201
2021-07-15,51.776
2021-07-16,49.7115
2021-07-17,49.7115
2021-07-18,49.7115
2021-07-19,43.31
2021-07-20,50.867
2021-07-21,52.6465
2021-07-22,50.3264
2021-07-23,49.5678
2021-07-24,49.5678
2021-07-25,49.5678
2021-07-26,51.8442
2021-07-27,50.8871
2021-07-28,50.3484
2021-07-29,50.9272
2021-07-30,51.4293
2021-07-31,51.4293
2021-08-01,51.4293
2021-08-02,51.2485
2021-08-03,53.945
2021-08-04,53.1516
2021-08-05,57.2762
2021-08-06,58.1136
2021-08-07,58.1136
2021-08-08,58.1136
2021-08-09,55.8488
2021-08-10,55.1363
2021-08-11,56.2149
2021-08-12,56.4778
2021-08-13,56.2927
2021-08-14,56.2927
2021-08-15,56.2927
2021-08-16,53.5685
2021-08-17,50.8708
2021-08-18,50.7691
2021-08-19,51.1913
2021-08-20,51.4814
2021-08-21,51.4814
2021-08-22,51.4814
2021-08-23,52.1364
2021-08-24,54.9624
2021-08-25,54.9407
2021-08-26,53.3115
2021-08-27,55.7117
2021-08-28,55.7117
2021-08-29,55.7117
2021-08-30,55.4004
2021-08-31,56.3379
2021-09-01,57.5451
2021-09-02,58.0828
2021-09-03,57.2587
2021-09-04,57.2587
2021-09-05,57.2587
2021-09-06,57.2587
2021-09-07,55.8279
2021-09-08,54.6795
2021-09-09,52.8836
2021-09-10,49.7933
2021-09-11,49.7933
2021-09-12,49.7933
2021-09-13,53.1235
2021-09-14,51.4143
2021-09-15,53.0084
2021-09-16,54.4852
2021-09-17,52.9011
2021-09-18,52.9011
2021-09-19,52.9011
2021-09-20,50.9844
2021-09-21,51.8709
2021-09-22,55.0584
2021-09-23,56.4141
2021-09-24,54.9428
2021-09-25,54.9428
2021-09-26,54.9428
2021-09-27,55.2281
2021-09-28,54.7026
2021-09-29,54.844
2021-09-30,50.3375
2021-10-01,53.5625
2021-10-02,53.5625
2021-10-03,53.5625
2021-10-04,52.571
2021-10-05,51.6159
2021-10-06,52.8724
2021-10-07,54.2818
2021-10-08,52.0614
2021-10-09,52.0614
2021-10-10,52.0614
2021-10-11,52.6224
2021-10-12,54.8007
2021-10-13,57.0615
2021-10-14,59.0045
2021-10-15,59.7733
2021-10-16,59.7733
2021-10-17,59.7733
2021-10-18,63.2278
2021-10-19,61.0995
2021-10-20,62.7276
2021-10-21,61.4722
2021-10-22,62.391
2021-10-23,62.391
2021-10-24,62.391
2021-10-25,63.6746
2021-10-26,63.0685
2021-10-27,59.938
2021-10-28,62.4582
2021-10-29,61.7777
2021-10-30,61.7777
2021-10-31,61.7777
2021-11-01,63.874
2021-11-02,69.8081
2021-11-03,73.2324
2021-11-04,72.6096
2021-11-05,74.627
2021-11-06,74.627
2021-11-07,74.627
2021-11-08,71.1092
2021-11-09,71.1545
2021-11-10,67.317
2021-11-11,68.0612
2021-11-12,67.3703
2021-11-13,67.3703
2021-11-14,67.3703
2021-11-15,68.149
2021-11-16,66.5825
2021-11-17,67.987
2021-11-18,68.9605
2021-11-19,66.0578
2021-11-20,66.0578
2021-11-21,66.0578
2021-11-22,66.7434
2021-11-23,67.3118
2021-11-24,67.3118
2021-11-25,67.3118
2021-11-26,58.514
2021-11-27,58.514
2021-11-28,58.514
2021-11-29,58.0185
2021-11-30,52.0268
2021-12-01,48.3053
2021-12-02,51.2237
2021-12-03,49.3644
2021-12-04,49.3644
2021-12-05,49.3644
2021-12-06,51.6816
2021-12-07,54.0119
2021-12-08,54.7541
2021-12-09,52.1441
2021-12-10,52.2631
2021-12-11,52.2631
2021-12-12,52.2631
2021-12-13,51.2954
2021-12-14,51.1691
2021-12-15,51.9676
2021-12-16,51.6684
2021-12-17,50.9261
2021-12-18,50.9261
2021-12-19,50.9261
2021-12-20,47.5379
2021-12-21,53.4308
2021-12-22,54.12
2021-12-23,54.0653
2021-12-24,54.0653
2021-12-25,54.0653
2021-12-26,54.0653
2021-12-27,56.0151
2021-12-28,55.4738
2021-12-29,56.1316
2021-12-30,56.9816
2021-12-31,56.7417
2022-01-01,56.7417
2022-01-02,56.7417
2022-01-03,57.1084
2022-01-04,58.9298
2022-01-05,57.1046
2022-01-06,58.5551
2022-01-07,56.7923
2022-01-08,56.7923
2022-01-09,56.7923
2022-01-10,56.4297
2022-01-11,57.1196
2022-01-12,57.1934
2022-01-13,57.9865
2022-01-14,51.2337
2022-01-15,51.2337
2022-01-16,51.2337
2022-01-17,51.2337
2022-01-18,49.7457
2022-01-19,45.7233
2022-01-20,44.9012
2022-01-21,44.5654
2022-01-22,44.5654
2022-01-23,44.5654
2022-01-24,43.9433
2022-01-25,44.5761
2022-01-26,43.676
2022-01-27,42.4277
2022-01-28,44.8494
2022-01-29,44.8494
2022-01-30,44.8494
2022-01-31,45.6038
2022-02-01,45.7573
2022-02-02,47.8416
2022-02-03,44.6108
2022-02-04,44.316
2022-02-05,44.316
2022-02-06,44.316
2022-02-07,47.8269
2022-02-08,42.7032
2022-02-09,43.6561
2022-02-10,44.466
2022-02-11,42.9241
2022-02-12,42.9241
2022-02-13,42.9241
2022-02-14,41.585
2022-02-15,42.9399
2022-02-16,45.288
2022-02-17,45.1443
2022-02-18,43.1173
2022-02-19,43.1173
2022-02-20,43.1173
2022-02-21,43.1173
2022-02-22,41.0828
2022-02-23,38.5035
2022-02-24,42.0498
2022-02-25,43.7326
2022-02-26,43.7326
2022-02-27,43.7326
2022-02-28,42.2866
2022-03-01,40.3764
2022-03-02,44.0592
2022-03-03,44.6025
2022-03-04,42.9052
2022-03-05,42.9052
2022-03-06,42.9052
2022-03-07,37.8136
2022-03-08,40.4592
2022-03-09,42.7728
2022-03-10,42.8053
2022-03-11,41.2544
2022-03-12,41.2544
2022-03-13,41.2544
2022-03-14,40.1607
2022-03-15,40.7633
2022-03-16,42.8765
2022-03-17,43.1506
2022-03-18,42.6153
2022-03-19,42.6153
2022-03-20,42.6153
2022-03-21,41.4464
2022-03-22,44.774
2022-03-23,42.8864
2022-03-24,42.9918
2022-03-25,43.0281
2022-03-26,43.0281
2022-03-27,43.0281
2022-03-28,44.4714
2022-03-29,49.7477
2022-03-30,47.3297
2022-03-31,45.1032
2022-04-01,46.2689
2022-04-02,46.2689
2022-04-03,46.2689
2022-04-04,47.4944
2022-04-05,44.7674
2022-04-06,43.0084
2022-04-07,41.5492
2022-04-08,43.2116
2022-04-09,43.2116
2022-04-10,43.2116
2022-04-11,42.7686
2022-04-12,42.3778
2022-04-13,43.6213
2022-04-14,43.8897
2022-04-15,43.8897
2022-04-16,43.8897
2022-04-17,43.8897
2022-04-18,43.8989
2022-04-19,46.9865
2022-04-20,48.0809
2022-04-21,46.714
2022-04-22,43.094
2022-04-23,43.094
2022-04-24,43.094
2022-04-25,43.4679
2022-04-26,41.9653
2022-04-27,40.6204
2022-04-28,42.7829
2022-04-29,38.6854
2022-04-30,38.6854
2022-05-01,38.6854
2022-05-02,38.004
2022-05-03,41.6949
2022-05-04,44.8233
2022-05-05,43.3699
2022-05-06,42.7805
2022-05-07,42.7805
2022-05-08,42.7805
2022-05-09,40.7682
2022-05-10,41.5432
2022-05-11,38.0013
2022-05-12,40.2702
2022-05-13,41.2586
2022-05-14,41.2586
2022-05-15,41.2586
2022-05-16,41.3365
2022-05-17,44.6207
2022-05-18,40.3604
2022-05-19,38.4177
2022-05-20,37.7955
2022-05-21,37.7955
2022-05-22,37.7955
2022-05-23,37.2392
2022-05-24,37.3106
2022-05-25,38.5219
2022-05-26,41.0205
2022-05-27,42.4683
2022-05-28,42.4683
2022-05-29,42.4683
2022-05-30,42.4683
2022-05-31,43.2483
2022-06-01,41.0696
2022-06-02,42.0673
2022-06-03,40.6018
2022-06-04,40.6018
2022-06-05,40.6018
2022-06-06,40.3991
2022-06-07,42.7813
2022-06-08,41.0265
2022-06-09,38.6084
2022-06-10,37.1312
2022-06-11,37.1312
2022-06-12,37.1312
2022-06-13,34.9527
2022-06-14,34.6254
2022-06-15,35.5904
2022-06-16,34.0766
2022-06-17,35.137
2022-06-18,35.137
2022-06-19,35.137
2022-06-20,35.137
2022-06-21,36.0322
2022-06-22,35.6701
2022-06-23,36.4445
2022-06-24,39.3835
2022-06-25,39.3835
2022-06-26,39.3835
2022-06-27,39.876
2022-06-28,39.3012
2022-06-29,38.005
2022-06-30,36.5391
2022-07-01,37.351
2022-07-02,37.351
2022-07-03,37.351
2022-07-04,37.351
2022-07-05,39.3473
2022-07-06,38.5736
2022-07-07,40.12
2022-07-08,39.9844
2022-07-09,39.9844
2022-07-10,39.9844
2022-07-11,39.6418
2022-07-12,40.0713
2022-07-13,38.5479
2022-07-14,37.4225
2022-07-15,40.1568
2022-07-16,40.1568
2022-07-17,40.1568
2022-07-18,42.6608
2022-07-19,46.3576
2022-07-20,47.4959
2022-07-21,48.2564
2022-07-22,47.7493
2022-07-23,47.7493
2022-07-24,47.7493
2022-07-25,48.1019
2022-07-26,46.7497
2022-07-27,48.3451
2022-07-28,51.5987
2022-07-29,52.6878
2022-07-30,52.6878
2022-07-31,52.6878
2022-08-01,52.6774
2022-08-02,49.4962
2022-08-03,50.908
2022-08-04,49.8055
2022-08-05,50.485
2022-08-06,50.485
2022-08-07,50.485
2022-08-08,52.7618
2022-08-09,51.8864
2022-08-10,55.0209
2022-08-11,57.3171
2022-08-12,58.7583
2022-08-13,58.7583
2022-08-14,58.7583
2022-08-15,55.9059
2022-08-16,56.9617
2022-08-17,55.1546
2022-08-18,55.5798
2022-08-19,53.1133
2022-08-20,53.1133
2022-08-21,53.1133
2022-08-22,48.9751
2022-08-23,49.0712
2022-08-24,48.9187
2022-08-25,50.4716
2022-08-26,47.2429
2022-08-27,47.2429
2022-08-28,47.2429
2022-08-29,46.1616
2022-08-30,46.3099
2022-08-31,44.6643
2022-09-01,44.0823
2022-09-02,43.363
2022-09-03,43.363
2022-09-04,43.363
2022-09-05,43.363
2022-09-06,43.966
2022-09-07,46.7491
2022-09-08,47.6868
2022-09-09,49.062
2022-09-10,49.062
2022-09-11,49.062
2022-09-12,50.6759
2022-09-13,45.77
2022-09-14,45.4129
2022-09-15,44.9452
2022-09-16,45.136
2022-09-17,45.136
2022-09-18,45.136
2022-09-19,45.8402
2022-09-20,43.8718
2022-09-21,41.3685
2022-09-22,38.421
2022-09-23,36.8554
2022-09-24,36.8554
2022-09-25,36.8554
2022-09-26,34.7876
2022-09-27,36.9545
2022-09-28,41.1912
2022-09-29,38.5855
2022-09-30,39.3097
2022-10-01,39.3097
2022-10-02,39.3097
2022-10-03,40.7438
2022-10-04,45.9924
2022-10-05,45.9064
2022-10-06,44.9583
2022-10-07,43.1483
2022-10-08,43.1483
2022-10-09,43.1483
2022-10-10,43.1399
2022-10-11,45.6453
2022-10-12,44.6325
2022-10-13,46.9299
2022-10-14,46.9617
2022-10-15,46.9617
2022-10-16,46.9617
2022-10-17,50.3343
2022-10-18,49.846
2022-10-19,49.2109
2022-10-20,49.5067
2022-10-21,52.3079
2022-10-22,52.3079
2022-10-23,52.3079
2022-10-24,53.6241
2022-10-25,56.7775
2022-10-26,56.4209
2022-10-27,57.1925
2022-10-28,59.414
2022-10-29,59.414
2022-10-30,59.414
2022-10-31,59.4309
2022-11-01,63.2852
2022-11-02,60.5544
2022-11-03,61.3057
2022-11-04,63.5213
2022-11-05,63.5213
2022-11-06,63.5213
2022-11-07,64.4371
2022-11-08,62.623
2022-11-09,59.6288
2022-11-10,64.6136
2022-11-11,64.7149
2022-11-12,64.7149
2022-11-13,64.7149
2022-11-14,61.6679
2022-11-15,63.4228
2022-11-16,58.6003
2022-11-17,58.7424
2022-11-18,60.2313
2022-11-19,60.2313
2022-11-20,60.2313
2022-11-21,59.4737
2022-11-22,61.0234
2022-11-23,61.184
2022-11-24,61.184
2022-11-25,61.9523
2022-11-26,61.9523
2022-11-27,61.9523
2022-11-28,56.6915
2022-11-29,57.9623
2022-11-30,59.3978
2022-12-01,58.9456
2022-12-02,59.1922
2022-12-03,59.1922
2022-12-04,59.1922
2022-12-05,57.4083
2022-12-06,57.8621
2022-12-07,58.4962
2022-12-08,58.3445
2022-12-09,57.9022
2022-12-10,57.9022
2022-12-11,57.9022
2022-12-12,59.507
2022-12-13,60.8447
2022-12-14,60.1719
2022-12-15,58.2852
2022-12-16,55.9965
2022-12-17,55.9965
2022-12-18,55.9965
2022-12-19,55.1665
2022-12-20,55.2058
2022-12-21,56.0905
2022-12-22,55.8469
2022-12-23,57.408
2022-12-24,57.408
2022-12-25,57.408
2022-12-26,57.408
2022-12-27,57.5981
2022-12-28,53.6357
2022-12-29,55.9654
2022-12-30,56.1269
2022-12-31,56.1269
2023-01-01,56.1269
2023-01-02,56.1269
2023-01-03,56.1892
2023-01-04,59.7567
2023-01-05,54.9724
2023-01-06,56.3733
2023-01-07,56.3733
2023-01-08,56.3733
2023-01-09,55.6934
2023-01-10,53.8962
2023-01-11,58.1794
2023-01-12,61.9351
2023-01-13,61.4175
2023-01-14,61.4175
2023-01-15,61.4175
2023-01-16,61.4175
2023-01-17,60.73
2023-01-18,57.3833
2023-01-19,55.8656
2023-01-20,58.221
2023-01-21,58.221
2023-01-22,58.221
2023-01-23,59.3112
2023-01-24,59.7067
2023-01-25,59.3833
2023-01-26,60.3574
2023-01-27,62.2314
2023-01-28,62.2314
2023-01-29,62.2314
2023-01-30,58.8725
2023-01-31,60.9309
2023-02-01,61.3061
2023-02-02,63.5116
2023-02-03,61.0206
2023-02-04,61.0206
2023-02-05,61.0206
2023-02-06,59.5919
2023-02-07,56.3932
2023-02-08,54.5578
2023-02-09,54.7139
2023-02-10,54.6453
2023-02-11,54.6453
2023-02-12,54.6453
2023-02-13,56.0045
2023-02-14,55.5589
2023-02-15,55.6674
2023-02-16,54.2111
2023-02-17,53.3596
2023-02-18,53.3596
2023-02-19,53.3596
2023-02-20,53.3596
2023-02-21,49.7945
2023-02-22,50.3365
2023-02-23,51.6854
2023-02-24,51.1228
2023-02-25,51.1228
2023-02-26,51.1228
2023-02-27,51.9063
2023-02-28,51.38
2023-03-01,50.3244
2023-03-02,52.2572
2023-03-03,53.6901
2023-03-04,53.6901
2023-03-05,53.6901
2023-03-06,53.3802
2023-03-07,49.2384
2023-03-08,51.1388
2023-03-09,47.4775
2023-03-10,41.6664
2023-03-11,41.6664
2023-03-12,41.6664
2023-03-13,41.5938
2023-03-14,42.603
2023-03-15,40.2856
2023-03-16,39.8479
2023-03-17,35.8287
2023-03-18,35.8287
2023-03-19,35.8287
2023-03-20,39.4587
