,TMP US Equity
2020-12-11,57.4812
2020-12-12,57.4812
2020-12-13,57.4812
2020-12-14,57.8915
2020-12-15,59.6403
2020-12-16,59.3966
2020-12-17,59.1026
2020-12-18,56.9594
2020-12-19,56.9594
2020-12-20,56.9594
2020-12-21,56.1993
2020-12-22,53.9643
2020-12-23,56.6242
2020-12-24,56.3683
2020-12-25,56.3683
2020-12-26,56.3683
2020-12-27,56.3683
2020-12-28,57.5909
2020-12-29,56.3115
2020-12-30,57.0601
2020-12-31,56.5739
2021-01-01,56.5739
2021-01-02,56.5739
2021-01-03,56.5739
2021-01-04,54.4587
2021-01-05,56.8048
2021-01-06,61.8377
2021-01-07,63.4558
2021-01-08,60.8605
2021-01-09,60.8605
2021-01-10,60.8605
2021-01-11,61.0207
2021-01-12,62.1794
2021-01-13,59.4022
2021-01-14,60.9925
2021-01-15,58.728
2021-01-16,58.728
2021-01-17,58.728
2021-01-18,58.728
2021-01-19,59.9716
2021-01-20,58.1173
2021-01-21,55.6132
2021-01-22,58.6357
2021-01-23,58.6357
2021-01-24,58.6357
2021-01-25,55.8927
2021-01-26,52.9503
2021-01-27,50.2913
2021-01-28,50.5668
2021-01-29,46.8787
2021-01-30,46.8787
2021-01-31,46.8787
2021-02-01,48.6193
2021-02-02,50.6087
2021-02-03,50.7917
2021-02-04,53.0376
2021-02-05,53.5036
2021-02-06,53.5036
2021-02-07,53.5036
2021-02-08,55.5857
2021-02-09,56.3684
2021-02-10,56.7774
2021-02-11,56.1927
2021-02-12,56.7477
2021-02-13,56.7477
2021-02-14,56.7477
2021-02-15,56.7477
2021-02-16,56.4684
2021-02-17,56.612
2021-02-18,56.287
2021-02-19,57.2563
2021-02-20,57.2563
2021-02-21,57.2563
2021-02-22,59.4384
2021-02-23,60.59
2021-02-24,62.8711
2021-02-25,59.1288
2021-02-26,56.3639
2021-02-27,56.3639
2021-02-28,56.3639
2021-03-01,59.7228
2021-03-02,57.9793
2021-03-03,59.4678
2021-03-04,60.8277
2021-03-05,64.4286
2021-03-06,64.4286
2021-03-07,64.4286
2021-03-08,66.7897
2021-03-09,64.5454
2021-03-10,66.6455
2021-03-11,66.4758
2021-03-12,67.5446
2021-03-13,67.5446
2021-03-14,67.5446
2021-03-15,66.0772
2021-03-16,61.8908
2021-03-17,59.7026
2021-03-18,57.9086
2021-03-19,59.4998
2021-03-20,59.4998
2021-03-21,59.4998
2021-03-22,55.8627
2021-03-23,52.1005
2021-03-24,52.6817
2021-03-25,55.0496
2021-03-26,56.1405
2021-03-27,56.1405
2021-03-28,56.1405
2021-03-29,53.9598
2021-03-30,55.2847
2021-03-31,53.4536
2021-04-01,53.2797
2021-04-02,53.2797
2021-04-03,53.2797
2021-04-04,53.2797
2021-04-05,52.1072
2021-04-06,51.4829
2021-04-07,50.1949
2021-04-08,51.138
2021-04-09,51.3006
2021-04-10,51.3006
2021-04-11,51.3006
2021-04-12,51.2888
2021-04-13,49.4914
2021-04-14,50.6033
2021-04-15,50.2181
2021-04-16,50.1564
2021-04-17,50.1564
2021-04-18,50.1564
2021-04-19,49.1565
2021-04-20,46.6434
2021-04-21,48.7943
2021-04-22,48.046
2021-04-23,49.8924
2021-04-24,49.8924
2021-04-25,49.8924
2021-04-26,49.3756
2021-04-27,48.5881
2021-04-28,48.2034
2021-04-29,48.6799
2021-04-30,48.355
2021-05-01,48.355
2021-05-02,48.355
2021-05-03,51.3363
2021-05-04,51.5806
2021-05-05,51.0649
2021-05-06,51.7212
2021-05-07,51.2268
2021-05-08,51.2268
2021-05-09,51.2268
2021-05-10,49.8465
2021-05-11,49.1385
2021-05-12,46.8206
2021-05-13,54.511
2021-05-14,55.8037
2021-05-15,55.8037
2021-05-16,55.8037
2021-05-17,56.7602
2021-05-18,53.0752
2021-05-19,52.3576
2021-05-20,52.0663
2021-05-21,53.6406
2021-05-22,53.6406
2021-05-23,53.6406
2021-05-24,52.8343
2021-05-25,48.5342
2021-05-26,50.6265
2021-05-27,52.832
2021-05-28,52.0352
2021-05-29,52.0352
2021-05-30,52.0352
2021-05-31,52.0352
2021-06-01,53.5368
2021-06-02,51.9557
2021-06-03,53.6698
2021-06-04,53.6099
2021-06-05,53.6099
2021-06-06,53.6099
2021-06-07,55.2767
2021-06-08,56.9871
2021-06-09,53.8239
2021-06-10,53.0952
2021-06-11,53.2155
2021-06-12,53.2155
2021-06-13,53.2155
2021-06-14,51.3818
2021-06-15,53.8559
2021-06-16,54.8484
2021-06-17,50.0695
2021-06-18,46.893
2021-06-19,46.893
2021-06-20,46.893
2021-06-21,49.5293
2021-06-22,49.0898
2021-06-23,48.4875
2021-06-24,49.7762
2021-06-25,49.3369
2021-06-26,49.3369
2021-06-27,49.3369
2021-06-28,46.7491
2021-06-29,46.5279
2021-06-30,45.9066
2021-07-01,47.0276
2021-07-02,45.0298
2021-07-03,45.0298
2021-07-04,45.0298
2021-07-05,45.0298
2021-07-06,42.4507
2021-07-07,43.427
2021-07-08,42.0376
2021-07-09,47.0048
2021-07-10,47.0048
2021-07-11,47.0048
2021-07-12,47.5856
2021-07-13,45.2878
2021-07-14,45.4249
2021-07-15,46.367
2021-07-16,44.9332
2021-07-17,44.9332
2021-07-18,44.9332
2021-07-19,42.4538
2021-07-20,44.8428
2021-07-21,45.9346
2021-07-22,43.6917
2021-07-23,45.9466
2021-07-24,45.9466
2021-07-25,45.9466
2021-07-26,46.7124
2021-07-27,46.2341
2021-07-28,47.5762
2021-07-29,47.7777
2021-07-30,47.8733
2021-07-31,47.8733
2021-08-01,47.8733
2021-08-02,46.9475
2021-08-03,49.35
2021-08-04,47.7521
2021-08-05,49.4767
2021-08-06,52.593
2021-08-07,52.593
2021-08-08,52.593
2021-08-09,51.2903
2021-08-10,52.5939
2021-08-11,56.1275
2021-08-12,55.066
2021-08-13,54.7813
2021-08-14,54.7813
2021-08-15,54.7813
2021-08-16,55.4678
2021-08-17,52.6978
2021-08-18,51.6085
2021-08-19,51.4117
2021-08-20,52.9588
2021-08-21,52.9588
2021-08-22,52.9588
2021-08-23,52.1176
2021-08-24,51.6843
2021-08-25,51.052
2021-08-26,48.3658
2021-08-27,53.6224
2021-08-28,53.6224
2021-08-29,53.6224
2021-08-30,49.5903
2021-08-31,51.8184
2021-09-01,51.787
2021-09-02,52.0721
2021-09-03,51.2147
2021-09-04,51.2147
2021-09-05,51.2147
2021-09-06,51.2147
2021-09-07,48.7098
2021-09-08,47.7707
2021-09-09,47.3373
2021-09-10,45.5511
2021-09-11,45.5511
2021-09-12,45.5511
2021-09-13,47.9974
2021-09-14,45.8079
2021-09-15,47.3833
2021-09-16,45.2956
2021-09-17,49.7914
2021-09-18,49.7914
2021-09-19,49.7914
2021-09-20,45.955
2021-09-21,44.9667
2021-09-22,47.2061
2021-09-23,50.2934
2021-09-24,51.0236
2021-09-25,51.0236
2021-09-26,51.0236
2021-09-27,53.9696
2021-09-28,52.2907
2021-09-29,54.3326
2021-09-30,54.0885
2021-10-01,55.3968
2021-10-02,55.3968
2021-10-03,55.3968
2021-10-04,53.9482
2021-10-05,55.6688
2021-10-06,54.7234
2021-10-07,56.3732
2021-10-08,55.8264
2021-10-09,55.8264
2021-10-10,55.8264
2021-10-11,53.4846
2021-10-12,54.1751
2021-10-13,53.4042
2021-10-14,54.7917
2021-10-15,54.2292
2021-10-16,54.2292
2021-10-17,54.2292
2021-10-18,53.4042
2021-10-19,53.4195
2021-10-20,55.6453
2021-10-21,53.2275
2021-10-22,53.8378
2021-10-23,53.8378
2021-10-24,53.8378
2021-10-25,56.4534
2021-10-26,55.6652
2021-10-27,50.9111
2021-10-28,52.9019
2021-10-29,53.2704
2021-10-30,53.2704
2021-10-31,53.2704
2021-11-01,56.1308
2021-11-02,53.4889
2021-11-03,56.6672
2021-11-04,54.3929
2021-11-05,56.7076
2021-11-06,56.7076
2021-11-07,56.7076
2021-11-08,57.0227
2021-11-09,55.3391
2021-11-10,55.023
2021-11-11,55.9814
2021-11-12,54.9602
2021-11-13,54.9602
2021-11-14,54.9602
2021-11-15,56.2748
2021-11-16,54.865
2021-11-17,54.3543
2021-11-18,54.5955
2021-11-19,52.7745
2021-11-20,52.7745
2021-11-21,52.7745
2021-11-22,53.8159
2021-11-23,56.0489
2021-11-24,54.2224
2021-11-25,54.2224
2021-11-26,47.837
2021-11-27,47.837
2021-11-28,47.837
2021-11-29,45.5037
2021-11-30,45.09
2021-12-01,44.1083
2021-12-02,49.5208
2021-12-03,46.6974
2021-12-04,46.6974
2021-12-05,46.6974
2021-12-06,49.9531
2021-12-07,47.7666
2021-12-08,49.3154
2021-12-09,47.5007
2021-12-10,47.9347
2021-12-11,47.9347
2021-12-12,47.9347
2021-12-13,47.5551
2021-12-14,47.9057
2021-12-15,51.1648
2021-12-16,51.5181
2021-12-17,49.163
2021-12-18,49.163
2021-12-19,49.163
2021-12-20,47.7517
2021-12-21,51.1873
2021-12-22,51.1726
2021-12-23,52.319
2021-12-24,52.319
2021-12-25,52.319
2021-12-26,52.319
2021-12-27,53.9218
2021-12-28,53.5048
2021-12-29,53.7325
2021-12-30,53.4279
2021-12-31,53.834
2022-01-01,53.834
2022-01-02,53.834
2022-01-03,54.6224
2022-01-04,56.0412
2022-01-05,55.1032
2022-01-06,57.2217
2022-01-07,57.6839
2022-01-08,57.6839
2022-01-09,57.6839
2022-01-10,55.3633
2022-01-11,53.6514
2022-01-12,53.1891
2022-01-13,54.4716
2022-01-14,56.3807
2022-01-15,56.3807
2022-01-16,56.3807
2022-01-17,56.3807
2022-01-18,53.3638
2022-01-19,50.8163
2022-01-20,47.7383
2022-01-21,47.8773
2022-01-22,47.8773
2022-01-23,47.8773
2022-01-24,50.9631
2022-01-25,50.557
2022-01-26,48.9922
2022-01-27,46.1182
2022-01-28,45.5381
2022-01-29,45.5381
2022-01-30,45.5381
2022-01-31,45.5069
2022-02-01,47.9926
2022-02-02,46.8784
2022-02-03,46.0169
2022-02-04,46.7239
2022-02-05,46.7239
2022-02-06,46.7239
2022-02-07,46.2464
2022-02-08,49.1461
2022-02-09,44.9287
2022-02-10,44.2635
2022-02-11,45.2579
2022-02-12,45.2579
2022-02-13,45.2579
2022-02-14,44.8682
2022-02-15,50.7538
2022-02-16,49.2833
2022-02-17,48.2526
2022-02-18,48.7887
2022-02-19,48.7887
2022-02-20,48.7887
2022-02-21,48.7887
2022-02-22,48.3397
2022-02-23,45.2265
2022-02-24,43.7835
2022-02-25,48.1621
2022-02-26,48.1621
2022-02-27,48.1621
2022-02-28,47.7259
2022-03-01,43.3207
2022-03-02,47.9824
2022-03-03,48.9304
2022-03-04,47.8185
2022-03-05,47.8185
2022-03-06,47.8185
2022-03-07,47.2037
2022-03-08,45.3783
2022-03-09,48.4233
2022-03-10,48.5045
2022-03-11,49.7476
2022-03-12,49.7476
2022-03-13,49.7476
2022-03-14,51.5313
2022-03-15,50.7165
2022-03-16,51.4618
2022-03-17,50.9764
2022-03-18,48.7996
2022-03-19,48.7996
2022-03-20,48.7996
2022-03-21,49.4107
2022-03-22,50.5957
2022-03-23,47.0106
2022-03-24,47.9729
2022-03-25,50.5534
2022-03-26,50.5534
2022-03-27,50.5534
2022-03-28,49.4538
2022-03-29,50.5995
2022-03-30,47.0893
2022-03-31,47.3554
2022-04-01,48.7072
2022-04-02,48.7072
2022-04-03,48.7072
2022-04-04,46.5591
2022-04-05,45.3673
2022-04-06,43.9138
2022-04-07,43.6095
2022-04-08,42.468
2022-04-09,42.468
2022-04-10,42.468
2022-04-11,44.4922
2022-04-12,44.9485
2022-04-13,46.2016
2022-04-14,46.2418
2022-04-15,46.2418
2022-04-16,46.2418
2022-04-17,46.2418
2022-04-18,46.3247
2022-04-19,49.7537
2022-04-20,50.4997
2022-04-21,48.7339
2022-04-22,45.7648
2022-04-23,45.7648
2022-04-24,45.7648
2022-04-25,46.6011
2022-04-26,43.6624
2022-04-27,42.6178
2022-04-28,44.9044
2022-04-29,40.8421
2022-04-30,40.8421
2022-05-01,40.8421
2022-05-02,43.7827
2022-05-03,43.298
2022-05-04,46.8546
2022-05-05,44.0858
2022-05-06,43.6874
2022-05-07,43.6874
2022-05-08,43.6874
2022-05-09,45.7689
2022-05-10,44.4854
2022-05-11,43.2901
2022-05-12,44.3475
2022-05-13,42.7591
2022-05-14,42.7591
2022-05-15,42.7591
2022-05-16,43.3844
2022-05-17,46.2453
2022-05-18,43.7544
2022-05-19,41.1717
2022-05-20,41.7873
2022-05-21,41.7873
2022-05-22,41.7873
2022-05-23,44.6663
2022-05-24,46.5388
2022-05-25,46.9936
2022-05-26,48.7786
2022-05-27,50.7707
2022-05-28,50.7707
2022-05-29,50.7707
2022-05-30,50.7707
2022-05-31,51.2145
2022-06-01,48.3039
2022-06-02,49.8824
2022-06-03,47.3561
2022-06-04,47.3561
2022-06-05,47.3561
2022-06-06,48.7172
2022-06-07,49.3157
2022-06-08,47.4617
2022-06-09,44.5627
2022-06-10,42.6023
2022-06-11,42.6023
2022-06-12,42.6023
2022-06-13,41.5441
2022-06-14,42.1192
2022-06-15,42.5025
2022-06-16,40.225
2022-06-17,41.9667
2022-06-18,41.9667
2022-06-19,41.9667
2022-06-20,41.9667
2022-06-21,44.2216
2022-06-22,44.2805
2022-06-23,43.4571
2022-06-24,47.2977
2022-06-25,47.2977
2022-06-26,47.2977
2022-06-27,45.8108
2022-06-28,45.1016
2022-06-29,44.9706
2022-06-30,47.2672
2022-07-01,48.8842
2022-07-02,48.8842
2022-07-03,48.8842
2022-07-04,48.8842
2022-07-05,49.71
2022-07-06,48.6746
2022-07-07,47.9006
2022-07-08,47.9821
2022-07-09,47.9821
2022-07-10,47.9821
2022-07-11,47.7119
2022-07-12,47.1818
2022-07-13,44.8704
2022-07-14,44.7954
2022-07-15,49.8101
2022-07-16,49.8101
2022-07-17,49.8101
2022-07-18,48.5847
2022-07-19,52.1039
2022-07-20,52.6842
2022-07-21,53.4741
2022-07-22,51.7504
2022-07-23,51.7504
2022-07-24,51.7504
2022-07-25,52.628
2022-07-26,55.2654
2022-07-27,57.1219
2022-07-28,57.3464
2022-07-29,57.1321
2022-07-30,57.1321
2022-07-31,57.1321
2022-08-01,57.6453
2022-08-02,53.5919
2022-08-03,53.9251
2022-08-04,52.5924
2022-08-05,53.8338
2022-08-06,53.8338
2022-08-07,53.8338
2022-08-08,53.3129
2022-08-09,53.9208
2022-08-10,55.5916
2022-08-11,55.6942
2022-08-12,59.5774
2022-08-13,59.5774
2022-08-14,59.5774
2022-08-15,60.6426
2022-08-16,62.3694
2022-08-17,59.79
2022-08-18,59.1312
2022-08-19,58.1241
2022-08-20,58.1241
2022-08-21,58.1241
2022-08-22,53.4641
2022-08-23,50.3541
2022-08-24,49.5448
2022-08-25,50.6882
2022-08-26,48.3772
2022-08-27,48.3772
2022-08-28,48.3772
2022-08-29,44.9059
2022-08-30,46.0817
2022-08-31,43.83
2022-09-01,47.2459
2022-09-02,44.6713
2022-09-03,44.6713
2022-09-04,44.6713
2022-09-05,44.6713
2022-09-06,48.6846
2022-09-07,50.5855
2022-09-08,50.2424
2022-09-09,51.6742
2022-09-10,51.6742
2022-09-11,51.6742
2022-09-12,53.5132
2022-09-13,49.0404
2022-09-14,50.2357
2022-09-15,51.8184
2022-09-16,50.2223
2022-09-17,50.2223
2022-09-18,50.2223
2022-09-19,53.7907
2022-09-20,54.1046
2022-09-21,52.9108
2022-09-22,51.3543
2022-09-23,50.426
2022-09-24,50.426
2022-09-25,50.426
2022-09-26,49.8176
2022-09-27,47.2558
2022-09-28,48.7847
2022-09-29,46.9091
2022-09-30,46.1503
2022-10-01,46.1503
2022-10-02,46.1503
2022-10-03,47.8353
2022-10-04,52.7051
2022-10-05,51.7212
2022-10-06,50.7045
2022-10-07,47.8398
2022-10-08,47.8398
2022-10-09,47.8398
2022-10-10,49.3117
2022-10-11,50.7141
2022-10-12,50.2657
2022-10-13,55.4447
2022-10-14,54.7486
2022-10-15,54.7486
2022-10-16,54.7486
2022-10-17,56.8799
2022-10-18,56.3787
2022-10-19,56.6788
2022-10-20,52.2183
2022-10-21,55.6103
2022-10-22,55.6103
2022-10-23,55.6103
2022-10-24,56.854
2022-10-25,57.4848
2022-10-26,57.2031
2022-10-27,58.2904
2022-10-28,62.0073
2022-10-29,62.0073
2022-10-30,62.0073
2022-10-31,61.3531
2022-11-01,62.0085
2022-11-02,59.7411
2022-11-03,57.8622
2022-11-04,61.2306
2022-11-05,61.2306
2022-11-06,61.2306
2022-11-07,59.1622
2022-11-08,57.3163
2022-11-09,57.6796
2022-11-10,60.1232
2022-11-11,56.3148
2022-11-12,56.3148
2022-11-13,56.3148
2022-11-14,57.2533
2022-11-15,60.6699
2022-11-16,57.4306
2022-11-17,57.8538
2022-11-18,57.2648
2022-11-19,57.2648
2022-11-20,57.2648
2022-11-21,58.9924
2022-11-22,57.9697
2022-11-23,57.9975
2022-11-24,57.9975
2022-11-25,58.7343
2022-11-26,58.7343
2022-11-27,58.7343
2022-11-28,55.6837
2022-11-29,54.8762
2022-11-30,57.1628
2022-12-01,57.4833
2022-12-02,56.5483
2022-12-03,56.5483
2022-12-04,56.5483
2022-12-05,51.6821
2022-12-06,52.5179
2022-12-07,50.3687
2022-12-08,50.9051
2022-12-09,50.0827
2022-12-10,50.0827
2022-12-11,50.0827
2022-12-12,50.1713
2022-12-13,49.1428
2022-12-14,46.6934
2022-12-15,44.0059
2022-12-16,42.9344
2022-12-17,42.9344
2022-12-18,42.9344
2022-12-19,44.2778
2022-12-20,44.4595
2022-12-21,47.3597
2022-12-22,45.7459
2022-12-23,47.0296
2022-12-24,47.0296
2022-12-25,47.0296
2022-12-26,47.0296
2022-12-27,48.239
2022-12-28,46.0631
2022-12-29,47.35
2022-12-30,47.6047
2022-12-31,47.6047
2023-01-01,47.6047
2023-01-02,47.6047
2023-01-03,46.7057
2023-01-04,45.4276
2023-01-05,44.432
2023-01-06,47.6395
2023-01-07,47.6395
2023-01-08,47.6395
2023-01-09,45.2865
2023-01-10,44.3231
2023-01-11,44.4732
2023-01-12,48.284
2023-01-13,48.21
2023-01-14,48.21
2023-01-15,48.21
2023-01-16,48.21
2023-01-17,46.7641
2023-01-18,43.6883
2023-01-19,42.5276
2023-01-20,45.1194
2023-01-21,45.1194
2023-01-22,45.1194
2023-01-23,44.9304
2023-01-24,43.8087
2023-01-25,43.7739
2023-01-26,44.2547
2023-01-27,45.7626
2023-01-28,45.7626
2023-01-29,45.7626
2023-01-30,43.7767
2023-01-31,46.149
2023-02-01,45.6743
2023-02-02,51.2552
2023-02-03,52.567
2023-02-04,52.567
2023-02-05,52.567
2023-02-06,51.6357
2023-02-07,54.8016
2023-02-08,50.9689
2023-02-09,49.0729
2023-02-10,49.2071
2023-02-11,49.2071
2023-02-12,49.2071
2023-02-13,49.7934
2023-02-14,47.9607
2023-02-15,51.6252
2023-02-16,49.5466
2023-02-17,51.2628
2023-02-18,51.2628
2023-02-19,51.2628
2023-02-20,51.2628
2023-02-21,48.4575
2023-02-22,48.0839
2023-02-23,47.9927
2023-02-24,47.4899
2023-02-25,47.4899
2023-02-26,47.4899
2023-02-27,47.3189
2023-02-28,46.5106
2023-03-01,45.8546
2023-03-02,44.2409
2023-03-03,46.443
2023-03-04,46.443
2023-03-05,46.443
2023-03-06,44.4203
2023-03-07,43.2015
2023-03-08,43.9378
2023-03-09,38.5954
2023-03-10,42.4627
2023-03-11,42.4627
2023-03-12,42.4627
2023-03-13,35.5427
2023-03-14,38.8895
2023-03-15,39.1258
2023-03-16,45.3079
2023-03-17,41.0581
2023-03-18,41.0581
