,SOI US Equity
,RSI_30D
2020-11-05,41.872
2020-11-06,43.031
2020-11-07,43.031
2020-11-08,43.031
2020-11-09,49.4079
2020-11-10,52.6945
2020-11-11,51.4375
2020-11-12,48.8268
2020-11-13,49.7403
2020-11-14,49.7403
2020-11-15,49.7403
2020-11-16,53.7277
2020-11-17,53.4146
2020-11-18,52.8832
2020-11-19,54.0189
2020-11-20,52.9193
2020-11-21,52.9193
2020-11-22,52.9193
2020-11-23,55.5408
2020-11-24,57.9622
2020-11-25,54.8819
2020-11-26,54.8819
2020-11-27,53.5961
2020-11-28,53.5961
2020-11-29,53.5961
2020-11-30,51.217
2020-12-01,52.9093
2020-12-02,55.145
2020-12-03,56.1781
2020-12-04,59.2525
2020-12-05,59.2525
2020-12-06,59.2525
2020-12-07,59.8657
2020-12-08,63.2943
2020-12-09,65.6353
2020-12-10,68.8058
2020-12-11,71.0367
2020-12-12,71.0367
2020-12-13,71.0367
2020-12-14,71.4499
2020-12-15,71.2163
2020-12-16,71.2649
2020-12-17,66.5032
2020-12-18,60.9541
2020-12-19,60.9541
2020-12-20,60.9541
2020-12-21,57.7245
2020-12-22,55.3828
2020-12-23,57.747
2020-12-24,56.2065
2020-12-25,56.2065
2020-12-26,56.2065
2020-12-27,56.2065
2020-12-28,55.3578
2020-12-29,54.4226
2020-12-30,55.4835
2020-12-31,54.6069
2021-01-01,54.6069
2021-01-02,54.6069
2021-01-03,54.6069
2021-01-04,56.1131
2021-01-05,58.7432
2021-01-06,60.9763
2021-01-07,61.3371
2021-01-08,60.4695
2021-01-09,60.4695
2021-01-10,60.4695
2021-01-11,63.2202
2021-01-12,65.4884
2021-01-13,64.8969
2021-01-14,68.6987
2021-01-15,65.7701
2021-01-16,65.7701
2021-01-17,65.7701
2021-01-18,65.7701
2021-01-19,65.8187
2021-01-20,63.9395
2021-01-21,60.6268
2021-01-22,62.5267
2021-01-23,62.5267
2021-01-24,62.5267
2021-01-25,59.7161
2021-01-26,58.5609
2021-01-27,53.7933
2021-01-28,54.4126
2021-01-29,53.9637
2021-01-30,53.9637
2021-01-31,53.9637
2021-02-01,55.7874
2021-02-02,56.585
2021-02-03,57.6785
2021-02-04,58.5779
2021-02-05,58.939
2021-02-06,58.939
2021-02-07,58.939
2021-02-08,61.3771
2021-02-09,65.2405
2021-02-10,67.1631
2021-02-11,64.4201
2021-02-12,68.4594
2021-02-13,68.4594
2021-02-14,68.4594
2021-02-15,68.4594
2021-02-16,68.3766
2021-02-17,66.2227
2021-02-18,63.0611
2021-02-19,63.6888
2021-02-20,63.6888
2021-02-21,63.6888
2021-02-22,64.751
2021-02-23,65.8281
2021-02-24,65.3324
2021-02-25,60.6843
2021-02-26,62.2388
2021-02-27,62.2388
2021-02-28,62.2388
2021-03-01,63.3296
2021-03-02,60.1823
2021-03-03,59.0972
2021-03-04,60.8031
2021-03-05,64.8344
2021-03-06,64.8344
2021-03-07,64.8344
2021-03-08,66.8089
2021-03-09,66.846
2021-03-10,69.4225
2021-03-11,70.7742
2021-03-12,71.6601
2021-03-13,71.6601
2021-03-14,71.6601
2021-03-15,72.09
2021-03-16,70.0485
2021-03-17,70.9962
2021-03-18,68.7459
2021-03-19,58.9484
2021-03-20,58.9484
2021-03-21,58.9484
2021-03-22,56.2948
2021-03-23,56.8083
2021-03-24,57.4122
2021-03-25,57.6746
2021-03-26,58.512
2021-03-27,58.512
2021-03-28,58.512
2021-03-29,54.849
2021-03-30,53.7816
2021-03-31,53.8305
2021-04-01,56.4529
2021-04-02,56.4529
2021-04-03,56.4529
2021-04-04,56.4529
2021-04-05,53.8086
2021-04-06,53.359
2021-04-07,52.6197
2021-04-08,53.441
2021-04-09,50.2323
2021-04-10,50.2323
2021-04-11,50.2323
2021-04-12,48.9521
2021-04-13,47.6437
2021-04-14,50.2308
2021-04-15,49.057
2021-04-16,47.4914
2021-04-17,47.4914
2021-04-18,47.4914
2021-04-19,47.3352
2021-04-20,45.1331
2021-04-21,43.0608
2021-04-22,42.359
2021-04-23,43.063
2021-04-24,43.063
2021-04-25,43.063
2021-04-26,43.9007
2021-04-27,43.9663
2021-04-28,47.6992
2021-04-29,48.7175
2021-04-30,47.4251
2021-05-01,47.4251
2021-05-02,47.4251
2021-05-03,51.4242
2021-05-04,46.0658
2021-05-05,44.1975
2021-05-06,43.8753
2021-05-07,47.3889
2021-05-08,47.3889
2021-05-09,47.3889
2021-05-10,45.3066
2021-05-11,43.8568
2021-05-12,44.8271
2021-05-13,44.0397
2021-05-14,45.9463
2021-05-15,45.9463
2021-05-16,45.9463
2021-05-17,46.8544
2021-05-18,44.9501
2021-05-19,44.9501
2021-05-20,44.2105
2021-05-21,44.4626
2021-05-22,44.4626
2021-05-23,44.4626
2021-05-24,44.1019
2021-05-25,42.9684
2021-05-26,44.7705
2021-05-27,45.5614
2021-05-28,45.0058
2021-05-29,45.0058
2021-05-30,45.0058
2021-05-31,45.0058
2021-06-01,47.7103
2021-06-02,51.3334
2021-06-03,51.4494
2021-06-04,51.197
2021-06-05,51.197
2021-06-06,51.197
2021-06-07,49.0791
2021-06-08,49.2707
2021-06-09,48.3303
2021-06-10,47.5788
2021-06-11,47.9278
2021-06-12,47.9278
2021-06-13,47.9278
2021-06-14,47.3676
2021-06-15,49.8639
2021-06-16,49.6551
2021-06-17,42.5305
2021-06-18,41.8874
2021-06-19,41.8874
2021-06-20,41.8874
2021-06-21,45.3767
2021-06-22,46.5952
2021-06-23,47.9954
2021-06-24,47.8717
2021-06-25,46.3881
2021-06-26,46.3881
2021-06-27,46.3881
2021-06-28,44.2596
2021-06-29,46.1072
2021-06-30,45.6258
2021-07-01,48.5434
2021-07-02,46.8709
