,JBLU US Equity
,RSI_30D
2021-03-22,56.1753
2021-03-23,56.3317
2021-03-24,54.4808
2021-03-25,57.1708
2021-03-26,57.3243
2021-03-27,57.3243
2021-03-28,57.3243
2021-03-29,56.9024
2021-03-30,59.8946
2021-03-31,58.9017
2021-04-01,58.9934
2021-04-02,58.9934
2021-04-03,58.9934
2021-04-04,58.9934
2021-04-05,61.3716
2021-04-06,61.6019
2021-04-07,60.6663
2021-04-08,60.7895
2021-04-09,60.6421
2021-04-10,60.6421
2021-04-11,60.6421
2021-04-12,57.9298
2021-04-13,58.8478
2021-04-14,59.0532
2021-04-15,58.3502
2021-04-16,56.4148
2021-04-17,56.4148
2021-04-18,56.4148
2021-04-19,55.8741
2021-04-20,51.6813
2021-04-21,54.1341
2021-04-22,53.8603
2021-04-23,55.5274
2021-04-24,55.5274
2021-04-25,55.5274
2021-04-26,56.6209
2021-04-27,54.471
2021-04-28,53.9996
2021-04-29,53.4731
2021-04-30,55.3169
2021-05-01,55.3169
2021-05-02,55.3169
2021-05-03,52.1795
2021-05-04,49.329
2021-05-05,50.4912
2021-05-06,50.5347
2021-05-07,51.5468
2021-05-08,51.5468
2021-05-09,51.5468
2021-05-10,50.1843
2021-05-11,49.2037
2021-05-12,46.37
2021-05-13,48.9438
2021-05-14,52.1002
2021-05-15,52.1002
2021-05-16,52.1002
2021-05-17,53.0463
2021-05-18,53.5824
2021-05-19,52.2994
2021-05-20,51.4035
2021-05-21,50.5548
2021-05-22,50.5548
2021-05-23,50.5548
2021-05-24,53.344
2021-05-25,52.517
2021-05-26,54.533
2021-05-27,55.4489
2021-05-28,53.182
2021-05-29,53.182
2021-05-30,53.182
2021-05-31,53.182
2021-06-01,53.79
2021-06-02,52.1875
2021-06-03,48.1099
2021-06-04,48.2051
2021-06-05,48.2051
2021-06-06,48.2051
2021-06-07,48.6917
2021-06-08,49.5256
2021-06-09,47.1918
2021-06-10,45.4631
2021-06-11,46.5537
2021-06-12,46.5537
2021-06-13,46.5537
2021-06-14,45.1311
2021-06-15,44.0009
2021-06-16,43.8263
2021-06-17,40.8879
2021-06-18,40.8071
2021-06-19,40.8071
2021-06-20,40.8071
2021-06-21,42.7966
2021-06-22,41.9809
2021-06-23,41.3797
2021-06-24,41.6882
2021-06-25,40.8432
2021-06-26,40.8432
2021-06-27,40.8432
2021-06-28,39.7466
2021-06-29,38.7983
2021-06-30,39.2752
2021-07-01,41.5631
2021-07-02,41.4681
2021-07-03,41.4681
2021-07-04,41.4681
2021-07-05,41.4681
2021-07-06,39.0211
2021-07-07,37.2615
2021-07-08,36.8423
2021-07-09,39.7186
2021-07-10,39.7186
2021-07-11,39.7186
2021-07-12,39.9257
2021-07-13,37.0509
2021-07-14,36.1265
2021-07-15,35.9615
2021-07-16,33.0708
