,MKL US Equity
,RSI_30D
2021-03-17,59.1953
2021-03-18,58.5307
2021-03-19,55.2662
2021-03-20,55.2662
2021-03-21,55.2662
2021-03-22,54.0736
2021-03-23,55.3182
2021-03-24,55.7515
2021-03-25,57.2755
2021-03-26,58.3743
2021-03-27,58.3743
2021-03-28,58.3743
2021-03-29,58.875
2021-03-30,58.9191
2021-03-31,56.3926
2021-04-01,58.3282
2021-04-02,58.3282
2021-04-03,58.3282
2021-04-04,58.3282
2021-04-05,60.0738
2021-04-06,60.1659
2021-04-07,59.3677
2021-04-08,59.3628
2021-04-09,60.0015
2021-04-10,60.0015
2021-04-11,60.0015
2021-04-12,61.0072
2021-04-13,61.2633
2021-04-14,62.8315
2021-04-15,63.4139
2021-04-16,64.427
2021-04-17,64.427
2021-04-18,64.427
2021-04-19,63.8235
2021-04-20,61.1195
2021-04-21,63.0247
2021-04-22,57.754
2021-04-23,58.309
2021-04-24,58.309
2021-04-25,58.309
2021-04-26,57.1473
2021-04-27,57.978
2021-04-28,56.3074
2021-04-29,55.4822
2021-04-30,55.8178
2021-05-01,55.8178
2021-05-02,55.8178
2021-05-03,57.7669
2021-05-04,56.1784
2021-05-05,56.612
2021-05-06,58.4334
2021-05-07,61.1939
2021-05-08,61.1939
2021-05-09,61.1939
2021-05-10,60.3346
2021-05-11,56.4224
2021-05-12,53.4401
2021-05-13,58.0482
2021-05-14,60.393
2021-05-15,60.393
2021-05-16,60.393
2021-05-17,55.4571
2021-05-18,56.5464
2021-05-19,57.5706
2021-05-20,60.6307
2021-05-21,59.271
2021-05-22,59.271
2021-05-23,59.271
2021-05-24,57.7881
2021-05-25,56.0023
2021-05-26,54.7103
2021-05-27,57.5351
2021-05-28,56.318
2021-05-29,56.318
2021-05-30,56.318
2021-05-31,56.318
2021-06-01,56.7318
2021-06-02,56.4104
2021-06-03,56.3255
2021-06-04,56.5334
2021-06-05,56.5334
2021-06-06,56.5334
2021-06-07,53.7138
2021-06-08,53.5895
2021-06-09,51.7425
2021-06-10,52.4055
2021-06-11,52.9454
2021-06-12,52.9454
2021-06-13,52.9454
2021-06-14,52.6342
2021-06-15,54.2149
2021-06-16,51.7701
2021-06-17,49.6184
2021-06-18,45.2655
2021-06-19,45.2655
2021-06-20,45.2655
2021-06-21,49.5691
2021-06-22,49.8893
2021-06-23,48.0296
2021-06-24,48.1835
2021-06-25,51.2865
2021-06-26,51.2865
2021-06-27,51.2865
2021-06-28,49.3738
2021-06-29,51.312
2021-06-30,49.9893
2021-07-01,53.5917
2021-07-02,54.2204
2021-07-03,54.2204
2021-07-04,54.2204
2021-07-05,54.2204
2021-07-06,54.1551
2021-07-07,57.6403
2021-07-08,52.3601
2021-07-09,55.5837
2021-07-10,55.5837
2021-07-11,55.5837
2021-07-12,51.8988
2021-07-13,49.6972
2021-07-14,49.5557
2021-07-15,51.0538
2021-07-16,52.6007
2021-07-17,52.6007
2021-07-18,52.6007
2021-07-19,48.7176
2021-07-20,52.0948
2021-07-21,53.9731
2021-07-22,52.2061
2021-07-23,53.574
2021-07-24,53.574
2021-07-25,53.574
2021-07-26,51.698
2021-07-27,51.9708
2021-07-28,49.8208
2021-07-29,51.0508
2021-07-30,50.7684
2021-07-31,50.7684
