,TOWN US Equity
2022-01-03,53.2909
2022-01-04,55.1973
2022-01-05,54.7768
2022-01-06,58.7214
2022-01-07,58.5579
2022-01-08,58.5579
2022-01-09,58.5579
2022-01-10,57.8364
2022-01-11,58.4074
2022-01-12,59.4619
2022-01-13,62.7673
2022-01-14,62.1124
2022-01-15,62.1124
2022-01-16,62.1124
2022-01-17,62.1124
2022-01-18,59.5418
2022-01-19,54.9934
2022-01-20,49.7234
2022-01-21,49.6371
2022-01-22,49.6371
2022-01-23,49.6371
2022-01-24,52.4953
2022-01-25,52.3577
2022-01-26,50.6629
2022-01-27,46.1901
2022-01-28,46.1507
2022-01-29,46.1507
2022-01-30,46.1507
2022-01-31,47.3582
2022-02-01,47.592
2022-02-02,46.3153
2022-02-03,46.5624
2022-02-04,47.3646
2022-02-05,47.3646
2022-02-06,47.3646
2022-02-07,48.3177
2022-02-08,51.2495
2022-02-09,47.5871
2022-02-10,47.6838
2022-02-11,48.1783
2022-02-12,48.1783
2022-02-13,48.1783
2022-02-14,47.3906
2022-02-15,49.7885
2022-02-16,49.8378
2022-02-17,46.7972
2022-02-18,47.7251
2022-02-19,47.7251
2022-02-20,47.7251
2022-02-21,47.7251
2022-02-22,46.9255
2022-02-23,44.6062
2022-02-24,42.4769
2022-02-25,48.6625
2022-02-26,48.6625
2022-02-27,48.6625
2022-02-28,47.8767
2022-03-01,43.2237
2022-03-02,47.2472
2022-03-03,48.1966
2022-03-04,45.6105
2022-03-05,45.6105
2022-03-06,45.6105
2022-03-07,42.8419
2022-03-08,42.1965
2022-03-09,44.9509
2022-03-10,48.7603
2022-03-11,49.9672
2022-03-12,49.9672
2022-03-13,49.9672
2022-03-14,49.6162
2022-03-15,48.7503
2022-03-16,50.5364
2022-03-17,48.3193
2022-03-18,48.2021
2022-03-19,48.2021
2022-03-20,48.2021
2022-03-21,46.3417
2022-03-22,47.4776
2022-03-23,44.7631
2022-03-24,46.8585
2022-03-25,47.9646
2022-03-26,47.9646
2022-03-27,47.9646
2022-03-28,46.6886
2022-03-29,50.8173
2022-03-30,47.6847
2022-03-31,46.351
2022-04-01,46.5599
2022-04-02,46.5599
2022-04-03,46.5599
2022-04-04,46.6459
2022-04-05,44.4274
2022-04-06,43.8875
2022-04-07,42.3954
2022-04-08,43.0629
2022-04-09,43.0629
2022-04-10,43.0629
2022-04-11,43.3057
2022-04-12,42.703
2022-04-13,44.9326
2022-04-14,43.6442
2022-04-15,43.6442
2022-04-16,43.6442
2022-04-17,43.6442
2022-04-18,43.6442
2022-04-19,47.3181
2022-04-20,49.2792
2022-04-21,47.0462
2022-04-22,44.4885
2022-04-23,44.4885
2022-04-24,44.4885
2022-04-25,43.5097
2022-04-26,40.9976
2022-04-27,40.9277
2022-04-28,42.9875
2022-04-29,39.9965
2022-04-30,39.9965
2022-05-01,39.9965
2022-05-02,40.4003
2022-05-03,41.4197
2022-05-04,46.4856
2022-05-05,44.442
2022-05-06,43.7545
2022-05-07,43.7545
2022-05-08,43.7545
2022-05-09,45.5431
2022-05-10,44.1648
2022-05-11,42.5448
2022-05-12,43.4038
2022-05-13,42.6345
2022-05-14,42.6345
2022-05-15,42.6345
2022-05-16,42.4861
2022-05-17,46.1686
2022-05-18,44.916
2022-05-19,44.0656
2022-05-20,45.3785
2022-05-21,45.3785
2022-05-22,45.3785
2022-05-23,46.9064
2022-05-24,47.4763
2022-05-25,48.4307
2022-05-26,49.9365
2022-05-27,51.8019
2022-05-28,51.8019
2022-05-29,51.8019
2022-05-30,51.8019
2022-05-31,51.5113
2022-06-01,50.3429
2022-06-02,53.0945
2022-06-03,50.4897
2022-06-04,50.4897
2022-06-05,50.4897
2022-06-06,50.0196
2022-06-07,51.0567
2022-06-08,47.9237
2022-06-09,45.5091
2022-06-10,42.8378
2022-06-11,42.8378
2022-06-12,42.8378
2022-06-13,44.0547
2022-06-14,46.4619
2022-06-15,45.6328
2022-06-16,43.2763
2022-06-17,43.3788
2022-06-18,43.3788
2022-06-19,43.3788
2022-06-20,43.3788
2022-06-21,46.857
2022-06-22,46.6032
2022-06-23,45.2917
2022-06-24,47.5571
2022-06-25,47.5571
2022-06-26,47.5571
2022-06-27,46.7731
2022-06-28,45.5643
2022-06-29,43.7935
2022-06-30,43.7516
2022-07-01,47.0517
2022-07-02,47.0517
2022-07-03,47.0517
2022-07-04,47.0517
2022-07-05,47.1535
2022-07-06,46.4603
2022-07-07,46.4603
2022-07-08,46.0737
2022-07-09,46.0737
2022-07-10,46.0737
2022-07-11,45.6318
2022-07-12,46.6897
2022-07-13,44.9796
2022-07-14,42.1166
2022-07-15,46.8235
2022-07-16,46.8235
2022-07-17,46.8235
2022-07-18,46.9866
2022-07-19,50.8839
2022-07-20,51.9557
2022-07-21,51.5852
2022-07-22,50.4682
2022-07-23,50.4682
2022-07-24,50.4682
2022-07-25,52.6404
2022-07-26,53.9048
2022-07-27,55.2823
2022-07-28,55.9399
2022-07-29,58.2103
2022-07-30,58.2103
2022-07-31,58.2103
2022-08-01,56.4062
2022-08-02,53.928
2022-08-03,55.1603
2022-08-04,53.8424
2022-08-05,54.2358
2022-08-06,54.2358
2022-08-07,54.2358
2022-08-08,54.6358
2022-08-09,54.687
2022-08-10,56.7093
2022-08-11,58.2048
2022-08-12,60.4825
2022-08-13,60.4825
2022-08-14,60.4825
2022-08-15,61.608
2022-08-16,63.1529
2022-08-17,61.8312
2022-08-18,61.7608
2022-08-19,57.8125
2022-08-20,57.8125
2022-08-21,57.8125
2022-08-22,53.4828
2022-08-23,51.8972
2022-08-24,51.0033
2022-08-25,53.1926
2022-08-26,50.6826
2022-08-27,50.6826
2022-08-28,50.6826
2022-08-29,48.0751
2022-08-30,48.676
2022-08-31,46.939
2022-09-01,46.0883
2022-09-02,44.9482
2022-09-03,44.9482
2022-09-04,44.9482
2022-09-05,44.9482
2022-09-06,42.5346
2022-09-07,44.9337
2022-09-08,46.2681
2022-09-09,48.4049
2022-09-10,48.4049
2022-09-11,48.4049
2022-09-12,50.0803
2022-09-13,46.3162
2022-09-14,46.8124
2022-09-15,47.7016
2022-09-16,47.8706
2022-09-17,47.8706
2022-09-18,47.8706
2022-09-19,51.2905
2022-09-20,51.8097
2022-09-21,49.9908
2022-09-22,47.4826
2022-09-23,46.0389
2022-09-24,46.0389
2022-09-25,46.0389
2022-09-26,45.4474
2022-09-27,43.1986
2022-09-28,44.7627
2022-09-29,43.1421
2022-09-30,41.6289
2022-10-01,41.6289
2022-10-02,41.6289
2022-10-03,44.3809
2022-10-04,49.324
2022-10-05,47.3412
2022-10-06,47.5009
2022-10-07,44.9612
2022-10-08,44.9612
2022-10-09,44.9612
2022-10-10,46.1201
2022-10-11,46.3427
2022-10-12,47.4655
2022-10-13,54.8873
2022-10-14,54.5204
2022-10-15,54.5204
2022-10-16,54.5204
2022-10-17,57.2648
2022-10-18,57.3876
2022-10-19,55.2529
2022-10-20,51.8747
2022-10-21,55.3809
2022-10-22,55.3809
2022-10-23,55.3809
2022-10-24,56.925
2022-10-25,57.3943
2022-10-26,57.9082
2022-10-27,60.9796
2022-10-28,65.2358
2022-10-29,65.2358
2022-10-30,65.2358
2022-10-31,66.7587
2022-11-01,67.6809
2022-11-02,62.7056
2022-11-03,62.2024
2022-11-04,64.3063
2022-11-05,64.3063
2022-11-06,64.3063
2022-11-07,61.4174
2022-11-08,60.592
2022-11-09,58.7659
2022-11-10,62.4897
2022-11-11,58.5563
2022-11-12,58.5563
2022-11-13,58.5563
2022-11-14,58.9557
2022-11-15,60.7034
2022-11-16,59.6167
2022-11-17,58.2241
2022-11-18,58.8338
2022-11-19,58.8338
2022-11-20,58.8338
2022-11-21,59.7298
2022-11-22,60.1465
2022-11-23,57.4053
2022-11-24,57.4053
2022-11-25,58.1537
2022-11-26,58.1537
2022-11-27,58.1537
2022-11-28,54.9746
2022-11-29,54.8416
2022-11-30,56.5445
2022-12-01,57.8052
2022-12-02,58.0847
2022-12-03,58.0847
2022-12-04,58.0847
2022-12-05,54.578
2022-12-06,54.3066
2022-12-07,54.0287
2022-12-08,54.8649
2022-12-09,53.7571
2022-12-10,53.7571
2022-12-11,53.7571
2022-12-12,54.0077
2022-12-13,52.2973
2022-12-14,48.8668
2022-12-15,46.671
2022-12-16,46.8136
2022-12-17,46.8136
2022-12-18,46.8136
2022-12-19,47.2032
2022-12-20,47.8941
2022-12-21,50.4797
2022-12-22,49.77
2022-12-23,49.8187
2022-12-24,49.8187
2022-12-25,49.8187
2022-12-26,49.8187
2022-12-27,50.5129
2022-12-28,49.6002
2022-12-29,50.9348
2022-12-30,50.4564
2022-12-31,50.4564
2023-01-01,50.4564
2023-01-02,50.4564
2023-01-03,49.0271
2023-01-04,47.3816
2023-01-05,45.5528
2023-01-06,50.4214
2023-01-07,50.4214
2023-01-08,50.4214
2023-01-09,48.0291
2023-01-10,50.1273
2023-01-11,50.9084
2023-01-12,53.1838
2023-01-13,53.4627
2023-01-14,53.4627
2023-01-15,53.4627
2023-01-16,53.4627
2023-01-17,49.6385
2023-01-18,46.9956
2023-01-19,46.5013
2023-01-20,48.7325
2023-01-21,48.7325
2023-01-22,48.7325
2023-01-23,48.1658
2023-01-24,47.5932
2023-01-25,47.4473
2023-01-26,46.8042
2023-01-27,43.5187
2023-01-28,43.5187
2023-01-29,43.5187
2023-01-30,44.8908
2023-01-31,49.6369
2023-02-01,50.4704
2023-02-02,53.2928
2023-02-03,54.1928
2023-02-04,54.1928
2023-02-05,54.1928
2023-02-06,53.03
2023-02-07,52.1875
2023-02-08,49.3487
2023-02-09,46.9431
2023-02-10,47.6164
2023-02-11,47.6164
2023-02-12,47.6164
2023-02-13,48.755
2023-02-14,47.1643
2023-02-15,46.9243
2023-02-16,45.3952
2023-02-17,51.0658
2023-02-18,51.0658
2023-02-19,51.0658
2023-02-20,51.0658
2023-02-21,49.1459
2023-02-22,49.3429
2023-02-23,49.6456
2023-02-24,48.8901
2023-02-25,48.8901
2023-02-26,48.8901
2023-02-27,48.7366
2023-02-28,49.1221
2023-03-01,48.9589
2023-03-02,46.9161
2023-03-03,48.8899
2023-03-04,48.8899
2023-03-05,48.8899
2023-03-06,49.4051
2023-03-07,46.7511
2023-03-08,45.9691
2023-03-09,39.6954
2023-03-10,39.1707
2023-03-11,39.1707
2023-03-12,39.1707
2023-03-13,35.1081
2023-03-14,38.1256
2023-03-15,37.0215
2023-03-16,42.5209
2023-03-17,38.9981
2023-03-18,38.9981
