,TRMK US Equity
,RSI_30D
2021-02-21,57.5892
2021-02-22,60.4963
2021-02-23,61.399
2021-02-24,62.5416
2021-02-25,59.9707
2021-02-26,56.2689
2021-02-27,56.2689
2021-02-28,56.2689
2021-03-01,59.7093
2021-03-02,58.0656
2021-03-03,60.9823
2021-03-04,60.8988
2021-03-05,64.3787
2021-03-06,64.3787
2021-03-07,64.3787
2021-03-08,66.0114
2021-03-09,64.1115
2021-03-10,65.3274
2021-03-11,65.6454
2021-03-12,68.3089
2021-03-13,68.3089
2021-03-14,68.3089
2021-03-15,66.3769
2021-03-16,65.8206
2021-03-17,65.8434
2021-03-18,66.2851
2021-03-19,66.7993
2021-03-20,66.7993
2021-03-21,66.7993
2021-03-22,61.3034
2021-03-23,56.9236
2021-03-24,56.8121
2021-03-25,59.3641
2021-03-26,61.7287
2021-03-27,61.7287
2021-03-28,61.7287
2021-03-29,57.8569
2021-03-30,58.8657
2021-03-31,57.1112
2021-04-01,57.7755
2021-04-02,57.7755
2021-04-03,57.7755
2021-04-04,57.7755
2021-04-05,58.572
2021-04-06,56.9783
2021-04-07,55.4185
2021-04-08,55.1641
2021-04-09,56.2906
2021-04-10,56.2906
2021-04-11,56.2906
2021-04-12,56.7637
2021-04-13,53.2599
2021-04-14,54.7953
2021-04-15,54.0967
2021-04-16,54.5385
2021-04-17,54.5385
2021-04-18,54.5385
2021-04-19,53.6233
2021-04-20,50.5862
2021-04-21,52.433
2021-04-22,50.1419
2021-04-23,53.9525
2021-04-24,53.9525
2021-04-25,53.9525
2021-04-26,52.9672
2021-04-27,53.9916
2021-04-28,52.1403
2021-04-29,52.0338
2021-04-30,50.4699
2021-05-01,50.4699
2021-05-02,50.4699
2021-05-03,52.3229
2021-05-04,52.5233
2021-05-05,53.4677
2021-05-06,54.6021
2021-05-07,54.3602
2021-05-08,54.3602
2021-05-09,54.3602
2021-05-10,53.785
2021-05-11,54.0365
2021-05-12,51.1948
2021-05-13,55.4774
2021-05-14,56.7954
2021-05-15,56.7954
2021-05-16,56.7954
2021-05-17,56.9241
2021-05-18,53.3871
2021-05-19,53.1487
2021-05-20,52.9044
2021-05-21,54.6305
2021-05-22,54.6305
2021-05-23,54.6305
2021-05-24,54.7378
2021-05-25,49.9715
2021-05-26,51.8973
2021-05-27,52.9775
2021-05-28,53.3774
2021-05-29,53.3774
2021-05-30,53.3774
2021-05-31,53.3774
2021-06-01,54.6822
2021-06-02,52.8545
2021-06-03,53.3051
2021-06-04,52.7402
2021-06-05,52.7402
2021-06-06,52.7402
2021-06-07,53.2526
2021-06-08,53.4535
2021-06-09,50.9191
2021-06-10,49.7854
2021-06-11,50.4439
2021-06-12,50.4439
2021-06-13,50.4439
2021-06-14,47.36
2021-06-15,49.5322
2021-06-16,50.7339
2021-06-17,45.2768
2021-06-18,41.013
2021-06-19,41.013
2021-06-20,41.013
2021-06-21,45.4933
2021-06-22,45.3284
2021-06-23,45.4103
2021-06-24,47.602
2021-06-25,47.1307
2021-06-26,47.1307
2021-06-27,47.1307
2021-06-28,44.936
2021-06-29,44.1808
2021-06-30,43.4933
2021-07-01,45.805
2021-07-02,43.7442
2021-07-03,43.7442
2021-07-04,43.7442
2021-07-05,43.7442
2021-07-06,41.8935
2021-07-07,41.1221
2021-07-08,39.7957
2021-07-09,44.8358
2021-07-10,44.8358
2021-07-11,44.8358
2021-07-12,45.0015
2021-07-13,42.8071
2021-07-14,43.5407
2021-07-15,46.9758
2021-07-16,44.7691
2021-07-17,44.7691
2021-07-18,44.7691
2021-07-19,41.888
2021-07-20,43.878
2021-07-21,46.2111
2021-07-22,43.9134
2021-07-23,45.8958
2021-07-24,45.8958
2021-07-25,45.8958
2021-07-26,46.9038
2021-07-27,47.1303
2021-07-28,44.9804
2021-07-29,45.884
2021-07-30,45.052
2021-07-31,45.052
2021-08-01,45.052
2021-08-02,43.1113
2021-08-03,43.6553
2021-08-04,41.9322
2021-08-05,45.1663
2021-08-06,48.7972
2021-08-07,48.7972
2021-08-08,48.7972
2021-08-09,47.7412
2021-08-10,49.4214
2021-08-11,51.2881
2021-08-12,50.0268
2021-08-13,49.3099
2021-08-14,49.3099
2021-08-15,49.3099
2021-08-16,48.5896
2021-08-17,47.4426
2021-08-18,46.2427
2021-08-19,45.4042
2021-08-20,47.2592
2021-08-21,47.2592
2021-08-22,47.2592
2021-08-23,48.506
2021-08-24,48.7888
2021-08-25,57.8818
2021-08-26,53.7956
2021-08-27,53.8569
2021-08-28,53.8569
2021-08-29,53.8569
2021-08-30,51.694
2021-08-31,52.5725
2021-09-01,51.3558
2021-09-02,51.1039
2021-09-03,50.6997
2021-09-04,50.6997
2021-09-05,50.6997
2021-09-06,50.6997
2021-09-07,50.3625
2021-09-08,49.381
2021-09-09,48.3317
2021-09-10,46.5061
2021-09-11,46.5061
2021-09-12,46.5061
2021-09-13,47.1667
2021-09-14,45.8133
2021-09-15,48.4597
2021-09-16,47.5955
2021-09-17,49.0662
2021-09-18,49.0662
2021-09-19,49.0662
2021-09-20,47.6073
2021-09-21,47.7764
2021-09-22,48.76
2021-09-23,53.1643
2021-09-24,54.5832
2021-09-25,54.5832
2021-09-26,54.5832
2021-09-27,57.3587
2021-09-28,55.3707
2021-09-29,57.1091
2021-09-30,54.6934
2021-10-01,56.3682
2021-10-02,56.3682
2021-10-03,56.3682
2021-10-04,57.1868
2021-10-05,57.0097
2021-10-06,57.8864
2021-10-07,58.3594
2021-10-08,58.4284
2021-10-09,58.4284
2021-10-10,58.4284
2021-10-11,57.0113
2021-10-12,57.5258
2021-10-13,55.7033
2021-10-14,57.5819
2021-10-15,56.153
2021-10-16,56.153
2021-10-17,56.153
2021-10-18,55.6603
2021-10-19,55.8207
2021-10-20,58.2798
2021-10-21,57.4916
2021-10-22,58.9836
2021-10-23,58.9836
2021-10-24,58.9836
2021-10-25,59.1736
2021-10-26,57.1467
2021-10-27,46.0716
2021-10-28,49.1196
2021-10-29,49.2778
2021-10-30,49.2778
2021-10-31,49.2778
2021-11-01,53.8084
2021-11-02,52.3802
2021-11-03,56.2815
2021-11-04,54.2385
2021-11-05,55.8332
2021-11-06,55.8332
2021-11-07,55.8332
2021-11-08,55.5927
2021-11-09,55.4691
2021-11-10,55.673
2021-11-11,56.8648
2021-11-12,55.6271
2021-11-13,55.6271
2021-11-14,55.6271
2021-11-15,55.5824
2021-11-16,54.0111
2021-11-17,52.6045
2021-11-18,52.209
2021-11-19,50.6759
2021-11-20,50.6759
2021-11-21,50.6759
2021-11-22,52.5299
2021-11-23,54.3825
2021-11-24,51.8016
2021-11-25,51.8016
2021-11-26,45.9656
2021-11-27,45.9656
2021-11-28,45.9656
2021-11-29,45.7523
2021-11-30,43.3753
2021-12-01,43.0689
2021-12-02,48.9166
2021-12-03,46.9358
2021-12-04,46.9358
2021-12-05,46.9358
2021-12-06,50.9701
2021-12-07,49.1769
2021-12-08,50.6216
2021-12-09,48.9708
2021-12-10,49.1533
2021-12-11,49.1533
2021-12-12,49.1533
2021-12-13,47.6719
2021-12-14,49.436
2021-12-15,49.3628
2021-12-16,51.4825
2021-12-17,50.2606
2021-12-18,50.2606
2021-12-19,50.2606
2021-12-20,46.7457
2021-12-21,48.7872
2021-12-22,49.1976
2021-12-23,49.7655
2021-12-24,49.7655
2021-12-25,49.7655
2021-12-26,49.7655
2021-12-27,51.8444
2021-12-28,51.4901
2021-12-29,51.0491
2021-12-30,51.3235
2021-12-31,51.2386
2022-01-01,51.2386
2022-01-02,51.2386
2022-01-03,53.6956
2022-01-04,56.4765
2022-01-05,56.4765
2022-01-06,60.1806
2022-01-07,60.4968
2022-01-08,60.4968
2022-01-09,60.4968
2022-01-10,60.4968
2022-01-11,58.6045
2022-01-12,59.0922
2022-01-13,59.2695
2022-01-14,60.6797
2022-01-15,60.6797
2022-01-16,60.6797
2022-01-17,60.6797
2022-01-18,58.3293
2022-01-19,54.861
2022-01-20,50.4468
2022-01-21,49.6288
2022-01-22,49.6288
2022-01-23,49.6288
2022-01-24,52.8701
2022-01-25,52.9083
2022-01-26,48.512
2022-01-27,46.9789
2022-01-28,47.2732
2022-01-29,47.2732
2022-01-30,47.2732
2022-01-31,48.4983
2022-02-01,48.9217
2022-02-02,47.547
2022-02-03,46.8263
2022-02-04,49.088
2022-02-05,49.088
2022-02-06,49.088
2022-02-07,49.5235
2022-02-08,51.9876
2022-02-09,49.1624
2022-02-10,48.5422
2022-02-11,48.5
2022-02-12,48.5
2022-02-13,48.5
2022-02-14,48.2829
2022-02-15,50.0411
2022-02-16,49.2211
2022-02-17,45.4544
2022-02-18,46.7011
2022-02-19,46.7011
2022-02-20,46.7011
2022-02-21,46.7011
2022-02-22,46.1969
2022-02-23,43.2207
2022-02-24,42.6067
2022-02-25,47.6548
2022-02-26,47.6548
2022-02-27,47.6548
2022-02-28,46.1639
2022-03-01,42.1458
2022-03-02,47.639
2022-03-03,47.5287
2022-03-04,45.6346
2022-03-05,45.6346
2022-03-06,45.6346
2022-03-07,43.8276
2022-03-08,44.2666
2022-03-09,46.8452
2022-03-10,48.0065
2022-03-11,49.1154
2022-03-12,49.1154
2022-03-13,49.1154
2022-03-14,48.6779
2022-03-15,48.1534
2022-03-16,50.2437
2022-03-17,47.4565
2022-03-18,48.5687
2022-03-19,48.5687
2022-03-20,48.5687
2022-03-21,46.4186
2022-03-22,46.9487
2022-03-23,43.7059
2022-03-24,43.8902
2022-03-25,46.6892
2022-03-26,46.6892
2022-03-27,46.6892
2022-03-28,47.0856
2022-03-29,48.7076
2022-03-30,45.9138
2022-03-31,44.4646
2022-04-01,44.6961
2022-04-02,44.6961
2022-04-03,44.6961
2022-04-04,45.2626
2022-04-05,43.422
2022-04-06,42.7846
2022-04-07,41.8866
2022-04-08,41.8109
2022-04-09,41.8109
2022-04-10,41.8109
2022-04-11,41.7329
2022-04-12,41.3342
2022-04-13,43.4039
2022-04-14,42.1969
2022-04-15,42.1969
2022-04-16,42.1969
2022-04-17,42.1969
2022-04-18,42.0301
2022-04-19,46.4627
2022-04-20,46.6191
2022-04-21,45.474
2022-04-22,42.0544
2022-04-23,42.0544
2022-04-24,42.0544
2022-04-25,41.6895
2022-04-26,38.9693
2022-04-27,38.9693
2022-04-28,40.57
2022-04-29,37.0006
2022-04-30,37.0006
2022-05-01,37.0006
2022-05-02,37.942
2022-05-03,37.7959
2022-05-04,42.3315
2022-05-05,40.2925
2022-05-06,38.4145
2022-05-07,38.4145
2022-05-08,38.4145
2022-05-09,39.8098
2022-05-10,37.9254
2022-05-11,36.8033
