,MTG US Equity
,RSI_30D
2020-11-01,54.3521
2020-11-02,55.6772
2020-11-03,58.2476
2020-11-04,58.7903
2020-11-05,54.5522
2020-11-06,57.8188
2020-11-07,57.8188
2020-11-08,57.8188
2020-11-09,59.7153
2020-11-10,61.5058
2020-11-11,61.7643
2020-11-12,58.2057
2020-11-13,59.4685
2020-11-14,59.4685
2020-11-15,59.4685
2020-11-16,62.851
2020-11-17,62.0514
2020-11-18,60.6156
2020-11-19,61.5363
2020-11-20,61.6907
2020-11-21,61.6907
2020-11-22,61.6907
2020-11-23,63.1202
2020-11-24,64.864
2020-11-25,63.148
2020-11-26,63.148
2020-11-27,61.63
2020-11-28,61.63
2020-11-29,61.63
2020-11-30,60.4606
2020-12-01,61.0611
2020-12-02,62.09
2020-12-03,61.9118
2020-12-04,63.0629
2020-12-05,63.0629
2020-12-06,63.0629
2020-12-07,61.063
2020-12-08,60.1658
2020-12-09,61.2266
2020-12-10,62.0968
2020-12-11,58.6475
2020-12-12,58.6475
2020-12-13,58.6475
2020-12-14,58.3826
2020-12-15,60.6499
2020-12-16,61.9258
2020-12-17,60.9044
2020-12-18,59.4294
2020-12-19,59.4294
2020-12-20,59.4294
2020-12-21,60.6015
2020-12-22,58.4856
2020-12-23,59.7498
2020-12-24,57.6609
2020-12-25,57.6609
2020-12-26,57.6609
2020-12-27,57.6609
2020-12-28,58.7632
2020-12-29,56.6106
2020-12-30,57.4175
2020-12-31,58.7402
2021-01-01,58.7402
2021-01-02,58.7402
2021-01-03,58.7402
2021-01-04,54.2108
2021-01-05,55.902
2021-01-06,58.6212
2021-01-07,61.8995
2021-01-08,61.6382
2021-01-09,61.6382
2021-01-10,61.6382
2021-01-11,61.9154
2021-01-12,61.456
2021-01-13,60.9879
2021-01-14,63.1921
2021-01-15,61.4897
2021-01-16,61.4897
2021-01-17,61.4897
2021-01-18,61.4897
2021-01-19,61.9026
2021-01-20,63.41
2021-01-21,58.8689
2021-01-22,54.1982
2021-01-23,54.1982
2021-01-24,54.1982
2021-01-25,52.9776
2021-01-26,50.9023
2021-01-27,48.2488
2021-01-28,51.3553
2021-01-29,47.489
2021-01-30,47.489
2021-01-31,47.489
2021-02-01,49.2314
2021-02-02,48.7806
2021-02-03,48.5179
2021-02-04,51.1696
2021-02-05,49.8086
2021-02-06,49.8086
2021-02-07,49.8086
2021-02-08,51.8616
2021-02-09,52.1879
2021-02-10,52.7839
2021-02-11,52.334
2021-02-12,51.7259
2021-02-13,51.7259
2021-02-14,51.7259
2021-02-15,51.7259
2021-02-16,55.0513
2021-02-17,53.7994
2021-02-18,51.4543
2021-02-19,53.7421
2021-02-20,53.7421
2021-02-21,53.7421
2021-02-22,53.5884
2021-02-23,54.53
2021-02-24,55.0688
2021-02-25,49.3245
2021-02-26,49.8232
2021-02-27,49.8232
2021-02-28,49.8232
2021-03-01,54.0959
2021-03-02,52.5762
2021-03-03,53.0312
2021-03-04,51.286
2021-03-05,50.9967
2021-03-06,50.9967
2021-03-07,50.9967
2021-03-08,51.5621
2021-03-09,52.6914
2021-03-10,54.8685
2021-03-11,55.4648
2021-03-12,56.0653
2021-03-13,56.0653
2021-03-14,56.0653
2021-03-15,58.0794
2021-03-16,56.7765
2021-03-17,58.7546
2021-03-18,55.2132
2021-03-19,53.6211
2021-03-20,53.6211
2021-03-21,53.6211
2021-03-22,51.3246
2021-03-23,49.3566
2021-03-24,49.3566
2021-03-25,52.2589
2021-03-26,55.5528
2021-03-27,55.5528
2021-03-28,55.5528
2021-03-29,55.3159
2021-03-30,57.4434
2021-03-31,58.7578
2021-04-01,57.9167
2021-04-02,57.9167
2021-04-03,57.9167
2021-04-04,57.9167
2021-04-05,59.5347
2021-04-06,58.0802
2021-04-07,58.8149
2021-04-08,59.7871
2021-04-09,60.9203
2021-04-10,60.9203
2021-04-11,60.9203
2021-04-12,59.1947
2021-04-13,57.6824
2021-04-14,58.3302
2021-04-15,59.7331
2021-04-16,59.9234
2021-04-17,59.9234
2021-04-18,59.9234
2021-04-19,60.6923
2021-04-20,57.6418
2021-04-21,59.8593
2021-04-22,60.0502
2021-04-23,62.7958
2021-04-24,62.7958
2021-04-25,62.7958
2021-04-26,63.3174
2021-04-27,64.5182
2021-04-28,65.6803
2021-04-29,66.3322
2021-04-30,63.0297
2021-05-01,63.0297
2021-05-02,63.0297
2021-05-03,63.6728
2021-05-04,63.9676
2021-05-05,59.6609
2021-05-06,52.7414
2021-05-07,54.3638
2021-05-08,54.3638
2021-05-09,54.3638
2021-05-10,52.5745
2021-05-11,50.9163
2021-05-12,46.8674
2021-05-13,51.0343
2021-05-14,53.247
2021-05-15,53.247
2021-05-16,53.247
2021-05-17,53.8023
2021-05-18,53.7289
2021-05-19,53.2037
2021-05-20,53.1269
2021-05-21,54.2201
2021-05-22,54.2201
2021-05-23,54.2201
2021-05-24,53.6537
2021-05-25,51.5071
2021-05-26,53.9093
2021-05-27,55.1925
2021-05-28,55.9273
2021-05-29,55.9273
2021-05-30,55.9273
2021-05-31,55.9273
2021-06-01,55.6697
2021-06-02,53.9559
2021-06-03,55.0999
2021-06-04,55.4576
2021-06-05,55.4576
2021-06-06,55.4576
2021-06-07,56.1088
2021-06-08,56.6191
2021-06-09,54.5569
2021-06-10,52.2311
2021-06-11,53.106
2021-06-12,53.106
2021-06-13,53.106
2021-06-14,52.2953
2021-06-15,53.5981
2021-06-16,51.5939
2021-06-17,47.8111
2021-06-18,44.8621
2021-06-19,44.8621
2021-06-20,44.8621
2021-06-21,48.2488
2021-06-22,48.02
2021-06-23,48.02
2021-06-24,48.1078
2021-06-25,50.6105
2021-06-26,50.6105
2021-06-27,50.6105
2021-06-28,47.7361
2021-06-29,46.4875
2021-06-30,46.0206
2021-07-01,50.4801
2021-07-02,49.9872
2021-07-03,49.9872
2021-07-04,49.9872
2021-07-05,49.9872
2021-07-06,48.0458
2021-07-07,46.9456
2021-07-08,44.3917
2021-07-09,47.1058
2021-07-10,47.1058
2021-07-11,47.1058
2021-07-12,47.9535
2021-07-13,46.1921
2021-07-14,46.5453
2021-07-15,47.3498
2021-07-16,47.0244
2021-07-17,47.0244
2021-07-18,47.0244
2021-07-19,43.4705
2021-07-20,46.213
2021-07-21,48.0385
2021-07-22,46.2597
2021-07-23,47.8238
2021-07-24,47.8238
2021-07-25,47.8238
2021-07-26,47.6644
2021-07-27,46.9358
2021-07-28,48.5625
2021-07-29,50.1435
2021-07-30,49.967
2021-07-31,49.967
2021-08-01,49.967
2021-08-02,48.8985
2021-08-03,49.7325
2021-08-04,47.335
2021-08-05,51.95
2021-08-06,54.8615
2021-08-07,54.8615
2021-08-08,54.8615
2021-08-09,54.0376
2021-08-10,56.0119
2021-08-11,57.7542
2021-08-12,59.1491
2021-08-13,59.4263
2021-08-14,59.4263
2021-08-15,59.4263
2021-08-16,58.9094
2021-08-17,57.766
2021-08-18,58.5231
2021-08-19,55.7325
2021-08-20,57.9598
2021-08-21,57.9598
2021-08-22,57.9598
2021-08-23,57.9598
2021-08-24,59.2462
2021-08-25,60.4967
2021-08-26,58.6355
2021-08-27,60.9735
2021-08-28,60.9735
2021-08-29,60.9735
2021-08-30,58.7203
2021-08-31,58.9445
2021-09-01,58.2895
2021-09-02,59.2269
2021-09-03,58.6587
2021-09-04,58.6587
2021-09-05,58.6587
2021-09-06,58.6587
2021-09-07,57.8548
2021-09-08,57.6214
2021-09-09,58.1454
2021-09-10,55.9965
2021-09-11,55.9965
2021-09-12,55.9965
2021-09-13,57.53
2021-09-14,53.4495
2021-09-15,55.0084
2021-09-16,54.2347
2021-09-17,53.5667
2021-09-18,53.5667
2021-09-19,53.5667
2021-09-20,51.913
2021-09-21,50.937
2021-09-22,53.6419
2021-09-23,55.2489
2021-09-24,54.5584
2021-09-25,54.5584
2021-09-26,54.5584
2021-09-27,56.8813
2021-09-28,54.0244
2021-09-29,54.5907
2021-09-30,52.7969
2021-10-01,57.3296
2021-10-02,57.3296
2021-10-03,57.3296
2021-10-04,57.4142
2021-10-05,57.1796
2021-10-06,58.6646
2021-10-07,59.8508
2021-10-08,60.3552
2021-10-09,60.3552
2021-10-10,60.3552
2021-10-11,60.5262
2021-10-12,60.7886
2021-10-13,62.4253
2021-10-14,65.1205
2021-10-15,64.6969
2021-10-16,64.6969
2021-10-17,64.6969
2021-10-18,63.9794
2021-10-19,63.9794
2021-10-20,64.6506
2021-10-21,64.9043
2021-10-22,65.4179
2021-10-23,65.4179
2021-10-24,65.4179
2021-10-25,64.4424
2021-10-26,64.5336
2021-10-27,58.3428
2021-10-28,59.6444
2021-10-29,59.4964
2021-10-30,59.4964
2021-10-31,59.4964
2021-11-01,62.9212
2021-11-02,61.2833
2021-11-03,54.8392
2021-11-04,47.9879
2021-11-05,52.5618
2021-11-06,52.5618
2021-11-07,52.5618
2021-11-08,51.9584
2021-11-09,49.1242
2021-11-10,48.5573
2021-11-11,49.7569
2021-11-12,48.3004
2021-11-13,48.3004
2021-11-14,48.3004
2021-11-15,48.7145
2021-11-16,49.5506
2021-11-17,45.1703
2021-11-18,45.8166
2021-11-19,45.9265
2021-11-20,45.9265
2021-11-21,45.9265
2021-11-22,47.4696
2021-11-23,47.1712
2021-11-24,47.7376
