,WNC US Equity
,RSI_30D
2020-12-26,56.1046
2020-12-27,56.1046
2020-12-28,55.758
2020-12-29,54.4246
2020-12-30,55.5715
2020-12-31,54.8574
2021-01-01,54.8574
2021-01-02,54.8574
2021-01-03,54.8574
2021-01-04,52.4744
2021-01-05,54.1334
2021-01-06,60.552
2021-01-07,60.4338
2021-01-08,57.7509
2021-01-09,57.7509
2021-01-10,57.7509
2021-01-11,57.6933
2021-01-12,58.674
2021-01-13,55.7117
2021-01-14,55.9822
2021-01-15,51.7838
2021-01-16,51.7838
2021-01-17,51.7838
2021-01-18,51.7838
2021-01-19,51.576
2021-01-20,51.2039
2021-01-21,50.9324
2021-01-22,51.7788
2021-01-23,51.7788
2021-01-24,51.7788
2021-01-25,49.5675
2021-01-26,51.8541
2021-01-27,51.4055
2021-01-28,48.8378
2021-01-29,45.8156
2021-01-30,45.8156
2021-01-31,45.8156
2021-02-01,46.7251
2021-02-02,47.0697
2021-02-03,48.9488
2021-02-04,50.0603
2021-02-05,50.6714
2021-02-06,50.6714
2021-02-07,50.6714
2021-02-08,53.1
2021-02-09,51.6389
2021-02-10,50.2096
2021-02-11,49.1403
2021-02-12,50.2931
2021-02-13,50.2931
2021-02-14,50.2931
2021-02-15,50.2931
2021-02-16,51.7084
2021-02-17,53.1438
2021-02-18,49.9537
2021-02-19,51.9962
2021-02-20,51.9962
2021-02-21,51.9962
2021-02-22,53.8397
2021-02-23,52.0667
2021-02-24,53.4926
2021-02-25,50.4453
2021-02-26,48.7121
2021-02-27,48.7121
2021-02-28,48.7121
2021-03-01,53.514
2021-03-02,53.4028
2021-03-03,55.5531
2021-03-04,52.9148
2021-03-05,54.895
2021-03-06,54.895
2021-03-07,54.895
2021-03-08,55.1737
2021-03-09,56.4717
2021-03-10,59.5043
2021-03-11,64.3818
2021-03-12,64.9725
2021-03-13,64.9725
2021-03-14,64.9725
2021-03-15,62.7594
2021-03-16,61.1861
2021-03-17,61.6647
2021-03-18,59.168
2021-03-19,57.2173
2021-03-20,57.2173
2021-03-21,57.2173
2021-03-22,55.1742
2021-03-23,49.1965
2021-03-24,50.223
