,TXN US Equity
,RSI_30D
2020-10-08,59.6274
2020-10-09,61.6067
2020-10-10,61.6067
2020-10-11,61.6067
2020-10-12,64.1519
2020-10-13,63.703
2020-10-14,61.8255
2020-10-15,61.5853
2020-10-16,61.9811
2020-10-17,61.9811
2020-10-18,61.9811
2020-10-19,59.3611
2020-10-20,59.4138
2020-10-21,54.5094
2020-10-22,56.1736
2020-10-23,57.5123
2020-10-24,57.5123
2020-10-25,57.5123
2020-10-26,53.6085
2020-10-27,54.5398
2020-10-28,50.823
2020-10-29,54.1498
2020-10-30,52.7469
2020-10-31,52.7469
2020-11-01,52.7469
2020-11-02,53.533
2020-11-03,54.8411
2020-11-04,58.2261
2020-11-05,60.5112
2020-11-06,61.8447
2020-11-07,61.8447
2020-11-08,61.8447
2020-11-09,60.3742
2020-11-10,56.0816
2020-11-11,58.7801
2020-11-12,57.7341
2020-11-13,59.0836
2020-11-14,59.0836
2020-11-15,59.0836
2020-11-16,60.1011
2020-11-17,57.5931
2020-11-18,55.9179
2020-11-19,58.3109
2020-11-20,57.9175
2020-11-21,57.9175
2020-11-22,57.9175
2020-11-23,58.3055
2020-11-24,59.5467
2020-11-25,57.9291
2020-11-26,57.9291
2020-11-27,58.8477
2020-11-28,58.8477
2020-11-29,58.8477
2020-11-30,60.3054
2020-12-01,61.6966
2020-12-02,60.9371
2020-12-03,60.2004
2020-12-04,63.0366
2020-12-05,63.0366
2020-12-06,63.0366
2020-12-07,62.8021
2020-12-08,63.0433
2020-12-09,59.0611
2020-12-10,58.3223
2020-12-11,56.9737
2020-12-12,56.9737
2020-12-13,56.9737
2020-12-14,56.4974
2020-12-15,58.1663
2020-12-16,57.9019
2020-12-17,58.3315
2020-12-18,59.3697
2020-12-19,59.3697
2020-12-20,59.3697
2020-12-21,57.6051
2020-12-22,57.6766
2020-12-23,56.0066
2020-12-24,56.5642
2020-12-25,56.5642
2020-12-26,56.5642
2020-12-27,56.5642
2020-12-28,56.3738
2020-12-29,56.041
2020-12-30,57.4046
2020-12-31,58.6529
2021-01-01,58.6529
2021-01-02,58.6529
2021-01-03,58.6529
2021-01-04,56.3703
2021-01-05,57.4379
2021-01-06,58.1588
2021-01-07,61.275
2021-01-08,63.6961
2021-01-09,63.6961
2021-01-10,63.6961
2021-01-11,63.8051
2021-01-12,64.5325
2021-01-13,63.3486
2021-01-14,63.5816
2021-01-15,60.2532
2021-01-16,60.2532
2021-01-17,60.2532
2021-01-18,60.2532
2021-01-19,64.1095
2021-01-20,63.0216
2021-01-21,64.311
2021-01-22,61.4434
2021-01-23,61.4434
2021-01-24,61.4434
2021-01-25,61.5286
2021-01-26,59.7279
2021-01-27,50.6895
2021-01-28,55.7945
2021-01-29,53.4892
2021-01-30,53.4892
2021-01-31,53.4892
2021-02-01,58.2798
2021-02-02,59.7312
2021-02-03,54.4514
2021-02-04,56.6487
2021-02-05,54.9878
2021-02-06,54.9878
2021-02-07,54.9878
2021-02-08,58.1689
2021-02-09,57.0203
2021-02-10,57.4277
2021-02-11,60.255
2021-02-12,60.4895
2021-02-13,60.4895
2021-02-14,60.4895
2021-02-15,60.4895
2021-02-16,61.1225
2021-02-17,59.17
2021-02-18,57.4503
2021-02-19,58.5846
2021-02-20,58.5846
2021-02-21,58.5846
