,SNA US Equity
,RSI_30D
2020-11-10,61.0577
2020-11-11,59.2782
2020-11-12,57.3611
2020-11-13,59.2858
2020-11-14,59.2858
2020-11-15,59.2858
2020-11-16,60.8288
2020-11-17,59.3921
2020-11-18,58.4286
2020-11-19,59.3023
2020-11-20,59.9035
2020-11-21,59.9035
2020-11-22,59.9035
2020-11-23,61.4311
2020-11-24,62.8573
2020-11-25,59.7638
2020-11-26,59.7638
2020-11-27,60.7579
2020-11-28,60.7579
2020-11-29,60.7579
2020-11-30,59.895
2020-12-01,59.8491
2020-12-02,59.9707
2020-12-03,60.7354
2020-12-04,62.6358
2020-12-05,62.6358
2020-12-06,62.6358
2020-12-07,61.5637
2020-12-08,62.1243
2020-12-09,62.7339
2020-12-10,61.5848
2020-12-11,61.5848
2020-12-12,61.5848
2020-12-13,61.5848
2020-12-14,56.7893
2020-12-15,56.594
2020-12-16,54.1681
2020-12-17,53.5703
2020-12-18,52.5442
2020-12-19,52.5442
2020-12-20,52.5442
2020-12-21,52.4243
2020-12-22,50.6938
2020-12-23,50.9255
2020-12-24,52.4136
2020-12-25,52.4136
2020-12-26,52.4136
2020-12-27,52.4136
2020-12-28,52.8732
2020-12-29,51.5763
2020-12-30,53.2192
2020-12-31,53.368
2021-01-01,53.368
2021-01-02,53.368
2021-01-03,53.368
2021-01-04,49.7336
2021-01-05,49.5681
2021-01-06,54.9218
2021-01-07,56.4802
2021-01-08,53.9259
2021-01-09,53.9259
2021-01-10,53.9259
2021-01-11,52.6852
2021-01-12,54.746
2021-01-13,52.5435
2021-01-14,51.3509
2021-01-15,50.1419
2021-01-16,50.1419
2021-01-17,50.1419
2021-01-18,50.1419
2021-01-19,53.0563
2021-01-20,55.1561
2021-01-21,55.5781
2021-01-22,56.8452
2021-01-23,56.8452
2021-01-24,56.8452
2021-01-25,57.7061
2021-01-26,57.9817
2021-01-27,62.8228
2021-01-28,58.3041
2021-01-29,56.303
2021-01-30,56.303
2021-01-31,56.303
2021-02-01,59.37
2021-02-02,54.3866
2021-02-03,53.4721
2021-02-04,59.6958
