,CVBF US Equity
,RSI_30D
2020-05-31,51.2258
2020-06-01,50.3149
2020-06-02,49.2339
2020-06-03,51.4502
2020-06-04,51.7655
2020-06-05,55.7516
2020-06-06,55.7516
2020-06-07,55.7516
2020-06-08,54.2579
2020-06-09,53.4778
2020-06-10,51.7237
2020-06-11,47.0467
2020-06-12,47.9218
2020-06-13,47.9218
2020-06-14,47.9218
2020-06-15,48.1581
2020-06-16,49.7505
2020-06-17,48.5506
2020-06-18,49.1845
2020-06-19,49.0357
2020-06-20,49.0357
2020-06-21,49.0357
2020-06-22,48.2504
2020-06-23,47.5834
2020-06-24,45.2871
2020-06-25,47.0821
2020-06-26,45.9637
2020-06-27,45.9637
2020-06-28,45.9637
2020-06-29,48.1113
2020-06-30,49.2205
2020-07-01,47.2831
2020-07-02,46.8291
2020-07-03,46.8291
2020-07-04,46.8291
2020-07-05,46.8291
2020-07-06,47.4898
2020-07-07,46.2081
2020-07-08,45.1521
2020-07-09,43.5471
2020-07-10,45.7309
2020-07-11,45.7309
2020-07-12,45.7309
2020-07-13,47.4003
2020-07-14,46.4681
2020-07-15,48.6995
2020-07-16,49.0186
2020-07-17,47.6225
2020-07-18,47.6225
2020-07-19,47.6225
2020-07-20,46.9478
2020-07-21,50.2304
2020-07-22,48.7735
2020-07-23,51.8359
2020-07-24,51.0205
2020-07-25,51.0205
2020-07-26,51.0205
2020-07-27,49.1429
2020-07-28,48.2918
2020-07-29,49.9073
2020-07-30,48.8203
2020-07-31,48.9687
2020-08-01,48.9687
2020-08-02,48.9687
2020-08-03,48.8588
2020-08-04,48.5396
2020-08-05,49.8555
2020-08-06,49.716
2020-08-07,52.8361
2020-08-08,52.8361
2020-08-09,52.8361
2020-08-10,53.5443
2020-08-11,54.2549
2020-08-12,53.4098
2020-08-13,52.3879
2020-08-14,52.8544
2020-08-15,52.8544
2020-08-16,52.8544
2020-08-17,51.7371
2020-08-18,49.4843
2020-08-19,50.4042
2020-08-20,48.8273
2020-08-21,48.6524
2020-08-22,48.6524
2020-08-23,48.6524
2020-08-24,50.9694
2020-08-25,50.7141
2020-08-26,48.9836
2020-08-27,50.3393
2020-08-28,49.7265
2020-08-29,49.7265
2020-08-30,49.7265
2020-08-31,48.7351
2020-09-01,48.2611
2020-09-02,48.1159
2020-09-03,48.6487
2020-09-04,50.3881
2020-09-05,50.3881
2020-09-06,50.3881
2020-09-07,50.3881
2020-09-08,46.127
2020-09-09,44.82
2020-09-10,43.9319
2020-09-11,43.619
2020-09-12,43.619
2020-09-13,43.619
2020-09-14,44.0898
2020-09-15,42.8857
2020-09-16,44.041
2020-09-17,43.6564
2020-09-18,44.9617
2020-09-19,44.9617
2020-09-20,44.9617
2020-09-21,40.922
2020-09-22,39.8932
2020-09-23,38.4555
2020-09-24,39.8847
2020-09-25,40.4052
2020-09-26,40.4052
2020-09-27,40.4052
2020-09-28,44.1571
2020-09-29,43.5893
2020-09-30,44.0852
2020-10-01,43.6388
2020-10-02,45.8448
2020-10-03,45.8448
2020-10-04,45.8448
2020-10-05,48.6376
2020-10-06,49.5632
2020-10-07,51.4851
2020-10-08,52.6382
2020-10-09,52.6936
2020-10-10,52.6936
2020-10-11,52.6936
2020-10-12,54.6679
2020-10-13,50.6582
2020-10-14,48.8065
2020-10-15,52.0482
2020-10-16,52.1014
2020-10-17,52.1014
2020-10-18,52.1014
2020-10-19,50.536
2020-10-20,51.7035
2020-10-21,51.8714
2020-10-22,54.5414
2020-10-23,55.4289
2020-10-24,55.4289
2020-10-25,55.4289
2020-10-26,53.9547
2020-10-27,50.5672
2020-10-28,47.2261
2020-10-29,48.9424
2020-10-30,49.5087
2020-10-31,49.5087
2020-11-01,49.5087
2020-11-02,52.2479
2020-11-03,53.6525
2020-11-04,45.7179
2020-11-05,47.8672
2020-11-06,50.8048
2020-11-07,50.8048
2020-11-08,50.8048
2020-11-09,61.198
2020-11-10,62.5237
2020-11-11,58.3101
2020-11-12,56.1814
2020-11-13,57.99
2020-11-14,57.99
2020-11-15,57.99
2020-11-16,60.671
2020-11-17,60.234
2020-11-18,57.3294
2020-11-19,56.8704
2020-11-20,55.8199
2020-11-21,55.8199
2020-11-22,55.8199
2020-11-23,56.5832
2020-11-24,58.6096
2020-11-25,56.6137
2020-11-26,56.6137
2020-11-27,55.3009
2020-11-28,55.3009
2020-11-29,55.3009
2020-11-30,51.3288
2020-12-01,52.3901
2020-12-02,52.851
2020-12-03,52.1678
2020-12-04,54.0473
2020-12-05,54.0473
2020-12-06,54.0473
2020-12-07,53.7114
2020-12-08,53.9704
2020-12-09,53.9258
2020-12-10,54.2386
2020-12-11,53.3948
2020-12-12,53.3948
2020-12-13,53.3948
2020-12-14,52.7813
2020-12-15,54.3668
2020-12-16,54.3668
2020-12-17,54.213
2020-12-18,52.9729
2020-12-19,52.9729
2020-12-20,52.9729
2020-12-21,51.6985
2020-12-22,49.8381
2020-12-23,52.3678
2020-12-24,52.7822
2020-12-25,52.7822
2020-12-26,52.7822
2020-12-27,52.7822
2020-12-28,53.6627
2020-12-29,52.1023
2020-12-30,52.2742
2020-12-31,52.8741
2021-01-01,52.8741
2021-01-02,52.8741
2021-01-03,52.8741
2021-01-04,52.976
2021-01-05,54.005
2021-01-06,62.0747
2021-01-07,62.2931
2021-01-08,59.9135
2021-01-09,59.9135
2021-01-10,59.9135
2021-01-11,60.8797
2021-01-12,61.7942
2021-01-13,58.6053
2021-01-14,59.5452
2021-01-15,57.616
2021-01-16,57.616
2021-01-17,57.616
2021-01-18,57.616
2021-01-19,59.1683
2021-01-20,58.0683
2021-01-21,56.2464
2021-01-22,58.6377
2021-01-23,58.6377
2021-01-24,58.6377
2021-01-25,57.2743
2021-01-26,54.3853
2021-01-27,50.2769
2021-01-28,50.3703
2021-01-29,47.8579
2021-01-30,47.8579
2021-01-31,47.8579
2021-02-01,49.4518
2021-02-02,50.6806
2021-02-03,49.5309
2021-02-04,52.2396
2021-02-05,51.3065
2021-02-06,51.3065
2021-02-07,51.3065
2021-02-08,53.042
2021-02-09,54.2408
2021-02-10,54.8153
2021-02-11,54.8153
2021-02-12,55.5956
2021-02-13,55.5956
2021-02-14,55.5956
2021-02-15,55.5956
2021-02-16,55.5956
2021-02-17,54.9387
2021-02-18,53.5986
2021-02-19,55.3752
2021-02-20,55.3752
2021-02-21,55.3752
2021-02-22,57.5762
2021-02-23,58.731
2021-02-24,60.8493
2021-02-25,57.7811
2021-02-26,55.1398
2021-02-27,55.1398
2021-02-28,55.1398
2021-03-01,57.675
2021-03-02,55.8422
2021-03-03,57.3537
2021-03-04,58.1905
2021-03-05,60.571
2021-03-06,60.571
2021-03-07,60.571
2021-03-08,65.2627
2021-03-09,63.9024
2021-03-10,64.8257
2021-03-11,65.4462
2021-03-12,67.1347
2021-03-13,67.1347
2021-03-14,67.1347
2021-03-15,62.9418
2021-03-16,60.5554
2021-03-17,59.5773
2021-03-18,60.3503
2021-03-19,61.0113
2021-03-20,61.0113
2021-03-21,61.0113
2021-03-22,55.3377
2021-03-23,51.6679
2021-03-24,51.8352
2021-03-25,53.1766
2021-03-26,55.8403
2021-03-27,55.8403
2021-03-28,55.8403
2021-03-29,52.8463
2021-03-30,53.5509
2021-03-31,51.7675
2021-04-01,52.2943
2021-04-02,52.2943
2021-04-03,52.2943
2021-04-04,52.2943
2021-04-05,52.8483
2021-04-06,51.5385
2021-04-07,50.8276
2021-04-08,50.9676
2021-04-09,51.5147
2021-04-10,51.5147
2021-04-11,51.5147
2021-04-12,52.2574
2021-04-13,50.5518
2021-04-14,50.8035
2021-04-15,50.75
2021-04-16,51.3849
2021-04-17,51.3849
2021-04-18,51.3849
2021-04-19,50.1859
2021-04-20,46.6993
2021-04-21,48.7487
2021-04-22,47.5226
2021-04-23,51.4686
2021-04-24,51.4686
2021-04-25,51.4686
2021-04-26,50.3715
2021-04-27,49.9519
2021-04-28,48.6674
2021-04-29,48.917
2021-04-30,47.0755
2021-05-01,47.0755
2021-05-02,47.0755
2021-05-03,49.0047
2021-05-04,49.5087
2021-05-05,49.0077
2021-05-06,51.1664
2021-05-07,50.24
2021-05-08,50.24
2021-05-09,50.24
2021-05-10,48.5904
2021-05-11,47.917
2021-05-12,47.8027
2021-05-13,52.6489
2021-05-14,54.0061
2021-05-15,54.0061
2021-05-16,54.0061
2021-05-17,54.3511
2021-05-18,52.4114
2021-05-19,53.1918
2021-05-20,53.5297
2021-05-21,55.9423
2021-05-22,55.9423
2021-05-23,55.9423
2021-05-24,52.2437
2021-05-25,48.0507
2021-05-26,49.4681
2021-05-27,51.6515
2021-05-28,51.813
2021-05-29,51.813
2021-05-30,51.813
2021-05-31,51.813
2021-06-01,52.792
2021-06-02,52.1226
2021-06-03,53.0739
2021-06-04,52.3773
2021-06-05,52.3773
2021-06-06,52.3773
2021-06-07,53.3561
2021-06-08,54.0459
2021-06-09,51.9276
2021-06-10,50.5194
2021-06-11,50.455
2021-06-12,50.455
2021-06-13,50.455
