,NFBK US Equity
2020-04-02,37.8877
2020-04-03,35.7216
2020-04-04,35.7216
2020-04-05,35.7216
2020-04-06,38.0826
2020-04-07,37.9649
2020-04-08,38.8452
2020-04-09,43.2855
2020-04-10,43.2855
2020-04-11,43.2855
2020-04-12,43.2855
2020-04-13,41.0684
2020-04-14,41.2489
2020-04-15,39.4373
2020-04-16,38.6501
2020-04-17,41.2177
2020-04-18,41.2177
2020-04-19,41.2177
2020-04-20,40.4222
2020-04-21,40.6355
2020-04-22,40.2545
2020-04-23,41.1481
2020-04-24,41.2995
2020-04-25,41.2995
2020-04-26,41.2995
2020-04-27,44.0298
2020-04-28,45.1808
2020-04-29,47.9929
2020-04-30,45.7255
2020-05-01,46.5956
2020-05-02,46.5956
2020-05-03,46.5956
2020-05-04,45.0998
2020-05-05,44.0226
2020-05-06,43.372
2020-05-07,44.3234
2020-05-08,46.9904
2020-05-09,46.9904
2020-05-10,46.9904
2020-05-11,44.6568
2020-05-12,42.6712
2020-05-13,41.6399
2020-05-14,41.4917
2020-05-15,41.813
2020-05-16,41.813
2020-05-17,41.813
2020-05-18,46.4294
2020-05-19,44.1972
2020-05-20,46.9756
2020-05-21,46.3086
2020-05-22,46.3802
2020-05-23,46.3802
2020-05-24,46.3802
2020-05-25,46.3802
2020-05-26,48.8276
2020-05-27,53.2044
2020-05-28,49.9438
2020-05-29,47.7529
2020-05-30,47.7529
2020-05-31,47.7529
2020-06-01,47.5567
2020-06-02,47.1956
2020-06-03,49.53
2020-06-04,49.7899
2020-06-05,52.9251
2020-06-06,52.9251
2020-06-07,52.9251
2020-06-08,53.8395
2020-06-09,53.0973
2020-06-10,50.1051
2020-06-11,45.984
2020-06-12,47.1624
2020-06-13,47.1624
2020-06-14,47.1624
2020-06-15,47.3385
2020-06-16,48.5361
2020-06-17,47.4609
2020-06-18,48.5048
2020-06-19,46.8106
2020-06-20,46.8106
2020-06-21,46.8106
2020-06-22,47.9029
2020-06-23,47.5163
2020-06-24,46.1881
2020-06-25,48.4942
2020-06-26,47.9626
2020-06-27,47.9626
2020-06-28,47.9626
2020-06-29,50.1304
2020-06-30,51.1375
2020-07-01,47.569
2020-07-02,46.7153
2020-07-03,46.7153
2020-07-04,46.7153
2020-07-05,46.7153
2020-07-06,47.1568
2020-07-07,45.4263
2020-07-08,45.2759
2020-07-09,43.7146
2020-07-10,46.4617
2020-07-11,46.4617
2020-07-12,46.4617
2020-07-13,46.3059
2020-07-14,46.032
2020-07-15,48.5001
2020-07-16,48.1127
2020-07-17,46.3876
2020-07-18,46.3876
2020-07-19,46.3876
2020-07-20,42.9371
2020-07-21,47.1595
2020-07-22,45.7752
2020-07-23,47.9959
2020-07-24,46.3382
2020-07-25,46.3382
2020-07-26,46.3382
2020-07-27,44.7803
2020-07-28,45.4975
2020-07-29,45.7578
2020-07-30,44.3553
2020-07-31,44.6296
2020-08-01,44.6296
2020-08-02,44.6296
2020-08-03,44.2236
2020-08-04,44.4879
2020-08-05,46.3291
2020-08-06,45.3897
2020-08-07,47.9195
2020-08-08,47.9195
2020-08-09,47.9195
2020-08-10,48.3694
2020-08-11,48.427
2020-08-12,48.7817
2020-08-13,46.52
2020-08-14,46.831
2020-08-15,46.831
2020-08-16,46.831
2020-08-17,46.9587
2020-08-18,45.4902
2020-08-19,45.321
2020-08-20,45.8075
2020-08-21,45.9496
2020-08-22,45.9496
2020-08-23,45.9496
2020-08-24,47.0978
2020-08-25,46.6493
2020-08-26,45.4344
2020-08-27,47.1577
2020-08-28,47.0242
2020-08-29,47.0242
2020-08-30,47.0242
2020-08-31,46.4793
2020-09-01,46.8773
2020-09-02,47.4432
2020-09-03,47.2943
2020-09-04,47.8028
2020-09-05,47.8028
2020-09-06,47.8028
2020-09-07,47.8028
2020-09-08,48.019
2020-09-09,47.2498
2020-09-10,47.3416
2020-09-11,47.8117
2020-09-12,47.8117
2020-09-13,47.8117
2020-09-14,50.6379
2020-09-15,47.9926
2020-09-16,48.3586
2020-09-17,48.2708
2020-09-18,48.2255
2020-09-19,48.2255
2020-09-20,48.2255
2020-09-21,43.2672
2020-09-22,41.1529
2020-09-23,39.7771
2020-09-24,41.1343
2020-09-25,41.2397
2020-09-26,41.2397
2020-09-27,41.2397
2020-09-28,44.1364
2020-09-29,43.4246
2020-09-30,43.6335
2020-10-01,46.9766
2020-10-02,49.9541
2020-10-03,49.9541
2020-10-04,49.9541
2020-10-05,52.0434
2020-10-06,52.3862
2020-10-07,54.0015
2020-10-08,54.7537
2020-10-09,54.3451
2020-10-10,54.3451
2020-10-11,54.3451
2020-10-12,56.3661
2020-10-13,52.8375
2020-10-14,51.5034
2020-10-15,53.8293
2020-10-16,53.6321
2020-10-17,53.6321
2020-10-18,53.6321
2020-10-19,53.5308
2020-10-20,55.4475
2020-10-21,56.2536
2020-10-22,58.6564
2020-10-23,56.1681
2020-10-24,56.1681
2020-10-25,56.1681
2020-10-26,54.6053
2020-10-27,52.9787
2020-10-28,48.7535
2020-10-29,50.036
2020-10-30,51.1206
2020-10-31,51.1206
2020-11-01,51.1206
2020-11-02,52.1942
2020-11-03,52.6425
2020-11-04,48.3289
2020-11-05,51.2909
2020-11-06,50.3855
2020-11-07,50.3855
2020-11-08,50.3855
2020-11-09,58.8871
2020-11-10,60.9864
2020-11-11,57.5022
2020-11-12,54.8427
2020-11-13,57.1492
2020-11-14,57.1492
2020-11-15,57.1492
2020-11-16,59.5815
2020-11-17,59.4113
2020-11-18,57.8724
2020-11-19,57.5298
2020-11-20,57.5947
2020-11-21,57.5947
2020-11-22,57.5947
2020-11-23,58.2548
2020-11-24,61.25
2020-11-25,60.2256
2020-11-26,60.2256
2020-11-27,57.947
2020-11-28,57.947
2020-11-29,57.947
2020-11-30,54.7742
2020-12-01,56.3769
2020-12-02,57.0978
2020-12-03,56.745
2020-12-04,58.5973
2020-12-05,58.5973
2020-12-06,58.5973
2020-12-07,58.8576
2020-12-08,58.991
2020-12-09,58.4034
2020-12-10,59.0366
2020-12-11,58.6263
2020-12-12,58.6263
2020-12-13,58.6263
2020-12-14,60.4735
2020-12-15,60.9589
2020-12-16,62.3924
2020-12-17,61.393
2020-12-18,61.6051
2020-12-19,61.6051
2020-12-20,61.6051
2020-12-21,60.4599
2020-12-22,59.2074
2020-12-23,60.7372
2020-12-24,60.3858
2020-12-25,60.3858
2020-12-26,60.3858
2020-12-27,60.3858
2020-12-28,61.312
2020-12-29,59.5128
2020-12-30,59.8379
2020-12-31,60.7349
2021-01-01,60.7349
2021-01-02,60.7349
2021-01-03,60.7349
2021-01-04,59.3633
2021-01-05,60.6988
2021-01-06,67.1837
2021-01-07,67.7752
2021-01-08,63.4014
2021-01-09,63.4014
2021-01-10,63.4014
2021-01-11,64.05
2021-01-12,65.3829
2021-01-13,63.3018
2021-01-14,64.7215
2021-01-15,62.7801
2021-01-16,62.7801
2021-01-17,62.7801
2021-01-18,62.7801
2021-01-19,63.5779
2021-01-20,63.2274
2021-01-21,60.032
2021-01-22,60.5477
2021-01-23,60.5477
2021-01-24,60.5477
2021-01-25,60.6227
2021-01-26,57.6709
2021-01-27,53.0463
2021-01-28,53.9795
2021-01-29,52.5074
2021-01-30,52.5074
2021-01-31,52.5074
2021-02-01,54.3944
2021-02-02,56.4684
2021-02-03,57.0625
2021-02-04,59.5021
2021-02-05,59.393
2021-02-06,59.393
2021-02-07,59.393
2021-02-08,62.4549
2021-02-09,63.587
2021-02-10,61.2279
2021-02-11,61.1162
2021-02-12,61.4797
2021-02-13,61.4797
2021-02-14,61.4797
2021-02-15,61.4797
2021-02-16,60.8908
2021-02-17,60.2934
2021-02-18,58.5119
2021-02-19,60.523
2021-02-20,60.523
2021-02-21,60.523
2021-02-22,62.2277
2021-02-23,62.927
2021-02-24,64.9077
2021-02-25,61.6234
2021-02-26,59.5455
2021-02-27,59.5455
2021-02-28,59.5455
2021-03-01,61.8381
2021-03-02,60.3543
2021-03-03,62.5698
2021-03-04,64.1092
2021-03-05,66.5819
2021-03-06,66.5819
2021-03-07,66.5819
2021-03-08,69.6138
2021-03-09,69.9662
2021-03-10,71.5275
2021-03-11,71.4075
2021-03-12,73.4361
2021-03-13,73.4361
2021-03-14,73.4361
2021-03-15,69.8254
2021-03-16,69.597
2021-03-17,68.3823
2021-03-18,68.9954
2021-03-19,69.5791
2021-03-20,69.5791
2021-03-21,69.5791
2021-03-22,63.7131
2021-03-23,60.0852
2021-03-24,62.0712
2021-03-25,64.6312
2021-03-26,66.8433
2021-03-27,66.8433
2021-03-28,66.8433
2021-03-29,63.9563
2021-03-30,64.4852
2021-03-31,62.77
2021-04-01,62.9399
2021-04-02,62.9399
2021-04-03,62.9399
2021-04-04,62.9399
2021-04-05,63.9611
2021-04-06,62.1884
2021-04-07,62.4872
2021-04-08,62.5484
2021-04-09,63.109
2021-04-10,63.109
2021-04-11,63.109
2021-04-12,63.916
2021-04-13,61.1484
2021-04-14,62.3798
2021-04-15,62.4446
2021-04-16,62.7763
2021-04-17,62.7763
2021-04-18,62.7763
2021-04-19,62.2643
2021-04-20,58.5846
2021-04-21,59.9725
2021-04-22,58.0655
2021-04-23,60.4506
2021-04-24,60.4506
2021-04-25,60.4506
2021-04-26,60.129
2021-04-27,60.129
2021-04-28,60.3547
2021-04-29,60.8892
2021-04-30,60.0517
2021-05-01,60.0517
2021-05-02,60.0517
2021-05-03,62.1301
2021-05-04,63.8592
2021-05-05,62.1469
2021-05-06,64.1365
2021-05-07,63.3978
2021-05-08,63.3978
2021-05-09,63.3978
2021-05-10,61.0929
2021-05-11,60.6092
2021-05-12,58.9202
2021-05-13,64.16
2021-05-14,64.3587
2021-05-15,64.3587
2021-05-16,64.3587
2021-05-17,65.1581
2021-05-18,61.3616
2021-05-19,63.2973
2021-05-20,62.0343
2021-05-21,62.9384
2021-05-22,62.9384
2021-05-23,62.9384
2021-05-24,60.8624
2021-05-25,55.2106
2021-05-26,57.2633
2021-05-27,59.2661
2021-05-28,59.1637
2021-05-29,59.1637
2021-05-30,59.1637
2021-05-31,59.1637
2021-06-01,57.4184
2021-06-02,56.5055
2021-06-03,56.9772
2021-06-04,56.9772
2021-06-05,56.9772
2021-06-06,56.9772
2021-06-07,57.7134
2021-06-08,58.0435
2021-06-09,56.5591
2021-06-10,54.6678
2021-06-11,55.5719
2021-06-12,55.5719
2021-06-13,55.5719
2021-06-14,55.8452
2021-06-15,57.03
2021-06-16,55.1459
2021-06-17,51.4123
2021-06-18,46.8739
2021-06-19,46.8739
2021-06-20,46.8739
2021-06-21,50.9702
2021-06-22,51.1514
2021-06-23,51.1514
2021-06-24,54.1442
2021-06-25,54.6666
2021-06-26,54.6666
2021-06-27,54.6666
2021-06-28,51.1502
2021-06-29,51.5189
2021-06-30,51.7074
2021-07-01,52.6596
2021-07-02,50.1046
2021-07-03,50.1046
2021-07-04,50.1046
2021-07-05,50.1046
2021-07-06,46.4663
2021-07-07,46.1111
2021-07-08,44.2727
2021-07-09,48.4255
2021-07-10,48.4255
2021-07-11,48.4255
2021-07-12,49.5635
2021-07-13,46.2225
2021-07-14,48.218
2021-07-15,49.5999
2021-07-16,47.5017
2021-07-17,47.5017
2021-07-18,47.5017
2021-07-19,45.6696
2021-07-20,48.0261
2021-07-21,50.0002
2021-07-22,47.7814
2021-07-23,47.8734
2021-07-24,47.8734
2021-07-25,47.8734
2021-07-26,49.0804
2021-07-27,48.2798
2021-07-28,50.1492
2021-07-29,53.046
2021-07-30,53.046
2021-07-31,53.046
2021-08-01,53.046
2021-08-02,51.7775
2021-08-03,53.9673
2021-08-04,53.0698
2021-08-05,55.0462
2021-08-06,56.8445
2021-08-07,56.8445
2021-08-08,56.8445
2021-08-09,55.0831
2021-08-10,56.5688
2021-08-11,57.2193
2021-08-12,56.562
2021-08-13,55.5713
2021-08-14,55.5713
2021-08-15,55.5713
2021-08-16,54.4747
2021-08-17,54.8434
2021-08-18,52.5325
2021-08-19,51.3598
2021-08-20,52.5551
2021-08-21,52.5551
2021-08-22,52.5551
2021-08-23,53.9216
2021-08-24,53.9216
2021-08-25,54.8169
2021-08-26,53.9731
2021-08-27,56.7292
2021-08-28,56.7292
2021-08-29,56.7292
2021-08-30,54.0963
2021-08-31,56.0161
2021-09-01,55.8952
2021-09-02,55.5232
2021-09-03,54.3998
2021-09-04,54.3998
2021-09-05,54.3998
2021-09-06,54.3998
2021-09-07,53.4062
2021-09-08,52.9063
2021-09-09,51.5342
2021-09-10,49.5986
2021-09-11,49.5986
2021-09-12,49.5986
2021-09-13,51.5968
2021-09-14,47.5793
2021-09-15,48.0574
2021-09-16,45.4823
2021-09-17,53.5317
2021-09-18,53.5317
2021-09-19,53.5317
2021-09-20,49.6866
2021-09-21,48.9213
2021-09-22,51.344
2021-09-23,55.692
2021-09-24,55.8552
2021-09-25,55.8552
2021-09-26,55.8552
2021-09-27,56.8421
2021-09-28,56.5154
2021-09-29,58.3324
2021-09-30,56.0209
2021-10-01,57.8318
2021-10-02,57.8318
2021-10-03,57.8318
2021-10-04,57.9945
2021-10-05,59.294
2021-10-06,58.4753
2021-10-07,59.8675
2021-10-08,59.5033
2021-10-09,59.5033
2021-10-10,59.5033
2021-10-11,58.5212
2021-10-12,58.8723
2021-10-13,57.4879
2021-10-14,57.7681
2021-10-15,58.3362
2021-10-16,58.3362
2021-10-17,58.3362
2021-10-18,55.5041
2021-10-19,55.1266
2021-10-20,55.5437
2021-10-21,54.6245
2021-10-22,55.3882
2021-10-23,55.3882
2021-10-24,55.3882
2021-10-25,56.7856
2021-10-26,56.0866
2021-10-27,50.4352
2021-10-28,55.8713
2021-10-29,56.1583
2021-10-30,56.1583
2021-10-31,56.1583
2021-11-01,59.6009
2021-11-02,57.511
2021-11-03,60.4637
2021-11-04,58.3079
2021-11-05,60.8735
2021-11-06,60.8735
2021-11-07,60.8735
2021-11-08,61.4864
2021-11-09,60.257
2021-11-10,60.9039
2021-11-11,62.1776
2021-11-12,58.5981
2021-11-13,58.5981
2021-11-14,58.5981
2021-11-15,58.0025
2021-11-16,57.0429
2021-11-17,54.147
2021-11-18,53.473
2021-11-19,50.75
2021-11-20,50.75
2021-11-21,50.75
2021-11-22,55.8649
2021-11-23,57.1212
2021-11-24,56.0214
2021-11-25,56.0214
2021-11-26,47.3455
2021-11-27,47.3455
2021-11-28,47.3455
2021-11-29,46.2975
2021-11-30,45.8132
2021-12-01,44.0651
2021-12-02,47.9849
2021-12-03,46.7739
2021-12-04,46.7739
2021-12-05,46.7739
2021-12-06,48.7368
2021-12-07,48.4846
2021-12-08,47.8863
2021-12-09,47.2828
2021-12-10,48.5291
2021-12-11,48.5291
2021-12-12,48.5291
2021-12-13,44.6641
2021-12-14,46.0177
2021-12-15,39.7027
2021-12-16,44.7803
2021-12-17,44.0399
2021-12-18,44.0399
2021-12-19,44.0399
2021-12-20,42.2655
2021-12-21,43.0567
2021-12-22,44.0264
2021-12-23,44.7345
2021-12-24,44.7345
2021-12-25,44.7345
2021-12-26,44.7345
2021-12-27,45.0044
2021-12-28,44.8534
2021-12-29,44.544
2021-12-30,43.9173
2021-12-31,43.2873
2022-01-01,43.2873
2022-01-02,43.2873
2022-01-03,47.0217
2022-01-04,48.8554
2022-01-05,49.3091
2022-01-06,52.2042
2022-01-07,53.0449
2022-01-08,53.0449
2022-01-09,53.0449
2022-01-10,53.2998
2022-01-11,51.6559
2022-01-12,51.9265
2022-01-13,52.8371
2022-01-14,53.1128
2022-01-15,53.1128
2022-01-16,53.1128
2022-01-17,53.1128
2022-01-18,51.4537
2022-01-19,48.4222
2022-01-20,45.556
2022-01-21,46.7781
2022-01-22,46.7781
2022-01-23,46.7781
2022-01-24,48.4731
2022-01-25,49.6442
2022-01-26,45.2956
2022-01-27,41.3219
2022-01-28,40.8231
2022-01-29,40.8231
2022-01-30,40.8231
2022-01-31,40.678
2022-02-01,41.6437
2022-02-02,38.2776
2022-02-03,37.8733
2022-02-04,38.2109
2022-02-05,38.2109
2022-02-06,38.2109
2022-02-07,38.6705
2022-02-08,40.74
2022-02-09,39.8891
2022-02-10,39.8891
2022-02-11,41.5518
2022-02-12,41.5518
2022-02-13,41.5518
2022-02-14,41.7898
2022-02-15,44.701
2022-02-16,45.6016
2022-02-17,43.4948
2022-02-18,44.9811
2022-02-19,44.9811
2022-02-20,44.9811
2022-02-21,44.9811
2022-02-22,44.7004
2022-02-23,45.6362
2022-02-24,41.2168
2022-02-25,46.8657
2022-02-26,46.8657
2022-02-27,46.8657
2022-02-28,45.9865
2022-03-01,39.6071
2022-03-02,43.6958
2022-03-03,44.437
2022-03-04,42.9033
2022-03-05,42.9033
2022-03-06,42.9033
2022-03-07,41.4924
2022-03-08,40.3262
2022-03-09,42.49
2022-03-10,43.0724
2022-03-11,44.5253
2022-03-12,44.5253
2022-03-13,44.5253
2022-03-14,45.2956
2022-03-15,44.8925
2022-03-16,46.7549
2022-03-17,45.1755
2022-03-18,43.4956
2022-03-19,43.4956
2022-03-20,43.4956
2022-03-21,42.8674
2022-03-22,43.08
2022-03-23,40.6542
2022-03-24,41.0969
2022-03-25,43.0739
2022-03-26,43.0739
2022-03-27,43.0739
2022-03-28,41.7843
2022-03-29,43.3203
2022-03-30,40.8514
2022-03-31,39.3544
2022-04-01,39.9237
2022-04-02,39.9237
2022-04-03,39.9237
2022-04-04,37.7255
2022-04-05,37.2307
2022-04-06,35.7079
2022-04-07,34.5774
2022-04-08,33.9881
2022-04-09,33.9881
2022-04-10,33.9881
2022-04-11,34.2457
2022-04-12,33.5018
2022-04-13,35.093
2022-04-14,34.664
2022-04-15,34.664
2022-04-16,34.664
2022-04-17,34.664
2022-04-18,35.3454
2022-04-19,37.503
2022-04-20,39.5886
2022-04-21,39.7187
2022-04-22,36.6948
2022-04-23,36.6948
2022-04-24,36.6948
2022-04-25,36.1561
2022-04-26,34.8699
2022-04-27,33.7733
2022-04-28,38.0714
2022-04-29,35.2602
2022-04-30,35.2602
2022-05-01,35.2602
2022-05-02,34.5654
2022-05-03,34.2859
2022-05-04,38.649
2022-05-05,37.2929
2022-05-06,36.269
2022-05-07,36.269
2022-05-08,36.269
2022-05-09,37.6602
2022-05-10,36.4509
2022-05-11,36.1507
2022-05-12,36.8236
2022-05-13,35.8086
2022-05-14,35.8086
2022-05-15,35.8086
2022-05-16,37.8532
2022-05-17,40.842
2022-05-18,39.4758
2022-05-19,37.1459
2022-05-20,37.4095
2022-05-21,37.4095
2022-05-22,37.4095
2022-05-23,39.8866
2022-05-24,40.5273
2022-05-25,41.304
2022-05-26,42.9732
2022-05-27,43.8625
2022-05-28,43.8625
2022-05-29,43.8625
2022-05-30,43.8625
2022-05-31,45.9789
2022-06-01,44.4493
2022-06-02,46.4163
2022-06-03,43.248
2022-06-04,43.248
2022-06-05,43.248
2022-06-06,45.6467
2022-06-07,45.448
2022-06-08,42.3044
2022-06-09,42.9232
2022-06-10,39.9945
2022-06-11,39.9945
2022-06-12,39.9945
2022-06-13,37.7346
2022-06-14,38.5049
2022-06-15,39.2819
2022-06-16,37.4075
2022-06-17,36.1656
2022-06-18,36.1656
2022-06-19,36.1656
2022-06-20,36.1656
2022-06-21,43.663
2022-06-22,46.6925
2022-06-23,44.8844
2022-06-24,47.1043
2022-06-25,47.1043
2022-06-26,47.1043
2022-06-27,47.6986
2022-06-28,47.6986
2022-06-29,47.3193
2022-06-30,48.2766
2022-07-01,51.1346
2022-07-02,51.1346
2022-07-03,51.1346
2022-07-04,51.1346
2022-07-05,51.0304
2022-07-06,50.2885
2022-07-07,49.9665
2022-07-08,50.1865
2022-07-09,50.1865
2022-07-10,50.1865
2022-07-11,49.4
2022-07-12,50.2072
2022-07-13,48.7142
2022-07-14,49.3139
2022-07-15,50.9745
2022-07-16,50.9745
2022-07-17,50.9745
2022-07-18,51.3279
2022-07-19,55.1216
2022-07-20,56.2626
2022-07-21,56.3669
2022-07-22,55.1424
2022-07-23,55.1424
2022-07-24,55.1424
2022-07-25,56.4474
2022-07-26,56.9868
2022-07-27,59.7701
2022-07-28,63.8885
2022-07-29,65.016
2022-07-30,65.016
2022-07-31,65.016
2022-08-01,66.1862
2022-08-02,64.5483
2022-08-03,65.4332
2022-08-04,63.0645
2022-08-05,64.6371
2022-08-06,64.6371
2022-08-07,64.6371
2022-08-08,63.0298
2022-08-09,64.6957
2022-08-10,63.6571
2022-08-11,64.5814
2022-08-12,67.4609
2022-08-13,67.4609
2022-08-14,67.4609
2022-08-15,68.3249
2022-08-16,69.1716
2022-08-17,69.0126
2022-08-18,68.3622
2022-08-19,65.0334
2022-08-20,65.0334
2022-08-21,65.0334
2022-08-22,65.8525
2022-08-23,60.5686
2022-08-24,60.1525
2022-08-25,62.0408
2022-08-26,60.0774
2022-08-27,60.0774
2022-08-28,60.0774
2022-08-29,57.0111
2022-08-30,57.3052
2022-08-31,56.114
2022-09-01,56.8359
2022-09-02,56.0189
2022-09-03,56.0189
2022-09-04,56.0189
2022-09-05,56.0189
2022-09-06,52.6274
2022-09-07,53.7417
2022-09-08,53.854
2022-09-09,54.9843
2022-09-10,54.9843
2022-09-11,54.9843
2022-09-12,56.2051
2022-09-13,53.2192
2022-09-14,54.2478
2022-09-15,55.2653
2022-09-16,57.0232
2022-09-17,57.0232
2022-09-18,57.0232
2022-09-19,58.088
2022-09-20,57.6448
2022-09-21,57.343
2022-09-22,54.5372
2022-09-23,54.1048
2022-09-24,54.1048
2022-09-25,54.1048
2022-09-26,54.2299
2022-09-27,51.0614
2022-09-28,52.1139
2022-09-29,51.1187
2022-09-30,47.75
2022-10-01,47.75
2022-10-02,47.75
2022-10-03,52.4208
2022-10-04,53.9583
2022-10-05,53.0042
2022-10-06,53.1267
2022-10-07,49.3975
2022-10-08,49.3975
2022-10-09,49.3975
2022-10-10,49.2698
2022-10-11,51.7242
2022-10-12,50.1392
2022-10-13,56.2625
2022-10-14,56.3671
2022-10-15,56.3671
2022-10-16,56.3671
2022-10-17,58.3259
2022-10-18,57.4829
2022-10-19,56.6361
2022-10-20,52.2562
2022-10-21,53.3862
2022-10-22,53.3862
2022-10-23,53.3862
2022-10-24,58.2885
2022-10-25,59.4824
2022-10-26,55.678
2022-10-27,58.8541
2022-10-28,61.542
2022-10-29,61.542
2022-10-30,61.542
2022-10-31,62.6882
2022-11-01,59.1618
2022-11-02,58.2271
2022-11-03,55.6138
2022-11-04,58.6986
2022-11-05,58.6986
2022-11-06,58.6986
2022-11-07,58.1338
2022-11-08,55.9981
2022-11-09,54.052
2022-11-10,58.0717
2022-11-11,55.1597
2022-11-12,55.1597
2022-11-13,55.1597
2022-11-14,55.8146
2022-11-15,56.8734
2022-11-16,55.6011
2022-11-17,55.6866
2022-11-18,54.7062
2022-11-19,54.7062
2022-11-20,54.7062
2022-11-21,56.2125
2022-11-22,55.4273
2022-11-23,55.7923
2022-11-24,55.7923
2022-11-25,57.5025
2022-11-26,57.5025
2022-11-27,57.5025
2022-11-28,54.085
2022-11-29,54.6428
2022-11-30,58.0676
2022-12-01,58.5656
2022-12-02,58.6502
2022-12-03,58.6502
2022-12-04,58.6502
2022-12-05,55.595
2022-12-06,55.8694
2022-12-07,53.4765
2022-12-08,53.5745
2022-12-09,53.3421
2022-12-10,53.3421
2022-12-11,53.3421
2022-12-12,54.1647
2022-12-13,55.3853
2022-12-14,52.7226
2022-12-15,50.6611
2022-12-16,44.7307
2022-12-17,44.7307
2022-12-18,44.7307
2022-12-19,49.9679
2022-12-20,51.641
2022-12-21,52.3733
2022-12-22,51.5655
2022-12-23,52.9723
2022-12-24,52.9723
2022-12-25,52.9723
2022-12-26,52.9723
2022-12-27,54.3442
2022-12-28,52.6495
2022-12-29,54.3078
2022-12-30,53.6597
2022-12-31,53.6597
2023-01-01,53.6597
2023-01-02,53.6597
2023-01-03,54.038
2023-01-04,53.2511
2023-01-05,51.2654
2023-01-06,53.8376
2023-01-07,53.8376
2023-01-08,53.8376
2023-01-09,53.2782
2023-01-10,54.0681
2023-01-11,53.9502
2023-01-12,54.7668
2023-01-13,55.0759
2023-01-14,55.0759
2023-01-15,55.0759
2023-01-16,55.0759
2023-01-17,53.1959
2023-01-18,51.4986
2023-01-19,50.6626
2023-01-20,53.5596
2023-01-21,53.5596
2023-01-22,53.5596
2023-01-23,52.8192
2023-01-24,52.4442
2023-01-25,51.9356
2023-01-26,39.0921
2023-01-27,40.6001
2023-01-28,40.6001
2023-01-29,40.6001
2023-01-30,41.1796
2023-01-31,45.5734
2023-02-01,39.7389
2023-02-02,43.0158
2023-02-03,44.3441
2023-02-04,44.3441
2023-02-05,44.3441
2023-02-06,45.9273
2023-02-07,45.2166
2023-02-08,45.8903
2023-02-09,44.5937
2023-02-10,45.0952
2023-02-11,45.0952
2023-02-12,45.0952
2023-02-13,45.0952
2023-02-14,44.2381
2023-02-15,45.7319
2023-02-16,46.3688
2023-02-17,47.9488
2023-02-18,47.9488
2023-02-19,47.9488
2023-02-20,47.9488
2023-02-21,46.5307
2023-02-22,46.9634
2023-02-23,47.0742
2023-02-24,46.5711
2023-02-25,46.5711
2023-02-26,46.5711
2023-02-27,47.0395
2023-02-28,47.0395
2023-03-01,45.8564
2023-03-02,44.7968
2023-03-03,46.5844
2023-03-04,46.5844
2023-03-05,46.5844
2023-03-06,44.3556
2023-03-07,44.2513
2023-03-08,42.4446
2023-03-09,37.3513
2023-03-10,34.6135
2023-03-11,34.6135
2023-03-12,34.6135
2023-03-13,28.9949
2023-03-14,31.616
2023-03-15,34.0158
2023-03-16,36.9895
2023-03-17,33.7241
2023-03-18,33.7241
