,ST US Equity
2020-07-27,57.8205
2020-07-28,52.9843
2020-07-29,53.9333
2020-07-30,51.5458
2020-07-31,50.0248
2020-08-01,50.0248
2020-08-02,50.0248
2020-08-03,51.3092
2020-08-04,51.912
2020-08-05,52.9348
2020-08-06,52.914
2020-08-07,54.071
2020-08-08,54.071
2020-08-09,54.071
2020-08-10,55.7404
2020-08-11,56.6787
2020-08-12,56.9637
2020-08-13,56.1989
2020-08-14,55.5956
2020-08-15,55.5956
2020-08-16,55.5956
2020-08-17,55.9478
2020-08-18,54.9213
2020-08-19,54.0211
2020-08-20,52.154
2020-08-21,52.8854
2020-08-22,52.8854
2020-08-23,52.8854
2020-08-24,55.2243
2020-08-25,55.1983
2020-08-26,55.4155
2020-08-27,55.1665
2020-08-28,57.2001
2020-08-29,57.2001
2020-08-30,57.2001
2020-08-31,55.5842
2020-09-01,56.8883
2020-09-02,59.6511
2020-09-03,55.6045
2020-09-04,56.5036
2020-09-05,56.5036
2020-09-06,56.5036
2020-09-07,56.5036
2020-09-08,52.6079
2020-09-09,56.822
2020-09-10,54.6238
2020-09-11,55.6001
2020-09-12,55.6001
2020-09-13,55.6001
2020-09-14,56.0307
2020-09-15,56.5068
2020-09-16,58.3903
2020-09-17,58.6766
2020-09-18,56.4018
2020-09-19,56.4018
2020-09-20,56.4018
2020-09-21,52.1226
2020-09-22,52.5719
2020-09-23,51.5707
2020-09-24,51.1389
2020-09-25,51.8342
2020-09-26,51.8342
2020-09-27,51.8342
2020-09-28,54.7434
2020-09-29,54.2261
2020-09-30,55.2111
2020-10-01,56.9777
2020-10-02,55.9599
2020-10-03,55.9599
2020-10-04,55.9599
2020-10-05,60.5154
2020-10-06,59.3604
2020-10-07,60.78
2020-10-08,62.0101
2020-10-09,63.3709
2020-10-10,63.3709
2020-10-11,63.3709
2020-10-12,62.7819
2020-10-13,60.6817
2020-10-14,61.5684
2020-10-15,62.0843
2020-10-16,61.204
2020-10-17,61.204
2020-10-18,61.204
2020-10-19,59.8714
2020-10-20,61.3931
2020-10-21,60.9583
2020-10-22,62.2998
2020-10-23,63.7039
2020-10-24,63.7039
2020-10-25,63.7039
2020-10-26,61.5877
2020-10-27,51.2144
2020-10-28,48.9768
2020-10-29,49.6242
2020-10-30,49.8285
2020-10-31,49.8285
2020-11-01,49.8285
2020-11-02,52.234
2020-11-03,53.4732
2020-11-04,50.8161
2020-11-05,52.8536
2020-11-06,51.2357
2020-11-07,51.2357
2020-11-08,51.2357
2020-11-09,56.1547
2020-11-10,55.8492
2020-11-11,55.0625
2020-11-12,53.366
2020-11-13,54.3956
2020-11-14,54.3956
2020-11-15,54.3956
2020-11-16,55.9349
2020-11-17,57.6232
2020-11-18,57.7549
2020-11-19,57.3859
2020-11-20,56.7166
2020-11-21,56.7166
2020-11-22,56.7166
2020-11-23,60.0699
2020-11-24,63.2209
2020-11-25,60.716
2020-11-26,60.716
2020-11-27,61.1229
2020-11-28,61.1229
2020-11-29,61.1229
2020-11-30,56.7644
2020-12-01,57.0774
2020-12-02,57.0774
2020-12-03,56.7927
2020-12-04,59.2035
2020-12-05,59.2035
2020-12-06,59.2035
2020-12-07,56.9847
2020-12-08,57.063
2020-12-09,57.6022
2020-12-10,57.6633
2020-12-11,56.1562
2020-12-12,56.1562
2020-12-13,56.1562
2020-12-14,57.9257
2020-12-15,59.9749
2020-12-16,59.8578
2020-12-17,59.4673
2020-12-18,58.8262
2020-12-19,58.8262
2020-12-20,58.8262
2020-12-21,59.2375
2020-12-22,59.1089
2020-12-23,62.1679
2020-12-24,62.2693
2020-12-25,62.2693
2020-12-26,62.2693
2020-12-27,62.2693
2020-12-28,61.9943
2020-12-29,59.677
2020-12-30,61.1994
2020-12-31,62.4328
2021-01-01,62.4328
2021-01-02,62.4328
2021-01-03,62.4328
2021-01-04,59.8212
2021-01-05,62.8486
2021-01-06,66.5362
2021-01-07,67.5913
2021-01-08,68.0087
2021-01-09,68.0087
2021-01-10,68.0087
2021-01-11,66.4093
2021-01-12,67.2733
2021-01-13,64.2561
2021-01-14,64.4029
2021-01-15,61.5274
2021-01-16,61.5274
2021-01-17,61.5274
2021-01-18,61.5274
2021-01-19,62.721
2021-01-20,63.8249
2021-01-21,65.6396
2021-01-22,67.2216
2021-01-23,67.2216
2021-01-24,67.2216
2021-01-25,64.9273
2021-01-26,62.5584
2021-01-27,55.7611
2021-01-28,57.3071
2021-01-29,56.5373
2021-01-30,56.5373
2021-01-31,56.5373
2021-02-01,58.3151
2021-02-02,54.9699
2021-02-03,54.4149
2021-02-04,54.209
2021-02-05,51.8255
2021-02-06,51.8255
2021-02-07,51.8255
2021-02-08,55.8816
2021-02-09,55.2735
2021-02-10,54.9898
2021-02-11,58.68
2021-02-12,62.356
2021-02-13,62.356
2021-02-14,62.356
2021-02-15,62.356
2021-02-16,63.3536
2021-02-17,62.1104
2021-02-18,61.3523
2021-02-19,63.0517
2021-02-20,63.0517
2021-02-21,63.0517
2021-02-22,62.2741
2021-02-23,61.0501
2021-02-24,62.4052
2021-02-25,55.1075
2021-02-26,56.5542
2021-02-27,56.5542
2021-02-28,56.5542
2021-03-01,59.9667
2021-03-02,60.4912
2021-03-03,62.3909
2021-03-04,56.9761
2021-03-05,58.1124
2021-03-06,58.1124
2021-03-07,58.1124
2021-03-08,57.2532
2021-03-09,58.5062
2021-03-10,60.1839
2021-03-11,61.9395
2021-03-12,63.315
2021-03-13,63.315
2021-03-14,63.315
2021-03-15,64.7027
2021-03-16,62.9635
2021-03-17,64.0061
2021-03-18,62.7394
2021-03-19,60.3399
2021-03-20,60.3399
2021-03-21,60.3399
2021-03-22,60.1749
2021-03-23,51.928
2021-03-24,51.3537
2021-03-25,51.9565
2021-03-26,54.119
2021-03-27,54.119
2021-03-28,54.119
2021-03-29,50.8426
2021-03-30,50.8781
2021-03-31,50.9332
2021-04-01,52.0821
2021-04-02,52.0821
2021-04-03,52.0821
2021-04-04,52.0821
2021-04-05,54.6677
2021-04-06,53.5018
2021-04-07,50.7142
2021-04-08,50.5033
2021-04-09,51.6749
2021-04-10,51.6749
2021-04-11,51.6749
2021-04-12,51.865
2021-04-13,49.9933
2021-04-14,50.0744
2021-04-15,51.299
2021-04-16,51.6669
2021-04-17,51.6669
2021-04-18,51.6669
2021-04-19,50.85
2021-04-20,47.5695
2021-04-21,50.3921
2021-04-22,51.5485
2021-04-23,54.349
2021-04-24,54.349
2021-04-25,54.349
2021-04-26,54.4991
2021-04-27,51.5614
2021-04-28,52.5874
2021-04-29,52.707
2021-04-30,49.3792
2021-05-01,49.3792
2021-05-02,49.3792
2021-05-03,49.0074
2021-05-04,47.828
2021-05-05,50.0323
2021-05-06,49.4756
2021-05-07,51.8218
2021-05-08,51.8218
2021-05-09,51.8218
2021-05-10,49.2005
2021-05-11,47.6671
2021-05-12,43.0249
2021-05-13,46.3214
2021-05-14,50.4143
2021-05-15,50.4143
2021-05-16,50.4143
2021-05-17,50.4699
2021-05-18,48.5386
2021-05-19,47.8581
2021-05-20,49.1537
2021-05-21,49.5328
2021-05-22,49.5328
2021-05-23,49.5328
2021-05-24,51.0242
2021-05-25,49.3156
2021-05-26,50.2085
2021-05-27,52.3592
2021-05-28,53.3723
2021-05-29,53.3723
2021-05-30,53.3723
2021-05-31,53.3723
2021-06-01,54.4315
2021-06-02,54.6408
2021-06-03,53.6897
2021-06-04,56.1547
2021-06-05,56.1547
2021-06-06,56.1547
2021-06-07,54.7877
2021-06-08,54.5744
2021-06-09,52.8942
2021-06-10,53.4166
2021-06-11,52.596
2021-06-12,52.596
2021-06-13,52.596
2021-06-14,52.8823
2021-06-15,52.3788
2021-06-16,50.8512
2021-06-17,46.95
2021-06-18,45.4264
2021-06-19,45.4264
2021-06-20,45.4264
2021-06-21,47.6777
2021-06-22,47.7022
2021-06-23,48.3533
2021-06-24,49.455
2021-06-25,49.8823
2021-06-26,49.8823
2021-06-27,49.8823
2021-06-28,47.8633
2021-06-29,48.4945
2021-06-30,49.3665
2021-07-01,50.7517
2021-07-02,50.1095
2021-07-03,50.1095
2021-07-04,50.1095
2021-07-05,50.1095
2021-07-06,47.9644
2021-07-07,49.1185
2021-07-08,45.6056
2021-07-09,49.054
2021-07-10,49.054
2021-07-11,49.054
2021-07-12,50.243
2021-07-13,47.4407
2021-07-14,46.691
2021-07-15,45.2801
2021-07-16,41.1663
2021-07-17,41.1663
2021-07-18,41.1663
2021-07-19,39.5278
2021-07-20,43.3518
2021-07-21,45.8394
2021-07-22,43.4471
2021-07-23,44.3485
2021-07-24,44.3485
2021-07-25,44.3485
2021-07-26,45.9333
2021-07-27,43.8348
2021-07-28,48.1034
2021-07-29,51.9055
2021-07-30,52.9057
2021-07-31,52.9057
2021-08-01,52.9057
2021-08-02,52.136
2021-08-03,53.7278
2021-08-04,52.2887
2021-08-05,50.9862
2021-08-06,52.2987
2021-08-07,52.2987
2021-08-08,52.2987
2021-08-09,52.5283
2021-08-10,54.7019
2021-08-11,55.2814
2021-08-12,56.6465
2021-08-13,56.6206
2021-08-14,56.6206
2021-08-15,56.6206
2021-08-16,55.6204
2021-08-17,53.117
2021-08-18,51.0553
2021-08-19,49.1066
2021-08-20,49.8143
2021-08-21,49.8143
2021-08-22,49.8143
2021-08-23,51.3311
2021-08-24,53.1997
2021-08-25,54.421
2021-08-26,53.9786
2021-08-27,55.8775
2021-08-28,55.8775
2021-08-29,55.8775
2021-08-30,55.2808
2021-08-31,52.1393
2021-09-01,51.5084
2021-09-02,51.0484
2021-09-03,49.6716
2021-09-04,49.6716
2021-09-05,49.6716
2021-09-06,49.6716
2021-09-07,47.3942
2021-09-08,45.8962
2021-09-09,44.5312
2021-09-10,46.5327
2021-09-11,46.5327
2021-09-12,46.5327
2021-09-13,50.3179
2021-09-14,48.1184
2021-09-15,48.5189
2021-09-16,47.8031
2021-09-17,45.6436
2021-09-18,45.6436
2021-09-19,45.6436
2021-09-20,43.5431
2021-09-21,42.3871
2021-09-22,44.1984
2021-09-23,47.0089
2021-09-24,48.4531
2021-09-25,48.4531
2021-09-26,48.4531
2021-09-27,50.4623
2021-09-28,46.3799
2021-09-29,45.0529
2021-09-30,43.5985
2021-10-01,46.9894
2021-10-02,46.9894
2021-10-03,46.9894
2021-10-04,45.9185
2021-10-05,47.2357
2021-10-06,45.5769
2021-10-07,48.3436
2021-10-08,49.6558
2021-10-09,49.6558
2021-10-10,49.6558
2021-10-11,48.823
2021-10-12,48.7088
2021-10-13,48.5677
2021-10-14,52.173
2021-10-15,52.8299
2021-10-16,52.8299
2021-10-17,52.8299
2021-10-18,49.3708
2021-10-19,49.5142
2021-10-20,49.1778
2021-10-21,50.712
2021-10-22,48.1187
2021-10-23,48.1187
2021-10-24,48.1187
2021-10-25,48.8521
2021-10-26,47.464
2021-10-27,44.4247
2021-10-28,45.4683
2021-10-29,45.3328
2021-10-30,45.3328
2021-10-31,45.3328
2021-11-01,49.0982
2021-11-02,53.0692
2021-11-03,53.0192
2021-11-04,54.3766
2021-11-05,56.3037
2021-11-06,56.3037
2021-11-07,56.3037
2021-11-08,55.4954
2021-11-09,53.6882
2021-11-10,52.0882
2021-11-11,56.0241
2021-11-12,57.6824
2021-11-13,57.6824
2021-11-14,57.6824
2021-11-15,57.8014
2021-11-16,58.8001
2021-11-17,58.8202
2021-11-18,57.368
2021-11-19,54.7395
2021-11-20,54.7395
2021-11-21,54.7395
2021-11-22,56.5996
2021-11-23,57.0295
2021-11-24,57.4005
2021-11-25,57.4005
2021-11-26,48.4202
2021-11-27,48.4202
2021-11-28,48.4202
2021-11-29,49.1431
2021-11-30,44.5588
2021-12-01,43.7339
2021-12-02,48.9
2021-12-03,47.4121
2021-12-04,47.4121
2021-12-05,47.4121
2021-12-06,49.3466
2021-12-07,52.9109
2021-12-08,53.8573
2021-12-09,52.0125
2021-12-10,53.2872
2021-12-11,53.2872
2021-12-12,53.2872
2021-12-13,52.3005
2021-12-14,48.1685
2021-12-15,50.1083
2021-12-16,50.187
2021-12-17,47.975
2021-12-18,47.975
2021-12-19,47.975
2021-12-20,46.4747
2021-12-21,48.7938
2021-12-22,50.0141
2021-12-23,53.2627
2021-12-24,53.2627
2021-12-25,53.2627
2021-12-26,53.2627
2021-12-27,54.2988
2021-12-28,55.0803
2021-12-29,55.3853
2021-12-30,56.0032
2021-12-31,56.5886
2022-01-01,56.5886
2022-01-02,56.5886
2022-01-03,58.8036
2022-01-04,62.1004
2022-01-05,59.2207
2022-01-06,59.9978
2022-01-07,56.8637
2022-01-08,56.8637
2022-01-09,56.8637
2022-01-10,56.1331
2022-01-11,58.6482
2022-01-12,58.6968
2022-01-13,58.6017
2022-01-14,57.3046
2022-01-15,57.3046
2022-01-16,57.3046
2022-01-17,57.3046
2022-01-18,55.0407
2022-01-19,50.43
2022-01-20,47.0832
2022-01-21,47.3067
2022-01-22,47.3067
2022-01-23,47.3067
2022-01-24,47.8045
2022-01-25,46.0244
2022-01-26,44.2654
2022-01-27,41.191
2022-01-28,42.4428
2022-01-29,42.4428
2022-01-30,42.4428
2022-01-31,45.8696
2022-02-01,45.7122
2022-02-02,45.8403
2022-02-03,42.695
2022-02-04,42.3134
2022-02-05,42.3134
2022-02-06,42.3134
2022-02-07,43.0235
2022-02-08,45.3364
2022-02-09,48.8211
2022-02-10,46.5071
2022-02-11,44.6314
2022-02-12,44.6314
2022-02-13,44.6314
2022-02-14,46.2107
2022-02-15,49.8697
2022-02-16,50.9349
2022-02-17,48.1951
2022-02-18,47.2658
2022-02-19,47.2658
2022-02-20,47.2658
2022-02-21,47.2658
2022-02-22,46.8077
2022-02-23,46.2901
2022-02-24,47.9531
2022-02-25,50.9222
2022-02-26,50.9222
2022-02-27,50.9222
2022-02-28,48.9764
2022-03-01,47.0273
2022-03-02,48.841
2022-03-03,48.036
2022-03-04,44.8715
2022-03-05,44.8715
2022-03-06,44.8715
2022-03-07,41.5715
2022-03-08,45.0241
2022-03-09,42.8679
2022-03-10,42.0434
2022-03-11,41.0685
2022-03-12,41.0685
2022-03-13,41.0685
2022-03-14,40.2313
2022-03-15,41.053
2022-03-16,43.1272
2022-03-17,44.9506
2022-03-18,43.8323
2022-03-19,43.8323
2022-03-20,43.8323
2022-03-21,42.6561
2022-03-22,42.6561
2022-03-23,39.9917
2022-03-24,40.302
2022-03-25,40.4613
2022-03-26,40.4613
2022-03-27,40.4613
2022-03-28,39.6484
2022-03-29,45.1112
2022-03-30,43.2724
2022-03-31,41.477
2022-04-01,41.0366
2022-04-02,41.0366
2022-04-03,41.0366
2022-04-04,42.003
2022-04-05,39.4777
2022-04-06,38.3987
2022-04-07,37.9127
2022-04-08,37.2247
2022-04-09,37.2247
2022-04-10,37.2247
2022-04-11,38.1679
2022-04-12,37.7764
2022-04-13,38.4048
2022-04-14,37.2227
2022-04-15,37.2227
2022-04-16,37.2227
2022-04-17,37.2227
2022-04-18,36.5791
2022-04-19,39.8334
2022-04-20,42.5928
2022-04-21,42.5402
2022-04-22,41.1883
2022-04-23,41.1883
2022-04-24,41.1883
2022-04-25,41.5378
2022-04-26,36.3649
2022-04-27,34.8012
2022-04-28,39.6037
2022-04-29,38.2057
2022-04-30,38.2057
2022-05-01,38.2057
2022-05-02,39.726
2022-05-03,41.6327
2022-05-04,43.8957
2022-05-05,41.4491
2022-05-06,40.4183
2022-05-07,40.4183
2022-05-08,40.4183
2022-05-09,38.6459
2022-05-10,38.4753
2022-05-11,36.5149
2022-05-12,39.5218
2022-05-13,41.3999
2022-05-14,41.3999
2022-05-15,41.3999
2022-05-16,40.1688
2022-05-17,43.9303
2022-05-18,40.9438
2022-05-19,41.8106
2022-05-20,42.7805
2022-05-21,42.7805
2022-05-22,42.7805
2022-05-23,44.1644
2022-05-24,43.4708
2022-05-25,42.9789
2022-05-26,45.881
2022-05-27,47.8903
2022-05-28,47.8903
2022-05-29,47.8903
2022-05-30,47.8903
2022-05-31,49.1853
2022-06-01,48.1976
2022-06-02,51.5977
2022-06-03,49.571
2022-06-04,49.571
2022-06-05,49.571
2022-06-06,50.3634
2022-06-07,51.2459
2022-06-08,49.9704
2022-06-09,48.6802
2022-06-10,45.6166
2022-06-11,45.6166
2022-06-12,45.6166
2022-06-13,42.6359
2022-06-14,41.7695
2022-06-15,43.1903
2022-06-16,38.804
2022-06-17,39.094
2022-06-18,39.094
2022-06-19,39.094
2022-06-20,39.094
2022-06-21,41.372
2022-06-22,41.3576
2022-06-23,40.8132
2022-06-24,43.2764
2022-06-25,43.2764
2022-06-26,43.2764
2022-06-27,43.931
2022-06-28,42.5653
2022-06-29,41.299
2022-06-30,40.5084
2022-07-01,39.4273
2022-07-02,39.4273
2022-07-03,39.4273
2022-07-04,39.4273
2022-07-05,39.0826
2022-07-06,38.9143
2022-07-07,43.1079
2022-07-08,42.283
2022-07-09,42.283
2022-07-10,42.283
2022-07-11,40.5336
2022-07-12,40.2806
2022-07-13,39.7511
2022-07-14,38.4671
2022-07-15,42.0753
2022-07-16,42.0753
2022-07-17,42.0753
2022-07-18,41.1981
2022-07-19,46.7456
2022-07-20,48.2451
2022-07-21,49.7848
2022-07-22,49.8041
2022-07-23,49.8041
2022-07-24,49.8041
2022-07-25,49.1588
2022-07-26,44.7094
2022-07-27,48.8533
2022-07-28,50.3953
2022-07-29,50.3768
2022-07-30,50.3768
2022-07-31,50.3768
2022-08-01,50.452
2022-08-02,49.7501
2022-08-03,52.7357
2022-08-04,52.9006
2022-08-05,51.759
2022-08-06,51.759
2022-08-07,51.759
2022-08-08,51.1979
2022-08-09,48.416
2022-08-10,51.1046
2022-08-11,51.4343
2022-08-12,52.6772
2022-08-13,52.6772
2022-08-14,52.6772
2022-08-15,52.3955
2022-08-16,52.436
2022-08-17,50.826
2022-08-18,51.7414
2022-08-19,48.7915
2022-08-20,48.7915
2022-08-21,48.7915
2022-08-22,45.7719
2022-08-23,45.4635
2022-08-24,44.7039
2022-08-25,47.4738
2022-08-26,43.8991
2022-08-27,43.8991
2022-08-28,43.8991
2022-08-29,43.7352
2022-08-30,42.9243
2022-08-31,42.2431
2022-09-01,41.9268
2022-09-02,41.38
2022-09-03,41.38
2022-09-04,41.38
2022-09-05,41.38
2022-09-06,40.6613
2022-09-07,43.8727
2022-09-08,44.9176
2022-09-09,47.0564
2022-09-10,47.0564
2022-09-11,47.0564
2022-09-12,50.1967
2022-09-13,46.1871
2022-09-14,45.6343
2022-09-15,44.4357
2022-09-16,43.6197
2022-09-17,43.6197
2022-09-18,43.6197
2022-09-19,45.7071
2022-09-20,45.1778
2022-09-21,43.6494
2022-09-22,41.1125
2022-09-23,39.5338
2022-09-24,39.5338
2022-09-25,39.5338
2022-09-26,39.3057
2022-09-27,39.3057
2022-09-28,42.6038
2022-09-29,40.6763
2022-09-30,39.8893
2022-10-01,39.8893
2022-10-02,39.8893
2022-10-03,43.0944
2022-10-04,47.1201
2022-10-05,48.0087
2022-10-06,48.5136
2022-10-07,45.6378
2022-10-08,45.6378
2022-10-09,45.6378
2022-10-10,45.3958
2022-10-11,43.2407
2022-10-12,42.8737
2022-10-13,46.3218
2022-10-14,43.4707
2022-10-15,43.4707
2022-10-16,43.4707
2022-10-17,47.5428
2022-10-18,48.9116
2022-10-19,48.5634
2022-10-20,49.2667
2022-10-21,51.8222
2022-10-22,51.8222
2022-10-23,51.8222
2022-10-24,51.6651
2022-10-25,47.1081
2022-10-26,46.3254
2022-10-27,47.6745
2022-10-28,49.1081
2022-10-29,49.1081
2022-10-30,49.1081
2022-10-31,48.8949
2022-11-01,49.6413
2022-11-02,46.6311
2022-11-03,45.7558
2022-11-04,50.2698
2022-11-05,50.2698
2022-11-06,50.2698
2022-11-07,51.5157
2022-11-08,51.9733
2022-11-09,51.089
2022-11-10,57.109
2022-11-11,59.1015
2022-11-12,59.1015
2022-11-13,59.1015
2022-11-14,57.5671
2022-11-15,58.2635
2022-11-16,54.9207
2022-11-17,54.0478
2022-11-18,55.5462
2022-11-19,55.5462
2022-11-20,55.5462
2022-11-21,54.9137
2022-11-22,57.3196
2022-11-23,57.1783
2022-11-24,57.1783
2022-11-25,57.593
2022-11-26,57.593
2022-11-27,57.593
2022-11-28,53.4278
2022-11-29,54.4371
2022-11-30,56.4629
2022-12-01,57.302
2022-12-02,56.4636
2022-12-03,56.4636
2022-12-04,56.4636
2022-12-05,54.9662
2022-12-06,53.4759
2022-12-07,53.0573
2022-12-08,53.0096
2022-12-09,52.3044
2022-12-10,52.3044
2022-12-11,52.3044
2022-12-12,53.0398
2022-12-13,53.4225
2022-12-14,50.8502
2022-12-15,47.9468
2022-12-16,46.293
2022-12-17,46.293
2022-12-18,46.293
2022-12-19,45.1963
2022-12-20,45.4062
2022-12-21,46.3884
2022-12-22,44.1244
2022-12-23,43.9071
2022-12-24,43.9071
2022-12-25,43.9071
2022-12-26,43.9071
2022-12-27,43.7732
2022-12-28,42.4137
2022-12-29,46.2367
2022-12-30,46.0727
2022-12-31,46.0727
2023-01-01,46.0727
2023-01-02,46.0727
2023-01-03,46.7153
2023-01-04,49.1675
2023-01-05,50.1692
2023-01-06,53.7655
2023-01-07,53.7655
2023-01-08,53.7655
2023-01-09,54.4457
2023-01-10,55.565
2023-01-11,56.4189
2023-01-12,58.5142
2023-01-13,58.1145
2023-01-14,58.1145
2023-01-15,58.1145
2023-01-16,58.1145
2023-01-17,56.7268
2023-01-18,56.9631
2023-01-19,53.1789
2023-01-20,55.9875
2023-01-21,55.9875
2023-01-22,55.9875
2023-01-23,59.2109
2023-01-24,59.7027
2023-01-25,58.4869
2023-01-26,58.8553
2023-01-27,59.8101
2023-01-28,59.8101
2023-01-29,59.8101
2023-01-30,56.9809
2023-01-31,66.0534
2023-02-01,68.5136
2023-02-02,70.0765
2023-02-03,68.4329
2023-02-04,68.4329
2023-02-05,68.4329
2023-02-06,66.5943
2023-02-07,67.352
2023-02-08,65.1022
2023-02-09,63.5302
2023-02-10,63.0954
2023-02-11,63.0954
2023-02-12,63.0954
2023-02-13,63.7845
2023-02-14,64.4551
2023-02-15,64.8716
2023-02-16,64.1241
2023-02-17,63.4885
2023-02-18,63.4885
2023-02-19,63.4885
2023-02-20,63.4885
2023-02-21,60.1404
2023-02-22,57.8695
2023-02-23,58.541
2023-02-24,57.1282
2023-02-25,57.1282
2023-02-26,57.1282
2023-02-27,57.3162
2023-02-28,58.2632
2023-03-01,58.6637
2023-03-02,59.1968
2023-03-03,60.5238
2023-03-04,60.5238
2023-03-05,60.5238
2023-03-06,58.7055
2023-03-07,57.0249
2023-03-08,58.3698
2023-03-09,54.5713
2023-03-10,50.8062
2023-03-11,50.8062
2023-03-12,50.8062
2023-03-13,47.8029
2023-03-14,50.7882
2023-03-15,46.384
2023-03-16,47.6812
2023-03-17,44.9601
2023-03-18,44.9601
2023-03-19,44.9601
2023-03-20,46.9158
