,ULTA US Equity
,RSI_30D
2020-06-04,56.3723
2020-06-05,57.2495
2020-06-06,57.2495
2020-06-07,57.2495
2020-06-08,57.7829
2020-06-09,54.9654
2020-06-10,53.2621
2020-06-11,50.0555
2020-06-12,50.241
2020-06-13,50.241
2020-06-14,50.241
2020-06-15,49.9493
2020-06-16,50.0572
2020-06-17,49.452
2020-06-18,48.1983
2020-06-19,46.434
2020-06-20,46.434
2020-06-21,46.434
2020-06-22,44.7591
2020-06-23,45.1289
2020-06-24,43.4624
2020-06-25,42.0712
2020-06-26,41.0837
2020-06-27,41.0837
2020-06-28,41.0837
2020-06-29,43.8802
2020-06-30,45.3675
2020-07-01,45.4143
2020-07-02,45.4208
2020-07-03,45.4208
2020-07-04,45.4208
2020-07-05,45.4208
2020-07-06,47.1697
2020-07-07,45.4783
2020-07-08,45.2267
2020-07-09,42.6222
2020-07-10,43.8912
2020-07-11,43.8912
2020-07-12,43.8912
2020-07-13,43.0164
2020-07-14,42.8091
2020-07-15,46.889
2020-07-16,46.7061
2020-07-17,46.6523
2020-07-18,46.6523
2020-07-19,46.6523
2020-07-20,45.7617
2020-07-21,46.4452
2020-07-22,47.6941
2020-07-23,47.7665
2020-07-24,47.1153
2020-07-25,47.1153
2020-07-26,47.1153
2020-07-27,45.4962
2020-07-28,45.0751
2020-07-29,47.2306
2020-07-30,45.731
2020-07-31,43.8938
2020-08-01,43.8938
2020-08-02,43.8938
2020-08-03,43.3488
2020-08-04,46.2715
2020-08-05,47.6188
2020-08-06,48.4095
2020-08-07,48.3616
2020-08-08,48.3616
2020-08-09,48.3616
2020-08-10,53.8928
2020-08-11,52.7687
2020-08-12,53.3153
2020-08-13,54.8915
2020-08-14,55.8876
2020-08-15,55.8876
2020-08-16,55.8876
2020-08-17,55.3231
2020-08-18,52.1358
2020-08-19,51.0188
2020-08-20,48.074
2020-08-21,51.2208
2020-08-22,51.2208
2020-08-23,51.2208
2020-08-24,54.067
2020-08-25,53.0425
2020-08-26,53.3718
2020-08-27,54.4476
2020-08-28,58.5052
2020-08-29,58.5052
2020-08-30,58.5052
2020-08-31,56.5746
2020-09-01,56.788
2020-09-02,58.2373
2020-09-03,58.3521
2020-09-04,59.1085
2020-09-05,59.1085
2020-09-06,59.1085
2020-09-07,59.1085
2020-09-08,56.0154
2020-09-09,56.7094
2020-09-10,55.3234
2020-09-11,53.9995
2020-09-12,53.9995
2020-09-13,53.9995
2020-09-14,55.7916
2020-09-15,56.847
2020-09-16,57.7076
2020-09-17,55.4335
2020-09-18,54.1663
2020-09-19,54.1663
2020-09-20,54.1663
2020-09-21,51.767
2020-09-22,51.0013
2020-09-23,48.3357
2020-09-24,47.7942
2020-09-25,48.3065
2020-09-26,48.3065
2020-09-27,48.3065
2020-09-28,51.8209
2020-09-29,50.6768
2020-09-30,51.1063
2020-10-01,52.8997
2020-10-02,52.919
2020-10-03,52.919
2020-10-04,52.919
2020-10-05,54.8615
2020-10-06,51.3383
2020-10-07,52.8325
2020-10-08,55.6871
2020-10-09,54.0361
2020-10-10,54.0361
2020-10-11,54.0361
2020-10-12,55.5679
2020-10-13,55.7433
2020-10-14,56.1976
2020-10-15,55.8566
2020-10-16,56.9881
2020-10-17,56.9881
2020-10-18,56.9881
2020-10-19,53.9273
2020-10-20,52.7111
2020-10-21,52.7597
2020-10-22,54.0429
2020-10-23,53.6172
2020-10-24,53.6172
2020-10-25,53.6172
2020-10-26,47.4716
2020-10-27,44.6309
2020-10-28,40.6675
2020-10-29,42.519
2020-10-30,43.0238
2020-10-31,43.0238
2020-11-01,43.0238
2020-11-02,44.7734
2020-11-03,47.5766
2020-11-04,47.499
2020-11-05,46.3593
2020-11-06,46.688
2020-11-07,46.688
2020-11-08,46.688
2020-11-09,57.9684
2020-11-10,62.619
2020-11-11,58.9068
2020-11-12,56.3863
2020-11-13,59.842
2020-11-14,59.842
2020-11-15,59.842
2020-11-16,62.6204
2020-11-17,62.8076
2020-11-18,62.104
2020-11-19,62.2469
2020-11-20,61.7982
2020-11-21,61.7982
2020-11-22,61.7982
2020-11-23,63.8524
2020-11-24,64.2493
2020-11-25,62.2623
2020-11-26,62.2623
2020-11-27,62.6666
2020-11-28,62.6666
2020-11-29,62.6666
2020-11-30,60.413
2020-12-01,61.4194
2020-12-02,62.0168
2020-12-03,63.7853
2020-12-04,59.9542
2020-12-05,59.9542
2020-12-06,59.9542
2020-12-07,57.7005
2020-12-08,57.2538
2020-12-09,58.2256
2020-12-10,56.9341
2020-12-11,54.5446
2020-12-12,54.5446
2020-12-13,54.5446
2020-12-14,54.6614
2020-12-15,55.1856
2020-12-16,55.8961
2020-12-17,56.7519
2020-12-18,55.0704
2020-12-19,55.0704
2020-12-20,55.0704
2020-12-21,54.9581
2020-12-22,53.7653
2020-12-23,54.8846
2020-12-24,53.3696
2020-12-25,53.3696
