,BRK/B US Equity
2020-06-15,47.3924
2020-06-16,47.7632
2020-06-17,47.1038
2020-06-18,47.0431
2020-06-19,46.5613
2020-06-20,46.5613
2020-06-21,46.5613
2020-06-22,46.8124
2020-06-23,47.2906
2020-06-24,45.5358
2020-06-25,46.3174
2020-06-26,44.5728
2020-06-27,44.5728
2020-06-28,44.5728
2020-06-29,45.6798
2020-06-30,46.4817
2020-07-01,46.2037
2020-07-02,46.736
2020-07-03,46.736
2020-07-04,46.736
2020-07-05,46.736
2020-07-06,49.1466
2020-07-07,48.2352
2020-07-08,48.2668
2020-07-09,46.8464
2020-07-10,49.4741
2020-07-11,49.4741
2020-07-12,49.4741
2020-07-13,50.2375
2020-07-14,53.5326
2020-07-15,54.0124
2020-07-16,54.2711
2020-07-17,54.0962
2020-07-18,54.0962
2020-07-19,54.0962
2020-07-20,53.8951
2020-07-21,55.0017
2020-07-22,54.8723
2020-07-23,55.6033
2020-07-24,56.4099
2020-07-25,56.4099
2020-07-26,56.4099
2020-07-27,54.4906
2020-07-28,55.7853
2020-07-29,57.2407
2020-07-30,55.4994
2020-07-31,56.4605
2020-08-01,56.4605
2020-08-02,56.4605
2020-08-03,58.6335
2020-08-04,59.2264
2020-08-05,61.2098
2020-08-06,62.0019
2020-08-07,64.3976
2020-08-08,64.3976
2020-08-09,64.3976
2020-08-10,65.9416
2020-08-11,65.981
2020-08-12,66.2735
2020-08-13,65.0171
2020-08-14,64.001
2020-08-15,64.001
2020-08-16,64.001
2020-08-17,60.0244
2020-08-18,60.955
2020-08-19,59.9124
2020-08-20,58.8982
2020-08-21,59.7454
2020-08-22,59.7454
2020-08-23,59.7454
2020-08-24,62.8757
2020-08-25,63.2975
2020-08-26,64.0455
2020-08-27,65.2805
2020-08-28,66.1937
2020-08-29,66.1937
2020-08-30,66.1937
2020-08-31,65.6514
2020-09-01,65.9401
2020-09-02,67.6651
2020-09-03,63.8898
2020-09-04,63.9899
2020-09-05,63.9899
2020-09-06,63.9899
2020-09-07,63.9899
2020-09-08,63.4335
2020-09-09,64.5555
2020-09-10,62.5695
2020-09-11,62.6539
2020-09-12,62.6539
2020-09-13,62.6539
2020-09-14,63.9544
2020-09-15,62.8284
2020-09-16,63.2633
2020-09-17,61.4997
2020-09-18,61.6147
2020-09-19,61.6147
2020-09-20,61.6147
2020-09-21,56.001
2020-09-22,56.8934
2020-09-23,52.497
2020-09-24,51.6888
2020-09-25,53.1395
2020-09-26,53.1395
2020-09-27,53.1395
2020-09-28,55.6029
2020-09-29,52.7263
2020-09-30,54.6822
2020-10-01,53.8343
2020-10-02,53.0572
2020-10-03,53.0572
2020-10-04,53.0572
2020-10-05,54.0217
2020-10-06,52.0528
2020-10-07,54.5265
2020-10-08,55.9691
2020-10-09,56.3771
2020-10-10,56.3771
2020-10-11,56.3771
2020-10-12,56.9454
2020-10-13,52.9381
2020-10-14,51.654
2020-10-15,52.2868
2020-10-16,52.5128
2020-10-17,52.5128
2020-10-18,52.5128
2020-10-19,49.7746
2020-10-20,50.7481
2020-10-21,50.8586
2020-10-22,52.1813
2020-10-23,53.1839
2020-10-24,53.1839
2020-10-25,53.1839
2020-10-26,49.0982
2020-10-27,47.6533
2020-10-28,42.6675
2020-10-29,43.4694
2020-10-30,43.8606
2020-10-31,43.8606
2020-11-01,43.8606
2020-11-02,46.2384
2020-11-03,48.4143
2020-11-04,48.0157
2020-11-05,49.2192
2020-11-06,50.5154
2020-11-07,50.5154
2020-11-08,50.5154
2020-11-09,60.048
2020-11-10,64.0058
2020-11-11,62.9794
2020-11-12,60.5802
2020-11-13,62.1019
2020-11-14,62.1019
2020-11-15,62.1019
2020-11-16,65.0389
2020-11-17,65.0685
2020-11-18,62.2618
2020-11-19,61.78
2020-11-20,59.5554
2020-11-21,59.5554
2020-11-22,59.5554
2020-11-23,61.0134
2020-11-24,63.3779
2020-11-25,62.6687
2020-11-26,62.6687
2020-11-27,61.2507
2020-11-28,61.2507
2020-11-29,61.2507
2020-11-30,58.9454
2020-12-01,59.4064
2020-12-02,59.8545
2020-12-03,60.2229
2020-12-04,60.4294
2020-12-05,60.4294
2020-12-06,60.4294
2020-12-07,58.4226
2020-12-08,57.4406
2020-12-09,56.8009
2020-12-10,56.6474
2020-12-11,55.7126
2020-12-12,55.7126
2020-12-13,55.7126
2020-12-14,52.4134
2020-12-15,53.6408
2020-12-16,51.4255
2020-12-17,53.6464
2020-12-18,52.5253
2020-12-19,52.5253
2020-12-20,52.5253
2020-12-21,52.5745
2020-12-22,51.104
2020-12-23,53.0935
2020-12-24,54.9341
2020-12-25,54.9341
2020-12-26,54.9341
2020-12-27,54.9341
2020-12-28,56.3875
2020-12-29,57.2671
2020-12-30,57.3285
2020-12-31,59.019
2021-01-01,59.019
2021-01-02,59.019
2021-01-03,59.019
2021-01-04,55.5142
2021-01-05,54.5538
2021-01-06,56.7645
2021-01-07,58.7016
2021-01-08,59.5281
2021-01-09,59.5281
2021-01-10,59.5281
2021-01-11,58.892
2021-01-12,58.4611
2021-01-13,59.5926
2021-01-14,59.9812
2021-01-15,58.2429
2021-01-16,58.2429
2021-01-17,58.2429
2021-01-18,58.2429
2021-01-19,59.0926
2021-01-20,59.2625
2021-01-21,58.5439
2021-01-22,57.0645
2021-01-23,57.0645
2021-01-24,57.0645
2021-01-25,57.1458
2021-01-26,55.4091
2021-01-27,50.7449
2021-01-28,54.1496
2021-01-29,51.0196
2021-01-30,51.0196
2021-01-31,51.0196
2021-02-01,52.3607
2021-02-02,54.9313
2021-02-03,55.3073
2021-02-04,57.8608
2021-02-05,57.1935
2021-02-06,57.1935
2021-02-07,57.1935
2021-02-08,59.0056
2021-02-09,60.8926
2021-02-10,60.9001
2021-02-11,60.708
2021-02-12,62.7588
2021-02-13,62.7588
2021-02-14,62.7588
2021-02-15,62.7588
2021-02-16,64.7469
2021-02-17,64.7089
2021-02-18,62.4946
2021-02-19,60.4761
2021-02-20,60.4761
2021-02-21,60.4761
2021-02-22,62.8248
2021-02-23,63.2305
2021-02-24,65.2747
2021-02-25,59.6796
2021-02-26,56.3419
2021-02-27,56.3419
2021-02-28,56.3419
2021-03-01,62.3079
2021-03-02,62.314
2021-03-03,63.7342
2021-03-04,57.8583
2021-03-05,62.3907
2021-03-06,62.3907
2021-03-07,62.3907
2021-03-08,64.676
2021-03-09,65.3643
2021-03-10,67.6619
2021-03-11,64.9018
2021-03-12,64.1199
2021-03-13,64.1199
2021-03-14,64.1199
2021-03-15,59.6045
2021-03-16,57.2086
2021-03-17,57.4928
2021-03-18,57.7598
2021-03-19,56.585
2021-03-20,56.585
2021-03-21,56.585
2021-03-22,56.0792
2021-03-23,54.4414
2021-03-24,55.3108
2021-03-25,56.047
2021-03-26,59.7352
2021-03-27,59.7352
2021-03-28,59.7352
2021-03-29,60.8913
2021-03-30,60.3405
2021-03-31,57.9975
2021-04-01,59.6252
2021-04-02,59.6252
2021-04-03,59.6252
2021-04-04,59.6252
2021-04-05,62.1071
2021-04-06,62.322
2021-04-07,62.6289
2021-04-08,62.5254
2021-04-09,63.927
2021-04-10,63.927
2021-04-11,63.927
2021-04-12,64.9679
2021-04-13,64.1402
2021-04-14,64.3834
2021-04-15,65.295
2021-04-16,66.9111
2021-04-17,66.9111
2021-04-18,66.9111
2021-04-19,64.9822
2021-04-20,62.5463
2021-04-21,64.9996
2021-04-22,62.3586
2021-04-23,63.7524
2021-04-24,63.7524
2021-04-25,63.7524
2021-04-26,62.664
2021-04-27,64.2374
2021-04-28,63.5424
2021-04-29,66.0654
2021-04-30,63.4757
2021-05-01,63.4757
2021-05-02,63.4757
2021-05-03,65.6961
2021-05-04,66.2382
2021-05-05,67.4693
2021-05-06,70.5568
2021-05-07,71.0556
2021-05-08,71.0556
2021-05-09,71.0556
2021-05-10,71.6263
2021-05-11,65.2565
2021-05-12,62.907
2021-05-13,64.8286
2021-05-14,66.528
2021-05-15,66.528
2021-05-16,66.528
2021-05-17,65.268
2021-05-18,63.8708
2021-05-19,62.7037
2021-05-20,62.9643
2021-05-21,63.487
2021-05-22,63.487
2021-05-23,63.487
2021-05-24,64.508
2021-05-25,62.2199
2021-05-26,62.291
2021-05-27,63.3715
2021-05-28,63.4485
2021-05-29,63.4485
2021-05-30,63.4485
2021-05-31,63.4485
2021-06-01,63.6743
2021-06-02,63.7784
2021-06-03,64.9057
2021-06-04,65.2216
2021-06-05,65.2216
2021-06-06,65.2216
2021-06-07,62.0097
2021-06-08,61.7322
2021-06-09,61.0932
2021-06-10,57.3958
2021-06-11,58.7402
2021-06-12,58.7402
2021-06-13,58.7402
2021-06-14,55.6132
2021-06-15,55.9157
2021-06-16,55.1288
2021-06-17,51.1622
2021-06-18,47.4468
2021-06-19,47.4468
2021-06-20,47.4468
2021-06-21,49.9225
2021-06-22,49.7798
2021-06-23,47.9978
2021-06-24,48.6955
2021-06-25,51.0608
2021-06-26,51.0608
2021-06-27,51.0608
2021-06-28,49.6117
2021-06-29,49.2847
2021-06-30,50.7211
2021-07-01,52.5503
2021-07-02,51.6252
2021-07-03,51.6252
2021-07-04,51.6252
2021-07-05,51.6252
2021-07-06,50.0622
2021-07-07,51.6766
2021-07-08,47.4303
2021-07-09,52.4547
2021-07-10,52.4547
2021-07-11,52.4547
2021-07-12,52.1481
2021-07-13,51.4118
2021-07-14,50.6717
2021-07-15,51.7963
2021-07-16,50.266
2021-07-17,50.266
2021-07-18,50.266
2021-07-19,46.2006
2021-07-20,49.6043
2021-07-21,51.8327
2021-07-22,50.1599
2021-07-23,50.7557
2021-07-24,50.7557
2021-07-25,50.7557
2021-07-26,50.9935
2021-07-27,52.5088
2021-07-28,50.3297
2021-07-29,51.6163
2021-07-30,50.4199
2021-07-31,50.4199
2021-08-01,50.4199
2021-08-02,50.2968
2021-08-03,53.1813
2021-08-04,50.6712
2021-08-05,51.7859
2021-08-06,55.7101
2021-08-07,55.7101
2021-08-08,55.7101
2021-08-09,56.7842
2021-08-10,57.9127
2021-08-11,59.4131
2021-08-12,58.455
2021-08-13,56.3316
2021-08-14,56.3316
2021-08-15,56.3316
2021-08-16,57.3944
2021-08-17,57.072
2021-08-18,54.5888
2021-08-19,53.5076
2021-08-20,53.6158
2021-08-21,53.6158
2021-08-22,53.6158
2021-08-23,53.8932
2021-08-24,54.2169
2021-08-25,55.2569
2021-08-26,53.2716
2021-08-27,54.3825
2021-08-28,54.3825
2021-08-29,54.3825
2021-08-30,53.4534
2021-08-31,53.5495
2021-09-01,53.0246
2021-09-02,52.8041
2021-09-03,49.5942
2021-09-04,49.5942
2021-09-05,49.5942
2021-09-06,49.5942
2021-09-07,46.809
2021-09-08,47.2599
2021-09-09,46.5822
2021-09-10,45.6453
2021-09-11,45.6453
2021-09-12,45.6453
2021-09-13,48.1245
2021-09-14,45.6018
2021-09-15,46.6443
2021-09-16,46.0206
2021-09-17,45.3188
2021-09-18,45.3188
2021-09-19,45.3188
2021-09-20,43.0034
2021-09-21,42.1164
2021-09-22,43.1743
2021-09-23,47.6761
2021-09-24,47.4361
2021-09-25,47.4361
2021-09-26,47.4361
2021-09-27,49.3863
2021-09-28,46.5563
2021-09-29,47.0915
2021-09-30,43.198
2021-10-01,46.1319
2021-10-02,46.1319
2021-10-03,46.1319
2021-10-04,44.3606
2021-10-05,48.7015
2021-10-06,50.661
2021-10-07,52.9976
2021-10-08,53.9803
2021-10-09,53.9803
2021-10-10,53.9803
2021-10-11,51.0045
2021-10-12,48.9938
2021-10-13,48.3789
2021-10-14,51.6405
2021-10-15,53.7192
2021-10-16,53.7192
2021-10-17,53.7192
2021-10-18,52.2545
2021-10-19,54.0467
2021-10-20,56.0723
2021-10-21,55.4356
2021-10-22,57.2494
2021-10-23,57.2494
2021-10-24,57.2494
2021-10-25,57.9949
2021-10-26,58.4287
2021-10-27,55.3519
2021-10-28,56.8377
2021-10-29,54.2299
2021-10-30,54.2299
2021-10-31,54.2299
2021-11-01,53.5083
2021-11-02,54.8717
2021-11-03,55.5028
2021-11-04,54.4754
2021-11-05,54.6356
2021-11-06,54.6356
2021-11-07,54.6356
2021-11-08,55.4216
2021-11-09,52.8968
2021-11-10,51.8691
2021-11-11,51.1997
2021-11-12,52.4688
2021-11-13,52.4688
2021-11-14,52.4688
2021-11-15,51.1142
2021-11-16,49.7945
2021-11-17,48.06
2021-11-18,47.1388
2021-11-19,46.5237
2021-11-20,46.5237
2021-11-21,46.5237
2021-11-22,51.6063
2021-11-23,54.8094
2021-11-24,53.5032
2021-11-25,53.5032
2021-11-26,49.508
2021-11-27,49.508
2021-11-28,49.508
2021-11-29,48.6382
2021-11-30,44.1467
2021-12-01,42.872
2021-12-02,46.7233
2021-12-03,45.4372
2021-12-04,45.4372
2021-12-05,45.4372
2021-12-06,48.8995
2021-12-07,51.7766
2021-12-08,50.7475
2021-12-09,51.3872
2021-12-10,54.2387
2021-12-11,54.2387
2021-12-12,54.2387
2021-12-13,55.5333
2021-12-14,58.9236
2021-12-15,58.5099
2021-12-16,61.9433
2021-12-17,56.3277
2021-12-18,56.3277
2021-12-19,56.3277
2021-12-20,53.2225
2021-12-21,55.4972
2021-12-22,56.2073
2021-12-23,56.2567
2021-12-24,56.2567
2021-12-25,56.2567
2021-12-26,56.2567
2021-12-27,57.604
2021-12-28,58.5846
2021-12-29,59.2881
2021-12-30,59.6036
2021-12-31,58.7165
2022-01-01,58.7165
2022-01-02,58.7165
2022-01-03,59.8458
2022-01-04,64.2234
2022-01-05,64.9336
2022-01-06,66.5638
2022-01-07,69.4813
2022-01-08,69.4813
2022-01-09,69.4813
2022-01-10,68.6781
2022-01-11,69.0568
2022-01-12,69.3171
2022-01-13,69.7059
2022-01-14,70.9614
2022-01-15,70.9614
2022-01-16,70.9614
2022-01-17,70.9614
2022-01-18,67.1116
2022-01-19,62.0846
2022-01-20,58.9983
2022-01-21,54.6477
2022-01-22,54.6477
2022-01-23,54.6477
2022-01-24,53.5955
2022-01-25,55.6469
2022-01-26,56.828
2022-01-27,55.6504
2022-01-28,58.5716
2022-01-29,58.5716
2022-01-30,58.5716
2022-01-31,58.6363
2022-02-01,59.1529
2022-02-02,62.092
2022-02-03,58.7062
2022-02-04,58.5249
2022-02-05,58.5249
2022-02-06,58.5249
2022-02-07,59.3475
2022-02-08,61.8839
2022-02-09,62.3473
2022-02-10,60.306
2022-02-11,59.7382
2022-02-12,59.7382
2022-02-13,59.7382
2022-02-14,56.0043
2022-02-15,57.1002
2022-02-16,56.6818
2022-02-17,55.0875
2022-02-18,55.8521
2022-02-19,55.8521
2022-02-20,55.8521
2022-02-21,55.8521
2022-02-22,55.353
2022-02-23,52.2082
2022-02-24,50.9796
2022-02-25,57.5962
2022-02-26,57.5962
2022-02-27,57.5962
2022-02-28,58.7574
2022-03-01,55.4789
2022-03-02,58.9721
2022-03-03,60.8862
2022-03-04,59.2133
2022-03-05,59.2133
2022-03-06,59.2133
2022-03-07,57.4313
2022-03-08,54.7013
2022-03-09,58.0782
2022-03-10,58.0132
2022-03-11,58.636
2022-03-12,58.636
2022-03-13,58.636
2022-03-14,60.223
2022-03-15,61.3882
2022-03-16,62.9438
2022-03-17,66.4262
2022-03-18,64.6113
2022-03-19,64.6113
2022-03-20,64.6113
2022-03-21,67.234
2022-03-22,67.3273
2022-03-23,66.052
2022-03-24,67.5638
2022-03-25,69.6836
2022-03-26,69.6836
2022-03-27,69.6836
2022-03-28,69.9412
2022-03-29,66.7192
2022-03-30,67.5836
2022-03-31,64.3215
2022-04-01,63.6253
2022-04-02,63.6253
2022-04-03,63.6253
2022-04-04,59.4563
2022-04-05,59.0652
2022-04-06,59.0079
2022-04-07,59.8152
2022-04-08,62.6046
2022-04-09,62.6046
2022-04-10,62.6046
2022-04-11,61.8765
2022-04-12,60.3436
2022-04-13,58.047
2022-04-14,56.8453
2022-04-15,56.8453
2022-04-16,56.8453
2022-04-17,56.8453
2022-04-18,57.9507
2022-04-19,58.8208
2022-04-20,58.9728
2022-04-21,55.5167
2022-04-22,50.7755
2022-04-23,50.7755
2022-04-24,50.7755
2022-04-25,51.516
2022-04-26,48.1217
2022-04-27,47.571
2022-04-28,48.5333
2022-04-29,44.3296
2022-04-30,44.3296
2022-05-01,44.3296
2022-05-02,42.2484
2022-05-03,42.728
2022-05-04,47.1593
2022-05-05,43.5363
2022-05-06,43.6466
2022-05-07,43.6466
2022-05-08,43.6466
2022-05-09,41.1829
2022-05-10,41.009
2022-05-11,40.6006
2022-05-12,39.1816
2022-05-13,40.601
2022-05-14,40.601
2022-05-15,40.601
2022-05-16,40.15
2022-05-17,43.3785
2022-05-18,40.0299
2022-05-19,39.0544
2022-05-20,39.0149
2022-05-21,39.0149
2022-05-22,39.0149
2022-05-23,42.702
2022-05-24,42.2594
2022-05-25,42.0275
2022-05-26,44.3292
2022-05-27,47.9876
2022-05-28,47.9876
2022-05-29,47.9876
2022-05-30,47.9876
2022-05-31,46.491
2022-06-01,44.752
2022-06-02,46.2633
2022-06-03,44.4236
2022-06-04,44.4236
2022-06-05,44.4236
2022-06-06,45.105
2022-06-07,45.9548
2022-06-08,43.6659
2022-06-09,40.3074
2022-06-10,36.9423
2022-06-11,36.9423
2022-06-12,36.9423
2022-06-13,33.6931
2022-06-14,32.5494
2022-06-15,33.32
2022-06-16,30.4291
2022-06-17,30.3032
2022-06-18,30.3032
2022-06-19,30.3032
2022-06-20,30.3032
2022-06-21,32.5233
2022-06-22,31.9582
2022-06-23,31.313
2022-06-24,37.5006
2022-06-25,37.5006
2022-06-26,37.5006
2022-06-27,37.5655
2022-06-28,36.0987
2022-06-29,35.9802
2022-06-30,35.8257
2022-07-01,38.4321
2022-07-02,38.4321
2022-07-03,38.4321
2022-07-04,38.4321
2022-07-05,37.7906
2022-07-06,37.7762
2022-07-07,39.9274
2022-07-08,40.831
2022-07-09,40.831
2022-07-10,40.831
2022-07-11,39.9017
2022-07-12,39.4097
2022-07-13,39.5289
2022-07-14,38.275
2022-07-15,40.8563
2022-07-16,40.8563
2022-07-17,40.8563
2022-07-18,39.9145
2022-07-19,44.2781
2022-07-20,45.6722
2022-07-21,46.1258
2022-07-22,45.6777
2022-07-23,45.6777
2022-07-24,45.6777
2022-07-25,46.8732
2022-07-26,45.5248
2022-07-27,48.3847
2022-07-28,50.3308
2022-07-29,53.6923
2022-07-30,53.6923
2022-07-31,53.6923
2022-08-01,51.1584
2022-08-02,49.2853
2022-08-03,50.6972
2022-08-04,49.6466
2022-08-05,49.2143
2022-08-06,49.2143
2022-08-07,49.2143
2022-08-08,49.3609
2022-08-09,49.6006
2022-08-10,50.9089
2022-08-11,51.6633
2022-08-12,54.3728
2022-08-13,54.3728
2022-08-14,54.3728
2022-08-15,55.0247
2022-08-16,56.9441
2022-08-17,55.4174
2022-08-18,55.4226
2022-08-19,51.1324
2022-08-20,51.1324
2022-08-21,51.1324
2022-08-22,46.5513
2022-08-23,47.0993
2022-08-24,49.2682
2022-08-25,51.708
2022-08-26,47.5183
2022-08-27,47.5183
2022-08-28,47.5183
2022-08-29,46.3253
2022-08-30,45.3723
2022-08-31,43.2763
2022-09-01,44.2168
2022-09-02,42.1076
2022-09-03,42.1076
2022-09-04,42.1076
2022-09-05,42.1076
2022-09-06,41.6414
2022-09-07,44.2715
2022-09-08,45.5828
2022-09-09,46.9471
2022-09-10,46.9471
2022-09-11,46.9471
2022-09-12,48.4546
2022-09-13,43.667
2022-09-14,43.7401
2022-09-15,42.9764
2022-09-16,42.1399
2022-09-17,42.1399
2022-09-18,42.1399
2022-09-19,44.5839
2022-09-20,43.7436
2022-09-21,40.941
2022-09-22,40.0154
2022-09-23,39.7072
2022-09-24,39.7072
2022-09-25,39.7072
2022-09-26,38.2853
2022-09-27,39.0381
2022-09-28,42.9856
2022-09-29,42.0046
2022-09-30,40.8815
2022-10-01,40.8815
2022-10-02,40.8815
2022-10-03,44.3565
2022-10-04,48.5212
2022-10-05,47.9754
2022-10-06,46.5143
2022-10-07,43.2654
2022-10-08,43.2654
2022-10-09,43.2654
2022-10-10,42.3767
2022-10-11,42.5963
2022-10-12,41.1817
2022-10-13,47.5899
2022-10-14,46.2147
2022-10-15,46.2147
2022-10-16,46.2147
2022-10-17,48.3733
2022-10-18,50.567
2022-10-19,49.0238
2022-10-20,46.8856
2022-10-21,51.0121
2022-10-22,51.0121
2022-10-23,51.0121
2022-10-24,53.0982
2022-10-25,53.8187
2022-10-26,53.4711
2022-10-27,54.051
2022-10-28,57.9388
2022-10-29,57.9388
2022-10-30,57.9388
2022-10-31,55.6699
2022-11-01,55.197
2022-11-02,52.9345
2022-11-03,50.3688
2022-11-04,51.9243
2022-11-05,51.9243
2022-11-06,51.9243
2022-11-07,53.0676
2022-11-08,54.0729
2022-11-09,52.1808
2022-11-10,57.794
2022-11-11,59.9721
2022-11-12,59.9721
2022-11-13,59.9721
2022-11-14,59.577
2022-11-15,59.9377
2022-11-16,59.3134
2022-11-17,58.6299
2022-11-18,59.8342
2022-11-19,59.8342
2022-11-20,59.8342
2022-11-21,59.9938
2022-11-22,61.6291
2022-11-23,61.7779
2022-11-24,61.7779
2022-11-25,62.2291
2022-11-26,62.2291
2022-11-27,62.2291
2022-11-28,59.7991
2022-11-29,60.5123
2022-11-30,61.8196
2022-12-01,60.1803
2022-12-02,60.3026
2022-12-03,60.3026
2022-12-04,60.3026
2022-12-05,57.0401
2022-12-06,55.4874
2022-12-07,54.411
2022-12-08,54.4902
2022-12-09,54.6819
2022-12-10,54.6819
2022-12-11,54.6819
2022-12-12,57.0491
2022-12-13,57.4489
2022-12-14,55.5991
2022-12-15,51.4395
2022-12-16,50.4293
2022-12-17,50.4293
2022-12-18,50.4293
2022-12-19,50.4452
2022-12-20,51.4961
2022-12-21,54.4486
2022-12-22,51.5854
2022-12-23,53.4607
2022-12-24,53.4607
2022-12-25,53.4607
2022-12-26,53.4607
2022-12-27,52.936
2022-12-28,51.751
2022-12-29,54.5464
2022-12-30,54.4536
2022-12-31,54.4536
2023-01-01,54.4536
2023-01-02,54.4536
2023-01-03,54.9538
2023-01-04,57.1883
2023-01-05,56.1634
2023-01-06,58.8409
2023-01-07,58.8409
2023-01-08,58.8409
2023-01-09,56.8795
2023-01-10,57.2619
2023-01-11,59.1015
2023-01-12,58.1736
2023-01-13,57.3394
2023-01-14,57.3394
2023-01-15,57.3394
2023-01-16,57.3394
2023-01-17,55.563
2023-01-18,51.6565
2023-01-19,49.9561
2023-01-20,52.4056
2023-01-21,52.4056
2023-01-22,52.4056
2023-01-23,52.6896
2023-01-24,53.1522
2023-01-25,53.4731
2023-01-26,52.8798
2023-01-27,51.7665
2023-01-28,51.7665
2023-01-29,51.7665
2023-01-30,50.6268
2023-01-31,53.0613
2023-02-01,52.4546
2023-02-02,53.2062
2023-02-03,51.0389
2023-02-04,51.0389
2023-02-05,51.0389
2023-02-06,50.9876
2023-02-07,53.7189
2023-02-08,50.8214
2023-02-09,50.0317
2023-02-10,51.671
2023-02-11,51.671
2023-02-12,51.671
2023-02-13,53.9176
2023-02-14,52.0015
2023-02-15,51.2605
2023-02-16,50.333
2023-02-17,50.3714
2023-02-18,50.3714
2023-02-19,50.3714
2023-02-20,50.3714
2023-02-21,46.9158
2023-02-22,47.2144
2023-02-23,47.1583
2023-02-24,47.8355
2023-02-25,47.8355
2023-02-26,47.8355
2023-02-27,48.2972
2023-02-28,48.6791
2023-03-01,48.2818
2023-03-02,50.6122
2023-03-03,53.8428
2023-03-04,53.8428
2023-03-05,53.8428
2023-03-06,56.6632
2023-03-07,52.3782
2023-03-08,52.5369
2023-03-09,48.1853
2023-03-10,47.4467
2023-03-11,47.4467
2023-03-12,47.4467
2023-03-13,46.9772
2023-03-14,48.6928
2023-03-15,44.1946
2023-03-16,47.0023
2023-03-17,42.4546
2023-03-18,42.4546
2023-03-19,42.4546
