,STEL US Equity
2020-04-03,36.3715
2020-04-04,36.3715
2020-04-05,36.3715
2020-04-06,38.6175
2020-04-07,38.765
2020-04-08,39.0928
2020-04-09,40.8569
2020-04-10,40.8569
2020-04-11,40.8569
2020-04-12,40.8569
2020-04-13,39.8173
2020-04-14,40.0759
2020-04-15,37.6808
2020-04-16,36.6663
2020-04-17,40.0082
2020-04-18,40.0082
2020-04-19,40.0082
2020-04-20,40.2629
2020-04-21,40.0343
2020-04-22,39.6935
2020-04-23,40.1099
2020-04-24,40.7028
2020-04-25,40.7028
2020-04-26,40.7028
2020-04-27,41.8373
2020-04-28,43.5957
2020-04-29,47.5772
2020-04-30,44.7173
2020-05-01,43.8026
2020-05-02,43.8026
2020-05-03,43.8026
2020-05-04,43.782
2020-05-05,43.4021
2020-05-06,43.2082
2020-05-07,44.3233
2020-05-08,45.5151
2020-05-09,45.5151
2020-05-10,45.5151
2020-05-11,44.3005
2020-05-12,43.0216
2020-05-13,42.0572
2020-05-14,42.3061
2020-05-15,42.0491
2020-05-16,42.0491
2020-05-17,42.0491
2020-05-18,47.0404
2020-05-19,44.5847
2020-05-20,48.0761
2020-05-21,47.8062
2020-05-22,47.1098
2020-05-23,47.1098
2020-05-24,47.1098
2020-05-25,47.1098
2020-05-26,49.7852
2020-05-27,53.1759
2020-05-28,51.6741
2020-05-29,52.9287
2020-05-30,52.9287
2020-05-31,52.9287
2020-06-01,52.5757
2020-06-02,51.2962
2020-06-03,53.5361
2020-06-04,53.9982
2020-06-05,56.8266
2020-06-06,56.8266
2020-06-07,56.8266
2020-06-08,57.8026
2020-06-09,57.6188
2020-06-10,52.7873
2020-06-11,47.9323
2020-06-12,48.5102
2020-06-13,48.5102
2020-06-14,48.5102
2020-06-15,49.4686
2020-06-16,51.9289
2020-06-17,49.1819
2020-06-18,49.5517
2020-06-19,51.522
2020-06-20,51.522
2020-06-21,51.522
2020-06-22,51.2154
2020-06-23,49.9348
2020-06-24,49.0218
2020-06-25,50.5545
2020-06-26,50.8911
2020-06-27,50.8911
2020-06-28,50.8911
2020-06-29,51.8559
2020-06-30,53.5235
2020-07-01,49.8417
2020-07-02,49.1629
2020-07-03,49.1629
2020-07-04,49.1629
2020-07-05,49.1629
2020-07-06,49.0301
2020-07-07,47.3876
2020-07-08,45.5543
2020-07-09,42.9406
2020-07-10,44.8681
2020-07-11,44.8681
2020-07-12,44.8681
2020-07-13,44.4586
2020-07-14,44.7349
2020-07-15,46.2407
2020-07-16,45.8451
2020-07-17,44.814
2020-07-18,44.814
2020-07-19,44.814
2020-07-20,43.4404
2020-07-21,46.603
2020-07-22,45.7739
2020-07-23,46.4102
2020-07-24,45.9362
2020-07-25,45.9362
2020-07-26,45.9362
2020-07-27,44.0212
2020-07-28,44.1931
2020-07-29,45.61
2020-07-30,43.3865
2020-07-31,41.3532
2020-08-01,41.3532
2020-08-02,41.3532
2020-08-03,41.7874
2020-08-04,41.2088
2020-08-05,42.9184
2020-08-06,44.0167
2020-08-07,46.5014
2020-08-08,46.5014
2020-08-09,46.5014
2020-08-10,48.3968
2020-08-11,49.1293
2020-08-12,48.4184
2020-08-13,46.9798
2020-08-14,48.1485
2020-08-15,48.1485
2020-08-16,48.1485
2020-08-17,47.1387
2020-08-18,44.3165
2020-08-19,44.3165
2020-08-20,43.9145
2020-08-21,43.2588
2020-08-22,43.2588
2020-08-23,43.2588
2020-08-24,45.349
2020-08-25,45.4689
2020-08-26,43.0895
2020-08-27,44.6493
2020-08-28,44.4833
2020-08-29,44.4833
2020-08-30,44.4833
2020-08-31,43.0595
2020-09-01,42.6653
2020-09-02,42.3975
2020-09-03,42.2946
2020-09-04,43.6626
2020-09-05,43.6626
2020-09-06,43.6626
2020-09-07,43.6626
2020-09-08,41.9594
2020-09-09,41.4713
2020-09-10,48.1559
2020-09-11,45.1008
2020-09-12,45.1008
2020-09-13,45.1008
2020-09-14,47.1574
2020-09-15,46.4167
2020-09-16,47.2734
2020-09-17,46.8674
2020-09-18,45.2235
2020-09-19,45.2235
2020-09-20,45.2235
2020-09-21,42.5476
2020-09-22,44.8833
2020-09-23,42.344
2020-09-24,47.2735
2020-09-25,47.5
2020-09-26,47.5
2020-09-27,47.5
2020-09-28,49.4109
2020-09-29,48.4452
2020-09-30,48.9834
2020-10-01,48.7952
2020-10-02,50.9399
2020-10-03,50.9399
2020-10-04,50.9399
2020-10-05,52.6916
2020-10-06,53.3154
2020-10-07,55.7641
2020-10-08,56.6505
2020-10-09,55.674
2020-10-10,55.674
2020-10-11,55.674
2020-10-12,56.6232
2020-10-13,55.5745
2020-10-14,54.9338
2020-10-15,55.2388
2020-10-16,55.5114
2020-10-17,55.5114
2020-10-18,55.5114
2020-10-19,56.452
2020-10-20,57.8724
2020-10-21,59.2834
2020-10-22,60.9907
2020-10-23,61.5124
2020-10-24,61.5124
2020-10-25,61.5124
2020-10-26,61.1178
2020-10-27,60.6007
2020-10-28,58.0601
2020-10-29,57.451
2020-10-30,56.0142
2020-10-31,56.0142
2020-11-01,56.0142
2020-11-02,57.4126
2020-11-03,60.0784
2020-11-04,52.339
2020-11-05,54.8556
2020-11-06,54.8088
2020-11-07,54.8088
2020-11-08,54.8088
2020-11-09,60.9715
2020-11-10,64.0329
2020-11-11,64.9801
2020-11-12,64.1068
2020-11-13,65.2865
2020-11-14,65.2865
2020-11-15,65.2865
2020-11-16,66.4781
2020-11-17,64.6806
2020-11-18,65.5113
2020-11-19,64.0043
2020-11-20,64.4833
2020-11-21,64.4833
2020-11-22,64.4833
2020-11-23,64.825
2020-11-24,67.4195
2020-11-25,64.0107
2020-11-26,64.0107
2020-11-27,62.9783
2020-11-28,62.9783
2020-11-29,62.9783
2020-11-30,58.2568
2020-12-01,60.0199
2020-12-02,61.3871
2020-12-03,61.4451
2020-12-04,62.9709
2020-12-05,62.9709
2020-12-06,62.9709
2020-12-07,62.3448
2020-12-08,62.989
2020-12-09,61.9426
2020-12-10,63.0023
2020-12-11,61.7322
2020-12-12,61.7322
2020-12-13,61.7322
2020-12-14,62.2983
2020-12-15,65.0057
2020-12-16,66.3252
2020-12-17,66.5427
2020-12-18,66.3764
2020-12-19,66.3764
2020-12-20,66.3764
2020-12-21,66.8055
2020-12-22,67.5203
2020-12-23,69.2205
2020-12-24,68.8597
2020-12-25,68.8597
2020-12-26,68.8597
2020-12-27,68.8597
2020-12-28,69.2739
2020-12-29,69.4282
2020-12-30,66.2679
2020-12-31,65.05
2021-01-01,65.05
2021-01-02,65.05
2021-01-03,65.05
2021-01-04,63.7769
2021-01-05,64.6294
2021-01-06,70.7766
2021-01-07,66.6179
2021-01-08,63.8743
2021-01-09,63.8743
2021-01-10,63.8743
2021-01-11,65.4039
2021-01-12,67.8134
2021-01-13,68.0339
2021-01-14,68.6994
2021-01-15,64.8215
2021-01-16,64.8215
2021-01-17,64.8215
2021-01-18,64.8215
2021-01-19,64.8215
2021-01-20,64.355
2021-01-21,64.5893
2021-01-22,67.8176
2021-01-23,67.8176
2021-01-24,67.8176
2021-01-25,62.9382
2021-01-26,60.7474
2021-01-27,58.1202
2021-01-28,58.4979
2021-01-29,56.4359
2021-01-30,56.4359
2021-01-31,56.4359
2021-02-01,54.0861
2021-02-02,58.0544
2021-02-03,57.9281
2021-02-04,59.9419
2021-02-05,60.7825
2021-02-06,60.7825
2021-02-07,60.7825
2021-02-08,62.0329
2021-02-09,61.5255
2021-02-10,60.3648
2021-02-11,60.4266
2021-02-12,59.5149
2021-02-13,59.5149
2021-02-14,59.5149
2021-02-15,59.5149
2021-02-16,58.9819
2021-02-17,58.8332
2021-02-18,54.8748
2021-02-19,57.9431
2021-02-20,57.9431
2021-02-21,57.9431
2021-02-22,60.438
2021-02-23,61.9929
2021-02-24,64.6723
2021-02-25,60.659
2021-02-26,60.802
2021-02-27,60.802
2021-02-28,60.802
2021-03-01,62.44
2021-03-02,61.2978
2021-03-03,62.7363
2021-03-04,60.8552
2021-03-05,63.5828
2021-03-06,63.5828
2021-03-07,63.5828
2021-03-08,66.5314
2021-03-09,63.3311
2021-03-10,64.864
2021-03-11,65.5392
2021-03-12,63.7474
2021-03-13,63.7474
2021-03-14,63.7474
2021-03-15,60.9716
2021-03-16,60.0293
2021-03-17,60.3873
2021-03-18,59.833
2021-03-19,62.2071
2021-03-20,62.2071
2021-03-21,62.2071
2021-03-22,57.6568
2021-03-23,54.15
2021-03-24,55.6197
2021-03-25,58.3799
2021-03-26,59.3732
2021-03-27,59.3732
2021-03-28,59.3732
2021-03-29,56.2313
2021-03-30,57.6336
2021-03-31,56.9411
2021-04-01,57.0255
2021-04-02,57.0255
2021-04-03,57.0255
2021-04-04,57.0255
2021-04-05,58.4836
2021-04-06,59.1455
2021-04-07,59.2853
2021-04-08,59.798
2021-04-09,60.6521
2021-04-10,60.6521
2021-04-11,60.6521
2021-04-12,62.5456
2021-04-13,60.41
2021-04-14,61.3571
2021-04-15,60.782
2021-04-16,62.2463
2021-04-17,62.2463
2021-04-18,62.2463
2021-04-19,60.6251
2021-04-20,57.3218
2021-04-21,58.8578
2021-04-22,56.1915
2021-04-23,57.3297
2021-04-24,57.3297
2021-04-25,57.3297
2021-04-26,55.554
2021-04-27,54.5997
2021-04-28,54.7003
2021-04-29,52.96
2021-04-30,53.947
2021-05-01,53.947
2021-05-02,53.947
2021-05-03,55.3991
2021-05-04,55.0146
2021-05-05,54.364
2021-05-06,54.5493
2021-05-07,54.0497
2021-05-08,54.0497
2021-05-09,54.0497
2021-05-10,52.1194
2021-05-11,48.2245
2021-05-12,45.3525
2021-05-13,49.4758
2021-05-14,50.94
2021-05-15,50.94
2021-05-16,50.94
2021-05-17,50.0928
2021-05-18,47.109
2021-05-19,46.1953
2021-05-20,45.3552
2021-05-21,46.8548
2021-05-22,46.8548
2021-05-23,46.8548
2021-05-24,47.4761
2021-05-25,42.4762
2021-05-26,44.9806
2021-05-27,46.5972
2021-05-28,48.1352
2021-05-29,48.1352
2021-05-30,48.1352
2021-05-31,48.1352
2021-06-01,47.8855
2021-06-02,44.8596
2021-06-03,46.2179
2021-06-04,45.7719
2021-06-05,45.7719
2021-06-06,45.7719
2021-06-07,47.7384
2021-06-08,48.604
2021-06-09,46.9936
2021-06-10,45.608
2021-06-11,45.9041
2021-06-12,45.9041
2021-06-13,45.9041
2021-06-14,44.3
2021-06-15,45.95
2021-06-16,46.2964
2021-06-17,43.35
2021-06-18,40.0686
2021-06-19,40.0686
2021-06-20,40.0686
2021-06-21,44.1424
2021-06-22,43.121
2021-06-23,44.7333
2021-06-24,47.0426
2021-06-25,44.2401
2021-06-26,44.2401
2021-06-27,44.2401
2021-06-28,44.4415
2021-06-29,43.5625
2021-06-30,43.3316
2021-07-01,43.1625
2021-07-02,41.3913
2021-07-03,41.3913
2021-07-04,41.3913
2021-07-05,41.3913
2021-07-06,40.4835
2021-07-07,39.8378
2021-07-08,40.6698
2021-07-09,43.1115
2021-07-10,43.1115
2021-07-11,43.1115
2021-07-12,44.7265
2021-07-13,42.4133
2021-07-14,42.6963
2021-07-15,46.3765
2021-07-16,49.4841
2021-07-17,49.4841
2021-07-18,49.4841
2021-07-19,43.811
2021-07-20,45.4484
2021-07-21,46.817
2021-07-22,44.2572
2021-07-23,45.6369
2021-07-24,45.6369
2021-07-25,45.6369
2021-07-26,46.9185
2021-07-27,45.1501
2021-07-28,48.4851
2021-07-29,48.2437
2021-07-30,44.1212
2021-07-31,44.1212
2021-08-01,44.1212
2021-08-02,41.6566
2021-08-03,42.8227
2021-08-04,42.1545
2021-08-05,43.0341
2021-08-06,46.4063
2021-08-07,46.4063
2021-08-08,46.4063
2021-08-09,44.4869
2021-08-10,45.2613
2021-08-11,46.6325
2021-08-12,44.8188
2021-08-13,44.7241
2021-08-14,44.7241
2021-08-15,44.7241
2021-08-16,44.6915
2021-08-17,45.5528
2021-08-18,45.2404
2021-08-19,46.5464
2021-08-20,46.8425
2021-08-21,46.8425
2021-08-22,46.8425
2021-08-23,47.2742
2021-08-24,47.757
2021-08-25,47.8916
2021-08-26,46.9325
2021-08-27,50.2906
2021-08-28,50.2906
2021-08-29,50.2906
2021-08-30,47.9471
2021-08-31,50.341
2021-09-01,49.253
2021-09-02,48.2165
2021-09-03,48.0492
2021-09-04,48.0492
2021-09-05,48.0492
2021-09-06,48.0492
2021-09-07,46.3836
2021-09-08,46.0124
2021-09-09,45.4686
2021-09-10,44.1806
2021-09-11,44.1806
2021-09-12,44.1806
2021-09-13,44.5475
2021-09-14,42.6816
2021-09-15,43.1741
2021-09-16,44.2747
2021-09-17,50.8265
2021-09-18,50.8265
2021-09-19,50.8265
2021-09-20,46.2578
2021-09-21,46.4882
2021-09-22,47.6034
2021-09-23,51.1574
2021-09-24,50.2434
2021-09-25,50.2434
2021-09-26,50.2434
2021-09-27,50.8917
2021-09-28,50.3488
2021-09-29,50.44
2021-09-30,48.9
2021-10-01,49.9537
2021-10-02,49.9537
2021-10-03,49.9537
2021-10-04,48.3594
2021-10-05,50.8871
2021-10-06,49.9798
2021-10-07,51.8494
2021-10-08,50.866
2021-10-09,50.866
2021-10-10,50.866
2021-10-11,49.4118
2021-10-12,49.4617
2021-10-13,49.9209
2021-10-14,50.7944
2021-10-15,51.4642
2021-10-16,51.4642
2021-10-17,51.4642
2021-10-18,50.2133
2021-10-19,51.9469
2021-10-20,54.5281
2021-10-21,52.8891
2021-10-22,53.8782
2021-10-23,53.8782
2021-10-24,53.8782
2021-10-25,53.6451
2021-10-26,52.8181
2021-10-27,49.5975
2021-10-28,51.3213
2021-10-29,52.3744
2021-10-30,52.3744
2021-10-31,52.3744
2021-11-01,54.1694
2021-11-02,55.4595
2021-11-03,56.3396
2021-11-04,56.4879
2021-11-05,62.6909
2021-11-06,62.6909
2021-11-07,62.6909
2021-11-08,67.2189
2021-11-09,66.5281
2021-11-10,63.2282
2021-11-11,60.9687
2021-11-12,62.2912
2021-11-13,62.2912
2021-11-14,62.2912
2021-11-15,62.4336
2021-11-16,60.946
2021-11-17,59.9414
2021-11-18,60.2603
2021-11-19,60.8646
2021-11-20,60.8646
2021-11-21,60.8646
2021-11-22,63.7183
2021-11-23,64.5734
2021-11-24,61.4519
2021-11-25,61.4519
2021-11-26,53.9041
2021-11-27,53.9041
2021-11-28,53.9041
2021-11-29,51.6091
2021-11-30,48.3495
2021-12-01,47.1982
2021-12-02,50.751
2021-12-03,47.5994
2021-12-04,47.5994
2021-12-05,47.5994
2021-12-06,49.1083
2021-12-07,48.1912
2021-12-08,49.0051
2021-12-09,48.6307
2021-12-10,48.588
2021-12-11,48.588
2021-12-12,48.588
2021-12-13,51.3267
2021-12-14,50.6959
2021-12-15,50.4667
2021-12-16,49.9528
2021-12-17,50.3333
2021-12-18,50.3333
2021-12-19,50.3333
2021-12-20,47.8854
2021-12-21,50.5185
2021-12-22,51.5319
2021-12-23,52.7157
2021-12-24,52.7157
2021-12-25,52.7157
2021-12-26,52.7157
2021-12-27,54.6125
2021-12-28,54.6562
2021-12-29,54.6018
2021-12-30,53.2837
2021-12-31,54.4733
2022-01-01,54.4733
2022-01-02,54.4733
2022-01-03,58.0127
2022-01-04,55.4485
2022-01-05,57.437
2022-01-06,60.3215
2022-01-07,59.3654
2022-01-08,59.3654
2022-01-09,59.3654
2022-01-10,58.4632
2022-01-11,60.0718
2022-01-12,61.5013
2022-01-13,63.2561
2022-01-14,63.9839
2022-01-15,63.9839
2022-01-16,63.9839
2022-01-17,63.9839
2022-01-18,63.0003
2022-01-19,62.6269
2022-01-20,55.4317
2022-01-21,56.2103
2022-01-22,56.2103
2022-01-23,56.2103
2022-01-24,59.0535
2022-01-25,58.622
2022-01-26,57.6416
2022-01-27,54.7476
2022-01-28,49.9375
2022-01-29,49.9375
2022-01-30,49.9375
2022-01-31,50.4672
2022-02-01,50.9592
2022-02-02,46.5658
2022-02-03,46.66
2022-02-04,47.6623
2022-02-05,47.6623
2022-02-06,47.6623
2022-02-07,50.8469
2022-02-08,54.9766
2022-02-09,50.8195
2022-02-10,51.4133
2022-02-11,51.2427
2022-02-12,51.2427
2022-02-13,51.2427
2022-02-14,50.2927
2022-02-15,52.3688
2022-02-16,53.3365
2022-02-17,50.2972
2022-02-18,53.6622
2022-02-19,53.6622
2022-02-20,53.6622
2022-02-21,53.6622
2022-02-22,52.835
2022-02-23,52.1782
2022-02-24,49.9512
2022-02-25,53.7959
2022-02-26,53.7959
2022-02-27,53.7959
2022-02-28,52.2288
2022-03-01,48.6251
2022-03-02,53.2792
2022-03-03,55.2284
2022-03-04,53.5822
2022-03-05,53.5822
2022-03-06,53.5822
2022-03-07,51.6483
2022-03-08,52.5174
2022-03-09,53.8558
2022-03-10,54.9669
2022-03-11,55.4378
2022-03-12,55.4378
2022-03-13,55.4378
2022-03-14,55.881
2022-03-15,55.2686
2022-03-16,56.3294
2022-03-17,54.1593
2022-03-18,53.7657
2022-03-19,53.7657
2022-03-20,53.7657
2022-03-21,52.7955
2022-03-22,56.6571
2022-03-23,53.0245
2022-03-24,53.568
2022-03-25,56.517
2022-03-26,56.517
2022-03-27,56.517
2022-03-28,54.9455
2022-03-29,56.6312
2022-03-30,53.6415
2022-03-31,52.9957
2022-04-01,51.2406
2022-04-02,51.2406
2022-04-03,51.2406
2022-04-04,50.1091
2022-04-05,49.2174
2022-04-06,48.5184
2022-04-07,46.1098
2022-04-08,45.0612
2022-04-09,45.0612
2022-04-10,45.0612
2022-04-11,45.0612
2022-04-12,43.4918
2022-04-13,44.1932
2022-04-14,44.8074
2022-04-15,44.8074
2022-04-16,44.8074
2022-04-17,44.8074
2022-04-18,44.5344
2022-04-19,48.3916
2022-04-20,49.271
2022-04-21,48.043
2022-04-22,45.0775
2022-04-23,45.0775
2022-04-24,45.0775
2022-04-25,45.0386
2022-04-26,42.7147
2022-04-27,40.6515
2022-04-28,43.0553
2022-04-29,45.4796
2022-04-30,45.4796
2022-05-01,45.4796
2022-05-02,47.6946
2022-05-03,47.5348
2022-05-04,49.504
2022-05-05,46.7604
2022-05-06,47.5998
2022-05-07,47.5998
2022-05-08,47.5998
2022-05-09,48.5711
2022-05-10,45.5164
2022-05-11,44.7228
2022-05-12,42.7055
2022-05-13,42.0632
2022-05-14,42.0632
2022-05-15,42.0632
2022-05-16,43.2888
2022-05-17,44.2165
2022-05-18,42.6954
2022-05-19,39.9247
2022-05-20,40.8913
2022-05-21,40.8913
2022-05-22,40.8913
2022-05-23,44.4441
2022-05-24,43.9944
2022-05-25,43.9178
2022-05-26,45.962
2022-05-27,48.2836
2022-05-28,48.2836
2022-05-29,48.2836
2022-05-30,48.2836
2022-05-31,48.3295
2022-06-01,47.5433
2022-06-02,49.5707
2022-06-03,49.114
2022-06-04,49.114
2022-06-05,49.114
2022-06-06,49.6419
2022-06-07,49.0675
2022-06-08,49.4207
2022-06-09,45.2473
2022-06-10,44.0918
2022-06-11,44.0918
2022-06-12,44.0918
2022-06-13,43.039
2022-06-14,44.8903
2022-06-15,46.4781
2022-06-16,44.07
2022-06-17,44.0271
2022-06-18,44.0271
2022-06-19,44.0271
2022-06-20,44.0271
2022-06-21,46.0379
2022-06-22,45.7165
2022-06-23,43.3037
2022-06-24,44.095
2022-06-25,44.095
2022-06-26,44.095
2022-06-27,43.9139
2022-06-28,42.4631
2022-06-29,41.7936
2022-06-30,42.0457
2022-07-01,46.9748
2022-07-02,46.9748
2022-07-03,46.9748
2022-07-04,46.9748
2022-07-05,47.476
2022-07-06,46.8651
2022-07-07,47.0413
2022-07-08,47.4619
2022-07-09,47.4619
2022-07-10,47.4619
2022-07-11,47.7684
2022-07-12,48.144
2022-07-13,45.7612
2022-07-14,44.1987
2022-07-15,50.0405
2022-07-16,50.0405
2022-07-17,50.0405
2022-07-18,51.8859
2022-07-19,55.7181
2022-07-20,55.8598
2022-07-21,55.8598
2022-07-22,54.9812
2022-07-23,54.9812
2022-07-24,54.9812
2022-07-25,55.0856
2022-07-26,57.4826
2022-07-27,60.4123
2022-07-28,60.9426
2022-07-29,64.471
2022-07-30,64.471
2022-07-31,64.471
2022-08-01,65.7728
2022-08-02,60.6497
2022-08-03,61.9089
2022-08-04,60.7772
2022-08-05,61.1041
2022-08-06,61.1041
2022-08-07,61.1041
2022-08-08,62.2829
2022-08-09,64.6523
2022-08-10,65.5549
2022-08-11,66.057
2022-08-12,67.6925
2022-08-13,67.6925
2022-08-14,67.6925
2022-08-15,68.3306
2022-08-16,69.0626
2022-08-17,68.4673
2022-08-18,68.1634
2022-08-19,62.4959
2022-08-20,62.4959
2022-08-21,62.4959
2022-08-22,59.2693
2022-08-23,57.5481
2022-08-24,57.2411
2022-08-25,56.8021
2022-08-26,54.0458
2022-08-27,54.0458
2022-08-28,54.0458
2022-08-29,48.9166
2022-08-30,50.6684
2022-08-31,49.3302
2022-09-01,49.595
2022-09-02,48.4937
2022-09-03,48.4937
2022-09-04,48.4937
2022-09-05,48.4937
2022-09-06,45.3673
2022-09-07,48.3733
2022-09-08,49.0586
2022-09-09,50.6739
2022-09-10,50.6739
2022-09-11,50.6739
2022-09-12,51.9451
2022-09-13,46.4028
2022-09-14,51.9438
2022-09-15,53.8019
2022-09-16,54.5456
2022-09-17,54.5456
2022-09-18,54.5456
2022-09-19,55.6934
2022-09-20,56.0624
2022-09-21,55.4258
2022-09-22,53.9472
2022-09-23,54.2627
2022-09-24,54.2627
2022-09-25,54.2627
2022-09-26,55.1261
2022-09-27,49.2089
2022-09-28,53.8298
2022-09-29,48.4843
2022-09-30,46.8412
2022-10-01,46.8412
2022-10-02,46.8412
2022-10-03,48.0976
2022-10-04,49.9541
2022-10-05,44.3255
2022-10-06,42.3634
2022-10-07,43.9462
2022-10-08,43.9462
2022-10-09,43.9462
2022-10-10,44.5002
2022-10-11,42.6551
2022-10-12,41.8394
2022-10-13,43.1881
2022-10-14,43.1192
2022-10-15,43.1192
2022-10-16,43.1192
2022-10-17,44.9381
2022-10-18,46.7865
2022-10-19,47.5669
2022-10-20,43.4641
2022-10-21,46.3289
2022-10-22,46.3289
2022-10-23,46.3289
2022-10-24,47.4392
2022-10-25,49.9389
2022-10-26,50.7088
2022-10-27,53.3086
2022-10-28,57.7839
2022-10-29,57.7839
2022-10-30,57.7839
2022-10-31,61.3872
2022-11-01,63.668
2022-11-02,63.5826
2022-11-03,65.223
2022-11-04,68.4646
2022-11-05,68.4646
2022-11-06,68.4646
2022-11-07,63.3347
2022-11-08,62.5269
2022-11-09,61.5981
2022-11-10,63.6905
2022-11-11,61.7192
2022-11-12,61.7192
2022-11-13,61.7192
2022-11-14,59.5507
2022-11-15,59.6771
2022-11-16,56.7087
2022-11-17,55.1667
2022-11-18,56.3118
2022-11-19,56.3118
2022-11-20,56.3118
2022-11-21,56.9773
2022-11-22,58.3181
2022-11-23,56.3171
2022-11-24,56.3171
2022-11-25,56.9955
2022-11-26,56.9955
2022-11-27,56.9955
2022-11-28,56.0943
2022-11-29,56.3324
2022-11-30,57.2908
2022-12-01,56.5288
2022-12-02,56.2842
2022-12-03,56.2842
2022-12-04,56.2842
2022-12-05,46.3025
2022-12-06,46.6076
2022-12-07,45.2772
2022-12-08,43.4523
2022-12-09,44.7833
2022-12-10,44.7833
2022-12-11,44.7833
2022-12-12,43.5231
2022-12-13,42.9547
2022-12-14,41.5726
2022-12-15,40.1806
2022-12-16,42.3724
2022-12-17,42.3724
2022-12-18,42.3724
2022-12-19,43.8915
2022-12-20,44.609
2022-12-21,46.0001
2022-12-22,45.426
2022-12-23,45.776
2022-12-24,45.776
2022-12-25,45.776
2022-12-26,45.776
2022-12-27,46.1335
2022-12-28,44.9417
2022-12-29,46.3349
2022-12-30,45.2208
2022-12-31,45.2208
2023-01-01,45.2208
2023-01-02,45.2208
2023-01-03,44.2912
2023-01-04,42.8404
2023-01-05,40.9371
2023-01-06,44.8869
2023-01-07,44.8869
2023-01-08,44.8869
2023-01-09,42.0121
2023-01-10,46.9201
2023-01-11,47.7487
2023-01-12,49.5549
2023-01-13,49.941
2023-01-14,49.941
2023-01-15,49.941
2023-01-16,49.941
2023-01-17,49.0929
2023-01-18,45.9325
2023-01-19,46.0471
2023-01-20,45.9799
2023-01-21,45.9799
2023-01-22,45.9799
2023-01-23,45.9105
2023-01-24,44.5884
2023-01-25,44.449
2023-01-26,44.1279
2023-01-27,35.9248
2023-01-28,35.9248
2023-01-29,35.9248
2023-01-30,39.7979
2023-01-31,44.8231
2023-02-01,44.7943
2023-02-02,47.018
2023-02-03,48.2168
2023-02-04,48.2168
2023-02-05,48.2168
2023-02-06,47.9921
2023-02-07,48.0636
2023-02-08,48.8639
2023-02-09,47.321
2023-02-10,48.0748
2023-02-11,48.0748
2023-02-12,48.0748
2023-02-13,49.7125
2023-02-14,49.2379
2023-02-15,51.024
2023-02-16,49.7048
2023-02-17,51.0513
2023-02-18,51.0513
2023-02-19,51.0513
2023-02-20,51.0513
2023-02-21,49.5642
2023-02-22,49.4877
2023-02-23,50.2813
2023-02-24,49.6758
2023-02-25,49.6758
2023-02-26,49.6758
2023-02-27,49.4703
2023-02-28,48.8847
2023-03-01,48.2934
2023-03-02,46.386
2023-03-03,47.9576
2023-03-04,47.9576
2023-03-05,47.9576
2023-03-06,46.6673
2023-03-07,45.0886
2023-03-08,43.9066
2023-03-09,39.772
2023-03-10,38.7864
2023-03-11,38.7864
2023-03-12,38.7864
2023-03-13,36.8347
2023-03-14,37.883
2023-03-15,39.1368
2023-03-16,44.9341
2023-03-17,40.3355
2023-03-18,40.3355
2023-03-19,40.3355
