,GBCI US Equity
,RSI_30D
2021-07-25,43.0362
2021-07-26,43.381
2021-07-27,42.5656
2021-07-28,43.8465
2021-07-29,44.9703
2021-07-30,44.0912
2021-07-31,44.0912
2021-08-01,44.0912
2021-08-02,43.4492
2021-08-03,45.6055
2021-08-04,44.6199
2021-08-05,46.209
2021-08-06,49.9439
2021-08-07,49.9439
2021-08-08,49.9439
2021-08-09,48.1944
2021-08-10,49.5935
2021-08-11,50.7403
2021-08-12,49.2152
2021-08-13,48.2654
2021-08-14,48.2654
2021-08-15,48.2654
2021-08-16,48.9382
2021-08-17,47.9989
2021-08-18,46.4799
2021-08-19,46.3264
2021-08-20,48.9648
2021-08-21,48.9648
2021-08-22,48.9648
2021-08-23,50.1178
2021-08-24,49.2802
2021-08-25,49.1951
2021-08-26,48.1842
2021-08-27,50.7036
2021-08-28,50.7036
2021-08-29,50.7036
2021-08-30,47.9301
2021-08-31,48.5792
2021-09-01,48.407
2021-09-02,47.45
2021-09-03,46.8834
2021-09-04,46.8834
2021-09-05,46.8834
2021-09-06,46.8834
2021-09-07,46.1165
2021-09-08,44.4822
2021-09-09,44.2261
2021-09-10,42.7212
2021-09-11,42.7212
2021-09-12,42.7212
2021-09-13,43.5331
2021-09-14,41.6383
2021-09-15,44.4719
2021-09-16,43.031
2021-09-17,43.7245
2021-09-18,43.7245
2021-09-19,43.7245
2021-09-20,41.9699
2021-09-21,43.3857
2021-09-22,43.7547
2021-09-23,47.2056
2021-09-24,49.4222
2021-09-25,49.4222
2021-09-26,49.4222
2021-09-27,56.4827
2021-09-28,55.6665
2021-09-29,57.1796
2021-09-30,55.1813
2021-10-01,56.4411
2021-10-02,56.4411
2021-10-03,56.4411
2021-10-04,57.2377
2021-10-05,54.7373
2021-10-06,53.6836
2021-10-07,55.3184
2021-10-08,54.6578
2021-10-09,54.6578
2021-10-10,54.6578
2021-10-11,52.2023
2021-10-12,51.5967
2021-10-13,49.4374
2021-10-14,51.9736
2021-10-15,51.4445
2021-10-16,51.4445
2021-10-17,51.4445
2021-10-18,52.2221
2021-10-19,51.2973
2021-10-20,55.2216
2021-10-21,56.0088
2021-10-22,58.0564
2021-10-23,58.0564
2021-10-24,58.0564
2021-10-25,54.7971
2021-10-26,54.0743
2021-10-27,49.4233
2021-10-28,52.3687
2021-10-29,53.1405
2021-10-30,53.1405
2021-10-31,53.1405
2021-11-01,56.3376
2021-11-02,55.1879
2021-11-03,57.7544
2021-11-04,56.8938
2021-11-05,60.2315
2021-11-06,60.2315
2021-11-07,60.2315
2021-11-08,59.6465
2021-11-09,58.2801
2021-11-10,59.1276
2021-11-11,59.8169
2021-11-12,59.1717
2021-11-13,59.1717
2021-11-14,59.1717
2021-11-15,60.1326
2021-11-16,60.1055
2021-11-17,58.9782
2021-11-18,58.9503
2021-11-19,56.8366
2021-11-20,56.8366
2021-11-21,56.8366
2021-11-22,57.5003
2021-11-23,58.9492
2021-11-24,57.1329
2021-11-25,57.1329
2021-11-26,48.7972
2021-11-27,48.7972
2021-11-28,48.7972
2021-11-29,48.5196
2021-11-30,46.0399
2021-12-01,45.2557
2021-12-02,50.3885
2021-12-03,49.0991
2021-12-04,49.0991
2021-12-05,49.0991
2021-12-06,53.9444
2021-12-07,54.1288
2021-12-08,54.7657
2021-12-09,52.1442
2021-12-10,53.8162
2021-12-11,53.8162
2021-12-12,53.8162
2021-12-13,51.2
2021-12-14,52.6707
2021-12-15,52.6901
2021-12-16,51.7894
2021-12-17,48.5638
2021-12-18,48.5638
2021-12-19,48.5638
2021-12-20,46.1319
2021-12-21,49.2216
2021-12-22,49.7455
2021-12-23,50.0122
2021-12-24,50.0122
2021-12-25,50.0122
2021-12-26,50.0122
2021-12-27,51.7447
2021-12-28,51.7447
2021-12-29,52.1207
2021-12-30,50.9345
2021-12-31,51.2874
2022-01-01,51.2874
2022-01-02,51.2874
2022-01-03,52.6524
2022-01-04,53.4576
2022-01-05,50.3683
2022-01-06,55.466
2022-01-07,56.55
2022-01-08,56.55
2022-01-09,56.55
2022-01-10,58.4129
2022-01-11,57.8401
2022-01-12,55.9879
2022-01-13,56.8643
2022-01-14,56.51
2022-01-15,56.51
2022-01-16,56.51
2022-01-17,56.51
2022-01-18,53.2034
2022-01-19,47.8214
2022-01-20,45.0775
2022-01-21,44.6419
2022-01-22,44.6419
2022-01-23,44.6419
2022-01-24,48.4028
2022-01-25,46.8779
2022-01-26,44.6331
2022-01-27,42.6391
2022-01-28,40.4979
2022-01-29,40.4979
2022-01-30,40.4979
2022-01-31,41.8626
2022-02-01,41.8852
2022-02-02,40.5637
2022-02-03,40.32
2022-02-04,40.5662
2022-02-05,40.5662
2022-02-06,40.5662
2022-02-07,42.0021
2022-02-08,45.7647
2022-02-09,44.7573
2022-02-10,44.1429
2022-02-11,43.935
2022-02-12,43.935
2022-02-13,43.935
2022-02-14,44.0341
2022-02-15,48.2703
2022-02-16,48.4057
2022-02-17,46.5364
2022-02-18,47.9613
2022-02-19,47.9613
2022-02-20,47.9613
2022-02-21,47.9613
2022-02-22,48.242
2022-02-23,46.6371
2022-02-24,44.5249
2022-02-25,50.6457
2022-02-26,50.6457
2022-02-27,50.6457
2022-02-28,51.5469
2022-03-01,46.5145
2022-03-02,52.0146
2022-03-03,51.8795
2022-03-04,47.7895
2022-03-05,47.7895
2022-03-06,47.7895
2022-03-07,44.0965
2022-03-08,44.1745
2022-03-09,46.5455
2022-03-10,47.5387
2022-03-11,48.6195
2022-03-12,48.6195
2022-03-13,48.6195
2022-03-14,46.8134
2022-03-15,46.6597
2022-03-16,49.9641
2022-03-17,48.0293
2022-03-18,48.0861
2022-03-19,48.0861
2022-03-20,48.0861
2022-03-21,46.9725
2022-03-22,48.7084
2022-03-23,44.0944
2022-03-24,45.36
2022-03-25,47.4246
2022-03-26,47.4246
2022-03-27,47.4246
2022-03-28,46.9032
2022-03-29,50.0723
2022-03-30,45.5823
2022-03-31,44.5345
2022-04-01,44.4138
2022-04-02,44.4138
2022-04-03,44.4138
2022-04-04,42.823
2022-04-05,41.9576
2022-04-06,41.0131
2022-04-07,39.9817
2022-04-08,40.3695
2022-04-09,40.3695
2022-04-10,40.3695
2022-04-11,41.0311
2022-04-12,40.7196
2022-04-13,40.7661
2022-04-14,38.4998
2022-04-15,38.4998
2022-04-16,38.4998
2022-04-17,38.4998
2022-04-18,38.9598
2022-04-19,43.5356
2022-04-20,44.4874
2022-04-21,43.4877
2022-04-22,43.8255
2022-04-23,43.8255
2022-04-24,43.8255
2022-04-25,44.3983
2022-04-26,42.1399
2022-04-27,42.5446
2022-04-28,43.5537
2022-04-29,40.5702
2022-04-30,40.5702
2022-05-01,40.5702
2022-05-02,42.4649
2022-05-03,42.8466
2022-05-04,46.0192
2022-05-05,43.3141
2022-05-06,42.5329
2022-05-07,42.5329
2022-05-08,42.5329
2022-05-09,41.8221
2022-05-10,41.455
2022-05-11,40.2708
2022-05-12,43.0193
2022-05-13,43.9802
2022-05-14,43.9802
2022-05-15,43.9802
2022-05-16,42.1598
2022-05-17,44.7411
2022-05-18,43.7682
2022-05-19,42.8234
2022-05-20,43.5647
2022-05-21,43.5647
2022-05-22,43.5647
2022-05-23,45.4899
2022-05-24,45.3078
2022-05-25,46.1261
2022-05-26,48.1213
2022-05-27,50.8755
2022-05-28,50.8755
2022-05-29,50.8755
2022-05-30,50.8755
2022-05-31,50.0734
2022-06-01,48.8665
2022-06-02,51.5989
2022-06-03,50.4826
2022-06-04,50.4826
2022-06-05,50.4826
2022-06-06,50.7353
2022-06-07,51.7539
2022-06-08,49.4463
2022-06-09,47.0716
2022-06-10,45.8989
2022-06-11,45.8989
2022-06-12,45.8989
2022-06-13,43.0818
2022-06-14,44.4212
2022-06-15,45.4929
2022-06-16,43.2537
2022-06-17,45.6164
2022-06-18,45.6164
2022-06-19,45.6164
2022-06-20,45.6164
2022-06-21,48.2754
2022-06-22,48.5567
2022-06-23,48.061
2022-06-24,51.2659
2022-06-25,51.2659
2022-06-26,51.2659
2022-06-27,51.0756
2022-06-28,49.9248
2022-06-29,49.2079
2022-06-30,48.9414
2022-07-01,50.9407
2022-07-02,50.9407
2022-07-03,50.9407
2022-07-04,50.9407
2022-07-05,51.795
2022-07-06,51.0592
2022-07-07,51.942
2022-07-08,51.3128
2022-07-09,51.3128
2022-07-10,51.3128
2022-07-11,51.005
2022-07-12,52.4274
2022-07-13,49.404
2022-07-14,48.4407
2022-07-15,51.2021
2022-07-16,51.2021
2022-07-17,51.2021
2022-07-18,51.0062
2022-07-19,54.2157
2022-07-20,55.0749
2022-07-21,55.3966
2022-07-22,50.5574
2022-07-23,50.5574
2022-07-24,50.5574
2022-07-25,51.6243
2022-07-26,52.3507
2022-07-27,54.0337
2022-07-28,54.8584
2022-07-29,55.7787
2022-07-30,55.7787
2022-07-31,55.7787
2022-08-01,56.8605
2022-08-02,55.6443
2022-08-03,57.0692
2022-08-04,56.5745
2022-08-05,58.0299
2022-08-06,58.0299
2022-08-07,58.0299
2022-08-08,58.0299
2022-08-09,59.4105
2022-08-10,61.1184
2022-08-11,63.1088
2022-08-12,64.8436
2022-08-13,64.8436
2022-08-14,64.8436
2022-08-15,66.7566
2022-08-16,68.4241
2022-08-17,65.4033
2022-08-18,63.9255
2022-08-19,60.2827
2022-08-20,60.2827
2022-08-21,60.2827
2022-08-22,55.9281
2022-08-23,53.6652
2022-08-24,53.27
2022-08-25,55.3356
2022-08-26,53.0524
2022-08-27,53.0524
2022-08-28,53.0524
2022-08-29,50.4931
2022-08-30,51.0333
2022-08-31,51.0059
2022-09-01,49.1223
2022-09-02,47.594
2022-09-03,47.594
2022-09-04,47.594
2022-09-05,47.594
2022-09-06,45.378
2022-09-07,48.6654
2022-09-08,51.5528
2022-09-09,53.1824
2022-09-10,53.1824
2022-09-11,53.1824
2022-09-12,53.1824
2022-09-13,49.7354
2022-09-14,51.7901
2022-09-15,52.2579
2022-09-16,51.7927
2022-09-17,51.7927
2022-09-18,51.7927
2022-09-19,54.152
2022-09-20,55.0151
2022-09-21,52.7058
2022-09-22,51.0368
2022-09-23,49.7023
2022-09-24,49.7023
2022-09-25,49.7023
2022-09-26,50.2673
2022-09-27,48.3155
2022-09-28,50.7025
2022-09-29,47.264
2022-09-30,46.4852
2022-10-01,46.4852
2022-10-02,46.4852
2022-10-03,49.0112
2022-10-04,53.0762
2022-10-05,52.786
2022-10-06,53.3141
2022-10-07,48.8647
2022-10-08,48.8647
2022-10-09,48.8647
2022-10-10,49.3981
2022-10-11,49.7082
2022-10-12,50.1819
2022-10-13,55.7195
2022-10-14,53.4576
2022-10-15,53.4576
2022-10-16,53.4576
2022-10-17,56.9657
2022-10-18,57.4284
2022-10-19,55.0076
2022-10-20,51.0451
2022-10-21,54.126
2022-10-22,54.126
2022-10-23,54.126
2022-10-24,52.0599
2022-10-25,53.4839
2022-10-26,55.4482
2022-10-27,57.8476
2022-10-28,61.0753
2022-10-29,61.0753
2022-10-30,61.0753
2022-10-31,62.2133
2022-11-01,61.4999
2022-11-02,58.548
2022-11-03,58.5998
2022-11-04,61.7189
2022-11-05,61.7189
2022-11-06,61.7189
2022-11-07,62.2175
2022-11-08,61.1111
2022-11-09,59.04
2022-11-10,63.265
2022-11-11,58.8093
2022-11-12,58.8093
2022-11-13,58.8093
2022-11-14,58.2978
2022-11-15,58.4279
2022-11-16,56.6898
2022-11-17,55.6311
2022-11-18,57.5505
2022-11-19,57.5505
2022-11-20,57.5505
2022-11-21,57.6367
2022-11-22,58.371
2022-11-23,57.56
2022-11-24,57.56
2022-11-25,59.1608
2022-11-26,59.1608
2022-11-27,59.1608
2022-11-28,55.2783
2022-11-29,54.9558
2022-11-30,57.3805
2022-12-01,57.506
2022-12-02,58.6748
2022-12-03,58.6748
2022-12-04,58.6748
2022-12-05,52.7112
2022-12-06,50.8593
2022-12-07,50.5087
2022-12-08,51.1238
2022-12-09,49.2047
2022-12-10,49.2047
2022-12-11,49.2047
2022-12-12,49.2913
2022-12-13,47.151
2022-12-14,43.986
2022-12-15,41.6213
2022-12-16,40.3094
2022-12-17,40.3094
2022-12-18,40.3094
2022-12-19,40.701
2022-12-20,42.6707
2022-12-21,44.0242
2022-12-22,42.1807
2022-12-23,41.3724
2022-12-24,41.3724
2022-12-25,41.3724
2022-12-26,41.3724
2022-12-27,41.3012
2022-12-28,40.6857
2022-12-29,43.4551
2022-12-30,42.3011
2022-12-31,42.3011
2023-01-01,42.3011
2023-01-02,42.3011
2023-01-03,41.7001
2023-01-04,41.1147
2023-01-05,39.0825
2023-01-06,43.6269
2023-01-07,43.6269
2023-01-08,43.6269
2023-01-09,41.5387
2023-01-10,42.2659
2023-01-11,42.3427
2023-01-12,45.3491
2023-01-13,45.2474
2023-01-14,45.2474
2023-01-15,45.2474
2023-01-16,45.2474
2023-01-17,44.3019
2023-01-18,38.9241
2023-01-19,37.4986
2023-01-20,40.8475
2023-01-21,40.8475
2023-01-22,40.8475
2023-01-23,40.8475
2023-01-24,39.8846
2023-01-25,40.7108
2023-01-26,39.112
2023-01-27,38.7188
2023-01-28,38.7188
2023-01-29,38.7188
2023-01-30,37.1723
2023-01-31,40.1301
2023-02-01,41.7798
2023-02-02,46.4321
2023-02-03,46.1582
2023-02-04,46.1582
2023-02-05,46.1582
2023-02-06,45.367
2023-02-07,45.68
2023-02-08,44.444
2023-02-09,43.2918
2023-02-10,44.5231
2023-02-11,44.5231
2023-02-12,44.5231
2023-02-13,45.19
2023-02-14,44.4669
2023-02-15,45.735
2023-02-16,44.6366
2023-02-17,45.1544
2023-02-18,45.1544
2023-02-19,45.1544
2023-02-20,45.1544
2023-02-21,45.4046
2023-02-22,44.8171
2023-02-23,46.1154
2023-02-24,46.2027
2023-02-25,46.2027
2023-02-26,46.2027
2023-02-27,46.0227
2023-02-28,45.9698
2023-03-01,45.2698
2023-03-02,42.7813
2023-03-03,43.7803
2023-03-04,43.7803
2023-03-05,43.7803
2023-03-06,42.3277
