,AEP US Equity
,RSI_30D
2021-04-21,63.4065
2021-04-22,59.447
2021-04-23,58.769
2021-04-24,58.769
2021-04-25,58.769
2021-04-26,58.493
2021-04-27,57.3779
2021-04-28,56.0784
2021-04-29,58.867
2021-04-30,60.0628
2021-05-01,60.0628
2021-05-02,60.0628
2021-05-03,59.9755
2021-05-04,59.0873
2021-05-05,56.4634
2021-05-06,57.8466
2021-05-07,57.2916
2021-05-08,57.2916
2021-05-09,57.2916
2021-05-10,58.1015
2021-05-11,54.7624
2021-05-12,50.9927
2021-05-13,54.4834
2021-05-14,55.0001
2021-05-15,55.0001
2021-05-16,55.0001
2021-05-17,51.6868
2021-05-18,52.3666
2021-05-19,52.7563
2021-05-20,53.5426
2021-05-21,54.4424
2021-05-22,54.4424
2021-05-23,54.4424
2021-05-24,54.2196
2021-05-25,52.4431
2021-05-26,51.9479
2021-05-27,51.3902
2021-05-28,52.5754
2021-05-29,52.5754
2021-05-30,52.5754
2021-05-31,52.5754
2021-06-01,50.0505
2021-06-02,51.5223
2021-06-03,52.3411
2021-06-04,52.5284
2021-06-05,52.5284
2021-06-06,52.5284
2021-06-07,51.4526
2021-06-08,44.3981
2021-06-09,48.4091
2021-06-10,49.1274
2021-06-11,49.2057
2021-06-12,49.2057
2021-06-13,49.2057
2021-06-14,50.1849
2021-06-15,50.4785
2021-06-16,48.2328
2021-06-17,48.2064
2021-06-18,43.2127
2021-06-19,43.2127
2021-06-20,43.2127
2021-06-21,45.6126
2021-06-22,45.81
2021-06-23,44.3584
2021-06-24,44.9501
2021-06-25,50.2079
2021-06-26,50.2079
2021-06-27,50.2079
2021-06-28,50.5388
2021-06-29,48.0729
2021-06-30,49.7971
2021-07-01,51.4886
2021-07-02,51.3284
2021-07-03,51.3284
2021-07-04,51.3284
2021-07-05,51.3284
2021-07-06,51.4326
2021-07-07,52.4336
2021-07-08,51.5372
2021-07-09,51.7574
2021-07-10,51.7574
2021-07-11,51.7574
2021-07-12,51.814
2021-07-13,51.2847
2021-07-14,53.9739
2021-07-15,56.6099
2021-07-16,57.3925
2021-07-17,57.3925
2021-07-18,57.3925
2021-07-19,52.0087
2021-07-20,51.9208
2021-07-21,49.0082
2021-07-22,49.4682
2021-07-23,52.5147
2021-07-24,52.5147
2021-07-25,52.5147
2021-07-26,56.6893
2021-07-27,60.3193
2021-07-28,59.1203
2021-07-29,59.4331
2021-07-30,56.3972
2021-07-31,56.3972
2021-08-01,56.3972
2021-08-02,56.8886
2021-08-03,58.5364
2021-08-04,57.7449
2021-08-05,59.5511
