,BMTC US Equity
2021-08-18,45.9887
2021-08-19,45.3061
2021-08-20,47.3557
2021-08-21,47.3557
2021-08-22,47.3557
2021-08-23,48.5083
2021-08-24,47.1031
2021-08-25,47.482
2021-08-26,46.2946
2021-08-27,50.5842
2021-08-28,50.5842
2021-08-29,50.5842
2021-08-30,47.6386
2021-08-31,49.2353
2021-09-01,48.9734
2021-09-02,48.8927
2021-09-03,48.235
2021-09-04,48.235
2021-09-05,48.235
2021-09-06,48.235
2021-09-07,46.6655
2021-09-08,45.8407
2021-09-09,45.7328
2021-09-10,43.9152
2021-09-11,43.9152
2021-09-12,43.9152
2021-09-13,46.5029
2021-09-14,44.8958
2021-09-15,47.1928
2021-09-16,45.5514
2021-09-17,47.532
2021-09-18,47.532
2021-09-19,47.532
2021-09-20,44.9924
2021-09-21,44.4296
2021-09-22,48.713
2021-09-23,52.9168
2021-09-24,54.4707
2021-09-25,54.4707
2021-09-26,54.4707
2021-09-27,60.607
2021-09-28,61.3091
2021-09-29,63.2862
2021-09-30,61.2163
2021-10-01,62.7772
2021-10-02,62.7772
2021-10-03,62.7772
2021-10-04,63.4856
2021-10-05,64.6893
2021-10-06,64.757
2021-10-07,66.4063
2021-10-08,66.4063
2021-10-09,66.4063
2021-10-10,66.4063
2021-10-11,64.4185
2021-10-12,65.6226
2021-10-13,63.999
2021-10-14,64.4539
2021-10-15,64.8218
2021-10-16,64.8218
2021-10-17,64.8218
2021-10-18,63.3633
2021-10-19,63.4622
2021-10-20,65.9352
2021-10-21,65.582
2021-10-22,65.7528
2021-10-23,65.7528
2021-10-24,65.7528
2021-10-25,58.2145
2021-10-26,58.9438
2021-10-27,53.2333
2021-10-28,54.4756
2021-10-29,54.7033
2021-10-30,54.7033
2021-10-31,54.7033
2021-11-01,58.2062
2021-11-02,58.6554
2021-11-03,59.8327
2021-11-04,57.3008
2021-11-05,59.7322
2021-11-06,59.7322
2021-11-07,59.7322
2021-11-08,60.1237
2021-11-09,59.7034
2021-11-10,59.8898
2021-11-11,61.5074
2021-11-12,59.345
2021-11-13,59.345
2021-11-14,59.345
2021-11-15,59.9986
2021-11-16,59.7422
2021-11-17,57.6399
2021-11-18,56.8559
2021-11-19,56.6011
2021-11-20,56.6011
2021-11-21,56.6011
2021-11-22,56.2749
2021-11-23,58.2415
2021-11-24,54.4869
2021-11-25,54.4869
2021-11-26,47.4778
2021-11-27,47.4778
2021-11-28,47.4778
2021-11-29,46.7571
2021-11-30,45.3104
2021-12-01,43.0728
2021-12-02,47.6639
2021-12-03,46.1027
2021-12-04,46.1027
2021-12-05,46.1027
2021-12-06,48.4325
2021-12-07,46.7071
2021-12-08,46.2808
2021-12-09,45.8704
2021-12-10,46.9252
2021-12-11,46.9252
2021-12-12,46.9252
2021-12-13,44.8171
2021-12-14,44.2968
2021-12-15,42.1822
2021-12-16,43.3764
2021-12-17,41.8497
2021-12-18,41.8497
2021-12-19,41.8497
2021-12-20,45.4796
2021-12-21,48.2224
2021-12-22,49.7177
2021-12-23,49.942
2021-12-24,49.942
2021-12-25,49.942
2021-12-26,49.942
2021-12-27,51.5807
2021-12-28,52.194
2021-12-29,50.9914
2021-12-30,50.5629
2021-12-31,48.6594
2022-01-01,48.6594
2022-01-02,48.6594
2022-01-03,48.6594
2022-01-04,48.6594
2022-01-05,48.6594
2022-01-06,48.6594
2022-01-07,48.6594
2022-01-08,48.6594
2022-01-09,48.6594
2022-01-10,48.6594
2022-01-11,48.6594
2022-01-12,48.6594
2022-01-13,48.6594
2022-01-14,48.6594
2022-01-15,48.6594
2022-01-16,48.6594
2022-01-17,48.6594
2022-01-18,48.6594
2022-01-19,48.6594
2022-01-20,48.6594
2022-01-21,48.6594
2022-01-22,48.6594
2022-01-23,48.6594
2022-01-24,48.6594
2022-01-25,48.6594
2022-01-26,48.6594
2022-01-27,48.6594
2022-01-28,48.6594
2022-01-29,48.6594
2022-01-30,48.6594
2022-01-31,48.6594
2022-02-01,48.6594
2022-02-02,48.6594
2022-02-03,48.6594
2022-02-04,48.6594
2022-02-05,48.6594
2022-02-06,48.6594
2022-02-07,48.6594
2022-02-08,48.6594
2022-02-09,48.6594
2022-02-10,48.6594
2022-02-11,48.6594
2022-02-12,48.6594
2022-02-13,48.6594
2022-02-14,48.6594
2022-02-15,48.6594
2022-02-16,48.6594
2022-02-17,48.6594
2022-02-18,48.6594
2022-02-19,48.6594
2022-02-20,48.6594
2022-02-21,48.6594
2022-02-22,48.6594
2022-02-23,48.6594
2022-02-24,48.6594
2022-02-25,48.6594
2022-02-26,48.6594
2022-02-27,48.6594
2022-02-28,48.6594
2022-03-01,48.6594
2022-03-02,48.6594
2022-03-03,48.6594
2022-03-04,48.6594
2022-03-05,48.6594
2022-03-06,48.6594
2022-03-07,48.6594
2022-03-08,48.6594
2022-03-09,48.6594
2022-03-10,48.6594
2022-03-11,48.6594
2022-03-12,48.6594
2022-03-13,48.6594
2022-03-14,48.6594
2022-03-15,48.6594
2022-03-16,48.6594
2022-03-17,48.6594
2022-03-18,48.6594
2022-03-19,48.6594
2022-03-20,48.6594
2022-03-21,48.6594
2022-03-22,48.6594
2022-03-23,48.6594
2022-03-24,48.6594
2022-03-25,48.6594
2022-03-26,48.6594
2022-03-27,48.6594
2022-03-28,48.6594
2022-03-29,48.6594
2022-03-30,48.6594
2022-03-31,48.6594
2022-04-01,48.6594
2022-04-02,48.6594
2022-04-03,48.6594
2022-04-04,48.6594
2022-04-05,48.6594
2022-04-06,48.6594
2022-04-07,48.6594
2022-04-08,48.6594
2022-04-09,48.6594
2022-04-10,48.6594
2022-04-11,48.6594
2022-04-12,48.6594
2022-04-13,48.6594
2022-04-14,48.6594
2022-04-15,48.6594
2022-04-16,48.6594
2022-04-17,48.6594
2022-04-18,48.6594
2022-04-19,48.6594
2022-04-20,48.6594
2022-04-21,48.6594
2022-04-22,48.6594
2022-04-23,48.6594
2022-04-24,48.6594
2022-04-25,48.6594
2022-04-26,48.6594
2022-04-27,48.6594
2022-04-28,48.6594
2022-04-29,48.6594
2022-04-30,48.6594
2022-05-01,48.6594
2022-05-02,48.6594
2022-05-03,48.6594
2022-05-04,48.6594
2022-05-05,48.6594
2022-05-06,48.6594
2022-05-07,48.6594
2022-05-08,48.6594
2022-05-09,48.6594
2022-05-10,48.6594
2022-05-11,48.6594
2022-05-12,48.6594
2022-05-13,48.6594
2022-05-14,48.6594
2022-05-15,48.6594
2022-05-16,48.6594
2022-05-17,48.6594
2022-05-18,48.6594
2022-05-19,48.6594
2022-05-20,48.6594
2022-05-21,48.6594
2022-05-22,48.6594
2022-05-23,48.6594
2022-05-24,48.6594
2022-05-25,48.6594
2022-05-26,48.6594
2022-05-27,48.6594
2022-05-28,48.6594
2022-05-29,48.6594
2022-05-30,48.6594
2022-05-31,48.6594
2022-06-01,48.6594
2022-06-02,48.6594
2022-06-03,48.6594
2022-06-04,48.6594
2022-06-05,48.6594
2022-06-06,48.6594
2022-06-07,48.6594
2022-06-08,48.6594
2022-06-09,48.6594
2022-06-10,48.6594
2022-06-11,48.6594
2022-06-12,48.6594
2022-06-13,48.6594
2022-06-14,48.6594
2022-06-15,48.6594
2022-06-16,48.6594
2022-06-17,48.6594
2022-06-18,48.6594
2022-06-19,48.6594
2022-06-20,48.6594
2022-06-21,48.6594
2022-06-22,48.6594
2022-06-23,48.6594
2022-06-24,48.6594
2022-06-25,48.6594
2022-06-26,48.6594
2022-06-27,48.6594
2022-06-28,48.6594
2022-06-29,48.6594
2022-06-30,48.6594
2022-07-01,48.6594
2022-07-02,48.6594
2022-07-03,48.6594
2022-07-04,48.6594
2022-07-05,48.6594
2022-07-06,48.6594
2022-07-07,48.6594
2022-07-08,48.6594
2022-07-09,48.6594
2022-07-10,48.6594
2022-07-11,48.6594
2022-07-12,48.6594
2022-07-13,48.6594
2022-07-14,48.6594
2022-07-15,48.6594
2022-07-16,48.6594
2022-07-17,48.6594
2022-07-18,48.6594
2022-07-19,48.6594
2022-07-20,48.6594
2022-07-21,48.6594
2022-07-22,48.6594
2022-07-23,48.6594
2022-07-24,48.6594
2022-07-25,48.6594
2022-07-26,48.6594
2022-07-27,48.6594
2022-07-28,48.6594
2022-07-29,48.6594
2022-07-30,48.6594
2022-07-31,48.6594
2022-08-01,48.6594
2022-08-02,48.6594
2022-08-03,48.6594
2022-08-04,48.6594
2022-08-05,48.6594
2022-08-06,48.6594
2022-08-07,48.6594
2022-08-08,48.6594
2022-08-09,48.6594
2022-08-10,48.6594
2022-08-11,48.6594
2022-08-12,48.6594
2022-08-13,48.6594
2022-08-14,48.6594
2022-08-15,48.6594
2022-08-16,48.6594
2022-08-17,48.6594
2022-08-18,48.6594
2022-08-19,48.6594
2022-08-20,48.6594
2022-08-21,48.6594
2022-08-22,48.6594
2022-08-23,48.6594
2022-08-24,48.6594
2022-08-25,48.6594
2022-08-26,48.6594
2022-08-27,48.6594
2022-08-28,48.6594
2022-08-29,48.6594
2022-08-30,48.6594
2022-08-31,48.6594
2022-09-01,48.6594
2022-09-02,48.6594
2022-09-03,48.6594
2022-09-04,48.6594
2022-09-05,48.6594
2022-09-06,48.6594
2022-09-07,48.6594
2022-09-08,48.6594
2022-09-09,48.6594
2022-09-10,48.6594
2022-09-11,48.6594
2022-09-12,48.6594
2022-09-13,48.6594
2022-09-14,48.6594
2022-09-15,48.6594
2022-09-16,48.6594
2022-09-17,48.6594
2022-09-18,48.6594
2022-09-19,48.6594
2022-09-20,48.6594
2022-09-21,48.6594
2022-09-22,48.6594
2022-09-23,48.6594
2022-09-24,48.6594
2022-09-25,48.6594
2022-09-26,48.6594
2022-09-27,48.6594
2022-09-28,48.6594
2022-09-29,48.6594
2022-09-30,48.6594
2022-10-01,48.6594
2022-10-02,48.6594
2022-10-03,48.6594
2022-10-04,48.6594
2022-10-05,48.6594
2022-10-06,48.6594
2022-10-07,48.6594
2022-10-08,48.6594
2022-10-09,48.6594
2022-10-10,48.6594
2022-10-11,48.6594
2022-10-12,48.6594
2022-10-13,48.6594
2022-10-14,48.6594
2022-10-15,48.6594
2022-10-16,48.6594
2022-10-17,48.6594
2022-10-18,48.6594
2022-10-19,48.6594
2022-10-20,48.6594
2022-10-21,48.6594
2022-10-22,48.6594
2022-10-23,48.6594
2022-10-24,48.6594
2022-10-25,48.6594
2022-10-26,48.6594
2022-10-27,48.6594
2022-10-28,48.6594
2022-10-29,48.6594
2022-10-30,48.6594
2022-10-31,48.6594
2022-11-01,48.6594
2022-11-02,48.6594
2022-11-03,48.6594
2022-11-04,48.6594
2022-11-05,48.6594
2022-11-06,48.6594
2022-11-07,48.6594
2022-11-08,48.6594
2022-11-09,48.6594
2022-11-10,48.6594
2022-11-11,48.6594
2022-11-12,48.6594
2022-11-13,48.6594
2022-11-14,48.6594
2022-11-15,48.6594
2022-11-16,48.6594
2022-11-17,48.6594
2022-11-18,48.6594
2022-11-19,48.6594
2022-11-20,48.6594
2022-11-21,48.6594
2022-11-22,48.6594
2022-11-23,48.6594
2022-11-24,48.6594
2022-11-25,48.6594
2022-11-26,48.6594
2022-11-27,48.6594
2022-11-28,48.6594
2022-11-29,48.6594
2022-11-30,48.6594
2022-12-01,48.6594
2022-12-02,48.6594
2022-12-03,48.6594
2022-12-04,48.6594
2022-12-05,48.6594
2022-12-06,48.6594
2022-12-07,48.6594
2022-12-08,48.6594
2022-12-09,48.6594
2022-12-10,48.6594
2022-12-11,48.6594
2022-12-12,48.6594
2022-12-13,48.6594
2022-12-14,48.6594
2022-12-15,48.6594
2022-12-16,48.6594
2022-12-17,48.6594
2022-12-18,48.6594
2022-12-19,48.6594
2022-12-20,48.6594
2022-12-21,48.6594
2022-12-22,48.6594
2022-12-23,48.6594
2022-12-24,48.6594
2022-12-25,48.6594
2022-12-26,48.6594
2022-12-27,48.6594
2022-12-28,48.6594
2022-12-29,48.6594
2022-12-30,48.6594
2022-12-31,48.6594
2023-01-01,48.6594
2023-01-02,48.6594
2023-01-03,48.6594
2023-01-04,48.6594
2023-01-05,48.6594
2023-01-06,48.6594
2023-01-07,48.6594
2023-01-08,48.6594
2023-01-09,48.6594
2023-01-10,48.6594
2023-01-11,48.6594
2023-01-12,48.6594
2023-01-13,48.6594
2023-01-14,48.6594
2023-01-15,48.6594
2023-01-16,48.6594
2023-01-17,48.6594
2023-01-18,48.6594
2023-01-19,48.6594
2023-01-20,48.6594
2023-01-21,48.6594
2023-01-22,48.6594
2023-01-23,48.6594
2023-01-24,48.6594
2023-01-25,48.6594
2023-01-26,48.6594
2023-01-27,48.6594
2023-01-28,48.6594
2023-01-29,48.6594
2023-01-30,48.6594
2023-01-31,48.6594
2023-02-01,48.6594
2023-02-02,48.6594
2023-02-03,48.6594
2023-02-04,48.6594
2023-02-05,48.6594
2023-02-06,48.6594
2023-02-07,48.6594
2023-02-08,48.6594
2023-02-09,48.6594
2023-02-10,48.6594
2023-02-11,48.6594
2023-02-12,48.6594
2023-02-13,48.6594
2023-02-14,48.6594
2023-02-15,48.6594
2023-02-16,48.6594
2023-02-17,48.6594
2023-02-18,48.6594
2023-02-19,48.6594
2023-02-20,48.6594
2023-02-21,48.6594
2023-02-22,48.6594
2023-02-23,48.6594
2023-02-24,48.6594
2023-02-25,48.6594
2023-02-26,48.6594
2023-02-27,48.6594
2023-02-28,48.6594
2023-03-01,48.6594
2023-03-02,48.6594
2023-03-03,48.6594
2023-03-04,48.6594
2023-03-05,48.6594
2023-03-06,48.6594
2023-03-07,48.6594
2023-03-08,48.6594
2023-03-09,48.6594
2023-03-10,48.6594
2023-03-11,48.6594
2023-03-12,48.6594
2023-03-13,48.6594
2023-03-14,48.6594
2023-03-15,48.6594
2023-03-16,48.6594
