,EQH US Equity
,RSI_30D
2020-11-26,67.0557
2020-11-27,65.1945
2020-11-28,65.1945
2020-11-29,65.1945
2020-11-30,62.2771
2020-12-01,64.8736
2020-12-02,65.3963
2020-12-03,64.732
2020-12-04,66.4446
2020-12-05,66.4446
2020-12-06,66.4446
2020-12-07,63.4898
2020-12-08,63.8069
2020-12-09,63.2387
2020-12-10,62.9487
2020-12-11,60.8326
2020-12-12,60.8326
2020-12-13,60.8326
2020-12-14,57.5573
2020-12-15,59.1378
2020-12-16,58.7305
2020-12-17,59.342
2020-12-18,56.1701
2020-12-19,56.1701
2020-12-20,56.1701
2020-12-21,54.7853
2020-12-22,54.7417
2020-12-23,56.6351
2020-12-24,55.4134
2020-12-25,55.4134
2020-12-26,55.4134
2020-12-27,55.4134
2020-12-28,55.2763
2020-12-29,54.3037
2020-12-30,55.7237
2020-12-31,57.0665
2021-01-01,57.0665
2021-01-02,57.0665
2021-01-03,57.0665
2021-01-04,53.0446
2021-01-05,54.6411
2021-01-06,61.0925
2021-01-07,59.6735
2021-01-08,59.3172
2021-01-09,59.3172
2021-01-10,59.3172
2021-01-11,59.6289
2021-01-12,62.2333
2021-01-13,60.9705
2021-01-14,62.3464
2021-01-15,60.5152
2021-01-16,60.5152
2021-01-17,60.5152
2021-01-18,60.5152
2021-01-19,61.1508
2021-01-20,59.9621
2021-01-21,58.9661
2021-01-22,57.4157
2021-01-23,57.4157
2021-01-24,57.4157
2021-01-25,56.2111
2021-01-26,53.0242
2021-01-27,48.3026
2021-01-28,51.117
2021-01-29,48.5297
2021-01-30,48.5297
2021-01-31,48.5297
2021-02-01,49.5346
2021-02-02,50.5698
2021-02-03,51.9182
2021-02-04,53.8538
2021-02-05,55.5372
2021-02-06,55.5372
2021-02-07,55.5372
2021-02-08,56.9348
2021-02-09,58.1992
2021-02-10,58.4829
2021-02-11,57.851
2021-02-12,57.0315
2021-02-13,57.0315
2021-02-14,57.0315
2021-02-15,57.0315
2021-02-16,59.1596
2021-02-17,58.5967
2021-02-18,58.5007
2021-02-19,61.2577
2021-02-20,61.2577
2021-02-21,61.2577
2021-02-22,63.2425
2021-02-23,61.7548
2021-02-24,66.3416
2021-02-25,62.2071
2021-02-26,61.0697
2021-02-27,61.0697
2021-02-28,61.0697
2021-03-01,62.9304
2021-03-02,63.0891
2021-03-03,63.867
2021-03-04,61.6428
2021-03-05,63.6093
2021-03-06,63.6093
2021-03-07,63.6093
2021-03-08,65.7774
2021-03-09,64.0336
2021-03-10,65.9037
2021-03-11,65.3487
2021-03-12,66.4921
2021-03-13,66.4921
2021-03-14,66.4921
2021-03-15,67.2066
2021-03-16,63.517
2021-03-17,65.5479
2021-03-18,65.1817
2021-03-19,65.4315
2021-03-20,65.4315
2021-03-21,65.4315
2021-03-22,64.3336
2021-03-23,58.067
2021-03-24,57.1409
2021-03-25,59.4944
2021-03-26,60.3563
2021-03-27,60.3563
2021-03-28,60.3563
2021-03-29,59.3036
2021-03-30,61.5513
2021-03-31,62.1126
2021-04-01,63.1461
2021-04-02,63.1461
2021-04-03,63.1461
2021-04-04,63.1461
2021-04-05,64.0563
2021-04-06,63.18
2021-04-07,63.6404
2021-04-08,63.4473
2021-04-09,63.1993
2021-04-10,63.1993
2021-04-11,63.1993
2021-04-12,64.1276
2021-04-13,62.7962
2021-04-14,64.1296
2021-04-15,63.0389
2021-04-16,63.4976
2021-04-17,63.4976
2021-04-18,63.4976
2021-04-19,63.0658
2021-04-20,58.0617
2021-04-21,60.6954
2021-04-22,59.1581
2021-04-23,61.6689
2021-04-24,61.6689
2021-04-25,61.6689
2021-04-26,62.3865
2021-04-27,63.1885
2021-04-28,63.3681
2021-04-29,64.2403
2021-04-30,61.3734
2021-05-01,61.3734
2021-05-02,61.3734
2021-05-03,62.4452
2021-05-04,62.3399
2021-05-05,64.0931
2021-05-06,63.8187
2021-05-07,63.5373
2021-05-08,63.5373
2021-05-09,63.5373
2021-05-10,59.8258
2021-05-11,55.1685
2021-05-12,50.1131
2021-05-13,53.1018
2021-05-14,56.5674
2021-05-15,56.5674
2021-05-16,56.5674
2021-05-17,55.8626
2021-05-18,54.9871
2021-05-19,54.7756
2021-05-20,52.4392
2021-05-21,52.2335
2021-05-22,52.2335
2021-05-23,52.2335
2021-05-24,51.2759
2021-05-25,46.9766
2021-05-26,47.8727
2021-05-27,49.2123
2021-05-28,48.2027
2021-05-29,48.2027
2021-05-30,48.2027
2021-05-31,48.2027
2021-06-01,50.7742
2021-06-02,49.4257
2021-06-03,48.6396
2021-06-04,46.829
2021-06-05,46.829
2021-06-06,46.829
2021-06-07,47.1322
2021-06-08,46.6603
2021-06-09,45.4444
2021-06-10,42.8369
2021-06-11,46.6378
2021-06-12,46.6378
2021-06-13,46.6378
2021-06-14,46.6378
2021-06-15,49.7855
2021-06-16,49.1772
2021-06-17,44.559
2021-06-18,41.0269
2021-06-19,41.0269
2021-06-20,41.0269
2021-06-21,44.7276
2021-06-22,44.4038
2021-06-23,44.1721
2021-06-24,45.6796
2021-06-25,47.5516
2021-06-26,47.5516
2021-06-27,47.5516
2021-06-28,44.4189
2021-06-29,44.056
2021-06-30,46.1259
2021-07-01,47.9199
2021-07-02,47.6282
2021-07-03,47.6282
2021-07-04,47.6282
2021-07-05,47.6282
2021-07-06,43.4553
2021-07-07,43.3909
2021-07-08,39.8441
2021-07-09,44.7939
2021-07-10,44.7939
2021-07-11,44.7939
2021-07-12,45.4359
2021-07-13,43.3208
2021-07-14,43.7526
