,NRC US Equity
,RSI_30D
2020-07-21,54.9114
2020-07-22,54.2388
2020-07-23,53.6473
2020-07-24,52.9858
2020-07-25,52.9858
2020-07-26,52.9858
2020-07-27,53.7348
2020-07-28,51.8823
2020-07-29,52.8927
2020-07-30,52.1939
2020-07-31,51.152
2020-08-01,51.152
2020-08-02,51.152
2020-08-03,51.9681
2020-08-04,51.4348
2020-08-05,48.7662
2020-08-06,49.8509
2020-08-07,51.1968
2020-08-08,51.1968
2020-08-09,51.1968
2020-08-10,52.1349
2020-08-11,52.9534
2020-08-12,50.9229
2020-08-13,50.6822
2020-08-14,48.7473
2020-08-15,48.7473
2020-08-16,48.7473
2020-08-17,48.6082
2020-08-18,48.2521
2020-08-19,50.2721
2020-08-20,49.3209
2020-08-21,48.1717
2020-08-22,48.1717
2020-08-23,48.1717
2020-08-24,49.1615
2020-08-25,48.5374
2020-08-26,48.1366
2020-08-27,50.1512
2020-08-28,51.2969
2020-08-29,51.2969
2020-08-30,51.2969
2020-08-31,49.4517
2020-09-01,51.0632
2020-09-02,53.3113
2020-09-03,49.5381
2020-09-04,48.0643
2020-09-05,48.0643
2020-09-06,48.0643
2020-09-07,48.0643
2020-09-08,47.4828
2020-09-09,47.0599
2020-09-10,44.0724
2020-09-11,43.0031
2020-09-12,43.0031
2020-09-13,43.0031
2020-09-14,45.4937
2020-09-15,44.7388
2020-09-16,42.9047
2020-09-17,41.9479
2020-09-18,41.3301
2020-09-19,41.3301
2020-09-20,41.3301
2020-09-21,38.3455
2020-09-22,39.6876
2020-09-23,37.4356
2020-09-24,37.8841
2020-09-25,38.3018
2020-09-26,38.3018
2020-09-27,38.3018
2020-09-28,41.352
2020-09-29,42.623
2020-09-30,42.6419
2020-10-01,45.5913
2020-10-02,46.504
2020-10-03,46.504
2020-10-04,46.504
2020-10-05,47.1692
2020-10-06,46.8112
2020-10-07,48.1257
2020-10-08,50.7166
2020-10-09,49.4906
2020-10-10,49.4906
2020-10-11,49.4906
2020-10-12,49.7955
2020-10-13,50.3247
2020-10-14,48.7661
2020-10-15,49.0733
2020-10-16,50.9551
2020-10-17,50.9551
2020-10-18,50.9551
2020-10-19,49.9144
2020-10-20,49.2971
2020-10-21,50.1147
2020-10-22,49.9927
2020-10-23,50.9605
2020-10-24,50.9605
2020-10-25,50.9605
2020-10-26,49.485
2020-10-27,47.1641
2020-10-28,45.9619
2020-10-29,46.7545
2020-10-30,47.3706
2020-10-31,47.3706
2020-11-01,47.3706
2020-11-02,50.7133
2020-11-03,54.4495
2020-11-04,52.4262
2020-11-05,53.7501
2020-11-06,50.1798
2020-11-07,50.1798
2020-11-08,50.1798
2020-11-09,55.421
2020-11-10,59.1323
2020-11-11,59.5275
2020-11-12,55.0444
2020-11-13,53.5797
2020-11-14,53.5797
2020-11-15,53.5797
2020-11-16,52.7985
2020-11-17,53.66
2020-11-18,52.4091
2020-11-19,52.0345
2020-11-20,51.295
2020-11-21,51.295
2020-11-22,51.295
2020-11-23,49.9578
2020-11-24,52.7571
2020-11-25,48.8772
2020-11-26,48.8772
2020-11-27,48.7558
2020-11-28,48.7558
2020-11-29,48.7558
2020-11-30,45.3147
2020-12-01,44.1924
2020-12-02,41.1333
2020-12-03,42.4928
2020-12-04,44.0617
2020-12-05,44.0617
2020-12-06,44.0617
2020-12-07,42.3359
2020-12-08,40.2055
2020-12-09,40.042
2020-12-10,40.3556
2020-12-11,40.57
2020-12-12,40.57
2020-12-13,40.57
2020-12-14,40.57
2020-12-15,40.843
2020-12-16,40.8665
2020-12-17,41.5132
2020-12-18,40.7784
2020-12-19,40.7784
2020-12-20,40.7784
2020-12-21,38.284
2020-12-22,37.7532
2020-12-23,36.372
2020-12-24,36.0236
2020-12-25,36.0236
2020-12-26,36.0236
2020-12-27,36.0236
2020-12-28,36.6784
2020-12-29,35.3829
2020-12-30,34.3692
2020-12-31,33.7863
2021-01-01,33.7863
2021-01-02,33.7863
2021-01-03,33.7863
2021-01-04,34.2888
2021-01-05,34.681
2021-01-06,40.3985
2021-01-07,39.792
2021-01-08,41.0574
2021-01-09,41.0574
2021-01-10,41.0574
2021-01-11,40.8684
2021-01-12,43.0651
2021-01-13,41.7383
2021-01-14,45.0822
2021-01-15,45.3357
2021-01-16,45.3357
2021-01-17,45.3357
2021-01-18,45.3357
2021-01-19,47.2019
2021-01-20,47.7504
2021-01-21,47.5645
2021-01-22,49.619
2021-01-23,49.619
2021-01-24,49.619
2021-01-25,48.7889
2021-01-26,49.177
2021-01-27,45.7133
2021-01-28,43.1544
2021-01-29,42.7558
2021-01-30,42.7558
2021-01-31,42.7558
2021-02-01,45.5231
2021-02-02,48.7701
2021-02-03,51.9849
2021-02-04,53.7975
2021-02-05,54.7649
2021-02-06,54.7649
2021-02-07,54.7649
2021-02-08,56.9346
2021-02-09,58.7884
2021-02-10,55.4295
2021-02-11,56.6523
