,DECK US Equity
,RSI_30D
2023-01-10,58.9511
2023-01-11,59.8893
2023-01-12,61.1777
2023-01-13,62.0244
2023-01-14,62.0244
2023-01-15,62.0244
2023-01-16,62.0244
2023-01-17,61.7194
2023-01-18,61.7912
2023-01-19,60.6146
2023-01-20,60.855
2023-01-21,60.855
2023-01-22,60.855
2023-01-23,61.8282
2023-01-24,61.9334
2023-01-25,61.1039
2023-01-26,61.2192
2023-01-27,62.5605
2023-01-28,62.5605
2023-01-29,62.5605
2023-01-30,60.1458
2023-01-31,61.9064
2023-02-01,62.1273
2023-02-02,59.3646
2023-02-03,56.7856
2023-02-04,56.7856
2023-02-05,56.7856
2023-02-06,57.2977
2023-02-07,57.6854
2023-02-08,56.5994
2023-02-09,58.3228
2023-02-10,55.9336
2023-02-11,55.9336
2023-02-12,55.9336
2023-02-13,57.8345
2023-02-14,58.4269
2023-02-15,55.4599
2023-02-16,52.4781
2023-02-17,51.923
2023-02-18,51.923
2023-02-19,51.923
2023-02-20,51.923
2023-02-21,49.9448
2023-02-22,50.97
2023-02-23,51.44
2023-02-24,50.1056
2023-02-25,50.1056
2023-02-26,50.1056
2023-02-27,52.1712
2023-02-28,55.2623
2023-03-01,54.9821
2023-03-02,56.5562
2023-03-03,58.7098
2023-03-04,58.7098
2023-03-05,58.7098
2023-03-06,60.0913
2023-03-07,59.2485
2023-03-08,58.8622
2023-03-09,56.1283
2023-03-10,52.0152
2023-03-11,52.0152
2023-03-12,52.0152
2023-03-13,51.126
2023-03-14,54.3284
2023-03-15,49.8505
2023-03-16,52.907
