,MXL US Equity
,RSI_30D
2020-10-15,53.0086
2020-10-16,51.258
2020-10-17,51.258
2020-10-18,51.258
2020-10-19,51.3788
2020-10-20,50.3462
2020-10-21,49.0708
2020-10-22,57.5524
2020-10-23,60.1626
2020-10-24,60.1626
2020-10-25,60.1626
2020-10-26,58.7451
2020-10-27,56.0442
2020-10-28,52.54
2020-10-29,55.8629
2020-10-30,55.4949
2020-10-31,55.4949
2020-11-01,55.4949
2020-11-02,57.2
2020-11-03,59.139
2020-11-04,60.6781
2020-11-05,63.434
2020-11-06,57.9989
2020-11-07,57.9989
2020-11-08,57.9989
2020-11-09,51.9846
2020-11-10,53.278
2020-11-11,55.1713
2020-11-12,53.5288
2020-11-13,53.7695
2020-11-14,53.7695
2020-11-15,53.7695
2020-11-16,54.4406
2020-11-17,55.0543
2020-11-18,54.4474
2020-11-19,56.6121
2020-11-20,58.1785
2020-11-21,58.1785
2020-11-22,58.1785
2020-11-23,60.6407
2020-11-24,60.3663
2020-11-25,60.3381
2020-11-26,60.3381
2020-11-27,60.7935
2020-11-28,60.7935
2020-11-29,60.7935
2020-11-30,61.8508
2020-12-01,61.2406
2020-12-02,61.5545
2020-12-03,61.8342
2020-12-04,65.1338
2020-12-05,65.1338
2020-12-06,65.1338
2020-12-07,64.6737
2020-12-08,63.6439
2020-12-09,58.9457
2020-12-10,58.9157
2020-12-11,57.0537
2020-12-12,57.0537
2020-12-13,57.0537
2020-12-14,56.4582
2020-12-15,59.0865
2020-12-16,58.8395
2020-12-17,62.5262
2020-12-18,63.7623
2020-12-19,63.7623
2020-12-20,63.7623
2020-12-21,64.9061
2020-12-22,66.4469
2020-12-23,67.337
2020-12-24,68.5054
2020-12-25,68.5054
2020-12-26,68.5054
2020-12-27,68.5054
2020-12-28,68.0912
2020-12-29,64.4943
2020-12-30,69.0194
2020-12-31,68.3265
2021-01-01,68.3265
2021-01-02,68.3265
2021-01-03,68.3265
2021-01-04,61.5554
2021-01-05,62.8784
2021-01-06,61.3944
2021-01-07,63.9097
2021-01-08,62.7249
2021-01-09,62.7249
2021-01-10,62.7249
2021-01-11,63.6285
2021-01-12,62.6364
2021-01-13,61.2103
2021-01-14,62.0693
2021-01-15,57.7805
2021-01-16,57.7805
2021-01-17,57.7805
2021-01-18,57.7805
2021-01-19,60.0709
2021-01-20,58.187
2021-01-21,56.4532
2021-01-22,55.9913
2021-01-23,55.9913
2021-01-24,55.9913
2021-01-25,53.2177
2021-01-26,51.9659
2021-01-27,48.7926
2021-01-28,51.6594
2021-01-29,47.1662
2021-01-30,47.1662
2021-01-31,47.1662
2021-02-01,49.3543
2021-02-02,49.8081
2021-02-03,46.2311
2021-02-04,50.0932
2021-02-05,48.7
2021-02-06,48.7
2021-02-07,48.7
2021-02-08,50.9716
2021-02-09,50.2294
2021-02-10,53.4382
2021-02-11,56.807
2021-02-12,57.1962
2021-02-13,57.1962
2021-02-14,57.1962
2021-02-15,57.1962
2021-02-16,58.9054
2021-02-17,56.3183
2021-02-18,54.8502
2021-02-19,58.0229
2021-02-20,58.0229
2021-02-21,58.0229
2021-02-22,61.4924
2021-02-23,59.6194
2021-02-24,63.4861
2021-02-25,56.3921
2021-02-26,57.1694
2021-02-27,57.1694
2021-02-28,57.1694
2021-03-01,58.7267
2021-03-02,54.8778
2021-03-03,51.9789
2021-03-04,47.9461
2021-03-05,48.6548
2021-03-06,48.6548
2021-03-07,48.6548
2021-03-08,45.8336
2021-03-09,47.8739
2021-03-10,48.1755
2021-03-11,52.1825
2021-03-12,51.2281
2021-03-13,51.2281
2021-03-14,51.2281
2021-03-15,52.3461
2021-03-16,54.1242
2021-03-17,54.7787
2021-03-18,51.286
2021-03-19,51.8297
2021-03-20,51.8297
2021-03-21,51.8297
2021-03-22,51.0569
2021-03-23,48.1728
2021-03-24,46.2492
2021-03-25,46.2375
2021-03-26,48.2451
2021-03-27,48.2451
2021-03-28,48.2451
2021-03-29,46.4624
2021-03-30,47.2173
2021-03-31,49.0287
2021-04-01,52.1594
2021-04-02,52.1594
2021-04-03,52.1594
2021-04-04,52.1594
2021-04-05,51.9323
2021-04-06,50.5919
2021-04-07,49.8203
2021-04-08,51.1621
2021-04-09,50.8418
2021-04-10,50.8418
2021-04-11,50.8418
2021-04-12,50.6991
2021-04-13,51.2232
2021-04-14,52.2314
2021-04-15,53.6143
2021-04-16,54.6433
2021-04-17,54.6433
2021-04-18,54.6433
2021-04-19,52.23
2021-04-20,49.6606
2021-04-21,52.4618
2021-04-22,51.6657
2021-04-23,53.8396
2021-04-24,53.8396
2021-04-25,53.8396
2021-04-26,55.793
2021-04-27,55.3756
2021-04-28,53.884
2021-04-29,54.2132
2021-04-30,50.0683
2021-05-01,50.0683
2021-05-02,50.0683
2021-05-03,49.9948
2021-05-04,48.9104
2021-05-05,48.8204
2021-05-06,47.8931
2021-05-07,50.7186
2021-05-08,50.7186
2021-05-09,50.7186
2021-05-10,46.8913
2021-05-11,47.1779
2021-05-12,44.4877
2021-05-13,45.5582
2021-05-14,47.6778
2021-05-15,47.6778
2021-05-16,47.6778
2021-05-17,47.5039
2021-05-18,47.3253
2021-05-19,48.5428
2021-05-20,50.7682
2021-05-21,50.7841
2021-05-22,50.7841
2021-05-23,50.7841
2021-05-24,51.2256
2021-05-25,51.6576
2021-05-26,52.8215
2021-05-27,54.2064
2021-05-28,54.418
2021-05-29,54.418
2021-05-30,54.418
2021-05-31,54.418
2021-06-01,55.2413
2021-06-02,54.8519
2021-06-03,52.1686
2021-06-04,54.1429
2021-06-05,54.1429
2021-06-06,54.1429
2021-06-07,53.2847
2021-06-08,54.6843
2021-06-09,53.1192
2021-06-10,54.4503
2021-06-11,56.709
2021-06-12,56.709
2021-06-13,56.709
2021-06-14,58.9992
2021-06-15,58.3046
2021-06-16,56.6865
2021-06-17,55.9794
2021-06-18,53.5703
2021-06-19,53.5703
2021-06-20,53.5703
2021-06-21,53.785
2021-06-22,53.6994
2021-06-23,55.7751
2021-06-24,58.2545
2021-06-25,58.2314
2021-06-26,58.2314
2021-06-27,58.2314
2021-06-28,59.0225
2021-06-29,59.9247
2021-06-30,59.9922
2021-07-01,57.3445
2021-07-02,58.731
2021-07-03,58.731
2021-07-04,58.731
2021-07-05,58.731
2021-07-06,60.1234
2021-07-07,57.1205
2021-07-08,55.4759
2021-07-09,57.7244
2021-07-10,57.7244
2021-07-11,57.7244
2021-07-12,58.1269
2021-07-13,56.7419
2021-07-14,57.0944
2021-07-15,53.6879
2021-07-16,51.5946
2021-07-17,51.5946
2021-07-18,51.5946
2021-07-19,50.4685
2021-07-20,54.6436
2021-07-21,57.362
2021-07-22,55.177
2021-07-23,55.9484
2021-07-24,55.9484
2021-07-25,55.9484
2021-07-26,56.3021
2021-07-27,53.5027
2021-07-28,56.2024
2021-07-29,63.7925
2021-07-30,63.8908
2021-07-31,63.8908
2021-08-01,63.8908
2021-08-02,64.1924
2021-08-03,65.0358
2021-08-04,66.6374
2021-08-05,68.62
2021-08-06,64.7738
2021-08-07,64.7738
2021-08-08,64.7738
2021-08-09,63.5597
2021-08-10,63.6101
2021-08-11,64.9635
2021-08-12,64.2087
2021-08-13,62.7237
2021-08-14,62.7237
2021-08-15,62.7237
2021-08-16,63.3311
2021-08-17,59.4768
2021-08-18,60.0582
2021-08-19,59.4844
2021-08-20,60.255
2021-08-21,60.255
2021-08-22,60.255
2021-08-23,62.9029
2021-08-24,61.7752
2021-08-25,63.9062
2021-08-26,61.7379
2021-08-27,63.8483
2021-08-28,63.8483
2021-08-29,63.8483
2021-08-30,63.6873
2021-08-31,62.0233
2021-09-01,62.3484
2021-09-02,64.7252
2021-09-03,65.3586
2021-09-04,65.3586
2021-09-05,65.3586
2021-09-06,65.3586
2021-09-07,62.8337
2021-09-08,60.8603
2021-09-09,61.2265
2021-09-10,59.3872
2021-09-11,59.3872
2021-09-12,59.3872
2021-09-13,60.7297
2021-09-14,58.9432
2021-09-15,58.7369
2021-09-16,58.9187
2021-09-17,56.0623
2021-09-18,56.0623
2021-09-19,56.0623
2021-09-20,53.0963
2021-09-21,51.8332
