,TPL US Equity
2020-05-11,49.2685
2020-05-12,49.5862
2020-05-13,48.573
2020-05-14,49.2928
2020-05-15,49.6791
2020-05-16,49.6791
2020-05-17,49.6791
2020-05-18,52.1757
2020-05-19,51.9459
2020-05-20,54.7455
2020-05-21,54.1428
2020-05-22,53.9059
2020-05-23,53.9059
2020-05-24,53.9059
2020-05-25,53.9059
2020-05-26,54.8989
2020-05-27,54.876
2020-05-28,56.0229
2020-05-29,54.4536
2020-05-30,54.4536
2020-05-31,54.4536
2020-06-01,55.2215
2020-06-02,56.7147
2020-06-03,57.389
2020-06-04,57.8268
2020-06-05,61.0857
2020-06-06,61.0857
2020-06-07,61.0857
2020-06-08,63.9661
2020-06-09,59.5442
2020-06-10,57.3127
2020-06-11,50.7841
2020-06-12,54.7403
2020-06-13,54.7403
2020-06-14,54.7403
2020-06-15,54.6146
2020-06-16,55.7737
2020-06-17,54.2983
2020-06-18,53.3785
2020-06-19,54.0979
2020-06-20,54.0979
2020-06-21,54.0979
2020-06-22,53.1757
2020-06-23,51.8714
2020-06-24,49.3972
2020-06-25,50.4701
2020-06-26,49.3999
2020-06-27,49.3999
2020-06-28,49.3999
2020-06-29,49.2093
2020-06-30,51.4444
2020-07-01,49.9437
2020-07-02,49.8504
2020-07-03,49.8504
2020-07-04,49.8504
2020-07-05,49.8504
2020-07-06,49.1546
2020-07-07,47.2881
2020-07-08,48.415
2020-07-09,46.7231
2020-07-10,47.1803
2020-07-11,47.1803
2020-07-12,47.1803
2020-07-13,46.2512
2020-07-14,51.062
2020-07-15,52.125
2020-07-16,50.714
2020-07-17,51.0286
2020-07-18,51.0286
2020-07-19,51.0286
2020-07-20,49.9527
2020-07-21,50.6558
2020-07-22,49.8087
2020-07-23,49.2855
2020-07-24,48.3662
2020-07-25,48.3662
2020-07-26,48.3662
2020-07-27,47.8385
2020-07-28,47.2006
2020-07-29,48.7315
2020-07-30,47.9108
2020-07-31,45.6033
2020-08-01,45.6033
2020-08-02,45.6033
2020-08-03,46.4685
2020-08-04,49.3731
2020-08-05,53.402
2020-08-06,50.6201
2020-08-07,51.3615
2020-08-08,51.3615
2020-08-09,51.3615
2020-08-10,52.9069
2020-08-11,51.6838
2020-08-12,51.8767
2020-08-13,51.7562
2020-08-14,52.9754
2020-08-15,52.9754
2020-08-16,52.9754
2020-08-17,52.5685
2020-08-18,51.3922
2020-08-19,49.5315
2020-08-20,48.0391
2020-08-21,47.2285
2020-08-22,47.2285
2020-08-23,47.2285
2020-08-24,46.1374
2020-08-25,46.4172
2020-08-26,46.1332
2020-08-27,45.518
2020-08-28,44.7645
2020-08-29,44.7645
2020-08-30,44.7645
2020-08-31,44.1656
2020-09-01,45.7086
2020-09-02,45.8757
2020-09-03,44.5007
2020-09-04,42.4139
2020-09-05,42.4139
2020-09-06,42.4139
2020-09-07,42.4139
2020-09-08,40.4482
2020-09-09,42.8652
2020-09-10,39.7193
2020-09-11,39.4097
2020-09-12,39.4097
2020-09-13,39.4097
2020-09-14,39.8928
2020-09-15,37.9877
2020-09-16,37.4514
2020-09-17,37.6069
2020-09-18,37.4468
2020-09-19,37.4468
2020-09-20,37.4468
2020-09-21,37.7478
2020-09-22,38.0307
2020-09-23,35.7763
2020-09-24,38.7574
2020-09-25,38.0397
2020-09-26,38.0397
2020-09-27,38.0397
2020-09-28,40.0394
2020-09-29,38.8728
2020-09-30,38.8107
2020-10-01,38.6371
2020-10-02,38.3629
2020-10-03,38.3629
2020-10-04,38.3629
2020-10-05,39.8372
2020-10-06,40.9032
2020-10-07,43.4896
2020-10-08,45.7512
2020-10-09,43.004
2020-10-10,43.004
2020-10-11,43.004
2020-10-12,44.0375
2020-10-13,42.2242
2020-10-14,43.2738
2020-10-15,46.3599
2020-10-16,44.5273
2020-10-17,44.5273
2020-10-18,44.5273
2020-10-19,45.0108
2020-10-20,44.6953
2020-10-21,43.6105
2020-10-22,46.7222
2020-10-23,46.5262
2020-10-24,46.5262
2020-10-25,46.5262
2020-10-26,45.6927
2020-10-27,44.0944
2020-10-28,41.9656
2020-10-29,44.9971
2020-10-30,42.8238
2020-10-31,42.8238
2020-11-01,42.8238
2020-11-02,45.6938
2020-11-03,48.9645
2020-11-04,47.4536
2020-11-05,52.6111
2020-11-06,51.1254
2020-11-07,51.1254
2020-11-08,51.1254
2020-11-09,60.7256
2020-11-10,57.8462
2020-11-11,55.5787
2020-11-12,55.1491
2020-11-13,56.596
2020-11-14,56.596
2020-11-15,56.596
2020-11-16,59.7978
2020-11-17,60.2884
2020-11-18,59.4471
2020-11-19,58.7632
2020-11-20,59.0143
2020-11-21,59.0143
2020-11-22,59.0143
2020-11-23,61.8541
2020-11-24,64.4568
2020-11-25,62.1321
2020-11-26,62.1321
2020-11-27,57.9687
2020-11-28,57.9687
2020-11-29,57.9687
2020-11-30,60.0405
2020-12-01,60.4349
2020-12-02,61.037
2020-12-03,62.9517
2020-12-04,65.4932
2020-12-05,65.4932
2020-12-06,65.4932
2020-12-07,65.4034
2020-12-08,65.6268
2020-12-09,66.558
2020-12-10,68.2307
2020-12-11,68.0524
2020-12-12,68.0524
2020-12-13,68.0524
2020-12-14,66.6392
2020-12-15,68.0135
2020-12-16,69.6235
2020-12-17,69.9093
2020-12-18,71.2278
2020-12-19,71.2278
2020-12-20,71.2278
2020-12-21,68.3073
2020-12-22,64.1706
2020-12-23,64.0069
2020-12-24,62.8462
2020-12-25,62.8462
2020-12-26,62.8462
2020-12-27,62.8462
2020-12-28,63.0443
2020-12-29,61.6935
2020-12-30,65.3174
2020-12-31,65.6328
2021-01-01,65.6328
2021-01-02,65.6328
2021-01-03,65.6328
2021-01-04,68.1558
2021-01-05,71.0179
2021-01-06,70.6794
2021-01-07,68.2424
2021-01-08,69.9128
2021-01-09,69.9128
2021-01-10,69.9128
2021-01-11,74.2181
2021-01-12,74.8374
2021-01-13,67.9187
2021-01-14,69.1673
2021-01-15,67.386
2021-01-16,67.386
2021-01-17,67.386
2021-01-18,67.386
2021-01-19,67.9038
2021-01-20,67.2698
2021-01-21,62.7758
2021-01-22,63.6322
2021-01-23,63.6322
2021-01-24,63.6322
2021-01-25,63.7601
2021-01-26,64.4447
2021-01-27,60.8744
2021-01-28,63.1493
2021-01-29,62.7887
2021-01-30,62.7887
2021-01-31,62.7887
2021-02-01,62.9283
2021-02-02,64.7881
2021-02-03,68.0855
2021-02-04,71.3412
2021-02-05,72.95
2021-02-06,72.95
2021-02-07,72.95
2021-02-08,74.2331
2021-02-09,73.1278
2021-02-10,75.5808
2021-02-11,75.9591
2021-02-12,77.7277
2021-02-13,77.7277
2021-02-14,77.7277
2021-02-15,77.7277
2021-02-16,79.2914
2021-02-17,76.6125
2021-02-18,72.6946
2021-02-19,72.598
2021-02-20,72.598
2021-02-21,72.598
2021-02-22,71.533
2021-02-23,72.1935
2021-02-24,73.5231
2021-02-25,69.8105
2021-02-26,68.9199
2021-02-27,68.9199
2021-02-28,68.9199
2021-03-01,69.1146
2021-03-02,67.9999
2021-03-03,71.0103
2021-03-04,71.8397
2021-03-05,73.0823
2021-03-06,73.0823
2021-03-07,73.0823
2021-03-08,75.4284
2021-03-09,76.3203
2021-03-10,78.8489
2021-03-11,80.4082
2021-03-12,80.9836
2021-03-13,80.9836
2021-03-14,80.9836
2021-03-15,83.6993
2021-03-16,83.272
2021-03-17,85.9274
2021-03-18,72.9583
2021-03-19,76.0461
2021-03-20,76.0461
2021-03-21,76.0461
2021-03-22,70.3498
2021-03-23,62.1182
2021-03-24,63.7934
2021-03-25,65.0084
2021-03-26,66.1917
2021-03-27,66.1917
2021-03-28,66.1917
2021-03-29,61.4403
2021-03-30,63.2563
2021-03-31,64.4202
2021-04-01,64.6894
2021-04-02,64.6894
2021-04-03,64.6894
2021-04-04,64.6894
2021-04-05,64.1191
2021-04-06,64.3223
2021-04-07,64.792
2021-04-08,64.6744
2021-04-09,64.0365
2021-04-10,64.0365
2021-04-11,64.0365
2021-04-12,64.0422
2021-04-13,60.9714
2021-04-14,63.2556
2021-04-15,61.2656
2021-04-16,61.4537
2021-04-17,61.4537
2021-04-18,61.4537
2021-04-19,59.7019
2021-04-20,55.9035
2021-04-21,55.3912
2021-04-22,55.7852
2021-04-23,56.0059
2021-04-24,56.0059
2021-04-25,56.0059
2021-04-26,59.7831
2021-04-27,60.7443
2021-04-28,62.4948
2021-04-29,58.3282
2021-04-30,56.6915
2021-05-01,56.6915
2021-05-02,56.6915
2021-05-03,59.0311
2021-05-04,59.9839
2021-05-05,61.9843
2021-05-06,57.6038
2021-05-07,61.9111
2021-05-08,61.9111
2021-05-09,61.9111
2021-05-10,61.7914
2021-05-11,60.7667
2021-05-12,59.0122
2021-05-13,57.6235
2021-05-14,58.61
2021-05-15,58.61
2021-05-16,58.61
2021-05-17,56.9184
2021-05-18,53.6372
2021-05-19,51.3995
2021-05-20,52.6624
2021-05-21,52.2643
2021-05-22,52.2643
2021-05-23,52.2643
2021-05-24,50.9277
2021-05-25,50.1248
2021-05-26,49.4258
2021-05-27,49.3127
2021-05-28,48.7941
2021-05-29,48.7941
2021-05-30,48.7941
2021-05-31,48.7941
2021-06-01,50.7502
2021-06-02,50.3851
2021-06-03,49.4832
2021-06-04,50.2138
2021-06-05,50.2138
2021-06-06,50.2138
2021-06-07,51.2603
2021-06-08,52.4023
2021-06-09,51.8751
2021-06-10,50.421
2021-06-11,52.1774
2021-06-12,52.1774
2021-06-13,52.1774
2021-06-14,50.6157
2021-06-15,52.5222
2021-06-16,53.6158
2021-06-17,50.9343
2021-06-18,51.2627
2021-06-19,51.2627
2021-06-20,51.2627
2021-06-21,54.6698
2021-06-22,54.4922
2021-06-23,55.2714
2021-06-24,53.7713
2021-06-25,53.5774
2021-06-26,53.5774
2021-06-27,53.5774
2021-06-28,52.3323
2021-06-29,52.7109
2021-06-30,54.6022
2021-07-01,55.3628
2021-07-02,54.0342
2021-07-03,54.0342
2021-07-04,54.0342
2021-07-05,54.0342
2021-07-06,51.5738
2021-07-07,47.9806
2021-07-08,47.0448
2021-07-09,49.6711
2021-07-10,49.6711
2021-07-11,49.6711
2021-07-12,51.4614
2021-07-13,50.5452
2021-07-14,48.0182
2021-07-15,46.8472
2021-07-16,45.0918
2021-07-17,45.0918
2021-07-18,45.0918
2021-07-19,44.2988
2021-07-20,49.2567
2021-07-21,50.8334
2021-07-22,50.072
2021-07-23,49.6369
2021-07-24,49.6369
2021-07-25,49.6369
2021-07-26,49.443
2021-07-27,46.7906
2021-07-28,48.9252
2021-07-29,47.928
2021-07-30,49.4957
2021-07-31,49.4957
2021-08-01,49.4957
2021-08-02,48.7914
2021-08-03,49.1276
2021-08-04,47.1058
2021-08-05,48.416
2021-08-06,49.007
2021-08-07,49.007
2021-08-08,49.007
2021-08-09,49.3726
2021-08-10,50.4531
2021-08-11,49.659
2021-08-12,50.6722
2021-08-13,49.1719
2021-08-14,49.1719
2021-08-15,49.1719
2021-08-16,47.2049
2021-08-17,45.8722
2021-08-18,42.9672
2021-08-19,40.7935
2021-08-20,41.3625
2021-08-21,41.3625
2021-08-22,41.3625
2021-08-23,43.4634
2021-08-24,45.3014
2021-08-25,46.8414
2021-08-26,44.9234
2021-08-27,47.0465
2021-08-28,47.0465
2021-08-29,47.0465
2021-08-30,47.072
2021-08-31,44.0934
2021-09-01,43.8413
2021-09-02,42.4555
2021-09-03,40.8718
2021-09-04,40.8718
2021-09-05,40.8718
2021-09-06,40.8718
2021-09-07,37.5004
2021-09-08,37.9491
2021-09-09,38.0717
2021-09-10,37.8072
2021-09-11,37.8072
2021-09-12,37.8072
2021-09-13,39.4322
2021-09-14,38.1177
2021-09-15,40.9108
2021-09-16,40.4066
2021-09-17,44.4861
2021-09-18,44.4861
2021-09-19,44.4861
2021-09-20,41.5664
2021-09-21,42.1025
2021-09-22,43.2331
2021-09-23,45.8812
2021-09-24,45.5758
2021-09-25,45.5758
2021-09-26,45.5758
2021-09-27,49.6859
2021-09-28,47.9358
2021-09-29,43.0275
2021-09-30,41.5909
2021-10-01,39.9839
2021-10-02,39.9839
2021-10-03,39.9839
2021-10-04,39.0723
2021-10-05,41.2413
2021-10-06,40.2299
2021-10-07,41.7646
2021-10-08,43.5203
2021-10-09,43.5203
2021-10-10,43.5203
2021-10-11,42.7734
2021-10-12,41.8961
2021-10-13,42.8967
2021-10-14,44.2171
2021-10-15,44.717
2021-10-16,44.717
2021-10-17,44.717
2021-10-18,44.8956
2021-10-19,46.7414
2021-10-20,47.9634
2021-10-21,46.1965
2021-10-22,47.8552
2021-10-23,47.8552
2021-10-24,47.8552
2021-10-25,49.644
2021-10-26,50.1356
2021-10-27,46.5666
2021-10-28,47.8571
2021-10-29,48.58
2021-10-30,48.58
2021-10-31,48.58
2021-11-01,51.0889
2021-11-02,49.4416
2021-11-03,48.6268
2021-11-04,46.5627
2021-11-05,54.098
2021-11-06,54.098
2021-11-07,54.098
2021-11-08,55.015
2021-11-09,56.8221
2021-11-10,51.9452
2021-11-11,51.951
2021-11-12,49.5294
2021-11-13,49.5294
2021-11-14,49.5294
2021-11-15,49.4526
2021-11-16,49.5225
2021-11-17,47.3743
2021-11-18,48.7201
2021-11-19,46.8125
2021-11-20,46.8125
2021-11-21,46.8125
2021-11-22,47.3004
2021-11-23,49.957
2021-11-24,50.5147
2021-11-25,50.5147
2021-11-26,46.8623
2021-11-27,46.8623
2021-11-28,46.8623
2021-11-29,48.0681
2021-11-30,45.1937
2021-12-01,43.7816
2021-12-02,46.1795
2021-12-03,45.4687
2021-12-04,45.4687
2021-12-05,45.4687
2021-12-06,48.8839
2021-12-07,52.2951
2021-12-08,50.3077
2021-12-09,49.1532
2021-12-10,49.2426
2021-12-11,49.2426
2021-12-12,49.2426
2021-12-13,48.0295
2021-12-14,47.258
2021-12-15,47.5762
2021-12-16,47.4725
2021-12-17,45.911
2021-12-18,45.911
2021-12-19,45.911
2021-12-20,46.1229
2021-12-21,49.4082
2021-12-22,47.5664
2021-12-23,48.1847
2021-12-24,48.1847
2021-12-25,48.1847
2021-12-26,48.1847
2021-12-27,50.884
2021-12-28,49.6457
2021-12-29,48.9524
2021-12-30,48.5988
2021-12-31,48.7905
2022-01-01,48.7905
2022-01-02,48.7905
2022-01-03,50.4609
2022-01-04,51.676
2022-01-05,49.2927
2022-01-06,49.348
2022-01-07,49.4999
2022-01-08,49.4999
2022-01-09,49.4999
2022-01-10,46.4069
2022-01-11,47.028
2022-01-12,47.2038
2022-01-13,41.4347
2022-01-14,40.5747
2022-01-15,40.5747
2022-01-16,40.5747
2022-01-17,40.5747
2022-01-18,38.3091
2022-01-19,37.9171
2022-01-20,35.6058
2022-01-21,35.2674
2022-01-22,35.2674
2022-01-23,35.2674
2022-01-24,38.2121
2022-01-25,38.6286
2022-01-26,37.5897
2022-01-27,36.7837
2022-01-28,39.0488
2022-01-29,39.0488
2022-01-30,39.0488
2022-01-31,42.2235
2022-02-01,45.6686
2022-02-02,45.2048
2022-02-03,43.7948
2022-02-04,43.9839
2022-02-05,43.9839
2022-02-06,43.9839
2022-02-07,43.0046
2022-02-08,42.2451
2022-02-09,42.5266
2022-02-10,43.2947
2022-02-11,45.6658
2022-02-12,45.6658
2022-02-13,45.6658
2022-02-14,42.7913
2022-02-15,41.2621
2022-02-16,40.4656
2022-02-17,39.5704
2022-02-18,39.6501
2022-02-19,39.6501
2022-02-20,39.6501
2022-02-21,39.6501
2022-02-22,39.2668
2022-02-23,40.4558
2022-02-24,47.5728
2022-02-25,45.4601
2022-02-26,45.4601
2022-02-27,45.4601
2022-02-28,53.5503
2022-03-01,54.514
2022-03-02,56.5518
2022-03-03,55.4765
2022-03-04,59.1993
2022-03-05,59.1993
2022-03-06,59.1993
2022-03-07,58.5372
2022-03-08,58.4399
2022-03-09,58.469
2022-03-10,58.8612
2022-03-11,60.0949
2022-03-12,60.0949
2022-03-13,60.0949
2022-03-14,57.5969
2022-03-15,54.5988
2022-03-16,56.4056
2022-03-17,60.5732
2022-03-18,60.0552
2022-03-19,60.0552
2022-03-20,60.0552
2022-03-21,62.2929
2022-03-22,61.8239
2022-03-23,63.2329
2022-03-24,62.5974
2022-03-25,64.5363
2022-03-26,64.5363
2022-03-27,64.5363
2022-03-28,60.5276
2022-03-29,61.8813
2022-03-30,62.762
2022-03-31,55.9794
2022-04-01,59.1951
2022-04-02,59.1951
2022-04-03,59.1951
2022-04-04,61.6215
2022-04-05,57.8405
2022-04-06,57.6041
2022-04-07,58.3565
2022-04-08,58.077
2022-04-09,58.077
2022-04-10,58.077
2022-04-11,55.8748
2022-04-12,56.6298
2022-04-13,59.0246
2022-04-14,59.1906
2022-04-15,59.1906
2022-04-16,59.1906
2022-04-17,59.1906
2022-04-18,60.382
2022-04-19,59.6823
2022-04-20,60.9442
2022-04-21,56.1351
2022-04-22,52.9363
2022-04-23,52.9363
2022-04-24,52.9363
2022-04-25,52.5509
2022-04-26,50.4523
2022-04-27,50.3672
2022-04-28,52.706
2022-04-29,52.1559
2022-04-30,52.1559
2022-05-01,52.1559
2022-05-02,51.6163
2022-05-03,52.8727
2022-05-04,55.2517
2022-05-05,53.9454
2022-05-06,54.9895
2022-05-07,54.9895
2022-05-08,54.9895
2022-05-09,47.7715
2022-05-10,48.8083
2022-05-11,46.7658
2022-05-12,47.8882
2022-05-13,50.8968
2022-05-14,50.8968
2022-05-15,50.8968
2022-05-16,51.7871
2022-05-17,53.2784
2022-05-18,50.8234
2022-05-19,50.9407
2022-05-20,51.7808
2022-05-21,51.7808
2022-05-22,51.7808
2022-05-23,53.5602
2022-05-24,54.5811
2022-05-25,57.4695
2022-05-26,59.2563
2022-05-27,61.2334
2022-05-28,61.2334
2022-05-29,61.2334
2022-05-30,61.2334
2022-05-31,60.7135
2022-06-01,62.0362
2022-06-02,63.4291
2022-06-03,65.1455
2022-06-04,65.1455
2022-06-05,65.1455
2022-06-06,65.2913
2022-06-07,68.3932
2022-06-08,66.5384
2022-06-09,66.5094
2022-06-10,66.0351
2022-06-11,66.0351
2022-06-12,66.0351
2022-06-13,58.7691
2022-06-14,60.1304
2022-06-15,59.3692
2022-06-16,55.1522
2022-06-17,50.2327
2022-06-18,50.2327
2022-06-19,50.2327
2022-06-20,50.2327
2022-06-21,54.0524
2022-06-22,50.1123
2022-06-23,50.1606
2022-06-24,52.8188
2022-06-25,52.8188
2022-06-26,52.8188
2022-06-27,53.5923
2022-06-28,57.2448
2022-06-29,51.5792
2022-06-30,50.8505
2022-07-01,52.3762
2022-07-02,52.3762
2022-07-03,52.3762
2022-07-04,52.3762
2022-07-05,49.9616
2022-07-06,49.0505
2022-07-07,52.4572
2022-07-08,52.8375
2022-07-09,52.8375
2022-07-10,52.8375
2022-07-11,53.0163
2022-07-12,53.0753
2022-07-13,55.0677
2022-07-14,56.9494
2022-07-15,57.5548
2022-07-16,57.5548
2022-07-17,57.5548
2022-07-18,58.493
2022-07-19,59.9985
2022-07-20,62.5295
2022-07-21,59.6014
2022-07-22,57.9284
2022-07-23,57.9284
2022-07-24,57.9284
2022-07-25,59.6327
2022-07-26,59.7486
2022-07-27,61.5959
2022-07-28,61.6473
2022-07-29,61.7608
2022-07-30,61.7608
2022-07-31,61.7608
2022-08-01,61.0982
2022-08-02,61.1101
2022-08-03,58.1481
2022-08-04,51.8585
2022-08-05,52.4934
2022-08-06,52.4934
2022-08-07,52.4934
2022-08-08,54.6843
2022-08-09,54.6867
2022-08-10,55.4685
2022-08-11,56.0531
2022-08-12,52.6562
2022-08-13,52.6562
2022-08-14,52.6562
2022-08-15,53.1245
2022-08-16,51.7378
2022-08-17,54.5889
2022-08-18,57.1777
2022-08-19,53.7948
2022-08-20,53.7948
2022-08-21,53.7948
2022-08-22,54.5459
2022-08-23,55.8392
2022-08-24,57.4431
2022-08-25,56.0491
2022-08-26,57.8661
2022-08-27,57.8661
2022-08-28,57.8661
2022-08-29,58.5347
2022-08-30,52.1007
2022-08-31,56.6043
2022-09-01,54.4327
2022-09-02,57.6863
2022-09-03,57.6863
2022-09-04,57.6863
2022-09-05,57.6863
2022-09-06,56.4632
2022-09-07,55.5444
2022-09-08,54.4007
2022-09-09,54.9464
2022-09-10,54.9464
2022-09-11,54.9464
2022-09-12,55.1037
2022-09-13,51.8469
2022-09-14,55.6703
2022-09-15,52.029
2022-09-16,52.2402
2022-09-17,52.2402
2022-09-18,52.2402
2022-09-19,53.7697
2022-09-20,53.8446
2022-09-21,52.0064
2022-09-22,52.2283
2022-09-23,46.9069
2022-09-24,46.9069
2022-09-25,46.9069
2022-09-26,46.4387
2022-09-27,48.7776
2022-09-28,51.7573
2022-09-29,52.1563
2022-09-30,52.1376
2022-10-01,52.1376
2022-10-02,52.1376
2022-10-03,55.2794
2022-10-04,58.5748
2022-10-05,59.8546
2022-10-06,60.1783
2022-10-07,58.2818
2022-10-08,58.2818
2022-10-09,58.2818
2022-10-10,58.9025
2022-10-11,60.5829
2022-10-12,60.5191
2022-10-13,61.8031
2022-10-14,57.5638
2022-10-15,57.5638
2022-10-16,57.5638
2022-10-17,58.8449
2022-10-18,58.9824
2022-10-19,60.3201
2022-10-20,58.3529
2022-10-21,61.053
2022-10-22,61.053
2022-10-23,61.053
2022-10-24,61.9925
2022-10-25,57.418
2022-10-26,59.9253
2022-10-27,62.0341
2022-10-28,64.2992
2022-10-29,64.2992
2022-10-30,64.2992
2022-10-31,63.6345
2022-11-01,64.5869
2022-11-02,63.9911
2022-11-03,65.6381
2022-11-04,69.3758
2022-11-05,69.3758
2022-11-06,69.3758
2022-11-07,72.1148
2022-11-08,71.1233
2022-11-09,67.6549
2022-11-10,69.0845
2022-11-11,68.6669
2022-11-12,68.6669
2022-11-13,68.6669
2022-11-14,67.1298
2022-11-15,68.3479
2022-11-16,65.2716
2022-11-17,65.7152
2022-11-18,66.9355
2022-11-19,66.9355
2022-11-20,66.9355
2022-11-21,60.1165
2022-11-22,62.5628
2022-11-23,60.4595
2022-11-24,60.4595
2022-11-25,61.0561
2022-11-26,61.0561
2022-11-27,61.0561
2022-11-28,57.6842
2022-11-29,57.7369
2022-11-30,59.8017
2022-12-01,58.6242
2022-12-02,59.6401
2022-12-03,59.6401
2022-12-04,59.6401
2022-12-05,57.4798
2022-12-06,55.3188
2022-12-07,54.285
2022-12-08,53.4709
2022-12-09,52.4167
2022-12-10,52.4167
2022-12-11,52.4167
2022-12-12,56.1625
2022-12-13,57.5933
2022-12-14,58.0656
2022-12-15,59.4357
2022-12-16,55.0501
2022-12-17,55.0501
2022-12-18,55.0501
2022-12-19,53.7254
2022-12-20,55.0353
2022-12-21,56.9736
2022-12-22,52.6394
2022-12-23,53.9079
2022-12-24,53.9079
2022-12-25,53.9079
2022-12-26,53.9079
2022-12-27,53.0502
2022-12-28,49.1346
2022-12-29,48.8467
2022-12-30,49.2177
2022-12-31,49.2177
2023-01-01,49.2177
2023-01-02,49.2177
2023-01-03,43.141
2023-01-04,42.1277
2023-01-05,41.3137
2023-01-06,42.7889
2023-01-07,42.7889
2023-01-08,42.7889
2023-01-09,42.7047
2023-01-10,43.6334
2023-01-11,42.984
2023-01-12,43.8796
2023-01-13,44.3477
2023-01-14,44.3477
2023-01-15,44.3477
2023-01-16,44.3477
2023-01-17,44.3497
2023-01-18,43.1562
2023-01-19,44.0796
2023-01-20,44.2147
2023-01-21,44.2147
2023-01-22,44.2147
2023-01-23,43.2754
2023-01-24,43.5986
2023-01-25,44.1398
2023-01-26,44.4437
2023-01-27,43.0095
2023-01-28,43.0095
2023-01-29,43.0095
2023-01-30,41.2282
2023-01-31,41.5711
2023-02-01,40.2104
2023-02-02,39.7107
2023-02-03,43.0039
2023-02-04,43.0039
2023-02-05,43.0039
2023-02-06,40.1486
2023-02-07,43.2335
2023-02-08,40.6141
2023-02-09,40.0063
2023-02-10,41.9319
2023-02-11,41.9319
2023-02-12,41.9319
2023-02-13,41.2307
2023-02-14,42.4236
2023-02-15,41.501
2023-02-16,40.8005
2023-02-17,38.5074
2023-02-18,38.5074
2023-02-19,38.5074
2023-02-20,38.5074
2023-02-21,38.7413
2023-02-22,38.4198
2023-02-23,37.8482
2023-02-24,37.7723
2023-02-25,37.7723
2023-02-26,37.7723
2023-02-27,38.4144
2023-02-28,38.4471
2023-03-01,39.2366
2023-03-02,40.1617
2023-03-03,40.372
2023-03-04,40.372
2023-03-05,40.372
2023-03-06,40.6511
2023-03-07,39.1507
2023-03-08,39.0189
2023-03-09,38.062
2023-03-10,36.4463
2023-03-11,36.4463
2023-03-12,36.4463
2023-03-13,35.5424
2023-03-14,34.5807
2023-03-15,32.7705
2023-03-16,36.7897
2023-03-17,35.9066
