,RUTH US Equity
,RSI_30D
2020-10-04,55.017
2020-10-05,53.1208
2020-10-06,53.9637
2020-10-07,53.8582
2020-10-08,55.9508
2020-10-09,55.895
2020-10-10,55.895
2020-10-11,55.895
2020-10-12,57.6007
2020-10-13,55.4396
2020-10-14,55.1579
2020-10-15,55.4389
2020-10-16,54.7876
2020-10-17,54.7876
2020-10-18,54.7876
2020-10-19,56.7012
2020-10-20,57.077
2020-10-21,57.1251
2020-10-22,59.7839
2020-10-23,58.5323
2020-10-24,58.5323
2020-10-25,58.5323
2020-10-26,53.6968
2020-10-27,53.4654
2020-10-28,50.0627
2020-10-29,54.6625
2020-10-30,52.3285
2020-10-31,52.3285
2020-11-01,52.3285
2020-11-02,50.0667
2020-11-03,53.1834
2020-11-04,55.0046
2020-11-05,55.3044
2020-11-06,55.4361
2020-11-07,55.4361
2020-11-08,55.4361
2020-11-09,64.7166
2020-11-10,61.4941
2020-11-11,58.5728
2020-11-12,58.3378
2020-11-13,60.4082
2020-11-14,60.4082
2020-11-15,60.4082
2020-11-16,63.9394
2020-11-17,62.4509
2020-11-18,62.7977
2020-11-19,62.4002
2020-11-20,60.3264
2020-11-21,60.3264
2020-11-22,60.3264
2020-11-23,62.095
2020-11-24,66.4873
2020-11-25,64.4833
2020-11-26,64.4833
2020-11-27,65.105
2020-11-28,65.105
2020-11-29,65.105
2020-11-30,61.3988
2020-12-01,63.5962
2020-12-02,64.5385
2020-12-03,64.4918
2020-12-04,64.7031
2020-12-05,64.7031
2020-12-06,64.7031
2020-12-07,62.1223
2020-12-08,62.8323
2020-12-09,63.0045
2020-12-10,62.8539
2020-12-11,61.3866
2020-12-12,61.3866
2020-12-13,61.3866
2020-12-14,60.4801
2020-12-15,61.9028
2020-12-16,62.7231
2020-12-17,63.1961
2020-12-18,61.2661
2020-12-19,61.2661
2020-12-20,61.2661
2020-12-21,61.6364
2020-12-22,62.8393
2020-12-23,62.5575
2020-12-24,63.2397
2020-12-25,63.2397
2020-12-26,63.2397
2020-12-27,63.2397
2020-12-28,61.3323
2020-12-29,62.9103
2020-12-30,62.4999
2020-12-31,64.1256
2021-01-01,64.1256
2021-01-02,64.1256
2021-01-03,64.1256
2021-01-04,57.7352
2021-01-05,57.9965
2021-01-06,61.2208
2021-01-07,60.8491
2021-01-08,60.4693
2021-01-09,60.4693
2021-01-10,60.4693
2021-01-11,60.4136
2021-01-12,60.7874
2021-01-13,60.7281
2021-01-14,64.2637
2021-01-15,65.4141
2021-01-16,65.4141
2021-01-17,65.4141
2021-01-18,65.4141
2021-01-19,67.3114
2021-01-20,67.5828
2021-01-21,66.5038
2021-01-22,67.1109
2021-01-23,67.1109
2021-01-24,67.1109
2021-01-25,62.6013
2021-01-26,60.9755
2021-01-27,59.715
2021-01-28,61.2952
2021-01-29,58.2559
2021-01-30,58.2559
2021-01-31,58.2559
2021-02-01,59.4499
2021-02-02,59.4499
2021-02-03,59.9639
2021-02-04,61.329
2021-02-05,62.8634
2021-02-06,62.8634
2021-02-07,62.8634
2021-02-08,63.4128
2021-02-09,64.5697
2021-02-10,65.2447
2021-02-11,62.5831
2021-02-12,62.072
2021-02-13,62.072
2021-02-14,62.072
2021-02-15,62.072
2021-02-16,62.112
