,MAIN US Equity
,RSI_30D
2020-10-18,49.119
2020-10-19,45.7654
2020-10-20,48.5445
2020-10-21,47.1226
2020-10-22,47.9328
2020-10-23,49.6547
2020-10-24,49.6547
2020-10-25,49.6547
2020-10-26,48.7197
2020-10-27,48.4734
2020-10-28,43.253
2020-10-29,41.3436
2020-10-30,40.6595
2020-10-31,40.6595
2020-11-01,40.6595
2020-11-02,44.2921
2020-11-03,46.3313
2020-11-04,46.7097
2020-11-05,49.1413
2020-11-06,46.9262
2020-11-07,46.9262
2020-11-08,46.9262
2020-11-09,51.2067
2020-11-10,55.5197
2020-11-11,54.8202
2020-11-12,53.6928
2020-11-13,54.6249
2020-11-14,54.6249
2020-11-15,54.6249
2020-11-16,56.501
2020-11-17,56.4594
2020-11-18,55.0739
2020-11-19,55.4168
2020-11-20,54.7254
2020-11-21,54.7254
2020-11-22,54.7254
2020-11-23,57.1455
2020-11-24,58.8312
2020-11-25,59.939
2020-11-26,59.939
2020-11-27,59.1858
2020-11-28,59.1858
2020-11-29,59.1858
2020-11-30,53.928
2020-12-01,55.7251
2020-12-02,56.6815
2020-12-03,58.6567
2020-12-04,57.9948
2020-12-05,57.9948
2020-12-06,57.9948
2020-12-07,54.8775
2020-12-08,54.7108
2020-12-09,53.7813
2020-12-10,53.8918
2020-12-11,53.3639
2020-12-12,53.3639
2020-12-13,53.3639
2020-12-14,53.9088
2020-12-15,55.4475
2020-12-16,55.8667
2020-12-17,53.7733
2020-12-18,51.9872
2020-12-19,51.9872
2020-12-20,51.9872
2020-12-21,52.5722
2020-12-22,52.1962
2020-12-23,51.6706
2020-12-24,51.5243
2020-12-25,51.5243
2020-12-26,51.5243
2020-12-27,51.5243
2020-12-28,52.3161
2020-12-29,53.2457
2020-12-30,57.7216
2020-12-31,56.34
2021-01-01,56.34
2021-01-02,56.34
2021-01-03,56.34
2021-01-04,52.7741
2021-01-05,54.343
2021-01-06,53.3033
2021-01-07,53.8685
2021-01-08,54.7831
2021-01-09,54.7831
2021-01-10,54.7831
2021-01-11,52.8725
2021-01-12,53.774
2021-01-13,52.8845
2021-01-14,56.0272
2021-01-15,56.4923
2021-01-16,56.4923
2021-01-17,56.4923
2021-01-18,56.4923
2021-01-19,57.9157
2021-01-20,57.6288
2021-01-21,57.7587
2021-01-22,59.3894
2021-01-23,59.3894
2021-01-24,59.3894
2021-01-25,60.0609
2021-01-26,61.8943
2021-01-27,60.8666
2021-01-28,56.3897
2021-01-29,52.4782
2021-01-30,52.4782
2021-01-31,52.4782
2021-02-01,54.7768
2021-02-02,55.2597
2021-02-03,56.8624
2021-02-04,58.1614
2021-02-05,59.3857
2021-02-06,59.3857
2021-02-07,59.3857
2021-02-08,60.463
2021-02-09,57.595
2021-02-10,61.2787
2021-02-11,61.7848
2021-02-12,62.3305
2021-02-13,62.3305
2021-02-14,62.3305
2021-02-15,62.3305
2021-02-16,62.7704
2021-02-17,62.7704
2021-02-18,62.3161
2021-02-19,64.3018
2021-02-20,64.3018
2021-02-21,64.3018
2021-02-22,66.4803
2021-02-23,66.4803
2021-02-24,70.4902
2021-02-25,64.2036
2021-02-26,67.1314
2021-02-27,67.1314
2021-02-28,67.1314
2021-03-01,65.3815
2021-03-02,66.3759
2021-03-03,68.1307
2021-03-04,67.0958
2021-03-05,64.6681
2021-03-06,64.6681
2021-03-07,64.6681
2021-03-08,65.3023
2021-03-09,65.7864
2021-03-10,67.2347
2021-03-11,67.8664
2021-03-12,69.4718
2021-03-13,69.4718
2021-03-14,69.4718
2021-03-15,71.8543
2021-03-16,69.151
2021-03-17,69.0342
2021-03-18,62.0899
2021-03-19,63.7688
2021-03-20,63.7688
2021-03-21,63.7688
2021-03-22,64.5941
2021-03-23,62.4134
2021-03-24,63.0142
2021-03-25,64.5106
2021-03-26,66.5656
2021-03-27,66.5656
2021-03-28,66.5656
2021-03-29,65.982
2021-03-30,67.0944
2021-03-31,64.8991
2021-04-01,66.8167
2021-04-02,66.8167
2021-04-03,66.8167
2021-04-04,66.8167
2021-04-05,68.1043
2021-04-06,69.1925
2021-04-07,70.3576
2021-04-08,70.4049
2021-04-09,70.814
2021-04-10,70.814
2021-04-11,70.814
2021-04-12,71.6488
2021-04-13,71.1675
2021-04-14,69.8329
2021-04-15,70.935
2021-04-16,71.6574
2021-04-17,71.6574
2021-04-18,71.6574
2021-04-19,72.0782
2021-04-20,69.9299
2021-04-21,71.1842
2021-04-22,71.5928
2021-04-23,71.8764
2021-04-24,71.8764
2021-04-25,71.8764
2021-04-26,72.5466
2021-04-27,73.3796
2021-04-28,70.3218
2021-04-29,70.1889
2021-04-30,69.2406
2021-05-01,69.2406
2021-05-02,69.2406
2021-05-03,68.0185
2021-05-04,65.6863
2021-05-05,65.7557
2021-05-06,62.4868
2021-05-07,62.8309
2021-05-08,62.8309
2021-05-09,62.8309
2021-05-10,60.7804
2021-05-11,56.0499
2021-05-12,45.1087
2021-05-13,50.6869
2021-05-14,54.4142
2021-05-15,54.4142
2021-05-16,54.4142
2021-05-17,55.4428
2021-05-18,54.8644
2021-05-19,54.9686
2021-05-20,55.6738
2021-05-21,55.9592
2021-05-22,55.9592
2021-05-23,55.9592
2021-05-24,56.9626
2021-05-25,55.5141
2021-05-26,57.0098
2021-05-27,56.5518
2021-05-28,56.6277
2021-05-29,56.6277
2021-05-30,56.6277
2021-05-31,56.6277
2021-06-01,58.1405
2021-06-02,57.7757
2021-06-03,57.6154
2021-06-04,56.2697
2021-06-05,56.2697
2021-06-06,56.2697
2021-06-07,58.0145
2021-06-08,58.5713
2021-06-09,58.8134
2021-06-10,57.7656
2021-06-11,58.9835
2021-06-12,58.9835
2021-06-13,58.9835
2021-06-14,59.3598
2021-06-15,57.5986
2021-06-16,59.567
2021-06-17,56.2768
2021-06-18,51.9318
2021-06-19,51.9318
2021-06-20,51.9318
2021-06-21,56.8116
2021-06-22,57.0836
2021-06-23,57.1235
2021-06-24,58.1303
2021-06-25,57.1857
2021-06-26,57.1857
2021-06-27,57.1857
2021-06-28,55.45
2021-06-29,53.4264
2021-06-30,52.797
2021-07-01,53.3185
2021-07-02,55.8854
2021-07-03,55.8854
2021-07-04,55.8854
2021-07-05,55.8854
2021-07-06,56.1968
2021-07-07,52.0178
2021-07-08,50.2118
2021-07-09,53.8918
2021-07-10,53.8918
2021-07-11,53.8918
2021-07-12,55.5077
2021-07-13,54.0635
2021-07-14,52.894
2021-07-15,52.6379
2021-07-16,51.4526
2021-07-17,51.4526
2021-07-18,51.4526
2021-07-19,47.1981
2021-07-20,51.7434
2021-07-21,53.354
2021-07-22,52.4017
2021-07-23,53.1372
2021-07-24,53.1372
2021-07-25,53.1372
2021-07-26,54.7127
2021-07-27,55.2178
2021-07-28,54.6111
2021-07-29,53.3454
2021-07-30,51.593
2021-07-31,51.593
2021-08-01,51.593
2021-08-02,52.308
2021-08-03,53.9045
2021-08-04,52.7757
2021-08-05,54.1474
2021-08-06,54.3838
2021-08-07,54.3838
2021-08-08,54.3838
2021-08-09,55.7063
2021-08-10,57.3069
2021-08-11,57.9801
2021-08-12,59.1354
2021-08-13,59.2691
2021-08-14,59.2691
2021-08-15,59.2691
2021-08-16,58.5427
2021-08-17,55.2322
2021-08-18,54.3759
2021-08-19,47.8518
2021-08-20,53.4802
2021-08-21,53.4802
2021-08-22,53.4802
2021-08-23,53.9237
2021-08-24,54.3291
2021-08-25,55.0562
2021-08-26,52.5293
2021-08-27,54.0313
2021-08-28,54.0313
2021-08-29,54.0313
2021-08-30,52.4748
2021-08-31,51.783
2021-09-01,51.5128
2021-09-02,53.3751
2021-09-03,51.7631
2021-09-04,51.7631
2021-09-05,51.7631
2021-09-06,51.7631
2021-09-07,48.8179
2021-09-08,50.3825
2021-09-09,51.1548
2021-09-10,48.5985
2021-09-11,48.5985
2021-09-12,48.5985
2021-09-13,49.1882
2021-09-14,49.6768
2021-09-15,52.2122
2021-09-16,50.406
2021-09-17,50.1883
2021-09-18,50.1883
2021-09-19,50.1883
2021-09-20,46.2613
2021-09-21,47.7093
2021-09-22,51.1158
2021-09-23,51.7166
2021-09-24,51.1744
2021-09-25,51.1744
2021-09-26,51.1744
2021-09-27,53.2043
2021-09-28,51.2654
2021-09-29,52.1923
2021-09-30,49.9014
2021-10-01,51.7782
2021-10-02,51.7782
2021-10-03,51.7782
2021-10-04,52.0877
2021-10-05,51.9727
2021-10-06,52.1367
2021-10-07,51.0546
2021-10-08,53.1234
2021-10-09,53.1234
2021-10-10,53.1234
2021-10-11,52.3806
2021-10-12,53.8277
2021-10-13,56.9021
2021-10-14,57.9814
2021-10-15,57.5073
2021-10-16,57.5073
2021-10-17,57.5073
2021-10-18,59.7446
2021-10-19,61.4341
2021-10-20,60.7215
2021-10-21,62.2175
2021-10-22,62.6633
2021-10-23,62.6633
2021-10-24,62.6633
2021-10-25,63.1579
2021-10-26,64.0536
2021-10-27,61.7999
2021-10-28,63.459
2021-10-29,62.5996
2021-10-30,62.5996
2021-10-31,62.5996
2021-11-01,59.71
2021-11-02,61.5463
2021-11-03,61.3939
2021-11-04,62.026
2021-11-05,68.6437
2021-11-06,68.6437
2021-11-07,68.6437
2021-11-08,69.8193
2021-11-09,68.4539
2021-11-10,67.4682
2021-11-11,68.5842
2021-11-12,68.039
2021-11-13,68.039
2021-11-14,68.039
