,IDA US Equity
,RSI_30D
2020-10-11,52.2654
2020-10-12,53.732
2020-10-13,52.0605
2020-10-14,52.2931
2020-10-15,52.626
2020-10-16,51.4585
2020-10-17,51.4585
2020-10-18,51.4585
2020-10-19,49.9306
2020-10-20,49.7916
2020-10-21,53.1014
2020-10-22,56.2664
2020-10-23,57.7689
2020-10-24,57.7689
2020-10-25,57.7689
2020-10-26,57.8395
2020-10-27,56.991
2020-10-28,52.6603
2020-10-29,52.0284
2020-10-30,51.2334
2020-10-31,51.2334
2020-11-01,51.2334
2020-11-02,54.5538
2020-11-03,56.2145
2020-11-04,56.2144
2020-11-05,57.4279
2020-11-06,55.9622
2020-11-07,55.9622
2020-11-08,55.9622
2020-11-09,59.9881
2020-11-10,59.8075
2020-11-11,62.1385
2020-11-12,55.6992
2020-11-13,58.7423
2020-11-14,58.7423
2020-11-15,58.7423
2020-11-16,59.4385
2020-11-17,57.8442
2020-11-18,53.0369
2020-11-19,52.333
2020-11-20,52.756
2020-11-21,52.756
2020-11-22,52.756
2020-11-23,54.0908
2020-11-24,56.852
2020-11-25,56.818
2020-11-26,56.818
2020-11-27,54.7359
2020-11-28,54.7359
2020-11-29,54.7359
2020-11-30,52.3174
2020-12-01,54.094
2020-12-02,54.3572
2020-12-03,53.2925
2020-12-04,53.4986
2020-12-05,53.4986
2020-12-06,53.4986
2020-12-07,54.7957
2020-12-08,53.3268
2020-12-09,55.1053
2020-12-10,55.1789
2020-12-11,56.7065
2020-12-12,56.7065
2020-12-13,56.7065
2020-12-14,55.9853
2020-12-15,60.0768
2020-12-16,58.407
2020-12-17,60.0892
2020-12-18,56.5494
2020-12-19,56.5494
2020-12-20,56.5494
2020-12-21,54.8857
2020-12-22,55.5481
2020-12-23,54.7868
2020-12-24,56.3692
2020-12-25,56.3692
2020-12-26,56.3692
2020-12-27,56.3692
2020-12-28,57.1311
2020-12-29,56.3023
2020-12-30,56.347
2020-12-31,57.5296
2021-01-01,57.5296
2021-01-02,57.5296
2021-01-03,57.5296
2021-01-04,50.008
2021-01-05,46.576
2021-01-06,48.6588
2021-01-07,43.9216
2021-01-08,46.8627
2021-01-09,46.8627
2021-01-10,46.8627
2021-01-11,48.5602
2021-01-12,49.0172
2021-01-13,50.092
2021-01-14,47.4562
2021-01-15,48.6275
2021-01-16,48.6275
2021-01-17,48.6275
2021-01-18,48.6275
2021-01-19,47.4245
2021-01-20,47.4856
2021-01-21,46.2623
2021-01-22,45.9561
2021-01-23,45.9561
2021-01-24,45.9561
2021-01-25,49.093
2021-01-26,48.7823
2021-01-27,45.3604
2021-01-28,47.7872
2021-01-29,46.3981
2021-01-30,46.3981
2021-01-31,46.3981
2021-02-01,46.7941
2021-02-02,46.8591
2021-02-03,45.5778
2021-02-04,46.9048
2021-02-05,48.3415
2021-02-06,48.3415
2021-02-07,48.3415
2021-02-08,47.34
2021-02-09,45.2368
2021-02-10,46.2012
2021-02-11,45.1542
2021-02-12,45.2825
2021-02-13,45.2825
2021-02-14,45.2825
2021-02-15,45.2825
2021-02-16,45.6395
2021-02-17,46.118
2021-02-18,48.9447
2021-02-19,48.4774
2021-02-20,48.4774
2021-02-21,48.4774
2021-02-22,46.4714
2021-02-23,49.9231
2021-02-24,48.9773
2021-02-25,48.8034
2021-02-26,45.4482
2021-02-27,45.4482
2021-02-28,45.4482
2021-03-01,48.8677
2021-03-02,45.7444
2021-03-03,45.8882
2021-03-04,47.7509
2021-03-05,52.4408
2021-03-06,52.4408
2021-03-07,52.4408
2021-03-08,55.7108
2021-03-09,56.2274
2021-03-10,58.8046
2021-03-11,57.1782
2021-03-12,61.1857
2021-03-13,61.1857
2021-03-14,61.1857
2021-03-15,65.1856
2021-03-16,66.526
2021-03-17,61.679
2021-03-18,61.7777
2021-03-19,62.2502
2021-03-20,62.2502
2021-03-21,62.2502
2021-03-22,58.3744
2021-03-23,58.484
2021-03-24,58.7536
2021-03-25,60.9507
2021-03-26,62.4435
2021-03-27,62.4435
2021-03-28,62.4435
2021-03-29,61.8698
2021-03-30,59.2367
2021-03-31,59.5614
2021-04-01,59.8919
2021-04-02,59.8919
2021-04-03,59.8919
2021-04-04,59.8919
2021-04-05,60.2627
2021-04-06,60.0295
2021-04-07,59.7168
2021-04-08,58.5116
2021-04-09,58.1381
2021-04-10,58.1381
2021-04-11,58.1381
2021-04-12,59.0309
2021-04-13,57.6812
2021-04-14,58.2038
2021-04-15,59.2312
2021-04-16,59.9976
2021-04-17,59.9976
2021-04-18,59.9976
2021-04-19,60.9907
2021-04-20,61.701
2021-04-21,60.6248
2021-04-22,60.336
2021-04-23,57.3363
2021-04-24,57.3363
2021-04-25,57.3363
2021-04-26,57.0811
2021-04-27,54.0914
2021-04-28,55.6758
2021-04-29,58.2637
2021-04-30,59.9638
2021-05-01,59.9638
2021-05-02,59.9638
2021-05-03,59.2322
2021-05-04,60.3151
2021-05-05,59.2009
2021-05-06,60.7894
2021-05-07,61.5778
2021-05-08,61.5778
2021-05-09,61.5778
2021-05-10,62.4599
2021-05-11,58.7112
2021-05-12,54.2352
2021-05-13,56.9455
2021-05-14,57.0362
2021-05-15,57.0362
2021-05-16,57.0362
2021-05-17,54.9396
2021-05-18,55.5036
2021-05-19,54.4164
2021-05-20,54.4677
2021-05-21,54.7484
2021-05-22,54.7484
2021-05-23,54.7484
2021-05-24,54.251
2021-05-25,50.4957
2021-05-26,49.8484
2021-05-27,48.2584
2021-05-28,48.977
2021-05-29,48.977
2021-05-30,48.977
2021-05-31,48.977
2021-06-01,48.2443
2021-06-02,49.3461
2021-06-03,50.0651
2021-06-04,50.2798
2021-06-05,50.2798
2021-06-06,50.2798
2021-06-07,49.6176
2021-06-08,49.7318
2021-06-09,52.5981
2021-06-10,53.7403
2021-06-11,55.3282
2021-06-12,55.3282
2021-06-13,55.3282
2021-06-14,55.2263
2021-06-15,56.6906
2021-06-16,56.9368
2021-06-17,57.6426
2021-06-18,50.4033
2021-06-19,50.4033
2021-06-20,50.4033
2021-06-21,53.4877
2021-06-22,50.7345
2021-06-23,46.9631
2021-06-24,47.652
2021-06-25,52.097
2021-06-26,52.097
2021-06-27,52.097
2021-06-28,51.0023
2021-06-29,47.2022
2021-06-30,47.2225
2021-07-01,48.8532
2021-07-02,47.5981
2021-07-03,47.5981
2021-07-04,47.5981
2021-07-05,47.5981
2021-07-06,47.5789
2021-07-07,50.68
2021-07-08,48.6114
2021-07-09,50.9583
2021-07-10,50.9583
2021-07-11,50.9583
2021-07-12,51.0942
2021-07-13,48.9683
2021-07-14,51.4146
2021-07-15,56.4639
2021-07-16,58.5242
2021-07-17,58.5242
2021-07-18,58.5242
2021-07-19,56.5012
2021-07-20,58.7442
2021-07-21,55.7693
2021-07-22,55.9397
2021-07-23,58.7075
2021-07-24,58.7075
2021-07-25,58.7075
2021-07-26,58.0146
2021-07-27,59.4138
2021-07-28,59.6312
2021-07-29,59.5872
2021-07-30,59.4736
2021-07-31,59.4736
2021-08-01,59.4736
2021-08-02,61.2318
2021-08-03,61.6804
2021-08-04,61.5322
2021-08-05,62.7222
2021-08-06,62.1283
2021-08-07,62.1283
2021-08-08,62.1283
2021-08-09,60.833
2021-08-10,60.5977
2021-08-11,61.0479
2021-08-12,61.0202
2021-08-13,62.9034
2021-08-14,62.9034
2021-08-15,62.9034
2021-08-16,63.7423
2021-08-17,65.3474
2021-08-18,65.884
2021-08-19,64.1022
2021-08-20,65.2076
2021-08-21,65.2076
2021-08-22,65.2076
2021-08-23,59.753
2021-08-24,56.7599
2021-08-25,55.3623
2021-08-26,52.9715
2021-08-27,54.9253
2021-08-28,54.9253
2021-08-29,54.9253
2021-08-30,53.9552
2021-08-31,54.2204
2021-09-01,56.6638
2021-09-02,58.2926
2021-09-03,57.3696
2021-09-04,57.3696
2021-09-05,57.3696
2021-09-06,57.3696
2021-09-07,54.4699
2021-09-08,58.9465
2021-09-09,56.5423
2021-09-10,51.8851
2021-09-11,51.8851
2021-09-12,51.8851
2021-09-13,50.7883
2021-09-14,50.2291
2021-09-15,48.7612
2021-09-16,46.6825
2021-09-17,48.5758
2021-09-18,48.5758
2021-09-19,48.5758
2021-09-20,48.9468
2021-09-21,47.7202
2021-09-22,50.0989
2021-09-23,49.2249
2021-09-24,49.0192
2021-09-25,49.0192
2021-09-26,49.0192
2021-09-27,49.6074
2021-09-28,50.7611
2021-09-29,52.7662
2021-09-30,48.5469
2021-10-01,50.4096
2021-10-02,50.4096
2021-10-03,50.4096
2021-10-04,51.8874
2021-10-05,52.1702
2021-10-06,53.3257
2021-10-07,48.3831
2021-10-08,45.2893
2021-10-09,45.2893
2021-10-10,45.2893
2021-10-11,40.8018
2021-10-12,45.1791
2021-10-13,47.6382
2021-10-14,50.3107
2021-10-15,52.4128
2021-10-16,52.4128
2021-10-17,52.4128
2021-10-18,48.6843
2021-10-19,49.5788
2021-10-20,51.4903
2021-10-21,49.4523
2021-10-22,51.7923
2021-10-23,51.7923
2021-10-24,51.7923
2021-10-25,50.9295
2021-10-26,49.969
2021-10-27,50.2535
2021-10-28,50.5954
2021-10-29,50.7703
2021-10-30,50.7703
2021-10-31,50.7703
2021-11-01,55.1573
2021-11-02,53.0862
2021-11-03,52.3839
2021-11-04,50.8038
2021-11-05,52.9078
2021-11-06,52.9078
2021-11-07,52.9078
2021-11-08,48.654
2021-11-09,48.3312
2021-11-10,51.1165
2021-11-11,48.2476
2021-11-12,48.2815
2021-11-13,48.2815
2021-11-14,48.2815
2021-11-15,51.9933
2021-11-16,55.3922
2021-11-17,54.2378
2021-11-18,54.4113
2021-11-19,57.4945
2021-11-20,57.4945
2021-11-21,57.4945
2021-11-22,58.3477
2021-11-23,57.666
2021-11-24,56.4853
2021-11-25,56.4853
2021-11-26,54.1724
2021-11-27,54.1724
2021-11-28,54.1724
2021-11-29,55.2595
2021-11-30,50.1534
2021-12-01,51.1869
2021-12-02,53.067
2021-12-03,53.5335
2021-12-04,53.5335
2021-12-05,53.5335
2021-12-06,56.0073
2021-12-07,55.3626
2021-12-08,56.4009
2021-12-09,55.9281
2021-12-10,56.5655
2021-12-11,56.5655
2021-12-12,56.5655
2021-12-13,59.0578
2021-12-14,57.3463
2021-12-15,60.3202
2021-12-16,58.6653
2021-12-17,55.667
2021-12-18,55.667
2021-12-19,55.667
2021-12-20,56.1391
2021-12-21,54.9115
2021-12-22,55.423
2021-12-23,54.2764
2021-12-24,54.2764
2021-12-25,54.2764
2021-12-26,54.2764
2021-12-27,55.909
2021-12-28,57.6457
2021-12-29,58.9586
2021-12-30,59.7601
2021-12-31,60.1962
2022-01-01,60.1962
2022-01-02,60.1962
2022-01-03,57.3051
2022-01-04,57.9721
2022-01-05,58.0458
2022-01-06,58.9979
2022-01-07,59.8953
2022-01-08,59.8953
2022-01-09,59.8953
2022-01-10,57.8138
2022-01-11,53.5655
2022-01-12,53.1876
2022-01-13,54.0099
2022-01-14,53.1621
2022-01-15,53.1621
2022-01-16,53.1621
2022-01-17,53.1621
2022-01-18,50.3845
2022-01-19,51.6726
