,PEG US Equity
,RSI_30D
2021-01-23,52.8507
2021-01-24,52.8507
2021-01-25,53.2362
2021-01-26,52.7068
2021-01-27,47.6271
2021-01-28,49.3943
2021-01-29,47.8921
2021-01-30,47.8921
2021-01-31,47.8921
2021-02-01,49.7287
2021-02-02,52.6086
2021-02-03,51.967
2021-02-04,53.0568
2021-02-05,54.8091
2021-02-06,54.8091
2021-02-07,54.8091
2021-02-08,53.4247
2021-02-09,53.2066
2021-02-10,53.5011
2021-02-11,52.7004
2021-02-12,51.8405
2021-02-13,51.8405
2021-02-14,51.8405
2021-02-15,51.8405
2021-02-16,50.9236
2021-02-17,51.0914
2021-02-18,52.4644
2021-02-19,50.2316
2021-02-20,50.2316
2021-02-21,50.2316
2021-02-22,48.3581
2021-02-23,50.3325
2021-02-24,45.7551
2021-02-25,45.3827
2021-02-26,40.6592
2021-02-27,40.6592
2021-02-28,40.6592
2021-03-01,44.3091
2021-03-02,43.2605
2021-03-03,42.4805
2021-03-04,43.6769
2021-03-05,48.0402
2021-03-06,48.0402
2021-03-07,48.0402
2021-03-08,51.3593
2021-03-09,52.362
2021-03-10,52.853
2021-03-11,50.3965
2021-03-12,52.5587
2021-03-13,52.5587
2021-03-14,52.5587
2021-03-15,54.1491
2021-03-16,54.532
2021-03-17,54.3387
2021-03-18,54.5293
2021-03-19,55.3486
2021-03-20,55.3486
2021-03-21,55.3486
2021-03-22,52.3902
2021-03-23,53.4888
2021-03-24,54.4526
2021-03-25,56.1632
2021-03-26,55.7968
2021-03-27,55.7968
2021-03-28,55.7968
2021-03-29,57.9488
2021-03-30,56.6937
2021-03-31,57.6428
2021-04-01,55.931
2021-04-02,55.931
2021-04-03,55.931
2021-04-04,55.931
2021-04-05,58.2806
2021-04-06,58.8763
2021-04-07,59.588
2021-04-08,59.7507
2021-04-09,59.5735
2021-04-10,59.5735
2021-04-11,59.5735
2021-04-12,59.6725
2021-04-13,62.3436
2021-04-14,63.265
2021-04-15,61.666
2021-04-16,63.8065
2021-04-17,63.8065
2021-04-18,63.8065
2021-04-19,64.0904
2021-04-20,64.4673
2021-04-21,64.0581
2021-04-22,61.5134
2021-04-23,61.5635
2021-04-24,61.5635
2021-04-25,61.5635
2021-04-26,58.489
2021-04-27,58.2575
2021-04-28,59.095
2021-04-29,60.9587
2021-04-30,61.1445
2021-05-01,61.1445
2021-05-02,61.1445
2021-05-03,62.4389
2021-05-04,60.4822
2021-05-05,53.4062
2021-05-06,56.9021
2021-05-07,58.3887
2021-05-08,58.3887
2021-05-09,58.3887
2021-05-10,58.7189
2021-05-11,55.1333
2021-05-12,50.3472
2021-05-13,54.1952
2021-05-14,55.1135
2021-05-15,55.1135
2021-05-16,55.1135
2021-05-17,54.412
2021-05-18,53.857
2021-05-19,53.4498
2021-05-20,55.072
2021-05-21,56.2291
2021-05-22,56.2291
2021-05-23,56.2291
2021-05-24,57.3651
2021-05-25,53.2395
2021-05-26,53.5389
2021-05-27,52.6824
2021-05-28,52.942
2021-05-29,52.942
2021-05-30,52.942
2021-05-31,52.942
2021-06-01,52.6432
2021-06-02,51.442
2021-06-03,51.569
2021-06-04,50.0783
2021-06-05,50.0783
2021-06-06,50.0783
2021-06-07,50.4518
2021-06-08,50.9352
2021-06-09,51.356
2021-06-10,53.09
2021-06-11,53.6709
2021-06-12,53.6709
2021-06-13,53.6709
2021-06-14,53.8101
2021-06-15,55.571
2021-06-16,51.1417
2021-06-17,51.029
2021-06-18,44.7095
2021-06-19,44.7095
2021-06-20,44.7095
2021-06-21,47.3219
2021-06-22,45.9494
2021-06-23,44.6405
2021-06-24,45.3151
2021-06-25,47.1293
2021-06-26,47.1293
2021-06-27,47.1293
2021-06-28,48.5
2021-06-29,46.0618
2021-06-30,46.9809
2021-07-01,48.7865
2021-07-02,48.3099
2021-07-03,48.3099
2021-07-04,48.3099
2021-07-05,48.3099
2021-07-06,49.0455
2021-07-07,51.0279
2021-07-08,49.896
2021-07-09,49.712
2021-07-10,49.712
2021-07-11,49.712
2021-07-12,50.505
2021-07-13,47.3079
2021-07-14,49.4391
2021-07-15,52.2908
2021-07-16,54.1308
2021-07-17,54.1308
2021-07-18,54.1308
2021-07-19,48.6598
2021-07-20,50.27
2021-07-21,48.248
2021-07-22,48.7978
2021-07-23,52.1195
2021-07-24,52.1195
2021-07-25,52.1195
2021-07-26,53.1469
2021-07-27,56.9143
2021-07-28,55.6676
2021-07-29,57.2454
2021-07-30,54.2993
2021-07-31,54.2993
2021-08-01,54.2993
2021-08-02,56.054
2021-08-03,57.7841
2021-08-04,56.9281
2021-08-05,58.5938
2021-08-06,58.4454
2021-08-07,58.4454
2021-08-08,58.4454
