,BKH US Equity
2020-05-13,43.2553
2020-05-14,42.7862
2020-05-15,42.5024
2020-05-16,42.5024
2020-05-17,42.5024
2020-05-18,45.6644
2020-05-19,44.9019
2020-05-20,45.0159
2020-05-21,45.2015
2020-05-22,45.6611
2020-05-23,45.6611
2020-05-24,45.6611
2020-05-25,45.6611
2020-05-26,47.3685
2020-05-27,47.4776
2020-05-28,48.1553
2020-05-29,48.3405
2020-05-30,48.3405
2020-05-31,48.3405
2020-06-01,47.2538
2020-06-02,47.6667
2020-06-03,48.3384
2020-06-04,46.6039
2020-06-05,48.953
2020-06-06,48.953
2020-06-07,48.953
2020-06-08,49.9206
2020-06-09,48.4328
2020-06-10,47.1843
2020-06-11,43.2132
2020-06-12,44.0427
2020-06-13,44.0427
2020-06-14,44.0427
2020-06-15,44.7714
2020-06-16,45.7036
2020-06-17,44.1709
2020-06-18,44.0735
2020-06-19,42.0043
2020-06-20,42.0043
2020-06-21,42.0043
2020-06-22,43.7252
2020-06-23,43.334
2020-06-24,42.1726
2020-06-25,41.7159
2020-06-26,41.0697
2020-06-27,41.0697
2020-06-28,41.0697
2020-06-29,44.7832
2020-06-30,45.8786
2020-07-01,47.3241
2020-07-02,48.2321
2020-07-03,48.2321
2020-07-04,48.2321
2020-07-05,48.2321
2020-07-06,48.3834
2020-07-07,47.0786
2020-07-08,47.531
2020-07-09,46.1156
2020-07-10,50.2701
2020-07-11,50.2701
2020-07-12,50.2701
2020-07-13,50.3937
2020-07-14,50.8738
2020-07-15,50.6869
2020-07-16,49.4907
2020-07-17,51.3972
2020-07-18,51.3972
2020-07-19,51.3972
2020-07-20,49.2071
2020-07-21,50.3746
2020-07-22,52.2036
2020-07-23,52.795
2020-07-24,50.9246
2020-07-25,50.9246
2020-07-26,50.9246
2020-07-27,49.3225
2020-07-28,49.9215
2020-07-29,50.3311
2020-07-30,49.3378
2020-07-31,47.1344
2020-08-01,47.1344
2020-08-02,47.1344
2020-08-03,45.9651
2020-08-04,47.2565
2020-08-05,45.6782
2020-08-06,46.5694
2020-08-07,49.3623
2020-08-08,49.3623
2020-08-09,49.3623
2020-08-10,50.5954
2020-08-11,48.9655
2020-08-12,50.7259
2020-08-13,49.2491
2020-08-14,48.6194
2020-08-15,48.6194
2020-08-16,48.6194
2020-08-17,48.4915
2020-08-18,48.03
2020-08-19,48.2846
2020-08-20,47.0295
2020-08-21,46.5698
2020-08-22,46.5698
2020-08-23,46.5698
2020-08-24,48.055
2020-08-25,45.6232
2020-08-26,43.0997
2020-08-27,44.8267
2020-08-28,47.2829
2020-08-29,47.2829
2020-08-30,47.2829
2020-08-31,46.4916
2020-09-01,45.0392
2020-09-02,46.8823
2020-09-03,46.676
2020-09-04,46.6106
2020-09-05,46.6106
2020-09-06,46.6106
2020-09-07,46.6106
2020-09-08,44.3938
2020-09-09,44.885
2020-09-10,42.5222
2020-09-11,42.3553
2020-09-12,42.3553
2020-09-13,42.3553
2020-09-14,44.9369
2020-09-15,44.8714
2020-09-16,45.8909
2020-09-17,46.7266
2020-09-18,44.9066
2020-09-19,44.9066
2020-09-20,44.9066
2020-09-21,44.3567
2020-09-22,43.2273
2020-09-23,41.6963
2020-09-24,42.6105
2020-09-25,43.7286
2020-09-26,43.7286
2020-09-27,43.7286
2020-09-28,45.1059
2020-09-29,43.6387
2020-09-30,44.5146
2020-10-01,45.5739
2020-10-02,48.6388
2020-10-03,48.6388
2020-10-04,48.6388
2020-10-05,49.7137
2020-10-06,50.9829
2020-10-07,52.9563
2020-10-08,55.0024
2020-10-09,53.3861
2020-10-10,53.3861
2020-10-11,53.3861
2020-10-12,55.0377
2020-10-13,53.5487
2020-10-14,52.9204
2020-10-15,53.9778
2020-10-16,53.7188
2020-10-17,53.7188
2020-10-18,53.7188
2020-10-19,50.8934
2020-10-20,51.2814
2020-10-21,52.9475
2020-10-22,55.5484
2020-10-23,56.0741
2020-10-24,56.0741
2020-10-25,56.0741
2020-10-26,54.7106
2020-10-27,55.4041
2020-10-28,53.2936
2020-10-29,51.2275
2020-10-30,49.3177
2020-10-31,49.3177
2020-11-01,49.3177
2020-11-02,52.2963
2020-11-03,56.9531
2020-11-04,55.3591
2020-11-05,55.7491
2020-11-06,52.7314
2020-11-07,52.7314
2020-11-08,52.7314
2020-11-09,56.5375
2020-11-10,60.2324
2020-11-11,61.1167
2020-11-12,56.5023
2020-11-13,58.9271
2020-11-14,58.9271
2020-11-15,58.9271
2020-11-16,62.3745
2020-11-17,61.5315
2020-11-18,57.6429
2020-11-19,57.2551
2020-11-20,55.9884
2020-11-21,55.9884
2020-11-22,55.9884
2020-11-23,56.8692
2020-11-24,60.1414
2020-11-25,59.6327
2020-11-26,59.6327
2020-11-27,57.229
2020-11-28,57.229
2020-11-29,57.229
2020-11-30,52.6547
2020-12-01,53.0276
2020-12-02,52.5814
2020-12-03,50.7438
2020-12-04,51.783
2020-12-05,51.783
2020-12-06,51.783
2020-12-07,50.5898
2020-12-08,49.3605
2020-12-09,48.2178
2020-12-10,46.5619
2020-12-11,49.7325
2020-12-12,49.7325
2020-12-13,49.7325
2020-12-14,49.4188
2020-12-15,52.3394
2020-12-16,51.4127
2020-12-17,53.1622
2020-12-18,52.2637
2020-12-19,52.2637
2020-12-20,52.2637
2020-12-21,48.3698
2020-12-22,51.1308
2020-12-23,50.054
2020-12-24,50.8695
2020-12-25,50.8695
2020-12-26,50.8695
2020-12-27,50.8695
2020-12-28,52.7004
2020-12-29,52.0078
2020-12-30,51.767
2020-12-31,53.3316
2021-01-01,53.3316
2021-01-02,53.3316
2021-01-03,53.3316
2021-01-04,50.6957
2021-01-05,49.8107
2021-01-06,53.7956
2021-01-07,50.3825
2021-01-08,49.4079
2021-01-09,49.4079
2021-01-10,49.4079
2021-01-11,49.5298
2021-01-12,50.6714
2021-01-13,51.4233
2021-01-14,52.639
2021-01-15,53.9008
2021-01-16,53.9008
2021-01-17,53.9008
2021-01-18,53.9008
2021-01-19,52.0028
2021-01-20,51.9835
2021-01-21,50.5836
2021-01-22,48.5186
2021-01-23,48.5186
2021-01-24,48.5186
2021-01-25,52.0872
2021-01-26,50.1411
2021-01-27,48.224
2021-01-28,49.3917
2021-01-29,48.5291
2021-01-30,48.5291
2021-01-31,48.5291
2021-02-01,50.7001
2021-02-02,51.8143
2021-02-03,50.4818
2021-02-04,51.9429
2021-02-05,53.5727
2021-02-06,53.5727
2021-02-07,53.5727
2021-02-08,53.0668
2021-02-09,54.4895
2021-02-10,53.4421
2021-02-11,54.259
2021-02-12,53.733
2021-02-13,53.733
2021-02-14,53.733
2021-02-15,53.733
2021-02-16,52.6548
2021-02-17,52.8147
2021-02-18,52.8353
2021-02-19,53.1106
2021-02-20,53.1106
2021-02-21,53.1106
2021-02-22,48.6584
2021-02-23,52.544
2021-02-24,51.5672
2021-02-25,50.32
2021-02-26,48.1396
2021-02-27,48.1396
2021-02-28,48.1396
2021-03-01,49.6444
2021-03-02,49.8594
2021-03-03,48.761
2021-03-04,49.771
2021-03-05,55.1564
2021-03-06,55.1564
2021-03-07,55.1564
2021-03-08,57.9709
2021-03-09,56.6379
2021-03-10,59.214
2021-03-11,56.8108
2021-03-12,59.5954
2021-03-13,59.5954
2021-03-14,59.5954
2021-03-15,60.5185
2021-03-16,60.9273
2021-03-17,59.2583
2021-03-18,59.211
2021-03-19,61.0433
2021-03-20,61.0433
2021-03-21,61.0433
2021-03-22,56.6984
2021-03-23,56.3234
2021-03-24,57.7846
2021-03-25,59.2601
2021-03-26,59.023
2021-03-27,59.023
2021-03-28,59.023
2021-03-29,59.8865
2021-03-30,58.8261
2021-03-31,58.801
2021-04-01,58.6203
2021-04-02,58.6203
2021-04-03,58.6203
2021-04-04,58.6203
2021-04-05,60.6066
2021-04-06,60.5525
2021-04-07,59.372
2021-04-08,59.4101
2021-04-09,59.9919
2021-04-10,59.9919
2021-04-11,59.9919
2021-04-12,62.1789
2021-04-13,61.6426
2021-04-14,63.1584
2021-04-15,64.4371
2021-04-16,65.0558
2021-04-17,65.0558
2021-04-18,65.0558
2021-04-19,64.6678
2021-04-20,65.7592
2021-04-21,63.5326
2021-04-22,61.7822
2021-04-23,60.8365
2021-04-24,60.8365
2021-04-25,60.8365
2021-04-26,59.7949
2021-04-27,56.433
2021-04-28,56.5241
2021-04-29,57.9569
2021-04-30,58.3847
2021-05-01,58.3847
2021-05-02,58.3847
2021-05-03,58.4078
2021-05-04,57.2918
2021-05-05,53.4687
2021-05-06,55.8945
2021-05-07,56.3984
2021-05-08,56.3984
2021-05-09,56.3984
2021-05-10,57.0034
2021-05-11,52.1254
2021-05-12,47.2265
2021-05-13,51.4067
2021-05-14,52.7804
2021-05-15,52.7804
2021-05-16,52.7804
2021-05-17,50.296
2021-05-18,49.2227
2021-05-19,48.4152
2021-05-20,50.774
2021-05-21,50.6741
2021-05-22,50.6741
2021-05-23,50.6741
2021-05-24,50.3412
2021-05-25,49.6661
2021-05-26,49.3239
2021-05-27,48.5259
2021-05-28,49.7592
2021-05-29,49.7592
2021-05-30,49.7592
2021-05-31,49.7592
2021-06-01,50.2635
2021-06-02,52.2205
2021-06-03,55.3439
2021-06-04,56.7116
2021-06-05,56.7116
2021-06-06,56.7116
2021-06-07,57.3517
2021-06-08,57.424
2021-06-09,58.1103
2021-06-10,58.3582
2021-06-11,59.6433
2021-06-12,59.6433
2021-06-13,59.6433
2021-06-14,58.8129
2021-06-15,59.7702
2021-06-16,60.0985
2021-06-17,60.0205
2021-06-18,51.8776
2021-06-19,51.8776
2021-06-20,51.8776
2021-06-21,56.9396
2021-06-22,54.0299
2021-06-23,50.0729
2021-06-24,51.2448
2021-06-25,52.2281
2021-06-26,52.2281
2021-06-27,52.2281
2021-06-28,50.8145
2021-06-29,46.2563
2021-06-30,46.2563
2021-07-01,47.8432
2021-07-02,46.7597
2021-07-03,46.7597
2021-07-04,46.7597
2021-07-05,46.7597
2021-07-06,46.0728
2021-07-07,47.5252
2021-07-08,46.5337
2021-07-09,49.4697
2021-07-10,49.4697
2021-07-11,49.4697
2021-07-12,49.8765
2021-07-13,47.9595
2021-07-14,49.0015
2021-07-15,52.7326
2021-07-16,54.2312
2021-07-17,54.2312
2021-07-18,54.2312
2021-07-19,48.7056
2021-07-20,52.3919
2021-07-21,50.4558
2021-07-22,48.6205
2021-07-23,51.6815
2021-07-24,51.6815
2021-07-25,51.6815
2021-07-26,51.2776
2021-07-27,52.5636
2021-07-28,53.2578
2021-07-29,52.9218
2021-07-30,51.3996
2021-07-31,51.3996
2021-08-01,51.3996
2021-08-02,52.3135
2021-08-03,56.5405
2021-08-04,56.6034
2021-08-05,57.9249
2021-08-06,56.9565
2021-08-07,56.9565
2021-08-08,56.9565
2021-08-09,55.9883
2021-08-10,56.7269
2021-08-11,59.1955
2021-08-12,58.6538
2021-08-13,60.4033
2021-08-14,60.4033
2021-08-15,60.4033
2021-08-16,61.0927
2021-08-17,62.1535
2021-08-18,60.496
2021-08-19,60.2353
2021-08-20,61.9929
2021-08-21,61.9929
2021-08-22,61.9929
2021-08-23,58.7254
2021-08-24,56.4694
2021-08-25,56.6788
2021-08-26,54.509
2021-08-27,55.7266
2021-08-28,55.7266
2021-08-29,55.7266
2021-08-30,55.5727
2021-08-31,54.5444
2021-09-01,57.5025
2021-09-02,58.8194
2021-09-03,56.8685
2021-09-04,56.8685
2021-09-05,56.8685
2021-09-06,56.8685
2021-09-07,52.4438
2021-09-08,52.7984
2021-09-09,49.5498
2021-09-10,45.6886
2021-09-11,45.6886
2021-09-12,45.6886
2021-09-13,46.3726
2021-09-14,46.7059
2021-09-15,46.606
2021-09-16,43.9791
2021-09-17,41.2823
2021-09-18,41.2823
2021-09-19,41.2823
2021-09-20,39.3631
2021-09-21,38.5068
2021-09-22,38.108
2021-09-23,36.902
2021-09-24,36.1835
2021-09-25,36.1835
2021-09-26,36.1835
2021-09-27,37.4435
2021-09-28,35.5777
2021-09-29,39.7003
2021-09-30,38.1374
2021-10-01,39.372
2021-10-02,39.372
2021-10-03,39.372
2021-10-04,43.2755
2021-10-05,44.4147
2021-10-06,47.8542
2021-10-07,45.3404
2021-10-08,43.145
2021-10-09,43.145
2021-10-10,43.145
2021-10-11,41.3936
2021-10-12,42.8823
2021-10-13,44.2126
2021-10-14,45.8629
2021-10-15,45.4146
2021-10-16,45.4146
2021-10-17,45.4146
2021-10-18,43.8621
2021-10-19,45.753
2021-10-20,47.5796
2021-10-21,48.9957
2021-10-22,50.3332
2021-10-23,50.3332
2021-10-24,50.3332
2021-10-25,50.6113
2021-10-26,50.2935
2021-10-27,49.7815
2021-10-28,51.5537
2021-10-29,50.4105
2021-10-30,50.4105
2021-10-31,50.4105
2021-11-01,53.3593
2021-11-02,50.3187
2021-11-03,53.3184
2021-11-04,48.465
2021-11-05,49.5186
2021-11-06,49.5186
2021-11-07,49.5186
2021-11-08,46.4138
2021-11-09,46.1497
2021-11-10,50.5412
2021-11-11,48.5717
2021-11-12,47.4288
2021-11-13,47.4288
2021-11-14,47.4288
2021-11-15,49.9585
2021-11-16,47.8766
2021-11-17,47.7664
2021-11-18,47.6757
2021-11-19,49.5115
2021-11-20,49.5115
2021-11-21,49.5115
2021-11-22,52.362
2021-11-23,53.8853
2021-11-24,53.0962
2021-11-25,53.0962
2021-11-26,48.6722
2021-11-27,48.6722
2021-11-28,48.6722
2021-11-29,51.2477
2021-11-30,46.9703
2021-12-01,47.3115
2021-12-02,49.7636
2021-12-03,50.7127
2021-12-04,50.7127
2021-12-05,50.7127
2021-12-06,53.3447
2021-12-07,52.976
2021-12-08,53.5161
2021-12-09,53.2727
2021-12-10,53.7084
2021-12-11,53.7084
2021-12-12,53.7084
2021-12-13,56.2009
2021-12-14,56.1744
2021-12-15,59.1827
2021-12-16,57.1924
2021-12-17,54.0421
2021-12-18,54.0421
2021-12-19,54.0421
2021-12-20,53.7457
2021-12-21,54.7302
2021-12-22,56.0758
2021-12-23,55.3577
2021-12-24,55.3577
2021-12-25,55.3577
2021-12-26,55.3577
2021-12-27,56.343
2021-12-28,57.1513
2021-12-29,58.792
2021-12-30,59.5823
2021-12-31,59.1609
2022-01-01,59.1609
2022-01-02,59.1609
2022-01-03,57.1597
2022-01-04,58.356
2022-01-05,58.2031
2022-01-06,55.6114
2022-01-07,57.5444
2022-01-08,57.5444
2022-01-09,57.5444
2022-01-10,54.7032
2022-01-11,50.5413
2022-01-12,50.8109
2022-01-13,51.8956
2022-01-14,52.1684
2022-01-15,52.1684
2022-01-16,52.1684
2022-01-17,52.1684
2022-01-18,50.1363
2022-01-19,48.8163
2022-01-20,48.0212
2022-01-21,48.0777
2022-01-22,48.0777
2022-01-23,48.0777
2022-01-24,47.8626
2022-01-25,49.5831
2022-01-26,47.8126
2022-01-27,47.3751
2022-01-28,50.0915
2022-01-29,50.0915
2022-01-30,50.0915
2022-01-31,50.6075
2022-02-01,48.3384
2022-02-02,47.7219
2022-02-03,46.5496
2022-02-04,43.0343
2022-02-05,43.0343
2022-02-06,43.0343
2022-02-07,50.9529
2022-02-08,47.4781
2022-02-09,48.9984
2022-02-10,48.6103
2022-02-11,49.8668
2022-02-12,49.8668
2022-02-13,49.8668
2022-02-14,48.9227
2022-02-15,49.8778
2022-02-16,51.4686
2022-02-17,53.8766
2022-02-18,55.7048
2022-02-19,55.7048
2022-02-20,55.7048
2022-02-21,55.7048
2022-02-22,56.0055
2022-02-23,50.3978
2022-02-24,52.6591
2022-02-25,56.661
2022-02-26,56.661
2022-02-27,56.661
2022-02-28,56.8638
2022-03-01,52.9904
2022-03-02,56.0082
2022-03-03,58.9564
2022-03-04,61.0617
2022-03-05,61.0617
2022-03-06,61.0617
2022-03-07,61.0356
2022-03-08,57.6673
2022-03-09,55.003
2022-03-10,56.0715
2022-03-11,56.335
2022-03-12,56.335
2022-03-13,56.335
2022-03-14,56.5851
2022-03-15,58.9961
2022-03-16,56.7712
2022-03-17,57.8549
2022-03-18,57.1395
2022-03-19,57.1395
2022-03-20,57.1395
2022-03-21,58.1153
2022-03-22,57.6099
2022-03-23,56.8559
2022-03-24,58.0525
2022-03-25,61.5834
2022-03-26,61.5834
2022-03-27,61.5834
2022-03-28,62.0208
2022-03-29,63.8761
2022-03-30,65.4766
2022-03-31,65.9141
2022-04-01,68.0387
2022-04-02,68.0387
2022-04-03,68.0387
2022-04-04,62.1669
2022-04-05,62.8681
2022-04-06,65.2743
2022-04-07,63.5072
2022-04-08,64.8639
2022-04-09,64.8639
2022-04-10,64.8639
2022-04-11,61.4118
2022-04-12,62.4078
2022-04-13,62.9488
2022-04-14,63.4923
2022-04-15,63.4923
2022-04-16,63.4923
2022-04-17,63.4923
2022-04-18,62.9194
2022-04-19,64.1001
2022-04-20,65.3495
2022-04-21,64.3767
2022-04-22,62.6182
2022-04-23,62.6182
2022-04-24,62.6182
2022-04-25,55.2411
2022-04-26,55.6653
2022-04-27,54.6864
2022-04-28,53.8008
2022-04-29,48.8676
2022-04-30,48.8676
2022-05-01,48.8676
2022-05-02,47.1678
2022-05-03,49.3265
2022-05-04,53.7663
2022-05-05,52.9459
2022-05-06,53.442
2022-05-07,53.442
2022-05-08,53.442
2022-05-09,55.1449
2022-05-10,52.4629
2022-05-11,52.4422
2022-05-12,50.8587
2022-05-13,53.6584
2022-05-14,53.6584
2022-05-15,53.6584
2022-05-16,54.747
2022-05-17,54.2269
2022-05-18,51.3898
2022-05-19,49.7576
2022-05-20,48.8744
2022-05-21,48.8744
2022-05-22,48.8744
2022-05-23,51.1573
2022-05-24,55.6397
2022-05-25,56.5984
2022-05-26,55.382
2022-05-27,56.3185
2022-05-28,56.3185
2022-05-29,56.3185
2022-05-30,56.3185
2022-05-31,54.8841
2022-06-01,54.2681
2022-06-02,53.2525
2022-06-03,52.4577
2022-06-04,52.4577
2022-06-05,52.4577
2022-06-06,53.9393
2022-06-07,55.3965
2022-06-08,52.5884
2022-06-09,49.1778
2022-06-10,49.6107
2022-06-11,49.6107
2022-06-12,49.6107
2022-06-13,43.353
2022-06-14,40.6978
2022-06-15,41.7913
2022-06-16,39.825
2022-06-17,37.5802
2022-06-18,37.5802
2022-06-19,37.5802
2022-06-20,37.5802
2022-06-21,39.6651
2022-06-22,42.3421
2022-06-23,44.5328
2022-06-24,47.0096
2022-06-25,47.0096
2022-06-26,47.0096
2022-06-27,49.8359
2022-06-28,50.0073
2022-06-29,48.6996
2022-06-30,49.2952
2022-07-01,54.0147
2022-07-02,54.0147
2022-07-03,54.0147
2022-07-04,54.0147
2022-07-05,47.2401
2022-07-06,48.7751
2022-07-07,47.1936
2022-07-08,46.9893
2022-07-09,46.9893
2022-07-10,46.9893
2022-07-11,48.2475
2022-07-12,47.3301
2022-07-13,47.1292
2022-07-14,47.5894
2022-07-15,49.2588
2022-07-16,49.2588
2022-07-17,49.2588
2022-07-18,47.8642
2022-07-19,49.5527
2022-07-20,46.4865
2022-07-21,46.2671
2022-07-22,48.1999
2022-07-23,48.1999
2022-07-24,48.1999
2022-07-25,51.5527
2022-07-26,53.523
2022-07-27,52.8176
2022-07-28,55.8571
2022-07-29,56.9784
2022-07-30,56.9784
2022-07-31,56.9784
2022-08-01,55.1797
2022-08-02,54.2754
2022-08-03,54.9023
2022-08-04,52.8896
2022-08-05,51.7653
2022-08-06,51.7653
2022-08-07,51.7653
2022-08-08,52.1991
2022-08-09,54.6651
2022-08-10,55.7222
2022-08-11,53.9426
2022-08-12,56.8117
2022-08-13,56.8117
2022-08-14,56.8117
2022-08-15,57.572
2022-08-16,58.3308
2022-08-17,59.0574
2022-08-18,59.4417
2022-08-19,59.6826
2022-08-20,59.6826
2022-08-21,59.6826
2022-08-22,58.4261
2022-08-23,56.514
2022-08-24,55.8404
2022-08-25,57.5134
2022-08-26,56.6389
2022-08-27,56.6389
2022-08-28,56.6389
2022-08-29,56.4114
2022-08-30,53.2682
2022-08-31,51.1504
2022-09-01,52.9343
2022-09-02,51.6474
2022-09-03,51.6474
2022-09-04,51.6474
2022-09-05,51.6474
2022-09-06,51.3765
2022-09-07,54.9669
2022-09-08,54.5091
2022-09-09,56.1117
2022-09-10,56.1117
2022-09-11,56.1117
2022-09-12,56.9404
2022-09-13,53.1211
2022-09-14,54.6138
2022-09-15,51.51
2022-09-16,51.6804
2022-09-17,51.6804
2022-09-18,51.6804
2022-09-19,53.5027
2022-09-20,50.5352
2022-09-21,48.35
2022-09-22,48.4503
2022-09-23,45.6283
2022-09-24,45.6283
2022-09-25,45.6283
2022-09-26,42.9402
2022-09-27,39.6201
2022-09-28,43.1737
2022-09-29,40.2528
2022-09-30,38.3916
2022-10-01,38.3916
2022-10-02,38.3916
2022-10-03,41.9688
2022-10-04,43.991
2022-10-05,41.5277
2022-10-06,37.6918
2022-10-07,36.6565
2022-10-08,36.6565
2022-10-09,36.6565
2022-10-10,37.6739
2022-10-11,36.9018
2022-10-12,34.7867
2022-10-13,34.566
2022-10-14,33.4373
2022-10-15,33.4373
2022-10-16,33.4373
2022-10-17,37.3006
2022-10-18,38.8657
2022-10-19,37.5052
2022-10-20,35.4388
2022-10-21,35.9194
2022-10-22,35.9194
2022-10-23,35.9194
2022-10-24,36.4285
2022-10-25,39.141
2022-10-26,39.875
2022-10-27,42.329
2022-10-28,44.3603
2022-10-29,44.3603
2022-10-30,44.3603
2022-10-31,43.6685
2022-11-01,44.1907
2022-11-02,43.3169
2022-11-03,41.1374
2022-11-04,43.5012
2022-11-05,43.5012
2022-11-06,43.5012
2022-11-07,41.1586
2022-11-08,42.7532
2022-11-09,43.2832
2022-11-10,49.0542
2022-11-11,48.2545
2022-11-12,48.2545
2022-11-13,48.2545
2022-11-14,47.8659
2022-11-15,48.8654
2022-11-16,49.1906
2022-11-17,48.4228
2022-11-18,51.4421
2022-11-19,51.4421
2022-11-20,51.4421
2022-11-21,52.2411
2022-11-22,53.4301
2022-11-23,54.1852
2022-11-24,54.1852
2022-11-25,55.264
2022-11-26,55.264
2022-11-27,55.264
2022-11-28,54.9536
2022-11-29,54.4396
2022-11-30,56.5729
2022-12-01,54.3205
2022-12-02,55.2182
2022-12-03,55.2182
2022-12-04,55.2182
2022-12-05,53.4403
2022-12-06,53.4206
2022-12-07,52.457
2022-12-08,53.7165
2022-12-09,53.2577
2022-12-10,53.2577
2022-12-11,53.2577
2022-12-12,54.6773
2022-12-13,54.5017
2022-12-14,53.4364
2022-12-15,50.6418
2022-12-16,50.022
2022-12-17,50.022
2022-12-18,50.022
2022-12-19,49.6657
2022-12-20,49.818
2022-12-21,52.0268
2022-12-22,50.4651
2022-12-23,52.2651
2022-12-24,52.2651
2022-12-25,52.2651
2022-12-26,52.2651
2022-12-27,53.6188
2022-12-28,52.8437
2022-12-29,54.7507
2022-12-30,52.9638
2022-12-31,52.9638
2023-01-01,52.9638
2023-01-02,52.9638
2023-01-03,53.1956
2023-01-04,55.1094
2023-01-05,51.6873
2023-01-06,55.8256
2023-01-07,55.8256
2023-01-08,55.8256
2023-01-09,53.8707
2023-01-10,53.7801
2023-01-11,56.5936
2023-01-12,57.5445
2023-01-13,56.6482
2023-01-14,56.6482
2023-01-15,56.6482
2023-01-16,56.6482
2023-01-17,53.437
2023-01-18,51.5107
2023-01-19,51.3583
2023-01-20,52.5609
2023-01-21,52.5609
2023-01-22,52.5609
2023-01-23,51.8973
2023-01-24,51.5259
2023-01-25,52.4498
2023-01-26,53.3047
2023-01-27,53.0517
2023-01-28,53.0517
2023-01-29,53.0517
2023-01-30,52.587
2023-01-31,55.4364
2023-02-01,55.6319
2023-02-02,57.6192
2023-02-03,53.7371
2023-02-04,53.7371
2023-02-05,53.7371
2023-02-06,52.4021
2023-02-07,51.405
2023-02-08,38.8174
2023-02-09,37.0786
2023-02-10,39.2477
2023-02-11,39.2477
2023-02-12,39.2477
2023-02-13,39.6523
2023-02-14,39.159
2023-02-15,40.8713
2023-02-16,40.9429
2023-02-17,42.3637
2023-02-18,42.3637
2023-02-19,42.3637
2023-02-20,42.3637
2023-02-21,39.8903
2023-02-22,39.2136
2023-02-23,38.4583
2023-02-24,39.4087
2023-02-25,39.4087
2023-02-26,39.4087
2023-02-27,38.8882
2023-02-28,37.2308
2023-03-01,36.7971
2023-03-02,38.1767
2023-03-03,39.8871
2023-03-04,39.8871
2023-03-05,39.8871
2023-03-06,39.0533
2023-03-07,37.4673
2023-03-08,38.7812
2023-03-09,38.1461
2023-03-10,36.2525
2023-03-11,36.2525
2023-03-12,36.2525
2023-03-13,37.75
2023-03-14,40.8988
2023-03-15,40.7492
2023-03-16,41.5784
2023-03-17,40.4273
2023-03-18,40.4273
