,INDB US Equity
2020-03-26,46.6122
2020-03-27,45.5363
2020-03-28,45.5363
2020-03-29,45.5363
2020-03-30,47.0394
2020-03-31,46.8131
2020-04-01,46.5453
2020-04-02,49.4482
2020-04-03,46.2764
2020-04-04,46.2764
2020-04-05,46.2764
2020-04-06,49.6266
2020-04-07,47.7936
2020-04-08,49.4871
2020-04-09,52.514
2020-04-10,52.514
2020-04-11,52.514
2020-04-12,52.514
2020-04-13,50.7214
2020-04-14,52.2972
2020-04-15,48.7714
2020-04-16,47.9211
2020-04-17,50.5026
2020-04-18,50.5026
2020-04-19,50.5026
2020-04-20,50.0553
2020-04-21,48.8436
2020-04-22,49.348
2020-04-23,49.7726
2020-04-24,49.1989
2020-04-25,49.1989
2020-04-26,49.1989
2020-04-27,52.0573
2020-04-28,53.4131
2020-04-29,55.9508
2020-04-30,53.0472
2020-05-01,51.1337
2020-05-02,51.1337
2020-05-03,51.1337
2020-05-04,49.4791
2020-05-05,48.2183
2020-05-06,47.5707
2020-05-07,46.5388
2020-05-08,48.835
2020-05-09,48.835
2020-05-10,48.835
2020-05-11,46.8239
2020-05-12,45.3257
2020-05-13,42.8306
2020-05-14,42.3555
2020-05-15,42.0278
2020-05-16,42.0278
2020-05-17,42.0278
2020-05-18,46.6816
2020-05-19,45.2513
2020-05-20,48.7373
2020-05-21,49.0077
2020-05-22,48.1911
2020-05-23,48.1911
2020-05-24,48.1911
2020-05-25,48.1911
2020-05-26,51.7176
2020-05-27,55.1652
2020-05-28,53.3186
2020-05-29,51.771
2020-05-30,51.771
2020-05-31,51.771
2020-06-01,51.8168
2020-06-02,51.3767
2020-06-03,53.0144
2020-06-04,54.1434
2020-06-05,56.7167
2020-06-06,56.7167
2020-06-07,56.7167
2020-06-08,56.0249
2020-06-09,55.1215
2020-06-10,52.296
2020-06-11,47.1796
2020-06-12,48.4142
2020-06-13,48.4142
2020-06-14,48.4142
2020-06-15,49.0716
2020-06-16,50.2516
2020-06-17,48.9003
2020-06-18,49.0377
2020-06-19,49.8239
2020-06-20,49.8239
2020-06-21,49.8239
2020-06-22,49.8239
2020-06-23,49.0967
2020-06-24,46.1227
2020-06-25,47.5964
2020-06-26,45.8084
2020-06-27,45.8084
2020-06-28,45.8084
2020-06-29,48.1817
2020-06-30,50.1585
2020-07-01,48.0507
2020-07-02,48.0074
2020-07-03,48.0074
2020-07-04,48.0074
2020-07-05,48.0074
2020-07-06,47.7033
2020-07-07,46.6886
2020-07-08,46.2842
2020-07-09,45.4842
2020-07-10,47.2548
2020-07-11,47.2548
2020-07-12,47.2548
2020-07-13,48.1047
2020-07-14,47.4041
2020-07-15,50.3607
2020-07-16,50.0865
2020-07-17,49.0001
2020-07-18,49.0001
2020-07-19,49.0001
2020-07-20,47.908
2020-07-21,51.3599
2020-07-22,50.361
2020-07-23,51.5329
2020-07-24,50.7905
2020-07-25,50.7905
2020-07-26,50.7905
2020-07-27,49.6975
2020-07-28,49.1281
2020-07-29,50.7496
2020-07-30,49.7467
2020-07-31,48.7409
2020-08-01,48.7409
2020-08-02,48.7409
2020-08-03,48.3477
2020-08-04,47.7968
2020-08-05,50.1763
2020-08-06,49.7867
2020-08-07,52.7454
2020-08-08,52.7454
2020-08-09,52.7454
2020-08-10,53.8737
2020-08-11,54.1615
2020-08-12,53.5484
2020-08-13,52.0525
2020-08-14,52.6555
2020-08-15,52.6555
2020-08-16,52.6555
2020-08-17,51.7447
2020-08-18,50.6635
2020-08-19,49.9106
2020-08-20,47.8781
2020-08-21,46.99
2020-08-22,46.99
2020-08-23,46.99
2020-08-24,49.2767
2020-08-25,49.2883
2020-08-26,47.5985
2020-08-27,48.6904
2020-08-28,47.5181
2020-08-29,47.5181
2020-08-30,47.5181
2020-08-31,46.2761
2020-09-01,46.1524
2020-09-02,46.5554
2020-09-03,45.8107
2020-09-04,46.1642
2020-09-05,46.1642
2020-09-06,46.1642
2020-09-07,46.1642
2020-09-08,42.6204
2020-09-09,41.3931
2020-09-10,39.9445
2020-09-11,39.0854
2020-09-12,39.0854
2020-09-13,39.0854
2020-09-14,40.3654
2020-09-15,39.9943
2020-09-16,38.1789
2020-09-17,37.6137
2020-09-18,37.4703
2020-09-19,37.4703
2020-09-20,37.4703
2020-09-21,35.7572
2020-09-22,34.9216
2020-09-23,33.6541
2020-09-24,34.0054
2020-09-25,34.1778
2020-09-26,34.1778
2020-09-27,34.1778
2020-09-28,34.6098
2020-09-29,35.1897
2020-09-30,38.5896
2020-10-01,38.3163
2020-10-02,39.7368
2020-10-03,39.7368
2020-10-04,39.7368
2020-10-05,42.3712
2020-10-06,44.2359
2020-10-07,44.2077
2020-10-08,44.8978
2020-10-09,43.8928
2020-10-10,43.8928
2020-10-11,43.8928
2020-10-12,43.8182
2020-10-13,41.2368
2020-10-14,39.0572
2020-10-15,40.6305
2020-10-16,41.7529
2020-10-17,41.7529
2020-10-18,41.7529
2020-10-19,39.5672
2020-10-20,40.7822
2020-10-21,41.579
2020-10-22,47.3995
2020-10-23,51.4876
2020-10-24,51.4876
2020-10-25,51.4876
2020-10-26,52.7727
2020-10-27,51.4431
2020-10-28,47.9496
2020-10-29,48.9695
2020-10-30,50.1633
2020-10-31,50.1633
2020-11-01,50.1633
2020-11-02,53.6706
2020-11-03,56.4513
2020-11-04,51.1664
2020-11-05,52.2701
2020-11-06,51.3242
2020-11-07,51.3242
2020-11-08,51.3242
2020-11-09,61.5087
2020-11-10,64.1473
2020-11-11,59.5323
2020-11-12,57.7259
2020-11-13,59.7897
2020-11-14,59.7897
2020-11-15,59.7897
2020-11-16,62.0321
2020-11-17,61.2702
2020-11-18,59.1868
2020-11-19,59.4065
2020-11-20,59.4412
2020-11-21,59.4412
2020-11-22,59.4412
2020-11-23,59.806
2020-11-24,62.5193
2020-11-25,59.9849
2020-11-26,59.9849
2020-11-27,59.8289
2020-11-28,59.8289
2020-11-29,59.8289
2020-11-30,55.6611
2020-12-01,56.3672
2020-12-02,58.2911
2020-12-03,58.1521
2020-12-04,59.853
2020-12-05,59.853
2020-12-06,59.853
2020-12-07,59.7599
2020-12-08,60.513
2020-12-09,61.0221
2020-12-10,61.2345
2020-12-11,61.9341
2020-12-12,61.9341
2020-12-13,61.9341
2020-12-14,62.439
2020-12-15,64.0031
2020-12-16,62.9563
2020-12-17,60.4016
2020-12-18,60.2942
2020-12-19,60.2942
2020-12-20,60.2942
2020-12-21,58.1995
2020-12-22,56.0243
2020-12-23,58.8313
2020-12-24,59.071
2020-12-25,59.071
2020-12-26,59.071
2020-12-27,59.071
2020-12-28,59.558
2020-12-29,56.1896
2020-12-30,57.1082
2020-12-31,57.1422
2021-01-01,57.1422
2021-01-02,57.1422
2021-01-03,57.1422
2021-01-04,56.4629
2021-01-05,58.2036
2021-01-06,63.0454
2021-01-07,64.669
2021-01-08,59.376
2021-01-09,59.376
2021-01-10,59.376
2021-01-11,60.5521
2021-01-12,61.8854
2021-01-13,59.9752
2021-01-14,61.3306
2021-01-15,60.9068
2021-01-16,60.9068
2021-01-17,60.9068
2021-01-18,60.9068
2021-01-19,60.4153
2021-01-20,61.1137
2021-01-21,59.1081
2021-01-22,58.2098
2021-01-23,58.2098
2021-01-24,58.2098
2021-01-25,58.6003
2021-01-26,58.7884
2021-01-27,55.5765
2021-01-28,55.5014
2021-01-29,53.4267
2021-01-30,53.4267
2021-01-31,53.4267
2021-02-01,55.4234
2021-02-02,57.3163
2021-02-03,54.2521
2021-02-04,56.0262
2021-02-05,54.732
2021-02-06,54.732
2021-02-07,54.732
2021-02-08,57.7388
2021-02-09,60.1661
2021-02-10,58.8857
2021-02-11,58.8255
2021-02-12,55.4516
2021-02-13,55.4516
2021-02-14,55.4516
2021-02-15,55.4516
2021-02-16,57.8954
2021-02-17,58.3679
2021-02-18,59.5878
2021-02-19,60.5285
2021-02-20,60.5285
2021-02-21,60.5285
2021-02-22,62.0962
2021-02-23,62.467
2021-02-24,64.9417
2021-02-25,62.2346
2021-02-26,60.9135
2021-02-27,60.9135
2021-02-28,60.9135
2021-03-01,63.1507
2021-03-02,60.4109
2021-03-03,61.9114
2021-03-04,61.9681
2021-03-05,64.8679
2021-03-06,64.8679
2021-03-07,64.8679
2021-03-08,67.4955
2021-03-09,67.526
2021-03-10,68.6356
2021-03-11,69.7488
2021-03-12,70.7247
2021-03-13,70.7247
2021-03-14,70.7247
2021-03-15,66.4049
2021-03-16,63.1279
2021-03-17,61.7723
2021-03-18,61.1432
2021-03-19,58.6708
2021-03-20,58.6708
2021-03-21,58.6708
2021-03-22,55.5672
2021-03-23,51.2583
2021-03-24,51.549
2021-03-25,52.8526
2021-03-26,54.3621
2021-03-27,54.3621
2021-03-28,54.3621
2021-03-29,51.6579
2021-03-30,51.7458
2021-03-31,50.9433
2021-04-01,51.4433
2021-04-02,51.4433
2021-04-03,51.4433
2021-04-04,51.4433
2021-04-05,51.4671
2021-04-06,50.4064
2021-04-07,49.0582
2021-04-08,48.743
2021-04-09,50.0702
2021-04-10,50.0702
2021-04-11,50.0702
2021-04-12,50.3627
2021-04-13,47.13
2021-04-14,48.4631
2021-04-15,48.1524
2021-04-16,48.9565
2021-04-17,48.9565
2021-04-18,48.9565
2021-04-19,47.9179
2021-04-20,43.4699
2021-04-21,45.5245
2021-04-22,44.9255
2021-04-23,48.25
2021-04-24,48.25
2021-04-25,48.25
2021-04-26,50.4023
2021-04-27,51.5091
2021-04-28,51.8159
2021-04-29,50.3333
2021-04-30,48.7306
2021-05-01,48.7306
2021-05-02,48.7306
2021-05-03,50.667
2021-05-04,50.2415
2021-05-05,48.0464
2021-05-06,48.5033
2021-05-07,46.2419
2021-05-08,46.2419
2021-05-09,46.2419
2021-05-10,45.6783
2021-05-11,43.9166
2021-05-12,41.7058
2021-05-13,45.4764
2021-05-14,47.5098
2021-05-15,47.5098
2021-05-16,47.5098
2021-05-17,47.4842
2021-05-18,45.0107
2021-05-19,44.9493
2021-05-20,45.3508
2021-05-21,47.1898
2021-05-22,47.1898
2021-05-23,47.1898
2021-05-24,46.1718
2021-05-25,43.3702
2021-05-26,46.6289
2021-05-27,49.943
2021-05-28,50.5304
2021-05-29,50.5304
2021-05-30,50.5304
2021-05-31,50.5304
2021-06-01,50.9366
2021-06-02,49.4798
2021-06-03,50.1464
2021-06-04,50.0882
2021-06-05,50.0882
2021-06-06,50.0882
2021-06-07,50.826
2021-06-08,50.425
2021-06-09,49.6305
2021-06-10,48.318
2021-06-11,47.298
2021-06-12,47.298
2021-06-13,47.298
2021-06-14,46.3463
2021-06-15,48.1617
2021-06-16,50.7168
2021-06-17,46.3513
2021-06-18,42.2635
2021-06-19,42.2635
2021-06-20,42.2635
2021-06-21,45.7072
2021-06-22,45.9205
2021-06-23,46.1083
2021-06-24,47.4452
2021-06-25,47.7467
2021-06-26,47.7467
2021-06-27,47.7467
2021-06-28,43.6424
2021-06-29,43.437
2021-06-30,43.7791
2021-07-01,44.4394
2021-07-02,42.8236
2021-07-03,42.8236
2021-07-04,42.8236
2021-07-05,42.8236
2021-07-06,39.5229
2021-07-07,39.2838
2021-07-08,37.2112
2021-07-09,41.1284
2021-07-10,41.1284
2021-07-11,41.1284
2021-07-12,41.3552
2021-07-13,39.7121
2021-07-14,40.2577
2021-07-15,42.3624
2021-07-16,40.6772
2021-07-17,40.6772
2021-07-18,40.6772
2021-07-19,38.4187
2021-07-20,39.9083
2021-07-21,40.5792
2021-07-22,38.4431
2021-07-23,39.3157
2021-07-24,39.3157
2021-07-25,39.3157
2021-07-26,40.7032
2021-07-27,39.495
2021-07-28,42.5676
2021-07-29,42.528
2021-07-30,42.6569
2021-07-31,42.6569
2021-08-01,42.6569
2021-08-02,43.2031
2021-08-03,45.0875
2021-08-04,43.4202
2021-08-05,44.7483
2021-08-06,48.5162
2021-08-07,48.5162
2021-08-08,48.5162
2021-08-09,47.3304
2021-08-10,51.8334
2021-08-11,52.4618
2021-08-12,52.5076
2021-08-13,52.3858
2021-08-14,52.3858
2021-08-15,52.3858
2021-08-16,53.2353
2021-08-17,51.7573
2021-08-18,50.6746
2021-08-19,51.4327
2021-08-20,54.5683
2021-08-21,54.5683
2021-08-22,54.5683
2021-08-23,55.8347
2021-08-24,54.4746
2021-08-25,54.1861
2021-08-26,52.3692
2021-08-27,55.0448
2021-08-28,55.0448
2021-08-29,55.0448
2021-08-30,51.0415
2021-08-31,52.1541
2021-09-01,51.0596
2021-09-02,50.2503
2021-09-03,49.3185
2021-09-04,49.3185
2021-09-05,49.3185
2021-09-06,49.3185
2021-09-07,48.0151
2021-09-08,47.0377
2021-09-09,45.7039
2021-09-10,42.4271
2021-09-11,42.4271
2021-09-12,42.4271
2021-09-13,43.495
2021-09-14,40.5583
2021-09-15,42.2327
2021-09-16,42.3743
2021-09-17,44.7754
2021-09-18,44.7754
2021-09-19,44.7754
2021-09-20,42.7779
2021-09-21,42.6266
2021-09-22,44.9048
2021-09-23,49.6793
2021-09-24,50.5848
2021-09-25,50.5848
2021-09-26,50.5848
2021-09-27,54.7195
2021-09-28,52.6512
2021-09-29,55.5528
2021-09-30,53.5537
2021-10-01,57.7439
2021-10-02,57.7439
2021-10-03,57.7439
2021-10-04,57.8076
2021-10-05,54.8474
2021-10-06,55.6353
2021-10-07,58.587
2021-10-08,59.6304
2021-10-09,59.6304
2021-10-10,59.6304
2021-10-11,60.1379
2021-10-12,58.9874
2021-10-13,56.5535
2021-10-14,57.2068
2021-10-15,57.5036
2021-10-16,57.5036
2021-10-17,57.5036
2021-10-18,58.3058
2021-10-19,59.6934
2021-10-20,62.4526
2021-10-21,60.7851
2021-10-22,62.4956
2021-10-23,62.4956
2021-10-24,62.4956
2021-10-25,60.2738
2021-10-26,58.2427
2021-10-27,55.8022
2021-10-28,59.6316
2021-10-29,59.976
2021-10-30,59.976
2021-10-31,59.976
2021-11-01,63.2945
2021-11-02,63.4528
2021-11-03,66.6745
2021-11-04,64.0851
2021-11-05,65.1922
2021-11-06,65.1922
2021-11-07,65.1922
2021-11-08,66.2404
2021-11-09,66.2783
2021-11-10,60.666
2021-11-11,62.072
2021-11-12,58.711
2021-11-13,58.711
2021-11-14,58.711
2021-11-15,58.3047
2021-11-16,58.4762
2021-11-17,56.4428
2021-11-18,55.3609
2021-11-19,53.8294
2021-11-20,53.8294
2021-11-21,53.8294
2021-11-22,55.514
2021-11-23,55.9581
2021-11-24,55.0964
2021-11-25,55.0964
2021-11-26,48.96
2021-11-27,48.96
2021-11-28,48.96
2021-11-29,47.1116
2021-11-30,45.5943
2021-12-01,45.4067
2021-12-02,49.2773
2021-12-03,47.0577
2021-12-04,47.0577
2021-12-05,47.0577
2021-12-06,50.8321
2021-12-07,50.4923
2021-12-08,50.923
2021-12-09,48.7305
2021-12-10,49.6546
2021-12-11,49.6546
2021-12-12,49.6546
2021-12-13,48.5236
2021-12-14,49.9256
2021-12-15,48.2433
2021-12-16,47.4364
2021-12-17,45.6122
2021-12-18,45.6122
2021-12-19,45.6122
2021-12-20,43.8552
2021-12-21,47.2176
2021-12-22,47.9141
2021-12-23,48.2909
2021-12-24,48.2909
2021-12-25,48.2909
2021-12-26,48.2909
2021-12-27,50.3901
2021-12-28,50.3039
2021-12-29,51.3517
2021-12-30,51.0922
2021-12-31,50.6715
2022-01-01,50.6715
2022-01-02,50.6715
2022-01-03,53.3084
2022-01-04,55.0578
2022-01-05,53.1293
2022-01-06,56.974
2022-01-07,57.3841
2022-01-08,57.3841
2022-01-09,57.3841
2022-01-10,59.3632
2022-01-11,56.4357
2022-01-12,55.2506
2022-01-13,55.9234
2022-01-14,56.8274
2022-01-15,56.8274
2022-01-16,56.8274
2022-01-17,56.8274
2022-01-18,53.5336
2022-01-19,50.76
2022-01-20,46.3918
2022-01-21,51.228
2022-01-22,51.228
2022-01-23,51.228
2022-01-24,51.2656
2022-01-25,52.258
2022-01-26,51.9075
2022-01-27,50.0868
2022-01-28,50.2796
2022-01-29,50.2796
2022-01-30,50.2796
2022-01-31,52.2949
2022-02-01,52.0149
2022-02-02,50.6995
2022-02-03,49.8641
2022-02-04,52.8002
2022-02-05,52.8002
2022-02-06,52.8002
2022-02-07,53.0327
2022-02-08,56.3199
2022-02-09,53.5988
2022-02-10,53.266
2022-02-11,52.7577
2022-02-12,52.7577
2022-02-13,52.7577
2022-02-14,52.304
2022-02-15,55.5877
2022-02-16,53.5007
2022-02-17,51.7202
2022-02-18,52.3511
2022-02-19,52.3511
2022-02-20,52.3511
2022-02-21,52.3511
2022-02-22,51.1225
2022-02-23,50.0145
2022-02-24,48.1084
2022-02-25,53.1486
2022-02-26,53.1486
2022-02-27,53.1486
2022-02-28,53.2554
2022-03-01,47.3538
2022-03-02,51.8075
2022-03-03,51.8816
2022-03-04,49.3316
2022-03-05,49.3316
2022-03-06,49.3316
2022-03-07,47.3442
2022-03-08,46.823
2022-03-09,49.2939
2022-03-10,50.2556
2022-03-11,51.1238
2022-03-12,51.1238
2022-03-13,51.1238
2022-03-14,50.7817
2022-03-15,50.1704
2022-03-16,52.6877
2022-03-17,50.8092
2022-03-18,53.5771
2022-03-19,53.5771
2022-03-20,53.5771
2022-03-21,50.6689
2022-03-22,51.8673
2022-03-23,47.9332
2022-03-24,49.357
2022-03-25,52.2831
2022-03-26,52.2831
2022-03-27,52.2831
2022-03-28,51.4016
2022-03-29,51.785
2022-03-30,49.6668
2022-03-31,47.7343
2022-04-01,47.4509
2022-04-02,47.4509
2022-04-03,47.4509
2022-04-04,46.3493
2022-04-05,45.2384
2022-04-06,43.7024
2022-04-07,43.6905
2022-04-08,42.2624
2022-04-09,42.2624
2022-04-10,42.2624
2022-04-11,43.2223
2022-04-12,43.4815
2022-04-13,45.3371
2022-04-14,44.509
2022-04-15,44.509
2022-04-16,44.509
2022-04-17,44.509
2022-04-18,44.5755
2022-04-19,46.8802
2022-04-20,48.1858
2022-04-21,47.4937
2022-04-22,45.0849
2022-04-23,45.0849
2022-04-24,45.0849
2022-04-25,45.7418
2022-04-26,42.6811
2022-04-27,43.5967
2022-04-28,46.0203
2022-04-29,44.0097
2022-04-30,44.0097
2022-05-01,44.0097
2022-05-02,44.4507
2022-05-03,45.2402
2022-05-04,48.3908
2022-05-05,45.4718
2022-05-06,45.2525
2022-05-07,45.2525
2022-05-08,45.2525
2022-05-09,44.8469
2022-05-10,43.9477
2022-05-11,43.3575
2022-05-12,45.0479
2022-05-13,44.5452
2022-05-14,44.5452
2022-05-15,44.5452
2022-05-16,43.8454
2022-05-17,48.9471
2022-05-18,48.7252
2022-05-19,47.907
2022-05-20,49.9199
2022-05-21,49.9199
2022-05-22,49.9199
2022-05-23,52.4029
2022-05-24,50.7139
2022-05-25,51.7279
2022-05-26,54.1887
2022-05-27,55.702
2022-05-28,55.702
2022-05-29,55.702
2022-05-30,55.702
2022-05-31,55.2438
2022-06-01,53.6904
2022-06-02,55.721
2022-06-03,55.4768
2022-06-04,55.4768
2022-06-05,55.4768
2022-06-06,55.5233
2022-06-07,56.0616
2022-06-08,52.9794
2022-06-09,48.9938
2022-06-10,49.0464
2022-06-11,49.0464
2022-06-12,49.0464
2022-06-13,45.879
2022-06-14,47.5235
2022-06-15,48.4494
2022-06-16,45.138
2022-06-17,47.2268
2022-06-18,47.2268
2022-06-19,47.2268
2022-06-20,47.2268
2022-06-21,50.0517
2022-06-22,49.6264
2022-06-23,47.6297
2022-06-24,48.7041
2022-06-25,48.7041
2022-06-26,48.7041
2022-06-27,50.4184
2022-06-28,50.4011
2022-06-29,49.4043
2022-06-30,49.2629
2022-07-01,52.9071
2022-07-02,52.9071
2022-07-03,52.9071
2022-07-04,52.9071
2022-07-05,52.8132
2022-07-06,51.215
2022-07-07,50.3983
2022-07-08,50.7308
2022-07-09,50.7308
2022-07-10,50.7308
2022-07-11,49.9231
2022-07-12,49.9427
2022-07-13,47.4782
2022-07-14,45.0695
2022-07-15,48.8926
2022-07-16,48.8926
2022-07-17,48.8926
2022-07-18,49.3319
2022-07-19,52.2138
2022-07-20,54.5455
2022-07-21,53.0491
2022-07-22,53.6206
2022-07-23,53.6206
2022-07-24,53.6206
2022-07-25,56.4304
2022-07-26,56.3051
2022-07-27,56.1332
2022-07-28,57.1977
2022-07-29,56.4332
2022-07-30,56.4332
2022-07-31,56.4332
2022-08-01,57.4371
2022-08-02,54.3964
2022-08-03,55.8369
2022-08-04,55.1913
2022-08-05,56.6227
2022-08-06,56.6227
2022-08-07,56.6227
2022-08-08,56.4594
2022-08-09,57.3677
2022-08-10,59.1654
2022-08-11,60.3523
2022-08-12,60.7735
2022-08-13,60.7735
2022-08-14,60.7735
2022-08-15,62.0418
2022-08-16,62.9866
2022-08-17,58.8826
2022-08-18,58.8573
2022-08-19,56.7414
2022-08-20,56.7414
2022-08-21,56.7414
2022-08-22,51.6012
2022-08-23,48.0769
2022-08-24,46.9645
2022-08-25,46.2885
2022-08-26,44.788
2022-08-27,44.788
2022-08-28,44.788
2022-08-29,42.5172
2022-08-30,43.3918
2022-08-31,42.0844
2022-09-01,41.0606
2022-09-02,39.8245
2022-09-03,39.8245
2022-09-04,39.8245
2022-09-05,39.8245
2022-09-06,38.1546
2022-09-07,38.9189
2022-09-08,40.6391
2022-09-09,44.4917
2022-09-10,44.4917
2022-09-11,44.4917
2022-09-12,45.5744
2022-09-13,41.5884
2022-09-14,41.9798
2022-09-15,43.9234
2022-09-16,46.5181
2022-09-17,46.5181
2022-09-18,46.5181
2022-09-19,48.2056
2022-09-20,48.5786
2022-09-21,47.459
2022-09-22,45.8667
2022-09-23,45.3135
2022-09-24,45.3135
2022-09-25,45.3135
2022-09-26,44.8123
2022-09-27,42.072
2022-09-28,43.3316
2022-09-29,42.1821
2022-09-30,39.9708
2022-10-01,39.9708
2022-10-02,39.9708
2022-10-03,42.7106
2022-10-04,49.1995
2022-10-05,48.8782
2022-10-06,49.0805
2022-10-07,45.9566
2022-10-08,45.9566
2022-10-09,45.9566
2022-10-10,47.1309
2022-10-11,47.987
2022-10-12,48.1564
2022-10-13,53.3095
2022-10-14,53.6551
2022-10-15,53.6551
2022-10-16,53.6551
2022-10-17,55.2074
2022-10-18,56.2475
2022-10-19,56.5307
2022-10-20,51.9244
2022-10-21,57.2453
2022-10-22,57.2453
2022-10-23,57.2453
2022-10-24,59.1147
2022-10-25,60.7209
2022-10-26,60.699
2022-10-27,60.6539
2022-10-28,62.2085
2022-10-29,62.2085
2022-10-30,62.2085
2022-10-31,62.438
2022-11-01,62.3401
2022-11-02,58.5851
2022-11-03,57.4967
2022-11-04,60.2352
2022-11-05,60.2352
2022-11-06,60.2352
2022-11-07,61.0798
2022-11-08,60.2058
2022-11-09,58.8174
2022-11-10,62.3771
2022-11-11,58.0308
2022-11-12,58.0308
2022-11-13,58.0308
2022-11-14,56.5744
2022-11-15,56.7189
2022-11-16,55.9065
2022-11-17,55.0902
2022-11-18,57.037
2022-11-19,57.037
2022-11-20,57.037
2022-11-21,59.4157
2022-11-22,60.211
2022-11-23,59.1729
2022-11-24,59.1729
2022-11-25,60.6844
2022-11-26,60.6844
2022-11-27,60.6844
2022-11-28,58.9391
2022-11-29,59.3901
2022-11-30,62.5516
2022-12-01,63.0382
2022-12-02,63.9641
2022-12-03,63.9641
2022-12-04,63.9641
2022-12-05,57.1102
2022-12-06,55.9764
2022-12-07,54.2937
2022-12-08,55.035
2022-12-09,56.4466
2022-12-10,56.4466
2022-12-11,56.4466
2022-12-12,57.4385
2022-12-13,49.6192
2022-12-14,47.6616
2022-12-15,45.1088
2022-12-16,45.0483
2022-12-17,45.0483
2022-12-18,45.0483
2022-12-19,46.9263
2022-12-20,47.8482
2022-12-21,49.8111
2022-12-22,49.3095
2022-12-23,50.9757
2022-12-24,50.9757
2022-12-25,50.9757
2022-12-26,50.9757
2022-12-27,51.7781
2022-12-28,50.3691
2022-12-29,51.5885
2022-12-30,50.1817
2022-12-31,50.1817
2023-01-01,50.1817
2023-01-02,50.1817
2023-01-03,46.8019
2023-01-04,43.798
2023-01-05,42.8055
2023-01-06,45.8992
2023-01-07,45.8992
2023-01-08,45.8992
2023-01-09,42.6527
2023-01-10,44.3809
2023-01-11,44.3512
2023-01-12,47.1184
2023-01-13,46.9584
2023-01-14,46.9584
2023-01-15,46.9584
2023-01-16,46.9584
2023-01-17,46.2438
2023-01-18,43.6954
2023-01-19,43.1075
2023-01-20,39.7977
2023-01-21,39.7977
2023-01-22,39.7977
2023-01-23,39.555
2023-01-24,39.9757
2023-01-25,39.2966
2023-01-26,42.9127
2023-01-27,41.9854
2023-01-28,41.9854
2023-01-29,41.9854
2023-01-30,41.3886
2023-01-31,46.3764
2023-02-01,47.491
2023-02-02,50.0275
2023-02-03,51.7035
2023-02-04,51.7035
2023-02-05,51.7035
2023-02-06,49.7363
2023-02-07,51.1201
2023-02-08,48.7658
2023-02-09,48.025
2023-02-10,48.5816
2023-02-11,48.5816
2023-02-12,48.5816
2023-02-13,49.073
2023-02-14,47.5075
2023-02-15,48.656
2023-02-16,48.675
2023-02-17,49.0853
2023-02-18,49.0853
2023-02-19,49.0853
2023-02-20,49.0853
2023-02-21,47.7503
2023-02-22,47.3935
2023-02-23,47.9651
2023-02-24,48.8174
2023-02-25,48.8174
2023-02-26,48.8174
2023-02-27,47.6468
2023-02-28,46.4546
2023-03-01,44.4416
2023-03-02,42.3963
2023-03-03,43.5848
2023-03-04,43.5848
2023-03-05,43.5848
2023-03-06,42.4434
2023-03-07,39.5679
2023-03-08,39.618
2023-03-09,33.2715
2023-03-10,32.4734
2023-03-11,32.4734
2023-03-12,32.4734
2023-03-13,27.6407
2023-03-14,32.5117
2023-03-15,31.7807
2023-03-16,39.879
2023-03-17,36.3956
2023-03-18,36.3956
2023-03-19,36.3956
