,ZBH US Equity
,RSI_30D
2021-01-07,60.2852
2021-01-08,59.9312
2021-01-09,59.9312
2021-01-10,59.9312
2021-01-11,59.966
2021-01-12,60.5532
2021-01-13,62.6816
2021-01-14,62.3137
2021-01-15,59.5735
2021-01-16,59.5735
2021-01-17,59.5735
2021-01-18,59.5735
2021-01-19,59.3683
2021-01-20,61.8917
2021-01-21,61.3336
2021-01-22,59.1804
2021-01-23,59.1804
2021-01-24,59.1804
2021-01-25,57.3642
2021-01-26,56.2199
2021-01-27,50.8131
2021-01-28,54.3899
2021-01-29,51.4541
2021-01-30,51.4541
2021-01-31,51.4541
2021-02-01,51.6389
2021-02-02,55.1706
2021-02-03,55.2148
2021-02-04,56.8056
2021-02-05,56.0089
2021-02-06,56.0089
2021-02-07,56.0089
2021-02-08,55.9316
2021-02-09,55.2806
2021-02-10,56.2309
2021-02-11,57.6923
2021-02-12,56.8211
2021-02-13,56.8211
2021-02-14,56.8211
2021-02-15,56.8211
2021-02-16,55.7613
2021-02-17,53.9174
2021-02-18,52.1533
2021-02-19,52.0141
2021-02-20,52.0141
2021-02-21,52.0141
2021-02-22,55.2539
2021-02-23,56.52
2021-02-24,57.9829
2021-02-25,58.6239
2021-02-26,57.0241
2021-02-27,57.0241
2021-02-28,57.0241
2021-03-01,57.3086
2021-03-02,54.8659
2021-03-03,53.3336
2021-03-04,49.8341
2021-03-05,51.9316
2021-03-06,51.9316
2021-03-07,51.9316
2021-03-08,50.0089
2021-03-09,50.1616
2021-03-10,53.5812
2021-03-11,53.4896
2021-03-12,55.9645
2021-03-13,55.9645
2021-03-14,55.9645
2021-03-15,54.2014
2021-03-16,52.9556
2021-03-17,53.2019
2021-03-18,51.5176
2021-03-19,52.7239
2021-03-20,52.7239
2021-03-21,52.7239
2021-03-22,52.8005
2021-03-23,48.6272
2021-03-24,49.9351
2021-03-25,50.3642
2021-03-26,53.8699
2021-03-27,53.8699
2021-03-28,53.8699
2021-03-29,52.7083
2021-03-30,53.6491
2021-03-31,52.4312
2021-04-01,52.345
2021-04-02,52.345
2021-04-03,52.345
2021-04-04,52.345
2021-04-05,54.9337
2021-04-06,55.6809
2021-04-07,54.799
2021-04-08,56.4784
2021-04-09,60.6521
2021-04-10,60.6521
2021-04-11,60.6521
2021-04-12,59.283
2021-04-13,59.3984
2021-04-14,59.2
2021-04-15,62.0291
2021-04-16,62.1236
2021-04-17,62.1236
