,FDS US Equity
,RSI_30D
2020-07-01,59.8793
2020-07-02,60.2895
2020-07-03,60.2895
2020-07-04,60.2895
2020-07-05,60.2895
2020-07-06,60.8782
2020-07-07,61.3466
2020-07-08,63.0498
2020-07-09,62.3536
2020-07-10,63.0924
2020-07-11,63.0924
2020-07-12,63.0924
2020-07-13,60.1044
2020-07-14,62.0859
2020-07-15,62.1416
2020-07-16,61.5218
2020-07-17,62.3232
2020-07-18,62.3232
2020-07-19,62.3232
2020-07-20,62.6524
2020-07-21,62.4356
2020-07-22,62.374
2020-07-23,59.9239
2020-07-24,59.8632
2020-07-25,59.8632
2020-07-26,59.8632
2020-07-27,60.2383
2020-07-28,57.6748
2020-07-29,58.9337
2020-07-30,58.2918
2020-07-31,58.4563
2020-08-01,58.4563
2020-08-02,58.4563
2020-08-03,59.1774
2020-08-04,58.5409
2020-08-05,59.3649
2020-08-06,60.3393
2020-08-07,61.0544
2020-08-08,61.0544
2020-08-09,61.0544
2020-08-10,61.1844
2020-08-11,60.9452
2020-08-12,62.2873
2020-08-13,60.243
2020-08-14,59.5832
2020-08-15,59.5832
2020-08-16,59.5832
2020-08-17,59.895
2020-08-18,61.6157
2020-08-19,61.6511
2020-08-20,59.2423
2020-08-21,59.1708
2020-08-22,59.1708
2020-08-23,59.1708
2020-08-24,59.6283
2020-08-25,58.8919
2020-08-26,58.8699
2020-08-27,57.7396
2020-08-28,57.6041
2020-08-29,57.6041
2020-08-30,57.6041
2020-08-31,56.1715
2020-09-01,56.4737
2020-09-02,57.7886
2020-09-03,49.97
2020-09-04,47.0016
2020-09-05,47.0016
2020-09-06,47.0016
2020-09-07,47.0016
2020-09-08,43.1051
2020-09-09,47.6827
2020-09-10,44.8575
2020-09-11,45.7263
2020-09-12,45.7263
2020-09-13,45.7263
2020-09-14,48.4214
2020-09-15,49.6022
2020-09-16,48.7258
2020-09-17,48.2944
2020-09-18,49.7268
2020-09-19,49.7268
2020-09-20,49.7268
2020-09-21,49.9148
2020-09-22,50.7631
2020-09-23,47.3434
2020-09-24,48.9462
2020-09-25,46.5464
2020-09-26,46.5464
2020-09-27,46.5464
2020-09-28,48.682
2020-09-29,48.971
2020-09-30,49.3759
2020-10-01,46.5201
2020-10-02,44.8508
2020-10-03,44.8508
2020-10-04,44.8508
2020-10-05,44.6301
2020-10-06,44.0869
2020-10-07,45.8698
2020-10-08,47.4169
2020-10-09,46.93
2020-10-10,46.93
2020-10-11,46.93
2020-10-12,47.9527
2020-10-13,50.7656
2020-10-14,50.6192
2020-10-15,51.7798
2020-10-16,52.6185
2020-10-17,52.6185
2020-10-18,52.6185
2020-10-19,49.8442
2020-10-20,49.5419
2020-10-21,49.2963
2020-10-22,46.9702
2020-10-23,47.2421
2020-10-24,47.2421
2020-10-25,47.2421
2020-10-26,44.3757
2020-10-27,42.914
2020-10-28,39.8254
2020-10-29,39.4501
2020-10-30,38.0314
2020-10-31,38.0314
2020-11-01,38.0314
2020-11-02,40.7808
2020-11-03,45.2383
2020-11-04,49.2386
2020-11-05,51.4612
2020-11-06,52.6659
2020-11-07,52.6659
2020-11-08,52.6659
2020-11-09,44.9504
2020-11-10,47.6042
2020-11-11,52.108
2020-11-12,48.3973
2020-11-13,49.6469
2020-11-14,49.6469
2020-11-15,49.6469
2020-11-16,50.2486
2020-11-17,47.9008
2020-11-18,45.8532
2020-11-19,46.1991
2020-11-20,47.581
2020-11-21,47.581
2020-11-22,47.581
2020-11-23,46.6589
2020-11-24,47.0564
2020-11-25,48.0182
2020-11-26,48.0182
2020-11-27,48.5192
2020-11-28,48.5192
2020-11-29,48.5192
2020-11-30,52.7062
2020-12-01,55.5813
2020-12-02,53.1806
2020-12-03,56.5109
2020-12-04,57.833
2020-12-05,57.833
2020-12-06,57.833
2020-12-07,58.041
2020-12-08,56.7419
