,HONE US Equity
2020-04-18,40.7193
2020-04-19,40.7193
2020-04-20,39.6338
2020-04-21,39.5248
2020-04-22,40.0366
2020-04-23,41.9015
2020-04-24,42.4068
2020-04-25,42.4068
2020-04-26,42.4068
2020-04-27,44.9654
2020-04-28,48.5501
2020-04-29,49.4203
2020-04-30,46.8259
2020-05-01,45.588
2020-05-02,45.588
2020-05-03,45.588
2020-05-04,44.5618
2020-05-05,44.0489
2020-05-06,44.6666
2020-05-07,45.2089
2020-05-08,47.8135
2020-05-09,47.8135
2020-05-10,47.8135
2020-05-11,45.7735
2020-05-12,43.271
2020-05-13,41.9595
2020-05-14,44.048
2020-05-15,45.1104
2020-05-16,45.1104
2020-05-17,45.1104
2020-05-18,48.8583
2020-05-19,46.5208
2020-05-20,48.7978
2020-05-21,48.7978
2020-05-22,48.2307
2020-05-23,48.2307
2020-05-24,48.2307
2020-05-25,48.2307
2020-05-26,50.1774
2020-05-27,52.0084
2020-05-28,49.9601
2020-05-29,48.5922
2020-05-30,48.5922
2020-05-31,48.5922
2020-06-01,48.3042
2020-06-02,49.1615
2020-06-03,51.7927
2020-06-04,52.5191
2020-06-05,56.3308
2020-06-06,56.3308
2020-06-07,56.3308
2020-06-08,59.2891
2020-06-09,58.7014
2020-06-10,54.8451
2020-06-11,50.2232
2020-06-12,52.5159
2020-06-13,52.5159
2020-06-14,52.5159
2020-06-15,53.2583
2020-06-16,54.2751
2020-06-17,51.7685
2020-06-18,51.3538
2020-06-19,51.283
2020-06-20,51.283
2020-06-21,51.283
2020-06-22,52.0358
2020-06-23,51.8099
2020-06-24,49.9413
2020-06-25,50.822
2020-06-26,45.5072
2020-06-27,45.5072
2020-06-28,45.5072
2020-06-29,49.2837
2020-06-30,51.0707
2020-07-01,48.8925
2020-07-02,48.6325
2020-07-03,48.6325
2020-07-04,48.6325
2020-07-05,48.6325
2020-07-06,48.9136
2020-07-07,47.3714
2020-07-08,47.3714
2020-07-09,44.4992
2020-07-10,47.2084
2020-07-11,47.2084
2020-07-12,47.2084
2020-07-13,47.2826
2020-07-14,46.6716
2020-07-15,49.7327
2020-07-16,49.6967
2020-07-17,49.036
2020-07-18,49.036
2020-07-19,49.036
2020-07-20,48.5537
2020-07-21,51.5137
2020-07-22,50.5115
2020-07-23,54.5242
2020-07-24,55.1186
2020-07-25,55.1186
2020-07-26,55.1186
2020-07-27,54.0627
2020-07-28,53.8166
2020-07-29,54.6705
2020-07-30,53.4772
2020-07-31,52.4618
2020-08-01,52.4618
2020-08-02,52.4618
2020-08-03,50.7184
2020-08-04,51.1185
2020-08-05,52.7073
2020-08-06,52.8657
2020-08-07,55.3427
2020-08-08,55.3427
2020-08-09,55.3427
2020-08-10,56.4885
2020-08-11,57.1849
2020-08-12,56.4956
2020-08-13,54.365
2020-08-14,55.5474
2020-08-15,55.5474
2020-08-16,55.5474
2020-08-17,55.9411
2020-08-18,55.2327
2020-08-19,55.2327
2020-08-20,53.2732
2020-08-21,53.3633
2020-08-22,53.3633
2020-08-23,53.3633
2020-08-24,54.4533
2020-08-25,54.9974
2020-08-26,53.5633
2020-08-27,53.7552
2020-08-28,51.9775
2020-08-29,51.9775
2020-08-30,51.9775
2020-08-31,49.7439
2020-09-01,49.0687
2020-09-02,48.5963
2020-09-03,49.8179
2020-09-04,52.9713
2020-09-05,52.9713
2020-09-06,52.9713
2020-09-07,52.9713
2020-09-08,50.2492
2020-09-09,48.7966
2020-09-10,49.2841
2020-09-11,49.4501
2020-09-12,49.4501
2020-09-13,49.4501
2020-09-14,50.8909
2020-09-15,49.5425
2020-09-16,49.6575
2020-09-17,48.8513
2020-09-18,49.9324
2020-09-19,49.9324
2020-09-20,49.9324
2020-09-21,44.2365
2020-09-22,42.3506
2020-09-23,40.2219
2020-09-24,41.1149
2020-09-25,41.3738
2020-09-26,41.3738
2020-09-27,41.3738
2020-09-28,43.3074
2020-09-29,43.8186
2020-09-30,45.0988
2020-10-01,44.9927
2020-10-02,48.1465
2020-10-03,48.1465
2020-10-04,48.1465
2020-10-05,51.6989
2020-10-06,50.9993
2020-10-07,53.8016
2020-10-08,55.1289
2020-10-09,54.0174
2020-10-10,54.0174
2020-10-11,54.0174
2020-10-12,56.0542
2020-10-13,53.5904
2020-10-14,50.4911
2020-10-15,52.39
2020-10-16,53.5171
2020-10-17,53.5171
2020-10-18,53.5171
2020-10-19,54.0288
2020-10-20,55.3509
2020-10-21,55.7559
2020-10-22,59.8102
2020-10-23,61.0134
2020-10-24,61.0134
2020-10-25,61.0134
2020-10-26,58.7394
2020-10-27,56.201
2020-10-28,55.9569
2020-10-29,57.6684
2020-10-30,57.412
2020-10-31,57.412
2020-11-01,57.412
2020-11-02,57.9917
2020-11-03,58.955
2020-11-04,53.1547
2020-11-05,56.3423
2020-11-06,55.6304
2020-11-07,55.6304
2020-11-08,55.6304
2020-11-09,59.3501
2020-11-10,61.7214
2020-11-11,60.3853
2020-11-12,58.9453
2020-11-13,60.3316
2020-11-14,60.3316
2020-11-15,60.3316
2020-11-16,62.0474
2020-11-17,62.4294
2020-11-18,61.0312
2020-11-19,60.648
2020-11-20,59.8701
2020-11-21,59.8701
2020-11-22,59.8701
2020-11-23,60.6532
2020-11-24,63.211
2020-11-25,61.8689
2020-11-26,61.8689
2020-11-27,60.28
2020-11-28,60.28
2020-11-29,60.28
2020-11-30,54.5989
2020-12-01,55.6117
2020-12-02,58.0331
2020-12-03,59.205
2020-12-04,60.3106
2020-12-05,60.3106
2020-12-06,60.3106
2020-12-07,61.1971
2020-12-08,61.5204
2020-12-09,61.971
2020-12-10,62.9106
2020-12-11,61.9469
2020-12-12,61.9469
2020-12-13,61.9469
2020-12-14,61.8069
2020-12-15,63.8352
2020-12-16,63.6894
2020-12-17,63.8601
2020-12-18,58.9821
2020-12-19,58.9821
2020-12-20,58.9821
2020-12-21,59.6387
2020-12-22,57.2028
2020-12-23,60.193
2020-12-24,59.7878
2020-12-25,59.7878
2020-12-26,59.7878
2020-12-27,59.7878
2020-12-28,60.5208
2020-12-29,58.4541
2020-12-30,59.3164
2020-12-31,59.9866
2021-01-01,59.9866
2021-01-02,59.9866
2021-01-03,59.9866
2021-01-04,59.2653
2021-01-05,60.8246
2021-01-06,65.3676
2021-01-07,65.073
2021-01-08,60.5561
2021-01-09,60.5561
2021-01-10,60.5561
2021-01-11,59.7516
2021-01-12,61.4301
2021-01-13,60.3341
2021-01-14,61.9999
2021-01-15,59.1594
2021-01-16,59.1594
2021-01-17,59.1594
2021-01-18,59.1594
2021-01-19,58.2393
2021-01-20,58.6197
2021-01-21,56.748
2021-01-22,57.3517
2021-01-23,57.3517
2021-01-24,57.3517
2021-01-25,57.077
2021-01-26,54.5107
2021-01-27,49.3193
2021-01-28,55.534
2021-01-29,53.4232
2021-01-30,53.4232
2021-01-31,53.4232
2021-02-01,53.5193
2021-02-02,56.4937
2021-02-03,54.5744
2021-02-04,57.3103
2021-02-05,57.1953
2021-02-06,57.1953
2021-02-07,57.1953
2021-02-08,58.2352
2021-02-09,58.3225
2021-02-10,57.9467
2021-02-11,55.54
2021-02-12,57.0996
2021-02-13,57.0996
2021-02-14,57.0996
2021-02-15,57.0996
2021-02-16,59.4201
2021-02-17,58.046
2021-02-18,58.4526
2021-02-19,57.241
2021-02-20,57.241
2021-02-21,57.241
2021-02-22,60.5777
2021-02-23,61.2861
2021-02-24,64.3285
2021-02-25,63.665
2021-02-26,59.3578
2021-02-27,59.3578
2021-02-28,59.3578
2021-03-01,63.0815
2021-03-02,62.9597
2021-03-03,65.8262
2021-03-04,64.9595
2021-03-05,69.0542
2021-03-06,69.0542
2021-03-07,69.0542
2021-03-08,71.8104
2021-03-09,68.8132
2021-03-10,69.9606
2021-03-11,68.4873
2021-03-12,70.1386
2021-03-13,70.1386
2021-03-14,70.1386
2021-03-15,65.1116
2021-03-16,64.1004
2021-03-17,63.8439
2021-03-18,64.8052
2021-03-19,66.8498
2021-03-20,66.8498
2021-03-21,66.8498
2021-03-22,62.5807
2021-03-23,59.139
2021-03-24,59.7578
2021-03-25,61.6788
2021-03-26,63.3745
2021-03-27,63.3745
2021-03-28,63.3745
2021-03-29,60.6891
2021-03-30,60.0537
2021-03-31,58.0767
2021-04-01,59.8183
2021-04-02,59.8183
2021-04-03,59.8183
2021-04-04,59.8183
2021-04-05,60.2454
2021-04-06,58.6784
2021-04-07,57.4063
2021-04-08,59.1722
2021-04-09,59.6211
2021-04-10,59.6211
2021-04-11,59.6211
2021-04-12,59.9466
2021-04-13,57.6317
2021-04-14,58.4614
2021-04-15,59.1509
2021-04-16,59.9083
2021-04-17,59.9083
2021-04-18,59.9083
2021-04-19,66.1624
2021-04-20,60.3721
2021-04-21,61.9575
2021-04-22,58.6908
2021-04-23,61.4913
2021-04-24,61.4913
2021-04-25,61.4913
2021-04-26,60.4318
2021-04-27,59.0553
2021-04-28,57.6957
2021-04-29,58.1646
2021-04-30,57.4239
2021-05-01,57.4239
2021-05-02,57.4239
2021-05-03,57.4862
2021-05-04,56.8841
2021-05-05,56.7962
2021-05-06,56.4354
2021-05-07,56.7904
2021-05-08,56.7904
2021-05-09,56.7904
2021-05-10,54.4935
2021-05-11,53.0723
2021-05-12,51.6781
2021-05-13,56.7471
2021-05-14,59.6059
2021-05-15,59.6059
2021-05-16,59.6059
2021-05-17,60.2996
2021-05-18,57.5015
2021-05-19,57.0667
2021-05-20,56.9775
2021-05-21,58.1278
2021-05-22,58.1278
2021-05-23,58.1278
2021-05-24,56.4739
2021-05-25,54.5128
2021-05-26,56.5016
2021-05-27,58.4481
2021-05-28,57.9853
2021-05-29,57.9853
2021-05-30,57.9853
2021-05-31,57.9853
2021-06-01,58.3266
2021-06-02,55.7048
2021-06-03,56.8513
2021-06-04,56.7563
2021-06-05,56.7563
2021-06-06,56.7563
2021-06-07,60.0052
2021-06-08,60.9102
2021-06-09,58.4664
2021-06-10,57.2312
2021-06-11,57.9383
2021-06-12,57.9383
2021-06-13,57.9383
2021-06-14,55.8372
2021-06-15,56.9387
2021-06-16,58.162
2021-06-17,52.8617
2021-06-18,48.5238
2021-06-19,48.5238
2021-06-20,48.5238
2021-06-21,52.8202
2021-06-22,51.3182
2021-06-23,51.018
2021-06-24,52.3164
2021-06-25,52.3889
2021-06-26,52.3889
2021-06-27,52.3889
2021-06-28,50.7132
2021-06-29,49.8492
2021-06-30,50.2477
2021-07-01,50.8937
2021-07-02,50.2192
2021-07-03,50.2192
2021-07-04,50.2192
2021-07-05,50.2192
2021-07-06,48.2352
2021-07-07,48.3232
2021-07-08,46.1328
2021-07-09,51.2929
2021-07-10,51.2929
2021-07-11,51.2929
2021-07-12,51.3719
2021-07-13,49.0592
2021-07-14,49.3958
2021-07-15,51.4696
2021-07-16,49.4568
2021-07-17,49.4568
2021-07-18,49.4568
2021-07-19,45.7548
2021-07-20,47.8577
2021-07-21,49.6352
2021-07-22,47.2856
2021-07-23,49.3652
2021-07-24,49.3652
2021-07-25,49.3652
2021-07-26,48.6776
2021-07-27,43.5208
2021-07-28,45.8466
2021-07-29,46.7846
2021-07-30,46.1642
2021-07-31,46.1642
2021-08-01,46.1642
2021-08-02,44.7985
2021-08-03,47.2213
2021-08-04,45.9014
2021-08-05,48.1881
2021-08-06,49.9975
2021-08-07,49.9975
2021-08-08,49.9975
2021-08-09,48.8935
2021-08-10,49.7355
2021-08-11,50.8027
2021-08-12,49.864
2021-08-13,48.6247
2021-08-14,48.6247
2021-08-15,48.6247
2021-08-16,47.9315
2021-08-17,47.6194
2021-08-18,45.9928
2021-08-19,46.174
2021-08-20,48.1528
2021-08-21,48.1528
2021-08-22,48.1528
2021-08-23,49.2064
2021-08-24,49.472
2021-08-25,51.1455
2021-08-26,48.7709
2021-08-27,52.8782
2021-08-28,52.8782
2021-08-29,52.8782
2021-08-30,50.2419
2021-08-31,51.1362
2021-09-01,50.37
2021-09-02,51.1275
2021-09-03,51.2131
2021-09-04,51.2131
2021-09-05,51.2131
2021-09-06,51.2131
2021-09-07,49.8581
2021-09-08,47.7664
2021-09-09,46.5049
2021-09-10,44.0956
2021-09-11,44.0956
2021-09-12,44.0956
2021-09-13,45.9309
2021-09-14,43.6673
2021-09-15,43.7662
2021-09-16,42.9093
2021-09-17,45.0346
2021-09-18,45.0346
2021-09-19,45.0346
2021-09-20,44.7067
2021-09-21,43.2409
2021-09-22,45.1028
2021-09-23,48.1341
2021-09-24,49.4384
2021-09-25,49.4384
2021-09-26,49.4384
2021-09-27,52.9366
2021-09-28,51.2849
2021-09-29,52.4779
2021-09-30,52.1008
2021-10-01,53.4841
2021-10-02,53.4841
2021-10-03,53.4841
2021-10-04,54.0842
2021-10-05,52.6781
2021-10-06,51.9791
2021-10-07,53.5283
2021-10-08,52.7006
2021-10-09,52.7006
2021-10-10,52.7006
2021-10-11,51.4658
2021-10-12,53.0826
2021-10-13,51.822
2021-10-14,52.8831
2021-10-15,52.9805
2021-10-16,52.9805
2021-10-17,52.9805
2021-10-18,53.0808
2021-10-19,53.3894
2021-10-20,55.9853
2021-10-21,55.4934
2021-10-22,54.8701
2021-10-23,54.8701
2021-10-24,54.8701
2021-10-25,54.4901
2021-10-26,52.0067
2021-10-27,50.3452
2021-10-28,53.7313
2021-10-29,54.4567
2021-10-30,54.4567
2021-10-31,54.4567
2021-11-01,59.1005
2021-11-02,57.0141
2021-11-03,58.954
2021-11-04,58.8291
2021-11-05,60.9667
2021-11-06,60.9667
2021-11-07,60.9667
2021-11-08,60.3188
2021-11-09,60.4058
2021-11-10,59.5943
2021-11-11,59.4565
2021-11-12,57.5309
2021-11-13,57.5309
2021-11-14,57.5309
2021-11-15,58.1321
2021-11-16,57.5701
2021-11-17,56.8592
2021-11-18,57.4033
2021-11-19,55.2411
2021-11-20,55.2411
2021-11-21,55.2411
2021-11-22,56.1523
2021-11-23,56.8342
2021-11-24,55.4951
2021-11-25,55.4951
2021-11-26,47.7383
2021-11-27,47.7383
2021-11-28,47.7383
2021-11-29,45.6481
2021-11-30,44.1738
2021-12-01,44.9619
2021-12-02,50.6115
2021-12-03,47.6003
2021-12-04,47.6003
2021-12-05,47.6003
2021-12-06,50.2262
2021-12-07,50.758
2021-12-08,51.2963
2021-12-09,51.4062
2021-12-10,50.4637
2021-12-11,50.4637
2021-12-12,50.4637
2021-12-13,49.8725
2021-12-14,51.4038
2021-12-15,55.0126
2021-12-16,54.505
2021-12-17,51.7867
2021-12-18,51.7867
2021-12-19,51.7867
2021-12-20,50.9503
2021-12-21,53.8163
2021-12-22,55.0698
2021-12-23,54.6859
2021-12-24,54.6859
2021-12-25,54.6859
2021-12-26,54.6859
2021-12-27,54.9027
2021-12-28,55.235
2021-12-29,56.2359
2021-12-30,54.2829
2021-12-31,54.2829
2022-01-01,54.2829
2022-01-02,54.2829
2022-01-03,55.2367
2022-01-04,55.9498
2022-01-05,54.6001
2022-01-06,59.2344
2022-01-07,59.9563
2022-01-08,59.9563
2022-01-09,59.9563
2022-01-10,58.8777
2022-01-11,57.0573
2022-01-12,54.7236
2022-01-13,56.0034
2022-01-14,55.2688
2022-01-15,55.2688
2022-01-16,55.2688
2022-01-17,55.2688
2022-01-18,52.2888
2022-01-19,50.0297
2022-01-20,46.7138
2022-01-21,46.7138
2022-01-22,46.7138
2022-01-23,46.7138
2022-01-24,50.243
2022-01-25,51.832
2022-01-26,49.325
2022-01-27,45.4584
2022-01-28,45.2426
2022-01-29,45.2426
2022-01-30,45.2426
2022-01-31,45.0215
2022-02-01,46.6401
2022-02-02,46.6401
2022-02-03,44.8729
2022-02-04,48.1262
2022-02-05,48.1262
2022-02-06,48.1262
2022-02-07,48.6488
2022-02-08,50.2053
2022-02-09,48.8025
2022-02-10,49.8566
2022-02-11,48.8169
2022-02-12,48.8169
2022-02-13,48.8169
2022-02-14,48.0396
2022-02-15,51.5013
2022-02-16,52.1357
2022-02-17,51.3027
2022-02-18,53.2351
2022-02-19,53.2351
2022-02-20,53.2351
2022-02-21,53.2351
2022-02-22,53.4897
2022-02-23,51.7414
2022-02-24,49.2439
2022-02-25,54.4273
2022-02-26,54.4273
2022-02-27,54.4273
2022-02-28,52.5322
2022-03-01,48.0792
2022-03-02,55.1762
2022-03-03,55.7537
2022-03-04,55.5071
2022-03-05,55.5071
2022-03-06,55.5071
2022-03-07,53.3116
2022-03-08,50.5536
2022-03-09,53.7507
2022-03-10,54.4388
2022-03-11,54.6383
2022-03-12,54.6383
2022-03-13,54.6383
2022-03-14,54.7408
2022-03-15,51.6046
2022-03-16,51.6046
2022-03-17,54.1968
2022-03-18,45.0449
2022-03-19,45.0449
2022-03-20,45.0449
2022-03-21,47.544
2022-03-22,48.7495
2022-03-23,44.7592
2022-03-24,46.9551
2022-03-25,48.8667
2022-03-26,48.8667
2022-03-27,48.8667
2022-03-28,45.3188
2022-03-29,48.5396
2022-03-30,45.5277
2022-03-31,44.9956
2022-04-01,46.1124
2022-04-02,46.1124
2022-04-03,46.1124
2022-04-04,45.0865
2022-04-05,43.4703
2022-04-06,42.3486
2022-04-07,41.2476
2022-04-08,42.5859
2022-04-09,42.5859
2022-04-10,42.5859
2022-04-11,42.2034
2022-04-12,41.4296
2022-04-13,45.2708
2022-04-14,44.9412
2022-04-15,44.9412
2022-04-16,44.9412
2022-04-17,44.9412
2022-04-18,45.0447
2022-04-19,47.6891
2022-04-20,47.8886
2022-04-21,46.8714
2022-04-22,45.3318
2022-04-23,45.3318
2022-04-24,45.3318
2022-04-25,44.8833
2022-04-26,42.9489
2022-04-27,41.6819
2022-04-28,43.9621
2022-04-29,42.7517
2022-04-30,42.7517
2022-05-01,42.7517
2022-05-02,43.7811
2022-05-03,46.3323
2022-05-04,50.3833
2022-05-05,47.9496
2022-05-06,47.4932
2022-05-07,47.4932
2022-05-08,47.4932
2022-05-09,48.2071
2022-05-10,46.9799
2022-05-11,46.6961
2022-05-12,47.677
2022-05-13,45.835
2022-05-14,45.835
2022-05-15,45.835
2022-05-16,45.4525
2022-05-17,49.5865
2022-05-18,47.062
2022-05-19,44.4508
2022-05-20,47.1695
2022-05-21,47.1695
2022-05-22,47.1695
2022-05-23,48.5715
2022-05-24,49.6574
2022-05-25,51.1136
2022-05-26,51.5006
2022-05-27,51.5997
2022-05-28,51.5997
2022-05-29,51.5997
2022-05-30,51.5997
2022-05-31,53.3735
2022-06-01,52.598
2022-06-02,54.6432
2022-06-03,51.3678
2022-06-04,51.3678
2022-06-05,51.3678
2022-06-06,51.7666
2022-06-07,52.2727
2022-06-08,50.5181
2022-06-09,48.316
2022-06-10,46.3265
2022-06-11,46.3265
2022-06-12,46.3265
2022-06-13,46.7799
2022-06-14,46.4753
2022-06-15,47.3036
2022-06-16,45.0378
2022-06-17,46.4842
2022-06-18,46.4842
2022-06-19,46.4842
2022-06-20,46.4842
2022-06-21,51.3413
2022-06-22,49.852
2022-06-23,47.5098
2022-06-24,49.8417
2022-06-25,49.8417
2022-06-26,49.8417
2022-06-27,51.3656
2022-06-28,50.7278
2022-06-29,48.4463
2022-06-30,48.4463
2022-07-01,51.6215
2022-07-02,51.6215
2022-07-03,51.6215
2022-07-04,51.6215
2022-07-05,51.8262
2022-07-06,51.3766
2022-07-07,51.1471
2022-07-08,50.6787
2022-07-09,50.6787
2022-07-10,50.6787
2022-07-11,50.6787
2022-07-12,51.1597
2022-07-13,50.272
2022-07-14,50.0155
2022-07-15,52.8758
2022-07-16,52.8758
2022-07-17,52.8758
2022-07-18,52.9968
2022-07-19,56.4652
2022-07-20,57.5455
2022-07-21,54.7354
2022-07-22,55.2999
2022-07-23,55.2999
2022-07-24,55.2999
2022-07-25,55.415
2022-07-26,55.8848
2022-07-27,57.0551
2022-07-28,55.8294
2022-07-29,56.4345
2022-07-30,56.4345
2022-07-31,56.4345
2022-08-01,56.4345
2022-08-02,52.2944
2022-08-03,52.5611
2022-08-04,49.6877
2022-08-05,49.5476
2022-08-06,49.5476
2022-08-07,49.5476
2022-08-08,51.2538
2022-08-09,52.2288
2022-08-10,53.9964
2022-08-11,56.0661
2022-08-12,58.3671
2022-08-13,58.3671
2022-08-14,58.3671
2022-08-15,58.4855
2022-08-16,58.1435
2022-08-17,58.1435
2022-08-18,56.2085
2022-08-19,55.5135
2022-08-20,55.5135
2022-08-21,55.5135
2022-08-22,49.9261
2022-08-23,48.9076
2022-08-24,47.6157
2022-08-25,46.9036
2022-08-26,45.9093
2022-08-27,45.9093
2022-08-28,45.9093
2022-08-29,44.2459
2022-08-30,44.1082
2022-08-31,42.0752
2022-09-01,43.8597
2022-09-02,43.0368
2022-09-03,43.0368
2022-09-04,43.0368
2022-09-05,43.0368
2022-09-06,40.6687
2022-09-07,44.6915
2022-09-08,44.6915
2022-09-09,46.5465
2022-09-10,46.5465
2022-09-11,46.5465
2022-09-12,46.7145
2022-09-13,42.688
2022-09-14,45.3753
2022-09-15,47.2927
2022-09-16,47.2927
2022-09-17,47.2927
2022-09-18,47.2927
2022-09-19,52.4973
2022-09-20,51.2995
2022-09-21,50.5538
2022-09-22,51.9975
2022-09-23,49.8879
2022-09-24,49.8879
2022-09-25,49.8879
2022-09-26,47.1994
2022-09-27,46.3828
2022-09-28,46.3828
2022-09-29,44.4621
2022-09-30,41.7775
2022-10-01,41.7775
2022-10-02,41.7775
2022-10-03,47.5496
2022-10-04,49.9099
2022-10-05,48.4505
2022-10-06,48.5919
2022-10-07,47.2514
2022-10-08,47.2514
2022-10-09,47.2514
2022-10-10,47.4015
2022-10-11,48.6176
2022-10-12,48.4727
2022-10-13,56.5186
2022-10-14,54.893
2022-10-15,54.893
2022-10-16,54.893
2022-10-17,57.5349
2022-10-18,56.6397
2022-10-19,54.8731
2022-10-20,40.1016
2022-10-21,44.0799
2022-10-22,44.0799
2022-10-23,44.0799
2022-10-24,47.6751
2022-10-25,47.6751
2022-10-26,53.1131
2022-10-27,56.1495
2022-10-28,59.6363
2022-10-29,59.6363
2022-10-30,59.6363
2022-10-31,60.4984
2022-11-01,60.8312
2022-11-02,55.5973
2022-11-03,53.9953
2022-11-04,54.8183
2022-11-05,54.8183
2022-11-06,54.8183
2022-11-07,54.1802
2022-11-08,51.5214
2022-11-09,50.246
2022-11-10,53.4265
2022-11-11,50.8219
2022-11-12,50.8219
2022-11-13,50.8219
2022-11-14,51.8404
2022-11-15,53.8192
2022-11-16,51.9508
2022-11-17,50.6284
2022-11-18,50.9513
2022-11-19,50.9513
2022-11-20,50.9513
2022-11-21,52.3222
2022-11-22,53.4311
2022-11-23,53.4311
2022-11-24,53.4311
2022-11-25,54.1645
2022-11-26,54.1645
2022-11-27,54.1645
2022-11-28,51.4629
2022-11-29,51.0993
2022-11-30,53.3987
2022-12-01,55.4072
2022-12-02,54.5319
2022-12-03,54.5319
2022-12-04,54.5319
2022-12-05,52.2547
2022-12-06,50.0908
2022-12-07,49.5601
2022-12-08,49.2899
2022-12-09,50.4085
2022-12-10,50.4085
2022-12-11,50.4085
2022-12-12,50.7828
2022-12-13,50.7828
2022-12-14,48.4352
2022-12-15,45.0258
2022-12-16,45.131
2022-12-17,45.131
2022-12-18,45.131
2022-12-19,45.7747
2022-12-20,46.4249
2022-12-21,49.1578
2022-12-22,47.3325
2022-12-23,48.2737
2022-12-24,48.2737
2022-12-25,48.2737
2022-12-26,48.2737
2022-12-27,48.7995
2022-12-28,47.0195
2022-12-29,48.5301
2022-12-30,47.6226
2022-12-31,47.6226
2023-01-01,47.6226
2023-01-02,47.6226
2023-01-03,48.1795
2023-01-04,48.2933
2023-01-05,46.7025
2023-01-06,50.103
2023-01-07,50.103
2023-01-08,50.103
2023-01-09,48.2967
2023-01-10,47.8765
2023-01-11,48.11
2023-01-12,50.408
2023-01-13,51.0804
2023-01-14,51.0804
2023-01-15,51.0804
2023-01-16,51.0804
2023-01-17,51.308
2023-01-18,46.8021
2023-01-19,48.2135
2023-01-20,50.8017
2023-01-21,50.8017
2023-01-22,50.8017
2023-01-23,51.0218
2023-01-24,48.9809
2023-01-25,48.0963
2023-01-26,45.1444
2023-01-27,43.0924
2023-01-28,43.0924
2023-01-29,43.0924
2023-01-30,41.8735
2023-01-31,46.1182
2023-02-01,46.9202
2023-02-02,48.6156
2023-02-03,48.9529
2023-02-04,48.9529
2023-02-05,48.9529
2023-02-06,48.5136
2023-02-07,51.5496
2023-02-08,47.6722
2023-02-09,47.8975
2023-02-10,46.8544
2023-02-11,46.8544
2023-02-12,46.8544
2023-02-13,46.4359
2023-02-14,46.4359
2023-02-15,48.8789
2023-02-16,46.3633
2023-02-17,49.7374
2023-02-18,49.7374
2023-02-19,49.7374
2023-02-20,49.7374
2023-02-21,47.4991
2023-02-22,47.2894
2023-02-23,48.9221
2023-02-24,46.3747
2023-02-25,46.3747
2023-02-26,46.3747
2023-02-27,46.9698
2023-02-28,47.5717
2023-03-01,46.4802
2023-03-02,44.3738
2023-03-03,46.5055
2023-03-04,46.5055
2023-03-05,46.5055
2023-03-06,44.4331
2023-03-07,41.9209
2023-03-08,42.1811
2023-03-09,37.8809
2023-03-10,38.4111
2023-03-11,38.4111
2023-03-12,38.4111
2023-03-13,35.8768
2023-03-14,37.9929
2023-03-15,38.1249
2023-03-16,44.9188
