,MDU US Equity
2022-01-05,57.2701
2022-01-06,57.7018
2022-01-07,59.8024
2022-01-08,59.8024
2022-01-09,59.8024
2022-01-10,57.5679
2022-01-11,53.8918
2022-01-12,52.5045
2022-01-13,53.0257
2022-01-14,53.5008
2022-01-15,53.5008
2022-01-16,53.5008
2022-01-17,53.5008
2022-01-18,52.4042
2022-01-19,50.046
2022-01-20,48.3034
2022-01-21,45.2536
2022-01-22,45.2536
2022-01-23,45.2536
2022-01-24,46.282
2022-01-25,45.553
2022-01-26,45.5
2022-01-27,44.5359
2022-01-28,46.5535
2022-01-29,46.5535
2022-01-30,46.5535
2022-01-31,48.0052
2022-02-01,46.7488
2022-02-02,48.5838
2022-02-03,45.6648
2022-02-04,43.5812
2022-02-05,43.5812
2022-02-06,43.5812
2022-02-07,44.8821
2022-02-08,45.403
2022-02-09,46.8324
2022-02-10,38.1066
2022-02-11,38.5523
2022-02-12,38.5523
2022-02-13,38.5523
2022-02-14,37.7882
2022-02-15,39.676
2022-02-16,41.6957
2022-02-17,42.1962
2022-02-18,41.6415
2022-02-19,41.6415
2022-02-20,41.6415
2022-02-21,41.6415
2022-02-22,39.1149
2022-02-23,36.6908
2022-02-24,36.5735
2022-02-25,41.1153
2022-02-26,41.1153
2022-02-27,41.1153
2022-02-28,39.6874
2022-03-01,36.3108
2022-03-02,40.9745
2022-03-03,41.6459
2022-03-04,40.3022
2022-03-05,40.3022
2022-03-06,40.3022
2022-03-07,37.607
2022-03-08,39.1636
2022-03-09,39.9594
2022-03-10,39.1503
2022-03-11,37.2197
2022-03-12,37.2197
2022-03-13,37.2197
2022-03-14,38.7812
2022-03-15,40.5462
2022-03-16,41.4197
2022-03-17,42.0074
2022-03-18,40.9866
2022-03-19,40.9866
2022-03-20,40.9866
2022-03-21,43.7555
2022-03-22,42.9135
2022-03-23,40.8178
2022-03-24,40.8178
2022-03-25,41.5041
2022-03-26,41.5041
2022-03-27,41.5041
2022-03-28,42.9354
2022-03-29,45.2838
2022-03-30,46.1075
2022-03-31,47.4518
2022-04-01,48.3215
2022-04-02,48.3215
2022-04-03,48.3215
2022-04-04,46.6187
2022-04-05,45.5803
2022-04-06,47.457
2022-04-07,47.1315
2022-04-08,48.767
2022-04-09,48.767
2022-04-10,48.767
2022-04-11,50.6955
2022-04-12,50.9847
2022-04-13,51.2803
2022-04-14,50.8992
2022-04-15,50.8992
2022-04-16,50.8992
2022-04-17,50.8992
2022-04-18,52.6582
2022-04-19,53.8381
2022-04-20,56.0476
2022-04-21,53.5978
2022-04-22,50.7909
2022-04-23,50.7909
2022-04-24,50.7909
2022-04-25,48.2369
2022-04-26,45.4857
2022-04-27,45.8055
2022-04-28,47.2148
2022-04-29,42.8644
2022-04-30,42.8644
2022-05-01,42.8644
2022-05-02,42.6684
2022-05-03,46.7022
2022-05-04,48.5737
2022-05-05,45.2838
2022-05-06,43.2028
2022-05-07,43.2028
2022-05-08,43.2028
2022-05-09,42.4235
2022-05-10,40.8973
2022-05-11,41.155
2022-05-12,42.6422
2022-05-13,45.7854
2022-05-14,45.7854
2022-05-15,45.7854
2022-05-16,49.3334
2022-05-17,53.4365
2022-05-18,51.3385
2022-05-19,50.6697
2022-05-20,49.5398
2022-05-21,49.5398
2022-05-22,49.5398
2022-05-23,50.8288
2022-05-24,50.7751
2022-05-25,51.1486
2022-05-26,52.5842
2022-05-27,54.1335
2022-05-28,54.1335
2022-05-29,54.1335
2022-05-30,54.1335
2022-05-31,53.7099
2022-06-01,52.2007
2022-06-02,54.0185
2022-06-03,53.4006
2022-06-04,53.4006
2022-06-05,53.4006
2022-06-06,54.3195
2022-06-07,56.1607
2022-06-08,53.3882
2022-06-09,51.6797
2022-06-10,52.4665
2022-06-11,52.4665
2022-06-12,52.4665
2022-06-13,46.3833
2022-06-14,45.0932
2022-06-15,46.9144
2022-06-16,44.1762
2022-06-17,47.1937
2022-06-18,47.1937
2022-06-19,47.1937
2022-06-20,47.1937
2022-06-21,48.9705
2022-06-22,51.6721
2022-06-23,52.8891
2022-06-24,56.0065
2022-06-25,56.0065
2022-06-26,56.0065
2022-06-27,55.283
2022-06-28,54.3336
2022-06-29,51.0272
2022-06-30,51.4707
2022-07-01,54.6784
2022-07-02,54.6784
2022-07-03,54.6784
2022-07-04,54.6784
2022-07-05,49.055
2022-07-06,50.4425
2022-07-07,50.3008
2022-07-08,50.0101
2022-07-09,50.0101
2022-07-10,50.0101
2022-07-11,50.1591
2022-07-12,50.1591
2022-07-13,49.5793
2022-07-14,49.7432
2022-07-15,50.7371
2022-07-16,50.7371
2022-07-17,50.7371
2022-07-18,49.2264
2022-07-19,51.548
2022-07-20,49.4325
2022-07-21,50.1014
2022-07-22,51.2142
2022-07-23,51.2142
2022-07-24,51.2142
2022-07-25,52.7933
2022-07-26,54.3737
2022-07-27,55.3026
2022-07-28,57.253
2022-07-29,59.3693
2022-07-30,59.3693
2022-07-31,59.3693
2022-08-01,57.3461
2022-08-02,55.3932
2022-08-03,55.9439
2022-08-04,63.4191
2022-08-05,59.7261
2022-08-06,59.7261
2022-08-07,59.7261
2022-08-08,58.9811
2022-08-09,60.8836
2022-08-10,64.9351
2022-08-11,65.188
2022-08-12,66.3794
2022-08-13,66.3794
2022-08-14,66.3794
2022-08-15,68.2155
2022-08-16,68.7003
2022-08-17,68.7293
2022-08-18,68.9675
2022-08-19,67.7006
2022-08-20,67.7006
2022-08-21,67.7006
2022-08-22,63.8079
2022-08-23,63.4983
2022-08-24,63.6806
2022-08-25,64.2349
2022-08-26,62.0155
2022-08-27,62.0155
2022-08-28,62.0155
2022-08-29,60.8638
2022-08-30,57.7217
2022-08-31,56.2492
2022-09-01,56.7063
2022-09-02,54.9257
2022-09-03,54.9257
2022-09-04,54.9257
2022-09-05,54.9257
2022-09-06,53.6477
2022-09-07,57.1321
2022-09-08,58.0607
2022-09-09,58.6346
2022-09-10,58.6346
2022-09-11,58.6346
2022-09-12,58.6795
2022-09-13,53.3384
2022-09-14,54.0194
2022-09-15,53.2159
2022-09-16,51.9595
2022-09-17,51.9595
2022-09-18,51.9595
2022-09-19,53.1049
2022-09-20,51.9973
2022-09-21,50.1741
2022-09-22,48.8993
2022-09-23,45.1817
2022-09-24,45.1817
2022-09-25,45.1817
2022-09-26,43.518
2022-09-27,41.5724
2022-09-28,44.4975
2022-09-29,43.3967
2022-09-30,41.7495
2022-10-01,41.7495
2022-10-02,41.7495
2022-10-03,47.0333
2022-10-04,50.2607
2022-10-05,49.8738
2022-10-06,47.3296
2022-10-07,44.5436
2022-10-08,44.5436
2022-10-09,44.5436
2022-10-10,44.8062
2022-10-11,46.6863
2022-10-12,44.0964
2022-10-13,47.4631
2022-10-14,45.0344
2022-10-15,45.0344
2022-10-16,45.0344
2022-10-17,47.7977
2022-10-18,51.1692
2022-10-19,50.168
2022-10-20,46.524
2022-10-21,49.947
2022-10-22,49.947
2022-10-23,49.947
2022-10-24,45.485
2022-10-25,47.0746
2022-10-26,47.0019
2022-10-27,48.7224
2022-10-28,50.5416
2022-10-29,50.5416
2022-10-30,50.5416
2022-10-31,49.7869
2022-11-01,50.7086
2022-11-02,47.9381
2022-11-03,49.9971
2022-11-04,51.8512
2022-11-05,51.8512
2022-11-06,51.8512
2022-11-07,51.9664
2022-11-08,53.7587
2022-11-09,51.679
2022-11-10,56.1227
2022-11-11,56.0797
2022-11-12,56.0797
2022-11-13,56.0797
2022-11-14,54.5231
2022-11-15,55.1315
2022-11-16,54.5981
2022-11-17,54.5072
2022-11-18,56.9543
2022-11-19,56.9543
2022-11-20,56.9543
2022-11-21,56.9905
2022-11-22,58.7519
2022-11-23,58.8586
2022-11-24,58.8586
2022-11-25,60.0351
2022-11-26,60.0351
2022-11-27,60.0351
2022-11-28,58.0574
2022-11-29,56.9341
2022-11-30,59.3735
2022-12-01,59.1634
2022-12-02,59.5338
2022-12-03,59.5338
2022-12-04,59.5338
2022-12-05,54.709
2022-12-06,55.0298
2022-12-07,54.6391
2022-12-08,55.8118
2022-12-09,55.4411
2022-12-10,55.4411
2022-12-11,55.4411
2022-12-12,55.9171
2022-12-13,56.5285
2022-12-14,55.6166
2022-12-15,52.1363
2022-12-16,49.3888
2022-12-17,49.3888
2022-12-18,49.3888
2022-12-19,49.787
2022-12-20,49.9905
2022-12-21,52.7162
2022-12-22,53.0531
2022-12-23,53.831
2022-12-24,53.831
2022-12-25,53.831
2022-12-26,53.831
2022-12-27,55.3611
2022-12-28,53.1406
2022-12-29,54.5431
2022-12-30,52.9599
2022-12-31,52.9599
2023-01-01,52.9599
2023-01-02,52.9599
2023-01-03,53.7534
2023-01-04,54.5467
2023-01-05,51.3037
2023-01-06,53.5108
2023-01-07,53.5108
2023-01-08,53.5108
2023-01-09,52.7797
2023-01-10,51.8772
2023-01-11,54.1095
2023-01-12,55.3749
2023-01-13,55.1932
2023-01-14,55.1932
2023-01-15,55.1932
2023-01-16,55.1932
2023-01-17,53.6163
2023-01-18,50.2998
2023-01-19,48.8972
2023-01-20,50.1688
2023-01-21,50.1688
2023-01-22,50.1688
2023-01-23,51.5778
2023-01-24,54.1566
2023-01-25,53.1608
2023-01-26,54.9259
2023-01-27,52.6955
2023-01-28,52.6955
2023-01-29,52.6955
2023-01-30,51.5
2023-01-31,54.1638
2023-02-01,55.7591
2023-02-02,57.1612
2023-02-03,54.0316
2023-02-04,54.0316
2023-02-05,54.0316
2023-02-06,52.7354
2023-02-07,52.9385
2023-02-08,50.3106
2023-02-09,48.7138
2023-02-10,52.5562
2023-02-11,52.5562
2023-02-12,52.5562
2023-02-13,54.6008
2023-02-14,53.2213
2023-02-15,54.273
2023-02-16,54.1014
2023-02-17,55.8347
2023-02-18,55.8347
2023-02-19,55.8347
2023-02-20,55.8347
2023-02-21,54.0176
2023-02-22,53.4947
2023-02-23,55.2857
2023-02-24,57.7188
2023-02-25,57.7188
2023-02-26,57.7188
2023-02-27,58.0819
2023-02-28,56.6356
2023-03-01,54.8541
2023-03-02,54.3057
2023-03-03,55.1812
2023-03-04,55.1812
2023-03-05,55.1812
2023-03-06,52.4301
2023-03-07,51.6022
2023-03-08,52.5092
2023-03-09,49.3864
2023-03-10,46.1206
2023-03-11,46.1206
2023-03-12,46.1206
2023-03-13,44.2832
2023-03-14,46.8863
2023-03-15,44.6779
2023-03-16,45.3875
2023-03-17,42.7408
2023-03-18,42.7408
2023-03-19,42.7408
