,2078185D US Equity
,RSI_30D
2020-11-02,68.1488
2020-11-03,68.248
2020-11-04,68.1657
2020-11-05,68.4154
2020-11-06,68.3861
2020-11-07,68.3861
2020-11-08,68.3861
2020-11-09,68.4001
2020-11-10,68.4145
2020-11-11,68.7538
2020-11-12,68.5221
2020-11-13,68.5847
2020-11-14,68.5847
2020-11-15,68.5847
2020-11-16,68.7774
2020-11-17,68.6684
2020-11-18,68.3326
2020-11-19,68.6149
2020-11-20,68.2217
2020-11-21,68.2217
2020-11-22,68.2217
2020-11-23,68.3156
2020-11-24,68.3736
2020-11-25,68.5128
2020-11-26,68.5128
2020-11-27,68.7968
2020-11-28,68.7968
2020-11-29,68.7968
2020-11-30,69.4913
2020-12-01,68.8848
2020-12-02,68.7893
2020-12-03,68.9231
2020-12-04,68.2672
2020-12-05,68.2672
2020-12-06,68.2672
2020-12-07,68.2912
2020-12-08,68.3655
2020-12-09,68.2552
2020-12-10,68.0848
2020-12-11,67.9094
2020-12-12,67.9094
2020-12-13,67.9094
2020-12-14,67.2522
2020-12-15,67.5183
2020-12-16,67.609
2020-12-17,67.5439
2020-12-18,66.7465
2020-12-19,66.7465
2020-12-20,66.7465
2020-12-21,66.8477
2020-12-22,66.9172
2020-12-23,66.9172
2020-12-24,66.9542
2020-12-25,66.9542
2020-12-26,66.9542
2020-12-27,66.9542
2020-12-28,67.5186
2020-12-29,67.5949
2020-12-30,67.6735
2020-12-31,68.074
2021-01-01,68.074
2021-01-02,68.074
2021-01-03,68.074
2021-01-04,67.9868
2021-01-05,67.8969
2021-01-06,68.0281
2021-01-07,68.0281
2021-01-08,68.0281
2021-01-09,68.0281
2021-01-10,68.0281
2021-01-11,68.0281
2021-01-12,68.0281
2021-01-13,68.0281
2021-01-14,68.0281
2021-01-15,68.0281
2021-01-16,68.0281
2021-01-17,68.0281
2021-01-18,68.0281
2021-01-19,68.0281
2021-01-20,68.0281
2021-01-21,68.0281
2021-01-22,68.0281
2021-01-23,68.0281
2021-01-24,68.0281
2021-01-25,68.0281
2021-01-26,68.0281
2021-01-27,68.0281
2021-01-28,68.0281
2021-01-29,68.0281
2021-01-30,68.0281
2021-01-31,68.0281
2021-02-01,68.0281
2021-02-02,68.0281
2021-02-03,68.0281
2021-02-04,68.0281
2021-02-05,68.0281
2021-02-06,68.0281
2021-02-07,68.0281
2021-02-08,68.0281
2021-02-09,68.0281
2021-02-10,68.0281
2021-02-11,68.0281
2021-02-12,68.0281
2021-02-13,68.0281
2021-02-14,68.0281
2021-02-15,68.0281
2021-02-16,68.0281
2021-02-17,68.0281
2021-02-18,68.0281
2021-02-19,68.0281
2021-02-20,68.0281
2021-02-21,68.0281
2021-02-22,68.0281
2021-02-23,68.0281
2021-02-24,68.0281
2021-02-25,68.0281
2021-02-26,68.0281
2021-02-27,68.0281
2021-02-28,68.0281
2021-03-01,68.0281
2021-03-02,68.0281
2021-03-03,68.0281
2021-03-04,68.0281
2021-03-05,68.0281
2021-03-06,68.0281
2021-03-07,68.0281
2021-03-08,68.0281
2021-03-09,68.0281
2021-03-10,68.0281
2021-03-11,68.0281
2021-03-12,68.0281
2021-03-13,68.0281
2021-03-14,68.0281
2021-03-15,68.0281
2021-03-16,68.0281
2021-03-17,68.0281
2021-03-18,68.0281
2021-03-19,68.0281
2021-03-20,68.0281
2021-03-21,68.0281
2021-03-22,68.0281
2021-03-23,68.0281
2021-03-24,68.0281
2021-03-25,68.0281
2021-03-26,68.0281
2021-03-27,68.0281
2021-03-28,68.0281
2021-03-29,68.0281
2021-03-30,68.0281
2021-03-31,68.0281
2021-04-01,68.0281
2021-04-02,68.0281
2021-04-03,68.0281
2021-04-04,68.0281
2021-04-05,68.0281
2021-04-06,68.0281
2021-04-07,68.0281
2021-04-08,68.0281
2021-04-09,68.0281
2021-04-10,68.0281
2021-04-11,68.0281
2021-04-12,68.0281
2021-04-13,68.0281
2021-04-14,68.0281
2021-04-15,68.0281
2021-04-16,68.0281
2021-04-17,68.0281
2021-04-18,68.0281
2021-04-19,68.0281
2021-04-20,68.0281
2021-04-21,68.0281
2021-04-22,68.0281
2021-04-23,68.0281
2021-04-24,68.0281
2021-04-25,68.0281
2021-04-26,68.0281
2021-04-27,68.0281
2021-04-28,68.0281
2021-04-29,68.0281
2021-04-30,68.0281
2021-05-01,68.0281
2021-05-02,68.0281
2021-05-03,68.0281
2021-05-04,68.0281
2021-05-05,68.0281
2021-05-06,68.0281
2021-05-07,68.0281
2021-05-08,68.0281
2021-05-09,68.0281
2021-05-10,68.0281
2021-05-11,68.0281
2021-05-12,68.0281
2021-05-13,68.0281
2021-05-14,68.0281
2021-05-15,68.0281
2021-05-16,68.0281
2021-05-17,68.0281
2021-05-18,68.0281
2021-05-19,68.0281
2021-05-20,68.0281
2021-05-21,68.0281
2021-05-22,68.0281
2021-05-23,68.0281
2021-05-24,68.0281
2021-05-25,68.0281
2021-05-26,68.0281
2021-05-27,68.0281
2021-05-28,68.0281
2021-05-29,68.0281
2021-05-30,68.0281
2021-05-31,68.0281
2021-06-01,68.0281
2021-06-02,68.0281
2021-06-03,68.0281
2021-06-04,68.0281
2021-06-05,68.0281
2021-06-06,68.0281
2021-06-07,68.0281
2021-06-08,68.0281
2021-06-09,68.0281
2021-06-10,68.0281
2021-06-11,68.0281
2021-06-12,68.0281
2021-06-13,68.0281
2021-06-14,68.0281
2021-06-15,68.0281
2021-06-16,68.0281
2021-06-17,68.0281
2021-06-18,68.0281
2021-06-19,68.0281
2021-06-20,68.0281
2021-06-21,68.0281
2021-06-22,68.0281
2021-06-23,68.0281
2021-06-24,68.0281
2021-06-25,68.0281
2021-06-26,68.0281
2021-06-27,68.0281
2021-06-28,68.0281
2021-06-29,68.0281
2021-06-30,68.0281
2021-07-01,68.0281
2021-07-02,68.0281
