,CORT US Equity
,RSI_30D
2020-05-24,63.4601
2020-05-25,63.4601
2020-05-26,62.5478
2020-05-27,59.8765
2020-05-28,60.228
2020-05-29,59.6277
2020-05-30,59.6277
2020-05-31,59.6277
2020-06-01,59.7108
2020-06-02,54.81
2020-06-03,55.6175
2020-06-04,53.5287
2020-06-05,53.8589
2020-06-06,53.8589
2020-06-07,53.8589
2020-06-08,56.4218
2020-06-09,58.2632
2020-06-10,59.0949
2020-06-11,55.4916
2020-06-12,54.6706
2020-06-13,54.6706
2020-06-14,54.6706
2020-06-15,57.4086
2020-06-16,58.9163
2020-06-17,59.4778
2020-06-18,59.179
2020-06-19,61.1765
2020-06-20,61.1765
2020-06-21,61.1765
2020-06-22,67.9727
2020-06-23,62.2668
2020-06-24,60.1045
2020-06-25,60.5766
2020-06-26,59.2266
2020-06-27,59.2266
2020-06-28,59.2266
2020-06-29,59.5718
2020-06-30,59.8181
2020-07-01,60.7719
2020-07-02,61.0904
2020-07-03,61.0904
2020-07-04,61.0904
2020-07-05,61.0904
2020-07-06,58.576
2020-07-07,57.8795
2020-07-08,58.8528
2020-07-09,58.3507
2020-07-10,56.9271
2020-07-11,56.9271
2020-07-12,56.9271
2020-07-13,53.3621
2020-07-14,55.4568
2020-07-15,56.3265
2020-07-16,55.7368
2020-07-17,56.0398
2020-07-18,56.0398
2020-07-19,56.0398
2020-07-20,57.7082
2020-07-21,55.9618
2020-07-22,54.6914
2020-07-23,54.2483
2020-07-24,53.4642
2020-07-25,53.4642
2020-07-26,53.4642
2020-07-27,56.0241
2020-07-28,52.1827
2020-07-29,53.0797
2020-07-30,52.7564
2020-07-31,47.1605
2020-08-01,47.1605
2020-08-02,47.1605
2020-08-03,49.1361
2020-08-04,50.7552
2020-08-05,44.9635
2020-08-06,43.4592
2020-08-07,43.3438
2020-08-08,43.3438
2020-08-09,43.3438
2020-08-10,42.8728
2020-08-11,41.6628
2020-08-12,41.4286
2020-08-13,42.8137
2020-08-14,43.1752
2020-08-15,43.1752
2020-08-16,43.1752
2020-08-17,43.9921
2020-08-18,43.4132
2020-08-19,43.0526
2020-08-20,43.1747
2020-08-21,39.6368
2020-08-22,39.6368
2020-08-23,39.6368
