,GTES US Equity
,RSI_30D
2020-09-16,55.3795
2020-09-17,55.0195
2020-09-18,54.4337
2020-09-19,54.4337
2020-09-20,54.4337
2020-09-21,48.6717
2020-09-22,49.1892
2020-09-23,48.0
2020-09-24,47.1315
2020-09-25,47.829
2020-09-26,47.829
2020-09-27,47.829
2020-09-28,49.617
2020-09-29,49.9582
2020-09-30,49.8883
2020-10-01,48.8975
2020-10-02,50.6361
2020-10-03,50.6361
2020-10-04,50.6361
2020-10-05,53.9454
2020-10-06,52.6053
2020-10-07,55.2262
2020-10-08,55.903
2020-10-09,54.0586
2020-10-10,54.0586
2020-10-11,54.0586
2020-10-12,55.0807
2020-10-13,56.5797
2020-10-14,54.8442
2020-10-15,55.2955
2020-10-16,55.753
2020-10-17,55.753
2020-10-18,55.753
2020-10-19,53.1027
2020-10-20,54.852
2020-10-21,52.6635
2020-10-22,53.2833
2020-10-23,53.7013
2020-10-24,53.7013
2020-10-25,53.7013
2020-10-26,50.8013
2020-10-27,50.4207
2020-10-28,48.1087
2020-10-29,48.4244
2020-10-30,47.3808
2020-10-31,47.3808
2020-11-01,47.3808
2020-11-02,52.6581
2020-11-03,54.4797
2020-11-04,52.9953
2020-11-05,55.3784
2020-11-06,53.8105
2020-11-07,53.8105
2020-11-08,53.8105
2020-11-09,57.1955
2020-11-10,58.87
2020-11-11,58.7062
2020-11-12,56.4315
2020-11-13,57.5259
2020-11-14,57.5259
2020-11-15,57.5259
2020-11-16,59.1195
2020-11-17,58.035
2020-11-18,59.9636
2020-11-19,57.4
2020-11-20,57.2367
2020-11-21,57.2367
2020-11-22,57.2367
2020-11-23,58.1603
2020-11-24,60.2897
2020-11-25,60.3477
2020-11-26,60.3477
2020-11-27,59.8953
2020-11-28,59.8953
2020-11-29,59.8953
2020-11-30,55.745
2020-12-01,57.7031
2020-12-02,56.8635
2020-12-03,54.4067
2020-12-04,56.4195
2020-12-05,56.4195
2020-12-06,56.4195
2020-12-07,56.6748
2020-12-08,57.4484
2020-12-09,59.446
2020-12-10,57.3569
2020-12-11,56.7551
2020-12-12,56.7551
2020-12-13,56.7551
2020-12-14,55.465
2020-12-15,57.844
2020-12-16,56.2888
2020-12-17,55.943
2020-12-18,55.8542
2020-12-19,55.8542
2020-12-20,55.8542
2020-12-21,54.3385
2020-12-22,52.3501
2020-12-23,54.0151
2020-12-24,54.1657
2020-12-25,54.1657
2020-12-26,54.1657
2020-12-27,54.1657
2020-12-28,52.9108
2020-12-29,51.6723
2020-12-30,51.9218
2020-12-31,51.1928
2021-01-01,51.1928
2021-01-02,51.1928
2021-01-03,51.1928
2021-01-04,48.8853
2021-01-05,52.3864
2021-01-06,57.3934
2021-01-07,58.586
2021-01-08,58.6525
2021-01-09,58.6525
2021-01-10,58.6525
2021-01-11,58.7895
2021-01-12,59.6195
2021-01-13,58.8027
2021-01-14,61.3371
2021-01-15,63.174
2021-01-16,63.174
2021-01-17,63.174
2021-01-18,63.174
2021-01-19,64.087
2021-01-20,64.087
2021-01-21,62.4307
2021-01-22,64.3979
2021-01-23,64.3979
2021-01-24,64.3979
2021-01-25,64.3979
2021-01-26,70.0772
2021-01-27,63.0425
2021-01-28,59.3939
2021-01-29,54.6425
2021-01-30,54.6425
2021-01-31,54.6425
2021-02-01,56.3595
2021-02-02,57.3388
2021-02-03,58.6379
2021-02-04,60.3225
2021-02-05,61.6264
2021-02-06,61.6264
2021-02-07,61.6264
2021-02-08,61.6785
2021-02-09,64.427
2021-02-10,65.2703
2021-02-11,65.5519
2021-02-12,66.1667
2021-02-13,66.1667
2021-02-14,66.1667
2021-02-15,66.1667
2021-02-16,67.5495
2021-02-17,67.8216
2021-02-18,64.9125
2021-02-19,67.857
2021-02-20,67.857
2021-02-21,67.857
2021-02-22,68.6646
2021-02-23,71.3673
2021-02-24,60.23
2021-02-25,55.2409
2021-02-26,51.697
2021-02-27,51.697
2021-02-28,51.697
2021-03-01,53.9417
2021-03-02,54.0358
2021-03-03,55.5382
2021-03-04,52.2269
2021-03-05,56.1072
2021-03-06,56.1072
2021-03-07,56.1072
2021-03-08,54.8217
2021-03-09,52.3406
2021-03-10,55.7903
2021-03-11,57.1927
2021-03-12,57.4321
2021-03-13,57.4321
2021-03-14,57.4321
2021-03-15,58.3166
2021-03-16,57.2538
2021-03-17,59.2743
2021-03-18,57.3668
2021-03-19,57.5332
2021-03-20,57.5332
2021-03-21,57.5332
2021-03-22,55.8429
2021-03-23,51.1294
2021-03-24,51.6857
2021-03-25,53.3785
2021-03-26,54.1863
2021-03-27,54.1863
2021-03-28,54.1863
2021-03-29,51.4699
2021-03-30,52.8538
2021-03-31,52.6984
2021-04-01,54.3647
2021-04-02,54.3647
2021-04-03,54.3647
2021-04-04,54.3647
2021-04-05,54.8221
2021-04-06,55.4228
2021-04-07,54.6137
2021-04-08,54.6137
2021-04-09,56.8755
2021-04-10,56.8755
2021-04-11,56.8755
2021-04-12,57.1575
2021-04-13,53.8778
2021-04-14,54.5768
2021-04-15,57.0765
2021-04-16,57.7244
2021-04-17,57.7244
2021-04-18,57.7244
2021-04-19,58.5111
2021-04-20,54.6148
2021-04-21,56.2416
2021-04-22,55.6349
2021-04-23,57.4398
2021-04-24,57.4398
2021-04-25,57.4398
2021-04-26,57.8136
2021-04-27,57.9569
2021-04-28,58.006
2021-04-29,58.0568
2021-04-30,56.1613
2021-05-01,56.1613
2021-05-02,56.1613
2021-05-03,56.3252
2021-05-04,56.5493
2021-05-05,56.0289
2021-05-06,56.1482
2021-05-07,57.9193
2021-05-08,57.9193
2021-05-09,57.9193
2021-05-10,58.1525
2021-05-11,57.0089
2021-05-12,55.3208
2021-05-13,56.2775
2021-05-14,58.9449
2021-05-15,58.9449
2021-05-16,58.9449
2021-05-17,55.5205
2021-05-18,54.8308
2021-05-19,54.2116
2021-05-20,54.2783
2021-05-21,55.0913
2021-05-22,55.0913
2021-05-23,55.0913
2021-05-24,55.2969
2021-05-25,52.7173
2021-05-26,55.2924
2021-05-27,59.3751
2021-05-28,59.5488
2021-05-29,59.5488
2021-05-30,59.5488
2021-05-31,59.5488
2021-06-01,60.6511
2021-06-02,59.159
2021-06-03,60.1726
2021-06-04,62.707
2021-06-05,62.707
2021-06-06,62.707
2021-06-07,59.2405
2021-06-08,58.1596
2021-06-09,57.2453
2021-06-10,57.1607
2021-06-11,58.9175
2021-06-12,58.9175
2021-06-13,58.9175
2021-06-14,55.3139
2021-06-15,55.7695
2021-06-16,54.4567
2021-06-17,49.486
2021-06-18,48.3786
2021-06-19,48.3786
2021-06-20,48.3786
2021-06-21,50.7311
2021-06-22,51.5615
2021-06-23,51.9801
2021-06-24,54.2306
2021-06-25,54.7623
2021-06-26,54.7623
2021-06-27,54.7623
2021-06-28,54.2732
2021-06-29,54.9667
2021-06-30,55.1076
2021-07-01,54.8414
