,PBH US Equity
2020-04-01,50.1282
2020-04-02,51.5134
2020-04-03,50.6922
2020-04-04,50.6922
2020-04-05,50.6922
2020-04-06,53.0584
2020-04-07,51.8819
2020-04-08,54.4783
2020-04-09,54.6982
2020-04-10,54.6982
2020-04-11,54.6982
2020-04-12,54.6982
2020-04-13,54.7264
2020-04-14,51.1431
2020-04-15,49.8668
2020-04-16,51.3525
2020-04-17,52.756
2020-04-18,52.756
2020-04-19,52.756
2020-04-20,51.9966
2020-04-21,50.3976
2020-04-22,52.0325
2020-04-23,53.321
2020-04-24,53.5638
2020-04-25,53.5638
2020-04-26,53.5638
2020-04-27,55.4378
2020-04-28,53.6635
2020-04-29,53.4312
2020-04-30,54.3279
2020-05-01,53.1394
2020-05-02,53.1394
2020-05-03,53.1394
2020-05-04,53.0082
2020-05-05,51.8539
2020-05-06,52.1718
2020-05-07,52.1718
2020-05-08,53.4332
2020-05-09,53.4332
2020-05-10,53.4332
2020-05-11,55.0334
2020-05-12,51.8778
2020-05-13,51.1489
2020-05-14,51.4919
2020-05-15,52.6573
2020-05-16,52.6573
2020-05-17,52.6573
2020-05-18,56.3396
2020-05-19,55.4134
2020-05-20,55.0001
2020-05-21,54.8886
2020-05-22,56.2816
2020-05-23,56.2816
2020-05-24,56.2816
2020-05-25,56.2816
2020-05-26,56.2816
2020-05-27,59.6013
2020-05-28,57.4983
2020-05-29,55.2303
2020-05-30,55.2303
2020-05-31,55.2303
2020-06-01,53.2337
2020-06-02,51.4573
2020-06-03,51.735
2020-06-04,52.5966
2020-06-05,52.3941
2020-06-06,52.3941
2020-06-07,52.3941
2020-06-08,54.7758
2020-06-09,55.6439
2020-06-10,54.9169
2020-06-11,50.3152
2020-06-12,50.4422
2020-06-13,50.4422
2020-06-14,50.4422
2020-06-15,50.2871
2020-06-16,51.7771
2020-06-17,51.4021
2020-06-18,49.9519
2020-06-19,49.302
2020-06-20,49.302
2020-06-21,49.302
2020-06-22,48.5552
2020-06-23,47.8522
2020-06-24,43.5276
2020-06-25,43.7127
2020-06-26,42.8208
2020-06-27,42.8208
2020-06-28,42.8208
2020-06-29,42.3017
2020-06-30,44.8735
2020-07-01,43.4308
2020-07-02,41.932
2020-07-03,41.932
2020-07-04,41.932
2020-07-05,41.932
2020-07-06,42.247
2020-07-07,43.0889
2020-07-08,42.362
2020-07-09,40.996
2020-07-10,43.7651
2020-07-11,43.7651
2020-07-12,43.7651
2020-07-13,43.3353
2020-07-14,47.2556
2020-07-15,51.2934
2020-07-16,52.4168
2020-07-17,52.2868
2020-07-18,52.2868
2020-07-19,52.2868
2020-07-20,50.3249
2020-07-21,50.4262
2020-07-22,48.9799
2020-07-23,48.1383
2020-07-24,46.5825
2020-07-25,46.5825
2020-07-26,46.5825
2020-07-27,46.9828
2020-07-28,47.0414
2020-07-29,47.2827
2020-07-30,46.7049
2020-07-31,45.6335
2020-08-01,45.6335
2020-08-02,45.6335
2020-08-03,48.4264
2020-08-04,50.7216
2020-08-05,50.7797
2020-08-06,55.9149
2020-08-07,53.3523
2020-08-08,53.3523
2020-08-09,53.3523
2020-08-10,52.3021
2020-08-11,48.4135
2020-08-12,47.412
2020-08-13,47.2823
2020-08-14,47.6968
2020-08-15,47.6968
2020-08-16,47.6968
2020-08-17,47.9388
2020-08-18,47.316
2020-08-19,47.4764
2020-08-20,46.6246
2020-08-21,45.8326
2020-08-22,45.8326
2020-08-23,45.8326
2020-08-24,47.039
2020-08-25,46.9772
2020-08-26,45.4921
2020-08-27,46.1162
2020-08-28,45.3577
2020-08-29,45.3577
2020-08-30,45.3577
2020-08-31,43.6259
2020-09-01,44.099
2020-09-02,45.8617
2020-09-03,42.9944
2020-09-04,45.8857
2020-09-05,45.8857
2020-09-06,45.8857
2020-09-07,45.8857
2020-09-08,43.0894
2020-09-09,45.0428
2020-09-10,45.2263
2020-09-11,45.3772
2020-09-12,45.3772
2020-09-13,45.3772
2020-09-14,47.2202
2020-09-15,44.1097
2020-09-16,42.8416
2020-09-17,43.9275
2020-09-18,45.4586
2020-09-19,45.4586
2020-09-20,45.4586
2020-09-21,42.6005
2020-09-22,42.4552
2020-09-23,40.4836
2020-09-24,40.3711
2020-09-25,40.4139
2020-09-26,40.4139
2020-09-27,40.4139
2020-09-28,43.2377
2020-09-29,43.2377
2020-09-30,47.9642
2020-10-01,46.9201
2020-10-02,45.8868
2020-10-03,45.8868
2020-10-04,45.8868
2020-10-05,48.3539
2020-10-06,47.5602
2020-10-07,47.8298
2020-10-08,48.8024
2020-10-09,51.1392
2020-10-10,51.1392
2020-10-11,51.1392
2020-10-12,52.5485
2020-10-13,48.6065
2020-10-14,46.1086
2020-10-15,47.614
2020-10-16,48.1385
2020-10-17,48.1385
2020-10-18,48.1385
2020-10-19,43.5036
2020-10-20,43.6595
2020-10-21,41.4978
2020-10-22,42.8609
2020-10-23,41.8811
2020-10-24,41.8811
2020-10-25,41.8811
2020-10-26,42.5399
2020-10-27,39.313
2020-10-28,37.931
2020-10-29,40.2702
2020-10-30,39.6627
2020-10-31,39.6627
2020-11-01,39.6627
2020-11-02,42.0074
2020-11-03,44.7729
2020-11-04,44.6179
2020-11-05,42.8382
2020-11-06,41.0006
2020-11-07,41.0006
2020-11-08,41.0006
2020-11-09,45.0637
2020-11-10,49.1359
2020-11-11,48.9768
2020-11-12,49.011
2020-11-13,51.593
2020-11-14,51.593
2020-11-15,51.593
2020-11-16,52.8442
2020-11-17,53.0694
2020-11-18,51.2953
2020-11-19,52.0732
2020-11-20,51.7757
2020-11-21,51.7757
2020-11-22,51.7757
2020-11-23,50.7628
2020-11-24,54.1319
2020-11-25,52.3546
2020-11-26,52.3546
2020-11-27,53.3656
2020-11-28,53.3656
2020-11-29,53.3656
2020-11-30,49.3902
2020-12-01,50.7698
2020-12-02,49.4792
2020-12-03,48.7515
2020-12-04,53.007
2020-12-05,53.007
2020-12-06,53.007
2020-12-07,51.4856
2020-12-08,55.5099
2020-12-09,55.6261
2020-12-10,56.0126
2020-12-11,52.5183
2020-12-12,52.5183
2020-12-13,52.5183
2020-12-14,51.0095
2020-12-15,51.0095
2020-12-16,49.8598
2020-12-17,50.6616
2020-12-18,50.4801
2020-12-19,50.4801
2020-12-20,50.4801
2020-12-21,46.2302
2020-12-22,45.2762
2020-12-23,45.8923
2020-12-24,46.438
2020-12-25,46.438
2020-12-26,46.438
2020-12-27,46.438
2020-12-28,47.4946
2020-12-29,47.6134
2020-12-30,46.7742
2020-12-31,46.4063
2021-01-01,46.4063
2021-01-02,46.4063
2021-01-03,46.4063
2021-01-04,51.4973
2021-01-05,52.7569
2021-01-06,55.9992
2021-01-07,55.9992
2021-01-08,54.4983
2021-01-09,54.4983
2021-01-10,54.4983
2021-01-11,54.4983
2021-01-12,55.9037
2021-01-13,56.5629
2021-01-14,56.8439
2021-01-15,55.6338
2021-01-16,55.6338
2021-01-17,55.6338
2021-01-18,55.6338
2021-01-19,57.5399
2021-01-20,57.7172
2021-01-21,56.9789
2021-01-22,57.4667
2021-01-23,57.4667
2021-01-24,57.4667
2021-01-25,61.5909
2021-01-26,69.8105
2021-01-27,67.3635
2021-01-28,61.6677
2021-01-29,59.2861
2021-01-30,59.2861
2021-01-31,59.2861
2021-02-01,61.4944
2021-02-02,59.1453
2021-02-03,60.8402
2021-02-04,62.652
2021-02-05,63.85
2021-02-06,63.85
2021-02-07,63.85
2021-02-08,64.9901
2021-02-09,65.8519
2021-02-10,67.6027
2021-02-11,68.7275
2021-02-12,64.7466
2021-02-13,64.7466
2021-02-14,64.7466
2021-02-15,64.7466
2021-02-16,60.2767
2021-02-17,60.322
2021-02-18,59.2723
2021-02-19,56.5571
2021-02-20,56.5571
2021-02-21,56.5571
2021-02-22,57.141
2021-02-23,56.866
2021-02-24,58.3938
2021-02-25,57.3257
2021-02-26,57.1096
2021-02-27,57.1096
2021-02-28,57.1096
2021-03-01,58.6419
2021-03-02,57.633
2021-03-03,58.4546
2021-03-04,58.8399
2021-03-05,61.6765
2021-03-06,61.6765
2021-03-07,61.6765
2021-03-08,66.6133
2021-03-09,67.0059
2021-03-10,67.5971
2021-03-11,65.9269
2021-03-12,67.1949
2021-03-13,67.1949
2021-03-14,67.1949
2021-03-15,69.3812
2021-03-16,66.3958
2021-03-17,65.5017
2021-03-18,62.874
2021-03-19,62.3863
2021-03-20,62.3863
2021-03-21,62.3863
2021-03-22,61.7006
2021-03-23,58.6976
2021-03-24,56.4518
2021-03-25,56.6928
2021-03-26,58.6902
2021-03-27,58.6902
2021-03-28,58.6902
2021-03-29,58.2877
2021-03-30,53.9711
2021-03-31,55.027
2021-04-01,51.7623
2021-04-02,51.7623
2021-04-03,51.7623
2021-04-04,51.7623
2021-04-05,51.2947
2021-04-06,52.4789
2021-04-07,52.9522
2021-04-08,54.3343
2021-04-09,53.6406
2021-04-10,53.6406
2021-04-11,53.6406
2021-04-12,55.2654
2021-04-13,54.3341
2021-04-14,53.509
2021-04-15,57.085
2021-04-16,57.6103
2021-04-17,57.6103
2021-04-18,57.6103
2021-04-19,57.4572
2021-04-20,57.3783
2021-04-21,59.2316
2021-04-22,59.2603
2021-04-23,55.2461
2021-04-24,55.2461
2021-04-25,55.2461
2021-04-26,52.4876
2021-04-27,51.6341
2021-04-28,50.2261
2021-04-29,52.4719
2021-04-30,50.6035
2021-05-01,50.6035
2021-05-02,50.6035
2021-05-03,53.1127
2021-05-04,53.0765
2021-05-05,53.1426
2021-05-06,60.9897
2021-05-07,57.3876
2021-05-08,57.3876
2021-05-09,57.3876
2021-05-10,59.207
2021-05-11,59.8866
2021-05-12,58.0986
2021-05-13,62.6855
2021-05-14,62.3308
2021-05-15,62.3308
2021-05-16,62.3308
2021-05-17,64.2557
2021-05-18,63.8157
2021-05-19,64.3004
2021-05-20,65.1611
2021-05-21,63.0517
2021-05-22,63.0517
2021-05-23,63.0517
2021-05-24,63.9516
2021-05-25,61.714
2021-05-26,62.698
2021-05-27,64.1606
2021-05-28,62.5087
2021-05-29,62.5087
2021-05-30,62.5087
2021-05-31,62.5087
2021-06-01,62.6476
2021-06-02,62.6952
2021-06-03,63.7007
2021-06-04,62.1735
2021-06-05,62.1735
2021-06-06,62.1735
2021-06-07,61.7595
2021-06-08,63.4705
2021-06-09,64.0095
2021-06-10,65.9914
2021-06-11,66.2432
2021-06-12,66.2432
2021-06-13,66.2432
2021-06-14,66.7069
2021-06-15,67.7383
2021-06-16,68.6753
2021-06-17,68.1875
2021-06-18,64.7614
2021-06-19,64.7614
2021-06-20,64.7614
2021-06-21,67.2003
2021-06-22,66.0073
2021-06-23,63.4096
2021-06-24,64.9356
2021-06-25,65.0087
2021-06-26,65.0087
2021-06-27,65.0087
2021-06-28,62.6244
2021-06-29,61.9152
2021-06-30,61.6894
2021-07-01,63.6377
2021-07-02,60.8857
2021-07-03,60.8857
2021-07-04,60.8857
2021-07-05,60.8857
2021-07-06,59.1084
2021-07-07,57.5404
2021-07-08,55.8021
2021-07-09,58.0496
2021-07-10,58.0496
2021-07-11,58.0496
2021-07-12,58.7725
2021-07-13,58.5117
2021-07-14,58.3332
2021-07-15,57.3825
2021-07-16,56.5203
2021-07-17,56.5203
2021-07-18,56.5203
2021-07-19,58.2289
2021-07-20,60.5994
2021-07-21,61.2147
2021-07-22,59.5315
2021-07-23,59.6299
2021-07-24,59.6299
2021-07-25,59.6299
2021-07-26,60.845
2021-07-27,59.4443
2021-07-28,59.9215
2021-07-29,58.4974
2021-07-30,58.5702
2021-07-31,58.5702
2021-08-01,58.5702
2021-08-02,59.3081
2021-08-03,61.6739
2021-08-04,60.3732
2021-08-05,69.4962
2021-08-06,73.8339
2021-08-07,73.8339
2021-08-08,73.8339
2021-08-09,72.165
2021-08-10,74.3476
2021-08-11,75.6016
2021-08-12,70.6917
2021-08-13,71.3832
2021-08-14,71.3832
2021-08-15,71.3832
2021-08-16,71.4342
2021-08-17,69.5947
2021-08-18,67.0204
2021-08-19,63.8295
2021-08-20,64.3497
2021-08-21,64.3497
2021-08-22,64.3497
2021-08-23,62.9831
2021-08-24,60.7705
2021-08-25,59.6126
2021-08-26,56.4538
2021-08-27,58.2483
2021-08-28,58.2483
2021-08-29,58.2483
2021-08-30,59.2307
2021-08-31,59.7581
2021-09-01,59.7837
2021-09-02,60.8414
2021-09-03,59.615
2021-09-04,59.615
2021-09-05,59.615
2021-09-06,59.615
2021-09-07,53.2085
2021-09-08,52.427
2021-09-09,49.5121
2021-09-10,46.5199
2021-09-11,46.5199
2021-09-12,46.5199
2021-09-13,46.1592
2021-09-14,46.4894
2021-09-15,47.5214
2021-09-16,45.9825
2021-09-17,44.9402
2021-09-18,44.9402
2021-09-19,44.9402
2021-09-20,43.9106
2021-09-21,46.2802
2021-09-22,50.39
2021-09-23,51.5376
2021-09-24,54.4088
2021-09-25,54.4088
2021-09-26,54.4088
2021-09-27,51.4152
2021-09-28,51.7046
2021-09-29,57.0262
2021-09-30,54.2277
2021-10-01,52.1896
2021-10-02,52.1896
2021-10-03,52.1896
2021-10-04,53.9296
2021-10-05,55.243
2021-10-06,56.1458
2021-10-07,58.5977
2021-10-08,58.5977
2021-10-09,58.5977
2021-10-10,58.5977
2021-10-11,57.4519
2021-10-12,57.55
2021-10-13,57.5157
2021-10-14,58.9584
2021-10-15,59.2846
2021-10-16,59.2846
2021-10-17,59.2846
2021-10-18,59.6672
2021-10-19,58.1962
2021-10-20,60.4221
2021-10-21,61.1438
2021-10-22,60.7094
2021-10-23,60.7094
2021-10-24,60.7094
2021-10-25,62.4169
2021-10-26,61.9256
2021-10-27,56.9769
2021-10-28,60.2383
2021-10-29,60.7712
2021-10-30,60.7712
2021-10-31,60.7712
2021-11-01,62.2464
2021-11-02,61.1717
2021-11-03,63.6741
2021-11-04,64.1827
2021-11-05,66.8542
2021-11-06,66.8542
2021-11-07,66.8542
2021-11-08,66.6934
2021-11-09,65.4715
2021-11-10,63.5446
2021-11-11,66.1232
2021-11-12,63.9398
2021-11-13,63.9398
2021-11-14,63.9398
2021-11-15,58.7114
2021-11-16,58.8306
2021-11-17,57.5915
2021-11-18,55.2187
2021-11-19,49.2998
2021-11-20,49.2998
2021-11-21,49.2998
2021-11-22,51.7604
2021-11-23,50.2787
2021-11-24,52.2931
2021-11-25,52.2931
2021-11-26,44.9528
2021-11-27,44.9528
2021-11-28,44.9528
2021-11-29,43.9113
2021-11-30,43.9935
2021-12-01,47.0942
2021-12-02,48.319
2021-12-03,48.7283
2021-12-04,48.7283
2021-12-05,48.7283
2021-12-06,50.083
2021-12-07,48.9965
2021-12-08,48.5154
2021-12-09,45.8439
2021-12-10,47.6231
2021-12-11,47.6231
2021-12-12,47.6231
2021-12-13,47.7324
2021-12-14,47.9011
2021-12-15,52.3317
2021-12-16,52.3819
2021-12-17,52.6141
2021-12-18,52.6141
2021-12-19,52.6141
2021-12-20,55.3892
2021-12-21,57.3225
2021-12-22,60.6783
2021-12-23,58.4514
2021-12-24,58.4514
2021-12-25,58.4514
2021-12-26,58.4514
2021-12-27,58.8943
2021-12-28,59.6984
2021-12-29,61.0468
2021-12-30,58.4034
2021-12-31,53.8096
2022-01-01,53.8096
2022-01-02,53.8096
2022-01-03,53.7286
2022-01-04,56.5678
2022-01-05,54.35
2022-01-06,54.7128
2022-01-07,52.2686
2022-01-08,52.2686
2022-01-09,52.2686
2022-01-10,52.796
2022-01-11,50.2133
2022-01-12,50.162
2022-01-13,50.7346
2022-01-14,50.462
2022-01-15,50.462
2022-01-16,50.462
2022-01-17,50.462
2022-01-18,47.0127
2022-01-19,47.4351
2022-01-20,41.6834
2022-01-21,46.9824
2022-01-22,46.9824
2022-01-23,46.9824
2022-01-24,48.7411
2022-01-25,43.9855
2022-01-26,43.3952
2022-01-27,44.635
2022-01-28,47.6929
2022-01-29,47.6929
2022-01-30,47.6929
2022-01-31,44.8521
2022-02-01,45.2531
2022-02-02,49.3336
2022-02-03,54.8773
2022-02-04,49.108
2022-02-05,49.108
2022-02-06,49.108
2022-02-07,47.3625
2022-02-08,51.586
2022-02-09,51.702
2022-02-10,49.5113
2022-02-11,50.9392
2022-02-12,50.9392
2022-02-13,50.9392
2022-02-14,49.188
2022-02-15,48.1703
2022-02-16,51.0514
2022-02-17,50.6454
2022-02-18,50.9611
2022-02-19,50.9611
2022-02-20,50.9611
2022-02-21,50.9611
2022-02-22,49.8793
2022-02-23,49.2559
2022-02-24,46.8848
2022-02-25,49.6558
2022-02-26,49.6558
2022-02-27,49.6558
2022-02-28,51.3525
2022-03-01,51.4949
2022-03-02,52.1112
2022-03-03,51.1424
2022-03-04,50.4103
2022-03-05,50.4103
2022-03-06,50.4103
2022-03-07,49.2474
2022-03-08,44.8236
2022-03-09,45.6107
2022-03-10,46.2371
2022-03-11,45.0213
2022-03-12,45.0213
2022-03-13,45.0213
2022-03-14,42.6499
2022-03-15,46.1142
2022-03-16,45.9217
2022-03-17,45.4225
2022-03-18,44.669
2022-03-19,44.669
2022-03-20,44.669
2022-03-21,44.3069
2022-03-22,42.8864
2022-03-23,44.7647
2022-03-24,41.9789
2022-03-25,41.6901
2022-03-26,41.6901
2022-03-27,41.6901
2022-03-28,42.2701
2022-03-29,42.2949
2022-03-30,41.5037
2022-03-31,40.6798
2022-04-01,41.0297
2022-04-02,41.0297
2022-04-03,41.0297
2022-04-04,40.3853
2022-04-05,39.1325
2022-04-06,41.6211
2022-04-07,42.6298
2022-04-08,42.8507
2022-04-09,42.8507
2022-04-10,42.8507
2022-04-11,42.4074
2022-04-12,44.144
2022-04-13,46.154
2022-04-14,45.0288
2022-04-15,45.0288
2022-04-16,45.0288
2022-04-17,45.0288
2022-04-18,42.3685
2022-04-19,44.4822
2022-04-20,48.7075
2022-04-21,47.7059
2022-04-22,44.3802
2022-04-23,44.3802
2022-04-24,44.3802
2022-04-25,43.8095
2022-04-26,43.438
2022-04-27,44.9928
2022-04-28,46.1544
2022-04-29,48.3593
2022-04-30,48.3593
2022-05-01,48.3593
2022-05-02,47.9109
2022-05-03,47.8384
2022-05-04,50.1766
2022-05-05,46.1356
2022-05-06,49.2214
2022-05-07,49.2214
2022-05-08,49.2214
2022-05-09,54.7762
2022-05-10,55.0139
2022-05-11,50.5687
2022-05-12,51.9355
2022-05-13,52.935
2022-05-14,52.935
2022-05-15,52.935
2022-05-16,53.4055
2022-05-17,54.7681
2022-05-18,49.4335
2022-05-19,45.5363
2022-05-20,47.1294
2022-05-21,47.1294
2022-05-22,47.1294
2022-05-23,51.5473
2022-05-24,50.3344
2022-05-25,50.9597
2022-05-26,50.8393
2022-05-27,51.4718
2022-05-28,51.4718
2022-05-29,51.4718
2022-05-30,51.4718
2022-05-31,50.6087
2022-06-01,50.4806
2022-06-02,51.8469
2022-06-03,51.3955
2022-06-04,51.3955
2022-06-05,51.3955
2022-06-06,51.958
2022-06-07,52.5911
2022-06-08,51.5492
2022-06-09,50.9182
2022-06-10,47.8863
2022-06-11,47.8863
2022-06-12,47.8863
2022-06-13,45.9696
2022-06-14,46.6226
2022-06-15,49.7631
2022-06-16,47.5374
2022-06-17,48.3029
2022-06-18,48.3029
2022-06-19,48.3029
2022-06-20,48.3029
2022-06-21,48.4245
2022-06-22,49.8168
2022-06-23,52.7783
2022-06-24,57.3179
2022-06-25,57.3179
2022-06-26,57.3179
2022-06-27,55.3911
2022-06-28,52.7569
2022-06-29,52.6182
2022-06-30,56.3019
2022-07-01,57.7276
2022-07-02,57.7276
2022-07-03,57.7276
2022-07-04,57.7276
2022-07-05,58.0903
2022-07-06,58.9644
2022-07-07,57.4158
2022-07-08,54.9524
2022-07-09,54.9524
2022-07-10,54.9524
2022-07-11,54.8786
2022-07-12,53.2269
2022-07-13,54.2267
2022-07-14,52.8347
2022-07-15,54.1817
2022-07-16,54.1817
2022-07-17,54.1817
2022-07-18,51.7879
2022-07-19,54.0607
2022-07-20,52.6664
2022-07-21,54.0849
2022-07-22,53.4324
2022-07-23,53.4324
2022-07-24,53.4324
2022-07-25,54.2235
2022-07-26,55.3354
2022-07-27,57.6911
2022-07-28,58.4139
2022-07-29,57.1239
2022-07-30,57.1239
2022-07-31,57.1239
2022-08-01,58.7821
2022-08-02,56.0154
2022-08-03,54.4769
2022-08-04,52.9972
2022-08-05,53.8615
2022-08-06,53.8615
2022-08-07,53.8615
2022-08-08,53.9767
2022-08-09,48.536
2022-08-10,49.5778
2022-08-11,48.4915
2022-08-12,47.3938
2022-08-13,47.3938
2022-08-14,47.3938
2022-08-15,47.0888
2022-08-16,46.2597
2022-08-17,45.0407
2022-08-18,47.0663
2022-08-19,48.4397
2022-08-20,48.4397
2022-08-21,48.4397
2022-08-22,45.3826
2022-08-23,42.3377
2022-08-24,42.3944
2022-08-25,42.0098
2022-08-26,39.7307
2022-08-27,39.7307
2022-08-28,39.7307
2022-08-29,36.6457
2022-08-30,37.1354
2022-08-31,35.4524
2022-09-01,37.4885
2022-09-02,36.1308
2022-09-03,36.1308
2022-09-04,36.1308
2022-09-05,36.1308
2022-09-06,37.3355
2022-09-07,39.1619
2022-09-08,39.5265
2022-09-09,41.1385
2022-09-10,41.1385
2022-09-11,41.1385
2022-09-12,43.9386
2022-09-13,41.075
2022-09-14,40.1203
2022-09-15,39.8806
2022-09-16,41.0348
2022-09-17,41.0348
2022-09-18,41.0348
2022-09-19,43.7117
2022-09-20,40.5515
2022-09-21,39.8605
2022-09-22,40.4603
2022-09-23,39.5823
2022-09-24,39.5823
2022-09-25,39.5823
2022-09-26,37.2673
2022-09-27,36.5063
2022-09-28,40.3769
2022-09-29,40.9386
2022-09-30,40.2369
2022-10-01,40.2369
2022-10-02,40.2369
2022-10-03,40.0698
2022-10-04,43.4424
2022-10-05,42.7033
2022-10-06,41.2088
2022-10-07,40.9906
2022-10-08,40.9906
2022-10-09,40.9906
2022-10-10,42.225
2022-10-11,43.663
2022-10-12,41.8364
2022-10-13,46.0841
2022-10-14,44.6355
2022-10-15,44.6355
2022-10-16,44.6355
2022-10-17,48.9112
2022-10-18,51.9205
2022-10-19,48.9385
2022-10-20,47.3821
2022-10-21,49.5308
2022-10-22,49.5308
2022-10-23,49.5308
2022-10-24,50.5981
2022-10-25,51.0266
2022-10-26,54.6233
2022-10-27,53.9276
2022-10-28,56.1936
2022-10-29,56.1936
2022-10-30,56.1936
2022-10-31,53.7923
2022-11-01,55.7888
2022-11-02,52.9252
2022-11-03,53.6739
2022-11-04,55.4738
2022-11-05,55.4738
2022-11-06,55.4738
2022-11-07,58.7333
2022-11-08,57.7499
2022-11-09,56.4884
2022-11-10,59.6173
2022-11-11,58.5797
2022-11-12,58.5797
2022-11-13,58.5797
2022-11-14,60.5844
2022-11-15,60.7063
2022-11-16,59.5098
2022-11-17,59.678
2022-11-18,62.0511
2022-11-19,62.0511
2022-11-20,62.0511
2022-11-21,61.5363
2022-11-22,63.83
2022-11-23,60.7314
2022-11-24,60.7314
2022-11-25,61.7444
2022-11-26,61.7444
2022-11-27,61.7444
2022-11-28,61.8322
2022-11-29,62.0484
2022-11-30,63.6636
2022-12-01,65.8913
2022-12-02,67.5383
2022-12-03,67.5383
2022-12-04,67.5383
2022-12-05,60.5884
2022-12-06,59.1911
2022-12-07,59.3498
2022-12-08,60.4632
2022-12-09,58.7458
2022-12-10,58.7458
2022-12-11,58.7458
2022-12-12,60.3241
2022-12-13,58.5595
2022-12-14,59.349
2022-12-15,56.4759
2022-12-16,56.7685
2022-12-17,56.7685
2022-12-18,56.7685
2022-12-19,58.2211
2022-12-20,57.8191
2022-12-21,60.8397
2022-12-22,58.4605
2022-12-23,58.611
2022-12-24,58.611
2022-12-25,58.611
2022-12-26,58.611
2022-12-27,61.4132
2022-12-28,58.9877
2022-12-29,60.8508
2022-12-30,57.9721
2022-12-31,57.9721
2023-01-01,57.9721
2023-01-02,57.9721
2023-01-03,59.5113
2023-01-04,61.7279
2023-01-05,61.9225
2023-01-06,64.3007
2023-01-07,64.3007
2023-01-08,64.3007
2023-01-09,63.7318
2023-01-10,62.7204
2023-01-11,60.9622
2023-01-12,61.9137
2023-01-13,63.3176
2023-01-14,63.3176
2023-01-15,63.3176
2023-01-16,63.3176
2023-01-17,61.1769
2023-01-18,61.1495
2023-01-19,62.2861
2023-01-20,62.7029
2023-01-21,62.7029
2023-01-22,62.7029
2023-01-23,63.2801
2023-01-24,60.8306
2023-01-25,58.5429
2023-01-26,58.9568
2023-01-27,59.0977
2023-01-28,59.0977
2023-01-29,59.0977
2023-01-30,58.5043
2023-01-31,59.0781
2023-02-01,59.9897
2023-02-02,45.6903
2023-02-03,47.054
2023-02-04,47.054
2023-02-05,47.054
2023-02-06,46.7752
2023-02-07,46.5307
2023-02-08,46.7227
2023-02-09,44.6885
2023-02-10,44.2815
2023-02-11,44.2815
2023-02-12,44.2815
2023-02-13,46.8362
2023-02-14,45.5649
2023-02-15,46.8581
2023-02-16,47.405
2023-02-17,49.1519
2023-02-18,49.1519
2023-02-19,49.1519
2023-02-20,49.1519
2023-02-21,48.3793
2023-02-22,47.6745
2023-02-23,50.0338
2023-02-24,47.9632
2023-02-25,47.9632
2023-02-26,47.9632
2023-02-27,46.992
2023-02-28,46.4362
2023-03-01,47.2166
2023-03-02,48.3442
2023-03-03,46.7454
2023-03-04,46.7454
2023-03-05,46.7454
2023-03-06,43.9902
2023-03-07,43.4119
2023-03-08,42.4136
2023-03-09,43.9255
2023-03-10,44.8072
2023-03-11,44.8072
2023-03-12,44.8072
2023-03-13,44.0195
2023-03-14,48.9946
2023-03-15,47.9486
2023-03-16,51.8481
2023-03-17,50.5755
2023-03-18,50.5755
