,BY US Equity
,RSI_30D
2020-10-15,54.876
2020-10-16,54.737
2020-10-17,54.737
2020-10-18,54.737
2020-10-19,56.1163
2020-10-20,57.0747
2020-10-21,57.5263
2020-10-22,59.1384
2020-10-23,60.1632
2020-10-24,60.1632
2020-10-25,60.1632
2020-10-26,59.2729
2020-10-27,56.2958
2020-10-28,53.3764
2020-10-29,52.3927
2020-10-30,53.4079
2020-10-31,53.4079
2020-11-01,53.4079
2020-11-02,54.7795
2020-11-03,58.0329
2020-11-04,52.4558
2020-11-05,56.1101
2020-11-06,52.3803
2020-11-07,52.3803
2020-11-08,52.3803
2020-11-09,62.5181
2020-11-10,63.6049
2020-11-11,61.1957
2020-11-12,57.1439
2020-11-13,57.5646
2020-11-14,57.5646
2020-11-15,57.5646
2020-11-16,59.7917
2020-11-17,60.8198
2020-11-18,58.9904
2020-11-19,57.8261
2020-11-20,57.2417
2020-11-21,57.2417
2020-11-22,57.2417
2020-11-23,57.5243
2020-11-24,62.0134
2020-11-25,61.0209
2020-11-26,61.0209
2020-11-27,60.1905
2020-11-28,60.1905
2020-11-29,60.1905
2020-11-30,56.78
2020-12-01,57.5956
2020-12-02,59.1889
2020-12-03,57.4348
2020-12-04,59.4682
2020-12-05,59.4682
2020-12-06,59.4682
2020-12-07,57.5205
2020-12-08,57.6369
2020-12-09,57.3659
2020-12-10,57.4073
2020-12-11,58.2056
2020-12-12,58.2056
2020-12-13,58.2056
2020-12-14,57.5015
2020-12-15,59.0803
2020-12-16,59.2075
2020-12-17,59.7252
2020-12-18,58.3214
2020-12-19,58.3214
2020-12-20,58.3214
2020-12-21,55.9072
2020-12-22,54.4717
2020-12-23,54.772
2020-12-24,53.974
2020-12-25,53.974
2020-12-26,53.974
2020-12-27,53.974
2020-12-28,54.2393
2020-12-29,52.7302
2020-12-30,53.8914
2020-12-31,53.8914
2021-01-01,53.8914
2021-01-02,53.8914
2021-01-03,53.8914
2021-01-04,54.7413
2021-01-05,56.9312
2021-01-06,59.9856
2021-01-07,59.77
2021-01-08,55.6319
2021-01-09,55.6319
2021-01-10,55.6319
2021-01-11,54.8463
2021-01-12,56.5902
2021-01-13,56.5902
2021-01-14,58.7105
2021-01-15,56.2164
2021-01-16,56.2164
2021-01-17,56.2164
2021-01-18,56.2164
2021-01-19,57.9612
2021-01-20,57.3356
2021-01-21,56.6329
2021-01-22,58.2219
2021-01-23,58.2219
2021-01-24,58.2219
2021-01-25,54.8928
2021-01-26,51.8876
2021-01-27,46.1091
2021-01-28,47.7303
2021-01-29,53.3785
2021-01-30,53.3785
2021-01-31,53.3785
2021-02-01,55.5224
2021-02-02,56.9177
2021-02-03,57.1351
2021-02-04,59.6219
2021-02-05,60.1088
2021-02-06,60.1088
2021-02-07,60.1088
