,SIVBQ US Equity
,RSI_30D
2020-08-17,58.3056
2020-08-18,56.7193
2020-08-19,57.1635
2020-08-20,56.256
2020-08-21,55.7512
2020-08-22,55.7512
2020-08-23,55.7512
2020-08-24,58.7047
2020-08-25,60.131
2020-08-26,58.0527
2020-08-27,58.8203
2020-08-28,59.6633
2020-08-29,59.6633
2020-08-30,59.6633
2020-08-31,59.7695
2020-09-01,59.999
2020-09-02,60.9014
2020-09-03,60.8037
2020-09-04,61.0285
2020-09-05,61.0285
2020-09-06,61.0285
2020-09-07,61.0285
2020-09-08,58.0332
2020-09-09,58.9682
2020-09-10,55.427
2020-09-11,55.5179
2020-09-12,55.5179
2020-09-13,55.5179
2020-09-14,56.2601
2020-09-15,55.1443
2020-09-16,55.6788
2020-09-17,53.9428
2020-09-18,54.1238
2020-09-19,54.1238
2020-09-20,54.1238
2020-09-21,50.3374
2020-09-22,47.3609
2020-09-23,45.8983
2020-09-24,45.4794
2020-09-25,47.308
2020-09-26,47.308
2020-09-27,47.308
2020-09-28,50.6212
2020-09-29,50.459
2020-09-30,51.9024
2020-10-01,53.7504
2020-10-02,53.8875
2020-10-03,53.8875
2020-10-04,53.8875
2020-10-05,57.3128
2020-10-06,56.9545
2020-10-07,61.1341
2020-10-08,63.1158
2020-10-09,63.5311
2020-10-10,63.5311
2020-10-11,63.5311
2020-10-12,64.0114
2020-10-13,60.3958
2020-10-14,59.7887
2020-10-15,61.5682
2020-10-16,61.4779
2020-10-17,61.4779
2020-10-18,61.4779
2020-10-19,60.1693
2020-10-20,61.8992
2020-10-21,62.3601
2020-10-22,64.6943
2020-10-23,67.7515
2020-10-24,67.7515
2020-10-25,67.7515
2020-10-26,64.4662
2020-10-27,64.2759
2020-10-28,59.0481
2020-10-29,60.1229
2020-10-30,62.6049
2020-10-31,62.6049
2020-11-01,62.6049
2020-11-02,66.6552
2020-11-03,67.4592
2020-11-04,61.4751
2020-11-05,65.1523
2020-11-06,65.3012
2020-11-07,65.3012
2020-11-08,65.3012
2020-11-09,68.9599
2020-11-10,69.7568
2020-11-11,66.7197
2020-11-12,67.2558
2020-11-13,69.8123
2020-11-14,69.8123
2020-11-15,69.8123
2020-11-16,71.2296
2020-11-17,68.8196
2020-11-18,68.4989
2020-11-19,69.7439
2020-11-20,70.1305
2020-11-21,70.1305
2020-11-22,70.1305
2020-11-23,66.9604
2020-11-24,69.2623
2020-11-25,66.5899
2020-11-26,66.5899
2020-11-27,66.3015
2020-11-28,66.3015
2020-11-29,66.3015
2020-11-30,63.1059
2020-12-01,65.1141
2020-12-02,64.4036
2020-12-03,65.052
2020-12-04,65.4151
2020-12-05,65.4151
2020-12-06,65.4151
2020-12-07,64.1625
2020-12-08,63.8988
2020-12-09,61.6051
2020-12-10,62.8648
2020-12-11,61.4386
2020-12-12,61.4386
2020-12-13,61.4386
2020-12-14,61.2846
2020-12-15,63.0843
2020-12-16,63.345
2020-12-17,64.8147
2020-12-18,62.0287
2020-12-19,62.0287
2020-12-20,62.0287
2020-12-21,64.2149
2020-12-22,64.3681
2020-12-23,66.3516
2020-12-24,65.7302
2020-12-25,65.7302
2020-12-26,65.7302
2020-12-27,65.7302
2020-12-28,66.163
2020-12-29,65.314
2020-12-30,66.9615
2020-12-31,67.8568
2021-01-01,67.8568
2021-01-02,67.8568
2021-01-03,67.8568
2021-01-04,67.6397
2021-01-05,67.1049
2021-01-06,72.6659
2021-01-07,75.022
2021-01-08,72.0551
2021-01-09,72.0551
2021-01-10,72.0551
2021-01-11,73.5403
2021-01-12,75.2575
2021-01-13,73.4921
2021-01-14,76.4493
2021-01-15,74.9004
2021-01-16,74.9004
2021-01-17,74.9004
2021-01-18,74.9004
2021-01-19,76.0056
2021-01-20,73.1363
2021-01-21,70.6648
2021-01-22,73.8216
2021-01-23,73.8216
2021-01-24,73.8216
2021-01-25,73.8926
2021-01-26,74.0576
2021-01-27,63.6516
2021-01-28,64.2415
2021-01-29,60.5094
2021-01-30,60.5094
2021-01-31,60.5094
2021-02-01,63.4166
2021-02-02,65.0599
2021-02-03,65.6404
2021-02-04,67.891
2021-02-05,68.0699
2021-02-06,68.0699
2021-02-07,68.0699
2021-02-08,69.6998
2021-02-09,69.7949
2021-02-10,68.6772
2021-02-11,68.5052
2021-02-12,69.3146
2021-02-13,69.3146
2021-02-14,69.3146
2021-02-15,69.3146
2021-02-16,71.6177
2021-02-17,72.1931
2021-02-18,69.87
2021-02-19,72.0168
2021-02-20,72.0168
2021-02-21,72.0168
2021-02-22,70.9598
2021-02-23,67.1089
2021-02-24,69.2578
2021-02-25,64.9375
2021-02-26,60.834
2021-02-27,60.834
2021-02-28,60.834
2021-03-01,64.2398
2021-03-02,62.0827
2021-03-03,60.6542
2021-03-04,58.206
2021-03-05,58.9767
2021-03-06,58.9767
2021-03-07,58.9767
2021-03-08,59.446
2021-03-09,58.8307
2021-03-10,61.7857
2021-03-11,64.6181
2021-03-12,63.9512
2021-03-13,63.9512
2021-03-14,63.9512
2021-03-15,64.2691
2021-03-16,61.7784
2021-03-17,62.4188
2021-03-18,63.1965
2021-03-19,61.8653
2021-03-20,61.8653
2021-03-21,61.8653
2021-03-22,55.1412
2021-03-23,52.4638
2021-03-24,50.8484
2021-03-25,52.1778
2021-03-26,51.5348
2021-03-27,51.5348
2021-03-28,51.5348
2021-03-29,47.7852
2021-03-30,51.2407
2021-03-31,51.7071
2021-04-01,50.0036
2021-04-02,50.0036
2021-04-03,50.0036
2021-04-04,50.0036
2021-04-05,51.0833
2021-04-06,51.0475
2021-04-07,50.1439
2021-04-08,51.0859
2021-04-09,52.3762
2021-04-10,52.3762
2021-04-11,52.3762
2021-04-12,52.8763
2021-04-13,52.3936
2021-04-14,53.9294
2021-04-15,54.7325
2021-04-16,55.9517
2021-04-17,55.9517
2021-04-18,55.9517
2021-04-19,56.006
2021-04-20,53.5435
2021-04-21,56.9808
2021-04-22,55.1078
2021-04-23,61.6538
2021-04-24,61.6538
2021-04-25,61.6538
2021-04-26,62.7362
2021-04-27,63.1036
2021-04-28,62.2296
2021-04-29,63.308
2021-04-30,61.4959
2021-05-01,61.4959
2021-05-02,61.4959
2021-05-03,59.9684
2021-05-04,61.1201
2021-05-05,62.291
2021-05-06,61.7072
2021-05-07,62.9396
2021-05-08,62.9396
2021-05-09,62.9396
2021-05-10,60.253
2021-05-11,61.3823
2021-05-12,54.1013
2021-05-13,55.6307
2021-05-14,58.5287
2021-05-15,58.5287
2021-05-16,58.5287
2021-05-17,58.3624
2021-05-18,57.9596
2021-05-19,55.5713
2021-05-20,54.9853
2021-05-21,56.51
2021-05-22,56.51
2021-05-23,56.51
2021-05-24,57.3114
2021-05-25,55.9809
2021-05-26,57.6707
2021-05-27,58.4071
2021-05-28,58.0296
2021-05-29,58.0296
2021-05-30,58.0296
2021-05-31,58.0296
2021-06-01,59.1198
2021-06-02,58.6522
2021-06-03,58.8529
2021-06-04,59.938
2021-06-05,59.938
2021-06-06,59.938
2021-06-07,60.9216
2021-06-08,61.6082
2021-06-09,58.5929
