,CCBG US Equity
2020-06-28,48.2017
2020-06-29,49.8669
2020-06-30,51.3216
2020-07-01,47.9768
2020-07-02,47.8648
2020-07-03,47.8648
2020-07-04,47.8648
2020-07-05,47.8648
2020-07-06,48.1155
2020-07-07,46.1635
2020-07-08,46.0498
2020-07-09,44.3766
2020-07-10,46.6527
2020-07-11,46.6527
2020-07-12,46.6527
2020-07-13,46.7065
2020-07-14,46.1299
2020-07-15,47.5531
2020-07-16,47.2997
2020-07-17,47.3867
2020-07-18,47.3867
2020-07-19,47.3867
2020-07-20,46.6691
2020-07-21,48.2019
2020-07-22,48.3224
2020-07-23,50.8367
2020-07-24,50.5374
2020-07-25,50.5374
2020-07-26,50.5374
2020-07-27,48.6703
2020-07-28,48.3476
2020-07-29,49.818
2020-07-30,47.9262
2020-07-31,47.1037
2020-08-01,47.1037
2020-08-02,47.1037
2020-08-03,48.0587
2020-08-04,47.5383
2020-08-05,49.2118
2020-08-06,49.1793
2020-08-07,52.6973
2020-08-08,52.6973
2020-08-09,52.6973
2020-08-10,53.6712
2020-08-11,54.667
2020-08-12,55.1804
2020-08-13,53.4136
2020-08-14,53.6375
2020-08-15,53.6375
2020-08-16,53.6375
2020-08-17,52.628
2020-08-18,50.3064
2020-08-19,50.6932
2020-08-20,50.7292
2020-08-21,51.8227
2020-08-22,51.8227
2020-08-23,51.8227
2020-08-24,53.0445
2020-08-25,52.5177
2020-08-26,51.4603
2020-08-27,52.1125
2020-08-28,51.985
2020-08-29,51.985
2020-08-30,51.985
2020-08-31,50.8271
2020-09-01,50.8271
2020-09-02,51.2574
2020-09-03,50.4806
2020-09-04,52.6634
2020-09-05,52.6634
2020-09-06,52.6634
2020-09-07,52.6634
2020-09-08,49.0824
2020-09-09,48.1509
2020-09-10,48.3353
2020-09-11,47.3269
2020-09-12,47.3269
2020-09-13,47.3269
2020-09-14,51.1328
2020-09-15,50.0952
2020-09-16,50.8577
2020-09-17,50.4822
2020-09-18,51.5462
2020-09-19,51.5462
2020-09-20,51.5462
2020-09-21,44.6431
2020-09-22,43.6972
2020-09-23,41.3412
2020-09-24,41.3915
2020-09-25,41.3915
2020-09-26,41.3915
2020-09-27,41.3915
2020-09-28,46.6308
2020-09-29,46.1917
2020-09-30,46.4289
2020-10-01,47.152
2020-10-02,51.027
2020-10-03,51.027
2020-10-04,51.027
2020-10-05,53.945
2020-10-06,54.7696
2020-10-07,57.9585
2020-10-08,58.8655
2020-10-09,57.4357
2020-10-10,57.4357
2020-10-11,57.4357
2020-10-12,58.6885
2020-10-13,54.2085
2020-10-14,52.7613
2020-10-15,53.7673
2020-10-16,54.271
2020-10-17,54.271
2020-10-18,54.271
2020-10-19,53.3915
2020-10-20,55.0188
2020-10-21,55.9121
2020-10-22,57.0253
2020-10-23,57.1411
2020-10-24,57.1411
2020-10-25,57.1411
2020-10-26,56.0985
2020-10-27,54.0087
2020-10-28,55.2291
2020-10-29,54.4559
2020-10-30,54.4999
2020-10-31,54.4999
2020-11-01,54.4999
2020-11-02,56.662
2020-11-03,59.968
2020-11-04,50.4827
2020-11-05,52.2786
2020-11-06,49.455
2020-11-07,49.455
2020-11-08,49.455
2020-11-09,56.2022
2020-11-10,59.1812
2020-11-11,56.7914
2020-11-12,54.3356
2020-11-13,55.8902
2020-11-14,55.8902
2020-11-15,55.8902
2020-11-16,58.1305
2020-11-17,57.9378
2020-11-18,57.348
2020-11-19,56.6715
2020-11-20,56.4689
2020-11-21,56.4689
2020-11-22,56.4689
2020-11-23,56.9782
2020-11-24,61.8289
2020-11-25,60.9821
2020-11-26,60.9821
2020-11-27,59.3427
2020-11-28,59.3427
2020-11-29,59.3427
2020-11-30,53.7469
2020-12-01,57.0738
2020-12-02,57.8843
2020-12-03,58.7438
2020-12-04,61.2396
2020-12-05,61.2396
2020-12-06,61.2396
2020-12-07,60.2675
2020-12-08,62.2039
2020-12-09,62.2527
2020-12-10,62.4033
2020-12-11,60.6101
2020-12-12,60.6101
2020-12-13,60.6101
2020-12-14,60.7458
2020-12-15,60.8017
2020-12-16,60.6231
2020-12-17,61.8963
2020-12-18,54.5559
2020-12-19,54.5559
2020-12-20,54.5559
2020-12-21,55.752
2020-12-22,54.5709
2020-12-23,56.5667
2020-12-24,55.8636
2020-12-25,55.8636
2020-12-26,55.8636
2020-12-27,55.8636
2020-12-28,56.2077
2020-12-29,54.0291
2020-12-30,55.3317
2020-12-31,54.6113
2021-01-01,54.6113
2021-01-02,54.6113
2021-01-03,54.6113
2021-01-04,52.9475
2021-01-05,53.6432
2021-01-06,60.6036
2021-01-07,60.0384
2021-01-08,57.3888
2021-01-09,57.3888
2021-01-10,57.3888
2021-01-11,58.2424
2021-01-12,58.6988
2021-01-13,55.6319
2021-01-14,56.9447
2021-01-15,55.1047
2021-01-16,55.1047
2021-01-17,55.1047
2021-01-18,55.1047
2021-01-19,53.5388
2021-01-20,52.6906
2021-01-21,51.337
2021-01-22,51.6496
2021-01-23,51.6496
2021-01-24,51.6496
2021-01-25,50.3487
2021-01-26,45.7199
2021-01-27,42.0176
2021-01-28,45.3254
2021-01-29,44.8024
2021-01-30,44.8024
2021-01-31,44.8024
2021-02-01,46.8129
2021-02-02,48.0156
2021-02-03,45.987
2021-02-04,51.6823
2021-02-05,50.964
2021-02-06,50.964
2021-02-07,50.964
2021-02-08,51.3291
2021-02-09,50.7106
2021-02-10,49.509
2021-02-11,46.7522
2021-02-12,48.1287
2021-02-13,48.1287
2021-02-14,48.1287
2021-02-15,48.1287
2021-02-16,50.6091
2021-02-17,51.3283
2021-02-18,49.6693
2021-02-19,52.1477
2021-02-20,52.1477
2021-02-21,52.1477
2021-02-22,53.7867
2021-02-23,55.3681
2021-02-24,56.5156
2021-02-25,54.5687
2021-02-26,51.9755
2021-02-27,51.9755
2021-02-28,51.9755
2021-03-01,53.9737
2021-03-02,53.166
2021-03-03,57.222
2021-03-04,57.5583
2021-03-05,59.2747
2021-03-06,59.2747
2021-03-07,59.2747
2021-03-08,61.1198
2021-03-09,60.0096
2021-03-10,62.1437
2021-03-11,61.6146
2021-03-12,62.2323
2021-03-13,62.2323
2021-03-14,62.2323
2021-03-15,58.0331
2021-03-16,56.2606
2021-03-17,55.8798
2021-03-18,56.3796
2021-03-19,57.7548
2021-03-20,57.7548
2021-03-21,57.7548
2021-03-22,54.8906
2021-03-23,51.3044
2021-03-24,50.3062
2021-03-25,52.6869
2021-03-26,54.3005
2021-03-27,54.3005
2021-03-28,54.3005
2021-03-29,51.7996
2021-03-30,52.7803
2021-03-31,51.6297
2021-04-01,51.8709
2021-04-02,51.8709
2021-04-03,51.8709
2021-04-04,51.8709
2021-04-05,53.1105
2021-04-06,52.0949
2021-04-07,50.5612
2021-04-08,51.8677
2021-04-09,51.1179
2021-04-10,51.1179
2021-04-11,51.1179
2021-04-12,51.6438
2021-04-13,49.2457
2021-04-14,50.7661
2021-04-15,50.1104
2021-04-16,50.2155
2021-04-17,50.2155
2021-04-18,50.2155
2021-04-19,49.3908
2021-04-20,47.4291
2021-04-21,48.782
2021-04-22,49.0082
2021-04-23,50.4791
2021-04-24,50.4791
2021-04-25,50.4791
2021-04-26,49.6061
2021-04-27,49.034
2021-04-28,48.9173
2021-04-29,48.4401
2021-04-30,48.8274
2021-05-01,48.8274
2021-05-02,48.8274
2021-05-03,50.945
2021-05-04,48.2593
2021-05-05,49.98
2021-05-06,51.9553
2021-05-07,52.3525
2021-05-08,52.3525
2021-05-09,52.3525
2021-05-10,49.6757
2021-05-11,47.7128
2021-05-12,47.3181
2021-05-13,49.5214
2021-05-14,52.5787
2021-05-15,52.5787
2021-05-16,52.5787
2021-05-17,53.7233
2021-05-18,50.8057
2021-05-19,51.0845
2021-05-20,51.4504
2021-05-21,53.5284
2021-05-22,53.5284
2021-05-23,53.5284
2021-05-24,53.4829
2021-05-25,50.1298
2021-05-26,51.6563
2021-05-27,52.7876
2021-05-28,54.5934
2021-05-29,54.5934
2021-05-30,54.5934
2021-05-31,54.5934
2021-06-01,56.0672
2021-06-02,54.8858
2021-06-03,53.8529
2021-06-04,51.9125
2021-06-05,51.9125
2021-06-06,51.9125
2021-06-07,53.6405
2021-06-08,54.3675
2021-06-09,53.0293
2021-06-10,52.222
2021-06-11,52.4423
2021-06-12,52.4423
2021-06-13,52.4423
2021-06-14,51.7511
2021-06-15,52.5823
2021-06-16,53.4578
2021-06-17,50.4647
2021-06-18,47.7017
2021-06-19,47.7017
2021-06-20,47.7017
2021-06-21,51.8182
2021-06-22,52.1248
2021-06-23,52.027
2021-06-24,54.0355
2021-06-25,51.7446
2021-06-26,51.7446
2021-06-27,51.7446
2021-06-28,50.2126
2021-06-29,49.5019
2021-06-30,49.166
2021-07-01,50.6027
2021-07-02,48.1743
2021-07-03,48.1743
2021-07-04,48.1743
2021-07-05,48.1743
2021-07-06,45.7659
2021-07-07,45.1057
2021-07-08,43.6719
2021-07-09,49.1905
2021-07-10,49.1905
2021-07-11,49.1905
2021-07-12,47.7261
2021-07-13,45.7207
2021-07-14,45.0951
2021-07-15,46.8019
2021-07-16,47.4481
2021-07-17,47.4481
2021-07-18,47.4481
2021-07-19,42.0432
2021-07-20,42.7533
2021-07-21,44.3161
2021-07-22,41.9469
2021-07-23,43.0642
2021-07-24,43.0642
2021-07-25,43.0642
2021-07-26,43.0642
2021-07-27,43.4349
2021-07-28,44.2925
2021-07-29,46.796
2021-07-30,45.6035
2021-07-31,45.6035
2021-08-01,45.6035
2021-08-02,43.9306
2021-08-03,45.6237
2021-08-04,45.4905
2021-08-05,45.399
2021-08-06,47.5787
2021-08-07,47.5787
2021-08-08,47.5787
2021-08-09,47.1407
2021-08-10,46.1159
2021-08-11,45.4827
2021-08-12,42.9488
2021-08-13,44.2576
2021-08-14,44.2576
2021-08-15,44.2576
2021-08-16,43.7853
2021-08-17,42.5178
2021-08-18,41.4155
2021-08-19,41.003
2021-08-20,40.631
2021-08-21,40.631
2021-08-22,40.631
2021-08-23,42.7794
2021-08-24,43.1122
2021-08-25,42.5996
2021-08-26,39.1786
2021-08-27,43.5388
2021-08-28,43.5388
2021-08-29,43.5388
2021-08-30,41.2228
2021-08-31,43.5823
2021-09-01,44.2524
2021-09-02,43.7636
2021-09-03,43.1715
2021-09-04,43.1715
2021-09-05,43.1715
2021-09-06,43.1715
2021-09-07,42.1395
2021-09-08,41.3602
2021-09-09,41.2615
2021-09-10,42.1954
2021-09-11,42.1954
2021-09-12,42.1954
2021-09-13,42.1421
2021-09-14,42.5178
2021-09-15,43.579
2021-09-16,43.4604
2021-09-17,42.7386
2021-09-18,42.7386
2021-09-19,42.7386
2021-09-20,40.7549
2021-09-21,40.0201
2021-09-22,41.4481
2021-09-23,44.731
2021-09-24,49.9686
2021-09-25,49.9686
2021-09-26,49.9686
2021-09-27,55.9758
2021-09-28,54.5292
2021-09-29,56.8371
2021-09-30,56.4331
2021-10-01,59.1846
2021-10-02,59.1846
2021-10-03,59.1846
2021-10-04,59.1846
2021-10-05,59.5327
2021-10-06,60.3327
2021-10-07,62.17
2021-10-08,64.4136
2021-10-09,64.4136
2021-10-10,64.4136
2021-10-11,62.1266
2021-10-12,61.3011
2021-10-13,62.3823
2021-10-14,63.0326
2021-10-15,62.1592
2021-10-16,62.1592
2021-10-17,62.1592
2021-10-18,62.5496
2021-10-19,63.3324
2021-10-20,64.7153
2021-10-21,64.7627
2021-10-22,65.0058
2021-10-23,65.0058
2021-10-24,65.0058
2021-10-25,65.6916
2021-10-26,66.7042
2021-10-27,62.7795
2021-10-28,63.7543
2021-10-29,63.0352
2021-10-30,63.0352
2021-10-31,63.0352
2021-11-01,65.1689
2021-11-02,62.2484
2021-11-03,66.8985
2021-11-04,64.6735
2021-11-05,66.016
2021-11-06,66.016
2021-11-07,66.016
2021-11-08,68.0805
2021-11-09,66.2042
2021-11-10,66.8211
2021-11-11,67.8335
2021-11-12,64.806
2021-11-13,64.806
2021-11-14,64.806
2021-11-15,62.0941
2021-11-16,61.2607
2021-11-17,60.0479
2021-11-18,61.8544
2021-11-19,59.1618
2021-11-20,59.1618
2021-11-21,59.1618
2021-11-22,62.3198
2021-11-23,64.9559
2021-11-24,63.497
2021-11-25,63.497
2021-11-26,55.3336
2021-11-27,55.3336
2021-11-28,55.3336
2021-11-29,51.7057
2021-11-30,49.9364
2021-12-01,51.1228
2021-12-02,55.5291
2021-12-03,53.115
2021-12-04,53.115
2021-12-05,53.115
2021-12-06,54.76
2021-12-07,53.9358
2021-12-08,52.1591
2021-12-09,52.2057
2021-12-10,51.6856
2021-12-11,51.6856
2021-12-12,51.6856
2021-12-13,50.6931
2021-12-14,50.1167
2021-12-15,52.7443
2021-12-16,51.4503
2021-12-17,45.1902
2021-12-18,45.1902
2021-12-19,45.1902
2021-12-20,47.0227
2021-12-21,49.4972
2021-12-22,49.2174
2021-12-23,50.3307
2021-12-24,50.3307
2021-12-25,50.3307
2021-12-26,50.3307
2021-12-27,51.896
2021-12-28,52.5523
2021-12-29,53.0727
2021-12-30,51.2236
2021-12-31,49.1485
2022-01-01,49.1485
2022-01-02,49.1485
2022-01-03,52.3622
2022-01-04,53.4684
2022-01-05,53.6077
2022-01-06,55.6671
2022-01-07,53.0676
2022-01-08,53.0676
2022-01-09,53.0676
2022-01-10,53.5815
2022-01-11,53.9137
2022-01-12,53.9137
2022-01-13,54.5109
2022-01-14,55.8428
2022-01-15,55.8428
2022-01-16,55.8428
2022-01-17,55.8428
2022-01-18,55.8428
2022-01-19,53.8433
2022-01-20,48.0084
2022-01-21,50.6432
2022-01-22,50.6432
2022-01-23,50.6432
2022-01-24,52.9142
2022-01-25,52.8595
2022-01-26,53.3583
2022-01-27,54.4062
2022-01-28,53.8107
2022-01-29,53.8107
2022-01-30,53.8107
2022-01-31,53.8107
2022-02-01,53.5597
2022-02-02,53.4308
2022-02-03,53.4308
2022-02-04,54.8833
2022-02-05,54.8833
2022-02-06,54.8833
2022-02-07,54.115
2022-02-08,56.301
2022-02-09,53.0015
2022-02-10,52.3404
2022-02-11,53.4222
2022-02-12,53.4222
2022-02-13,53.4222
2022-02-14,52.1966
2022-02-15,54.9301
2022-02-16,54.5792
2022-02-17,54.6392
2022-02-18,53.2573
2022-02-19,53.2573
2022-02-20,53.2573
2022-02-21,53.2573
2022-02-22,53.8922
2022-02-23,53.8166
2022-02-24,50.3797
2022-02-25,55.8419
2022-02-26,55.8419
2022-02-27,55.8419
2022-02-28,54.4331
2022-03-01,47.7641
2022-03-02,52.7457
2022-03-03,53.0062
2022-03-04,48.1466
2022-03-05,48.1466
2022-03-06,48.1466
2022-03-07,46.4447
2022-03-08,44.993
2022-03-09,48.1241
2022-03-10,48.8237
2022-03-11,50.3682
2022-03-12,50.3682
2022-03-13,50.3682
2022-03-14,52.6616
2022-03-15,48.9684
2022-03-16,50.8759
2022-03-17,50.3127
2022-03-18,51.1767
2022-03-19,51.1767
2022-03-20,51.1767
2022-03-21,50.5879
2022-03-22,49.5163
2022-03-23,46.4142
2022-03-24,46.1202
2022-03-25,47.6635
2022-03-26,47.6635
2022-03-27,47.6635
2022-03-28,46.9931
2022-03-29,47.5798
2022-03-30,44.8091
2022-03-31,46.1312
2022-04-01,45.4654
2022-04-02,45.4654
2022-04-03,45.4654
2022-04-04,43.8053
2022-04-05,41.434
2022-04-06,40.4376
2022-04-07,37.9086
2022-04-08,38.0444
2022-04-09,38.0444
2022-04-10,38.0444
2022-04-11,39.3488
2022-04-12,40.2394
2022-04-13,40.3091
2022-04-14,40.7384
2022-04-15,40.7384
2022-04-16,40.7384
2022-04-17,40.7384
2022-04-18,39.6088
2022-04-19,43.3531
2022-04-20,45.8435
2022-04-21,43.7991
2022-04-22,41.5855
2022-04-23,41.5855
2022-04-24,41.5855
2022-04-25,44.6711
2022-04-26,47.7634
2022-04-27,51.5853
2022-04-28,50.1421
2022-04-29,46.7822
2022-04-30,46.7822
2022-05-01,46.7822
2022-05-02,49.9414
2022-05-03,51.551
2022-05-04,54.6588
2022-05-05,51.6831
2022-05-06,51.0016
2022-05-07,51.0016
2022-05-08,51.0016
2022-05-09,51.3806
2022-05-10,50.8717
2022-05-11,49.7504
2022-05-12,48.6413
2022-05-13,46.6369
2022-05-14,46.6369
2022-05-15,46.6369
2022-05-16,47.9889
2022-05-17,52.8793
2022-05-18,49.6133
2022-05-19,46.7595
2022-05-20,47.5399
2022-05-21,47.5399
2022-05-22,47.5399
2022-05-23,50.716
2022-05-24,51.0765
2022-05-25,51.2609
2022-05-26,51.403
2022-05-27,53.417
2022-05-28,53.417
2022-05-29,53.417
2022-05-30,53.417
2022-05-31,54.8572
2022-06-01,55.0817
2022-06-02,56.2081
2022-06-03,52.7403
2022-06-04,52.7403
2022-06-05,52.7403
2022-06-06,53.5405
2022-06-07,52.8329
2022-06-08,52.3921
2022-06-09,50.5909
2022-06-10,46.2086
2022-06-11,46.2086
2022-06-12,46.2086
2022-06-13,48.0087
2022-06-14,50.5751
2022-06-15,52.2946
2022-06-16,48.6923
2022-06-17,50.4114
2022-06-18,50.4114
2022-06-19,50.4114
2022-06-20,50.4114
2022-06-21,56.1902
2022-06-22,55.895
2022-06-23,54.1305
2022-06-24,56.3857
2022-06-25,56.3857
2022-06-26,56.3857
2022-06-27,56.5408
2022-06-28,56.5408
2022-06-29,54.9208
2022-06-30,55.9732
2022-07-01,57.6111
2022-07-02,57.6111
2022-07-03,57.6111
2022-07-04,57.6111
2022-07-05,56.0473
2022-07-06,55.5631
2022-07-07,55.6072
2022-07-08,55.7886
2022-07-09,55.7886
2022-07-10,55.7886
2022-07-11,54.9177
2022-07-12,55.1591
2022-07-13,56.1311
2022-07-14,55.4472
2022-07-15,60.5542
2022-07-16,60.5542
2022-07-17,60.5542
2022-07-18,66.1946
2022-07-19,69.1507
2022-07-20,69.7355
2022-07-21,68.755
2022-07-22,67.5875
2022-07-23,67.5875
2022-07-24,67.5875
2022-07-25,68.8268
2022-07-26,68.941
2022-07-27,70.8479
2022-07-28,66.0452
2022-07-29,67.3495
2022-07-30,67.3495
2022-07-31,67.3495
2022-08-01,69.2502
2022-08-02,69.5902
2022-08-03,68.863
2022-08-04,67.8242
2022-08-05,68.4327
2022-08-06,68.4327
2022-08-07,68.4327
2022-08-08,65.3868
2022-08-09,65.9203
2022-08-10,66.0477
2022-08-11,65.6038
2022-08-12,67.3548
2022-08-13,67.3548
2022-08-14,67.3548
2022-08-15,67.5447
2022-08-16,68.7664
2022-08-17,66.0619
2022-08-18,63.7223
2022-08-19,65.5312
2022-08-20,65.5312
2022-08-21,65.5312
2022-08-22,65.8635
2022-08-23,65.5367
2022-08-24,65.4695
2022-08-25,65.9392
2022-08-26,63.6653
2022-08-27,63.6653
2022-08-28,63.6653
2022-08-29,58.5976
2022-08-30,55.5121
2022-08-31,55.0127
2022-09-01,54.5054
2022-09-02,55.0297
2022-09-03,55.0297
2022-09-04,55.0297
2022-09-05,55.0297
2022-09-06,54.3232
2022-09-07,53.9056
2022-09-08,54.1141
2022-09-09,56.1761
2022-09-10,56.1761
2022-09-11,56.1761
2022-09-12,57.2202
2022-09-13,55.5259
2022-09-14,57.0441
2022-09-15,57.3952
2022-09-16,60.0491
2022-09-17,60.0491
2022-09-18,60.0491
2022-09-19,61.2301
2022-09-20,60.3779
2022-09-21,61.0784
2022-09-22,56.7215
2022-09-23,52.4232
2022-09-24,52.4232
2022-09-25,52.4232
2022-09-26,53.312
2022-09-27,49.8018
2022-09-28,53.9502
2022-09-29,51.0748
2022-09-30,48.2192
2022-10-01,48.2192
2022-10-02,48.2192
2022-10-03,50.5374
2022-10-04,55.6897
2022-10-05,53.822
2022-10-06,54.5278
2022-10-07,55.1945
2022-10-08,55.1945
2022-10-09,55.1945
2022-10-10,55.9463
2022-10-11,56.9021
2022-10-12,56.4613
2022-10-13,61.8831
2022-10-14,63.0886
2022-10-15,63.0886
2022-10-16,63.0886
2022-10-17,64.6006
2022-10-18,60.714
2022-10-19,61.0892
2022-10-20,56.3798
2022-10-21,58.0697
2022-10-22,58.0697
2022-10-23,58.0697
2022-10-24,56.9527
2022-10-25,57.322
2022-10-26,59.4792
2022-10-27,60.1734
2022-10-28,60.9689
2022-10-29,60.9689
2022-10-30,60.9689
2022-10-31,61.9599
2022-11-01,59.4817
2022-11-02,59.2684
2022-11-03,58.1365
2022-11-04,60.4086
2022-11-05,60.4086
2022-11-06,60.4086
2022-11-07,60.7339
2022-11-08,59.1694
2022-11-09,58.2272
2022-11-10,60.8449
2022-11-11,55.8593
2022-11-12,55.8593
2022-11-13,55.8593
2022-11-14,55.5126
2022-11-15,58.8704
2022-11-16,56.1606
2022-11-17,57.162
2022-11-18,56.8139
2022-11-19,56.8139
2022-11-20,56.8139
2022-11-21,58.5304
2022-11-22,59.1152
2022-11-23,57.5414
2022-11-24,57.5414
2022-11-25,57.9659
2022-11-26,57.9659
2022-11-27,57.9659
2022-11-28,54.3387
2022-11-29,53.6539
2022-11-30,55.518
2022-12-01,55.0094
2022-12-02,56.1779
2022-12-03,56.1779
2022-12-04,56.1779
2022-12-05,46.3485
2022-12-06,47.3405
2022-12-07,47.1445
2022-12-08,46.3894
2022-12-09,46.188
2022-12-10,46.188
2022-12-11,46.188
2022-12-12,46.5719
2022-12-13,45.3177
2022-12-14,43.0394
2022-12-15,41.5606
2022-12-16,44.6863
2022-12-17,44.6863
2022-12-18,44.6863
2022-12-19,45.6085
2022-12-20,46.3872
2022-12-21,48.3935
2022-12-22,46.1801
2022-12-23,48.6116
2022-12-24,48.6116
2022-12-25,48.6116
2022-12-26,48.6116
2022-12-27,47.5852
2022-12-28,46.3615
2022-12-29,47.8446
2022-12-30,46.0188
2022-12-31,46.0188
2023-01-01,46.0188
2023-01-02,46.0188
2023-01-03,45.6417
2023-01-04,43.3936
2023-01-05,41.3626
2023-01-06,45.9997
2023-01-07,45.9997
2023-01-08,45.9997
2023-01-09,43.3227
2023-01-10,45.182
2023-01-11,44.7266
2023-01-12,46.8063
2023-01-13,49.0958
2023-01-14,49.0958
2023-01-15,49.0958
2023-01-16,49.0958
2023-01-17,48.4322
2023-01-18,45.2678
2023-01-19,45.0017
2023-01-20,45.8949
2023-01-21,45.8949
2023-01-22,45.8949
2023-01-23,45.9427
2023-01-24,45.2195
2023-01-25,44.4136
2023-01-26,46.5366
2023-01-27,46.2321
2023-01-28,46.2321
2023-01-29,46.2321
2023-01-30,46.1429
2023-01-31,48.849
2023-02-01,49.0489
2023-02-02,50.2554
2023-02-03,53.9672
2023-02-04,53.9672
2023-02-05,53.9672
2023-02-06,53.6527
2023-02-07,55.1403
2023-02-08,53.5247
2023-02-09,52.2575
2023-02-10,53.4914
2023-02-11,53.4914
2023-02-12,53.4914
2023-02-13,54.2443
2023-02-14,52.9151
2023-02-15,54.5473
2023-02-16,55.6695
2023-02-17,57.3488
2023-02-18,57.3488
2023-02-19,57.3488
2023-02-20,57.3488
2023-02-21,54.3552
2023-02-22,54.591
2023-02-23,55.448
2023-02-24,56.1613
2023-02-25,56.1613
2023-02-26,56.1613
2023-02-27,57.247
2023-02-28,62.2139
2023-03-01,64.3557
2023-03-02,64.4617
2023-03-03,65.4234
2023-03-04,65.4234
2023-03-05,65.4234
2023-03-06,56.6176
2023-03-07,57.3694
2023-03-08,57.1
2023-03-09,47.9659
2023-03-10,48.141
2023-03-11,48.141
2023-03-12,48.141
2023-03-13,36.9237
2023-03-14,38.6606
2023-03-15,41.1939
2023-03-16,46.2666
2023-03-17,41.5567
2023-03-18,41.5567
