,TGSU2 AR Equity
2010-07-03,6.4989
2010-07-04,6.4989
2010-07-05,6.4989
2010-07-06,6.4989
2010-07-07,6.4989
2010-07-08,6.4989
2010-07-09,6.4989
2010-07-10,6.4989
2010-07-11,6.4989
2010-07-12,6.4989
2010-07-13,6.4989
2010-07-14,6.4989
2010-07-15,6.4989
2010-07-16,6.4989
2010-07-17,6.4989
2010-07-18,6.4989
2010-07-19,6.4989
2010-07-20,6.4989
2010-07-21,6.4989
2010-07-22,6.4989
2010-07-23,6.4989
2010-07-24,6.4989
2010-07-25,6.4989
2010-07-26,6.4989
2010-07-27,6.4989
2010-07-28,6.4989
2010-07-29,6.4989
2010-07-30,6.4989
2010-07-31,6.4989
2010-08-01,6.4989
2010-08-02,6.4989
2010-08-03,6.4989
2010-08-04,6.4989
2010-08-05,6.4989
2010-08-06,6.4989
2010-08-07,6.4989
2010-08-08,6.4989
2010-08-09,6.4989
2010-08-10,6.4989
2010-08-11,6.4989
2010-08-12,6.4989
2010-08-13,6.4989
2010-08-14,6.4989
2010-08-15,6.4989
2010-08-16,6.4989
2010-08-17,6.4989
2010-08-18,6.4989
2010-08-19,6.4989
2010-08-20,6.4989
2010-08-21,6.4989
2010-08-22,6.4989
2010-08-23,6.4989
2010-08-24,6.4989
2010-08-25,6.4989
2010-08-26,6.4989
2010-08-27,6.4989
2010-08-28,6.4989
2010-08-29,6.4989
2010-08-30,6.4989
2010-08-31,6.4989
2010-09-01,6.4989
2010-09-02,6.4989
2010-09-03,6.4989
2010-09-04,6.4989
2010-09-05,6.4989
2010-09-06,6.4989
2010-09-07,6.4989
2010-09-08,6.4989
2010-09-09,6.4989
2010-09-10,6.4989
2010-09-11,6.4989
2010-09-12,6.4989
2010-09-13,6.4989
2010-09-14,6.4989
2010-09-15,6.4989
2010-09-16,6.4989
2010-09-17,6.4989
2010-09-18,6.4989
2010-09-19,6.4989
2010-09-20,6.4989
2010-09-21,6.4989
2010-09-22,6.4989
2010-09-23,6.4989
2010-09-24,6.4989
2010-09-25,6.4989
2010-09-26,6.4989
2010-09-27,6.4989
2010-09-28,6.4989
2010-09-29,6.4989
2010-09-30,7.2253
2010-10-01,7.2253
2010-10-02,7.2253
2010-10-03,7.2253
2010-10-04,7.2253
2010-10-05,7.2253
2010-10-06,7.2253
2010-10-07,7.2253
2010-10-08,7.2253
2010-10-09,7.2253
2010-10-10,7.2253
2010-10-11,7.2253
2010-10-12,7.2253
2010-10-13,7.2253
2010-10-14,7.2253
2010-10-15,7.2253
2010-10-16,7.2253
2010-10-17,7.2253
2010-10-18,7.2253
2010-10-19,7.2253
2010-10-20,7.2253
2010-10-21,7.2253
2010-10-22,7.2253
2010-10-23,7.2253
2010-10-24,7.2253
2010-10-25,7.2253
2010-10-26,7.2253
2010-10-27,7.2253
2010-10-28,7.2253
2010-10-29,7.2253
2010-10-30,7.2253
2010-10-31,7.2253
2010-11-01,7.2253
2010-11-02,7.2253
2010-11-03,7.2253
2010-11-04,7.2253
2010-11-05,7.2253
2010-11-06,7.2253
2010-11-07,7.2253
2010-11-08,7.2253
2010-11-09,7.2253
2010-11-10,7.2253
2010-11-11,7.2253
2010-11-12,7.2253
2010-11-13,7.2253
2010-11-14,7.2253
2010-11-15,7.2253
2010-11-16,7.2253
2010-11-17,7.2253
2010-11-18,7.2253
2010-11-19,7.2253
2010-11-20,7.2253
2010-11-21,7.2253
2010-11-22,7.2253
2010-11-23,7.2253
2010-11-24,7.2253
2010-11-25,7.2253
2010-11-26,7.2253
2010-11-27,7.2253
2010-11-28,7.2253
2010-11-29,7.2253
2010-11-30,7.2253
2010-12-01,7.2253
2010-12-02,7.2253
2010-12-03,7.2253
2010-12-04,7.2253
2010-12-05,7.2253
2010-12-06,7.2253
2010-12-07,7.2253
2010-12-08,7.2253
2010-12-09,7.2253
2010-12-10,7.2253
2010-12-11,7.2253
2010-12-12,7.2253
2010-12-13,7.2253
2010-12-14,7.2253
2010-12-15,7.2253
2010-12-16,7.2253
2010-12-17,7.2253
2010-12-18,7.2253
2010-12-19,7.2253
2010-12-20,7.2253
2010-12-21,7.2253
2010-12-22,7.2253
2010-12-23,7.2253
2010-12-24,7.2253
2010-12-25,7.2253
2010-12-26,7.2253
2010-12-27,7.2253
2010-12-28,7.2253
2010-12-29,7.2253
2010-12-30,7.2253
2010-12-31,4.4969
2011-01-01,4.4969
2011-01-02,4.4969
2011-01-03,4.4969
2011-01-04,4.4969
2011-01-05,4.4969
2011-01-06,4.4969
2011-01-07,4.4969
2011-01-08,4.4969
2011-01-09,4.4969
2011-01-10,4.4969
2011-01-11,4.4969
2011-01-12,4.4969
2011-01-13,4.4969
2011-01-14,4.4969
2011-01-15,4.4969
2011-01-16,4.4969
2011-01-17,4.4969
2011-01-18,4.4969
2011-01-19,4.4969
2011-01-20,4.4969
2011-01-21,4.4969
2011-01-22,4.4969
2011-01-23,4.4969
2011-01-24,4.4969
2011-01-25,4.4969
2011-01-26,4.4969
2011-01-27,4.4969
2011-01-28,4.4969
2011-01-29,4.4969
2011-01-30,4.4969
2011-01-31,4.4969
2011-02-01,4.4969
2011-02-02,4.4969
2011-02-03,4.4969
2011-02-04,4.4969
2011-02-05,4.4969
2011-02-06,4.4969
2011-02-07,4.4969
2011-02-08,4.4969
2011-02-09,4.4969
2011-02-10,4.4969
2011-02-11,4.4969
2011-02-12,4.4969
2011-02-13,4.4969
2011-02-14,4.4969
2011-02-15,4.4969
2011-02-16,4.4969
2011-02-17,4.4969
2011-02-18,4.4969
2011-02-19,4.4969
2011-02-20,4.4969
2011-02-21,4.4969
2011-02-22,4.4969
2011-02-23,4.4969
2011-02-24,4.4969
2011-02-25,4.4969
2011-02-26,4.4969
2011-02-27,4.4969
2011-02-28,4.4969
2011-03-01,4.4969
2011-03-02,4.4969
2011-03-03,4.4969
2011-03-04,4.4969
2011-03-05,4.4969
2011-03-06,4.4969
2011-03-07,4.4969
2011-03-08,4.4969
2011-03-09,4.4969
2011-03-10,4.4969
2011-03-11,4.4969
2011-03-12,4.4969
2011-03-13,4.4969
2011-03-14,4.4969
2011-03-15,4.4969
2011-03-16,4.4969
2011-03-17,4.4969
2011-03-18,4.4969
2011-03-19,4.4969
2011-03-20,4.4969
2011-03-21,4.4969
2011-03-22,4.4969
2011-03-23,4.4969
2011-03-24,4.4969
2011-03-25,4.4969
2011-03-26,4.4969
2011-03-27,4.4969
2011-03-28,4.4969
2011-03-29,4.4969
2011-03-30,4.4969
2011-03-31,4.2685
2011-04-01,4.2685
2011-04-02,4.2685
2011-04-03,4.2685
2011-04-04,4.2685
2011-04-05,4.2685
2011-04-06,4.2685
2011-04-07,4.2685
2011-04-08,4.2685
2011-04-09,4.2685
2011-04-10,4.2685
2011-04-11,4.2685
2011-04-12,4.2685
2011-04-13,4.2685
2011-04-14,4.2685
2011-04-15,4.2685
2011-04-16,4.2685
2011-04-17,4.2685
2011-04-18,4.2685
2011-04-19,4.2685
2011-04-20,4.2685
2011-04-21,4.2685
2011-04-22,4.2685
2011-04-23,4.2685
2011-04-24,4.2685
2011-04-25,4.2685
2011-04-26,4.2685
2011-04-27,4.2685
2011-04-28,4.2685
2011-04-29,4.2685
2011-04-30,4.2685
2011-05-01,4.2685
2011-05-02,4.2685
2011-05-03,4.2685
2011-05-04,4.2685
2011-05-05,4.2685
2011-05-06,4.2685
2011-05-07,4.2685
2011-05-08,4.2685
2011-05-09,4.2685
2011-05-10,4.2685
2011-05-11,4.2685
2011-05-12,4.2685
2011-05-13,4.2685
2011-05-14,4.2685
2011-05-15,4.2685
2011-05-16,4.2685
2011-05-17,4.2685
2011-05-18,4.2685
2011-05-19,4.2685
2011-05-20,4.2685
2011-05-21,4.2685
2011-05-22,4.2685
2011-05-23,4.2685
2011-05-24,4.2685
2011-05-25,4.2685
2011-05-26,4.2685
2011-05-27,4.2685
2011-05-28,4.2685
2011-05-29,4.2685
2011-05-30,4.2685
2011-05-31,4.2685
2011-06-01,4.2685
2011-06-02,4.2685
2011-06-03,4.2685
2011-06-04,4.2685
2011-06-05,4.2685
2011-06-06,4.2685
2011-06-07,4.2685
2011-06-08,4.2685
2011-06-09,4.2685
2011-06-10,4.2685
2011-06-11,4.2685
2011-06-12,4.2685
2011-06-13,4.2685
2011-06-14,4.2685
2011-06-15,4.2685
2011-06-16,4.2685
2011-06-17,4.2685
2011-06-18,4.2685
2011-06-19,4.2685
2011-06-20,4.2685
2011-06-21,4.2685
2011-06-22,4.2685
2011-06-23,4.2685
2011-06-24,4.2685
2011-06-25,4.2685
2011-06-26,4.2685
2011-06-27,4.2685
2011-06-28,4.2685
2011-06-29,4.2685
2011-06-30,7.2935
2011-07-01,7.2935
2011-07-02,7.2935
2011-07-03,7.2935
2011-07-04,7.2935
2011-07-05,7.2935
2011-07-06,7.2935
2011-07-07,7.2935
2011-07-08,7.2935
2011-07-09,7.2935
2011-07-10,7.2935
2011-07-11,7.2935
2011-07-12,7.2935
2011-07-13,7.2935
2011-07-14,7.2935
2011-07-15,7.2935
2011-07-16,7.2935
2011-07-17,7.2935
2011-07-18,7.2935
2011-07-19,7.2935
2011-07-20,7.2935
2011-07-21,7.2935
2011-07-22,7.2935
2011-07-23,7.2935
2011-07-24,7.2935
2011-07-25,7.2935
2011-07-26,7.2935
2011-07-27,7.2935
2011-07-28,7.2935
2011-07-29,7.2935
2011-07-30,7.2935
2011-07-31,7.2935
2011-08-01,7.2935
2011-08-02,7.2935
2011-08-03,7.2935
2011-08-04,7.2935
2011-08-05,7.2935
2011-08-06,7.2935
2011-08-07,7.2935
2011-08-08,7.2935
2011-08-09,7.2935
2011-08-10,7.2935
2011-08-11,7.2935
2011-08-12,7.2935
2011-08-13,7.2935
2011-08-14,7.2935
2011-08-15,7.2935
2011-08-16,7.2935
2011-08-17,7.2935
2011-08-18,7.2935
2011-08-19,7.2935
2011-08-20,7.2935
2011-08-21,7.2935
2011-08-22,7.2935
2011-08-23,7.2935
2011-08-24,7.2935
2011-08-25,7.2935
2011-08-26,7.2935
2011-08-27,7.2935
2011-08-28,7.2935
2011-08-29,7.2935
2011-08-30,7.2935
2011-08-31,7.2935
2011-09-01,7.2935
2011-09-02,7.2935
2011-09-03,7.2935
2011-09-04,7.2935
2011-09-05,7.2935
2011-09-06,7.2935
2011-09-07,7.2935
2011-09-08,7.2935
2011-09-09,7.2935
2011-09-10,7.2935
2011-09-11,7.2935
2011-09-12,7.2935
2011-09-13,7.2935
2011-09-14,7.2935
2011-09-15,7.2935
2011-09-16,7.2935
2011-09-17,7.2935
2011-09-18,7.2935
2011-09-19,7.2935
2011-09-20,7.2935
2011-09-21,7.2935
2011-09-22,7.2935
2011-09-23,7.2935
2011-09-24,7.2935
2011-09-25,7.2935
2011-09-26,7.2935
2011-09-27,7.2935
2011-09-28,7.2935
2011-09-29,7.2935
2011-09-30,6.7951
2011-10-01,6.7951
2011-10-02,6.7951
2011-10-03,6.7951
2011-10-04,6.7951
2011-10-05,6.7951
2011-10-06,6.7951
2011-10-07,6.7951
2011-10-08,6.7951
2011-10-09,6.7951
2011-10-10,6.7951
2011-10-11,6.7951
2011-10-12,6.7951
2011-10-13,6.7951
2011-10-14,6.7951
2011-10-15,6.7951
2011-10-16,6.7951
2011-10-17,6.7951
2011-10-18,6.7951
2011-10-19,6.7951
2011-10-20,6.7951
2011-10-21,6.7951
2011-10-22,6.7951
2011-10-23,6.7951
2011-10-24,6.7951
2011-10-25,6.7951
2011-10-26,6.7951
2011-10-27,6.7951
2011-10-28,6.7951
2011-10-29,6.7951
2011-10-30,6.7951
2011-10-31,6.7951
2011-11-01,6.7951
2011-11-02,6.7951
2011-11-03,6.7951
2011-11-04,6.7951
2011-11-05,6.7951
2011-11-06,6.7951
2011-11-07,6.7951
2011-11-08,6.7951
2011-11-09,6.7951
2011-11-10,6.7951
2011-11-11,6.7951
2011-11-12,6.7951
2011-11-13,6.7951
2011-11-14,6.7951
2011-11-15,6.7951
2011-11-16,6.7951
2011-11-17,6.7951
2011-11-18,6.7951
2011-11-19,6.7951
2011-11-20,6.7951
2011-11-21,6.7951
2011-11-22,6.7951
2011-11-23,6.7951
2011-11-24,6.7951
2011-11-25,6.7951
2011-11-26,6.7951
2011-11-27,6.7951
2011-11-28,6.7951
2011-11-29,6.7951
2011-11-30,6.7951
2011-12-01,6.7951
2011-12-02,6.7951
2011-12-03,6.7951
2011-12-04,6.7951
2011-12-05,6.7951
2011-12-06,6.7951
2011-12-07,6.7951
2011-12-08,6.7951
2011-12-09,6.7951
2011-12-10,6.7951
2011-12-11,6.7951
2011-12-12,6.7951
2011-12-13,6.7951
2011-12-14,6.7951
2011-12-15,6.7951
2011-12-16,6.7951
2011-12-17,6.7951
2011-12-18,6.7951
2011-12-19,6.7951
2011-12-20,6.7951
2011-12-21,6.7951
2011-12-22,6.7951
2011-12-23,6.7951
2011-12-24,6.7951
2011-12-25,6.7951
2011-12-26,6.7951
2011-12-27,6.7951
2011-12-28,6.7951
2011-12-29,6.7951
2011-12-30,6.7951
2011-12-31,9.9168
2012-01-01,9.9168
2012-01-02,9.9168
2012-01-03,9.9168
2012-01-04,9.9168
2012-01-05,9.9168
2012-01-06,9.9168
2012-01-07,9.9168
2012-01-08,9.9168
2012-01-09,9.9168
2012-01-10,9.9168
2012-01-11,9.9168
2012-01-12,9.9168
2012-01-13,9.9168
2012-01-14,9.9168
2012-01-15,9.9168
2012-01-16,9.9168
2012-01-17,9.9168
2012-01-18,9.9168
2012-01-19,9.9168
2012-01-20,9.9168
2012-01-21,9.9168
2012-01-22,9.9168
2012-01-23,9.9168
2012-01-24,9.9168
2012-01-25,9.9168
2012-01-26,9.9168
2012-01-27,9.9168
2012-01-28,9.9168
2012-01-29,9.9168
2012-01-30,9.9168
2012-01-31,9.9168
2012-02-01,9.9168
2012-02-02,9.9168
2012-02-03,9.9168
2012-02-04,9.9168
2012-02-05,9.9168
2012-02-06,9.9168
2012-02-07,9.9168
2012-02-08,9.9168
2012-02-09,9.9168
2012-02-10,9.9168
2012-02-11,9.9168
2012-02-12,9.9168
2012-02-13,9.9168
2012-02-14,9.9168
2012-02-15,9.9168
2012-02-16,9.9168
2012-02-17,9.9168
2012-02-18,9.9168
2012-02-19,9.9168
2012-02-20,9.9168
2012-02-21,9.9168
2012-02-22,9.9168
2012-02-23,9.9168
2012-02-24,9.9168
2012-02-25,9.9168
2012-02-26,9.9168
2012-02-27,9.9168
2012-02-28,9.9168
2012-02-29,9.9168
2012-03-01,9.9168
2012-03-02,9.9168
2012-03-03,9.9168
2012-03-04,9.9168
2012-03-05,9.9168
2012-03-06,9.9168
2012-03-07,9.9168
2012-03-08,9.9168
2012-03-09,9.9168
2012-03-10,9.9168
2012-03-11,9.9168
2012-03-12,9.9168
2012-03-13,9.9168
2012-03-14,9.9168
2012-03-15,9.9168
2012-03-16,9.9168
2012-03-17,9.9168
2012-03-18,9.9168
2012-03-19,9.9168
2012-03-20,9.9168
2012-03-21,9.9168
2012-03-22,9.9168
2012-03-23,9.9168
2012-03-24,9.9168
2012-03-25,9.9168
2012-03-26,9.9168
2012-03-27,9.9168
2012-03-28,9.9168
2012-03-29,9.9168
2012-03-30,9.9168
2012-03-31,8.1469
2012-04-01,8.1469
2012-04-02,8.1469
2012-04-03,8.1469
2012-04-04,8.1469
2012-04-05,8.1469
2012-04-06,8.1469
2012-04-07,8.1469
2012-04-08,8.1469
2012-04-09,8.1469
2012-04-10,8.1469
2012-04-11,8.1469
2012-04-12,8.1469
2012-04-13,8.1469
2012-04-14,8.1469
2012-04-15,8.1469
2012-04-16,8.1469
2012-04-17,8.1469
2012-04-18,8.1469
2012-04-19,8.1469
2012-04-20,8.1469
2012-04-21,8.1469
2012-04-22,8.1469
2012-04-23,8.1469
2012-04-24,8.1469
2012-04-25,8.1469
2012-04-26,8.1469
2012-04-27,8.1469
2012-04-28,8.1469
2012-04-29,8.1469
2012-04-30,8.1469
2012-05-01,8.1469
2012-05-02,8.1469
2012-05-03,8.1469
2012-05-04,8.1469
2012-05-05,8.1469
2012-05-06,8.1469
2012-05-07,8.1469
2012-05-08,8.1469
2012-05-09,8.1469
2012-05-10,8.1469
2012-05-11,8.1469
2012-05-12,8.1469
2012-05-13,8.1469
2012-05-14,8.1469
2012-05-15,8.1469
2012-05-16,8.1469
2012-05-17,8.1469
2012-05-18,8.1469
2012-05-19,8.1469
2012-05-20,8.1469
2012-05-21,8.1469
2012-05-22,8.1469
2012-05-23,8.1469
2012-05-24,8.1469
2012-05-25,8.1469
2012-05-26,8.1469
2012-05-27,8.1469
2012-05-28,8.1469
2012-05-29,8.1469
2012-05-30,8.1469
2012-05-31,8.1469
2012-06-01,8.1469
2012-06-02,8.1469
2012-06-03,8.1469
2012-06-04,8.1469
2012-06-05,8.1469
2012-06-06,8.1469
2012-06-07,8.1469
2012-06-08,8.1469
2012-06-09,8.1469
2012-06-10,8.1469
2012-06-11,8.1469
2012-06-12,8.1469
2012-06-13,8.1469
2012-06-14,8.1469
2012-06-15,8.1469
2012-06-16,8.1469
2012-06-17,8.1469
2012-06-18,8.1469
2012-06-19,8.1469
2012-06-20,8.1469
2012-06-21,8.1469
2012-06-22,8.1469
2012-06-23,8.1469
2012-06-24,8.1469
2012-06-25,8.1469
2012-06-26,8.1469
2012-06-27,8.1469
2012-06-28,8.1469
2012-06-29,8.1469
2012-06-30,8.6963
2012-07-01,8.6963
2012-07-02,8.6963
2012-07-03,8.6963
2012-07-04,8.6963
2012-07-05,8.6963
2012-07-06,8.6963
2012-07-07,8.6963
2012-07-08,8.6963
2012-07-09,8.6963
2012-07-10,8.6963
2012-07-11,8.6963
2012-07-12,8.6963
2012-07-13,8.6963
2012-07-14,8.6963
2012-07-15,8.6963
2012-07-16,8.6963
2012-07-17,8.6963
2012-07-18,8.6963
2012-07-19,8.6963
2012-07-20,8.6963
2012-07-21,8.6963
2012-07-22,8.6963
2012-07-23,8.6963
2012-07-24,8.6963
2012-07-25,8.6963
2012-07-26,8.6963
2012-07-27,8.6963
2012-07-28,8.6963
2012-07-29,8.6963
2012-07-30,8.6963
2012-07-31,8.6963
2012-08-01,8.6963
2012-08-02,8.6963
2012-08-03,8.6963
2012-08-04,8.6963
2012-08-05,8.6963
2012-08-06,8.6963
2012-08-07,8.6963
2012-08-08,8.6963
2012-08-09,8.6963
2012-08-10,8.6963
2012-08-11,8.6963
2012-08-12,8.6963
2012-08-13,8.6963
2012-08-14,8.6963
2012-08-15,8.6963
2012-08-16,8.6963
2012-08-17,8.6963
2012-08-18,8.6963
2012-08-19,8.6963
2012-08-20,8.6963
2012-08-21,8.6963
2012-08-22,8.6963
2012-08-23,8.6963
2012-08-24,8.6963
2012-08-25,8.6963
2012-08-26,8.6963
2012-08-27,8.6963
2012-08-28,8.6963
2012-08-29,8.6963
2012-08-30,8.6963
2012-08-31,8.6963
2012-09-01,8.6963
2012-09-02,8.6963
2012-09-03,8.6963
2012-09-04,8.6963
2012-09-05,8.6963
2012-09-06,8.6963
2012-09-07,8.6963
2012-09-08,8.6963
2012-09-09,8.6963
2012-09-10,8.6963
2012-09-11,8.6963
2012-09-12,8.6963
2012-09-13,8.6963
2012-09-14,8.6963
2012-09-15,8.6963
2012-09-16,8.6963
2012-09-17,8.6963
2012-09-18,8.6963
2012-09-19,8.6963
2012-09-20,8.6963
2012-09-21,8.6963
2012-09-22,8.6963
2012-09-23,8.6963
2012-09-24,8.6963
2012-09-25,8.6963
2012-09-26,8.6963
2012-09-27,8.6963
2012-09-28,8.6963
2012-09-29,8.6963
2012-09-30,9.2854
2012-10-01,9.2854
2012-10-02,9.2854
2012-10-03,9.2854
2012-10-04,9.2854
2012-10-05,9.2854
2012-10-06,9.2854
2012-10-07,9.2854
2012-10-08,9.2854
2012-10-09,9.2854
2012-10-10,9.2854
2012-10-11,9.2854
2012-10-12,9.2854
2012-10-13,9.2854
2012-10-14,9.2854
2012-10-15,9.2854
2012-10-16,9.2854
2012-10-17,9.2854
2012-10-18,9.2854
2012-10-19,9.2854
2012-10-20,9.2854
2012-10-21,9.2854
2012-10-22,9.2854
2012-10-23,9.2854
2012-10-24,9.2854
2012-10-25,9.2854
2012-10-26,9.2854
2012-10-27,9.2854
2012-10-28,9.2854
2012-10-29,9.2854
2012-10-30,9.2854
2012-10-31,9.2854
2012-11-01,9.2854
2012-11-02,9.2854
2012-11-03,9.2854
2012-11-04,9.2854
2012-11-05,9.2854
2012-11-06,9.2854
2012-11-07,9.2854
2012-11-08,9.2854
2012-11-09,9.2854
2012-11-10,9.2854
2012-11-11,9.2854
2012-11-12,9.2854
2012-11-13,9.2854
2012-11-14,9.2854
2012-11-15,9.2854
2012-11-16,9.2854
2012-11-17,9.2854
2012-11-18,9.2854
2012-11-19,9.2854
2012-11-20,9.2854
2012-11-21,9.2854
2012-11-22,9.2854
2012-11-23,9.2854
2012-11-24,9.2854
2012-11-25,9.2854
2012-11-26,9.2854
2012-11-27,9.2854
2012-11-28,9.2854
2012-11-29,9.2854
2012-11-30,9.2854
2012-12-01,9.2854
2012-12-02,9.2854
2012-12-03,9.2854
2012-12-04,9.2854
2012-12-05,9.2854
2012-12-06,9.2854
2012-12-07,9.2854
2012-12-08,9.2854
2012-12-09,9.2854
2012-12-10,9.2854
2012-12-11,9.2854
2012-12-12,9.2854
2012-12-13,9.2854
2012-12-14,9.2854
2012-12-15,9.2854
2012-12-16,9.2854
2012-12-17,9.2854
2012-12-18,9.2854
2012-12-19,9.2854
2012-12-20,9.2854
2012-12-21,9.2854
2012-12-22,9.2854
2012-12-23,9.2854
2012-12-24,9.2854
2012-12-25,9.2854
2012-12-26,9.2854
2012-12-27,9.2854
2012-12-28,9.2854
2012-12-29,9.2854
2012-12-30,9.2854
2012-12-31,11.6742
2013-01-01,11.6742
2013-01-02,11.6742
2013-01-03,11.6742
2013-01-04,11.6742
2013-01-05,11.6742
2013-01-06,11.6742
2013-01-07,11.6742
2013-01-08,11.6742
2013-01-09,11.6742
2013-01-10,11.6742
2013-01-11,11.6742
2013-01-12,11.6742
2013-01-13,11.6742
2013-01-14,11.6742
2013-01-15,11.6742
2013-01-16,11.6742
2013-01-17,11.6742
2013-01-18,11.6742
2013-01-19,11.6742
2013-01-20,11.6742
2013-01-21,11.6742
2013-01-22,11.6742
2013-01-23,11.6742
2013-01-24,11.6742
2013-01-25,11.6742
2013-01-26,11.6742
2013-01-27,11.6742
2013-01-28,11.6742
2013-01-29,11.6742
2013-01-30,11.6742
2013-01-31,11.6742
2013-02-01,11.6742
2013-02-02,11.6742
2013-02-03,11.6742
2013-02-04,11.6742
2013-02-05,11.6742
2013-02-06,11.6742
2013-02-07,11.6742
2013-02-08,11.6742
2013-02-09,11.6742
2013-02-10,11.6742
2013-02-11,11.6742
2013-02-12,11.6742
2013-02-13,11.6742
2013-02-14,11.6742
2013-02-15,11.6742
2013-02-16,11.6742
2013-02-17,11.6742
2013-02-18,11.6742
2013-02-19,11.6742
2013-02-20,11.6742
2013-02-21,11.6742
2013-02-22,11.6742
2013-02-23,11.6742
2013-02-24,11.6742
2013-02-25,11.6742
2013-02-26,11.6742
2013-02-27,11.6742
2013-02-28,11.6742
2013-03-01,11.6742
2013-03-02,11.6742
2013-03-03,11.6742
2013-03-04,11.6742
2013-03-05,11.6742
2013-03-06,11.6742
2013-03-07,11.6742
2013-03-08,11.6742
