,1928 HK Equity
2010-04-05,8.6903
2010-04-06,8.6903
2010-04-07,8.6903
2010-04-08,8.6903
2010-04-09,8.6903
2010-04-10,8.6903
2010-04-11,8.6903
2010-04-12,8.6903
2010-04-13,8.6903
2010-04-14,8.6903
2010-04-15,8.6903
2010-04-16,8.6903
2010-04-17,8.6903
2010-04-18,8.6903
2010-04-19,8.6903
2010-04-20,8.6903
2010-04-21,8.6903
2010-04-22,8.6903
2010-04-23,8.6903
2010-04-24,8.6903
2010-04-25,8.6903
2010-04-26,8.6903
2010-04-27,8.6903
2010-04-28,8.6903
2010-04-29,8.6903
2010-04-30,8.6903
2010-05-01,8.6903
2010-05-02,8.6903
2010-05-03,8.6903
2010-05-04,8.6903
2010-05-05,8.6903
2010-05-06,8.6903
2010-05-07,8.6903
2010-05-08,8.6903
2010-05-09,8.6903
2010-05-10,8.6903
2010-05-11,8.6903
2010-05-12,8.6903
2010-05-13,8.6903
2010-05-14,8.6903
2010-05-15,8.6903
2010-05-16,8.6903
2010-05-17,8.6903
2010-05-18,8.6903
2010-05-19,8.6903
2010-05-20,8.6903
2010-05-21,8.6903
2010-05-22,8.6903
2010-05-23,8.6903
2010-05-24,8.6903
2010-05-25,8.6903
2010-05-26,8.6903
2010-05-27,8.6903
2010-05-28,8.6903
2010-05-29,8.6903
2010-05-30,8.6903
2010-05-31,8.6903
2010-06-01,8.6903
2010-06-02,8.6903
2010-06-03,8.6903
2010-06-04,8.6903
2010-06-05,8.6903
2010-06-06,8.6903
2010-06-07,8.6903
2010-06-08,8.6903
2010-06-09,8.6903
2010-06-10,8.6903
2010-06-11,8.6903
2010-06-12,8.6903
2010-06-13,8.6903
2010-06-14,8.6903
2010-06-15,8.6903
2010-06-16,8.6903
2010-06-17,8.6903
2010-06-18,8.6903
2010-06-19,8.6903
2010-06-20,8.6903
2010-06-21,8.6903
2010-06-22,8.6903
2010-06-23,8.6903
2010-06-24,8.6903
2010-06-25,8.6903
2010-06-26,8.6903
2010-06-27,8.6903
2010-06-28,8.6903
2010-06-29,8.6903
2010-06-30,15.4953
2010-07-01,15.4953
2010-07-02,15.4953
2010-07-03,15.4953
2010-07-04,15.4953
2010-07-05,15.4953
2010-07-06,15.4953
2010-07-07,15.4953
2010-07-08,15.4953
2010-07-09,15.4953
2010-07-10,15.4953
2010-07-11,15.4953
2010-07-12,15.4953
2010-07-13,15.4953
2010-07-14,15.4953
2010-07-15,15.4953
2010-07-16,15.4953
2010-07-17,15.4953
2010-07-18,15.4953
2010-07-19,15.4953
2010-07-20,15.4953
2010-07-21,15.4953
2010-07-22,15.4953
2010-07-23,15.4953
2010-07-24,15.4953
2010-07-25,15.4953
2010-07-26,15.4953
2010-07-27,15.4953
2010-07-28,15.4953
2010-07-29,15.4953
2010-07-30,15.4953
2010-07-31,15.4953
2010-08-01,15.4953
2010-08-02,15.4953
2010-08-03,15.4953
2010-08-04,15.4953
2010-08-05,15.4953
2010-08-06,15.4953
2010-08-07,15.4953
2010-08-08,15.4953
2010-08-09,15.4953
2010-08-10,15.4953
2010-08-11,15.4953
2010-08-12,15.4953
2010-08-13,15.4953
2010-08-14,15.4953
2010-08-15,15.4953
2010-08-16,15.4953
2010-08-17,15.4953
2010-08-18,15.4953
2010-08-19,15.4953
2010-08-20,15.4953
2010-08-21,15.4953
2010-08-22,15.4953
2010-08-23,15.4953
2010-08-24,15.4953
2010-08-25,15.4953
2010-08-26,15.4953
2010-08-27,15.4953
2010-08-28,15.4953
2010-08-29,15.4953
2010-08-30,15.4953
2010-08-31,15.4953
2010-09-01,15.4953
2010-09-02,15.4953
2010-09-03,15.4953
2010-09-04,15.4953
2010-09-05,15.4953
2010-09-06,15.4953
2010-09-07,15.4953
2010-09-08,15.4953
2010-09-09,15.4953
2010-09-10,15.4953
2010-09-11,15.4953
2010-09-12,15.4953
2010-09-13,15.4953
2010-09-14,15.4953
2010-09-15,15.4953
2010-09-16,15.4953
2010-09-17,15.4953
2010-09-18,15.4953
2010-09-19,15.4953
2010-09-20,15.4953
2010-09-21,15.4953
2010-09-22,15.4953
2010-09-23,15.4953
2010-09-24,15.4953
2010-09-25,15.4953
2010-09-26,15.4953
2010-09-27,15.4953
2010-09-28,15.4953
2010-09-29,15.4953
2010-09-30,15.4953
2010-10-01,15.4953
2010-10-02,15.4953
2010-10-03,15.4953
2010-10-04,15.4953
2010-10-05,15.4953
2010-10-06,15.4953
2010-10-07,15.4953
2010-10-08,15.4953
2010-10-09,15.4953
2010-10-10,15.4953
2010-10-11,15.4953
2010-10-12,15.4953
2010-10-13,15.4953
2010-10-14,15.4953
2010-10-15,15.4953
2010-10-16,15.4953
2010-10-17,15.4953
2010-10-18,15.4953
2010-10-19,15.4953
2010-10-20,15.4953
2010-10-21,15.4953
2010-10-22,15.4953
2010-10-23,15.4953
2010-10-24,15.4953
2010-10-25,15.4953
2010-10-26,15.4953
2010-10-27,15.4953
2010-10-28,15.4953
2010-10-29,15.4953
2010-10-30,15.4953
2010-10-31,15.4953
2010-11-01,15.4953
2010-11-02,15.4953
2010-11-03,15.4953
2010-11-04,15.4953
2010-11-05,15.4953
2010-11-06,15.4953
2010-11-07,15.4953
2010-11-08,15.4953
2010-11-09,15.4953
2010-11-10,15.4953
2010-11-11,15.4953
2010-11-12,15.4953
2010-11-13,15.4953
2010-11-14,15.4953
2010-11-15,15.4953
2010-11-16,15.4953
2010-11-17,15.4953
2010-11-18,15.4953
2010-11-19,15.4953
2010-11-20,15.4953
2010-11-21,15.4953
2010-11-22,15.4953
2010-11-23,15.4953
2010-11-24,15.4953
2010-11-25,15.4953
2010-11-26,15.4953
2010-11-27,15.4953
2010-11-28,15.4953
2010-11-29,15.4953
2010-11-30,15.4953
2010-12-01,15.4953
2010-12-02,15.4953
2010-12-03,15.4953
2010-12-04,15.4953
2010-12-05,15.4953
2010-12-06,15.4953
2010-12-07,15.4953
2010-12-08,15.4953
2010-12-09,15.4953
2010-12-10,15.4953
2010-12-11,15.4953
2010-12-12,15.4953
2010-12-13,15.4953
2010-12-14,15.4953
2010-12-15,15.4953
2010-12-16,15.4953
2010-12-17,15.4953
2010-12-18,15.4953
2010-12-19,15.4953
2010-12-20,15.4953
2010-12-21,15.4953
2010-12-22,15.4953
2010-12-23,15.4953
2010-12-24,15.4953
2010-12-25,15.4953
2010-12-26,15.4953
2010-12-27,15.4953
2010-12-28,15.4953
2010-12-29,15.4953
2010-12-30,15.4953
2010-12-31,16.5346
2011-01-01,16.5346
2011-01-02,16.5346
2011-01-03,16.5346
2011-01-04,16.5346
2011-01-05,16.5346
2011-01-06,16.5346
2011-01-07,16.5346
2011-01-08,16.5346
2011-01-09,16.5346
2011-01-10,16.5346
2011-01-11,16.5346
2011-01-12,16.5346
2011-01-13,16.5346
2011-01-14,16.5346
2011-01-15,16.5346
2011-01-16,16.5346
2011-01-17,16.5346
2011-01-18,16.5346
2011-01-19,16.5346
2011-01-20,16.5346
2011-01-21,16.5346
2011-01-22,16.5346
2011-01-23,16.5346
2011-01-24,16.5346
2011-01-25,16.5346
2011-01-26,16.5346
2011-01-27,16.5346
2011-01-28,16.5346
2011-01-29,16.5346
2011-01-30,16.5346
2011-01-31,16.5346
2011-02-01,16.5346
2011-02-02,16.5346
2011-02-03,16.5346
2011-02-04,16.5346
2011-02-05,16.5346
2011-02-06,16.5346
2011-02-07,16.5346
2011-02-08,16.5346
2011-02-09,16.5346
2011-02-10,16.5346
2011-02-11,16.5346
2011-02-12,16.5346
2011-02-13,16.5346
2011-02-14,16.5346
2011-02-15,16.5346
2011-02-16,16.5346
2011-02-17,16.5346
2011-02-18,16.5346
2011-02-19,16.5346
2011-02-20,16.5346
2011-02-21,16.5346
2011-02-22,16.5346
2011-02-23,16.5346
2011-02-24,16.5346
2011-02-25,16.5346
2011-02-26,16.5346
2011-02-27,16.5346
2011-02-28,16.5346
2011-03-01,16.5346
2011-03-02,16.5346
2011-03-03,16.5346
2011-03-04,16.5346
2011-03-05,16.5346
2011-03-06,16.5346
2011-03-07,16.5346
2011-03-08,16.5346
2011-03-09,16.5346
2011-03-10,16.5346
2011-03-11,16.5346
2011-03-12,16.5346
2011-03-13,16.5346
2011-03-14,16.5346
2011-03-15,16.5346
2011-03-16,16.5346
2011-03-17,16.5346
2011-03-18,16.5346
2011-03-19,16.5346
2011-03-20,16.5346
2011-03-21,16.5346
2011-03-22,16.5346
2011-03-23,16.5346
2011-03-24,16.5346
2011-03-25,16.5346
2011-03-26,16.5346
2011-03-27,16.5346
2011-03-28,16.5346
2011-03-29,16.5346
2011-03-30,16.5346
2011-03-31,16.5346
2011-04-01,16.5346
2011-04-02,16.5346
2011-04-03,16.5346
2011-04-04,16.5346
2011-04-05,16.5346
2011-04-06,16.5346
2011-04-07,16.5346
2011-04-08,16.5346
2011-04-09,16.5346
2011-04-10,16.5346
2011-04-11,16.5346
2011-04-12,16.5346
2011-04-13,16.5346
2011-04-14,16.5346
2011-04-15,16.5346
2011-04-16,16.5346
2011-04-17,16.5346
2011-04-18,16.5346
2011-04-19,16.5346
2011-04-20,16.5346
2011-04-21,16.5346
2011-04-22,16.5346
2011-04-23,16.5346
2011-04-24,16.5346
2011-04-25,16.5346
2011-04-26,16.5346
2011-04-27,16.5346
2011-04-28,16.5346
2011-04-29,16.5346
2011-04-30,16.5346
2011-05-01,16.5346
2011-05-02,16.5346
2011-05-03,16.5346
2011-05-04,16.5346
2011-05-05,16.5346
2011-05-06,16.5346
2011-05-07,16.5346
2011-05-08,16.5346
2011-05-09,16.5346
2011-05-10,16.5346
2011-05-11,16.5346
2011-05-12,16.5346
2011-05-13,16.5346
2011-05-14,16.5346
2011-05-15,16.5346
2011-05-16,16.5346
2011-05-17,16.5346
2011-05-18,16.5346
2011-05-19,16.5346
2011-05-20,16.5346
2011-05-21,16.5346
2011-05-22,16.5346
2011-05-23,16.5346
2011-05-24,16.5346
2011-05-25,16.5346
2011-05-26,16.5346
2011-05-27,16.5346
2011-05-28,16.5346
2011-05-29,16.5346
2011-05-30,16.5346
2011-05-31,16.5346
2011-06-01,16.5346
2011-06-02,16.5346
2011-06-03,16.5346
2011-06-04,16.5346
2011-06-05,16.5346
2011-06-06,16.5346
2011-06-07,16.5346
2011-06-08,16.5346
2011-06-09,16.5346
2011-06-10,16.5346
2011-06-11,16.5346
2011-06-12,16.5346
2011-06-13,16.5346
2011-06-14,16.5346
2011-06-15,16.5346
2011-06-16,16.5346
2011-06-17,16.5346
2011-06-18,16.5346
2011-06-19,16.5346
2011-06-20,16.5346
2011-06-21,16.5346
2011-06-22,16.5346
2011-06-23,16.5346
2011-06-24,16.5346
2011-06-25,16.5346
2011-06-26,16.5346
2011-06-27,16.5346
2011-06-28,16.5346
2011-06-29,16.5346
2011-06-30,21.5851
2011-07-01,21.5851
2011-07-02,21.5851
2011-07-03,21.5851
2011-07-04,21.5851
2011-07-05,21.5851
2011-07-06,21.5851
2011-07-07,21.5851
2011-07-08,21.5851
2011-07-09,21.5851
2011-07-10,21.5851
2011-07-11,21.5851
2011-07-12,21.5851
2011-07-13,21.5851
2011-07-14,21.5851
2011-07-15,21.5851
2011-07-16,21.5851
2011-07-17,21.5851
2011-07-18,21.5851
2011-07-19,21.5851
2011-07-20,21.5851
2011-07-21,21.5851
2011-07-22,21.5851
2011-07-23,21.5851
2011-07-24,21.5851
2011-07-25,21.5851
2011-07-26,21.5851
2011-07-27,21.5851
2011-07-28,21.5851
2011-07-29,21.5851
2011-07-30,21.5851
2011-07-31,21.5851
2011-08-01,21.5851
2011-08-02,21.5851
2011-08-03,21.5851
2011-08-04,21.5851
2011-08-05,21.5851
2011-08-06,21.5851
2011-08-07,21.5851
2011-08-08,21.5851
2011-08-09,21.5851
2011-08-10,21.5851
2011-08-11,21.5851
2011-08-12,21.5851
2011-08-13,21.5851
2011-08-14,21.5851
2011-08-15,21.5851
2011-08-16,21.5851
2011-08-17,21.5851
2011-08-18,21.5851
2011-08-19,21.5851
2011-08-20,21.5851
2011-08-21,21.5851
2011-08-22,21.5851
2011-08-23,21.5851
2011-08-24,21.5851
2011-08-25,21.5851
2011-08-26,21.5851
2011-08-27,21.5851
2011-08-28,21.5851
2011-08-29,21.5851
2011-08-30,21.5851
2011-08-31,21.5851
2011-09-01,21.5851
2011-09-02,21.5851
2011-09-03,21.5851
2011-09-04,21.5851
2011-09-05,21.5851
2011-09-06,21.5851
2011-09-07,21.5851
2011-09-08,21.5851
2011-09-09,21.5851
2011-09-10,21.5851
2011-09-11,21.5851
2011-09-12,21.5851
2011-09-13,21.5851
2011-09-14,21.5851
2011-09-15,21.5851
2011-09-16,21.5851
2011-09-17,21.5851
2011-09-18,21.5851
2011-09-19,21.5851
2011-09-20,21.5851
2011-09-21,21.5851
2011-09-22,21.5851
2011-09-23,21.5851
2011-09-24,21.5851
2011-09-25,21.5851
2011-09-26,21.5851
2011-09-27,21.5851
2011-09-28,21.5851
2011-09-29,21.5851
2011-09-30,21.5851
2011-10-01,21.5851
2011-10-02,21.5851
2011-10-03,21.5851
2011-10-04,21.5851
2011-10-05,21.5851
2011-10-06,21.5851
2011-10-07,21.5851
2011-10-08,21.5851
2011-10-09,21.5851
2011-10-10,21.5851
2011-10-11,21.5851
2011-10-12,21.5851
2011-10-13,21.5851
2011-10-14,21.5851
2011-10-15,21.5851
2011-10-16,21.5851
2011-10-17,21.5851
2011-10-18,21.5851
2011-10-19,21.5851
2011-10-20,21.5851
2011-10-21,21.5851
2011-10-22,21.5851
2011-10-23,21.5851
2011-10-24,21.5851
2011-10-25,21.5851
2011-10-26,21.5851
2011-10-27,21.5851
2011-10-28,21.5851
2011-10-29,21.5851
2011-10-30,21.5851
2011-10-31,21.5851
2011-11-01,21.5851
2011-11-02,21.5851
2011-11-03,21.5851
2011-11-04,21.5851
2011-11-05,21.5851
2011-11-06,21.5851
2011-11-07,21.5851
2011-11-08,21.5851
2011-11-09,21.5851
2011-11-10,21.5851
2011-11-11,21.5851
2011-11-12,21.5851
2011-11-13,21.5851
2011-11-14,21.5851
2011-11-15,21.5851
2011-11-16,21.5851
2011-11-17,21.5851
2011-11-18,21.5851
2011-11-19,21.5851
2011-11-20,21.5851
2011-11-21,21.5851
2011-11-22,21.5851
2011-11-23,21.5851
2011-11-24,21.5851
2011-11-25,21.5851
2011-11-26,21.5851
2011-11-27,21.5851
2011-11-28,21.5851
2011-11-29,21.5851
2011-11-30,21.5851
2011-12-01,21.5851
2011-12-02,21.5851
2011-12-03,21.5851
2011-12-04,21.5851
2011-12-05,21.5851
2011-12-06,21.5851
2011-12-07,21.5851
2011-12-08,21.5851
2011-12-09,21.5851
2011-12-10,21.5851
2011-12-11,21.5851
2011-12-12,21.5851
2011-12-13,21.5851
2011-12-14,21.5851
2011-12-15,21.5851
2011-12-16,21.5851
2011-12-17,21.5851
2011-12-18,21.5851
2011-12-19,21.5851
2011-12-20,21.5851
2011-12-21,21.5851
2011-12-22,21.5851
2011-12-23,21.5851
2011-12-24,21.5851
2011-12-25,21.5851
2011-12-26,21.5851
2011-12-27,21.5851
2011-12-28,21.5851
2011-12-29,21.5851
2011-12-30,21.5851
2011-12-31,22.9406
2012-01-01,22.9406
2012-01-02,22.9406
2012-01-03,22.9406
2012-01-04,22.9406
2012-01-05,22.9406
2012-01-06,22.9406
2012-01-07,22.9406
2012-01-08,22.9406
2012-01-09,22.9406
2012-01-10,22.9406
2012-01-11,22.9406
2012-01-12,22.9406
2012-01-13,22.9406
2012-01-14,22.9406
2012-01-15,22.9406
2012-01-16,22.9406
2012-01-17,22.9406
2012-01-18,22.9406
2012-01-19,22.9406
2012-01-20,22.9406
2012-01-21,22.9406
2012-01-22,22.9406
2012-01-23,22.9406
2012-01-24,22.9406
2012-01-25,22.9406
2012-01-26,22.9406
2012-01-27,22.9406
2012-01-28,22.9406
2012-01-29,22.9406
2012-01-30,22.9406
2012-01-31,22.9406
2012-02-01,22.9406
2012-02-02,22.9406
2012-02-03,22.9406
2012-02-04,22.9406
2012-02-05,22.9406
2012-02-06,22.9406
2012-02-07,22.9406
2012-02-08,22.9406
2012-02-09,22.9406
2012-02-10,22.9406
2012-02-11,22.9406
2012-02-12,22.9406
2012-02-13,22.9406
2012-02-14,22.9406
2012-02-15,22.9406
2012-02-16,22.9406
2012-02-17,22.9406
2012-02-18,22.9406
2012-02-19,22.9406
2012-02-20,22.9406
2012-02-21,22.9406
2012-02-22,22.9406
2012-02-23,22.9406
2012-02-24,22.9406
2012-02-25,22.9406
2012-02-26,22.9406
2012-02-27,22.9406
2012-02-28,22.9406
2012-02-29,22.9406
2012-03-01,22.9406
2012-03-02,22.9406
2012-03-03,22.9406
2012-03-04,22.9406
2012-03-05,22.9406
2012-03-06,22.9406
2012-03-07,22.9406
2012-03-08,22.9406
2012-03-09,22.9406
2012-03-10,22.9406
2012-03-11,22.9406
2012-03-12,22.9406
2012-03-13,22.9406
2012-03-14,22.9406
2012-03-15,22.9406
2012-03-16,22.9406
2012-03-17,22.9406
2012-03-18,22.9406
2012-03-19,22.9406
2012-03-20,22.9406
2012-03-21,22.9406
2012-03-22,22.9406
2012-03-23,22.9406
2012-03-24,22.9406
2012-03-25,22.9406
2012-03-26,22.9406
2012-03-27,22.9406
2012-03-28,22.9406
2012-03-29,22.9406
2012-03-30,22.9406
2012-03-31,22.9406
2012-04-01,22.9406
2012-04-02,22.9406
2012-04-03,22.9406
2012-04-04,22.9406
2012-04-05,22.9406
2012-04-06,22.9406
2012-04-07,22.9406
2012-04-08,22.9406
2012-04-09,22.9406
2012-04-10,22.9406
2012-04-11,22.9406
2012-04-12,22.9406
2012-04-13,22.9406
2012-04-14,22.9406
2012-04-15,22.9406
2012-04-16,22.9406
2012-04-17,22.9406
2012-04-18,22.9406
2012-04-19,22.9406
2012-04-20,22.9406
2012-04-21,22.9406
2012-04-22,22.9406
2012-04-23,22.9406
2012-04-24,22.9406
2012-04-25,22.9406
2012-04-26,22.9406
2012-04-27,22.9406
2012-04-28,22.9406
2012-04-29,22.9406
2012-04-30,22.9406
2012-05-01,22.9406
2012-05-02,22.9406
2012-05-03,22.9406
2012-05-04,22.9406
2012-05-05,22.9406
2012-05-06,22.9406
2012-05-07,22.9406
2012-05-08,22.9406
2012-05-09,22.9406
2012-05-10,22.9406
2012-05-11,22.9406
2012-05-12,22.9406
2012-05-13,22.9406
2012-05-14,22.9406
2012-05-15,22.9406
2012-05-16,22.9406
2012-05-17,22.9406
2012-05-18,22.9406
2012-05-19,22.9406
2012-05-20,22.9406
2012-05-21,22.9406
2012-05-22,22.9406
2012-05-23,22.9406
2012-05-24,22.9406
2012-05-25,22.9406
2012-05-26,22.9406
2012-05-27,22.9406
2012-05-28,22.9406
2012-05-29,22.9406
2012-05-30,22.9406
2012-05-31,22.9406
2012-06-01,22.9406
2012-06-02,22.9406
2012-06-03,22.9406
2012-06-04,22.9406
2012-06-05,22.9406
2012-06-06,22.9406
2012-06-07,22.9406
2012-06-08,22.9406
2012-06-09,22.9406
2012-06-10,22.9406
2012-06-11,22.9406
2012-06-12,22.9406
2012-06-13,22.9406
2012-06-14,22.9406
2012-06-15,22.9406
2012-06-16,22.9406
2012-06-17,22.9406
2012-06-18,22.9406
2012-06-19,22.9406
2012-06-20,22.9406
2012-06-21,22.9406
2012-06-22,22.9406
2012-06-23,22.9406
2012-06-24,22.9406
2012-06-25,22.9406
2012-06-26,22.9406
2012-06-27,22.9406
2012-06-28,22.9406
2012-06-29,22.9406
2012-06-30,21.3452
2012-07-01,21.3452
2012-07-02,21.3452
2012-07-03,21.3452
2012-07-04,21.3452
2012-07-05,21.3452
2012-07-06,21.3452
2012-07-07,21.3452
2012-07-08,21.3452
2012-07-09,21.3452
2012-07-10,21.3452
2012-07-11,21.3452
2012-07-12,21.3452
2012-07-13,21.3452
2012-07-14,21.3452
2012-07-15,21.3452
2012-07-16,21.3452
2012-07-17,21.3452
2012-07-18,21.3452
2012-07-19,21.3452
2012-07-20,21.3452
2012-07-21,21.3452
2012-07-22,21.3452
2012-07-23,21.3452
2012-07-24,21.3452
2012-07-25,21.3452
2012-07-26,21.3452
2012-07-27,21.3452
2012-07-28,21.3452
2012-07-29,21.3452
2012-07-30,21.3452
2012-07-31,21.3452
2012-08-01,21.3452
2012-08-02,21.3452
2012-08-03,21.3452
2012-08-04,21.3452
2012-08-05,21.3452
2012-08-06,21.3452
2012-08-07,21.3452
2012-08-08,21.3452
2012-08-09,21.3452
2012-08-10,21.3452
2012-08-11,21.3452
2012-08-12,21.3452
2012-08-13,21.3452
2012-08-14,21.3452
2012-08-15,21.3452
2012-08-16,21.3452
2012-08-17,21.3452
2012-08-18,21.3452
2012-08-19,21.3452
2012-08-20,21.3452
2012-08-21,21.3452
2012-08-22,21.3452
2012-08-23,21.3452
2012-08-24,21.3452
2012-08-25,21.3452
2012-08-26,21.3452
2012-08-27,21.3452
2012-08-28,21.3452
2012-08-29,21.3452
2012-08-30,21.3452
2012-08-31,21.3452
2012-09-01,21.3452
2012-09-02,21.3452
2012-09-03,21.3452
2012-09-04,21.3452
2012-09-05,21.3452
2012-09-06,21.3452
2012-09-07,21.3452
2012-09-08,21.3452
2012-09-09,21.3452
2012-09-10,21.3452
2012-09-11,21.3452
2012-09-12,21.3452
2012-09-13,21.3452
2012-09-14,21.3452
2012-09-15,21.3452
2012-09-16,21.3452
2012-09-17,21.3452
2012-09-18,21.3452
2012-09-19,21.3452
2012-09-20,21.3452
2012-09-21,21.3452
2012-09-22,21.3452
2012-09-23,21.3452
2012-09-24,21.3452
2012-09-25,21.3452
2012-09-26,21.3452
2012-09-27,21.3452
2012-09-28,21.3452
2012-09-29,21.3452
2012-09-30,21.3452
2012-10-01,21.3452
2012-10-02,21.3452
2012-10-03,21.3452
2012-10-04,21.3452
2012-10-05,21.3452
2012-10-06,21.3452
2012-10-07,21.3452
2012-10-08,21.3452
2012-10-09,21.3452
2012-10-10,21.3452
2012-10-11,21.3452
2012-10-12,21.3452
2012-10-13,21.3452
2012-10-14,21.3452
2012-10-15,21.3452
2012-10-16,21.3452
2012-10-17,21.3452
2012-10-18,21.3452
2012-10-19,21.3452
2012-10-20,21.3452
2012-10-21,21.3452
2012-10-22,21.3452
2012-10-23,21.3452
2012-10-24,21.3452
2012-10-25,21.3452
2012-10-26,21.3452
2012-10-27,21.3452
2012-10-28,21.3452
2012-10-29,21.3452
2012-10-30,21.3452
2012-10-31,21.3452
2012-11-01,21.3452
2012-11-02,21.3452
2012-11-03,21.3452
2012-11-04,21.3452
2012-11-05,21.3452
2012-11-06,21.3452
2012-11-07,21.3452
2012-11-08,21.3452
2012-11-09,21.3452
2012-11-10,21.3452
2012-11-11,21.3452
2012-11-12,21.3452
2012-11-13,21.3452
2012-11-14,21.3452
2012-11-15,21.3452
2012-11-16,21.3452
2012-11-17,21.3452
2012-11-18,21.3452
2012-11-19,21.3452
2012-11-20,21.3452
2012-11-21,21.3452
2012-11-22,21.3452
2012-11-23,21.3452
2012-11-24,21.3452
2012-11-25,21.3452
2012-11-26,21.3452
2012-11-27,21.3452
2012-11-28,21.3452
2012-11-29,21.3452
2012-11-30,21.3452
2012-12-01,21.3452
2012-12-02,21.3452
2012-12-03,21.3452
2012-12-04,21.3452
2012-12-05,21.3452
2012-12-06,21.3452
2012-12-07,21.3452
2012-12-08,21.3452
2012-12-09,21.3452
2012-12-10,21.3452
2012-12-11,21.3452
2012-12-12,21.3452
2012-12-13,21.3452
2012-12-14,21.3452
2012-12-15,21.3452
2012-12-16,21.3452
2012-12-17,21.3452
2012-12-18,21.3452
2012-12-19,21.3452
2012-12-20,21.3452
2012-12-21,21.3452
2012-12-22,21.3452
2012-12-23,21.3452
2012-12-24,21.3452
2012-12-25,21.3452
2012-12-26,21.3452
2012-12-27,21.3452
2012-12-28,21.3452
2012-12-29,21.3452
2012-12-30,21.3452
2012-12-31,22.2607
2013-01-01,22.2607
2013-01-02,22.2607
2013-01-03,22.2607
2013-01-04,22.2607
2013-01-05,22.2607
2013-01-06,22.2607
2013-01-07,22.2607
2013-01-08,22.2607
2013-01-09,22.2607
2013-01-10,22.2607
2013-01-11,22.2607
2013-01-12,22.2607
2013-01-13,22.2607
2013-01-14,22.2607
2013-01-15,22.2607
2013-01-16,22.2607
2013-01-17,22.2607
2013-01-18,22.2607
2013-01-19,22.2607
2013-01-20,22.2607
2013-01-21,22.2607
2013-01-22,22.2607
2013-01-23,22.2607
2013-01-24,22.2607
2013-01-25,22.2607
2013-01-26,22.2607
2013-01-27,22.2607
2013-01-28,22.2607
2013-01-29,22.2607
2013-01-30,22.2607
2013-01-31,22.2607
2013-02-01,22.2607
2013-02-02,22.2607
2013-02-03,22.2607
2013-02-04,22.2607
2013-02-05,22.2607
2013-02-06,22.2607
2013-02-07,22.2607
2013-02-08,22.2607
2013-02-09,22.2607
2013-02-10,22.2607
2013-02-11,22.2607
2013-02-12,22.2607
2013-02-13,22.2607
2013-02-14,22.2607
2013-02-15,22.2607
2013-02-16,22.2607
2013-02-17,22.2607
2013-02-18,22.2607
2013-02-19,22.2607
2013-02-20,22.2607
2013-02-21,22.2607
2013-02-22,22.2607
2013-02-23,22.2607
2013-02-24,22.2607
2013-02-25,22.2607
2013-02-26,22.2607
2013-02-27,22.2607
2013-02-28,22.2607
2013-03-01,22.2607
2013-03-02,22.2607
2013-03-03,22.2607
2013-03-04,22.2607
2013-03-05,22.2607
2013-03-06,22.2607
2013-03-07,22.2607
2013-03-08,22.2607
