,SPX Index,SPX Index,SPX Index,SPX Index,SPX Index
1980-03-18,104.1,104.1,104.1,104.1,
1980-03-19,104.31,104.31,104.31,104.31,
1980-03-20,103.12,103.12,103.12,103.12,
1980-03-21,102.31,102.31,102.31,102.31,
1980-03-22,102.31,102.31,102.31,102.31,
1980-03-23,102.31,102.31,102.31,102.31,
1980-03-24,99.28,99.28,99.28,99.28,
1980-03-25,99.19,99.19,99.19,99.19,
1980-03-26,98.68,98.68,98.68,98.68,
1980-03-27,98.22,98.22,98.22,98.22,
1980-03-28,100.68,100.68,100.68,100.68,
1980-03-29,100.68,100.68,100.68,100.68,
1980-03-30,100.68,100.68,100.68,100.68,
1980-03-31,102.09,102.09,102.09,102.09,
1980-04-01,102.18,102.18,102.18,102.18,
1980-04-02,102.68,102.68,102.68,102.68,
1980-04-03,102.15,102.15,102.15,102.15,
1980-04-04,102.15,102.15,102.15,102.15,
1980-04-05,102.15,102.15,102.15,102.15,
1980-04-06,102.15,102.15,102.15,102.15,
1980-04-07,100.19,100.19,100.19,100.19,
1980-04-08,101.2,101.2,101.2,101.2,
1980-04-09,103.11,103.11,103.11,103.11,
1980-04-10,104.08,104.08,104.08,104.08,
1980-04-11,103.79,103.79,103.79,103.79,
1980-04-12,103.79,103.79,103.79,103.79,
1980-04-13,103.79,103.79,103.79,103.79,
1980-04-14,102.84,102.84,102.84,102.84,
1980-04-15,102.63,102.63,102.63,102.63,
1980-04-16,101.54,101.54,101.54,101.54,
1980-04-17,101.05,101.05,101.05,101.05,
1980-04-18,100.55,100.55,100.55,100.55,
1980-04-19,100.55,100.55,100.55,100.55,
1980-04-20,100.55,100.55,100.55,100.55,
1980-04-21,99.8,99.8,99.8,99.8,
1980-04-22,103.43,103.43,103.43,103.43,
1980-04-23,103.73,103.73,103.73,103.73,
1980-04-24,104.4,104.4,104.4,104.4,
1980-04-25,105.16,105.16,105.16,105.16,
1980-04-26,105.16,105.16,105.16,105.16,
1980-04-27,105.16,105.16,105.16,105.16,
1980-04-28,105.64,105.64,105.64,105.64,
1980-04-29,105.86,105.86,105.86,105.86,
1980-04-30,106.29,106.29,106.29,106.29,
1980-05-01,105.46,105.46,105.46,105.46,
1980-05-02,105.58,105.58,105.58,105.58,
1980-05-03,105.58,105.58,105.58,105.58,
1980-05-04,105.58,105.58,105.58,105.58,
1980-05-05,106.38,106.38,106.38,106.38,
1980-05-06,106.25,106.25,106.25,106.25,
1980-05-07,107.18,107.18,107.18,107.18,
1980-05-08,106.13,106.13,106.13,106.13,
1980-05-09,104.72,104.72,104.72,104.72,
1980-05-10,104.72,104.72,104.72,104.72,
1980-05-11,104.72,104.72,104.72,104.72,
1980-05-12,104.78,104.78,104.78,104.78,
1980-05-13,106.3,106.3,106.3,106.3,
1980-05-14,106.85,106.85,106.85,106.85,
1980-05-15,106.99,106.99,106.99,106.99,
1980-05-16,107.35,107.35,107.35,107.35,
1980-05-17,107.35,107.35,107.35,107.35,
1980-05-18,107.35,107.35,107.35,107.35,
1980-05-19,107.67,107.67,107.67,107.67,
1980-05-20,107.62,107.62,107.62,107.62,
1980-05-21,107.72,107.72,107.72,107.72,
1980-05-22,109.01,109.01,109.01,109.01,
1980-05-23,110.62,110.62,110.62,110.62,
1980-05-24,110.62,110.62,110.62,110.62,
1980-05-25,110.62,110.62,110.62,110.62,
1980-05-26,110.62,110.62,110.62,110.62,
1980-05-27,111.4,111.4,111.4,111.4,
1980-05-28,112.06,112.06,112.06,112.06,
1980-05-29,110.27,110.27,110.27,110.27,
1980-05-30,111.24,111.24,111.24,111.24,
1980-05-31,111.24,111.24,111.24,111.24,
1980-06-01,111.24,111.24,111.24,111.24,
1980-06-02,110.76,110.76,110.76,110.76,
1980-06-03,110.51,110.51,110.51,110.51,
1980-06-04,112.61,112.61,112.61,112.61,
1980-06-05,112.78,112.78,112.78,112.78,
1980-06-06,113.2,113.2,113.2,113.2,
1980-06-07,113.2,113.2,113.2,113.2,
1980-06-08,113.2,113.2,113.2,113.2,
1980-06-09,113.71,113.71,113.71,113.71,
1980-06-10,114.66,114.66,114.66,114.66,
1980-06-11,116.02,116.02,116.02,116.02,
1980-06-12,115.52,115.52,115.52,115.52,
1980-06-13,115.81,115.81,115.81,115.81,
1980-06-14,115.81,115.81,115.81,115.81,
1980-06-15,115.81,115.81,115.81,115.81,
1980-06-16,116.09,116.09,116.09,116.09,
1980-06-17,116.03,116.03,116.03,116.03,
1980-06-18,116.26,116.26,116.26,116.26,
1980-06-19,114.66,114.66,114.66,114.66,
1980-06-20,114.06,114.06,114.06,114.06,
1980-06-21,114.06,114.06,114.06,114.06,
1980-06-22,114.06,114.06,114.06,114.06,
1980-06-23,114.51,114.51,114.51,114.51,
1980-06-24,115.14,115.14,115.14,115.14,
1980-06-25,116.72,116.72,116.72,116.72,
1980-06-26,116.19,116.19,116.19,116.19,
1980-06-27,116.0,116.0,116.0,116.0,
1980-06-28,116.0,116.0,116.0,116.0,
1980-06-29,116.0,116.0,116.0,116.0,
1980-06-30,114.24,114.24,114.24,114.24,
1980-07-01,114.93,114.93,114.93,114.93,
1980-07-02,115.68,115.68,115.68,115.68,
1980-07-03,117.46,117.46,117.46,117.46,
1980-07-04,117.46,117.46,117.46,117.46,
1980-07-05,117.46,117.46,117.46,117.46,
1980-07-06,117.46,117.46,117.46,117.46,
1980-07-07,118.29,118.29,118.29,118.29,
1980-07-08,117.84,117.84,117.84,117.84,
1980-07-09,117.98,117.98,117.98,117.98,
1980-07-10,116.95,116.95,116.95,116.95,
1980-07-11,117.84,117.84,117.84,117.84,
1980-07-12,117.84,117.84,117.84,117.84,
1980-07-13,117.84,117.84,117.84,117.84,
1980-07-14,120.01,120.01,120.01,120.01,
1980-07-15,119.3,119.3,119.3,119.3,
1980-07-16,119.63,119.63,119.63,119.63,
1980-07-17,121.44,121.44,121.44,121.44,
1980-07-18,122.04,122.04,122.04,122.04,
1980-07-19,122.04,122.04,122.04,122.04,
1980-07-20,122.04,122.04,122.04,122.04,
1980-07-21,122.51,122.51,122.51,122.51,
1980-07-22,122.19,122.19,122.19,122.19,
1980-07-23,121.93,121.93,121.93,121.93,
1980-07-24,121.79,121.79,121.79,121.79,
1980-07-25,120.78,120.78,120.78,120.78,
1980-07-26,120.78,120.78,120.78,120.78,
1980-07-27,120.78,120.78,120.78,120.78,
1980-07-28,121.43,121.43,121.43,121.43,
1980-07-29,122.4,122.4,122.4,122.4,
1980-07-30,122.23,122.23,122.23,122.23,
1980-07-31,121.67,121.67,121.67,121.67,
1980-08-01,121.21,121.21,121.21,121.21,
1980-08-02,121.21,121.21,121.21,121.21,
1980-08-03,121.21,121.21,121.21,121.21,
1980-08-04,120.98,120.98,120.98,120.98,
1980-08-05,120.74,120.74,120.74,120.74,
1980-08-06,121.55,121.55,121.55,121.55,
1980-08-07,123.3,123.3,123.3,123.3,
1980-08-08,123.61,123.61,123.61,123.61,
1980-08-09,123.61,123.61,123.61,123.61,
1980-08-10,123.61,123.61,123.61,123.61,
1980-08-11,124.78,124.78,124.78,124.78,
1980-08-12,123.79,123.79,123.79,123.79,
1980-08-13,123.28,123.28,123.28,123.28,
1980-08-14,125.25,125.25,125.25,125.25,
1980-08-15,125.72,125.72,125.72,125.72,
1980-08-16,125.72,125.72,125.72,125.72,
1980-08-17,125.72,125.72,125.72,125.72,
1980-08-18,123.39,123.39,123.39,123.39,
1980-08-19,122.6,122.6,122.6,122.6,
1980-08-20,123.77,123.77,123.77,123.77,
1980-08-21,125.46,125.46,125.46,125.46,
1980-08-22,126.02,126.02,126.02,126.02,
1980-08-23,126.02,126.02,126.02,126.02,
1980-08-24,126.02,126.02,126.02,126.02,
1980-08-25,125.16,125.16,125.16,125.16,
1980-08-26,124.84,124.84,124.84,124.84,
1980-08-27,123.52,123.52,123.52,123.52,
1980-08-28,122.08,122.08,122.08,122.08,
1980-08-29,122.38,122.38,122.38,122.38,
1980-08-30,122.38,122.38,122.38,122.38,
1980-08-31,122.38,122.38,122.38,122.38,
1980-09-01,122.38,122.38,122.38,122.38,
1980-09-02,123.73,123.73,123.73,123.73,
1980-09-03,126.12,126.12,126.12,126.12,
1980-09-04,125.42,125.42,125.42,125.42,
1980-09-05,124.88,124.88,124.88,124.88,
1980-09-06,124.88,124.88,124.88,124.88,
1980-09-07,124.88,124.88,124.88,124.88,
1980-09-08,123.31,123.31,123.31,123.31,
1980-09-09,124.07,124.07,124.07,124.07,
1980-09-10,124.81,124.81,124.81,124.81,
1980-09-11,125.66,125.66,125.66,125.66,
1980-09-12,125.54,125.54,125.54,125.54,
1980-09-13,125.54,125.54,125.54,125.54,
1980-09-14,125.54,125.54,125.54,125.54,
1980-09-15,125.67,125.67,125.67,125.67,
1980-09-16,126.74,126.74,126.74,126.74,
1980-09-17,128.87,128.87,128.87,128.87,
1980-09-18,128.4,128.4,128.4,128.4,
1980-09-19,129.25,129.25,129.25,129.25,
1980-09-20,129.25,129.25,129.25,129.25,
1980-09-21,129.25,129.25,129.25,129.25,
1980-09-22,130.4,130.4,130.4,130.4,
1980-09-23,129.43,129.43,129.43,129.43,
1980-09-24,130.37,130.37,130.37,130.37,
1980-09-25,128.72,128.72,128.72,128.72,
1980-09-26,126.35,126.35,126.35,126.35,
1980-09-27,126.35,126.35,126.35,126.35,
1980-09-28,126.35,126.35,126.35,126.35,
1980-09-29,123.54,123.54,123.54,123.54,
1980-09-30,125.46,125.46,125.46,125.46,
1980-10-01,127.13,127.13,127.13,127.13,
1980-10-02,128.09,128.09,128.09,128.09,
1980-10-03,129.33,129.33,129.33,129.33,
1980-10-04,129.33,129.33,129.33,129.33,
1980-10-05,129.33,129.33,129.33,129.33,
1980-10-06,131.73,131.73,131.73,131.73,
1980-10-07,131.0,131.0,131.0,131.0,
1980-10-08,131.65,131.65,131.65,131.65,
1980-10-09,131.04,131.04,131.04,131.04,
1980-10-10,130.29,130.29,130.29,130.29,
1980-10-11,130.29,130.29,130.29,130.29,
1980-10-12,130.29,130.29,130.29,130.29,
1980-10-13,132.03,132.03,132.03,132.03,
1980-10-14,132.02,132.02,132.02,132.02,
1980-10-15,133.7,133.7,133.7,133.7,
1980-10-16,132.22,132.22,132.22,132.22,
1980-10-17,131.52,131.52,131.52,131.52,
1980-10-18,131.52,131.52,131.52,131.52,
1980-10-19,131.52,131.52,131.52,131.52,
1980-10-20,132.61,132.61,132.61,132.61,
1980-10-21,131.84,131.84,131.84,131.84,
1980-10-22,131.92,131.92,131.92,131.92,
1980-10-23,129.53,129.53,129.53,129.53,
1980-10-24,129.85,129.85,129.85,129.85,
1980-10-25,129.85,129.85,129.85,129.85,
1980-10-26,129.85,129.85,129.85,129.85,
1980-10-27,127.88,127.88,127.88,127.88,
1980-10-28,128.05,128.05,128.05,128.05,
1980-10-29,127.91,127.91,127.91,127.91,
1980-10-30,126.29,126.29,126.29,126.29,
1980-10-31,127.47,127.47,127.47,127.47,
1980-11-01,127.47,127.47,127.47,127.47,
1980-11-02,127.47,127.47,127.47,127.47,
1980-11-03,129.04,129.04,129.04,129.04,
1980-11-04,129.04,129.04,129.04,129.04,
1980-11-05,131.33,131.33,131.33,131.33,
1980-11-06,128.91,128.91,128.91,128.91,
1980-11-07,129.18,129.18,129.18,129.18,
1980-11-08,129.18,129.18,129.18,129.18,
1980-11-09,129.18,129.18,129.18,129.18,
1980-11-10,129.48,129.48,129.48,129.48,
1980-11-11,131.26,131.26,131.26,131.26,
1980-11-12,134.59,134.59,134.59,134.59,
1980-11-13,136.49,136.49,136.49,136.49,
1980-11-14,137.15,137.15,137.15,137.15,
1980-11-15,137.15,137.15,137.15,137.15,
1980-11-16,137.15,137.15,137.15,137.15,
1980-11-17,137.75,137.75,137.75,137.75,
1980-11-18,139.7,139.7,139.7,139.7,
1980-11-19,139.06,139.06,139.06,139.06,
1980-11-20,140.4,140.4,140.4,140.4,
1980-11-21,139.11,139.11,139.11,139.11,
1980-11-22,139.11,139.11,139.11,139.11,
1980-11-23,139.11,139.11,139.11,139.11,
1980-11-24,138.31,138.31,138.31,138.31,
1980-11-25,139.33,139.33,139.33,139.33,
1980-11-26,140.17,140.17,140.17,140.17,
1980-11-27,140.17,140.17,140.17,140.17,
1980-11-28,140.52,140.52,140.52,140.52,
1980-11-29,140.52,140.52,140.52,140.52,
1980-11-30,140.52,140.52,140.52,140.52,
1980-12-01,137.21,137.21,137.21,137.21,
1980-12-02,136.97,136.97,136.97,136.97,
1980-12-03,136.71,136.71,136.71,136.71,
1980-12-04,136.48,136.48,136.48,136.48,
1980-12-05,134.03,134.03,134.03,134.03,
1980-12-06,134.03,134.03,134.03,134.03,
1980-12-07,134.03,134.03,134.03,134.03,
1980-12-08,130.61,130.61,130.61,130.61,
1980-12-09,130.48,130.48,130.48,130.48,
1980-12-10,128.26,128.26,128.26,128.26,
1980-12-11,127.36,127.36,127.36,127.36,
1980-12-12,129.23,129.23,129.23,129.23,
1980-12-13,129.23,129.23,129.23,129.23,
1980-12-14,129.23,129.23,129.23,129.23,
1980-12-15,129.45,129.45,129.45,129.45,
1980-12-16,130.6,130.6,130.6,130.6,
1980-12-17,132.89,132.89,132.89,132.89,
1980-12-18,133.0,133.0,133.0,133.0,
1980-12-19,133.7,133.7,133.7,133.7,
1980-12-20,133.7,133.7,133.7,133.7,
1980-12-21,133.7,133.7,133.7,133.7,
1980-12-22,135.78,135.78,135.78,135.78,
1980-12-23,135.3,135.3,135.3,135.3,
1980-12-24,135.88,135.88,135.88,135.88,
1980-12-25,135.88,135.88,135.88,135.88,
1980-12-26,136.57,136.57,136.57,136.57,
1980-12-27,136.57,136.57,136.57,136.57,
1980-12-28,136.57,136.57,136.57,136.57,
1980-12-29,135.03,135.03,135.03,135.03,
1980-12-30,135.33,135.33,135.33,135.33,
1980-12-31,135.76,135.76,135.76,135.76,
1981-01-01,135.76,135.76,135.76,135.76,
1981-01-02,136.34,136.34,136.34,136.34,
1981-01-03,136.34,136.34,136.34,136.34,
1981-01-04,136.34,136.34,136.34,136.34,
1981-01-05,137.97,137.97,137.97,137.97,
1981-01-06,138.12,138.12,138.12,138.12,
1981-01-07,135.08,135.08,135.08,135.08,
1981-01-08,133.06,133.06,133.06,133.06,
1981-01-09,133.48,133.48,133.48,133.48,
1981-01-10,133.48,133.48,133.48,133.48,
1981-01-11,133.48,133.48,133.48,133.48,
1981-01-12,133.52,133.52,133.52,133.52,
1981-01-13,133.29,133.29,133.29,133.29,
1981-01-14,133.47,133.47,133.47,133.47,
1981-01-15,134.22,134.22,134.22,134.22,
1981-01-16,134.77,134.77,134.77,134.77,
1981-01-17,134.77,134.77,134.77,134.77,
1981-01-18,134.77,134.77,134.77,134.77,
1981-01-19,134.37,134.37,134.37,134.37,
1981-01-20,131.65,131.65,131.65,131.65,
1981-01-21,131.36,131.36,131.36,131.36,
1981-01-22,130.26,130.26,130.26,130.26,
1981-01-23,130.23,130.23,130.23,130.23,
1981-01-24,130.23,130.23,130.23,130.23,
1981-01-25,130.23,130.23,130.23,130.23,
1981-01-26,129.84,129.84,129.84,129.84,
1981-01-27,131.12,131.12,131.12,131.12,
1981-01-28,130.34,130.34,130.34,130.34,
1981-01-29,130.24,130.24,130.24,130.24,
1981-01-30,129.55,129.55,129.55,129.55,
1981-01-31,129.55,129.55,129.55,129.55,
1981-02-01,129.55,129.55,129.55,129.55,
1981-02-02,126.91,126.91,126.91,126.91,
1981-02-03,128.46,128.46,128.46,128.46,
1981-02-04,128.59,128.59,128.59,128.59,
1981-02-05,129.63,129.63,129.63,129.63,
1981-02-06,130.6,130.6,130.6,130.6,
1981-02-07,130.6,130.6,130.6,130.6,
1981-02-08,130.6,130.6,130.6,130.6,
1981-02-09,129.27,129.27,129.27,129.27,
1981-02-10,129.24,129.24,129.24,129.24,
1981-02-11,128.24,128.24,128.24,128.24,
1981-02-12,127.48,127.48,127.48,127.48,
1981-02-13,126.98,126.98,126.98,126.98,
1981-02-14,126.98,126.98,126.98,126.98,
1981-02-15,126.98,126.98,126.98,126.98,
1981-02-16,126.98,126.98,126.98,126.98,
1981-02-17,127.81,127.81,127.81,127.81,
1981-02-18,128.48,128.48,128.48,128.48,
1981-02-19,126.61,126.61,126.61,126.61,
1981-02-20,126.58,126.58,126.58,126.58,
1981-02-21,126.58,126.58,126.58,126.58,
1981-02-22,126.58,126.58,126.58,126.58,
1981-02-23,127.35,127.35,127.35,127.35,
1981-02-24,127.39,127.39,127.39,127.39,
1981-02-25,128.52,128.52,128.52,128.52,
1981-02-26,130.1,130.1,130.1,130.1,
1981-02-27,131.27,131.27,131.27,131.27,
1981-02-28,131.27,131.27,131.27,131.27,
1981-03-01,131.27,131.27,131.27,131.27,
1981-03-02,132.01,132.01,132.01,132.01,
1981-03-03,130.56,130.56,130.56,130.56,
1981-03-04,130.86,130.86,130.86,130.86,
1981-03-05,129.93,129.93,129.93,129.93,
1981-03-06,129.85,129.85,129.85,129.85,
1981-03-07,129.85,129.85,129.85,129.85,
1981-03-08,129.85,129.85,129.85,129.85,
1981-03-09,131.12,131.12,131.12,131.12,
1981-03-10,130.46,130.46,130.46,130.46,
1981-03-11,129.95,129.95,129.95,129.95,
1981-03-12,133.19,133.19,133.19,133.19,
1981-03-13,133.11,133.11,133.11,133.11,
1981-03-14,133.11,133.11,133.11,133.11,
1981-03-15,133.11,133.11,133.11,133.11,
1981-03-16,134.68,134.68,134.68,134.68,
1981-03-17,133.92,133.92,133.92,133.92,
1981-03-18,134.22,134.22,134.22,134.22,
1981-03-19,133.46,133.46,133.46,133.46,
1981-03-20,134.08,134.08,134.08,134.08,
1981-03-21,134.08,134.08,134.08,134.08,
1981-03-22,134.08,134.08,134.08,134.08,
1981-03-23,135.69,135.69,135.69,135.69,
1981-03-24,134.67,134.67,134.67,134.67,
1981-03-25,137.11,137.11,137.11,137.11,
1981-03-26,136.27,136.27,136.27,136.27,
1981-03-27,134.65,134.65,134.65,134.65,
1981-03-28,134.65,134.65,134.65,134.65,
1981-03-29,134.65,134.65,134.65,134.65,
1981-03-30,134.28,134.28,134.28,134.28,
1981-03-31,136.0,136.0,136.0,136.0,
1981-04-01,136.57,136.57,136.57,136.57,
1981-04-02,136.32,136.32,136.32,136.32,
1981-04-03,135.49,135.49,135.49,135.49,
1981-04-04,135.49,135.49,135.49,135.49,
1981-04-05,135.49,135.49,135.49,135.49,
1981-04-06,133.93,133.93,133.93,133.93,
1981-04-07,133.91,133.91,133.91,133.91,
1981-04-08,134.91,134.91,134.91,134.91,
1981-04-09,134.67,134.67,134.67,134.67,
1981-04-10,134.51,134.51,134.51,134.51,
1981-04-11,134.51,134.51,134.51,134.51,
1981-04-12,134.51,134.51,134.51,134.51,
1981-04-13,133.15,133.15,133.15,133.15,
1981-04-14,132.68,132.68,132.68,132.68,
1981-04-15,134.17,134.17,134.17,134.17,
1981-04-16,134.7,134.7,134.7,134.7,
1981-04-17,134.7,134.7,134.7,134.7,
1981-04-18,134.7,134.7,134.7,134.7,
1981-04-19,134.7,134.7,134.7,134.7,
1981-04-20,135.45,135.45,135.45,135.45,
1981-04-21,134.23,134.23,134.23,134.23,
1981-04-22,134.14,134.14,134.14,134.14,
1981-04-23,133.94,133.94,133.94,133.94,
1981-04-24,135.14,135.14,135.14,135.14,
1981-04-25,135.14,135.14,135.14,135.14,
1981-04-26,135.14,135.14,135.14,135.14,
1981-04-27,135.48,135.48,135.48,135.48,
1981-04-28,134.33,134.33,134.33,134.33,
1981-04-29,133.05,133.05,133.05,133.05,
1981-04-30,132.81,132.81,132.81,132.81,
1981-05-01,132.72,132.72,132.72,132.72,
1981-05-02,132.72,132.72,132.72,132.72,
1981-05-03,132.72,132.72,132.72,132.72,
1981-05-04,130.67,130.67,130.67,130.67,
1981-05-05,130.32,130.32,130.32,130.32,
1981-05-06,130.78,130.78,130.78,130.78,
1981-05-07,131.67,131.67,131.67,131.67,
1981-05-08,131.66,131.66,131.66,131.66,
1981-05-09,131.66,131.66,131.66,131.66,
1981-05-10,131.66,131.66,131.66,131.66,
1981-05-11,129.71,129.71,129.71,129.71,
1981-05-12,130.72,130.72,130.72,130.72,
1981-05-13,130.55,130.55,130.55,130.55,
1981-05-14,131.28,131.28,131.28,131.28,
1981-05-15,132.17,132.17,132.17,132.17,
1981-05-16,132.17,132.17,132.17,132.17,
1981-05-17,132.17,132.17,132.17,132.17,
1981-05-18,132.54,132.54,132.54,132.54,
1981-05-19,132.09,132.09,132.09,132.09,
1981-05-20,132.0,132.0,132.0,132.0,
1981-05-21,131.75,131.75,131.75,131.75,
1981-05-22,131.33,131.33,131.33,131.33,
1981-05-23,131.33,131.33,131.33,131.33,
1981-05-24,131.33,131.33,131.33,131.33,
1981-05-25,131.33,131.33,131.33,131.33,
1981-05-26,132.77,132.77,132.77,132.77,
1981-05-27,133.77,133.77,133.77,133.77,
1981-05-28,133.45,133.45,133.45,133.45,
1981-05-29,132.59,132.59,132.59,132.59,
1981-05-30,132.59,132.59,132.59,132.59,
1981-05-31,132.59,132.59,132.59,132.59,
1981-06-01,132.41,132.41,132.41,132.41,
1981-06-02,130.62,130.62,130.62,130.62,
1981-06-03,130.71,130.71,130.71,130.71,
1981-06-04,130.96,130.96,130.96,130.96,
1981-06-05,132.22,132.22,132.22,132.22,
1981-06-06,132.22,132.22,132.22,132.22,
1981-06-07,132.22,132.22,132.22,132.22,
1981-06-08,132.24,132.24,132.24,132.24,
1981-06-09,131.97,131.97,131.97,131.97,
1981-06-10,132.32,132.32,132.32,132.32,
1981-06-11,133.75,133.75,133.75,133.75,
1981-06-12,133.49,133.49,133.49,133.49,
1981-06-13,133.49,133.49,133.49,133.49,
1981-06-14,133.49,133.49,133.49,133.49,
1981-06-15,133.61,133.61,133.61,133.61,
1981-06-16,132.15,132.15,132.15,132.15,
1981-06-17,133.32,133.32,133.32,133.32,
1981-06-18,131.64,131.64,131.64,131.64,
1981-06-19,132.27,132.27,132.27,132.27,
1981-06-20,132.27,132.27,132.27,132.27,
1981-06-21,132.27,132.27,132.27,132.27,
1981-06-22,131.95,131.95,131.95,131.95,
1981-06-23,133.35,133.35,133.35,133.35,
1981-06-24,132.66,132.66,132.66,132.66,
1981-06-25,132.81,132.81,132.81,132.81,
1981-06-26,132.56,132.56,132.56,132.56,
1981-06-27,132.56,132.56,132.56,132.56,
1981-06-28,132.56,132.56,132.56,132.56,
1981-06-29,131.89,131.89,131.89,131.89,
1981-06-30,131.21,131.21,131.21,131.21,
1981-07-01,129.77,129.77,129.77,129.77,
1981-07-02,128.64,128.64,128.64,128.64,
1981-07-03,128.64,128.64,128.64,128.64,
1981-07-04,128.64,128.64,128.64,128.64,
1981-07-05,128.64,128.64,128.64,128.64,
1981-07-06,127.37,127.37,127.37,127.37,
1981-07-07,128.24,128.24,128.24,128.24,
1981-07-08,128.32,128.32,128.32,128.32,
1981-07-09,129.3,129.3,129.3,129.3,
1981-07-10,129.37,129.37,129.37,129.37,
1981-07-11,129.37,129.37,129.37,129.37,
1981-07-12,129.37,129.37,129.37,129.37,
1981-07-13,129.64,129.64,129.64,129.64,
1981-07-14,129.65,129.65,129.65,129.65,
1981-07-15,130.25,130.25,130.25,130.25,
1981-07-16,130.34,130.34,130.34,130.34,
1981-07-17,130.76,130.76,130.76,130.76,
1981-07-18,130.76,130.76,130.76,130.76,
1981-07-19,130.76,130.76,130.76,130.76,
1981-07-20,128.72,128.72,128.72,128.72,
1981-07-21,128.34,128.34,128.34,128.34,
1981-07-22,127.13,127.13,127.13,127.13,
1981-07-23,127.4,127.4,127.4,127.4,
1981-07-24,128.46,128.46,128.46,128.46,
1981-07-25,128.46,128.46,128.46,128.46,
1981-07-26,128.46,128.46,128.46,128.46,
1981-07-27,129.9,129.9,129.9,129.9,
1981-07-28,129.14,129.14,129.14,129.14,
1981-07-29,129.16,129.16,129.16,129.16,
1981-07-30,130.01,130.01,130.01,130.01,
1981-07-31,130.92,130.92,130.92,130.92,
1981-08-01,130.92,130.92,130.92,130.92,
