,KAZ LN Equity
2010-12-16,8.935
2010-12-17,8.935
2010-12-18,8.935
2010-12-19,8.935
2010-12-20,8.935
2010-12-21,8.935
2010-12-22,8.935
2010-12-23,8.935
2010-12-24,8.935
2010-12-25,8.935
2010-12-26,8.935
2010-12-27,8.935
2010-12-28,8.935
2010-12-29,8.935
2010-12-30,8.935
2010-12-31,19.6105
2011-01-01,19.6105
2011-01-02,19.6105
2011-01-03,19.6105
2011-01-04,19.6105
2011-01-05,19.6105
2011-01-06,19.6105
2011-01-07,19.6105
2011-01-08,19.6105
2011-01-09,19.6105
2011-01-10,19.6105
2011-01-11,19.6105
2011-01-12,19.6105
2011-01-13,19.6105
2011-01-14,19.6105
2011-01-15,19.6105
2011-01-16,19.6105
2011-01-17,19.6105
2011-01-18,19.6105
2011-01-19,19.6105
2011-01-20,19.6105
2011-01-21,19.6105
2011-01-22,19.6105
2011-01-23,19.6105
2011-01-24,19.6105
2011-01-25,19.6105
2011-01-26,19.6105
2011-01-27,19.6105
2011-01-28,19.6105
2011-01-29,19.6105
2011-01-30,19.6105
2011-01-31,19.6105
2011-02-01,19.6105
2011-02-02,19.6105
2011-02-03,19.6105
2011-02-04,19.6105
2011-02-05,19.6105
2011-02-06,19.6105
2011-02-07,19.6105
2011-02-08,19.6105
2011-02-09,19.6105
2011-02-10,19.6105
2011-02-11,19.6105
2011-02-12,19.6105
2011-02-13,19.6105
2011-02-14,19.6105
2011-02-15,19.6105
2011-02-16,19.6105
2011-02-17,19.6105
2011-02-18,19.6105
2011-02-19,19.6105
2011-02-20,19.6105
2011-02-21,19.6105
2011-02-22,19.6105
2011-02-23,19.6105
2011-02-24,19.6105
2011-02-25,19.6105
2011-02-26,19.6105
2011-02-27,19.6105
2011-02-28,19.6105
2011-03-01,19.6105
2011-03-02,19.6105
2011-03-03,19.6105
2011-03-04,19.6105
2011-03-05,19.6105
2011-03-06,19.6105
2011-03-07,19.6105
2011-03-08,19.6105
2011-03-09,19.6105
2011-03-10,19.6105
2011-03-11,19.6105
2011-03-12,19.6105
2011-03-13,19.6105
2011-03-14,19.6105
2011-03-15,19.6105
2011-03-16,19.6105
2011-03-17,19.6105
2011-03-18,19.6105
2011-03-19,19.6105
2011-03-20,19.6105
2011-03-21,19.6105
2011-03-22,19.6105
2011-03-23,19.6105
2011-03-24,19.6105
2011-03-25,19.6105
2011-03-26,19.6105
2011-03-27,19.6105
2011-03-28,19.6105
2011-03-29,19.6105
2011-03-30,19.6105
2011-03-31,19.6105
2011-04-01,19.6105
2011-04-02,19.6105
2011-04-03,19.6105
2011-04-04,19.6105
2011-04-05,19.6105
2011-04-06,19.6105
2011-04-07,19.6105
2011-04-08,19.6105
2011-04-09,19.6105
2011-04-10,19.6105
2011-04-11,19.6105
2011-04-12,19.6105
2011-04-13,19.6105
2011-04-14,19.6105
2011-04-15,19.6105
2011-04-16,19.6105
2011-04-17,19.6105
2011-04-18,19.6105
2011-04-19,19.6105
2011-04-20,19.6105
2011-04-21,19.6105
2011-04-22,19.6105
2011-04-23,19.6105
2011-04-24,19.6105
2011-04-25,19.6105
2011-04-26,19.6105
2011-04-27,19.6105
2011-04-28,19.6105
2011-04-29,19.6105
2011-04-30,19.6105
2011-05-01,19.6105
2011-05-02,19.6105
2011-05-03,19.6105
2011-05-04,19.6105
2011-05-05,19.6105
2011-05-06,19.6105
2011-05-07,19.6105
2011-05-08,19.6105
2011-05-09,19.6105
2011-05-10,19.6105
2011-05-11,19.6105
2011-05-12,19.6105
2011-05-13,19.6105
2011-05-14,19.6105
2011-05-15,19.6105
2011-05-16,19.6105
2011-05-17,19.6105
2011-05-18,19.6105
2011-05-19,19.6105
2011-05-20,19.6105
2011-05-21,19.6105
2011-05-22,19.6105
2011-05-23,19.6105
2011-05-24,19.6105
2011-05-25,19.6105
2011-05-26,19.6105
2011-05-27,19.6105
2011-05-28,19.6105
2011-05-29,19.6105
2011-05-30,19.6105
2011-05-31,19.6105
2011-06-01,19.6105
2011-06-02,19.6105
2011-06-03,19.6105
2011-06-04,19.6105
2011-06-05,19.6105
2011-06-06,19.6105
2011-06-07,19.6105
2011-06-08,19.6105
2011-06-09,19.6105
2011-06-10,19.6105
2011-06-11,19.6105
2011-06-12,19.6105
2011-06-13,19.6105
2011-06-14,19.6105
2011-06-15,19.6105
2011-06-16,19.6105
2011-06-17,19.6105
2011-06-18,19.6105
2011-06-19,19.6105
2011-06-20,19.6105
2011-06-21,19.6105
2011-06-22,19.6105
2011-06-23,19.6105
2011-06-24,19.6105
2011-06-25,19.6105
2011-06-26,19.6105
2011-06-27,19.6105
2011-06-28,19.6105
2011-06-29,19.6105
2011-06-30,15.7233
2011-07-01,15.7233
2011-07-02,15.7233
2011-07-03,15.7233
2011-07-04,15.7233
2011-07-05,15.7233
2011-07-06,15.7233
2011-07-07,15.7233
2011-07-08,15.7233
2011-07-09,15.7233
2011-07-10,15.7233
2011-07-11,15.7233
2011-07-12,15.7233
2011-07-13,15.7233
2011-07-14,15.7233
2011-07-15,15.7233
2011-07-16,15.7233
2011-07-17,15.7233
2011-07-18,15.7233
2011-07-19,15.7233
2011-07-20,15.7233
2011-07-21,15.7233
2011-07-22,15.7233
2011-07-23,15.7233
2011-07-24,15.7233
2011-07-25,15.7233
2011-07-26,15.7233
2011-07-27,15.7233
2011-07-28,15.7233
2011-07-29,15.7233
2011-07-30,15.7233
2011-07-31,15.7233
2011-08-01,15.7233
2011-08-02,15.7233
2011-08-03,15.7233
2011-08-04,15.7233
2011-08-05,15.7233
2011-08-06,15.7233
2011-08-07,15.7233
2011-08-08,15.7233
2011-08-09,15.7233
2011-08-10,15.7233
2011-08-11,15.7233
2011-08-12,15.7233
2011-08-13,15.7233
2011-08-14,15.7233
2011-08-15,15.7233
2011-08-16,15.7233
2011-08-17,15.7233
2011-08-18,15.7233
2011-08-19,15.7233
2011-08-20,15.7233
2011-08-21,15.7233
2011-08-22,15.7233
2011-08-23,15.7233
2011-08-24,15.7233
2011-08-25,15.7233
2011-08-26,15.7233
2011-08-27,15.7233
2011-08-28,15.7233
2011-08-29,15.7233
2011-08-30,15.7233
2011-08-31,15.7233
2011-09-01,15.7233
2011-09-02,15.7233
2011-09-03,15.7233
2011-09-04,15.7233
2011-09-05,15.7233
2011-09-06,15.7233
2011-09-07,15.7233
2011-09-08,15.7233
2011-09-09,15.7233
2011-09-10,15.7233
2011-09-11,15.7233
2011-09-12,15.7233
2011-09-13,15.7233
2011-09-14,15.7233
2011-09-15,15.7233
2011-09-16,15.7233
2011-09-17,15.7233
2011-09-18,15.7233
2011-09-19,15.7233
2011-09-20,15.7233
2011-09-21,15.7233
2011-09-22,15.7233
2011-09-23,15.7233
2011-09-24,15.7233
2011-09-25,15.7233
2011-09-26,15.7233
2011-09-27,15.7233
2011-09-28,15.7233
2011-09-29,15.7233
2011-09-30,15.7233
2011-10-01,15.7233
2011-10-02,15.7233
2011-10-03,15.7233
2011-10-04,15.7233
2011-10-05,15.7233
2011-10-06,15.7233
2011-10-07,15.7233
2011-10-08,15.7233
2011-10-09,15.7233
2011-10-10,15.7233
2011-10-11,15.7233
2011-10-12,15.7233
2011-10-13,15.7233
2011-10-14,15.7233
2011-10-15,15.7233
2011-10-16,15.7233
2011-10-17,15.7233
2011-10-18,15.7233
2011-10-19,15.7233
2011-10-20,15.7233
2011-10-21,15.7233
2011-10-22,15.7233
2011-10-23,15.7233
2011-10-24,15.7233
2011-10-25,15.7233
2011-10-26,15.7233
2011-10-27,15.7233
2011-10-28,15.7233
2011-10-29,15.7233
2011-10-30,15.7233
2011-10-31,15.7233
2011-11-01,15.7233
2011-11-02,15.7233
2011-11-03,15.7233
2011-11-04,15.7233
2011-11-05,15.7233
2011-11-06,15.7233
2011-11-07,15.7233
2011-11-08,15.7233
2011-11-09,15.7233
2011-11-10,15.7233
2011-11-11,15.7233
2011-11-12,15.7233
2011-11-13,15.7233
2011-11-14,15.7233
2011-11-15,15.7233
2011-11-16,15.7233
2011-11-17,15.7233
2011-11-18,15.7233
2011-11-19,15.7233
2011-11-20,15.7233
2011-11-21,15.7233
2011-11-22,15.7233
2011-11-23,15.7233
2011-11-24,15.7233
2011-11-25,15.7233
2011-11-26,15.7233
2011-11-27,15.7233
2011-11-28,15.7233
2011-11-29,15.7233
2011-11-30,15.7233
2011-12-01,15.7233
2011-12-02,15.7233
2011-12-03,15.7233
2011-12-04,15.7233
2011-12-05,15.7233
2011-12-06,15.7233
2011-12-07,15.7233
2011-12-08,15.7233
2011-12-09,15.7233
2011-12-10,15.7233
2011-12-11,15.7233
2011-12-12,15.7233
2011-12-13,15.7233
2011-12-14,15.7233
2011-12-15,15.7233
2011-12-16,15.7233
2011-12-17,15.7233
2011-12-18,15.7233
2011-12-19,15.7233
2011-12-20,15.7233
2011-12-21,15.7233
2011-12-22,15.7233
2011-12-23,15.7233
2011-12-24,15.7233
2011-12-25,15.7233
2011-12-26,15.7233
2011-12-27,15.7233
2011-12-28,15.7233
2011-12-29,15.7233
2011-12-30,15.7233
2011-12-31,10.9213
2012-01-01,10.9213
2012-01-02,10.9213
2012-01-03,10.9213
2012-01-04,10.9213
2012-01-05,10.9213
2012-01-06,10.9213
2012-01-07,10.9213
2012-01-08,10.9213
2012-01-09,10.9213
2012-01-10,10.9213
2012-01-11,10.9213
2012-01-12,10.9213
2012-01-13,10.9213
2012-01-14,10.9213
2012-01-15,10.9213
2012-01-16,10.9213
2012-01-17,10.9213
2012-01-18,10.9213
2012-01-19,10.9213
2012-01-20,10.9213
2012-01-21,10.9213
2012-01-22,10.9213
2012-01-23,10.9213
2012-01-24,10.9213
2012-01-25,10.9213
2012-01-26,10.9213
2012-01-27,10.9213
2012-01-28,10.9213
2012-01-29,10.9213
2012-01-30,10.9213
2012-01-31,10.9213
2012-02-01,10.9213
2012-02-02,10.9213
2012-02-03,10.9213
2012-02-04,10.9213
2012-02-05,10.9213
2012-02-06,10.9213
2012-02-07,10.9213
2012-02-08,10.9213
2012-02-09,10.9213
2012-02-10,10.9213
2012-02-11,10.9213
2012-02-12,10.9213
2012-02-13,10.9213
2012-02-14,10.9213
2012-02-15,10.9213
2012-02-16,10.9213
2012-02-17,10.9213
2012-02-18,10.9213
2012-02-19,10.9213
2012-02-20,10.9213
2012-02-21,10.9213
2012-02-22,10.9213
2012-02-23,10.9213
2012-02-24,10.9213
2012-02-25,10.9213
2012-02-26,10.9213
2012-02-27,10.9213
2012-02-28,10.9213
2012-02-29,10.9213
2012-03-01,10.9213
2012-03-02,10.9213
2012-03-03,10.9213
2012-03-04,10.9213
2012-03-05,10.9213
2012-03-06,10.9213
2012-03-07,10.9213
2012-03-08,10.9213
2012-03-09,10.9213
2012-03-10,10.9213
2012-03-11,10.9213
2012-03-12,10.9213
2012-03-13,10.9213
2012-03-14,10.9213
2012-03-15,10.9213
2012-03-16,10.9213
2012-03-17,10.9213
2012-03-18,10.9213
2012-03-19,10.9213
2012-03-20,10.9213
2012-03-21,10.9213
2012-03-22,10.9213
2012-03-23,10.9213
2012-03-24,10.9213
2012-03-25,10.9213
2012-03-26,10.9213
2012-03-27,10.9213
2012-03-28,10.9213
2012-03-29,10.9213
2012-03-30,10.9213
2012-03-31,10.9213
2012-04-01,10.9213
2012-04-02,10.9213
2012-04-03,10.9213
2012-04-04,10.9213
2012-04-05,10.9213
2012-04-06,10.9213
2012-04-07,10.9213
2012-04-08,10.9213
2012-04-09,10.9213
2012-04-10,10.9213
2012-04-11,10.9213
2012-04-12,10.9213
2012-04-13,10.9213
2012-04-14,10.9213
2012-04-15,10.9213
2012-04-16,10.9213
2012-04-17,10.9213
2012-04-18,10.9213
2012-04-19,10.9213
2012-04-20,10.9213
2012-04-21,10.9213
2012-04-22,10.9213
2012-04-23,10.9213
2012-04-24,10.9213
2012-04-25,10.9213
2012-04-26,10.9213
2012-04-27,10.9213
2012-04-28,10.9213
2012-04-29,10.9213
2012-04-30,10.9213
2012-05-01,10.9213
2012-05-02,10.9213
2012-05-03,10.9213
2012-05-04,10.9213
2012-05-05,10.9213
2012-05-06,10.9213
2012-05-07,10.9213
2012-05-08,10.9213
2012-05-09,10.9213
2012-05-10,10.9213
2012-05-11,10.9213
2012-05-12,10.9213
2012-05-13,10.9213
2012-05-14,10.9213
2012-05-15,10.9213
2012-05-16,10.9213
2012-05-17,10.9213
2012-05-18,10.9213
2012-05-19,10.9213
2012-05-20,10.9213
2012-05-21,10.9213
2012-05-22,10.9213
2012-05-23,10.9213
2012-05-24,10.9213
2012-05-25,10.9213
2012-05-26,10.9213
2012-05-27,10.9213
2012-05-28,10.9213
2012-05-29,10.9213
2012-05-30,10.9213
2012-05-31,10.9213
2012-06-01,10.9213
2012-06-02,10.9213
2012-06-03,10.9213
2012-06-04,10.9213
2012-06-05,10.9213
2012-06-06,10.9213
2012-06-07,10.9213
2012-06-08,10.9213
2012-06-09,10.9213
2012-06-10,10.9213
2012-06-11,10.9213
2012-06-12,10.9213
2012-06-13,10.9213
2012-06-14,10.9213
2012-06-15,10.9213
2012-06-16,10.9213
2012-06-17,10.9213
2012-06-18,10.9213
2012-06-19,10.9213
2012-06-20,10.9213
2012-06-21,10.9213
2012-06-22,10.9213
2012-06-23,10.9213
2012-06-24,10.9213
2012-06-25,10.9213
2012-06-26,10.9213
2012-06-27,10.9213
2012-06-28,10.9213
2012-06-29,10.9213
2012-06-30,7.8502
2012-07-01,7.8502
2012-07-02,7.8502
2012-07-03,7.8502
2012-07-04,7.8502
2012-07-05,7.8502
2012-07-06,7.8502
2012-07-07,7.8502
2012-07-08,7.8502
2012-07-09,7.8502
2012-07-10,7.8502
2012-07-11,7.8502
2012-07-12,7.8502
2012-07-13,7.8502
2012-07-14,7.8502
2012-07-15,7.8502
2012-07-16,7.8502
2012-07-17,7.8502
2012-07-18,7.8502
2012-07-19,7.8502
2012-07-20,7.8502
2012-07-21,7.8502
2012-07-22,7.8502
2012-07-23,7.8502
2012-07-24,7.8502
2012-07-25,7.8502
2012-07-26,7.8502
2012-07-27,7.8502
2012-07-28,7.8502
2012-07-29,7.8502
2012-07-30,7.8502
2012-07-31,7.8502
2012-08-01,7.8502
2012-08-02,7.8502
2012-08-03,7.8502
2012-08-04,7.8502
2012-08-05,7.8502
2012-08-06,7.8502
2012-08-07,7.8502
2012-08-08,7.8502
2012-08-09,7.8502
2012-08-10,7.8502
2012-08-11,7.8502
2012-08-12,7.8502
2012-08-13,7.8502
2012-08-14,7.8502
2012-08-15,7.8502
2012-08-16,7.8502
2012-08-17,7.8502
2012-08-18,7.8502
2012-08-19,7.8502
2012-08-20,7.8502
2012-08-21,7.8502
2012-08-22,7.8502
2012-08-23,7.8502
2012-08-24,7.8502
2012-08-25,7.8502
2012-08-26,7.8502
2012-08-27,7.8502
2012-08-28,7.8502
2012-08-29,7.8502
2012-08-30,7.8502
2012-08-31,7.8502
2012-09-01,7.8502
2012-09-02,7.8502
2012-09-03,7.8502
2012-09-04,7.8502
2012-09-05,7.8502
2012-09-06,7.8502
2012-09-07,7.8502
2012-09-08,7.8502
2012-09-09,7.8502
2012-09-10,7.8502
2012-09-11,7.8502
2012-09-12,7.8502
2012-09-13,7.8502
2012-09-14,7.8502
2012-09-15,7.8502
2012-09-16,7.8502
2012-09-17,7.8502
2012-09-18,7.8502
2012-09-19,7.8502
2012-09-20,7.8502
2012-09-21,7.8502
2012-09-22,7.8502
2012-09-23,7.8502
2012-09-24,7.8502
2012-09-25,7.8502
2012-09-26,7.8502
2012-09-27,7.8502
2012-09-28,7.8502
2012-09-29,7.8502
2012-09-30,7.8502
2012-10-01,7.8502
2012-10-02,7.8502
2012-10-03,7.8502
2012-10-04,7.8502
2012-10-05,7.8502
2012-10-06,7.8502
2012-10-07,7.8502
2012-10-08,7.8502
2012-10-09,7.8502
2012-10-10,7.8502
2012-10-11,7.8502
2012-10-12,7.8502
2012-10-13,7.8502
2012-10-14,7.8502
2012-10-15,7.8502
2012-10-16,7.8502
2012-10-17,7.8502
2012-10-18,7.8502
2012-10-19,7.8502
2012-10-20,7.8502
2012-10-21,7.8502
2012-10-22,7.8502
2012-10-23,7.8502
2012-10-24,7.8502
2012-10-25,7.8502
2012-10-26,7.8502
2012-10-27,7.8502
2012-10-28,7.8502
2012-10-29,7.8502
2012-10-30,7.8502
2012-10-31,7.8502
2012-11-01,7.8502
2012-11-02,7.8502
2012-11-03,7.8502
2012-11-04,7.8502
2012-11-05,7.8502
2012-11-06,7.8502
2012-11-07,7.8502
2012-11-08,7.8502
2012-11-09,7.8502
2012-11-10,7.8502
2012-11-11,7.8502
2012-11-12,7.8502
2012-11-13,7.8502
2012-11-14,7.8502
2012-11-15,7.8502
2012-11-16,7.8502
2012-11-17,7.8502
2012-11-18,7.8502
2012-11-19,7.8502
2012-11-20,7.8502
2012-11-21,7.8502
2012-11-22,7.8502
2012-11-23,7.8502
2012-11-24,7.8502
2012-11-25,7.8502
2012-11-26,7.8502
2012-11-27,7.8502
2012-11-28,7.8502
2012-11-29,7.8502
2012-11-30,7.8502
2012-12-01,7.8502
2012-12-02,7.8502
2012-12-03,7.8502
2012-12-04,7.8502
2012-12-05,7.8502
2012-12-06,7.8502
2012-12-07,7.8502
2012-12-08,7.8502
2012-12-09,7.8502
2012-12-10,7.8502
2012-12-11,7.8502
2012-12-12,7.8502
2012-12-13,7.8502
2012-12-14,7.8502
2012-12-15,7.8502
2012-12-16,7.8502
2012-12-17,7.8502
2012-12-18,7.8502
2012-12-19,7.8502
2012-12-20,7.8502
2012-12-21,7.8502
2012-12-22,7.8502
2012-12-23,7.8502
2012-12-24,7.8502
2012-12-25,7.8502
2012-12-26,7.8502
2012-12-27,7.8502
2012-12-28,7.8502
2012-12-29,7.8502
2012-12-30,7.8502
2012-12-31,-30.1114
2013-01-01,-30.1114
2013-01-02,-30.1114
2013-01-03,-30.1114
2013-01-04,-30.1114
2013-01-05,-30.1114
2013-01-06,-30.1114
2013-01-07,-30.1114
2013-01-08,-30.1114
2013-01-09,-30.1114
2013-01-10,-30.1114
2013-01-11,-30.1114
2013-01-12,-30.1114
2013-01-13,-30.1114
2013-01-14,-30.1114
2013-01-15,-30.1114
2013-01-16,-30.1114
2013-01-17,-30.1114
2013-01-18,-30.1114
2013-01-19,-30.1114
2013-01-20,-30.1114
2013-01-21,-30.1114
2013-01-22,-30.1114
2013-01-23,-30.1114
2013-01-24,-30.1114
2013-01-25,-30.1114
2013-01-26,-30.1114
2013-01-27,-30.1114
2013-01-28,-30.1114
2013-01-29,-30.1114
2013-01-30,-30.1114
2013-01-31,-30.1114
2013-02-01,-30.1114
2013-02-02,-30.1114
2013-02-03,-30.1114
2013-02-04,-30.1114
2013-02-05,-30.1114
2013-02-06,-30.1114
2013-02-07,-30.1114
2013-02-08,-30.1114
2013-02-09,-30.1114
2013-02-10,-30.1114
2013-02-11,-30.1114
2013-02-12,-30.1114
2013-02-13,-30.1114
2013-02-14,-30.1114
2013-02-15,-30.1114
2013-02-16,-30.1114
2013-02-17,-30.1114
2013-02-18,-30.1114
2013-02-19,-30.1114
2013-02-20,-30.1114
2013-02-21,-30.1114
2013-02-22,-30.1114
2013-02-23,-30.1114
2013-02-24,-30.1114
2013-02-25,-30.1114
2013-02-26,-30.1114
2013-02-27,-30.1114
2013-02-28,-30.1114
2013-03-01,-30.1114
2013-03-02,-30.1114
2013-03-03,-30.1114
2013-03-04,-30.1114
2013-03-05,-30.1114
2013-03-06,-30.1114
2013-03-07,-30.1114
2013-03-08,-30.1114
2013-03-09,-30.1114
2013-03-10,-30.1114
2013-03-11,-30.1114
2013-03-12,-30.1114
2013-03-13,-30.1114
2013-03-14,-30.1114
2013-03-15,-30.1114
2013-03-16,-30.1114
2013-03-17,-30.1114
