,ADM LN Equity
,RETURN_COM_EQY
2012-04-30,59.4464
2012-05-01,59.4464
2012-05-02,59.4464
2012-05-03,59.4464
2012-05-04,59.4464
2012-05-05,59.4464
2012-05-06,59.4464
2012-05-07,59.4464
2012-05-08,59.4464
2012-05-09,59.4464
2012-05-10,59.4464
2012-05-11,59.4464
2012-05-12,59.4464
2012-05-13,59.4464
2012-05-14,59.4464
2012-05-15,59.4464
2012-05-16,59.4464
2012-05-17,59.4464
2012-05-18,59.4464
2012-05-19,59.4464
2012-05-20,59.4464
2012-05-21,59.4464
2012-05-22,59.4464
2012-05-23,59.4464
2012-05-24,59.4464
2012-05-25,59.4464
2012-05-26,59.4464
2012-05-27,59.4464
2012-05-28,59.4464
2012-05-29,59.4464
2012-05-30,59.4464
2012-05-31,59.4464
2012-06-01,59.4464
2012-06-02,59.4464
2012-06-03,59.4464
2012-06-04,59.4464
2012-06-05,59.4464
2012-06-06,59.4464
2012-06-07,59.4464
2012-06-08,59.4464
2012-06-09,59.4464
2012-06-10,59.4464
2012-06-11,59.4464
2012-06-12,59.4464
2012-06-13,59.4464
2012-06-14,59.4464
2012-06-15,59.4464
2012-06-16,59.4464
2012-06-17,59.4464
2012-06-18,59.4464
2012-06-19,59.4464
2012-06-20,59.4464
2012-06-21,59.4464
2012-06-22,59.4464
2012-06-23,59.4464
2012-06-24,59.4464
2012-06-25,59.4464
2012-06-26,59.4464
2012-06-27,59.4464
2012-06-28,59.4464
2012-06-29,59.4464
2012-06-30,56.3408
2012-07-01,56.3408
2012-07-02,56.3408
2012-07-03,56.3408
2012-07-04,56.3408
2012-07-05,56.3408
2012-07-06,56.3408
2012-07-07,56.3408
2012-07-08,56.3408
2012-07-09,56.3408
2012-07-10,56.3408
2012-07-11,56.3408
2012-07-12,56.3408
2012-07-13,56.3408
2012-07-14,56.3408
2012-07-15,56.3408
2012-07-16,56.3408
2012-07-17,56.3408
2012-07-18,56.3408
2012-07-19,56.3408
2012-07-20,56.3408
2012-07-21,56.3408
2012-07-22,56.3408
2012-07-23,56.3408
2012-07-24,56.3408
2012-07-25,56.3408
2012-07-26,56.3408
2012-07-27,56.3408
2012-07-28,56.3408
2012-07-29,56.3408
2012-07-30,56.3408
2012-07-31,56.3408
2012-08-01,56.3408
2012-08-02,56.3408
2012-08-03,56.3408
2012-08-04,56.3408
2012-08-05,56.3408
2012-08-06,56.3408
2012-08-07,56.3408
2012-08-08,56.3408
2012-08-09,56.3408
2012-08-10,56.3408
2012-08-11,56.3408
2012-08-12,56.3408
2012-08-13,56.3408
2012-08-14,56.3408
2012-08-15,56.3408
2012-08-16,56.3408
2012-08-17,56.3408
2012-08-18,56.3408
2012-08-19,56.3408
2012-08-20,56.3408
2012-08-21,56.3408
2012-08-22,56.3408
2012-08-23,56.3408
2012-08-24,56.3408
2012-08-25,56.3408
2012-08-26,56.3408
2012-08-27,56.3408
2012-08-28,56.3408
2012-08-29,56.3408
2012-08-30,56.3408
2012-08-31,56.3408
2012-09-01,56.3408
2012-09-02,56.3408
2012-09-03,56.3408
2012-09-04,56.3408
2012-09-05,56.3408
2012-09-06,56.3408
2012-09-07,56.3408
2012-09-08,56.3408
2012-09-09,56.3408
2012-09-10,56.3408
2012-09-11,56.3408
2012-09-12,56.3408
2012-09-13,56.3408
2012-09-14,56.3408
2012-09-15,56.3408
2012-09-16,56.3408
2012-09-17,56.3408
2012-09-18,56.3408
2012-09-19,56.3408
2012-09-20,56.3408
2012-09-21,56.3408
2012-09-22,56.3408
2012-09-23,56.3408
2012-09-24,56.3408
2012-09-25,56.3408
2012-09-26,56.3408
2012-09-27,56.3408
2012-09-28,56.3408
2012-09-29,56.3408
2012-09-30,56.3408
2012-10-01,56.3408
2012-10-02,56.3408
2012-10-03,56.3408
2012-10-04,56.3408
2012-10-05,56.3408
2012-10-06,56.3408
2012-10-07,56.3408
2012-10-08,56.3408
2012-10-09,56.3408
2012-10-10,56.3408
2012-10-11,56.3408
2012-10-12,56.3408
2012-10-13,56.3408
2012-10-14,56.3408
2012-10-15,56.3408
2012-10-16,56.3408
2012-10-17,56.3408
2012-10-18,56.3408
2012-10-19,56.3408
2012-10-20,56.3408
2012-10-21,56.3408
2012-10-22,56.3408
2012-10-23,56.3408
2012-10-24,56.3408
2012-10-25,56.3408
2012-10-26,56.3408
2012-10-27,56.3408
2012-10-28,56.3408
2012-10-29,56.3408
2012-10-30,56.3408
2012-10-31,56.3408
2012-11-01,56.3408
2012-11-02,56.3408
2012-11-03,56.3408
2012-11-04,56.3408
2012-11-05,56.3408
2012-11-06,56.3408
2012-11-07,56.3408
2012-11-08,56.3408
2012-11-09,56.3408
2012-11-10,56.3408
2012-11-11,56.3408
2012-11-12,56.3408
2012-11-13,56.3408
2012-11-14,56.3408
2012-11-15,56.3408
2012-11-16,56.3408
2012-11-17,56.3408
2012-11-18,56.3408
2012-11-19,56.3408
2012-11-20,56.3408
2012-11-21,56.3408
2012-11-22,56.3408
2012-11-23,56.3408
2012-11-24,56.3408
2012-11-25,56.3408
2012-11-26,56.3408
2012-11-27,56.3408
2012-11-28,56.3408
2012-11-29,56.3408
2012-11-30,56.3408
2012-12-01,56.3408
2012-12-02,56.3408
2012-12-03,56.3408
2012-12-04,56.3408
2012-12-05,56.3408
2012-12-06,56.3408
2012-12-07,56.3408
2012-12-08,56.3408
2012-12-09,56.3408
2012-12-10,56.3408
2012-12-11,56.3408
2012-12-12,56.3408
2012-12-13,56.3408
2012-12-14,56.3408
2012-12-15,56.3408
2012-12-16,56.3408
2012-12-17,56.3408
2012-12-18,56.3408
2012-12-19,56.3408
2012-12-20,56.3408
2012-12-21,56.3408
2012-12-22,56.3408
2012-12-23,56.3408
2012-12-24,56.3408
2012-12-25,56.3408
2012-12-26,56.3408
2012-12-27,56.3408
2012-12-28,56.3408
2012-12-29,56.3408
2012-12-30,56.3408
2012-12-31,60.7286
2013-01-01,60.7286
2013-01-02,60.7286
2013-01-03,60.7286
2013-01-04,60.7286
2013-01-05,60.7286
2013-01-06,60.7286
2013-01-07,60.7286
2013-01-08,60.7286
2013-01-09,60.7286
2013-01-10,60.7286
2013-01-11,60.7286
2013-01-12,60.7286
2013-01-13,60.7286
2013-01-14,60.7286
2013-01-15,60.7286
2013-01-16,60.7286
2013-01-17,60.7286
2013-01-18,60.7286
2013-01-19,60.7286
2013-01-20,60.7286
2013-01-21,60.7286
2013-01-22,60.7286
2013-01-23,60.7286
2013-01-24,60.7286
2013-01-25,60.7286
2013-01-26,60.7286
2013-01-27,60.7286
2013-01-28,60.7286
2013-01-29,60.7286
2013-01-30,60.7286
2013-01-31,60.7286
2013-02-01,60.7286
2013-02-02,60.7286
2013-02-03,60.7286
2013-02-04,60.7286
2013-02-05,60.7286
2013-02-06,60.7286
2013-02-07,60.7286
2013-02-08,60.7286
2013-02-09,60.7286
2013-02-10,60.7286
2013-02-11,60.7286
2013-02-12,60.7286
2013-02-13,60.7286
2013-02-14,60.7286
2013-02-15,60.7286
2013-02-16,60.7286
2013-02-17,60.7286
2013-02-18,60.7286
2013-02-19,60.7286
2013-02-20,60.7286
2013-02-21,60.7286
2013-02-22,60.7286
2013-02-23,60.7286
2013-02-24,60.7286
2013-02-25,60.7286
2013-02-26,60.7286
2013-02-27,60.7286
2013-02-28,60.7286
2013-03-01,60.7286
2013-03-02,60.7286
2013-03-03,60.7286
2013-03-04,60.7286
2013-03-05,60.7286
2013-03-06,60.7286
2013-03-07,60.7286
2013-03-08,60.7286
2013-03-09,60.7286
2013-03-10,60.7286
2013-03-11,60.7286
2013-03-12,60.7286
2013-03-13,60.7286
2013-03-14,60.7286
2013-03-15,60.7286
2013-03-16,60.7286
2013-03-17,60.7286
2013-03-18,60.7286
2013-03-19,60.7286
2013-03-20,60.7286
