,PAGE LN Equity
2010-05-31,6.0979
2010-06-01,6.0979
2010-06-02,6.0979
2010-06-03,6.0979
2010-06-04,6.0979
2010-06-05,6.0979
2010-06-06,6.0979
2010-06-07,6.0979
2010-06-08,6.0979
2010-06-09,6.0979
2010-06-10,6.0979
2010-06-11,6.0979
2010-06-12,6.0979
2010-06-13,6.0979
2010-06-14,6.0979
2010-06-15,6.0979
2010-06-16,6.0979
2010-06-17,6.0979
2010-06-18,6.0979
2010-06-19,6.0979
2010-06-20,6.0979
2010-06-21,6.0979
2010-06-22,6.0979
2010-06-23,6.0979
2010-06-24,6.0979
2010-06-25,6.0979
2010-06-26,6.0979
2010-06-27,6.0979
2010-06-28,6.0979
2010-06-29,6.0979
2010-06-30,13.4773
2010-07-01,13.4773
2010-07-02,13.4773
2010-07-03,13.4773
2010-07-04,13.4773
2010-07-05,13.4773
2010-07-06,13.4773
2010-07-07,13.4773
2010-07-08,13.4773
2010-07-09,13.4773
2010-07-10,13.4773
2010-07-11,13.4773
2010-07-12,13.4773
2010-07-13,13.4773
2010-07-14,13.4773
2010-07-15,13.4773
2010-07-16,13.4773
2010-07-17,13.4773
2010-07-18,13.4773
2010-07-19,13.4773
2010-07-20,13.4773
2010-07-21,13.4773
2010-07-22,13.4773
2010-07-23,13.4773
2010-07-24,13.4773
2010-07-25,13.4773
2010-07-26,13.4773
2010-07-27,13.4773
2010-07-28,13.4773
2010-07-29,13.4773
2010-07-30,13.4773
2010-07-31,13.4773
2010-08-01,13.4773
2010-08-02,13.4773
2010-08-03,13.4773
2010-08-04,13.4773
2010-08-05,13.4773
2010-08-06,13.4773
2010-08-07,13.4773
2010-08-08,13.4773
2010-08-09,13.4773
2010-08-10,13.4773
2010-08-11,13.4773
2010-08-12,13.4773
2010-08-13,13.4773
2010-08-14,13.4773
2010-08-15,13.4773
2010-08-16,13.4773
2010-08-17,13.4773
2010-08-18,13.4773
2010-08-19,13.4773
2010-08-20,13.4773
2010-08-21,13.4773
2010-08-22,13.4773
2010-08-23,13.4773
2010-08-24,13.4773
2010-08-25,13.4773
2010-08-26,13.4773
2010-08-27,13.4773
2010-08-28,13.4773
2010-08-29,13.4773
2010-08-30,13.4773
2010-08-31,13.4773
2010-09-01,13.4773
2010-09-02,13.4773
2010-09-03,13.4773
2010-09-04,13.4773
2010-09-05,13.4773
2010-09-06,13.4773
2010-09-07,13.4773
2010-09-08,13.4773
2010-09-09,13.4773
2010-09-10,13.4773
2010-09-11,13.4773
2010-09-12,13.4773
2010-09-13,13.4773
2010-09-14,13.4773
2010-09-15,13.4773
2010-09-16,13.4773
2010-09-17,13.4773
2010-09-18,13.4773
2010-09-19,13.4773
2010-09-20,13.4773
2010-09-21,13.4773
2010-09-22,13.4773
2010-09-23,13.4773
2010-09-24,13.4773
2010-09-25,13.4773
2010-09-26,13.4773
2010-09-27,13.4773
2010-09-28,13.4773
2010-09-29,13.4773
2010-09-30,13.4773
2010-10-01,13.4773
2010-10-02,13.4773
2010-10-03,13.4773
2010-10-04,13.4773
2010-10-05,13.4773
2010-10-06,13.4773
2010-10-07,13.4773
2010-10-08,13.4773
2010-10-09,13.4773
2010-10-10,13.4773
2010-10-11,13.4773
2010-10-12,13.4773
2010-10-13,13.4773
2010-10-14,13.4773
2010-10-15,13.4773
2010-10-16,13.4773
2010-10-17,13.4773
2010-10-18,13.4773
2010-10-19,13.4773
2010-10-20,13.4773
2010-10-21,13.4773
2010-10-22,13.4773
2010-10-23,13.4773
2010-10-24,13.4773
2010-10-25,13.4773
2010-10-26,13.4773
2010-10-27,13.4773
2010-10-28,13.4773
2010-10-29,13.4773
2010-10-30,13.4773
2010-10-31,13.4773
2010-11-01,13.4773
2010-11-02,13.4773
2010-11-03,13.4773
2010-11-04,13.4773
2010-11-05,13.4773
2010-11-06,13.4773
2010-11-07,13.4773
2010-11-08,13.4773
2010-11-09,13.4773
2010-11-10,13.4773
2010-11-11,13.4773
2010-11-12,13.4773
2010-11-13,13.4773
2010-11-14,13.4773
2010-11-15,13.4773
2010-11-16,13.4773
2010-11-17,13.4773
2010-11-18,13.4773
2010-11-19,13.4773
2010-11-20,13.4773
2010-11-21,13.4773
2010-11-22,13.4773
2010-11-23,13.4773
2010-11-24,13.4773
2010-11-25,13.4773
2010-11-26,13.4773
2010-11-27,13.4773
2010-11-28,13.4773
2010-11-29,13.4773
2010-11-30,13.4773
2010-12-01,13.4773
2010-12-02,13.4773
2010-12-03,13.4773
2010-12-04,13.4773
2010-12-05,13.4773
2010-12-06,13.4773
2010-12-07,13.4773
2010-12-08,13.4773
2010-12-09,13.4773
2010-12-10,13.4773
2010-12-11,13.4773
2010-12-12,13.4773
2010-12-13,13.4773
2010-12-14,13.4773
2010-12-15,13.4773
2010-12-16,13.4773
2010-12-17,13.4773
2010-12-18,13.4773
2010-12-19,13.4773
2010-12-20,13.4773
2010-12-21,13.4773
2010-12-22,13.4773
2010-12-23,13.4773
2010-12-24,13.4773
2010-12-25,13.4773
2010-12-26,13.4773
2010-12-27,13.4773
2010-12-28,13.4773
2010-12-29,13.4773
2010-12-30,13.4773
2010-12-31,36.0443
2011-01-01,36.0443
2011-01-02,36.0443
2011-01-03,36.0443
2011-01-04,36.0443
2011-01-05,36.0443
2011-01-06,36.0443
2011-01-07,36.0443
2011-01-08,36.0443
2011-01-09,36.0443
2011-01-10,36.0443
2011-01-11,36.0443
2011-01-12,36.0443
2011-01-13,36.0443
2011-01-14,36.0443
2011-01-15,36.0443
2011-01-16,36.0443
2011-01-17,36.0443
2011-01-18,36.0443
2011-01-19,36.0443
2011-01-20,36.0443
2011-01-21,36.0443
2011-01-22,36.0443
2011-01-23,36.0443
2011-01-24,36.0443
2011-01-25,36.0443
2011-01-26,36.0443
2011-01-27,36.0443
2011-01-28,36.0443
2011-01-29,36.0443
2011-01-30,36.0443
2011-01-31,36.0443
2011-02-01,36.0443
2011-02-02,36.0443
2011-02-03,36.0443
2011-02-04,36.0443
2011-02-05,36.0443
2011-02-06,36.0443
2011-02-07,36.0443
2011-02-08,36.0443
2011-02-09,36.0443
2011-02-10,36.0443
2011-02-11,36.0443
2011-02-12,36.0443
2011-02-13,36.0443
2011-02-14,36.0443
2011-02-15,36.0443
2011-02-16,36.0443
2011-02-17,36.0443
2011-02-18,36.0443
2011-02-19,36.0443
2011-02-20,36.0443
2011-02-21,36.0443
2011-02-22,36.0443
2011-02-23,36.0443
2011-02-24,36.0443
2011-02-25,36.0443
2011-02-26,36.0443
2011-02-27,36.0443
2011-02-28,36.0443
2011-03-01,36.0443
2011-03-02,36.0443
2011-03-03,36.0443
2011-03-04,36.0443
2011-03-05,36.0443
2011-03-06,36.0443
2011-03-07,36.0443
2011-03-08,36.0443
2011-03-09,36.0443
2011-03-10,36.0443
2011-03-11,36.0443
2011-03-12,36.0443
2011-03-13,36.0443
2011-03-14,36.0443
2011-03-15,36.0443
2011-03-16,36.0443
2011-03-17,36.0443
2011-03-18,36.0443
2011-03-19,36.0443
2011-03-20,36.0443
2011-03-21,36.0443
2011-03-22,36.0443
2011-03-23,36.0443
2011-03-24,36.0443
2011-03-25,36.0443
2011-03-26,36.0443
2011-03-27,36.0443
2011-03-28,36.0443
2011-03-29,36.0443
2011-03-30,36.0443
2011-03-31,36.0443
2011-04-01,36.0443
2011-04-02,36.0443
2011-04-03,36.0443
2011-04-04,36.0443
2011-04-05,36.0443
2011-04-06,36.0443
2011-04-07,36.0443
2011-04-08,36.0443
2011-04-09,36.0443
2011-04-10,36.0443
2011-04-11,36.0443
2011-04-12,36.0443
2011-04-13,36.0443
2011-04-14,36.0443
2011-04-15,36.0443
2011-04-16,36.0443
2011-04-17,36.0443
2011-04-18,36.0443
2011-04-19,36.0443
2011-04-20,36.0443
2011-04-21,36.0443
2011-04-22,36.0443
2011-04-23,36.0443
2011-04-24,36.0443
2011-04-25,36.0443
2011-04-26,36.0443
2011-04-27,36.0443
2011-04-28,36.0443
2011-04-29,36.0443
2011-04-30,36.0443
2011-05-01,36.0443
2011-05-02,36.0443
2011-05-03,36.0443
2011-05-04,36.0443
2011-05-05,36.0443
2011-05-06,36.0443
2011-05-07,36.0443
2011-05-08,36.0443
2011-05-09,36.0443
2011-05-10,36.0443
2011-05-11,36.0443
2011-05-12,36.0443
2011-05-13,36.0443
2011-05-14,36.0443
2011-05-15,36.0443
2011-05-16,36.0443
2011-05-17,36.0443
2011-05-18,36.0443
2011-05-19,36.0443
2011-05-20,36.0443
2011-05-21,36.0443
2011-05-22,36.0443
2011-05-23,36.0443
2011-05-24,36.0443
2011-05-25,36.0443
2011-05-26,36.0443
2011-05-27,36.0443
2011-05-28,36.0443
2011-05-29,36.0443
2011-05-30,36.0443
2011-05-31,36.0443
2011-06-01,36.0443
2011-06-02,36.0443
2011-06-03,36.0443
2011-06-04,36.0443
2011-06-05,36.0443
2011-06-06,36.0443
2011-06-07,36.0443
2011-06-08,36.0443
2011-06-09,36.0443
2011-06-10,36.0443
2011-06-11,36.0443
2011-06-12,36.0443
2011-06-13,36.0443
2011-06-14,36.0443
2011-06-15,36.0443
2011-06-16,36.0443
2011-06-17,36.0443
2011-06-18,36.0443
2011-06-19,36.0443
2011-06-20,36.0443
2011-06-21,36.0443
2011-06-22,36.0443
2011-06-23,36.0443
2011-06-24,36.0443
2011-06-25,36.0443
2011-06-26,36.0443
2011-06-27,36.0443
2011-06-28,36.0443
2011-06-29,36.0443
2011-06-30,33.421
2011-07-01,33.421
2011-07-02,33.421
2011-07-03,33.421
2011-07-04,33.421
2011-07-05,33.421
2011-07-06,33.421
2011-07-07,33.421
2011-07-08,33.421
2011-07-09,33.421
2011-07-10,33.421
2011-07-11,33.421
2011-07-12,33.421
2011-07-13,33.421
2011-07-14,33.421
2011-07-15,33.421
2011-07-16,33.421
2011-07-17,33.421
2011-07-18,33.421
2011-07-19,33.421
2011-07-20,33.421
2011-07-21,33.421
2011-07-22,33.421
2011-07-23,33.421
2011-07-24,33.421
2011-07-25,33.421
2011-07-26,33.421
2011-07-27,33.421
2011-07-28,33.421
2011-07-29,33.421
2011-07-30,33.421
2011-07-31,33.421
2011-08-01,33.421
2011-08-02,33.421
2011-08-03,33.421
2011-08-04,33.421
2011-08-05,33.421
2011-08-06,33.421
2011-08-07,33.421
2011-08-08,33.421
2011-08-09,33.421
2011-08-10,33.421
2011-08-11,33.421
2011-08-12,33.421
2011-08-13,33.421
2011-08-14,33.421
2011-08-15,33.421
2011-08-16,33.421
2011-08-17,33.421
2011-08-18,33.421
2011-08-19,33.421
2011-08-20,33.421
2011-08-21,33.421
2011-08-22,33.421
2011-08-23,33.421
2011-08-24,33.421
2011-08-25,33.421
2011-08-26,33.421
2011-08-27,33.421
2011-08-28,33.421
2011-08-29,33.421
2011-08-30,33.421
2011-08-31,33.421
2011-09-01,33.421
2011-09-02,33.421
2011-09-03,33.421
2011-09-04,33.421
2011-09-05,33.421
2011-09-06,33.421
2011-09-07,33.421
2011-09-08,33.421
2011-09-09,33.421
2011-09-10,33.421
2011-09-11,33.421
2011-09-12,33.421
2011-09-13,33.421
2011-09-14,33.421
2011-09-15,33.421
2011-09-16,33.421
2011-09-17,33.421
2011-09-18,33.421
2011-09-19,33.421
2011-09-20,33.421
2011-09-21,33.421
2011-09-22,33.421
2011-09-23,33.421
2011-09-24,33.421
2011-09-25,33.421
2011-09-26,33.421
2011-09-27,33.421
2011-09-28,33.421
2011-09-29,33.421
2011-09-30,33.421
2011-10-01,33.421
2011-10-02,33.421
2011-10-03,33.421
2011-10-04,33.421
2011-10-05,33.421
2011-10-06,33.421
2011-10-07,33.421
2011-10-08,33.421
2011-10-09,33.421
2011-10-10,33.421
2011-10-11,33.421
2011-10-12,33.421
2011-10-13,33.421
2011-10-14,33.421
2011-10-15,33.421
2011-10-16,33.421
2011-10-17,33.421
2011-10-18,33.421
2011-10-19,33.421
2011-10-20,33.421
2011-10-21,33.421
2011-10-22,33.421
2011-10-23,33.421
2011-10-24,33.421
2011-10-25,33.421
2011-10-26,33.421
2011-10-27,33.421
2011-10-28,33.421
2011-10-29,33.421
2011-10-30,33.421
2011-10-31,33.421
2011-11-01,33.421
2011-11-02,33.421
2011-11-03,33.421
2011-11-04,33.421
2011-11-05,33.421
2011-11-06,33.421
2011-11-07,33.421
2011-11-08,33.421
2011-11-09,33.421
2011-11-10,33.421
2011-11-11,33.421
2011-11-12,33.421
2011-11-13,33.421
2011-11-14,33.421
2011-11-15,33.421
2011-11-16,33.421
2011-11-17,33.421
2011-11-18,33.421
2011-11-19,33.421
2011-11-20,33.421
2011-11-21,33.421
2011-11-22,33.421
2011-11-23,33.421
2011-11-24,33.421
2011-11-25,33.421
2011-11-26,33.421
2011-11-27,33.421
2011-11-28,33.421
2011-11-29,33.421
2011-11-30,33.421
2011-12-01,33.421
2011-12-02,33.421
2011-12-03,33.421
2011-12-04,33.421
2011-12-05,33.421
2011-12-06,33.421
2011-12-07,33.421
2011-12-08,33.421
2011-12-09,33.421
2011-12-10,33.421
2011-12-11,33.421
2011-12-12,33.421
2011-12-13,33.421
2011-12-14,33.421
2011-12-15,33.421
2011-12-16,33.421
2011-12-17,33.421
2011-12-18,33.421
2011-12-19,33.421
2011-12-20,33.421
2011-12-21,33.421
2011-12-22,33.421
2011-12-23,33.421
2011-12-24,33.421
2011-12-25,33.421
2011-12-26,33.421
2011-12-27,33.421
2011-12-28,33.421
2011-12-29,33.421
2011-12-30,33.421
2011-12-31,31.7608
2012-01-01,31.7608
2012-01-02,31.7608
2012-01-03,31.7608
2012-01-04,31.7608
2012-01-05,31.7608
2012-01-06,31.7608
2012-01-07,31.7608
2012-01-08,31.7608
2012-01-09,31.7608
2012-01-10,31.7608
2012-01-11,31.7608
2012-01-12,31.7608
2012-01-13,31.7608
2012-01-14,31.7608
2012-01-15,31.7608
2012-01-16,31.7608
2012-01-17,31.7608
2012-01-18,31.7608
2012-01-19,31.7608
2012-01-20,31.7608
2012-01-21,31.7608
2012-01-22,31.7608
2012-01-23,31.7608
2012-01-24,31.7608
2012-01-25,31.7608
2012-01-26,31.7608
2012-01-27,31.7608
2012-01-28,31.7608
2012-01-29,31.7608
2012-01-30,31.7608
2012-01-31,31.7608
2012-02-01,31.7608
2012-02-02,31.7608
2012-02-03,31.7608
2012-02-04,31.7608
2012-02-05,31.7608
2012-02-06,31.7608
2012-02-07,31.7608
2012-02-08,31.7608
2012-02-09,31.7608
2012-02-10,31.7608
2012-02-11,31.7608
2012-02-12,31.7608
2012-02-13,31.7608
2012-02-14,31.7608
2012-02-15,31.7608
2012-02-16,31.7608
2012-02-17,31.7608
2012-02-18,31.7608
2012-02-19,31.7608
2012-02-20,31.7608
2012-02-21,31.7608
2012-02-22,31.7608
2012-02-23,31.7608
2012-02-24,31.7608
2012-02-25,31.7608
2012-02-26,31.7608
2012-02-27,31.7608
2012-02-28,31.7608
2012-02-29,31.7608
2012-03-01,31.7608
2012-03-02,31.7608
2012-03-03,31.7608
2012-03-04,31.7608
2012-03-05,31.7608
2012-03-06,31.7608
2012-03-07,31.7608
2012-03-08,31.7608
2012-03-09,31.7608
2012-03-10,31.7608
2012-03-11,31.7608
2012-03-12,31.7608
2012-03-13,31.7608
2012-03-14,31.7608
2012-03-15,31.7608
2012-03-16,31.7608
2012-03-17,31.7608
2012-03-18,31.7608
2012-03-19,31.7608
2012-03-20,31.7608
2012-03-21,31.7608
2012-03-22,31.7608
2012-03-23,31.7608
2012-03-24,31.7608
2012-03-25,31.7608
2012-03-26,31.7608
2012-03-27,31.7608
2012-03-28,31.7608
2012-03-29,31.7608
2012-03-30,31.7608
2012-03-31,31.7608
2012-04-01,31.7608
2012-04-02,31.7608
2012-04-03,31.7608
2012-04-04,31.7608
2012-04-05,31.7608
2012-04-06,31.7608
2012-04-07,31.7608
2012-04-08,31.7608
2012-04-09,31.7608
2012-04-10,31.7608
2012-04-11,31.7608
2012-04-12,31.7608
2012-04-13,31.7608
2012-04-14,31.7608
2012-04-15,31.7608
2012-04-16,31.7608
2012-04-17,31.7608
2012-04-18,31.7608
2012-04-19,31.7608
2012-04-20,31.7608
2012-04-21,31.7608
2012-04-22,31.7608
2012-04-23,31.7608
2012-04-24,31.7608
2012-04-25,31.7608
2012-04-26,31.7608
2012-04-27,31.7608
2012-04-28,31.7608
2012-04-29,31.7608
2012-04-30,31.7608
2012-05-01,31.7608
2012-05-02,31.7608
2012-05-03,31.7608
2012-05-04,31.7608
2012-05-05,31.7608
2012-05-06,31.7608
2012-05-07,31.7608
2012-05-08,31.7608
2012-05-09,31.7608
2012-05-10,31.7608
2012-05-11,31.7608
2012-05-12,31.7608
2012-05-13,31.7608
2012-05-14,31.7608
2012-05-15,31.7608
2012-05-16,31.7608
2012-05-17,31.7608
2012-05-18,31.7608
2012-05-19,31.7608
2012-05-20,31.7608
2012-05-21,31.7608
2012-05-22,31.7608
2012-05-23,31.7608
2012-05-24,31.7608
2012-05-25,31.7608
2012-05-26,31.7608
2012-05-27,31.7608
2012-05-28,31.7608
2012-05-29,31.7608
2012-05-30,31.7608
2012-05-31,31.7608
2012-06-01,31.7608
2012-06-02,31.7608
2012-06-03,31.7608
2012-06-04,31.7608
2012-06-05,31.7608
2012-06-06,31.7608
2012-06-07,31.7608
2012-06-08,31.7608
2012-06-09,31.7608
2012-06-10,31.7608
2012-06-11,31.7608
2012-06-12,31.7608
2012-06-13,31.7608
2012-06-14,31.7608
2012-06-15,31.7608
2012-06-16,31.7608
2012-06-17,31.7608
2012-06-18,31.7608
2012-06-19,31.7608
2012-06-20,31.7608
2012-06-21,31.7608
2012-06-22,31.7608
2012-06-23,31.7608
2012-06-24,31.7608
2012-06-25,31.7608
2012-06-26,31.7608
2012-06-27,31.7608
2012-06-28,31.7608
2012-06-29,31.7608
2012-06-30,25.9168
2012-07-01,25.9168
2012-07-02,25.9168
2012-07-03,25.9168
2012-07-04,25.9168
2012-07-05,25.9168
2012-07-06,25.9168
2012-07-07,25.9168
2012-07-08,25.9168
2012-07-09,25.9168
2012-07-10,25.9168
2012-07-11,25.9168
2012-07-12,25.9168
2012-07-13,25.9168
2012-07-14,25.9168
2012-07-15,25.9168
2012-07-16,25.9168
2012-07-17,25.9168
2012-07-18,25.9168
2012-07-19,25.9168
2012-07-20,25.9168
2012-07-21,25.9168
2012-07-22,25.9168
2012-07-23,25.9168
2012-07-24,25.9168
2012-07-25,25.9168
2012-07-26,25.9168
2012-07-27,25.9168
2012-07-28,25.9168
2012-07-29,25.9168
2012-07-30,25.9168
2012-07-31,25.9168
2012-08-01,25.9168
2012-08-02,25.9168
2012-08-03,25.9168
2012-08-04,25.9168
2012-08-05,25.9168
2012-08-06,25.9168
2012-08-07,25.9168
2012-08-08,25.9168
2012-08-09,25.9168
2012-08-10,25.9168
2012-08-11,25.9168
2012-08-12,25.9168
2012-08-13,25.9168
2012-08-14,25.9168
2012-08-15,25.9168
2012-08-16,25.9168
2012-08-17,25.9168
2012-08-18,25.9168
2012-08-19,25.9168
2012-08-20,25.9168
2012-08-21,25.9168
2012-08-22,25.9168
2012-08-23,25.9168
2012-08-24,25.9168
2012-08-25,25.9168
2012-08-26,25.9168
2012-08-27,25.9168
2012-08-28,25.9168
2012-08-29,25.9168
2012-08-30,25.9168
2012-08-31,25.9168
2012-09-01,25.9168
2012-09-02,25.9168
2012-09-03,25.9168
2012-09-04,25.9168
2012-09-05,25.9168
2012-09-06,25.9168
2012-09-07,25.9168
2012-09-08,25.9168
2012-09-09,25.9168
2012-09-10,25.9168
2012-09-11,25.9168
2012-09-12,25.9168
2012-09-13,25.9168
2012-09-14,25.9168
2012-09-15,25.9168
2012-09-16,25.9168
2012-09-17,25.9168
2012-09-18,25.9168
2012-09-19,25.9168
2012-09-20,25.9168
2012-09-21,25.9168
2012-09-22,25.9168
2012-09-23,25.9168
2012-09-24,25.9168
2012-09-25,25.9168
2012-09-26,25.9168
2012-09-27,25.9168
2012-09-28,25.9168
2012-09-29,25.9168
2012-09-30,25.9168
2012-10-01,25.9168
2012-10-02,25.9168
2012-10-03,25.9168
2012-10-04,25.9168
2012-10-05,25.9168
2012-10-06,25.9168
2012-10-07,25.9168
2012-10-08,25.9168
2012-10-09,25.9168
2012-10-10,25.9168
2012-10-11,25.9168
2012-10-12,25.9168
2012-10-13,25.9168
2012-10-14,25.9168
2012-10-15,25.9168
2012-10-16,25.9168
2012-10-17,25.9168
2012-10-18,25.9168
2012-10-19,25.9168
2012-10-20,25.9168
2012-10-21,25.9168
2012-10-22,25.9168
2012-10-23,25.9168
2012-10-24,25.9168
2012-10-25,25.9168
2012-10-26,25.9168
2012-10-27,25.9168
2012-10-28,25.9168
2012-10-29,25.9168
2012-10-30,25.9168
2012-10-31,25.9168
2012-11-01,25.9168
2012-11-02,25.9168
2012-11-03,25.9168
2012-11-04,25.9168
2012-11-05,25.9168
2012-11-06,25.9168
2012-11-07,25.9168
2012-11-08,25.9168
2012-11-09,25.9168
2012-11-10,25.9168
2012-11-11,25.9168
2012-11-12,25.9168
2012-11-13,25.9168
2012-11-14,25.9168
2012-11-15,25.9168
2012-11-16,25.9168
2012-11-17,25.9168
2012-11-18,25.9168
2012-11-19,25.9168
2012-11-20,25.9168
2012-11-21,25.9168
2012-11-22,25.9168
2012-11-23,25.9168
2012-11-24,25.9168
2012-11-25,25.9168
2012-11-26,25.9168
2012-11-27,25.9168
2012-11-28,25.9168
2012-11-29,25.9168
2012-11-30,25.9168
2012-12-01,25.9168
2012-12-02,25.9168
2012-12-03,25.9168
2012-12-04,25.9168
2012-12-05,25.9168
2012-12-06,25.9168
2012-12-07,25.9168
2012-12-08,25.9168
2012-12-09,25.9168
2012-12-10,25.9168
2012-12-11,25.9168
2012-12-12,25.9168
2012-12-13,25.9168
2012-12-14,25.9168
2012-12-15,25.9168
2012-12-16,25.9168
2012-12-17,25.9168
2012-12-18,25.9168
2012-12-19,25.9168
2012-12-20,25.9168
2012-12-21,25.9168
2012-12-22,25.9168
2012-12-23,25.9168
2012-12-24,25.9168
2012-12-25,25.9168
2012-12-26,25.9168
2012-12-27,25.9168
2012-12-28,25.9168
2012-12-29,25.9168
2012-12-30,25.9168
2012-12-31,19.9991
2013-01-01,19.9991
2013-01-02,19.9991
2013-01-03,19.9991
2013-01-04,19.9991
2013-01-05,19.9991
2013-01-06,19.9991
2013-01-07,19.9991
2013-01-08,19.9991
2013-01-09,19.9991
2013-01-10,19.9991
2013-01-11,19.9991
2013-01-12,19.9991
2013-01-13,19.9991
2013-01-14,19.9991
2013-01-15,19.9991
2013-01-16,19.9991
2013-01-17,19.9991
2013-01-18,19.9991
2013-01-19,19.9991
2013-01-20,19.9991
2013-01-21,19.9991
2013-01-22,19.9991
2013-01-23,19.9991
2013-01-24,19.9991
2013-01-25,19.9991
2013-01-26,19.9991
2013-01-27,19.9991
2013-01-28,19.9991
2013-01-29,19.9991
2013-01-30,19.9991
2013-01-31,19.9991
2013-02-01,19.9991
2013-02-02,19.9991
2013-02-03,19.9991
2013-02-04,19.9991
2013-02-05,19.9991
2013-02-06,19.9991
2013-02-07,19.9991
2013-02-08,19.9991
2013-02-09,19.9991
2013-02-10,19.9991
2013-02-11,19.9991
2013-02-12,19.9991
2013-02-13,19.9991
2013-02-14,19.9991
2013-02-15,19.9991
2013-02-16,19.9991
2013-02-17,19.9991
2013-02-18,19.9991
2013-02-19,19.9991
2013-02-20,19.9991
2013-02-21,19.9991
2013-02-22,19.9991
2013-02-23,19.9991
2013-02-24,19.9991
2013-02-25,19.9991
2013-02-26,19.9991
2013-02-27,19.9991
2013-02-28,19.9991
2013-03-01,19.9991
2013-03-02,19.9991
2013-03-03,19.9991
2013-03-04,19.9991
2013-03-05,19.9991
2013-03-06,19.9991
2013-03-07,19.9991
2013-03-08,19.9991
2013-03-09,19.9991
2013-03-10,19.9991
2013-03-11,19.9991
2013-03-12,19.9991
2013-03-13,19.9991
2013-03-14,19.9991
2013-03-15,19.9991
2013-03-16,19.9991
2013-03-17,19.9991
2013-03-18,19.9991
2013-03-19,19.9991
2013-03-20,19.9991
2013-03-21,19.9991
2013-03-22,19.9991
2013-03-23,19.9991
2013-03-24,19.9991
