,NETB SS Equity,NETB SS Equity,NETB SS Equity,NETB SS Equity,NETB SS Equity
2010-04-16,9.7895,10.054,9.7895,9.8482,527250.0
2010-04-17,9.7895,10.054,9.7895,9.8482,527250.0
2010-04-18,9.7895,10.054,9.7895,9.8482,527250.0
2010-04-19,9.6719,9.8482,9.6425,9.6719,134886.0
2010-04-20,9.8828,10.0334,9.8828,9.9129,161196.0
2010-04-21,9.8828,9.9129,9.6719,9.702,364476.0
2010-04-22,9.9129,10.1238,9.7924,9.8526,620574.0
2010-04-23,9.8526,10.0334,9.702,9.7924,267360.0
2010-04-24,9.8526,10.0334,9.702,9.7924,267360.0
2010-04-25,9.8526,10.0334,9.702,9.7924,267360.0
2010-04-26,9.8225,9.943,9.2802,9.702,352014.0
2010-04-27,9.702,9.702,9.2802,9.2802,386586.0
2010-04-28,9.1295,9.5815,9.0994,9.3706,435234.0
2010-04-29,9.4007,10.0033,9.4007,9.702,332976.0
2010-04-30,9.9129,9.9129,9.6417,9.6417,29094.0
2010-05-01,9.9129,9.9129,9.6417,9.6417,29094.0
2010-05-02,9.9129,9.9129,9.6417,9.6417,29094.0
2010-05-03,9.6417,9.7623,9.4308,9.7623,224940.0
2010-05-04,9.7623,9.7623,9.3103,9.6719,115692.0
2010-05-05,9.4007,9.4911,9.1898,9.3103,369108.0
2010-05-06,9.1295,9.4007,8.8583,8.9186,444636.0
2010-05-07,8.4968,8.7981,8.0448,8.316,785712.0
2010-05-08,8.4968,8.7981,8.0448,8.316,785712.0
2010-05-09,8.4968,8.7981,8.0448,8.316,785712.0
2010-05-10,8.3763,9.4308,8.3763,9.0693,493794.0
2010-05-11,9.3103,9.3404,8.7378,8.9186,354282.0
2010-05-12,8.7378,9.3404,8.7378,9.3404,74094.0
2010-05-13,8.7378,9.3404,8.7378,9.3404,74094.0
2010-05-14,9.4007,9.4007,8.7679,9.0391,97680.0
2010-05-15,9.4007,9.4007,8.7679,9.0391,97680.0
2010-05-16,9.4007,9.4007,8.7679,9.0391,97680.0
2010-05-17,9.0994,9.0994,8.5269,9.0994,131700.0
2010-05-18,8.8583,9.4007,8.7077,9.25,204516.0
2010-05-19,9.2199,9.4007,8.7981,8.8583,166752.0
2010-05-20,8.9186,8.9789,8.557,8.7378,358320.0
2010-05-21,8.6776,9.1596,8.6173,9.0391,1274784.0
2010-05-22,8.6776,9.1596,8.6173,9.0391,1274784.0
2010-05-23,8.6776,9.1596,8.6173,9.0391,1274784.0
2010-05-24,9.3706,9.4007,8.9186,8.9186,125412.0
2010-05-25,8.7981,8.8282,8.075,8.557,193938.0
2010-05-26,8.6173,9.1596,8.6173,9.0391,306486.0
2010-05-27,8.9789,9.0391,8.8282,9.0391,74250.0
2010-05-28,9.0391,9.0391,8.7679,8.7679,103122.0
2010-05-29,9.0391,9.0391,8.7679,8.7679,103122.0
2010-05-30,9.0391,9.0391,8.7679,8.7679,103122.0
2010-05-31,9.0391,9.0391,8.9186,8.9789,23268.0
2010-06-01,9.0994,9.0994,9.009,9.0391,48810.0
2010-06-02,9.0391,9.0391,8.4365,8.8583,124902.0
2010-06-03,8.7378,9.0391,8.7378,9.0391,74694.0
2010-06-04,9.0391,9.0391,8.6173,8.6173,97224.0
2010-06-05,9.0391,9.0391,8.6173,8.6173,97224.0
2010-06-06,9.0391,9.0391,8.6173,8.6173,97224.0
2010-06-07,8.7378,9.009,8.316,8.7679,107904.0
2010-06-08,9.0391,9.0391,8.7981,8.8885,64632.0
2010-06-09,8.9186,8.9186,8.7077,8.7378,25092.0
2010-06-10,8.7981,9.1295,8.7981,9.0994,70590.0
2010-06-11,9.0994,9.0994,8.7077,8.9789,25230.0
2010-06-12,9.0994,9.0994,8.7077,8.9789,25230.0
2010-06-13,9.0994,9.0994,8.7077,8.9789,25230.0
2010-06-14,9.0693,9.0693,8.7077,8.8282,75852.0
2010-06-15,8.8282,8.8282,8.6776,8.7679,138006.0
2010-06-16,8.7981,8.7981,8.7378,8.7981,25230.0
2010-06-17,8.6776,8.7981,8.6776,8.7378,59490.0
2010-06-18,8.7378,8.7981,8.6776,8.7679,36960.0
2010-06-19,8.7378,8.7981,8.6776,8.7679,36960.0
2010-06-20,8.7378,8.7981,8.6776,8.7679,36960.0
2010-06-21,8.7679,8.7679,8.557,8.6173,36750.0
2010-06-22,8.8282,8.8282,8.4365,8.7077,100116.0
2010-06-23,8.6776,8.8885,8.6173,8.7077,70098.0
2010-06-24,8.7981,8.7981,8.4666,8.557,105120.0
2010-06-25,8.7981,8.7981,8.4666,8.557,105120.0
2010-06-26,8.7981,8.7981,8.4666,8.557,105120.0
2010-06-27,8.7981,8.7981,8.4666,8.557,105120.0
2010-06-28,8.557,8.557,8.1653,8.316,189648.0
2010-06-29,8.316,8.316,8.1653,8.1955,33768.0
2010-06-30,8.1051,8.4365,8.075,8.1955,207378.0
2010-07-01,8.1955,8.2256,7.8339,7.8339,162864.0
2010-07-02,8.1955,8.1955,7.864,8.075,24174.0
2010-07-03,8.1955,8.1955,7.864,8.075,24174.0
2010-07-04,8.1955,8.1955,7.864,8.075,24174.0
2010-07-05,8.1955,8.316,8.1352,8.1955,51624.0
2010-07-06,8.0448,8.2557,8.0448,8.1653,55164.0
2010-07-07,7.9846,8.1955,7.9846,8.1653,38994.0
2010-07-08,8.1955,8.1955,7.8942,8.0147,93258.0
2010-07-09,7.9544,8.2557,7.9243,8.0147,45612.0
2010-07-10,7.9544,8.2557,7.9243,8.0147,45612.0
2010-07-11,7.9544,8.2557,7.9243,8.0147,45612.0
2010-07-12,8.0147,8.2859,7.5929,7.7134,237330.0
2010-07-13,7.7134,8.2557,7.6531,8.1352,145530.0
2010-07-14,8.075,8.316,7.9544,7.9846,231408.0
2010-07-15,7.9243,8.0448,7.8339,8.0448,66312.0
2010-07-16,8.0448,8.0448,7.7435,7.7435,40416.0
2010-07-17,8.0448,8.0448,7.7435,7.7435,40416.0
2010-07-18,8.0448,8.0448,7.7435,7.7435,40416.0
2010-07-19,7.8339,7.9544,7.7736,7.9243,58248.0
2010-07-20,7.9243,7.9544,7.5929,7.5929,7812.0
2010-07-21,7.9544,7.9544,7.4121,7.5326,106674.0
2010-07-22,7.7736,7.7736,7.2313,7.5025,115290.0
2010-07-23,7.3518,7.3518,7.1108,7.1108,116514.0
2010-07-24,7.3518,7.3518,7.1108,7.1108,116514.0
2010-07-25,7.3518,7.3518,7.1108,7.1108,116514.0
2010-07-26,7.3518,7.5326,7.2916,7.382,336858.0
2010-07-27,7.4723,7.6531,7.4723,7.6531,210954.0
2010-07-28,7.6833,7.7736,7.6833,7.7736,46014.0
2010-07-29,7.7736,7.9544,7.6531,7.8942,191340.0
2010-07-30,7.8942,7.8942,7.623,7.7736,112314.0
2010-07-31,7.8942,7.8942,7.623,7.7736,112314.0
2010-08-01,7.8942,7.8942,7.623,7.7736,112314.0
2010-08-02,7.623,7.7736,7.5929,7.7134,75090.0
2010-08-03,7.5929,7.7435,7.5929,7.7134,114378.0
2010-08-04,7.7134,7.7134,7.4723,7.6531,62886.0
2010-08-05,7.6531,7.6531,7.4121,7.4121,126396.0
2010-08-06,7.3518,7.4121,7.0505,7.2614,356328.0
2010-08-07,7.3518,7.4121,7.0505,7.2614,356328.0
2010-08-08,7.3518,7.4121,7.0505,7.2614,356328.0
2010-08-09,7.1108,7.2313,6.9601,7.0505,246192.0
2010-08-10,7.0505,7.0505,6.7492,6.8697,564342.0
2010-08-11,6.8095,6.9903,6.8095,6.8095,135120.0
2010-08-12,6.8396,6.8697,6.7793,6.7793,148662.0
2010-08-13,6.7492,6.8697,6.6287,6.7492,236388.0
2010-08-14,6.7492,6.8697,6.6287,6.7492,236388.0
2010-08-15,6.7492,6.8697,6.6287,6.7492,236388.0
2010-08-16,6.6287,6.7793,6.6287,6.6287,185436.0
2010-08-17,6.6287,6.7191,6.478,6.6588,206538.0
2010-08-18,6.6287,6.6287,6.1767,6.4479,337890.0
2010-08-19,6.4178,6.5082,6.2671,6.2671,241890.0
2010-08-20,6.237,6.6287,6.1767,6.478,214272.0
2010-08-21,6.237,6.6287,6.1767,6.478,214272.0
2010-08-22,6.237,6.6287,6.1767,6.478,214272.0
2010-08-23,6.5082,6.7492,6.5082,6.5684,125358.0
2010-08-24,6.5684,6.5684,6.2671,6.3876,95022.0
2010-08-25,6.3876,6.4479,6.2973,6.4479,56820.0
2010-08-26,6.8095,6.9903,6.6588,6.7492,974742.0
2010-08-27,6.7191,6.8396,6.4479,6.8396,1427184.0
2010-08-28,6.7191,6.8396,6.4479,6.8396,1427184.0
2010-08-29,6.7191,6.8396,6.4479,6.8396,1427184.0
2010-08-30,6.9601,6.9601,6.7492,6.8697,357732.0
2010-08-31,6.8095,7.0204,6.8095,7.0204,304026.0
2010-09-01,7.0505,7.3518,7.0505,7.2614,224268.0
2010-09-02,7.1409,7.5929,7.1409,7.5929,331740.0
2010-09-03,7.5929,7.8339,7.4723,7.7134,261072.0
2010-09-04,7.5929,7.8339,7.4723,7.7134,261072.0
2010-09-05,7.5929,7.8339,7.4723,7.7134,261072.0
2010-09-06,7.7134,7.8038,7.2614,7.5025,323244.0
2010-09-07,7.5929,7.6531,7.4723,7.5326,62526.0
2010-09-08,7.5326,7.5326,7.4723,7.5025,71700.0
2010-09-09,7.5025,7.6833,7.4723,7.5929,180450.0
2010-09-10,7.623,7.623,7.5025,7.5627,59754.0
2010-09-11,7.623,7.623,7.5025,7.5627,59754.0
2010-09-12,7.623,7.623,7.5025,7.5627,59754.0
2010-09-13,7.5929,7.8339,7.4121,7.8339,292320.0
2010-09-14,7.8339,7.8339,7.5929,7.623,542610.0
2010-09-15,7.5929,7.7134,7.5929,7.6531,93102.0
2010-09-16,7.6531,7.7736,7.5326,7.7435,74760.0
2010-09-17,7.7736,7.7736,7.6531,7.7134,40116.0
2010-09-18,7.7736,7.7736,7.6531,7.7134,40116.0
2010-09-19,7.7736,7.7736,7.6531,7.7134,40116.0
2010-09-20,7.8339,7.864,7.7134,7.7134,15480.0
2010-09-21,7.7134,7.7134,7.5627,7.6531,206016.0
2010-09-22,7.6531,7.6531,7.2313,7.4121,155676.0
2010-09-23,7.4121,7.4121,7.2012,7.2916,107592.0
2010-09-24,7.2916,7.4121,7.2313,7.2614,112002.0
2010-09-25,7.2916,7.4121,7.2313,7.2614,112002.0
2010-09-26,7.2916,7.4121,7.2313,7.2614,112002.0
2010-09-27,7.2614,7.4121,7.2614,7.2916,191076.0
2010-09-28,7.4121,7.4121,7.0806,7.3518,33516.0
2010-09-29,7.3518,7.4723,7.3518,7.4723,66528.0
2010-09-30,7.5326,7.7134,7.5326,7.5929,128316.0
2010-10-01,7.8339,8.075,7.7736,7.8038,235518.0
2010-10-02,7.8339,8.075,7.7736,7.8038,235518.0
2010-10-03,7.8339,8.075,7.7736,7.8038,235518.0
2010-10-04,7.9544,8.2256,7.7736,8.1051,738108.0
2010-10-05,8.1955,8.2859,8.075,8.075,695850.0
2010-10-06,8.2557,8.2557,8.0147,8.1352,347262.0
2010-10-07,8.1955,8.4064,8.1352,8.3763,694524.0
2010-10-08,8.4365,8.4365,8.2557,8.4064,84522.0
2010-10-09,8.4365,8.4365,8.2557,8.4064,84522.0
2010-10-10,8.4365,8.4365,8.2557,8.4064,84522.0
2010-10-11,8.4064,8.4064,8.075,8.316,104172.0
2010-10-12,8.1955,8.2859,8.1051,8.2557,87858.0
2010-10-13,8.2557,8.2557,8.0147,8.2557,85362.0
2010-10-14,8.2557,8.2557,8.075,8.1051,45648.0
2010-10-15,8.1051,8.2557,8.1051,8.1352,77490.0
2010-10-16,8.1051,8.2557,8.1051,8.1352,77490.0
2010-10-17,8.1051,8.2557,8.1051,8.1352,77490.0
2010-10-18,8.1352,8.2557,8.1352,8.1955,123024.0
2010-10-19,8.2859,8.4064,8.1653,8.3461,188616.0
2010-10-20,8.316,8.557,8.2859,8.4666,166080.0
2010-10-21,8.4365,8.6173,8.3763,8.5269,278184.0
2010-10-22,8.4365,8.557,8.2859,8.2859,79314.0
2010-10-23,8.4365,8.557,8.2859,8.2859,79314.0
2010-10-24,8.4365,8.557,8.2859,8.2859,79314.0
2010-10-25,8.557,8.557,8.1955,8.2256,108222.0
2010-10-26,8.4064,8.4064,7.8942,8.2557,102216.0
2010-10-27,8.2256,8.2557,7.9544,8.1051,222276.0
2010-10-28,8.1352,8.557,8.1352,8.4968,383742.0
2010-10-29,8.557,8.7679,8.4968,8.7679,107484.0
2010-10-30,8.557,8.7679,8.4968,8.7679,107484.0
2010-10-31,8.557,8.7679,8.4968,8.7679,107484.0
2010-11-01,8.7981,9.0391,8.7981,9.0391,201912.0
2010-11-02,9.0391,9.0693,8.9186,9.0693,450864.0
2010-11-03,8.8885,9.1596,8.7981,8.9789,257562.0
2010-11-04,8.7981,9.0391,8.7077,8.8282,115374.0
2010-11-05,8.7981,8.8282,8.5269,8.7378,36876.0
2010-11-06,8.7981,8.8282,8.5269,8.7378,36876.0
2010-11-07,8.7981,8.8282,8.5269,8.7378,36876.0
2010-11-08,8.4666,8.7981,8.4365,8.5872,344046.0
2010-11-09,8.7378,8.7378,8.3461,8.6474,341106.0
2010-11-10,8.6474,8.6776,8.4666,8.557,59832.0
2010-11-11,8.5872,8.6173,8.3763,8.4365,117876.0
2010-11-12,8.316,8.557,8.1955,8.4666,39192.0
2010-11-13,8.316,8.557,8.1955,8.4666,39192.0
2010-11-14,8.316,8.557,8.1955,8.4666,39192.0
2010-11-15,8.4666,8.5872,8.4666,8.4968,11154.0
2010-11-16,8.4968,8.5872,8.3461,8.5269,93816.0
2010-11-17,8.4968,8.557,8.316,8.4064,188442.0
2010-11-18,8.2859,8.557,7.6531,8.316,186378.0
2010-11-19,8.316,8.3763,8.1352,8.2557,145770.0
2010-11-20,8.316,8.3763,8.1352,8.2557,145770.0
2010-11-21,8.316,8.3763,8.1352,8.2557,145770.0
2010-11-22,8.075,8.2557,8.075,8.1955,74940.0
2010-11-23,8.2859,8.2859,7.8942,7.8942,200082.0
2010-11-24,8.1955,8.1955,7.9544,8.075,78132.0
2010-11-25,8.075,8.2859,8.075,8.1653,62628.0
2010-11-26,8.075,8.2256,7.8942,7.8942,304638.0
2010-11-27,8.075,8.2256,7.8942,7.8942,304638.0
2010-11-28,8.075,8.2256,7.8942,7.8942,304638.0
2010-11-29,8.1352,8.1955,7.8339,7.864,114720.0
2010-11-30,7.8339,8.1653,7.8339,7.9846,158514.0
2010-12-01,8.2859,8.2859,7.864,8.1352,221664.0
2010-12-02,8.075,8.2557,7.9544,8.0147,133710.0
2010-12-03,7.8942,7.9544,7.7134,7.9243,582420.0
2010-12-04,7.8942,7.9544,7.7134,7.9243,582420.0
2010-12-05,7.8942,7.9544,7.7134,7.9243,582420.0
2010-12-06,7.9243,7.9243,7.8038,7.8038,273588.0
2010-12-07,7.8038,8.075,7.8038,7.9544,408594.0
2010-12-08,7.9544,8.1955,7.8339,7.8339,658236.0
2010-12-09,8.0147,8.075,7.864,7.9544,353736.0
2010-12-10,7.9846,8.1653,7.8942,7.9544,236568.0
2010-12-11,7.9846,8.1653,7.8942,7.9544,236568.0
2010-12-12,7.9846,8.1653,7.8942,7.9544,236568.0
2010-12-13,7.9544,8.1653,7.9544,8.1051,269220.0
2010-12-14,8.075,8.316,7.9544,8.1653,316500.0
2010-12-15,8.3763,8.3763,7.9243,8.1051,248496.0
2010-12-16,8.1051,8.1051,7.8339,7.9544,181812.0
2010-12-17,8.0147,8.0147,7.8942,8.0147,193080.0
2010-12-18,8.0147,8.0147,7.8942,8.0147,193080.0
2010-12-19,8.0147,8.0147,7.8942,8.0147,193080.0
2010-12-20,7.9544,8.1955,7.864,8.1955,1088802.0
2010-12-21,8.1352,8.1352,7.9544,8.0448,157440.0
2010-12-22,7.9544,8.1051,7.9544,8.075,292140.0
2010-12-23,8.075,8.1955,7.9544,8.075,168840.0
2010-12-24,8.075,8.1955,7.9544,8.075,168840.0
2010-12-25,8.075,8.1955,7.9544,8.075,168840.0
2010-12-26,8.075,8.1955,7.9544,8.075,168840.0
2010-12-27,8.1955,8.6173,8.1352,8.3763,418878.0
2010-12-28,8.4064,8.4064,8.1653,8.1955,328968.0
2010-12-29,8.2256,8.3763,8.2256,8.3763,148002.0
2010-12-30,8.3763,8.4365,8.2557,8.4365,75246.0
2010-12-31,8.3763,8.4365,8.2557,8.4365,75246.0
2011-01-01,8.3763,8.4365,8.2557,8.4365,75246.0
2011-01-02,8.3763,8.4365,8.2557,8.4365,75246.0
2011-01-03,8.4365,8.4968,8.4064,8.4666,127608.0
2011-01-04,8.4365,8.4968,8.2859,8.4968,525342.0
2011-01-05,8.4968,8.4968,8.3763,8.4365,102258.0
2011-01-06,8.4968,8.4968,8.3763,8.4365,102258.0
2011-01-07,8.4365,8.4365,8.0147,8.1051,285204.0
2011-01-08,8.4365,8.4365,8.0147,8.1051,285204.0
2011-01-09,8.4365,8.4365,8.0147,8.1051,285204.0
2011-01-10,8.1352,8.1955,8.075,8.075,115086.0
2011-01-11,8.1051,8.3461,8.1051,8.316,187722.0
2011-01-12,8.316,8.6173,8.2256,8.4365,728082.0
2011-01-13,8.557,8.5872,8.316,8.3763,330258.0
2011-01-14,8.4365,8.4365,8.1955,8.2557,144450.0
2011-01-15,8.4365,8.4365,8.1955,8.2557,144450.0
2011-01-16,8.4365,8.4365,8.1955,8.2557,144450.0
2011-01-17,8.2557,8.3461,8.1955,8.2859,127470.0
2011-01-18,8.316,8.4365,8.316,8.3763,180276.0
2011-01-19,8.4365,8.557,8.316,8.316,253884.0
2011-01-20,8.4666,8.4666,7.623,8.316,182310.0
2011-01-21,8.316,8.4365,8.2859,8.4365,108978.0
2011-01-22,8.316,8.4365,8.2859,8.4365,108978.0
2011-01-23,8.316,8.4365,8.2859,8.4365,108978.0
2011-01-24,8.4968,8.557,8.2859,8.2859,47940.0
2011-01-25,8.316,8.4365,8.075,8.1653,92730.0
2011-01-26,8.1955,8.2859,7.9846,8.075,192888.0
2011-01-27,8.0448,8.075,7.9544,8.0448,98034.0
2011-01-28,8.0147,8.075,7.8942,8.075,122484.0
2011-01-29,8.0147,8.075,7.8942,8.075,122484.0
2011-01-30,8.0147,8.075,7.8942,8.075,122484.0
2011-01-31,7.9544,7.9544,7.623,7.7134,186336.0
2011-02-01,7.7134,7.7134,7.5627,7.7134,230454.0
2011-02-02,7.7134,7.7134,7.4723,7.5929,193284.0
2011-02-03,7.6531,7.8339,7.4723,7.7736,559038.0
2011-02-04,7.7736,8.075,7.7134,7.9846,230724.0
2011-02-05,7.7736,8.075,7.7134,7.9846,230724.0
2011-02-06,7.7736,8.075,7.7134,7.9846,230724.0
2011-02-07,8.0147,8.316,8.0147,8.2557,321522.0
2011-02-08,8.2557,8.4365,8.1955,8.2256,207960.0
2011-02-09,8.1352,8.316,7.9544,8.1352,157272.0
2011-02-10,7.8339,7.9544,7.4723,7.7134,369384.0
2011-02-11,7.7435,8.1352,7.7435,7.9544,496812.0
2011-02-12,7.7435,8.1352,7.7435,7.9544,496812.0
2011-02-13,7.7435,8.1352,7.7435,7.9544,496812.0
2011-02-14,8.1653,8.316,8.0147,8.075,509214.0
2011-02-15,7.9243,8.0448,7.8038,7.8339,504720.0
2011-02-16,7.8339,7.8942,7.7736,7.7736,300294.0
2011-02-17,7.8339,7.8942,7.5929,7.623,1100574.0
2011-02-18,7.5929,7.8339,7.5929,7.8038,164844.0
2011-02-19,7.5929,7.8339,7.5929,7.8038,164844.0
2011-02-20,7.5929,7.8339,7.5929,7.8038,164844.0
2011-02-21,7.8339,7.8339,7.5929,7.7134,262806.0
2011-02-22,7.7134,7.7134,7.5025,7.5929,226332.0
2011-02-23,7.7435,7.8038,7.5326,7.5326,314976.0
2011-02-24,7.5326,7.7134,7.4723,7.6531,592752.0
2011-02-25,7.6833,7.6833,7.4723,7.5326,150084.0
2011-02-26,7.6833,7.6833,7.4723,7.5326,150084.0
2011-02-27,7.6833,7.6833,7.4723,7.5326,150084.0
2011-02-28,7.4723,7.5929,7.3518,7.5025,704520.0
2011-03-01,7.4723,7.5627,7.3518,7.3518,275106.0
2011-03-02,7.382,7.4422,7.2313,7.2916,1955268.0
2011-03-03,7.3518,7.382,7.2313,7.3217,512088.0
2011-03-04,7.3217,7.382,7.3217,7.3518,141372.0
2011-03-05,7.3217,7.382,7.3217,7.3518,141372.0
2011-03-06,7.3217,7.382,7.3217,7.3518,141372.0
2011-03-07,7.3518,7.5025,7.2012,7.2313,1006884.0
2011-03-08,7.2313,7.4422,7.2012,7.4422,790002.0
2011-03-09,7.4723,7.5929,7.4121,7.5025,401010.0
2011-03-10,7.5627,7.623,7.382,7.623,603618.0
2011-03-11,7.0204,7.0806,6.689,6.9601,2102772.0
2011-03-12,7.0204,7.0806,6.689,6.9601,2102772.0
2011-03-13,7.0204,7.0806,6.689,6.9601,2102772.0
2011-03-14,6.8697,7.1409,6.7793,7.0505,494574.0
2011-03-15,7.0505,7.2313,6.689,7.2313,831144.0
