,DWNI GR Equity,DWNI GR Equity,DWNI GR Equity,DWNI GR Equity,DWNI GR Equity
2010-04-16,5.412,5.51,5.406,5.454,50967.0
2010-04-17,5.412,5.51,5.406,5.454,50967.0
2010-04-18,5.412,5.51,5.406,5.454,50967.0
2010-04-19,5.502,5.524,5.337,5.353,150055.0
2010-04-20,5.369,5.501,5.337,5.445,101268.0
2010-04-21,5.44,5.509,5.363,5.509,70110.0
2010-04-22,5.432,5.524,5.173,5.209,156592.0
2010-04-23,5.229,5.375,5.152,5.322,81117.0
2010-04-24,5.229,5.375,5.152,5.322,81117.0
2010-04-25,5.229,5.375,5.152,5.322,81117.0
2010-04-26,5.322,5.402,5.234,5.267,98055.0
2010-04-27,5.214,5.326,5.076,5.113,270937.0
2010-04-28,5.001,5.225,5.001,5.039,355938.0
2010-04-29,5.001,5.213,5.001,5.207,65921.0
2010-04-30,5.161,5.225,5.001,5.001,79791.0
2010-05-01,5.161,5.225,5.001,5.001,79791.0
2010-05-02,5.161,5.225,5.001,5.001,79791.0
2010-05-03,5.001,5.181,4.992,5.151,61713.0
2010-05-04,5.198,5.222,5.001,5.046,113890.0
2010-05-05,5.046,5.127,4.949,4.964,196312.0
2010-05-06,4.927,5.024,4.852,4.893,191725.0
2010-05-07,4.845,4.937,4.643,4.685,222524.0
2010-05-08,4.845,4.937,4.643,4.685,222524.0
2010-05-09,4.845,4.937,4.643,4.685,222524.0
2010-05-10,4.927,5.044,4.84,4.986,166481.0
2010-05-11,4.942,5.068,4.852,5.031,140439.0
2010-05-12,4.97,5.225,4.963,5.222,179757.0
2010-05-13,5.163,5.225,5.114,5.225,55146.0
2010-05-14,5.117,5.222,5.039,5.039,140757.0
2010-05-15,5.117,5.222,5.039,5.039,140757.0
2010-05-16,5.117,5.222,5.039,5.039,140757.0
2010-05-17,5.039,5.225,4.98,5.152,95346.0
2010-05-18,5.113,5.225,5.106,5.218,142551.0
2010-05-19,5.113,5.21,4.942,5.024,164297.0
2010-05-20,4.934,5.109,4.83,4.99,273106.0
2010-05-21,4.986,5.076,4.804,4.848,201452.0
2010-05-22,4.986,5.076,4.804,4.848,201452.0
2010-05-23,4.986,5.076,4.804,4.848,201452.0
2010-05-24,4.807,5.009,4.771,4.81,101706.0
2010-05-25,4.695,4.866,4.576,4.576,176989.0
2010-05-26,4.583,4.813,4.58,4.747,346421.0
2010-05-27,4.66,4.826,4.66,4.815,249106.0
2010-05-28,4.748,4.852,4.712,4.771,301457.0
2010-05-29,4.748,4.852,4.712,4.771,301457.0
2010-05-30,4.748,4.852,4.712,4.771,301457.0
2010-05-31,4.837,4.882,4.803,4.882,306052.0
2010-06-01,4.852,5.061,4.804,5.061,188390.0
2010-06-02,4.919,5.054,4.904,5.043,140719.0
2010-06-03,4.95,5.076,4.944,4.986,75839.0
2010-06-04,4.904,4.992,4.673,4.763,311160.0
2010-06-05,4.904,4.992,4.673,4.763,311160.0
2010-06-06,4.904,4.992,4.673,4.763,311160.0
2010-06-07,4.718,4.733,4.591,4.636,134907.0
2010-06-08,4.613,4.654,4.498,4.591,495927.0
2010-06-09,4.516,4.786,4.504,4.703,174587.0
2010-06-10,4.661,4.779,4.63,4.766,188701.0
2010-06-11,4.722,4.819,4.665,4.776,163700.0
2010-06-12,4.722,4.819,4.665,4.776,163700.0
2010-06-13,4.722,4.819,4.665,4.776,163700.0
2010-06-14,4.692,4.896,4.692,4.893,254955.0
2010-06-15,4.779,4.912,4.779,4.86,236000.0
2010-06-16,4.819,4.942,4.815,4.852,182890.0
2010-06-17,4.882,5.001,4.803,4.978,152281.0
2010-06-18,4.912,5.106,4.912,4.927,282892.0
2010-06-19,4.912,5.106,4.912,4.927,282892.0
2010-06-20,4.912,5.106,4.912,4.927,282892.0
2010-06-21,4.98,5.076,4.869,4.945,124045.0
2010-06-22,4.854,4.919,4.755,4.755,268380.0
2010-06-23,4.751,5.001,4.751,4.926,349858.0
2010-06-24,4.88,4.975,4.673,4.789,209987.0
2010-06-25,4.77,4.942,4.725,4.809,421206.0
2010-06-26,4.77,4.942,4.725,4.809,421206.0
2010-06-27,4.77,4.942,4.725,4.809,421206.0
2010-06-28,4.807,4.981,4.765,4.927,183782.0
2010-06-29,4.907,4.927,4.701,4.745,213345.0
2010-06-30,4.701,4.848,4.701,4.775,198716.0
2010-07-01,4.733,4.807,4.665,4.677,232964.0
2010-07-02,4.651,4.786,4.628,4.709,176611.0
2010-07-03,4.651,4.786,4.628,4.709,176611.0
2010-07-04,4.651,4.786,4.628,4.709,176611.0
2010-07-05,4.665,4.852,4.665,4.724,375956.0
2010-07-06,4.681,4.852,4.68,4.81,228057.0
2010-07-07,4.763,5.036,4.748,4.996,295040.0
2010-07-08,4.95,5.112,4.95,5.001,189589.0
2010-07-09,4.955,5.135,4.955,5.057,134481.0
2010-07-10,4.955,5.135,4.955,5.057,134481.0
2010-07-11,4.955,5.135,4.955,5.057,134481.0
2010-07-12,5.039,5.131,5.017,5.124,107955.0
2010-07-13,5.077,5.225,5.077,5.162,161197.0
2010-07-14,5.145,5.188,5.106,5.139,100088.0
2010-07-15,5.092,5.254,5.092,5.106,169590.0
2010-07-16,5.059,5.21,5.059,5.107,75785.0
2010-07-17,5.059,5.21,5.059,5.107,75785.0
2010-07-18,5.059,5.21,5.059,5.107,75785.0
2010-07-19,5.06,5.226,5.054,5.225,163568.0
2010-07-20,5.151,5.408,5.151,5.263,346718.0
2010-07-21,5.263,5.437,5.263,5.37,189193.0
2010-07-22,5.363,5.468,5.293,5.378,83091.0
2010-07-23,5.332,5.442,5.332,5.427,93206.0
2010-07-24,5.332,5.442,5.332,5.427,93206.0
2010-07-25,5.332,5.442,5.332,5.427,93206.0
2010-07-26,5.377,5.437,5.338,5.412,102061.0
2010-07-27,5.362,5.584,5.362,5.561,126976.0
2010-07-28,5.509,5.561,5.449,5.516,89560.0
2010-07-29,5.41,5.602,5.41,5.599,113046.0
2010-07-30,5.652,5.652,5.535,5.599,94363.0
2010-07-31,5.652,5.652,5.535,5.599,94363.0
2010-08-01,5.652,5.652,5.535,5.599,94363.0
2010-08-02,5.524,5.882,5.524,5.793,197120.0
2010-08-03,5.748,5.867,5.606,5.74,172157.0
2010-08-04,5.703,5.74,5.524,5.524,121789.0
2010-08-05,5.554,5.621,5.527,5.576,48360.0
2010-08-06,5.513,5.599,5.443,5.484,61855.0
2010-08-07,5.513,5.599,5.443,5.484,61855.0
2010-08-08,5.513,5.599,5.443,5.484,61855.0
2010-08-09,5.426,5.599,5.359,5.432,90140.0
2010-08-10,5.375,5.507,5.316,5.478,125094.0
2010-08-11,5.378,5.487,5.315,5.315,44722.0
2010-08-12,5.285,5.389,5.131,5.178,81038.0
2010-08-13,5.136,5.321,5.136,5.296,77563.0
2010-08-14,5.136,5.321,5.136,5.296,77563.0
2010-08-15,5.136,5.321,5.136,5.296,77563.0
2010-08-16,5.278,5.361,5.244,5.36,62569.0
2010-08-17,5.337,5.442,5.314,5.36,42713.0
2010-08-18,5.322,5.464,5.315,5.412,16692.0
2010-08-19,5.419,5.47,5.374,5.381,51878.0
2010-08-20,5.335,5.404,5.2,5.203,25678.0
2010-08-21,5.335,5.404,5.2,5.203,25678.0
2010-08-22,5.335,5.404,5.2,5.203,25678.0
2010-08-23,5.169,5.327,5.169,5.301,30416.0
2010-08-24,5.3,5.301,5.084,5.136,142485.0
2010-08-25,5.092,5.273,5.086,5.181,106547.0
2010-08-26,5.151,5.427,5.137,5.337,129077.0
2010-08-27,5.293,5.689,5.293,5.673,176088.0
2010-08-28,5.293,5.689,5.293,5.673,176088.0
2010-08-29,5.293,5.689,5.293,5.673,176088.0
2010-08-30,5.625,5.703,5.455,5.554,57651.0
2010-08-31,5.225,5.731,5.183,5.683,162176.0
2010-09-01,5.643,5.999,5.587,5.823,247830.0
2010-09-02,5.748,5.86,5.604,5.697,77909.0
2010-09-03,5.637,5.74,5.618,5.643,69687.0
2010-09-04,5.637,5.74,5.618,5.643,69687.0
2010-09-05,5.637,5.74,5.618,5.643,69687.0
2010-09-06,5.643,5.78,5.643,5.735,83375.0
2010-09-07,5.681,5.856,5.632,5.808,71944.0
2010-09-08,5.808,5.909,5.646,5.909,154445.0
2010-09-09,5.823,5.934,5.776,5.808,98738.0
2010-09-10,5.76,5.934,5.755,5.927,82309.0
2010-09-11,5.76,5.934,5.755,5.927,82309.0
2010-09-12,5.76,5.934,5.755,5.927,82309.0
2010-09-13,5.934,5.972,5.833,5.896,111926.0
2010-09-14,5.836,6.008,5.829,5.934,273872.0
2010-09-15,5.897,6.007,5.886,5.957,77269.0
2010-09-16,5.957,5.964,5.896,5.957,67091.0
2010-09-17,5.882,5.964,5.816,5.828,194803.0
2010-09-18,5.882,5.964,5.816,5.828,194803.0
2010-09-19,5.882,5.964,5.816,5.828,194803.0
2010-09-20,5.833,6.039,5.83,5.99,67007.0
2010-09-21,5.972,6.009,5.92,5.972,105144.0
2010-09-22,5.923,5.979,5.918,5.918,55945.0
2010-09-23,5.87,5.972,5.87,5.945,85090.0
2010-09-24,5.897,6.147,5.823,6.022,223270.0
2010-09-25,5.897,6.147,5.823,6.022,223270.0
2010-09-26,5.897,6.147,5.823,6.022,223270.0
2010-09-27,6.02,6.203,6.02,6.203,337889.0
2010-09-28,6.099,6.389,6.097,6.338,147270.0
2010-09-29,6.287,6.464,6.27,6.464,145023.0
2010-09-30,6.457,6.606,6.397,6.562,233866.0
2010-10-01,6.525,6.687,6.465,6.589,248514.0
2010-10-02,6.525,6.687,6.465,6.589,248514.0
2010-10-03,6.525,6.687,6.465,6.589,248514.0
2010-10-04,6.606,6.692,6.532,6.606,107471.0
2010-10-05,6.498,6.694,6.498,6.694,199874.0
2010-10-06,6.64,6.812,6.59,6.808,162020.0
2010-10-07,6.753,6.909,6.69,6.909,143356.0
2010-10-08,6.853,6.884,6.69,6.844,138334.0
2010-10-09,6.853,6.884,6.69,6.844,138334.0
2010-10-10,6.853,6.884,6.69,6.844,138334.0
2010-10-11,6.759,6.902,6.702,6.902,82566.0
2010-10-12,6.834,7.129,6.83,7.114,180242.0
2010-10-13,7.017,7.13,6.885,7.027,220837.0
2010-10-14,6.971,7.128,6.971,7.017,53689.0
2010-10-15,6.961,7.083,6.95,6.968,95134.0
2010-10-16,6.961,7.083,6.95,6.968,95134.0
2010-10-17,6.961,7.083,6.95,6.968,95134.0
2010-10-18,6.968,7.263,6.968,7.18,180351.0
2010-10-19,7.277,7.315,7.123,7.268,164983.0
2010-10-20,7.238,7.238,6.569,6.644,213616.0
2010-10-21,6.903,6.903,6.241,6.417,1398153.0
2010-10-22,6.27,6.448,6.255,6.393,332210.0
2010-10-23,6.27,6.448,6.255,6.393,332210.0
2010-10-24,6.27,6.448,6.255,6.393,332210.0
2010-10-25,5.926,6.494,5.926,6.487,425094.0
2010-10-26,6.39,6.494,6.39,6.471,122739.0
2010-10-27,6.41,6.607,6.41,6.532,186025.0
2010-10-28,6.536,6.609,6.435,6.532,81266.0
2010-10-29,6.473,6.555,6.404,6.45,117100.0
2010-10-30,6.473,6.555,6.404,6.45,117100.0
2010-10-31,6.473,6.555,6.404,6.45,117100.0
2010-11-01,6.509,6.57,6.4,6.528,20395.0
2010-11-02,6.473,6.569,6.42,6.566,83328.0
2010-11-03,6.523,6.599,6.462,6.517,94910.0
2010-11-04,6.489,6.702,6.466,6.644,169009.0
2010-11-05,6.603,6.808,6.592,6.808,104200.0
2010-11-06,6.603,6.808,6.592,6.808,104200.0
2010-11-07,6.603,6.808,6.592,6.808,104200.0
2010-11-08,6.692,6.781,6.64,6.718,143706.0
2010-11-09,6.669,6.741,6.598,6.67,97929.0
2010-11-10,6.63,6.688,6.582,6.582,116632.0
2010-11-11,6.578,6.641,6.461,6.559,107538.0
2010-11-12,6.479,6.569,6.461,6.532,110439.0
2010-11-13,6.479,6.569,6.461,6.532,110439.0
2010-11-14,6.479,6.569,6.461,6.532,110439.0
2010-11-15,6.494,6.644,6.472,6.593,141991.0
2010-11-16,6.603,6.643,6.506,6.509,62868.0
2010-11-17,6.482,6.569,6.423,6.423,96703.0
2010-11-18,6.403,6.644,6.403,6.594,80097.0
2010-11-19,6.569,6.631,6.443,6.532,309218.0
2010-11-20,6.569,6.631,6.443,6.532,309218.0
2010-11-21,6.569,6.631,6.443,6.532,309218.0
2010-11-22,6.551,6.651,6.551,6.635,111808.0
2010-11-23,6.569,6.606,6.514,6.514,50296.0
2010-11-24,6.487,6.635,6.443,6.614,183802.0
2010-11-25,6.567,6.647,6.567,6.644,136455.0
2010-11-26,6.579,6.644,6.536,6.617,230798.0
2010-11-27,6.579,6.644,6.536,6.617,230798.0
2010-11-28,6.579,6.644,6.536,6.617,230798.0
2010-11-29,6.588,6.936,6.588,6.83,455390.0
2010-11-30,6.914,7.017,6.793,7.009,224618.0
2010-12-01,6.938,7.129,6.909,7.099,427902.0
2010-12-02,6.968,7.254,6.968,7.222,340435.0
2010-12-03,7.19,7.278,7.047,7.099,119831.0
2010-12-04,7.19,7.278,7.047,7.099,119831.0
2010-12-05,7.19,7.278,7.047,7.099,119831.0
2010-12-06,7.213,7.584,7.092,7.465,703129.0
2010-12-07,7.371,7.513,7.329,7.39,1526685.0
2010-12-08,7.241,7.374,6.845,6.845,444847.0
2010-12-09,6.842,7.059,6.833,6.994,389528.0
2010-12-10,6.957,7.047,6.868,6.868,176693.0
2010-12-11,6.957,7.047,6.868,6.868,176693.0
2010-12-12,6.957,7.047,6.868,6.868,176693.0
2010-12-13,6.909,7.015,6.909,6.957,164906.0
2010-12-14,6.956,7.348,6.956,7.315,243643.0
2010-12-15,7.368,7.465,7.289,7.39,341434.0
2010-12-16,7.346,7.498,7.321,7.427,255083.0
2010-12-17,7.442,7.465,7.293,7.383,540177.0
2010-12-18,7.442,7.465,7.293,7.383,540177.0
2010-12-19,7.442,7.465,7.293,7.383,540177.0
2010-12-20,7.46,7.614,7.38,7.487,281433.0
2010-12-21,7.476,7.722,7.476,7.622,186341.0
2010-12-22,7.614,7.681,7.528,7.651,174223.0
2010-12-23,7.603,7.778,7.524,7.539,246062.0
2010-12-24,7.603,7.778,7.524,7.539,246062.0
2010-12-25,7.603,7.778,7.524,7.539,246062.0
2010-12-26,7.603,7.778,7.524,7.539,246062.0
2010-12-27,7.524,7.607,7.259,7.413,89122.0
2010-12-28,7.439,7.607,7.413,7.48,79217.0
2010-12-29,7.487,7.651,7.48,7.577,165022.0
2010-12-30,7.506,7.838,7.506,7.838,162096.0
2010-12-31,7.506,7.838,7.506,7.838,162096.0
2011-01-01,7.506,7.838,7.506,7.838,162096.0
2011-01-02,7.506,7.838,7.506,7.838,162096.0
2011-01-03,7.767,8.129,7.767,8.017,241761.0
2011-01-04,8.01,8.047,7.875,7.875,212629.0
2011-01-05,7.883,8.058,7.883,8.04,289424.0
2011-01-06,7.946,8.062,7.838,7.875,121776.0
2011-01-07,7.872,7.898,7.64,7.696,186389.0
2011-01-08,7.872,7.898,7.64,7.696,186389.0
2011-01-09,7.872,7.898,7.64,7.696,186389.0
2011-01-10,7.651,7.793,7.584,7.584,271715.0
2011-01-11,7.61,7.722,7.407,7.491,314834.0
2011-01-12,7.418,7.707,7.418,7.465,346224.0
2011-01-13,7.524,7.775,7.495,7.644,343246.0
2011-01-14,7.651,7.875,7.644,7.726,250728.0
2011-01-15,7.651,7.875,7.644,7.726,250728.0
2011-01-16,7.651,7.875,7.644,7.726,250728.0
2011-01-17,7.748,7.838,7.719,7.763,136724.0
2011-01-18,7.733,7.831,7.651,7.733,134410.0
2011-01-19,7.659,7.756,7.577,7.577,141703.0
2011-01-20,7.592,7.666,7.465,7.465,282380.0
2011-01-21,7.524,7.681,7.524,7.569,217015.0
2011-01-22,7.524,7.681,7.524,7.569,217015.0
2011-01-23,7.524,7.681,7.524,7.569,217015.0
2011-01-24,7.547,7.775,7.399,7.696,384816.0
2011-01-25,7.663,7.887,7.655,7.666,329103.0
2011-01-26,7.644,7.767,7.644,7.733,104390.0
2011-01-27,7.678,7.73,7.1,7.413,2410925.0
2011-01-28,7.319,7.457,7.191,7.227,341013.0
2011-01-29,7.319,7.457,7.191,7.227,341013.0
2011-01-30,7.319,7.457,7.191,7.227,341013.0
2011-01-31,7.133,7.472,7.063,7.413,505139.0
2011-02-01,7.378,7.569,7.378,7.427,312346.0
2011-02-02,7.39,7.588,7.39,7.517,274795.0
2011-02-03,7.483,7.614,7.483,7.532,306626.0
2011-02-04,7.487,7.614,7.48,7.48,150646.0
2011-02-05,7.487,7.614,7.48,7.48,150646.0
2011-02-06,7.487,7.614,7.48,7.48,150646.0
2011-02-07,7.465,7.726,7.465,7.704,266504.0
2011-02-08,7.797,8.103,7.692,8.062,913061.0
2011-02-09,7.954,8.51,7.954,8.39,718618.0
2011-02-10,8.357,8.525,8.305,8.435,414426.0
2011-02-11,8.435,8.532,8.361,8.532,296611.0
2011-02-12,8.435,8.532,8.361,8.532,296611.0
2011-02-13,8.435,8.532,8.361,8.532,296611.0
2011-02-14,8.364,8.689,8.364,8.607,375939.0
2011-02-15,8.443,8.599,8.398,8.428,327773.0
2011-02-16,8.543,8.543,8.092,8.271,448932.0
2011-02-17,8.133,8.17,7.965,8.069,203853.0
2011-02-18,8.002,8.185,7.838,8.185,333371.0
2011-02-19,8.002,8.185,7.838,8.185,333371.0
2011-02-20,8.002,8.185,7.838,8.185,333371.0
2011-02-21,8.073,8.185,7.879,7.898,167157.0
2011-02-22,7.984,7.984,7.789,7.898,138857.0
2011-02-23,7.898,8.021,7.857,7.913,198453.0
2011-02-24,7.931,7.976,7.763,7.95,224894.0
2011-02-25,7.95,8.267,7.853,8.084,325875.0
2011-02-26,7.95,8.267,7.853,8.084,325875.0
2011-02-27,7.95,8.267,7.853,8.084,325875.0
2011-02-28,8.118,8.241,8.025,8.107,202465.0
2011-03-01,8.118,8.178,7.987,8.069,450560.0
2011-03-02,8.099,8.125,7.913,8.017,226702.0
2011-03-03,8.099,8.133,8.025,8.047,164853.0
2011-03-04,8.096,8.129,7.972,7.972,109909.0
2011-03-05,8.096,8.129,7.972,7.972,109909.0
2011-03-06,8.096,8.129,7.972,7.972,109909.0
2011-03-07,8.096,8.114,7.92,7.92,135562.0
2011-03-08,8.036,8.062,7.879,7.92,117507.0
2011-03-09,8.028,8.107,7.883,7.943,142643.0
2011-03-10,7.984,8.058,7.872,7.905,145132.0
2011-03-11,7.905,8.178,7.853,7.957,256663.0
2011-03-12,7.905,8.178,7.853,7.957,256663.0
2011-03-13,7.905,8.178,7.853,7.957,256663.0
2011-03-14,7.618,8.073,7.495,7.659,182165.0
2011-03-15,7.569,7.733,6.967,7.427,676757.0
2011-03-16,7.39,7.651,7.383,7.51,463040.0
2011-03-17,7.465,7.692,7.465,7.607,184458.0
2011-03-18,7.726,8.04,7.666,7.868,596560.0
2011-03-19,7.726,8.04,7.666,7.868,596560.0
2011-03-20,7.726,8.04,7.666,7.868,596560.0
2011-03-21,7.913,8.084,7.913,7.95,355060.0
2011-03-22,7.991,8.208,7.991,8.092,284925.0
2011-03-23,8.04,8.208,8.013,8.133,281840.0
2011-03-24,8.144,8.275,8.092,8.249,280850.0
2011-03-25,8.14,8.357,8.084,8.137,163431.0
2011-03-26,8.14,8.357,8.084,8.137,163431.0
2011-03-27,8.14,8.357,8.084,8.137,163431.0
2011-03-28,8.174,8.331,7.95,7.95,231263.0
2011-03-29,8.174,8.174,7.689,7.726,274048.0
2011-03-30,7.834,7.901,7.577,7.599,288382.0
2011-03-31,7.689,7.931,7.577,7.599,336941.0
2011-04-01,7.636,7.775,7.536,7.577,339563.0
2011-04-02,7.636,7.775,7.536,7.577,339563.0
2011-04-03,7.636,7.775,7.536,7.577,339563.0
2011-04-04,7.536,7.678,7.476,7.607,205073.0
2011-04-05,7.521,7.67,7.521,7.622,229468.0
2011-04-06,7.547,7.678,7.547,7.614,140277.0
2011-04-07,7.61,7.681,7.42,7.472,340057.0
2011-04-08,7.506,7.64,7.398,7.427,250014.0
2011-04-09,7.506,7.64,7.398,7.427,250014.0
2011-04-10,7.506,7.64,7.398,7.427,250014.0
2011-04-11,7.487,7.506,7.371,7.375,300766.0
2011-04-12,7.393,7.543,7.283,7.368,357873.0
2011-04-13,7.393,7.439,7.285,7.368,335342.0
2011-04-14,7.393,7.506,7.332,7.465,217302.0
2011-04-15,7.468,7.651,7.421,7.524,322049.0
2011-04-16,7.468,7.651,7.421,7.524,322049.0
2011-04-17,7.468,7.651,7.421,7.524,322049.0
2011-04-18,7.517,7.696,7.421,7.517,238919.0
2011-04-19,7.595,7.831,7.472,7.719,420875.0
2011-04-20,7.715,7.86,7.696,7.756,249812.0
2011-04-21,7.741,7.853,7.715,7.823,121125.0
2011-04-22,7.741,7.853,7.715,7.823,121125.0
2011-04-23,7.741,7.853,7.715,7.823,121125.0
2011-04-24,7.741,7.853,7.715,7.823,121125.0
2011-04-25,7.741,7.853,7.715,7.823,121125.0
2011-04-26,7.819,7.95,7.722,7.883,144355.0
2011-04-27,7.86,8.062,7.86,8.013,166188.0
2011-04-28,8.073,8.073,7.849,7.853,133441.0
2011-04-29,7.969,7.969,7.786,7.913,68161.0
2011-04-30,7.969,7.969,7.786,7.913,68161.0
2011-05-01,7.969,7.969,7.786,7.913,68161.0
2011-05-02,7.943,8.077,7.92,7.935,83025.0
2011-05-03,7.928,8.006,7.831,7.86,137584.0
2011-05-04,7.887,7.98,7.778,7.838,346212.0
2011-05-05,7.872,7.984,7.801,7.831,123873.0
2011-05-06,7.823,8.271,7.711,8.025,284490.0
2011-05-07,7.823,8.271,7.711,8.025,284490.0
2011-05-08,7.823,8.271,7.711,8.025,284490.0
2011-05-09,8.013,8.163,8.013,8.122,171678.0
