2020-01-01,2020-04-01,2020-07-01,2020-10-01,2021-01-01,2021-04-01,2021-07-01,2021-10-01,2022-01-01,2022-04-01,2022-07-01,2022-10-01,2023-01-01,2023-04-01,2023-07-01,2023-10-01
316140 KS,316140 KS,316140 KS,2345 TT,1878 JP,316140 KS,3288 JP,2345 TT,2345 TT,035420 KS,105560 KS,2882 TT,035420 KS,9107 JP,090460 KS,047040 KS
3659 JP,3659 JP,3659 JP,2383 TT,1925 JP,3659 JP,4938 TT,2383 TT,2383 TT,039490 KS,105630 KS,3034 TT,036460 KS,9434 JP,091700 KS,047050 KS
5423 JP,5423 JP,5423 JP,2449 TT,1928 HK,5423 JP,6669 TT,2449 TT,2449 TT,047040 KS,108320 KS,3092 JP,039490 KS,ADM LN,105560 KS,055550 KS
5871 TT,5871 TT,5871 TT,2458 TT,1986986D LN,5871 TT,8299 TT,2458 TT,2458 TT,048260 KS,1305 TT,3288 JP,041510 KS,ADVANC TB,1102 TT,078930 KS
5904 TT,5904 TT,5904 TT,2588 HK,2383 TT,5904 TT,8436 TT,2588 HK,2588 HK,069080 KS,139130 KS,4938 TT,042700 KS,AGAS NO,138930 KS,081660 KS
6488 TT,6488 TT,6488 TT,263750 KS,2588 HK,6488 TT,8795 JP,263750 KS,263750 KS,071050 KS,161890 KS,5021 JP,047040 KS,ALL AU,139130 KS,086280 KS
6669 TT,6669 TT,6669 TT,2881 TT,263750 KS,6669 TT,9434 JP,2881 TT,2881 TT,078930 KS,175330 KS,5101 JP,071050 KS,ANDINAA CI,1565 TT,086790 KS
6758 JP,6758 JP,6758 JP,3044 TT,2823 TT,6758 JP,ACB VN,3044 TT,3044 TT,086790 KS,1808 JP,5306 TT,078930 KS,ARCLK TI,175330 KS,090460 KS
8001 JP,8001 JP,8001 JP,3288 JP,2881 TT,8001 JP,ACS SM,3288 JP,3288 JP,103140 KS,192080 KS,5706 JP,081660 KS,ASHM LN,1802 JP,105560 KS
8354 JP,8354 JP,8354 JP,4938 TT,316140 KS,8354 JP,ADM LN,4938 TT,4938 TT,105560 KS,1986986D LN,6176 TT,086790 KS,ATD CN,1803 JP,105630 KS
8436 TT,8436 TT,8436 TT,5871 TT,4553 JP,8436 TT,ADVANC TB,5871 TT,5871 TT,108320 KS,1COV GR,6268 JP,090460 KS,AU US,1808 JP,108320 KS
8464 TT,8464 TT,8464 TT,5904 TT,5423 JP,8464 TT,AGAS NO,5904 TT,5904 TT,1301 TT,2020 NO,6669 TT,091700 KS,AUTO LN,1878 JP,111770 KS
9434 JP,9434 JP,9434 JP,6176 TT,5871 TT,9434 JP,ALL AU,6176 TT,6176 TT,1303 TT,2327 TT,6758 JP,103140 KS,AV/ LN,192080 KS,138930 KS
9504 JP,9504 JP,9504 JP,6239 TT,6488 TT,9504 JP,ANDINAA CI,6239 TT,6239 TT,1305 TT,2353 TT,7915 JP,105560 KS,AXFO SS,1925 JP,139130 KS
9910 TT,9910 TT,9910 TT,6488 TT,8001 JP,9910 TT,AUTO LN,6488 TT,6488 TT,138930 KS,2357 TT,7974 JP,108320 KS,BA/ LN,1928 HK,139480 KS
AAL LN,AAL LN,AAL LN,6669 TT,8299 TT,AAL LN,AV/ LN,6669 TT,6669 TT,139130 KS,2377 TT,8002 JP,111770 KS,BAFL PA,1986986D LN,145720 KS
AC PM,AC PM,AC PM,8001 JP,8591 JP,AC PM,AXFO SS,8001 JP,8001 JP,139480 KS,2379 TT,8299 TT,1301 TT,BBOX LN,2371 JP,1605 JP
ACO/X CN,ACO/X CN,ACO/X CN,8299 TT,9434 JP,ACO/X CN,BA/ LN,8299 TT,8299 TT,161890 KS,2382 TT,9101 JP,1305 TT,BETSB SS,2383 TT,175330 KS
ACS SM,ACS SM,ACS SM,8604 JP,9504 JP,ACS SM,BAFL PA,8604 JP,8604 JP,175330 KS,2383 TT,9104 JP,138930 KS,BGN IM,2439 TT,1911 JP
ADM LN,ADM LN,ADM LN,8795 JP,AAL LN,ADM LN,BBAS3 BZ,8795 JP,8795 JP,1808 JP,2458 TT,9107 JP,139130 KS,BIMAS TI,2588 HK,195870 KS
ADRO IJ,ADRO IJ,ADRO IJ,9434 JP,ACB VN,ADRO IJ,BBSE3 BZ,9434 JP,9434 JP,192080 KS,2603 TT,9375 JP,139480 KS,BMA AR,263750 KS,2020 NO
ADVANC TB,ADVANC TB,ADVANC TB,ADHI IJ,ACS SM,ADVANC TB,BGN IM,ADHI IJ,ADHI IJ,1COV GR,2881 TT,9434 JP,175330 KS,BSMXB MM,282330 KS,2059 TT
AER US,AER US,AER US,ADM LN,ADHI IJ,AER US,BIMAS TI,ADM LN,ADM LN,2006 TT,2882 TT,9984 JP,1808 JP,BWLPG NO,3034 TT,2303 TT
AHT LN,AHT LN,AHT LN,ADVANC TB,ADM LN,AHT LN,BSMXB MM,ADVANC TB,ADVANC TB,2020 NO,2891 TT,ABDN LN,1COV GR,BZU IM,3044 TT,2327 TT
AIR FP,AIR FP,AIR FP,AEONTS TB,ADVANC TB,AIR FP,BWLPG NO,AEONTS TB,AEONTS TB,2324 TT,298020 KS,ACB VN,2002 TT,CAB MK,3092 JP,2330 TT
AKZA NA,AKZA NA,AKZA NA,AER US,AEONTS TB,AKZA NA,CAB MK,AER US,AER US,2327 TT,3034 TT,ADM LN,2006 TT,CESC IN,316140 KS,2337 TT
ALLE US,ALLE US,ALLE US,AGAS NO,AER US,ALLE US,CESC IN,AGAS NO,AGAS NO,2353 TT,3042 TT,ADVANC TB,2020 NO,CESP6 BZ,4004 JP,2344 TT
ALPEKA MM,ALPEKA MM,ALPEKA MM,AGS BB,ALL AU,ALPEKA MM,CESP6 BZ,AGS BB,AGS BB,2357 TT,3092 JP,AGAS NO,2027 TT,CFP CN,4042 JP,2345 TT
APL PA,APL PA,APL PA,ALL AU,ALLE US,APL PA,CIE SM,ALL AU,ALL AU,2377 TT,3116 JP,ALLE US,2303 TT,COAL IN,4551 TT,2368 TT
ASRNL NA,ASRNL NA,ASRNL NA,ALLE US,ALV US,ASRNL NA,COAL IN,ALLE US,ALLE US,2379 TT,316140 KS,ALPEKA MM,2327 TT,CPFE3 BZ,4915 TT,2379 TT
ATO FP,ATO FP,ATO FP,ANDINAA CI,ANDINAA CI,ATO FP,CSTRL IN,ANDINAA CI,ANDINAA CI,2382 TT,3288 JP,ALPM IN,2337 TT,CSNA3 BZ,5021 JP,2383 TT
AUTO LN,AUTO LN,AUTO LN,ASII IJ,APTV US,AUTO LN,CYRE3 BZ,ASII IJ,ASII IJ,2409 TT,3941 JP,AND CN,2344 TT,CSTRL IN,5101 JP,241560 KS
AV/ LN,AV/ LN,AV/ LN,ATRL CN,ASHM LN,AV/ LN,DNORD DC,ATRL CN,ATRL CN,2432 JP,4042 JP,APAT IN,2353 TT,DNLM LN,5423 JP,2421 TT
AZM IM,AZM IM,AZM IM,AUTO LN,ASRNL NA,AZM IM,DOKA SW,AUTO LN,AUTO LN,2458 TT,4043 JP,ARBP IN,2357 TT,EFERT PA,5871 TT,2449 TT
BAJAJCON IN,BAJAJCON IN,BAJAJCON IN,AV/ LN,ATO FP,BAJAJCON IN,EGIE3 BZ,AV/ LN,AV/ LN,2474 TT,4183 JP,ARCLK TI,2377 TT,EGIE3 BZ,5904 TT,2454 TT
BBAJIOO MM,BBAJIOO MM,BBAJIOO MM,BA/ LN,AUTO LN,BBAJIOO MM,EPR NO,BA/ LN,BA/ LN,2603 TT,4915 TT,ASHM LN,2379 TT,ELUXB SS,6147 TT,2603 TT
BBAS3 BZ,BBAS3 BZ,BBAS3 BZ,BAFL PA,AV/ LN,BBAS3 BZ,EQTL3 BZ,BAFL PA,BAFL PA,2609 TT,4968 TT,AV/ LN,2382 TT,ENTRA NO,6176 TT,267250 KS
BBSE3 BZ,BBSE3 BZ,BBSE3 BZ,BAJAJCON IN,AXFO SS,BBSE3 BZ,EVOK LN,BAJAJCON IN,BAJAJCON IN,2881 TT,5019 JP,AXFO SS,2383 TT,EPR NO,6462 TT,267260 KS
BETSB SS,BETSB SS,BETSB SS,BALDB SS,BA/ LN,BETSB SS,FATIMA PA,BALDB SS,BALDB SS,2882 TT,5101 JP,AZA SS,2432 JP,EQTL3 BZ,6488 TT,2768 JP
BFSA GR,BFSA GR,BFSA GR,BBAS3 BZ,BAJAJCON IN,BFSA GR,FMG AU,BBAS3 BZ,BBAS3 BZ,298000 KS,5233 JP,AZM IM,2454 TT,FMG AU,6669 TT,3034 TT
BGN IM,BGN IM,BGN IM,BBSE3 BZ,BALDB SS,BGN IM,FXPO LN,BBSE3 BZ,BBSE3 BZ,298020 KS,5406 JP,BA/ LN,2458 TT,FNTN GR,6752 JP,3037 TT
BILL SS,BILL SS,BILL SS,BGN IM,BBAS3 BZ,BILL SS,GAIL IN,BGN IM,BGN IM,3034 TT,5706 JP,BAFL PA,2603 TT,FXPO LN,6753 JP,3092 JP
BMA AR,BMA AR,BMA AR,BT/A LN,BBNI IJ,BMA AR,GFNORTEO MM,BT/A LN,BT/A LN,306040 KS,5714 JP,BBOX LN,2609 TT,G24 GR,7011 JP,316140 KS
BRSR6 BZ,BRSR6 BZ,BRSR6 BZ,BWLPG NO,BBSE3 BZ,BRSR6 BZ,GGAL AR,BWLPG NO,BWLPG NO,3092 JP,6202 TT,BGN IM,272290 KS,GAIL IN,7272 JP,3186 JP
BSMXB MM,BSMXB MM,BSMXB MM,BWY LN,BDEV LN,BSMXB MM,GGRM IJ,BWY LN,BWY LN,3116 JP,6268 JP,BIMAS TI,2768 JP,GGAL AR,8001 JP,3189 TT
BT/A LN,BT/A LN,BT/A LN,CAB MK,BGN IM,BT/A LN,GLO PM,CAB MK,CAB MK,316140 KS,6669 TT,BME LN,2881 TT,GGRM IJ,8053 JP,3288 JP
BWY LN,BWY LN,BWY LN,CESC IN,BJBR IJ,BWY LN,GSK LN,CESC IN,CESC IN,3227 TT,6995 JP,BNTX US,2882 TT,GSK LN,8436 TT,3413 TT
CAB MK,CAB MK,CAB MK,CESP6 BZ,BMRI IJ,CAB MK,GTT FP,CESP6 BZ,CESP6 BZ,3288 JP,7259 JP,BPCL IN,293490 KS,GSY CN,8464 TT,353200 KS
CCOLA TI,CCOLA TI,CCOLA TI,COAL IN,BT/A LN,CCOLA TI,H CN,COAL IN,COAL IN,3711 TT,7267 JP,BWLPG NO,3034 TT,H CN,8591 JP,3533 TT
CEB PM,CEB PM,CEB PM,CPG LN,BTPS IJ,CEB PM,HBL PA,CPG LN,CPG LN,3861 JP,7272 JP,BYG LN,3042 TT,HBL PA,9104 JP,357780 KS
CIE SM,CIE SM,CIE SM,CPLE6 BZ,BWLPG NO,CIE SM,HEIM MK,CPLE6 BZ,CPLE6 BZ,3941 JP,7282 JP,BZU IM,3092 JP,HFG GR,9201 JP,3665 TT
CIM AU,CIM AU,CIM AU,CSIQ US,BWY LN,CIM AU,HL/ LN,CSIQ US,CSIQ US,4005 JP,7915 JP,CAB MK,316140 KS,HL/ LN,9434 JP,3711 TT
CIX CN,CIX CN,CIX CN,CSTRL IN,CAB MK,CIX CN,HMSP IJ,CSTRL IN,CSTRL IN,4042 JP,7974 JP,CAST SS,3231 TT,HPG VN,9910 TT,375500 KS
COAL IN,COAL IN,COAL IN,DBCL IN,CESC IN,COAL IN,HOLMB SS,DBCL IN,DBCL IN,4043 JP,8001 JP,CDR PW,3288 JP,IMB LN,AAL LN,383220 KS
CRST LN,CRST LN,CRST LN,DMGT LN,COAL IN,CRST LN,ILD FP,DMGT LN,DMGT LN,4183 JP,8002 JP,CESC IN,3291 JP,INDF IJ,AC PM,4507 JP
CSAN3 BZ,CSAN3 BZ,CSAN3 BZ,DOKA SW,CP CN,CSAN3 BZ,IMB LN,DOKA SW,DOKA SW,4202 JP,8299 TT,CESP6 BZ,3515 TT,INTUCH TB,ACGL US,4519 JP
CSIQ US,CSIQ US,CSIQ US,DTAC TB,CPG LN,CSIQ US,IRB IN,DTAC TB,DTAC TB,4552 JP,8436 TT,CFP CN,357780 KS,IPN FP,ADEN SW,4716 JP
CSTRL IN,CSTRL IN,CSTRL IN,EGIE3 BZ,CSTRL IN,CSTRL IN,ITV LN,EGIE3 BZ,EGIE3 BZ,5019 JP,8464 TT,CIX CN,3711 TT,IRB IN,ADM LN,4915 TT
CYL IN,CYL IN,CYL IN,EPR NO,DBCL IN,CYL IN,KAZ LN,EPR NO,EPR NO,5020 JP,8750 JP,COAL IN,4005 JP,ISEC IN,ADRO IJ,4958 TT
DLG GR,DLG GR,DLG GR,EQB CN,DGE LN,DLG GR,LEG GR,EQB CN,EQB CN,5021 JP,9101 JP,DNLM LN,4042 JP,JBH AU,ADVANC TB,4980 JP
DNLM LN,DNLM LN,DNLM LN,EQTL3 BZ,DLG GR,DNLM LN,LIF CN,EQTL3 BZ,EQTL3 BZ,5101 JP,9104 JP,DOL CN,4183 JP,KAZ LN,AENA SM,5019 JP
DOKA SW,DOKA SW,DOKA SW,FGEN PM,DMAS IJ,DOKA SW,LXS GR,FGEN PM,FGEN PM,5110 JP,9107 JP,ELUXB SS,4188 JP,KINDSDB SS,AEONTS TB,5020 JP
DWNI GR,DWNI GR,DWNI GR,FIBRAMQ MM,DMGT LN,DWNI GR,MEBL PA,FIBRAMQ MM,FIBRAMQ MM,5233 JP,9375 JP,EPR NO,4552 JP,KL CN,AER US,5021 JP
ECOPETL CB,ECOPETL CB,ECOPETL CB,FXPO LN,DN IN,ECOPETL CB,MFG AU,FXPO LN,FXPO LN,5401 JP,9434 JP,EQB CN,4751 JP,LEG GR,AGAS NO,5105 JP
EFERT PA,EFERT PA,EFERT PA,GAIL IN,DNLM LN,EFERT PA,MIN AU,GAIL IN,GAIL IN,5406 JP,9938 TT,ERO CN,5019 JP,LIF CN,AHT LN,5333 JP
EGIE3 BZ,EGIE3 BZ,EGIE3 BZ,GFNORTEO MM,DOKA SW,EGIE3 BZ,MNCN IJ,GFNORTEO MM,GFNORTEO MM,5411 JP,9984 JP,FMG AU,5020 JP,LXS GR,ALL AU,5334 JP
EQTL3 BZ,EQTL3 BZ,EQTL3 BZ,GGRM IJ,ECLX IN,EQTL3 BZ,MNG LN,GGRM IJ,GGRM IJ,5706 JP,AAL LN,FNXP IN,5021 JP,MAHGL IN,ALLE US,5347 TT
ERO CN,ERO CN,ERO CN,GLO PM,ECOPETL CB,ERO CN,MONY LN,GLO PM,GLO PM,5711 JP,ABDN LN,FXPO LN,5101 JP,MCB PA,ALV US,5401 JP
EVO SS,EVO SS,EVO SS,GSK LN,EMG LN,EVO SS,MWG VN,GSK LN,GSK LN,5713 JP,ADM LN,GJF NO,5105 JP,MEBL PA,AMS SM,5411 JP
EVTC US,EVTC US,EVTC US,GTT FP,EQB CN,EVTC US,NCCB SS,GTT FP,GTT FP,5714 JP,AEONTS TB,GMEXICOB MM,5347 TT,MFG AU,ANDINAA CI,5423 JP
FDM LN,FDM LN,FDM LN,GUJGA IN,EQTL3 BZ,FDM LN,NOVOB DC,GUJGA IN,GUJGA IN,5904 TT,AIR FP,GSK LN,5401 JP,MGFL IN,APTV US,5434 TT
FNTN GR,FNTN GR,FNTN GR,H CN,EVTC US,FNTN GR,NRS NO,H CN,H CN,6147 TT,AKE FP,GSY CN,5406 JP,MIN AU,ARBP IN,5483 TT
FRVIA FP,FRVIA FP,FRVIA FP,HEIM MK,FABG SS,FRVIA FP,NXT LN,HEIM MK,HEIM MK,6176 TT,ALLE US,H CN,5411 JP,MWG VN,ASHM LN,5706 JP
FUNO11 MM,FUNO11 MM,FUNO11 MM,HL/ LN,FDJ FP,FUNO11 MM,OGDC PA,HL/ LN,HL/ LN,6202 TT,ALPEKA MM,HBL PA,5423 JP,NCCB SS,ASII IJ,5713 JP
GAIL IN,GAIL IN,GAIL IN,HMSP IJ,FGEN PM,GAIL IN,OSB CN,HMSP IJ,HMSP IJ,6239 TT,ALPM IN,HFG GR,5706 JP,NOVOB DC,ASRNL NA,5803 JP
GDPL IN,GDPL IN,GDPL IN,HOLMB SS,FIBRAMQ MM,GDPL IN,POLY LN,HOLMB SS,HOLMB SS,6268 JP,ALV US,HL/ LN,5711 JP,OINL IN,ATO FP,6141 JP
GFNORTEO MM,GFNORTEO MM,GFNORTEO MM,ILD FP,FRVIA FP,GFNORTEO MM,QBR/B CN,ILD FP,ILD FP,6753 JP,APAM NA,HPCL IN,5713 JP,PCAR3 BZ,ATRLJB SS,6239 TT
GGAL AR,GGAL AR,GGAL AR,INDUSTOW IN,GAIL IN,GGAL AR,RA MM,INDUSTOW IN,INDUSTOW IN,7259 JP,ARBP IN,ICG LN,5714 JP,PHNX LN,AUTO LN,6323 JP
GGRM IJ,GGRM IJ,GGRM IJ,INTUCH TB,GFC FP,GGRM IJ,REL LN,INTUCH TB,INTUCH TB,7272 JP,ARCLK TI,III LN,5741 JP,POLY LN,AV/ LN,6409 TT
GJF NO,GJF NO,GJF NO,IRB IN,GFNORTEO MM,GJF NO,RMV LN,IRB IN,IRB IN,7915 JP,ASHM LN,IMB LN,5904 TT,QBR/B CN,BA/ LN,6488 TT
GLO PM,GLO PM,GLO PM,ITC IN,GGAL AR,GLO PM,ROG SW,ITC IN,ITC IN,8001 JP,ASRNL NA,INDF IJ,6147 TT,REL LN,BAJAJCON IN,6669 TT
GSK LN,GSK LN,GSK LN,ITV LN,GGRM IJ,GSK LN,SAFE LN,ITV LN,ITV LN,8002 JP,AXFO SS,INDUSTOW IN,6176 TT,RIO LN,BAP US,6670 TT
GTT FP,GTT FP,GTT FP,JM SS,GLO PM,GTT FP,SAN FP,JM SS,JM SS,8015 JP,AZA SS,IOCL IN,6202 TT,RMV LN,BBAS3 BZ,6724 JP
GXI GR,GXI GR,GXI GR,KAZ LN,GSK LN,GXI GR,SCAB SS,KAZ LN,KAZ LN,8031 JP,AZM IM,IPN FP,6239 TT,ROG SW,BBNI IJ,6770 TT
HEIM MK,HEIM MK,HEIM MK,KIMBERA MM,GTT FP,HEIM MK,SKAB SS,KIMBERA MM,KIMBERA MM,8150 TT,BA/ LN,ISEC IN,6268 JP,SAFE LN,BBSE3 BZ,6857 JP
HLE GR,HLE GR,HLE GR,KKP TB,GUJGA IN,HLE GR,SSE LN,KKP TB,KKP TB,8299 TT,BAFL PA,JBH AU,6501 JP,SAN FP,BDEV LN,6967 JP
HMSP IJ,HMSP IJ,HMSP IJ,LEG GR,HAS LN,HMSP IJ,SUNTV IN,LEG GR,LEG GR,8436 TT,BAHL PA,JBSS3 BZ,6753 JP,SCT LN,BETSB SS,7013 JP
HOT GR,HOT GR,HOT GR,LIF CN,HCLT IN,HOT GR,TCB VN,LIF CN,LIF CN,8473 JP,BAJAJCON IN,KIMBERA MM,6770 TT,SGRO LN,BG AV,7211 JP
HPCL IN,HPCL IN,HPCL IN,LXS GR,HEIM MK,HPCL IN,TEL NO,LXS GR,LXS GR,8750 JP,BB FP,KINDSDB SS,6849 JP,SKAB SS,BHFC IN,7261 JP
HWDN LN,HWDN LN,HWDN LN,MEBL PA,HL/ LN,HWDN LN,TEL PM,MEBL PA,MEBL PA,9101 JP,BBAS3 BZ,LEG GR,6857 JP,SMTO3 BZ,BHP AU,7272 JP
INTUCH TB,INTUCH TB,INTUCH TB,MGFL IN,HMSP IJ,INTUCH TB,TFII CN,MGFL IN,MGFL IN,9104 JP,BBOX LN,LIF CN,7013 JP,SSE LN,BKG LN,7599 JP
IOCL IN,IOCL IN,IOCL IN,MIN AU,HOLMB SS,IOCL IN,TOASO TI,MIN AU,MIN AU,9107 JP,BESI NA,LMP LN,7272 JP,STA TB,BMA AR,7729 JP
IPCO SS,IPCO SS,IPCO SS,MNCN IJ,HPG VN,IPCO SS,TTCH IN,MNCN IJ,MNCN IJ,9375 JP,BGN IM,LXS GR,7915 JP,STGT TB,BMRI IJ,7735 JP
IRB IN,IRB IN,IRB IN,MNG LN,HWDN LN,IRB IN,ULVR LN,MNG LN,MNG LN,9434 JP,BHP AU,MARI PA,8001 JP,SUNTV IN,BNP FP,8001 JP
ITMG IJ,ITMG IJ,ITMG IJ,MONY LN,ILD FP,ITMG IJ,UNVR IJ,MONY LN,MONY LN,9831 JP,BIMAS TI,MBB VN,8002 JP,TEG GR,BOSS GR,8002 JP
ITV LN,ITV LN,ITV LN,MWG VN,INDUSTOW IN,ITV LN,VGP BB,MWG VN,MWG VN,9984 JP,BME LN,MGFL IN,8015 JP,TEL NO,BPCL IN,8015 JP
JAGP IN,JAGP IN,JAGP IN,NMDC IN,INTUCH TB,JAGP IN,VHM VN,NMDC IN,NMDC IN,AAL LN,BMW GR,MNG LN,8031 JP,TEL2B SS,BRBY LN,8031 JP
JM SS,JM SS,JM SS,NOVOB DC,IRB IN,JM SS,VPK NA,NOVOB DC,NOVOB DC,ABDN LN,BNTX US,NCCB SS,8081 TT,TTCH IN,BSDE IJ,8035 JP
JSTL IN,JSTL IN,JSTL IN,NTB BH,ITMG IJ,JSTL IN,VPLAYB SS,NTB BH,NTB BH,ACB VN,BOL SS,NDA GR,8150 TT,ULVR LN,BT/A LN,8046 TT
KAZ LN,KAZ LN,KAZ LN,NXT LN,ITUB4 BZ,KAZ LN,VRLA FP,NXT LN,NXT LN,ADM LN,BPCL IN,NMDC IN,8299 TT,UNVR IJ,BTPS IJ,8053 JP
KIMBERA MM,KIMBERA MM,KIMBERA MM,OGDC PA,ITV LN,KIMBERA MM,WIHL SS,OGDC PA,OGDC PA,AEONTS TB,BWLPG NO,NOVOB DC,8464 TT,VBBR3 BZ,BWLPG NO,8058 JP
KINDSDB SS,KINDSDB SS,KINDSDB SS,OINL IN,IWG LN,KINDSDB SS,WMH LN,OINL IN,OINL IN,AIR FP,BYG LN,OINL IN,8473 JP,VEI NO,BWY LN,8464 TT
KL CN,KL CN,KL CN,ORNBV FH,JCI US,KL CN,,ORNBV FH,ORNBV FH,AKE FP,CAB MK,OMV AV,8750 JP,VHM VN,CAB MK,8876 JP
KLOVB SS,KLOVB SS,KLOVB SS,OSB LN,JM SS,KLOVB SS,,OSB LN,OSB LN,ALLE US,CAST SS,PEPL IN,9101 JP,VPLAYB SS,CESC IN,9024 JP
KTY PW,KTY PW,KTY PW,OTP HB,JPFA IJ,KTY PW,,OTP HB,OTP HB,ALPEKA MM,CATE SS,PETR4 BZ,9104 JP,,CM CN,9101 JP
LEG GR,LEG GR,LEG GR,PNJ VN,JUP LN,LEG GR,,PNJ VN,PNJ VN,ALPM IN,CCC LN,PHM SM,9107 JP,,COAL IN,9104 JP
LGEN LN,LGEN LN,LGEN LN,POLY LN,KAZ LN,LGEN LN,,POLY LN,POLY LN,AMXB MM,CCOLA TI,PHNX LN,9434 JP,,CP CN,9107 JP
LIF CN,LIF CN,LIF CN,PSN LN,KECI IN,LIF CN,,PSN LN,PSN LN,APAM NA,CDR PW,PKN PW,9938 TT,,CPG LN,9143 JP
LIGT3 BZ,LIGT3 BZ,LIGT3 BZ,PTBA IJ,KEY CN,LIGT3 BZ,,PTBA IJ,PTBA IJ,ARBP IN,CFP CN,PNN LN,9984 JP,,CSTRL IN,9147 JP
LOG SM,LOG SM,LOG SM,QBR/B CN,KIMBERA MM,LOG SM,,QBR/B CN,QBR/B CN,ARCLK TI,CIE SM,POLY LN,AAL LN,,CYL IN,9434 JP
LPPF IJ,LPPF IJ,LPPF IJ,RA MM,KKP TB,LPPF IJ,,RA MM,RA MM,ASHM LN,CIX CN,PWGR IN,ABBN SW,,DANSKE DC,9513 JP
MER PM,MER PM,MER PM,REAL CN,KLED SS,MER PM,,REAL CN,REAL CN,ASRNL NA,CNA LN,QBR/B CN,ABDN LN,,DBCL IN,9910 TT
MFG AU,MFG AU,MFG AU,REL LN,KTC TB,MFG AU,,REL LN,REL LN,AU US,COAL IN,REL LN,ACB VN,,DGE LN,AAL LN
MG CN,MG CN,MG CN,RMV LN,LGEN LN,MG CN,,RMV LN,RMV LN,AZA SS,CP CN,RMV LN,ADM LN,,DLG GR,ACLN SW
