,USDKRW BGN Curncy
,PX_LAST
2011-08-03,1060.38
2011-08-04,1061.7
2011-08-05,1067.35
2011-08-06,1067.35
2011-08-07,1067.35
2011-08-08,1083.22
2011-08-09,1088.0
2011-08-10,1080.2
2011-08-11,1081.74
2011-08-12,1079.63
2011-08-13,1079.63
2011-08-14,1079.63
2011-08-15,1072.2
2011-08-16,1070.05
2011-08-17,1071.52
2011-08-18,1074.0
2011-08-19,1087.55
2011-08-20,1087.55
2011-08-21,1087.55
2011-08-22,1083.88
2011-08-23,1077.9
2011-08-24,1082.24
2011-08-25,1087.66
2011-08-26,1081.85
2011-08-27,1081.85
2011-08-28,1081.85
2011-08-29,1073.77
2011-08-30,1071.7
2011-08-31,1066.77
2011-09-01,1061.3
2011-09-02,1063.02
2011-09-03,1063.02
2011-09-04,1063.02
2011-09-05,1068.84
2011-09-06,1074.82
2011-09-07,1071.84
2011-09-08,1075.13
2011-09-09,1077.3
2011-09-10,1077.3
2011-09-11,1077.3
2011-09-12,1097.3
2011-09-13,1095.4
2011-09-14,1107.7
2011-09-15,1116.26
2011-09-16,1112.1
2011-09-17,1112.1
2011-09-18,1112.1
2011-09-19,1137.07
2011-09-20,1148.9
2011-09-21,1149.82
2011-09-22,1179.85
2011-09-23,1167.31
2011-09-24,1167.31
2011-09-25,1167.31
2011-09-26,1192.85
2011-09-27,1173.55
2011-09-28,1170.59
2011-09-29,1173.7
2011-09-30,1178.1
2011-10-01,1178.1
2011-10-02,1178.1
2011-10-03,1196.9
2011-10-04,1194.2
2011-10-05,1190.22
2011-10-06,1191.15
2011-10-07,1178.4
2011-10-08,1178.4
2011-10-09,1178.4
2011-10-10,1171.3
2011-10-11,1164.5
2011-10-12,1166.85
2011-10-13,1155.9
2011-10-14,1156.13
2011-10-15,1156.13
2011-10-16,1156.13
2011-10-17,1140.45
2011-10-18,1145.65
2011-10-19,1132.3
2011-10-20,1145.17
2011-10-21,1147.5
2011-10-22,1147.5
2011-10-23,1147.5
2011-10-24,1134.6
2011-10-25,1129.16
2011-10-26,1132.45
2011-10-27,1115.22
2011-10-28,1104.88
2011-10-29,1104.88
2011-10-30,1104.88
2011-10-31,1110.21
2011-11-01,1113.88
2011-11-02,1121.9
2011-11-03,1129.9
2011-11-04,1110.7
2011-11-05,1110.7
2011-11-06,1110.7
2011-11-07,1116.85
2011-11-08,1121.1
2011-11-09,1117.32
2011-11-10,1134.38
2011-11-11,1126.61
2011-11-12,1126.61
2011-11-13,1126.61
2011-11-14,1123.25
2011-11-15,1126.15
2011-11-16,1136.57
2011-11-17,1130.5
2011-11-18,1139.13
2011-11-19,1139.13
2011-11-20,1139.13
2011-11-21,1140.6
2011-11-22,1145.32
2011-11-23,1151.85
2011-11-24,1158.8
2011-11-25,1164.2
2011-11-26,1164.2
2011-11-27,1164.2
2011-11-28,1154.35
2011-11-29,1145.15
2011-11-30,1142.57
2011-12-01,1126.1
2011-12-02,1131.3
2011-12-03,1131.3
2011-12-04,1131.3
2011-12-05,1129.8
2011-12-06,1131.35
2011-12-07,1125.95
2011-12-08,1131.42
2011-12-09,1146.82
2011-12-10,1146.82
2011-12-11,1146.82
2011-12-12,1146.95
2011-12-13,1153.99
2011-12-14,1156.15
2011-12-15,1162.92
2011-12-16,1158.72
2011-12-17,1158.72
2011-12-18,1158.72
2011-12-19,1174.8
2011-12-20,1162.17
2011-12-21,1149.25
2011-12-22,1156.15
2011-12-23,1150.2
2011-12-24,1150.2
2011-12-25,1150.2
2011-12-26,1154.9
2011-12-27,1158.68
2011-12-28,1155.61
2011-12-29,1151.82
2011-12-30,1152.45
2011-12-31,1152.45
2012-01-01,1152.45
2012-01-02,1155.86
2012-01-03,1150.82
2012-01-04,1148.6
2012-01-05,1152.56
2012-01-06,1162.75
2012-01-07,1162.75
