,USDNOK BGN Curncy
2010-04-07,5.9775
2010-04-08,5.9514
2010-04-09,5.9025
2010-04-10,5.9025
2010-04-11,5.9025
2010-04-12,5.8921
2010-04-13,5.8769
2010-04-14,5.8525
2010-04-15,5.8562
2010-04-16,5.898
2010-04-17,5.898
2010-04-18,5.898
2010-04-19,5.9106
2010-04-20,5.908
2010-04-21,5.9085
2010-04-22,5.9269
2010-04-23,5.8898
2010-04-24,5.8898
2010-04-25,5.8898
2010-04-26,5.8627
2010-04-27,5.9496
2010-04-28,5.955
2010-04-29,5.9183
2010-04-30,5.9049
2010-05-01,5.9049
2010-05-02,5.9049
2010-05-03,5.937
2010-05-04,6.0331
2010-05-05,6.0899
2010-05-06,6.2392
2010-05-07,6.2235
2010-05-08,6.2235
2010-05-09,6.2235
2010-05-10,6.1401
2010-05-11,6.1915
2010-05-12,6.1604
2010-05-13,6.1867
2010-05-14,6.2465
2010-05-15,6.2465
2010-05-16,6.2465
2010-05-17,6.2161
2010-05-18,6.3572
2010-05-19,6.391
2010-05-20,6.5259
2010-05-21,6.4504
2010-05-22,6.4504
2010-05-23,6.4504
2010-05-24,6.5112
2010-05-25,6.5691
2010-05-26,6.5833
2010-05-27,6.444
2010-05-28,6.4863
2010-05-29,6.4863
2010-05-30,6.4863
2010-05-31,6.4603
2010-06-01,6.4931
2010-06-02,6.4664
2010-06-03,6.4626
2010-06-04,6.5943
2010-06-05,6.5943
2010-06-06,6.5943
2010-06-07,6.7073
2010-06-08,6.6523
2010-06-09,6.6273
2010-06-10,6.4817
2010-06-11,6.4583
2010-06-12,6.4583
2010-06-13,6.4583
2010-06-14,6.4326
2010-06-15,6.3684
2010-06-16,6.3941
2010-06-17,6.3584
2010-06-18,6.361
2010-06-19,6.361
2010-06-20,6.361
2010-06-21,6.4299
2010-06-22,6.4691
2010-06-23,6.4907
2010-06-24,6.4948
2010-06-25,6.4469
2010-06-26,6.4469
2010-06-27,6.4469
2010-06-28,6.4336
2010-06-29,6.513
2010-06-30,6.4996
2010-07-01,6.4229
2010-07-02,6.4336
2010-07-03,6.4336
2010-07-04,6.4336
2010-07-05,6.4437
2010-07-06,6.3773
2010-07-07,6.3904
2010-07-08,6.3662
2010-07-09,6.3635
2010-07-10,6.3635
2010-07-11,6.3635
2010-07-12,6.3507
2010-07-13,6.2474
2010-07-14,6.2257
2010-07-15,6.1588
2010-07-16,6.2646
2010-07-17,6.2646
2010-07-18,6.2646
2010-07-19,6.3053
2010-07-20,6.2805
2010-07-21,6.2919
2010-07-22,6.175
2010-07-23,6.1763
2010-07-24,6.1763
2010-07-25,6.1763
2010-07-26,6.1605
2010-07-27,6.1683
2010-07-28,6.1588
2010-07-29,6.0854
2010-07-30,6.0758
2010-07-31,6.0758
2010-08-01,6.0758
2010-08-02,5.9637
2010-08-03,5.9591
2010-08-04,5.9936
2010-08-05,5.9856
2010-08-06,5.9527
2010-08-07,5.9527
2010-08-08,5.9527
2010-08-09,5.9845
2010-08-10,6.0271
2010-08-11,6.1955
2010-08-12,6.1809
2010-08-13,6.2158
2010-08-14,6.2158
2010-08-15,6.2158
2010-08-16,6.1626
2010-08-17,6.1295
2010-08-18,6.1606
2010-08-19,6.1839
2010-08-20,6.2345
2010-08-21,6.2345
2010-08-22,6.2345
2010-08-23,6.2418
2010-08-24,6.3105
2010-08-25,6.3112
2010-08-26,6.2997
2010-08-27,6.2371
2010-08-28,6.2371
2010-08-29,6.2371
2010-08-30,6.3151
2010-08-31,6.3025
2010-09-01,6.1886
2010-09-02,6.1433
2010-09-03,6.1065
2010-09-04,6.1065
2010-09-05,6.1065
2010-09-06,6.1146
2010-09-07,6.2223
2010-09-08,6.1967
2010-09-09,6.1859
2010-09-10,6.2033
2010-09-11,6.2033
2010-09-12,6.2033
2010-09-13,6.1028
2010-09-14,6.0498
2010-09-15,6.0909
2010-09-16,6.0948
2010-09-17,6.1149
2010-09-18,6.1149
2010-09-19,6.1149
2010-09-20,6.048
2010-09-21,5.9602
2010-09-22,5.8831
2010-09-23,5.9598
2010-09-24,5.8835
2010-09-25,5.8835
2010-09-26,5.8835
2010-09-27,5.9043
2010-09-28,5.8512
2010-09-29,5.858
2010-09-30,5.8768
2010-10-01,5.8256
2010-10-02,5.8256
2010-10-03,5.8256
2010-10-04,5.8685
2010-10-05,5.8171
2010-10-06,5.7646
2010-10-07,5.8245
2010-10-08,5.8178
2010-10-09,5.8178
2010-10-10,5.8178
2010-10-11,5.8445
2010-10-12,5.8489
2010-10-13,5.7869
2010-10-14,5.7316
2010-10-15,5.794
2010-10-16,5.794
2010-10-17,5.794
2010-10-18,5.8522
2010-10-19,5.9435
2010-10-20,5.823
2010-10-21,5.8517
2010-10-22,5.7966
2010-10-23,5.7966
2010-10-24,5.7966
2010-10-25,5.7944
2010-10-26,5.8659
2010-10-27,5.9072
2010-10-28,5.8908
2010-10-29,5.8482
2010-10-30,5.8482
2010-10-31,5.8482
2010-11-01,5.8799
2010-11-02,5.8375
2010-11-03,5.7878
2010-11-04,5.7368
2010-11-05,5.7595
2010-11-06,5.7595
2010-11-07,5.7595
2010-11-08,5.8147
2010-11-09,5.8546
2010-11-10,5.8601
2010-11-11,5.9304
2010-11-12,5.9544
2010-11-13,5.9544
2010-11-14,5.9544
2010-11-15,5.9839
2010-11-16,6.0697
2010-11-17,6.0288
2010-11-18,5.9849
2010-11-19,5.9966
2010-11-20,5.9966
2010-11-21,5.9966
2010-11-22,6.0083
2010-11-23,6.1054
2010-11-24,6.0924
2010-11-25,6.0878
2010-11-26,6.155
2010-11-27,6.155
2010-11-28,6.155
2010-11-29,6.1561
2010-11-30,6.2093
2010-12-01,6.1365
2010-12-02,6.0856
2010-12-03,5.9523
2010-12-04,5.9523
2010-12-05,5.9523
2010-12-06,5.9972
2010-12-07,6.0061
2010-12-08,6.0101
2010-12-09,6.0385
2010-12-10,6.0052
2010-12-11,6.0052
2010-12-12,6.0052
2010-12-13,5.9217
2010-12-14,5.8975
2010-12-15,5.9736
2010-12-16,5.9496
2010-12-17,5.986
2010-12-18,5.986
2010-12-19,5.986
2010-12-20,5.9795
2010-12-21,5.9841
2010-12-22,5.9908
2010-12-23,5.9757
2010-12-24,5.9646
2010-12-25,5.9646
2010-12-26,5.9646
2010-12-27,5.9447
2010-12-28,5.96
2010-12-29,5.9113
2010-12-30,5.885
2010-12-31,5.8218
2011-01-01,5.8218
2011-01-02,5.8218
2011-01-03,5.8277
2011-01-04,5.8631
2011-01-05,5.9028
2011-01-06,5.9603
2011-01-07,5.991
2011-01-08,5.991
2011-01-09,5.991
2011-01-10,5.9749
2011-01-11,5.9502
2011-01-12,5.9059
2011-01-13,5.872
2011-01-14,5.8414
2011-01-15,5.8414
2011-01-16,5.8414
2011-01-17,5.8602
2011-01-18,5.8283
2011-01-19,5.8195
2011-01-20,5.8731
2011-01-21,5.8177
2011-01-22,5.8177
2011-01-23,5.8177
2011-01-24,5.7863
2011-01-25,5.7628
2011-01-26,5.7599
2011-01-27,5.7998
2011-01-28,5.8183
2011-01-29,5.8183
2011-01-30,5.8183
2011-01-31,5.7755
2011-02-01,5.7006
2011-02-02,5.7126
2011-02-03,5.741
2011-02-04,5.7558
2011-02-05,5.7558
2011-02-06,5.7558
2011-02-07,5.7812
2011-02-08,5.7743
2011-02-09,5.7574
2011-02-10,5.8254
2011-02-11,5.8496
2011-02-12,5.8496
2011-02-13,5.8496
2011-02-14,5.8302
2011-02-15,5.8237
2011-02-16,5.7253
2011-02-17,5.7036
2011-02-18,5.6684
2011-02-19,5.6684
2011-02-20,5.6684
2011-02-21,5.6771
2011-02-22,5.6786
2011-02-23,5.6346
2011-02-24,5.6184
2011-02-25,5.6373
2011-02-26,5.6373
2011-02-27,5.6373
2011-02-28,5.5954
2011-03-01,5.6036
2011-03-02,5.5469
2011-03-03,5.5606
2011-03-04,5.5673
2011-03-05,5.5673
2011-03-06,5.5673
2011-03-07,5.5517
2011-03-08,5.5825
2011-03-09,5.5707
2011-03-10,5.6558
2011-03-11,5.5972
2011-03-12,5.5972
2011-03-13,5.5972
2011-03-14,5.6005
2011-03-15,5.6612
2011-03-16,5.6683
2011-03-17,5.6564
2011-03-18,5.5652
2011-03-19,5.5652
2011-03-20,5.5652
2011-03-21,5.539
2011-03-22,5.5681
2011-03-23,5.6098
2011-03-24,5.5568
2011-03-25,5.6018
2011-03-26,5.6018
2011-03-27,5.6018
2011-03-28,5.6008
2011-03-29,5.5924
2011-03-30,5.5763
2011-03-31,5.5394
2011-04-01,5.4881
2011-04-02,5.4881
2011-04-03,5.4881
2011-04-04,5.4876
2011-04-05,5.4791
2011-04-06,5.4601
2011-04-07,5.463
2011-04-08,5.3849
2011-04-09,5.3849
2011-04-10,5.3849
2011-04-11,5.4505
2011-04-12,5.4655
2011-04-13,5.4542
2011-04-14,5.3974
2011-04-15,5.3724
2011-04-16,5.3724
2011-04-17,5.3724
2011-04-18,5.4785
2011-04-19,5.4243
2011-04-20,5.3555
2011-04-21,5.3603
2011-04-22,5.3667
2011-04-23,5.3667
2011-04-24,5.3667
2011-04-25,5.3576
2011-04-26,5.3226
2011-04-27,5.2765
2011-04-28,5.2454
2011-04-29,5.2499
2011-04-30,5.2499
2011-05-01,5.2499
2011-05-02,5.2495
2011-05-03,5.2794
2011-05-04,5.3213
2011-05-05,5.4728
2011-05-06,5.5329
2011-05-07,5.5329
2011-05-08,5.5329
2011-05-09,5.4699
2011-05-10,5.4217
2011-05-11,5.5177
2011-05-12,5.5049
2011-05-13,5.5669
2011-05-14,5.5669
2011-05-15,5.5669
2011-05-16,5.5752
2011-05-17,5.5678
2011-05-18,5.5406
2011-05-19,5.5057
2011-05-20,5.5475
2011-05-21,5.5475
2011-05-22,5.5475
2011-05-23,5.5977
2011-05-24,5.5636
2011-05-25,5.5473
2011-05-26,5.4993
2011-05-27,5.4252
2011-05-28,5.4252
2011-05-29,5.4252
2011-05-30,5.4328
2011-05-31,5.38
2011-06-01,5.4441
2011-06-02,5.3759
2011-06-03,5.3294
2011-06-04,5.3294
2011-06-05,5.3294
2011-06-06,5.3817
2011-06-07,5.3407
2011-06-08,5.4027
2011-06-09,5.4215
2011-06-10,5.4852
2011-06-11,5.4852
2011-06-12,5.4852
2011-06-13,5.4308
2011-06-14,5.4066
2011-06-15,5.5517
2011-06-16,5.5175
2011-06-17,5.5229
2011-06-18,5.5229
2011-06-19,5.5229
2011-06-20,5.5411
2011-06-21,5.4866
2011-06-22,5.4411
2011-06-23,5.46
2011-06-24,5.4889
2011-06-25,5.4889
2011-06-26,5.4889
2011-06-27,5.4664
2011-06-28,5.4161
2011-06-29,5.3806
2011-06-30,5.3873
2011-07-01,5.3652
2011-07-02,5.3652
2011-07-03,5.3652
2011-07-04,5.3378
2011-07-05,5.375
2011-07-06,5.4156
2011-07-07,5.3753
2011-07-08,5.4117
2011-07-09,5.4117
2011-07-10,5.4117
2011-07-11,5.523
2011-07-12,5.599
2011-07-13,5.53
2011-07-14,5.5485
2011-07-15,5.555
2011-07-16,5.555
2011-07-17,5.555
2011-07-18,5.5701
2011-07-19,5.5222
2011-07-20,5.4935
2011-07-21,5.3987
2011-07-22,5.4144
2011-07-23,5.4144
2011-07-24,5.4144
2011-07-25,5.4154
2011-07-26,5.347
2011-07-27,5.4058
2011-07-28,5.4008
2011-07-29,5.3774
2011-07-30,5.3774
2011-07-31,5.3774
2011-08-01,5.3793
2011-08-02,5.4197
2011-08-03,5.3643
2011-08-04,5.5375
2011-08-05,5.4758
2011-08-06,5.4758
2011-08-07,5.4758
2011-08-08,5.4768
2011-08-09,5.4505
2011-08-10,5.5537
2011-08-11,5.5321
2011-08-12,5.5236
2011-08-13,5.5236
2011-08-14,5.5236
2011-08-15,5.4347
2011-08-16,5.4426
2011-08-17,5.391
2011-08-18,5.469
2011-08-19,5.4644
2011-08-20,5.4644
2011-08-21,5.4644
2011-08-22,5.4543
2011-08-23,5.4266
2011-08-24,5.4351
2011-08-25,5.4339
2011-08-26,5.3687
2011-08-27,5.3687
2011-08-28,5.3687
2011-08-29,5.3472
2011-08-30,5.3603
2011-08-31,5.366
2011-09-01,5.4076
2011-09-02,5.397
2011-09-03,5.397
2011-09-04,5.397
2011-09-05,5.444
2011-09-06,5.4091
2011-09-07,5.3853
2011-09-08,5.4182
2011-09-09,5.5465
2011-09-10,5.5465
2011-09-11,5.5465
2011-09-12,5.6199
2011-09-13,5.6212
2011-09-14,5.6543
2011-09-15,5.5674
2011-09-16,5.5738
2011-09-17,5.5738
2011-09-18,5.5738
2011-09-19,5.6811
2011-09-20,5.6285
2011-09-21,5.7364
2011-09-22,5.8532
2011-09-23,5.8487
2011-09-24,5.8487
2011-09-25,5.8487
2011-09-26,5.7521
2011-09-27,5.7652
2011-09-28,5.7976
2011-09-29,5.796
2011-09-30,5.8657
2011-10-01,5.8657
2011-10-02,5.8657
2011-10-03,5.923
2011-10-04,5.8669
2011-10-05,5.8539
2011-10-06,5.8268
2011-10-07,5.8303
2011-10-08,5.8303
2011-10-09,5.8303
2011-10-10,5.7095
2011-10-11,5.6941
2011-10-12,5.6312
2011-10-13,5.6195
2011-10-14,5.5626
2011-10-15,5.5626
2011-10-16,5.5626
2011-10-17,5.6388
2011-10-18,5.6121
2011-10-19,5.6181
2011-10-20,5.611
2011-10-21,5.5602
2011-10-22,5.5602
2011-10-23,5.5602
2011-10-24,5.5248
2011-10-25,5.5343
2011-10-26,5.5093
2011-10-27,5.4106
2011-10-28,5.4313
2011-10-29,5.4313
2011-10-30,5.4313
2011-10-31,5.5534
2011-11-01,5.6598
2011-11-02,5.6557
2011-11-03,5.5864
2011-11-04,5.6087
2011-11-05,5.6087
2011-11-06,5.6087
2011-11-07,5.6029
2011-11-08,5.5935
2011-11-09,5.734
2011-11-10,5.6944
2011-11-11,5.638
2011-11-12,5.638
2011-11-13,5.638
2011-11-14,5.7172
2011-11-15,5.7483
2011-11-16,5.7984
2011-11-17,5.8207
2011-11-18,5.7915
2011-11-19,5.7915
2011-11-20,5.7915
2011-11-21,5.7953
2011-11-22,5.7789
2011-11-23,5.8637
2011-11-24,5.8765
2011-11-25,5.9293
2011-11-26,5.9293
2011-11-27,5.9293
2011-11-28,5.8981
2011-11-29,5.85
2011-11-30,5.771
2011-12-01,5.8088
2011-12-02,5.7901
2011-12-03,5.7901
2011-12-04,5.7901
2011-12-05,5.7752
2011-12-06,5.7556
2011-12-07,5.7426
2011-12-08,5.7888
2011-12-09,5.7461
2011-12-10,5.7461
2011-12-11,5.7461
2011-12-12,5.8368
2011-12-13,5.9373
2011-12-14,5.9819
2011-12-15,5.996
2011-12-16,5.9557
2011-12-17,5.9557
2011-12-18,5.9557
2011-12-19,5.9468
2011-12-20,5.8993
2011-12-21,5.9262
2011-12-22,5.9522
2011-12-23,5.9731
2011-12-24,5.9731
2011-12-25,5.9731
2011-12-26,5.9673
2011-12-27,5.9694
2011-12-28,6.0268
2011-12-29,5.9948
2011-12-30,5.9751
2011-12-31,5.9751
2012-01-01,5.9751
2012-01-02,5.9868
2012-01-03,5.9133
2012-01-04,5.9433
2012-01-05,6.0243
2012-01-06,6.0352
2012-01-07,6.0352
2012-01-08,6.0352
2012-01-09,6.0069
2012-01-10,5.9946
2012-01-11,6.0426
2012-01-12,6.0168
2012-01-13,6.0585
2012-01-14,6.0585
2012-01-15,6.0585
2012-01-16,6.0573
2012-01-17,6.0386
2012-01-18,5.9675
2012-01-19,5.9054
2012-01-20,5.9324
2012-01-21,5.9324
2012-01-22,5.9324
2012-01-23,5.8612
2012-01-24,5.8864
2012-01-25,5.8496
2012-01-26,5.8317
2012-01-27,5.8001
2012-01-28,5.8001
2012-01-29,5.8001
2012-01-30,5.8148
2012-01-31,5.8636
2012-02-01,5.8072
2012-02-02,5.8246
2012-02-03,5.7969
2012-02-04,5.7969
2012-02-05,5.7969
2012-02-06,5.8177
2012-02-07,5.7653
2012-02-08,5.7498
2012-02-09,5.7484
2012-02-10,5.7428
2012-02-11,5.7428
2012-02-12,5.7428
2012-02-13,5.7197
2012-02-14,5.7336
2012-02-15,5.7823
2012-02-16,5.7291
2012-02-17,5.7135
2012-02-18,5.7135
2012-02-19,5.7135
2012-02-20,5.669
2012-02-21,5.6957
2012-02-22,5.6506
2012-02-23,5.615
2012-02-24,5.5745
2012-02-25,5.5745
2012-02-26,5.5745
2012-02-27,5.6055
2012-02-28,5.5665
2012-02-29,5.5919
2012-03-01,5.5727
2012-03-02,5.6075
2012-03-03,5.6075
2012-03-04,5.6075
2012-03-05,5.6182
2012-03-06,5.7064
2012-03-07,5.6523
2012-03-08,5.5885
2012-03-09,5.7007
2012-03-10,5.7007
2012-03-11,5.7007
2012-03-12,5.6767
2012-03-13,5.6985
2012-03-14,5.824
2012-03-15,5.7813
2012-03-16,5.7296
2012-03-17,5.7296
2012-03-18,5.7296
2012-03-19,5.7198
2012-03-20,5.7641
2012-03-21,5.7543
2012-03-22,5.789
2012-03-23,5.7565
2012-03-24,5.7565
2012-03-25,5.7565
2012-03-26,5.674
2012-03-27,5.704
2012-03-28,5.7403
2012-03-29,5.7444
2012-03-30,5.6926
2012-03-31,5.6926
2012-04-01,5.6926
2012-04-02,5.6751
2012-04-03,5.7241
2012-04-04,5.7526
2012-04-05,5.7921
2012-04-06,5.7875
2012-04-07,5.7875
2012-04-08,5.7875
2012-04-09,5.7785
2012-04-10,5.8087
2012-04-11,5.8103
2012-04-12,5.7658
2012-04-13,5.7861
2012-04-14,5.7861
2012-04-15,5.7861
2012-04-16,5.7458
2012-04-17,5.7475
2012-04-18,5.7517
2012-04-19,5.7442
2012-04-20,5.717
2012-04-21,5.717
2012-04-22,5.717
2012-04-23,5.7398
2012-04-24,5.7342
2012-04-25,5.7198
2012-04-26,5.7404
2012-04-27,5.7242
2012-04-28,5.7242
2012-04-29,5.7242
2012-04-30,5.7216
2012-05-01,5.7201
2012-05-02,5.7424
2012-05-03,5.7461
2012-05-04,5.7986
2012-05-05,5.7986
2012-05-06,5.7986
2012-05-07,5.8004
2012-05-08,5.8278
2012-05-09,5.8412
2012-05-10,5.8683
2012-05-11,5.859
2012-05-12,5.859
2012-05-13,5.859
2012-05-14,5.9328
2012-05-15,6.001
2012-05-16,5.978
2012-05-17,5.9926
2012-05-18,5.9663
2012-05-19,5.9663
2012-05-20,5.9663
2012-05-21,5.9406
2012-05-22,5.9845
2012-05-23,5.9902
2012-05-24,6.0287
2012-05-25,6.0168
2012-05-26,6.0168
2012-05-27,6.0168
2012-05-28,6.0055
2012-05-29,6.0199
2012-05-30,6.0925
2012-05-31,6.1174
2012-06-01,6.1232
2012-06-02,6.1232
2012-06-03,6.1232
2012-06-04,6.0728
2012-06-05,6.1093
2012-06-06,6.0603
2012-06-07,6.0464
2012-06-08,6.0524
2012-06-09,6.0524
2012-06-10,6.0524
2012-06-11,6.0457
2012-06-12,6.0076
2012-06-13,5.9846
2012-06-14,5.9417
2012-06-15,5.9591
2012-06-16,5.9591
2012-06-17,5.9591
2012-06-18,5.9843
2012-06-19,5.943
2012-06-20,5.897
2012-06-21,5.9747
2012-06-22,5.9588
2012-06-23,5.9588
2012-06-24,5.9588
2012-06-25,6.0044
2012-06-26,6.0124
2012-06-27,6.0388
2012-06-28,6.0572
2012-06-29,5.9587
2012-06-30,5.9587
2012-07-01,5.9587
2012-07-02,5.9704
2012-07-03,5.9623
2012-07-04,5.9887
2012-07-05,6.0511
2012-07-06,6.1165
2012-07-07,6.1165
2012-07-08,6.1165
2012-07-09,6.0804
2012-07-10,6.1018
2012-07-11,6.1116
2012-07-12,6.1063
2012-07-13,6.0992
2012-07-14,6.0992
2012-07-15,6.0992
2012-07-16,6.0873
2012-07-17,6.0722
2012-07-18,6.0968
2012-07-19,6.0567
2012-07-20,6.0632
2012-07-21,6.0632
2012-07-22,6.0632
2012-07-23,6.0822
2012-07-24,6.116
2012-07-25,6.0738
2012-07-26,6.0193
2012-07-27,6.0451
2012-07-28,6.0451
2012-07-29,6.0451
2012-07-30,6.0406
2012-07-31,6.0335
2012-08-01,6.0432
2012-08-02,6.0485
2012-08-03,5.9791
2012-08-04,5.9791
2012-08-05,5.9791
2012-08-06,5.9602
2012-08-07,5.9217
2012-08-08,5.8791
2012-08-09,5.916
2012-08-10,5.9149
2012-08-11,5.9149
2012-08-12,5.9149
2012-08-13,5.941
2012-08-14,5.9385
2012-08-15,5.9469
2012-08-16,5.9461
2012-08-17,5.9153
2012-08-18,5.9153
2012-08-19,5.9153
2012-08-20,5.9203
2012-08-21,5.8807
2012-08-22,5.8604
2012-08-23,5.829
2012-08-24,5.8306
2012-08-25,5.8306
2012-08-26,5.8306
2012-08-27,5.8387
2012-08-28,5.8297
2012-08-29,5.8208
2012-08-30,5.8179
2012-08-31,5.7975
2012-09-01,5.7975
2012-09-02,5.7975
2012-09-03,5.8111
2012-09-04,5.8025
2012-09-05,5.8303
2012-09-06,5.8492
2012-09-07,5.7205
2012-09-08,5.7205
2012-09-09,5.7205
2012-09-10,5.793
2012-09-11,5.7678
2012-09-12,5.7388
2012-09-13,5.718
2012-09-14,5.6842
2012-09-15,5.6842
2012-09-16,5.6842
2012-09-17,5.7004
2012-09-18,5.7089
2012-09-19,5.7027
2012-09-20,5.7385
2012-09-21,5.7399
2012-09-22,5.7399
2012-09-23,5.7399
2012-09-24,5.7453
2012-09-25,5.7354
2012-09-26,5.7505
2012-09-27,5.7101
2012-09-28,5.7251
2012-09-29,5.7251
2012-09-30,5.7251
2012-10-01,5.7322
2012-10-02,5.7066
2012-10-03,5.7588
2012-10-04,5.6956
2012-10-05,5.6797
2012-10-06,5.6797
2012-10-07,5.6797
2012-10-08,5.7162
2012-10-09,5.7302
2012-10-10,5.7374
2012-10-11,5.709
2012-10-12,5.7098
2012-10-13,5.7098
2012-10-14,5.7098
2012-10-15,5.7102
2012-10-16,5.6596
2012-10-17,5.6359
2012-10-18,5.6368
2012-10-19,5.6604
2012-10-20,5.6604
2012-10-21,5.6604
2012-10-22,5.6723
2012-10-23,5.7276
2012-10-24,5.7492
2012-10-25,5.7751
2012-10-26,5.7729
2012-10-27,5.7729
2012-10-28,5.7729
2012-10-29,5.7696
2012-10-30,5.7315
2012-10-31,5.7021
2012-11-01,5.6771
2012-11-02,5.7381
2012-11-03,5.7381
2012-11-04,5.7381
2012-11-05,5.7323
2012-11-06,5.7144
2012-11-07,5.7372
2012-11-08,5.7235
2012-11-09,5.7435
2012-11-10,5.7435
2012-11-11,5.7435
2012-11-12,5.7461
2012-11-13,5.7728
2012-11-14,5.7585
2012-11-15,5.7589
2012-11-16,5.7858
2012-11-17,5.7858
2012-11-18,5.7858
2012-11-19,5.7364
2012-11-20,5.7349
2012-11-21,5.7095
2012-11-22,5.683
2012-11-23,5.66
2012-11-24,5.66
2012-11-25,5.66
2012-11-26,5.6505
2012-11-27,5.6885
2012-11-28,5.6674
2012-11-29,5.6861
2012-11-30,5.6733
2012-12-01,5.6733
2012-12-02,5.6733
2012-12-03,5.6379
2012-12-04,5.6208
2012-12-05,5.6261
2012-12-06,5.6531
2012-12-07,5.6738
2012-12-08,5.6738
2012-12-09,5.6738
2012-12-10,5.6706
2012-12-11,5.6482
2012-12-12,5.6201
2012-12-13,5.6278
2012-12-14,5.6204
2012-12-15,5.6204
2012-12-16,5.6204
2012-12-17,5.6116
2012-12-18,5.5965
2012-12-19,5.5708
2012-12-20,5.5569
2012-12-21,5.5747
2012-12-22,5.5747
2012-12-23,5.5747
2012-12-24,5.5923
2012-12-25,5.6026
2012-12-26,5.591
2012-12-27,5.5754
2012-12-28,5.5851
2012-12-29,5.5851
2012-12-30,5.5851
2012-12-31,5.5648
2013-01-01,5.5632
2013-01-02,5.5457
2013-01-03,5.5859
2013-01-04,5.6038
2013-01-05,5.6038
2013-01-06,5.6038
2013-01-07,5.5854
2013-01-08,5.6026
2013-01-09,5.596
2013-01-10,5.5233
2013-01-11,5.5302
2013-01-12,5.5302
2013-01-13,5.5302
2013-01-14,5.5027
2013-01-15,5.5687
2013-01-16,5.5705
2013-01-17,5.5666
2013-01-18,5.6001
2013-01-19,5.6001
2013-01-20,5.6001
2013-01-21,5.6032
2013-01-22,5.5776
2013-01-23,5.5584
2013-01-24,5.5277
2013-01-25,5.5222
2013-01-26,5.5222
2013-01-27,5.5222
2013-01-28,5.5328
2013-01-29,5.4958
2013-01-30,5.4762
2013-01-31,5.4653
2013-02-01,5.455
2013-02-02,5.455
2013-02-03,5.455
2013-02-04,5.4771
2013-02-05,5.4761
2013-02-06,5.5
2013-02-07,5.521
2013-02-08,5.5368
2013-02-09,5.5368
2013-02-10,5.5368
2013-02-11,5.5032
2013-02-12,5.4848
2013-02-13,5.4776
2013-02-14,5.537
2013-02-15,5.5435
2013-02-16,5.5435
2013-02-17,5.5435
2013-02-18,5.5551
2013-02-19,5.5351
2013-02-20,5.5978
2013-02-21,5.676
2013-02-22,5.6641
2013-02-23,5.6641
2013-02-24,5.6641
2013-02-25,5.7037
2013-02-26,5.703
2013-02-27,5.689
2013-02-28,5.7378
2013-03-01,5.7543
2013-03-02,5.7543
2013-03-03,5.7543
2013-03-04,5.7127
2013-03-05,5.697
2013-03-06,5.7241
2013-03-07,5.6671
2013-03-08,5.7258
2013-03-09,5.7258
2013-03-10,5.7258
2013-03-11,5.7218
2013-03-12,5.7093
2013-03-13,5.7411
2013-03-14,5.7931
2013-03-15,5.7596
2013-03-16,5.7596
2013-03-17,5.7596
2013-03-18,5.7863
