,USDTRY BGN Curncy
2010-08-16,1.5112
2010-08-17,1.4977
2010-08-18,1.5027
2010-08-19,1.5109
2010-08-20,1.5142
2010-08-21,1.5142
2010-08-22,1.5142
2010-08-23,1.5291
2010-08-24,1.5333
2010-08-25,1.527
2010-08-26,1.523
2010-08-27,1.5161
2010-08-28,1.5161
2010-08-29,1.5161
2010-08-30,1.5262
2010-08-31,1.5265
2010-09-01,1.5165
2010-09-02,1.5105
2010-09-03,1.5
2010-09-04,1.5
2010-09-05,1.5
2010-09-06,1.5027
2010-09-07,1.5175
2010-09-08,1.5155
2010-09-09,1.512
2010-09-10,1.5103
2010-09-11,1.5103
2010-09-12,1.5103
2010-09-13,1.4954
2010-09-14,1.491
2010-09-15,1.4909
2010-09-16,1.4955
2010-09-17,1.494
2010-09-18,1.494
2010-09-19,1.494
2010-09-20,1.4913
2010-09-21,1.4869
2010-09-22,1.4856
2010-09-23,1.4863
2010-09-24,1.4735
2010-09-25,1.4735
2010-09-26,1.4735
2010-09-27,1.4726
2010-09-28,1.4643
2010-09-29,1.4521
2010-09-30,1.4456
2010-10-01,1.4421
2010-10-02,1.4421
2010-10-03,1.4421
2010-10-04,1.4546
2010-10-05,1.4281
2010-10-06,1.4196
2010-10-07,1.4268
2010-10-08,1.4156
2010-10-09,1.4156
2010-10-10,1.4156
2010-10-11,1.4144
2010-10-12,1.4097
2010-10-13,1.4066
2010-10-14,1.4075
2010-10-15,1.4142
2010-10-16,1.4142
2010-10-17,1.4142
2010-10-18,1.4164
2010-10-19,1.4382
2010-10-20,1.4252
2010-10-21,1.4289
2010-10-22,1.4263
2010-10-23,1.4263
2010-10-24,1.4263
2010-10-25,1.4161
2010-10-26,1.4274
2010-10-27,1.4419
2010-10-28,1.4311
2010-10-29,1.4329
2010-10-30,1.4329
2010-10-31,1.4329
2010-11-01,1.4261
2010-11-02,1.4126
2010-11-03,1.4038
2010-11-04,1.395
2010-11-05,1.397
2010-11-06,1.397
2010-11-07,1.397
2010-11-08,1.4092
2010-11-09,1.4162
2010-11-10,1.4162
2010-11-11,1.4367
2010-11-12,1.4395
2010-11-13,1.4395
2010-11-14,1.4395
2010-11-15,1.4462
2010-11-16,1.464
2010-11-17,1.4578
2010-11-18,1.4452
2010-11-19,1.442
2010-11-20,1.442
2010-11-21,1.442
2010-11-22,1.4545
2010-11-23,1.4855
2010-11-24,1.4785
2010-11-25,1.4706
2010-11-26,1.4877
2010-11-27,1.4877
2010-11-28,1.4877
2010-11-29,1.5044
2010-11-30,1.5044
2010-12-01,1.4889
2010-12-02,1.484
2010-12-03,1.4763
2010-12-04,1.4763
2010-12-05,1.4763
2010-12-06,1.4811
2010-12-07,1.4841
2010-12-08,1.4942
2010-12-09,1.5082
2010-12-10,1.5053
2010-12-11,1.5053
2010-12-12,1.5053
2010-12-13,1.5058
2010-12-14,1.5135
2010-12-15,1.5245
2010-12-16,1.522
2010-12-17,1.5456
2010-12-18,1.5456
2010-12-19,1.5456
2010-12-20,1.5595
2010-12-21,1.557
2010-12-22,1.5511
2010-12-23,1.5461
2010-12-24,1.5472
2010-12-25,1.5472
2010-12-26,1.5472
2010-12-27,1.5456
2010-12-28,1.5624
2010-12-29,1.5521
2010-12-30,1.5554
2010-12-31,1.5439
2011-01-01,1.5439
2011-01-02,1.5439
2011-01-03,1.5569
2011-01-04,1.5403
2011-01-05,1.5445
2011-01-06,1.5526
2011-01-07,1.5751
2011-01-08,1.5751
2011-01-09,1.5751
2011-01-10,1.577
2011-01-11,1.5782
2011-01-12,1.5605
2011-01-13,1.5493
2011-01-14,1.5526
2011-01-15,1.5526
2011-01-16,1.5526
2011-01-17,1.5424
2011-01-18,1.541
2011-01-19,1.5491
2011-01-20,1.5839
2011-01-21,1.573
2011-01-22,1.573
2011-01-23,1.573
2011-01-24,1.5632
2011-01-25,1.5687
2011-01-26,1.576
2011-01-27,1.5813
2011-01-28,1.6148
2011-01-29,1.6148
2011-01-30,1.6148
2011-01-31,1.6043
2011-02-01,1.5787
2011-02-02,1.5766
2011-02-03,1.5944
2011-02-04,1.5851
2011-02-05,1.5851
2011-02-06,1.5851
2011-02-07,1.577
2011-02-08,1.5753
2011-02-09,1.5898
2011-02-10,1.5916
2011-02-11,1.5878
2011-02-12,1.5878
2011-02-13,1.5878
2011-02-14,1.595
2011-02-15,1.5973
2011-02-16,1.5838
2011-02-17,1.5743
2011-02-18,1.5779
2011-02-19,1.5779
2011-02-20,1.5779
2011-02-21,1.5918
2011-02-22,1.5984
2011-02-23,1.6087
2011-02-24,1.6034
2011-02-25,1.5985
2011-02-26,1.5985
2011-02-27,1.5985
2011-02-28,1.598
2011-03-01,1.6158
2011-03-02,1.6191
2011-03-03,1.5969
2011-03-04,1.5982
2011-03-05,1.5982
2011-03-06,1.5982
2011-03-07,1.5967
2011-03-08,1.5891
2011-03-09,1.5803
2011-03-10,1.5837
2011-03-11,1.5827
2011-03-12,1.5827
2011-03-13,1.5827
2011-03-14,1.5687
2011-03-15,1.579
2011-03-16,1.5915
2011-03-17,1.5893
2011-03-18,1.5788
2011-03-19,1.5788
2011-03-20,1.5788
2011-03-21,1.577
2011-03-22,1.5622
2011-03-23,1.5576
2011-03-24,1.5514
2011-03-25,1.5561
2011-03-26,1.5561
2011-03-27,1.5561
2011-03-28,1.5614
2011-03-29,1.5558
2011-03-30,1.552
2011-03-31,1.5452
2011-04-01,1.5299
2011-04-02,1.5299
2011-04-03,1.5299
2011-04-04,1.5321
2011-04-05,1.5294
2011-04-06,1.5139
2011-04-07,1.5117
2011-04-08,1.5106
2011-04-09,1.5106
2011-04-10,1.5106
2011-04-11,1.5163
2011-04-12,1.5233
2011-04-13,1.5195
2011-04-14,1.5174
2011-04-15,1.5126
2011-04-16,1.5126
2011-04-17,1.5126
2011-04-18,1.5414
2011-04-19,1.5296
2011-04-20,1.5192
2011-04-21,1.5211
2011-04-22,1.518
2011-04-23,1.518
2011-04-24,1.518
2011-04-25,1.5263
2011-04-26,1.525
2011-04-27,1.5163
2011-04-28,1.5247
2011-04-29,1.5212
2011-04-30,1.5212
2011-05-01,1.5212
2011-05-02,1.5218
2011-05-03,1.5336
2011-05-04,1.5471
2011-05-05,1.5488
2011-05-06,1.5445
2011-05-07,1.5445
2011-05-08,1.5445
2011-05-09,1.5467
2011-05-10,1.5597
2011-05-11,1.5871
2011-05-12,1.5777
2011-05-13,1.5971
2011-05-14,1.5971
2011-05-15,1.5971
2011-05-16,1.5921
2011-05-17,1.5854
2011-05-18,1.5727
2011-05-19,1.5742
2011-05-20,1.586
2011-05-21,1.586
2011-05-22,1.586
2011-05-23,1.6035
2011-05-24,1.5981
2011-05-25,1.606
2011-05-26,1.6033
2011-05-27,1.6052
2011-05-28,1.6052
2011-05-29,1.6052
2011-05-30,1.6039
2011-05-31,1.5934
2011-06-01,1.5996
2011-06-02,1.5809
2011-06-03,1.5733
2011-06-04,1.5733
2011-06-05,1.5733
2011-06-06,1.5869
2011-06-07,1.5809
2011-06-08,1.5824
2011-06-09,1.5728
2011-06-10,1.5753
2011-06-11,1.5753
2011-06-12,1.5753
2011-06-13,1.5759
2011-06-14,1.5853
2011-06-15,1.6078
2011-06-16,1.6101
2011-06-17,1.596
2011-06-18,1.596
2011-06-19,1.596
2011-06-20,1.6011
2011-06-21,1.612
2011-06-22,1.6175
2011-06-23,1.6305
2011-06-24,1.6365
2011-06-25,1.6365
2011-06-26,1.6365
2011-06-27,1.6372
2011-06-28,1.6426
2011-06-29,1.6219
2011-06-30,1.623
2011-07-01,1.6069
2011-07-02,1.6069
2011-07-03,1.6069
2011-07-04,1.6159
2011-07-05,1.6268
2011-07-06,1.6326
2011-07-07,1.6173
2011-07-08,1.6275
2011-07-09,1.6275
2011-07-10,1.6275
2011-07-11,1.6465
2011-07-12,1.6504
2011-07-13,1.6429
2011-07-14,1.6465
2011-07-15,1.6512
2011-07-16,1.6512
2011-07-17,1.6512
2011-07-18,1.6589
2011-07-19,1.658
2011-07-20,1.6618
2011-07-21,1.6662
2011-07-22,1.6971
2011-07-23,1.6971
2011-07-24,1.6971
2011-07-25,1.7154
2011-07-26,1.698
2011-07-27,1.6909
2011-07-28,1.6771
2011-07-29,1.6885
2011-07-30,1.6885
2011-07-31,1.6885
2011-08-01,1.6924
2011-08-02,1.7098
2011-08-03,1.6944
2011-08-04,1.7406
2011-08-05,1.7454
2011-08-06,1.7454
2011-08-07,1.7454
2011-08-08,1.7816
2011-08-09,1.7555
2011-08-10,1.7766
2011-08-11,1.7815
2011-08-12,1.7783
2011-08-13,1.7783
2011-08-14,1.7783
2011-08-15,1.7659
2011-08-16,1.7765
2011-08-17,1.7698
2011-08-18,1.7846
2011-08-19,1.7874
2011-08-20,1.7874
2011-08-21,1.7874
2011-08-22,1.7857
2011-08-23,1.769
2011-08-24,1.7846
2011-08-25,1.7554
2011-08-26,1.7505
2011-08-27,1.7505
2011-08-28,1.7505
2011-08-29,1.7291
2011-08-30,1.7329
2011-08-31,1.7156
2011-09-01,1.7226
2011-09-02,1.7526
2011-09-03,1.7526
2011-09-04,1.7526
2011-09-05,1.7704
2011-09-06,1.7593
2011-09-07,1.7582
2011-09-08,1.7687
2011-09-09,1.7912
2011-09-10,1.7912
2011-09-11,1.7912
2011-09-12,1.7872
2011-09-13,1.7669
2011-09-14,1.7771
2011-09-15,1.7815
2011-09-16,1.7773
2011-09-17,1.7773
2011-09-18,1.7773
2011-09-19,1.8052
2011-09-20,1.7876
2011-09-21,1.8267
2011-09-22,1.843
2011-09-23,1.8376
2011-09-24,1.8376
2011-09-25,1.8376
2011-09-26,1.8528
2011-09-27,1.8491
2011-09-28,1.861
2011-09-29,1.8526
2011-09-30,1.8599
2011-10-01,1.8599
2011-10-02,1.8599
2011-10-03,1.8904
2011-10-04,1.8878
2011-10-05,1.8678
2011-10-06,1.8458
2011-10-07,1.8488
2011-10-08,1.8488
2011-10-09,1.8488
2011-10-10,1.8297
2011-10-11,1.8405
2011-10-12,1.821
2011-10-13,1.8368
2011-10-14,1.8323
2011-10-15,1.8323
2011-10-16,1.8323
2011-10-17,1.8658
2011-10-18,1.8573
2011-10-19,1.8691
2011-10-20,1.858
2011-10-21,1.8338
2011-10-22,1.8338
2011-10-23,1.8338
2011-10-24,1.7998
2011-10-25,1.7796
2011-10-26,1.7581
2011-10-27,1.7474
2011-10-28,1.7444
2011-10-29,1.7444
2011-10-30,1.7444
2011-10-31,1.7711
2011-11-01,1.7928
2011-11-02,1.7789
2011-11-03,1.7532
2011-11-04,1.7676
2011-11-05,1.7676
2011-11-06,1.7676
2011-11-07,1.7772
2011-11-08,1.7698
2011-11-09,1.8016
2011-11-10,1.7917
2011-11-11,1.7772
2011-11-12,1.7772
2011-11-13,1.7772
2011-11-14,1.7839
2011-11-15,1.799
2011-11-16,1.807
2011-11-17,1.8286
2011-11-18,1.8298
2011-11-19,1.8298
2011-11-20,1.8298
2011-11-21,1.8577
2011-11-22,1.8512
2011-11-23,1.8732
2011-11-24,1.8701
2011-11-25,1.8854
2011-11-26,1.8854
2011-11-27,1.8854
2011-11-28,1.8595
2011-11-29,1.8512
2011-11-30,1.8281
2011-12-01,1.8284
2011-12-02,1.8302
2011-12-03,1.8302
2011-12-04,1.8302
2011-12-05,1.8323
2011-12-06,1.8343
2011-12-07,1.8303
2011-12-08,1.8469
2011-12-09,1.8425
2011-12-10,1.8425
2011-12-11,1.8425
2011-12-12,1.8702
2011-12-13,1.881
2011-12-14,1.8878
2011-12-15,1.8776
2011-12-16,1.8875
2011-12-17,1.8875
2011-12-18,1.8875
2011-12-19,1.9056
2011-12-20,1.8841
2011-12-21,1.8851
2011-12-22,1.8908
2011-12-23,1.9015
2011-12-24,1.9015
2011-12-25,1.9015
2011-12-26,1.8926
2011-12-27,1.8993
2011-12-28,1.9219
2011-12-29,1.9168
2011-12-30,1.8909
2011-12-31,1.8909
2012-01-01,1.8909
2012-01-02,1.8951
2012-01-03,1.8735
2012-01-04,1.8776
2012-01-05,1.8814
2012-01-06,1.8792
2012-01-07,1.8792
2012-01-08,1.8792
2012-01-09,1.8694
2012-01-10,1.8682
2012-01-11,1.855
2012-01-12,1.8508
2012-01-13,1.862
2012-01-14,1.862
2012-01-15,1.862
2012-01-16,1.8538
2012-01-17,1.8419
2012-01-18,1.83
2012-01-19,1.8252
2012-01-20,1.8298
2012-01-21,1.8298
2012-01-22,1.8298
2012-01-23,1.8183
2012-01-24,1.8201
2012-01-25,1.806
2012-01-26,1.7935
2012-01-27,1.776
2012-01-28,1.776
2012-01-29,1.776
2012-01-30,1.7863
2012-01-31,1.7765
2012-02-01,1.7558
2012-02-02,1.7573
2012-02-03,1.7527
2012-02-04,1.7527
2012-02-05,1.7527
2012-02-06,1.7582
2012-02-07,1.7488
2012-02-08,1.7488
2012-02-09,1.752
2012-02-10,1.762
2012-02-11,1.762
2012-02-12,1.762
2012-02-13,1.7646
2012-02-14,1.7693
2012-02-15,1.7683
2012-02-16,1.7618
2012-02-17,1.7544
2012-02-18,1.7544
2012-02-19,1.7544
2012-02-20,1.7424
2012-02-21,1.7523
2012-02-22,1.7592
2012-02-23,1.7586
2012-02-24,1.7666
2012-02-25,1.7666
2012-02-26,1.7666
2012-02-27,1.7661
2012-02-28,1.7523
2012-02-29,1.7486
2012-03-01,1.7537
2012-03-02,1.768
2012-03-03,1.768
2012-03-04,1.768
2012-03-05,1.7705
2012-03-06,1.7899
2012-03-07,1.7813
2012-03-08,1.7762
2012-03-09,1.7873
2012-03-10,1.7873
2012-03-11,1.7873
2012-03-12,1.7952
2012-03-13,1.7907
2012-03-14,1.8078
2012-03-15,1.7981
2012-03-16,1.795
2012-03-17,1.795
2012-03-18,1.795
2012-03-19,1.8046
2012-03-20,1.8243
2012-03-21,1.8139
2012-03-22,1.8087
2012-03-23,1.8007
2012-03-24,1.8007
2012-03-25,1.8007
2012-03-26,1.7848
2012-03-27,1.7881
2012-03-28,1.7809
2012-03-29,1.785
2012-03-30,1.7826
2012-03-31,1.7826
2012-04-01,1.7826
2012-04-02,1.7776
2012-04-03,1.7823
2012-04-04,1.7941
2012-04-05,1.7914
2012-04-06,1.7946
2012-04-07,1.7946
2012-04-08,1.7946
2012-04-09,1.7992
2012-04-10,1.8145
2012-04-11,1.8082
2012-04-12,1.7937
2012-04-13,1.7975
2012-04-14,1.7975
2012-04-15,1.7975
2012-04-16,1.7962
2012-04-17,1.7881
2012-04-18,1.7882
2012-04-19,1.7917
2012-04-20,1.793
2012-04-21,1.793
2012-04-22,1.793
2012-04-23,1.7948
2012-04-24,1.7803
2012-04-25,1.7699
2012-04-26,1.762
2012-04-27,1.7611
2012-04-28,1.7611
2012-04-29,1.7611
2012-04-30,1.7573
2012-05-01,1.7545
2012-05-02,1.7607
2012-05-03,1.7633
2012-05-04,1.7583
2012-05-05,1.7583
2012-05-06,1.7583
2012-05-07,1.7605
2012-05-08,1.7768
2012-05-09,1.7942
2012-05-10,1.7841
2012-05-11,1.7842
2012-05-12,1.7842
2012-05-13,1.7842
2012-05-14,1.8097
2012-05-15,1.8254
2012-05-16,1.826
2012-05-17,1.8298
2012-05-18,1.8358
2012-05-19,1.8358
2012-05-20,1.8358
2012-05-21,1.8238
2012-05-22,1.8438
2012-05-23,1.8502
2012-05-24,1.8474
2012-05-25,1.8496
2012-05-26,1.8496
2012-05-27,1.8496
2012-05-28,1.8369
2012-05-29,1.8327
2012-05-30,1.8568
2012-05-31,1.8673
2012-06-01,1.8583
2012-06-02,1.8583
2012-06-03,1.8583
2012-06-04,1.8516
2012-06-05,1.8463
2012-06-06,1.8286
2012-06-07,1.8268
2012-06-08,1.8222
2012-06-09,1.8222
2012-06-10,1.8222
2012-06-11,1.8307
2012-06-12,1.8254
2012-06-13,1.82
2012-06-14,1.815
2012-06-15,1.8124
2012-06-16,1.8124
2012-06-17,1.8124
2012-06-18,1.8117
2012-06-19,1.8007
2012-06-20,1.7932
2012-06-21,1.8073
2012-06-22,1.8147
2012-06-23,1.8147
2012-06-24,1.8147
2012-06-25,1.8221
2012-06-26,1.8078
2012-06-27,1.814
2012-06-28,1.8275
2012-06-29,1.8083
2012-06-30,1.8083
2012-07-01,1.8083
2012-07-02,1.8044
2012-07-03,1.7967
2012-07-04,1.8068
2012-07-05,1.8091
2012-07-06,1.8182
2012-07-07,1.8182
2012-07-08,1.8182
2012-07-09,1.8212
2012-07-10,1.8172
2012-07-11,1.8095
2012-07-12,1.8211
2012-07-13,1.8111
2012-07-14,1.8111
2012-07-15,1.8111
2012-07-16,1.8088
2012-07-17,1.8049
2012-07-18,1.8021
2012-07-19,1.8025
2012-07-20,1.8082
2012-07-21,1.8082
2012-07-22,1.8082
2012-07-23,1.8194
2012-07-24,1.8284
2012-07-25,1.8217
2012-07-26,1.8129
2012-07-27,1.812
2012-07-28,1.812
2012-07-29,1.812
2012-07-30,1.8015
2012-07-31,1.7952
2012-08-01,1.8083
2012-08-02,1.8015
2012-08-03,1.7788
2012-08-04,1.7788
2012-08-05,1.7788
2012-08-06,1.7765
2012-08-07,1.7865
2012-08-08,1.7808
2012-08-09,1.7832
2012-08-10,1.7822
2012-08-11,1.7822
2012-08-12,1.7822
2012-08-13,1.7941
2012-08-14,1.8034
2012-08-15,1.7987
2012-08-16,1.7944
2012-08-17,1.8003
2012-08-18,1.8003
2012-08-19,1.8003
2012-08-20,1.8032
2012-08-21,1.7944
2012-08-22,1.7933
2012-08-23,1.7937
2012-08-24,1.7975
2012-08-25,1.7975
2012-08-26,1.7975
2012-08-27,1.8034
2012-08-28,1.8103
2012-08-29,1.8218
2012-08-30,1.8268
2012-08-31,1.8179
2012-09-01,1.8179
2012-09-02,1.8179
2012-09-03,1.819
2012-09-04,1.8214
2012-09-05,1.8187
2012-09-06,1.8097
2012-09-07,1.7969
2012-09-08,1.7969
2012-09-09,1.7969
2012-09-10,1.8028
2012-09-11,1.8046
2012-09-12,1.8076
2012-09-13,1.8003
2012-09-14,1.7967
2012-09-15,1.7967
2012-09-16,1.7967
2012-09-17,1.7983
2012-09-18,1.7968
2012-09-19,1.794
2012-09-20,1.7984
2012-09-21,1.7943
2012-09-22,1.7943
2012-09-23,1.7943
2012-09-24,1.7983
2012-09-25,1.7923
2012-09-26,1.7921
2012-09-27,1.7883
2012-09-28,1.797
2012-09-29,1.797
2012-09-30,1.797
2012-10-01,1.7919
2012-10-02,1.792
2012-10-03,1.8049
2012-10-04,1.7984
2012-10-05,1.8058
2012-10-06,1.8058
2012-10-07,1.8058
2012-10-08,1.8108
2012-10-09,1.8246
2012-10-10,1.8183
2012-10-11,1.8073
2012-10-12,1.807
2012-10-13,1.807
2012-10-14,1.807
2012-10-15,1.8103
2012-10-16,1.8031
2012-10-17,1.7986
2012-10-18,1.7968
2012-10-19,1.7942
2012-10-20,1.7942
2012-10-21,1.7942
2012-10-22,1.7953
2012-10-23,1.8016
2012-10-24,1.8029
2012-10-25,1.8013
2012-10-26,1.8005
2012-10-27,1.8005
2012-10-28,1.8005
2012-10-29,1.8048
2012-10-30,1.7964
2012-10-31,1.7926
2012-11-01,1.788
2012-11-02,1.7926
2012-11-03,1.7926
2012-11-04,1.7926
2012-11-05,1.7816
2012-11-06,1.7728
2012-11-07,1.7859
2012-11-08,1.7858
2012-11-09,1.7903
2012-11-10,1.7903
2012-11-11,1.7903
2012-11-12,1.8012
2012-11-13,1.8075
2012-11-14,1.8067
2012-11-15,1.801
2012-11-16,1.8
2012-11-17,1.8
2012-11-18,1.8
2012-11-19,1.7977
2012-11-20,1.7943
2012-11-21,1.8022
2012-11-22,1.7973
2012-11-23,1.7938
2012-11-24,1.7938
2012-11-25,1.7938
2012-11-26,1.796
2012-11-27,1.7919
2012-11-28,1.7919
2012-11-29,1.7862
2012-11-30,1.7872
2012-12-01,1.7872
2012-12-02,1.7872
2012-12-03,1.7865
2012-12-04,1.784
2012-12-05,1.7861
2012-12-06,1.7889
2012-12-07,1.7892
2012-12-08,1.7892
2012-12-09,1.7892
2012-12-10,1.7894
2012-12-11,1.7832
2012-12-12,1.7771
2012-12-13,1.7812
2012-12-14,1.778
2012-12-15,1.778
2012-12-16,1.778
2012-12-17,1.7841
2012-12-18,1.7787
2012-12-19,1.7839
2012-12-20,1.7868
2012-12-21,1.7967
2012-12-22,1.7967
2012-12-23,1.7967
2012-12-24,1.7963
2012-12-25,1.7939
2012-12-26,1.7939
2012-12-27,1.7894
2012-12-28,1.7898
2012-12-29,1.7898
2012-12-30,1.7898
2012-12-31,1.7836
2013-01-01,1.7849
2013-01-02,1.7786
2013-01-03,1.7848
2013-01-04,1.7825
2013-01-05,1.7825
2013-01-06,1.7825
2013-01-07,1.7798
2013-01-08,1.7789
2013-01-09,1.7752
2013-01-10,1.7675
2013-01-11,1.7705
2013-01-12,1.7705
2013-01-13,1.7705
2013-01-14,1.7694
2013-01-15,1.7691
2013-01-16,1.764
2013-01-17,1.753
2013-01-18,1.76
2013-01-19,1.76
2013-01-20,1.76
2013-01-21,1.764
2013-01-22,1.7685
2013-01-23,1.7714
2013-01-24,1.7686
2013-01-25,1.767
2013-01-26,1.767
2013-01-27,1.767
2013-01-28,1.7726
2013-01-29,1.7681
2013-01-30,1.7678
2013-01-31,1.7588
2013-02-01,1.749
2013-02-02,1.749
2013-02-03,1.749
2013-02-04,1.7613
2013-02-05,1.7612
2013-02-06,1.7694
2013-02-07,1.7739
2013-02-08,1.7711
2013-02-09,1.7711
2013-02-10,1.7711
2013-02-11,1.7761
2013-02-12,1.7723
2013-02-13,1.7638
2013-02-14,1.7682
2013-02-15,1.767
2013-02-16,1.767
2013-02-17,1.767
2013-02-18,1.7672
2013-02-19,1.7764
2013-02-20,1.7834
2013-02-21,1.7934
2013-02-22,1.8
2013-02-23,1.8
2013-02-24,1.8
2013-02-25,1.8093
2013-02-26,1.8068
2013-02-27,1.7975
2013-02-28,1.7985
2013-03-01,1.7975
2013-03-02,1.7975
2013-03-03,1.7975
2013-03-04,1.7989
2013-03-05,1.7915
2013-03-06,1.7982
2013-03-07,1.7973
2013-03-08,1.8065
2013-03-09,1.8065
2013-03-10,1.8065
2013-03-11,1.7984
2013-03-12,1.8028
2013-03-13,1.8123
2013-03-14,1.8098
2013-03-15,1.8061
2013-03-16,1.8061
2013-03-17,1.8061
2013-03-18,1.8128
2013-03-19,1.825
2013-03-20,1.8176
2013-03-21,1.8184
