,USDAUD BGN Curncy
2010-04-09,1.0717
2010-04-10,1.0717
2010-04-11,1.0717
2010-04-12,1.0782
2010-04-13,1.0763
2010-04-14,1.0694
2010-04-15,1.0701
2010-04-16,1.0816
2010-04-17,1.0816
2010-04-18,1.0816
2010-04-19,1.0824
2010-04-20,1.0732
2010-04-21,1.0789
2010-04-22,1.0782
2010-04-23,1.0779
2010-04-24,1.0779
2010-04-25,1.0779
2010-04-26,1.0788
2010-04-27,1.0923
2010-04-28,1.0808
2010-04-29,1.0779
2010-04-30,1.078
2010-05-01,1.078
2010-05-02,1.078
2010-05-03,1.0795
2010-05-04,1.1003
2010-05-05,1.1035
2010-05-06,1.1298
2010-05-07,1.1259
2010-05-08,1.1259
2010-05-09,1.1259
2010-05-10,1.1077
2010-05-11,1.1171
2010-05-12,1.1191
2010-05-13,1.116
2010-05-14,1.1289
2010-05-15,1.1289
2010-05-16,1.1289
2010-05-17,1.1397
2010-05-18,1.1567
2010-05-19,1.1804
2010-05-20,1.2237
2010-05-21,1.2028
2010-05-22,1.2028
2010-05-23,1.2028
2010-05-24,1.2099
2010-05-25,1.2081
2010-05-26,1.2172
2010-05-27,1.1746
2010-05-28,1.1802
2010-05-29,1.1802
2010-05-30,1.1802
2010-05-31,1.1822
2010-06-01,1.203
2010-06-02,1.1875
2010-06-03,1.1836
2010-06-04,1.2145
2010-06-05,1.2145
2010-06-06,1.2145
2010-06-07,1.2288
2010-06-08,1.2081
2010-06-09,1.208
2010-06-10,1.1763
2010-06-11,1.176
2010-06-12,1.176
2010-06-13,1.176
2010-06-14,1.1646
2010-06-15,1.1604
2010-06-16,1.1574
2010-06-17,1.1584
2010-06-18,1.1467
2010-06-19,1.1467
2010-06-20,1.1467
2010-06-21,1.141
2010-06-22,1.1473
2010-06-23,1.1442
2010-06-24,1.1539
2010-06-25,1.1437
2010-06-26,1.1437
2010-06-27,1.1437
2010-06-28,1.1466
2010-06-29,1.1784
2010-06-30,1.1894
2010-07-01,1.1857
2010-07-02,1.1881
2010-07-03,1.1881
2010-07-04,1.1881
2010-07-05,1.1915
2010-07-06,1.1728
2010-07-07,1.157
2010-07-08,1.1398
2010-07-09,1.1396
2010-07-10,1.1396
2010-07-11,1.1396
2010-07-12,1.1417
2010-07-13,1.1322
2010-07-14,1.1299
2010-07-15,1.1306
2010-07-16,1.1508
2010-07-17,1.1508
2010-07-18,1.1508
2010-07-19,1.1515
2010-07-20,1.1313
2010-07-21,1.1388
2010-07-22,1.1192
2010-07-23,1.1165
2010-07-24,1.1165
2010-07-25,1.1165
2010-07-26,1.1079
2010-07-27,1.1081
2010-07-28,1.1196
2010-07-29,1.1106
2010-07-30,1.106
2010-07-31,1.106
2010-08-01,1.106
2010-08-02,1.0944
2010-08-03,1.0957
2010-08-04,1.0911
2010-08-05,1.0915
2010-08-06,1.0889
2010-08-07,1.0889
2010-08-08,1.0889
2010-08-09,1.0911
2010-08-10,1.0946
2010-08-11,1.1148
2010-08-12,1.1157
2010-08-13,1.12
2010-08-14,1.12
2010-08-15,1.12
2010-08-16,1.1134
2010-08-17,1.1047
2010-08-18,1.1133
2010-08-19,1.1202
2010-08-20,1.1186
2010-08-21,1.1186
2010-08-22,1.1186
2010-08-23,1.122
2010-08-24,1.1342
2010-08-25,1.1312
2010-08-26,1.1283
2010-08-27,1.1126
2010-08-28,1.1126
2010-08-29,1.1126
2010-08-30,1.1214
2010-08-31,1.1228
2010-09-01,1.0968
2010-09-02,1.0976
2010-09-03,1.091
2010-09-04,1.091
2010-09-05,1.091
2010-09-06,1.0899
2010-09-07,1.0981
2010-09-08,1.0891
2010-09-09,1.0835
2010-09-10,1.0792
2010-09-11,1.0792
2010-09-12,1.0792
2010-09-13,1.0684
2010-09-14,1.0642
2010-09-15,1.0659
2010-09-16,1.0673
2010-09-17,1.0681
2010-09-18,1.0681
2010-09-19,1.0681
2010-09-20,1.0557
2010-09-21,1.0469
2010-09-22,1.0452
2010-09-23,1.0538
2010-09-24,1.0425
2010-09-25,1.0425
2010-09-26,1.0425
2010-09-27,1.0407
2010-09-28,1.0335
2010-09-29,1.0313
2010-09-30,1.0341
2010-10-01,1.0279
2010-10-02,1.0279
2010-10-03,1.0279
2010-10-04,1.0328
2010-10-05,1.0291
2010-10-06,1.0231
2010-10-07,1.0178
2010-10-08,1.0154
2010-10-09,1.0154
2010-10-10,1.0154
2010-10-11,1.0164
2010-10-12,1.0139
2010-10-13,1.0096
2010-10-14,1.0059
2010-10-15,1.0093
2010-10-16,1.0093
2010-10-17,1.0093
2010-10-18,1.0112
2010-10-19,1.0324
2010-10-20,1.0131
2010-10-21,1.0233
2010-10-22,1.0176
2010-10-23,1.0176
2010-10-24,1.0176
2010-10-25,1.0096
2010-10-26,1.0149
2010-10-27,1.0288
2010-10-28,1.0215
2010-10-29,1.0167
2010-10-30,1.0167
2010-10-31,1.0167
2010-11-01,1.013
2010-11-02,1.0005
2010-11-03,0.9938
2010-11-04,0.9853
2010-11-05,0.9843
2010-11-06,0.9843
2010-11-07,0.9843
2010-11-08,0.9866
2010-11-09,0.9965
2010-11-10,0.9947
2010-11-11,1.0021
2010-11-12,1.0153
2010-11-13,1.0153
2010-11-14,1.0153
2010-11-15,1.015
2010-11-16,1.0239
2010-11-17,1.0207
2010-11-18,1.0102
2010-11-19,1.0136
2010-11-20,1.0136
2010-11-21,1.0136
2010-11-22,1.0114
2010-11-23,1.0284
2010-11-24,1.0185
2010-11-25,1.0196
2010-11-26,1.0368
2010-11-27,1.0368
2010-11-28,1.0368
2010-11-29,1.0383
2010-11-30,1.0431
2010-12-01,1.0327
2010-12-02,1.0234
2010-12-03,1.0069
2010-12-04,1.0069
2010-12-05,1.0069
2010-12-06,1.0102
2010-12-07,1.0174
2010-12-08,1.0208
2010-12-09,1.0166
2010-12-10,1.0149
2010-12-11,1.0149
2010-12-12,1.0149
2010-12-13,1.0038
2010-12-14,1.001
2010-12-15,1.0132
2010-12-16,1.01
2010-12-17,1.0116
2010-12-18,1.0116
2010-12-19,1.0116
2010-12-20,1.0065
2010-12-21,1.0021
2010-12-22,1.001
2010-12-23,0.9958
2010-12-24,0.9952
2010-12-25,0.9952
2010-12-26,0.9952
2010-12-27,0.9954
2010-12-28,0.9901
2010-12-29,0.9825
2010-12-30,0.9831
2010-12-31,0.9772
2011-01-01,0.9772
2011-01-02,0.9772
2011-01-03,0.9835
2011-01-04,0.9949
2011-01-05,1.0005
2011-01-06,1.0057
2011-01-07,1.0041
2011-01-08,1.0041
2011-01-09,1.0041
2011-01-10,1.0044
2011-01-11,1.013
2011-01-12,1.0034
2011-01-13,1.0024
2011-01-14,1.0113
2011-01-15,1.0113
2011-01-16,1.0113
2011-01-17,1.0062
2011-01-18,1.0006
2011-01-19,0.9992
2011-01-20,1.0131
2011-01-21,1.0103
2011-01-22,1.0103
2011-01-23,1.0103
2011-01-24,1.0026
2011-01-25,1.0033
2011-01-26,1.0008
2011-01-27,1.0081
2011-01-28,1.006
2011-01-29,1.006
2011-01-30,1.006
2011-01-31,1.0026
2011-02-01,0.989
2011-02-02,0.99
2011-02-03,0.9849
2011-02-04,0.9863
2011-02-05,0.9863
2011-02-06,0.9863
2011-02-07,0.9867
2011-02-08,0.9856
2011-02-09,0.9877
2011-02-10,0.9956
2011-02-11,0.998
2011-02-12,0.998
2011-02-13,0.998
2011-02-14,0.9972
2011-02-15,1.0036
2011-02-16,0.9967
2011-02-17,0.9882
2011-02-18,0.9856
2011-02-19,0.9856
2011-02-20,0.9856
2011-02-21,0.9907
2011-02-22,1.0012
2011-02-23,0.9978
2011-02-24,0.9913
2011-02-25,0.9826
2011-02-26,0.9826
2011-02-27,0.9826
2011-02-28,0.9818
2011-03-01,0.9868
2011-03-02,0.9834
2011-03-03,0.9856
2011-03-04,0.9863
2011-03-05,0.9863
2011-03-06,0.9863
2011-03-07,0.9883
2011-03-08,0.9903
2011-03-09,0.9894
2011-03-10,0.9992
2011-03-11,0.9863
2011-03-12,0.9863
2011-03-13,0.9863
2011-03-14,0.9903
2011-03-15,1.0091
2011-03-16,1.0164
2011-03-17,1.0201
2011-03-18,1.004
2011-03-19,1.004
2011-03-20,1.004
2011-03-21,0.9937
2011-03-22,0.9898
2011-03-23,0.987
2011-03-24,0.9792
2011-03-25,0.9747
2011-03-26,0.9747
2011-03-27,0.9747
2011-03-28,0.9762
2011-03-29,0.9717
2011-03-30,0.9682
2011-03-31,0.9682
2011-04-01,0.9627
2011-04-02,0.9627
2011-04-03,0.9627
2011-04-04,0.965
2011-04-05,0.9682
2011-04-06,0.9578
2011-04-07,0.9552
2011-04-08,0.9466
2011-04-09,0.9466
2011-04-10,0.9466
2011-04-11,0.9528
2011-04-12,0.9581
2011-04-13,0.9518
2011-04-14,0.9485
2011-04-15,0.9462
2011-04-16,0.9462
2011-04-17,0.9462
2011-04-18,0.9516
2011-04-19,0.95
2011-04-20,0.9334
2011-04-21,0.9305
2011-04-22,0.9313
2011-04-23,0.9313
2011-04-24,0.9313
2011-04-25,0.9327
2011-04-26,0.9272
2011-04-27,0.9197
2011-04-28,0.915
2011-04-29,0.9115
2011-04-30,0.9115
2011-05-01,0.9115
2011-05-02,0.9137
2011-05-03,0.9221
2011-05-04,0.9304
2011-05-05,0.9452
2011-05-06,0.9345
2011-05-07,0.9345
2011-05-08,0.9345
2011-05-09,0.9253
2011-05-10,0.9228
2011-05-11,0.9346
2011-05-12,0.9365
2011-05-13,0.9458
2011-05-14,0.9458
2011-05-15,0.9458
2011-05-16,0.9474
2011-05-17,0.941
2011-05-18,0.9406
2011-05-19,0.9372
2011-05-20,0.9381
2011-05-21,0.9381
2011-05-22,0.9381
2011-05-23,0.9519
2011-05-24,0.9471
2011-05-25,0.9495
2011-05-26,0.9394
2011-05-27,0.9341
2011-05-28,0.9341
2011-05-29,0.9341
2011-05-30,0.9354
2011-05-31,0.937
2011-06-01,0.9421
2011-06-02,0.9372
2011-06-03,0.9332
2011-06-04,0.9332
2011-06-05,0.9332
2011-06-06,0.9335
2011-06-07,0.9327
2011-06-08,0.9413
2011-06-09,0.941
2011-06-10,0.949
2011-06-11,0.949
2011-06-12,0.949
2011-06-13,0.9432
2011-06-14,0.9358
2011-06-15,0.9454
2011-06-16,0.9471
2011-06-17,0.9413
2011-06-18,0.9413
2011-06-19,0.9413
2011-06-20,0.945
2011-06-21,0.943
2011-06-22,0.9456
2011-06-23,0.9503
2011-06-24,0.9532
2011-06-25,0.9532
2011-06-26,0.9532
2011-06-27,0.9575
2011-06-28,0.9487
2011-06-29,0.9361
2011-06-30,0.9327
2011-07-01,0.9285
2011-07-02,0.9285
2011-07-03,0.9285
2011-07-04,0.9316
2011-07-05,0.9352
2011-07-06,0.9346
2011-07-07,0.928
2011-07-08,0.9298
2011-07-09,0.9298
2011-07-10,0.9298
2011-07-11,0.9384
2011-07-12,0.9436
2011-07-13,0.9295
2011-07-14,0.9325
2011-07-15,0.9387
2011-07-16,0.9387
2011-07-17,0.9387
2011-07-18,0.9428
2011-07-19,0.9317
2011-07-20,0.9302
2011-07-21,0.9224
2011-07-22,0.9216
2011-07-23,0.9216
2011-07-24,0.9216
2011-07-25,0.9221
2011-07-26,0.9127
2011-07-27,0.9074
2011-07-28,0.9087
2011-07-29,0.9096
2011-07-30,0.9096
2011-07-31,0.9096
2011-08-01,0.9115
2011-08-02,0.9277
2011-08-03,0.9298
2011-08-04,0.9556
2011-08-05,0.9576
2011-08-06,0.9576
2011-08-07,0.9576
2011-08-08,0.9816
2011-08-09,0.9657
2011-08-10,0.9825
2011-08-11,0.966
2011-08-12,0.9657
2011-08-13,0.9657
2011-08-14,0.9657
2011-08-15,0.9517
2011-08-16,0.9538
2011-08-17,0.9479
2011-08-18,0.9624
2011-08-19,0.9609
2011-08-20,0.9609
2011-08-21,0.9609
2011-08-22,0.9607
2011-08-23,0.95
2011-08-24,0.9547
2011-08-25,0.9587
2011-08-26,0.9458
2011-08-27,0.9458
2011-08-28,0.9458
2011-08-29,0.9384
2011-08-30,0.9361
2011-08-31,0.934
2011-09-01,0.9327
2011-09-02,0.9395
2011-09-03,0.9395
2011-09-04,0.9395
2011-09-05,0.9478
2011-09-06,0.9538
2011-09-07,0.9379
2011-09-08,0.9456
2011-09-09,0.9552
2011-09-10,0.9552
2011-09-11,0.9552
2011-09-12,0.9665
2011-09-13,0.9698
2011-09-14,0.9726
2011-09-15,0.9682
2011-09-16,0.9652
2011-09-17,0.9652
2011-09-18,0.9652
2011-09-19,0.9782
2011-09-20,0.9731
2011-09-21,0.9957
2011-09-22,1.0265
2011-09-23,1.0226
2011-09-24,1.0226
2011-09-25,1.0226
2011-09-26,1.017
2011-09-27,1.0087
2011-09-28,1.0224
2011-09-29,1.0223
2011-09-30,1.035
2011-10-01,1.035
2011-10-02,1.035
2011-10-03,1.0495
2011-10-04,1.0447
2011-10-05,1.0353
2011-10-06,1.026
2011-10-07,1.0237
2011-10-08,1.0237
2011-10-09,1.0237
2011-10-10,1.0012
2011-10-11,1.0048
2011-10-12,0.9844
2011-10-13,0.9812
2011-10-14,0.9671
2011-10-15,0.9671
2011-10-16,0.9671
2011-10-17,0.9846
2011-10-18,0.9743
2011-10-19,0.9781
2011-10-20,0.9774
2011-10-21,0.964
2011-10-22,0.964
2011-10-23,0.964
2011-10-24,0.9547
2011-10-25,0.9589
2011-10-26,0.9616
2011-10-27,0.932
2011-10-28,0.9345
2011-10-29,0.9345
2011-10-30,0.9345
2011-10-31,0.9497
2011-11-01,0.9681
2011-11-02,0.9665
2011-11-03,0.96
2011-11-04,0.9641
2011-11-05,0.9641
2011-11-06,0.9641
2011-11-07,0.9635
2011-11-08,0.9622
2011-11-09,0.9859
2011-11-10,0.9846
2011-11-11,0.9732
2011-11-12,0.9732
2011-11-13,0.9732
2011-11-14,0.9799
2011-11-15,0.9825
2011-11-16,0.9918
2011-11-17,1.0
2011-11-18,0.9992
2011-11-19,0.9992
2011-11-20,0.9992
2011-11-21,1.0161
2011-11-22,1.0168
2011-11-23,1.0322
2011-11-24,1.0273
2011-11-25,1.0298
2011-11-26,1.0298
2011-11-27,1.0298
2011-11-28,1.0096
2011-11-29,1.0
2011-11-30,0.9725
2011-12-01,0.9762
2011-12-02,0.9789
2011-12-03,0.9789
2011-12-04,0.9789
2011-12-05,0.9736
2011-12-06,0.9761
2011-12-07,0.9714
2011-12-08,0.9836
2011-12-09,0.9788
2011-12-10,0.9788
2011-12-11,0.9788
2011-12-12,0.9928
2011-12-13,0.9984
2011-12-14,1.0091
2011-12-15,1.0079
2011-12-16,1.0018
2011-12-17,1.0018
2011-12-18,1.0018
2011-12-19,1.0105
2011-12-20,0.992
2011-12-21,0.9898
2011-12-22,0.9872
2011-12-23,0.9851
2011-12-24,0.9851
2011-12-25,0.9851
2011-12-26,0.9834
2011-12-27,0.9845
2011-12-28,0.9907
2011-12-29,0.9865
2011-12-30,0.9796
2011-12-31,0.9796
2012-01-01,0.9796
2012-01-02,0.9771
2012-01-03,0.9636
2012-01-04,0.9644
2012-01-05,0.9743
2012-01-06,0.9777
2012-01-07,0.9777
2012-01-08,0.9777
2012-01-09,0.9766
2012-01-10,0.9696
2012-01-11,0.9699
2012-01-12,0.9677
2012-01-13,0.9688
2012-01-14,0.9688
2012-01-15,0.9688
2012-01-16,0.9695
2012-01-17,0.9637
2012-01-18,0.9582
2012-01-19,0.9598
2012-01-20,0.9538
2012-01-21,0.9538
2012-01-22,0.9538
2012-01-23,0.9501
2012-01-24,0.9529
2012-01-25,0.9436
2012-01-26,0.9406
2012-01-27,0.9382
2012-01-28,0.9382
2012-01-29,0.9382
2012-01-30,0.9435
2012-01-31,0.9415
2012-02-01,0.9341
2012-02-02,0.9335
2012-02-03,0.9285
2012-02-04,0.9285
2012-02-05,0.9285
2012-02-06,0.9324
2012-02-07,0.9252
2012-02-08,0.926
2012-02-09,0.9272
2012-02-10,0.9369
2012-02-11,0.9369
2012-02-12,0.9369
2012-02-13,0.9318
2012-02-14,0.9354
2012-02-15,0.9349
2012-02-16,0.9298
2012-02-17,0.9341
2012-02-18,0.9341
2012-02-19,0.9341
2012-02-20,0.9297
2012-02-21,0.9379
2012-02-22,0.94
2012-02-23,0.9331
2012-02-24,0.9351
2012-02-25,0.9351
2012-02-26,0.9351
2012-02-27,0.9296
2012-02-28,0.9288
2012-02-29,0.9318
2012-03-01,0.9251
2012-03-02,0.9318
2012-03-03,0.9318
2012-03-04,0.9318
2012-03-05,0.9371
2012-03-06,0.9476
2012-03-07,0.9449
2012-03-08,0.9395
2012-03-09,0.9455
2012-03-10,0.9455
2012-03-11,0.9455
2012-03-12,0.9509
2012-03-13,0.9476
2012-03-14,0.9566
2012-03-15,0.9502
2012-03-16,0.9443
2012-03-17,0.9443
2012-03-18,0.9443
2012-03-19,0.9427
2012-03-20,0.9542
2012-03-21,0.9562
2012-03-22,0.9627
2012-03-23,0.9554
2012-03-24,0.9554
2012-03-25,0.9554
2012-03-26,0.9493
2012-03-27,0.956
2012-03-28,0.9627
2012-03-29,0.9632
2012-03-30,0.9666
2012-03-31,0.9666
2012-04-01,0.9666
2012-04-02,0.9598
2012-04-03,0.968
2012-04-04,0.9737
2012-04-05,0.9709
2012-04-06,0.9702
2012-04-07,0.9702
2012-04-08,0.9702
2012-04-09,0.9696
2012-04-10,0.9755
2012-04-11,0.9709
2012-04-12,0.958
2012-04-13,0.9641
2012-04-14,0.9641
2012-04-15,0.9641
2012-04-16,0.9656
2012-04-17,0.9625
2012-04-18,0.9654
2012-04-19,0.968
2012-04-20,0.9634
2012-04-21,0.9634
2012-04-22,0.9634
2012-04-23,0.9691
2012-04-24,0.9695
2012-04-25,0.9659
2012-04-26,0.9625
2012-04-27,0.955
2012-04-28,0.955
2012-04-29,0.955
2012-04-30,0.9589
2012-05-01,0.9677
2012-05-02,0.9678
2012-05-03,0.9742
2012-05-04,0.9821
2012-05-05,0.9821
2012-05-06,0.9821
2012-05-07,0.9806
2012-05-08,0.988
2012-05-09,0.9949
2012-05-10,0.9919
2012-05-11,0.998
2012-05-12,0.998
2012-05-13,0.998
2012-05-14,1.0042
2012-05-15,1.0063
2012-05-16,1.0087
2012-05-17,1.0113
2012-05-18,1.0159
2012-05-19,1.0159
2012-05-20,1.0159
2012-05-21,1.0086
2012-05-22,1.0194
2012-05-23,1.0261
2012-05-24,1.0243
2012-05-25,1.0248
2012-05-26,1.0248
2012-05-27,1.0248
2012-05-28,1.015
2012-05-29,1.0155
2012-05-30,1.0304
2012-05-31,1.0274
2012-06-01,1.0309
2012-06-02,1.0309
2012-06-03,1.0309
2012-06-04,1.028
2012-06-05,1.0265
2012-06-06,1.0074
2012-06-07,1.0107
2012-06-08,1.0084
2012-06-09,1.0084
2012-06-10,1.0084
2012-06-11,1.0138
2012-06-12,1.0042
2012-06-13,1.0067
2012-06-14,0.9976
2012-06-15,0.9945
2012-06-16,0.9945
2012-06-17,0.9945
2012-06-18,0.9878
2012-06-19,0.9815
2012-06-20,0.981
2012-06-21,0.9966
2012-06-22,0.9937
2012-06-23,0.9937
2012-06-24,0.9937
2012-06-25,0.9989
2012-06-26,0.9935
2012-06-27,0.9921
2012-06-28,0.9955
2012-06-29,0.9768
2012-06-30,0.9768
2012-07-01,0.9768
2012-07-02,0.9757
2012-07-03,0.9725
2012-07-04,0.9732
2012-07-05,0.9721
2012-07-06,0.9792
2012-07-07,0.9792
2012-07-08,0.9792
2012-07-09,0.9797
2012-07-10,0.9812
2012-07-11,0.9755
2012-07-12,0.9863
2012-07-13,0.9779
2012-07-14,0.9779
2012-07-15,0.9779
2012-07-16,0.9757
2012-07-17,0.9694
2012-07-18,0.965
2012-07-19,0.959
2012-07-20,0.9636
2012-07-21,0.9636
2012-07-22,0.9636
2012-07-23,0.9747
2012-07-24,0.9783
2012-07-25,0.97
2012-07-26,0.9618
2012-07-27,0.9539
2012-07-28,0.9539
2012-07-29,0.9539
2012-07-30,0.9521
2012-07-31,0.9521
2012-08-01,0.9559
2012-08-02,0.9556
2012-08-03,0.9461
2012-08-04,0.9461
2012-08-05,0.9461
2012-08-06,0.9461
2012-08-07,0.9475
2012-08-08,0.9459
2012-08-09,0.9452
2012-08-10,0.9454
2012-08-11,0.9454
2012-08-12,0.9454
2012-08-13,0.9508
2012-08-14,0.9533
2012-08-15,0.9519
2012-08-16,0.9514
2012-08-17,0.9597
2012-08-18,0.9597
2012-08-19,0.9597
2012-08-20,0.9575
2012-08-21,0.9536
2012-08-22,0.9519
2012-08-23,0.9578
2012-08-24,0.9612
2012-08-25,0.9612
2012-08-26,0.9612
2012-08-27,0.9644
2012-08-28,0.9637
2012-08-29,0.9662
2012-08-30,0.9719
2012-08-31,0.9688
2012-09-01,0.9688
2012-09-02,0.9688
2012-09-03,0.9759
2012-09-04,0.978
2012-09-05,0.9811
2012-09-06,0.9724
2012-09-07,0.9629
2012-09-08,0.9629
2012-09-09,0.9629
2012-09-10,0.9676
2012-09-11,0.9584
2012-09-12,0.9555
2012-09-13,0.9481
2012-09-14,0.9478
2012-09-15,0.9478
2012-09-16,0.9478
2012-09-17,0.9545
2012-09-18,0.9563
2012-09-19,0.9542
2012-09-20,0.9582
2012-09-21,0.9562
2012-09-22,0.9562
2012-09-23,0.9562
2012-09-24,0.9592
2012-09-25,0.9624
2012-09-26,0.9643
2012-09-27,0.9575
2012-09-28,0.9635
2012-09-29,0.9635
2012-09-30,0.9635
2012-10-01,0.9652
2012-10-02,0.974
2012-10-03,0.9789
2012-10-04,0.9765
2012-10-05,0.9817
2012-10-06,0.9817
2012-10-07,0.9817
2012-10-08,0.9814
2012-10-09,0.9799
2012-10-10,0.9772
2012-10-11,0.9743
2012-10-12,0.9772
2012-10-13,0.9772
2012-10-14,0.9772
2012-10-15,0.9753
2012-10-16,0.9732
2012-10-17,0.9631
2012-10-18,0.9647
2012-10-19,0.968
2012-10-20,0.968
2012-10-21,0.968
2012-10-22,0.969
2012-10-23,0.9742
2012-10-24,0.9657
2012-10-25,0.9665
2012-10-26,0.9641
2012-10-27,0.9641
2012-10-28,0.9641
2012-10-29,0.9679
2012-10-30,0.9648
2012-10-31,0.9638
2012-11-01,0.9615
2012-11-02,0.9674
2012-11-03,0.9674
2012-11-04,0.9674
2012-11-05,0.9648
2012-11-06,0.9584
2012-11-07,0.9605
2012-11-08,0.961
2012-11-09,0.9628
2012-11-10,0.9628
2012-11-11,0.9628
2012-11-12,0.959
2012-11-13,0.9584
2012-11-14,0.9638
2012-11-15,0.9679
2012-11-16,0.9672
2012-11-17,0.9672
2012-11-18,0.9672
2012-11-19,0.9604
2012-11-20,0.9625
2012-11-21,0.9644
2012-11-22,0.9624
2012-11-23,0.9559
2012-11-24,0.9559
2012-11-25,0.9559
2012-11-26,0.9556
2012-11-27,0.9573
2012-11-28,0.9545
2012-11-29,0.9583
2012-11-30,0.959
2012-12-01,0.959
2012-12-02,0.959
2012-12-03,0.9596
2012-12-04,0.955
2012-12-05,0.9564
2012-12-06,0.9537
2012-12-07,0.9535
2012-12-08,0.9535
2012-12-09,0.9535
2012-12-10,0.9534
2012-12-11,0.9498
2012-12-12,0.9475
2012-12-13,0.9498
2012-12-14,0.9464
2012-12-15,0.9464
2012-12-16,0.9464
2012-12-17,0.9477
2012-12-18,0.9493
2012-12-19,0.9541
2012-12-20,0.954
2012-12-21,0.9619
2012-12-22,0.9619
2012-12-23,0.9619
2012-12-24,0.9651
2012-12-25,0.9653
2012-12-26,0.9636
2012-12-27,0.9637
2012-12-28,0.964
2012-12-29,0.964
2012-12-30,0.964
2012-12-31,0.962
2013-01-01,0.962
2013-01-02,0.9519
2013-01-03,0.9554
2013-01-04,0.9542
2013-01-05,0.9542
2013-01-06,0.9542
2013-01-07,0.9521
2013-01-08,0.952
2013-01-09,0.9511
2013-01-10,0.9436
2013-01-11,0.9492
2013-01-12,0.9492
2013-01-13,0.9492
2013-01-14,0.9463
2013-01-15,0.9465
2013-01-16,0.9459
2013-01-17,0.9482
2013-01-18,0.9514
2013-01-19,0.9514
2013-01-20,0.9514
2013-01-21,0.9509
2013-01-22,0.9464
2013-01-23,0.9474
2013-01-24,0.9568
2013-01-25,0.9593
2013-01-26,0.9593
2013-01-27,0.9593
2013-01-28,0.9599
2013-01-29,0.9546
2013-01-30,0.9599
2013-01-31,0.9593
2013-02-01,0.9609
2013-02-02,0.9609
2013-02-03,0.9609
2013-02-04,0.958
2013-02-05,0.9625
2013-02-06,0.969
2013-02-07,0.9726
2013-02-08,0.9691
2013-02-09,0.9691
2013-02-10,0.9691
2013-02-11,0.975
2013-02-12,0.9706
2013-02-13,0.9642
2013-02-14,0.9653
2013-02-15,0.9704
2013-02-16,0.9704
2013-02-17,0.9704
2013-02-18,0.9703
2013-02-19,0.9656
2013-02-20,0.975
2013-02-21,0.976
2013-02-22,0.969
2013-02-23,0.969
2013-02-24,0.969
2013-02-25,0.9749
2013-02-26,0.9776
2013-02-27,0.9771
2013-02-28,0.979
2013-03-01,0.9802
2013-03-02,0.9802
2013-03-03,0.9802
2013-03-04,0.9808
2013-03-05,0.9749
2013-03-06,0.9772
2013-03-07,0.9739
2013-03-08,0.9769
2013-03-09,0.9769
2013-03-10,0.9769
2013-03-11,0.9727
2013-03-12,0.9686
2013-03-13,0.9711
2013-03-14,0.963
2013-03-15,0.9607
2013-03-16,0.9607
2013-03-17,0.9607
2013-03-18,0.9614
2013-03-19,0.9643
