,USDBRL BGN Curncy
2010-06-27,1.7802
2010-06-28,1.7803
2010-06-29,1.8134
2010-06-30,1.8047
2010-07-01,1.7911
2010-07-02,1.7721
2010-07-03,1.7721
2010-07-04,1.7721
2010-07-05,1.7774
2010-07-06,1.7796
2010-07-07,1.7674
2010-07-08,1.7605
2010-07-09,1.7554
2010-07-10,1.7554
2010-07-11,1.7554
2010-07-12,1.7607
2010-07-13,1.757
2010-07-14,1.7626
2010-07-15,1.7629
2010-07-16,1.7821
2010-07-17,1.7821
2010-07-18,1.7821
2010-07-19,1.7926
2010-07-20,1.7742
2010-07-21,1.7808
2010-07-22,1.7581
2010-07-23,1.7738
2010-07-24,1.7738
2010-07-25,1.7738
2010-07-26,1.7624
2010-07-27,1.7672
2010-07-28,1.769
2010-07-29,1.758
2010-07-30,1.7549
2010-07-31,1.7549
2010-08-01,1.7549
2010-08-02,1.752
2010-08-03,1.7574
2010-08-04,1.7522
2010-08-05,1.7518
2010-08-06,1.7609
2010-08-07,1.7609
2010-08-08,1.7609
2010-08-09,1.7489
2010-08-10,1.7534
2010-08-11,1.7748
2010-08-12,1.7697
2010-08-13,1.772
2010-08-14,1.772
2010-08-15,1.772
2010-08-16,1.7546
2010-08-17,1.7544
2010-08-18,1.7531
2010-08-19,1.7555
2010-08-20,1.7562
2010-08-21,1.7562
2010-08-22,1.7562
2010-08-23,1.77
2010-08-24,1.7705
2010-08-25,1.7635
2010-08-26,1.7619
2010-08-27,1.7501
2010-08-28,1.7501
2010-08-29,1.7501
2010-08-30,1.7594
2010-08-31,1.7559
2010-09-01,1.746
2010-09-02,1.726
2010-09-03,1.7328
2010-09-04,1.7328
2010-09-05,1.7328
2010-09-06,1.7267
2010-09-07,1.7267
2010-09-08,1.7263
2010-09-09,1.7203
2010-09-10,1.7222
2010-09-11,1.7222
2010-09-12,1.7222
2010-09-13,1.7106
2010-09-14,1.7099
2010-09-15,1.7236
2010-09-16,1.7118
2010-09-17,1.7213
2010-09-18,1.7213
2010-09-19,1.7213
2010-09-20,1.7331
2010-09-21,1.7108
2010-09-22,1.7183
2010-09-23,1.723
2010-09-24,1.7109
2010-09-25,1.7109
2010-09-26,1.7109
2010-09-27,1.7106
2010-09-28,1.7079
2010-09-29,1.7009
2010-09-30,1.6873
2010-10-01,1.6897
2010-10-02,1.6897
2010-10-03,1.6897
2010-10-04,1.6979
2010-10-05,1.6632
2010-10-06,1.6788
2010-10-07,1.6811
2010-10-08,1.6661
2010-10-09,1.6661
2010-10-10,1.6661
2010-10-11,1.6699
2010-10-12,1.6699
2010-10-13,1.653
2010-10-14,1.6602
2010-10-15,1.6651
2010-10-16,1.6651
2010-10-17,1.6651
2010-10-18,1.674
2010-10-19,1.6827
2010-10-20,1.6775
2010-10-21,1.6969
2010-10-22,1.7057
2010-10-23,1.7057
2010-10-24,1.7057
2010-10-25,1.6956
2010-10-26,1.7036
2010-10-27,1.7214
2010-10-28,1.7042
2010-10-29,1.6991
2010-10-30,1.6991
2010-10-31,1.6991
2010-11-01,1.703
2010-11-02,1.703
2010-11-03,1.6898
2010-11-04,1.6708
2010-11-05,1.6799
2010-11-06,1.6799
2010-11-07,1.6799
2010-11-08,1.7003
2010-11-09,1.7013
2010-11-10,1.7079
2010-11-11,1.7157
2010-11-12,1.7222
2010-11-13,1.7222
2010-11-14,1.7222
2010-11-15,1.7222
2010-11-16,1.7416
2010-11-17,1.7269
2010-11-18,1.7115
2010-11-19,1.7156
2010-11-20,1.7156
2010-11-21,1.7156
2010-11-22,1.7216
2010-11-23,1.7357
2010-11-24,1.7216
2010-11-25,1.7216
2010-11-26,1.7279
2010-11-27,1.7279
2010-11-28,1.7279
2010-11-29,1.7185
2010-11-30,1.7143
2010-12-01,1.7049
2010-12-02,1.6963
2010-12-03,1.687
2010-12-04,1.687
2010-12-05,1.687
2010-12-06,1.6749
2010-12-07,1.6818
2010-12-08,1.6903
2010-12-09,1.7103
2010-12-10,1.707
2010-12-11,1.707
2010-12-12,1.707
2010-12-13,1.6939
2010-12-14,1.6974
2010-12-15,1.7095
2010-12-16,1.7027
2010-12-17,1.7143
2010-12-18,1.7143
2010-12-19,1.7143
2010-12-20,1.7066
2010-12-21,1.6954
2010-12-22,1.7003
2010-12-23,1.6913
2010-12-24,1.6909
2010-12-25,1.6909
2010-12-26,1.6909
2010-12-27,1.6859
2010-12-28,1.6915
2010-12-29,1.6788
2010-12-30,1.66
2010-12-31,1.6613
2011-01-01,1.6613
2011-01-02,1.6613
2011-01-03,1.6472
2011-01-04,1.6605
2011-01-05,1.6739
2011-01-06,1.6869
2011-01-07,1.684
2011-01-08,1.684
2011-01-09,1.684
2011-01-10,1.6891
2011-01-11,1.6837
2011-01-12,1.6734
2011-01-13,1.6726
2011-01-14,1.6851
2011-01-15,1.6851
2011-01-16,1.6851
2011-01-17,1.6805
2011-01-18,1.6744
2011-01-19,1.6708
2011-01-20,1.6735
2011-01-21,1.6777
2011-01-22,1.6777
2011-01-23,1.6777
2011-01-24,1.6708
2011-01-25,1.6718
2011-01-26,1.668
2011-01-27,1.6764
2011-01-28,1.683
2011-01-29,1.683
2011-01-30,1.683
2011-01-31,1.667
2011-02-01,1.6644
2011-02-02,1.6672
2011-02-03,1.6681
2011-02-04,1.6737
2011-02-05,1.6737
2011-02-06,1.6737
2011-02-07,1.6795
2011-02-08,1.6646
2011-02-09,1.6593
2011-02-10,1.6675
2011-02-11,1.6657
2011-02-12,1.6657
2011-02-13,1.6657
2011-02-14,1.667
2011-02-15,1.6698
2011-02-16,1.6692
2011-02-17,1.661
2011-02-18,1.6621
2011-02-19,1.6621
2011-02-20,1.6621
2011-02-21,1.6682
2011-02-22,1.6724
2011-02-23,1.674
2011-02-24,1.6641
2011-02-25,1.663
2011-02-26,1.663
2011-02-27,1.663
2011-02-28,1.6643
2011-03-01,1.6639
2011-03-02,1.6576
2011-03-03,1.6493
2011-03-04,1.6546
2011-03-05,1.6546
2011-03-06,1.6546
2011-03-07,1.6546
2011-03-08,1.6546
2011-03-09,1.654
2011-03-10,1.6622
2011-03-11,1.6649
2011-03-12,1.6649
2011-03-13,1.6649
2011-03-14,1.6598
2011-03-15,1.6653
2011-03-16,1.6756
2011-03-17,1.678
2011-03-18,1.6655
2011-03-19,1.6655
2011-03-20,1.6655
2011-03-21,1.666
2011-03-22,1.6598
2011-03-23,1.6604
2011-03-24,1.6594
2011-03-25,1.662
2011-03-26,1.662
2011-03-27,1.662
2011-03-28,1.6629
2011-03-29,1.6463
2011-03-30,1.6288
2011-03-31,1.6318
2011-04-01,1.607
2011-04-02,1.607
2011-04-03,1.607
2011-04-04,1.6073
2011-04-05,1.6096
2011-04-06,1.6144
2011-04-07,1.5863
2011-04-08,1.5689
2011-04-09,1.5689
2011-04-10,1.5689
2011-04-11,1.5833
2011-04-12,1.5947
2011-04-13,1.5865
2011-04-14,1.5782
2011-04-15,1.5762
2011-04-16,1.5762
2011-04-17,1.5762
2011-04-18,1.59
2011-04-19,1.5763
2011-04-20,1.5663
2011-04-21,1.5663
2011-04-22,1.5663
2011-04-23,1.5663
2011-04-24,1.5663
2011-04-25,1.5688
2011-04-26,1.5621
2011-04-27,1.5665
2011-04-28,1.578
2011-04-29,1.5754
2011-04-30,1.5754
2011-05-01,1.5754
2011-05-02,1.5893
2011-05-03,1.5876
2011-05-04,1.6182
2011-05-05,1.622
2011-05-06,1.6149
2011-05-07,1.6149
2011-05-08,1.6149
2011-05-09,1.6141
2011-05-10,1.6037
2011-05-11,1.6218
2011-05-12,1.6198
2011-05-13,1.6362
2011-05-14,1.6362
2011-05-15,1.6362
2011-05-16,1.6348
2011-05-17,1.6156
2011-05-18,1.6096
2011-05-19,1.6163
2011-05-20,1.6228
2011-05-21,1.6228
2011-05-22,1.6228
2011-05-23,1.6332
2011-05-24,1.6241
2011-05-25,1.6292
2011-05-26,1.6151
2011-05-27,1.5945
2011-05-28,1.5945
2011-05-29,1.5945
2011-05-30,1.5944
2011-05-31,1.5801
2011-06-01,1.5942
2011-06-02,1.575
2011-06-03,1.5763
2011-06-04,1.5763
2011-06-05,1.5763
2011-06-06,1.5843
2011-06-07,1.5798
2011-06-08,1.5815
2011-06-09,1.5832
2011-06-10,1.597
2011-06-11,1.597
2011-06-12,1.597
2011-06-13,1.5832
2011-06-14,1.5837
2011-06-15,1.6002
2011-06-16,1.603
2011-06-17,1.5978
2011-06-18,1.5978
2011-06-19,1.5978
2011-06-20,1.5965
2011-06-21,1.5862
2011-06-22,1.5909
2011-06-23,1.5909
2011-06-24,1.6046
2011-06-25,1.6046
2011-06-26,1.6046
2011-06-27,1.5944
2011-06-28,1.5759
2011-06-29,1.5677
2011-06-30,1.5633
2011-07-01,1.556
2011-07-02,1.556
2011-07-03,1.556
2011-07-04,1.5534
2011-07-05,1.5648
2011-07-06,1.5694
2011-07-07,1.5538
2011-07-08,1.5625
2011-07-09,1.5625
2011-07-10,1.5625
2011-07-11,1.5775
2011-07-12,1.5791
2011-07-13,1.5755
2011-07-14,1.5791
2011-07-15,1.5745
2011-07-16,1.5745
2011-07-17,1.5745
2011-07-18,1.5745
2011-07-19,1.5636
2011-07-20,1.5653
2011-07-21,1.5526
2011-07-22,1.552
2011-07-23,1.552
2011-07-24,1.552
2011-07-25,1.54
2011-07-26,1.5391
2011-07-27,1.5555
2011-07-28,1.5672
2011-07-29,1.5493
2011-07-30,1.5493
2011-07-31,1.5493
2011-08-01,1.5661
2011-08-02,1.5673
2011-08-03,1.5603
2011-08-04,1.5879
2011-08-05,1.5761
2011-08-06,1.5761
2011-08-07,1.5761
2011-08-08,1.6263
2011-08-09,1.589
2011-08-10,1.625
2011-08-11,1.6257
2011-08-12,1.6117
2011-08-13,1.6117
2011-08-14,1.6117
2011-08-15,1.5889
2011-08-16,1.5901
2011-08-17,1.588
2011-08-18,1.5991
2011-08-19,1.5996
2011-08-20,1.5996
2011-08-21,1.5996
2011-08-22,1.6078
2011-08-23,1.5968
2011-08-24,1.6137
2011-08-25,1.6094
2011-08-26,1.6033
2011-08-27,1.6033
2011-08-28,1.6033
2011-08-29,1.5914
2011-08-30,1.5951
2011-08-31,1.5896
2011-09-01,1.6197
2011-09-02,1.641
2011-09-03,1.641
2011-09-04,1.641
2011-09-05,1.6452
2011-09-06,1.6571
2011-09-07,1.6571
2011-09-08,1.6602
2011-09-09,1.6741
2011-09-10,1.6741
2011-09-11,1.6741
2011-09-12,1.7026
2011-09-13,1.7099
2011-09-14,1.7144
2011-09-15,1.7069
2011-09-16,1.7331
2011-09-17,1.7331
2011-09-18,1.7331
2011-09-19,1.7976
2011-09-20,1.7855
2011-09-21,1.8756
2011-09-22,1.9055
2011-09-23,1.8339
2011-09-24,1.8339
2011-09-25,1.8339
2011-09-26,1.8242
2011-09-27,1.8059
2011-09-28,1.8408
2011-09-29,1.8403
2011-09-30,1.8793
2011-10-01,1.8793
2011-10-02,1.8793
2011-10-03,1.8911
2011-10-04,1.8581
2011-10-05,1.8327
2011-10-06,1.7811
2011-10-07,1.7715
2011-10-08,1.7715
2011-10-09,1.7715
2011-10-10,1.7632
2011-10-11,1.7759
2011-10-12,1.7759
2011-10-13,1.751
2011-10-14,1.7328
2011-10-15,1.7328
2011-10-16,1.7328
2011-10-17,1.7741
2011-10-18,1.7543
2011-10-19,1.774
2011-10-20,1.7809
2011-10-21,1.7755
2011-10-22,1.7755
2011-10-23,1.7755
2011-10-24,1.7506
2011-10-25,1.7658
2011-10-26,1.7586
2011-10-27,1.7099
2011-10-28,1.6721
2011-10-29,1.6721
2011-10-30,1.6721
2011-10-31,1.7157
2011-11-01,1.7449
2011-11-02,1.7449
2011-11-03,1.7375
2011-11-04,1.7517
2011-11-05,1.7517
2011-11-06,1.7517
2011-11-07,1.7477
2011-11-08,1.7325
2011-11-09,1.7789
2011-11-10,1.7616
2011-11-11,1.7435
2011-11-12,1.7435
2011-11-13,1.7435
2011-11-14,1.7669
2011-11-15,1.7669
2011-11-16,1.7701
2011-11-17,1.7795
2011-11-18,1.7865
2011-11-19,1.7865
2011-11-20,1.7865
2011-11-21,1.8069
2011-11-22,1.8183
2011-11-23,1.8662
2011-11-24,1.898
2011-11-25,1.8917
2011-11-26,1.8917
2011-11-27,1.8917
2011-11-28,1.8547
2011-11-29,1.8454
2011-11-30,1.8085
2011-12-01,1.8001
2011-12-02,1.7907
2011-12-03,1.7907
2011-12-04,1.7907
2011-12-05,1.7859
2011-12-06,1.7915
2011-12-07,1.7996
2011-12-08,1.8243
2011-12-09,1.7981
2011-12-10,1.7981
2011-12-11,1.7981
2011-12-12,1.844
2011-12-13,1.8638
2011-12-14,1.8799
2011-12-15,1.8602
2011-12-16,1.8513
2011-12-17,1.8513
2011-12-18,1.8513
2011-12-19,1.8673
2011-12-20,1.846
2011-12-21,1.8597
2011-12-22,1.856
2011-12-23,1.8571
2011-12-24,1.8571
2011-12-25,1.8571
2011-12-26,1.8582
2011-12-27,1.8605
2011-12-28,1.8736
2011-12-29,1.8669
2011-12-30,1.8668
2011-12-31,1.8668
2012-01-01,1.8668
2012-01-02,1.8714
2012-01-03,1.8307
2012-01-04,1.8326
2012-01-05,1.8432
2012-01-06,1.8566
2012-01-07,1.8566
2012-01-08,1.8566
2012-01-09,1.8332
2012-01-10,1.7996
2012-01-11,1.8025
2012-01-12,1.7796
2012-01-13,1.7863
2012-01-14,1.7863
2012-01-15,1.7863
2012-01-16,1.7861
2012-01-17,1.7873
2012-01-18,1.7671
2012-01-19,1.765
2012-01-20,1.7552
2012-01-21,1.7552
2012-01-22,1.7552
2012-01-23,1.755
2012-01-24,1.7585
2012-01-25,1.762
2012-01-26,1.7491
2012-01-27,1.737
2012-01-28,1.737
2012-01-29,1.737
2012-01-30,1.7488
2012-01-31,1.7468
2012-02-01,1.7343
2012-02-02,1.7189
2012-02-03,1.7179
2012-02-04,1.7179
2012-02-05,1.7179
2012-02-06,1.7257
2012-02-07,1.7256
2012-02-08,1.7206
2012-02-09,1.7169
2012-02-10,1.7224
2012-02-11,1.7224
2012-02-12,1.7224
2012-02-13,1.7163
2012-02-14,1.7247
2012-02-15,1.7285
2012-02-16,1.7164
2012-02-17,1.7139
2012-02-18,1.7139
2012-02-19,1.7139
2012-02-20,1.7139
2012-02-21,1.7139
2012-02-22,1.706
2012-02-23,1.7137
2012-02-24,1.71
2012-02-25,1.71
2012-02-26,1.71
2012-02-27,1.7068
2012-02-28,1.6958
2012-02-29,1.7174
2012-03-01,1.7142
2012-03-02,1.7304
2012-03-03,1.7304
2012-03-04,1.7304
2012-03-05,1.7395
2012-03-06,1.7584
2012-03-07,1.7661
2012-03-08,1.7607
2012-03-09,1.7912
2012-03-10,1.7912
2012-03-11,1.7912
2012-03-12,1.7969
2012-03-13,1.7922
2012-03-14,1.8044
2012-03-15,1.7983
2012-03-16,1.7998
2012-03-17,1.7998
2012-03-18,1.7998
2012-03-19,1.8207
2012-03-20,1.8147
2012-03-21,1.818
2012-03-22,1.8192
2012-03-23,1.8102
2012-03-24,1.8102
2012-03-25,1.8102
2012-03-26,1.8172
2012-03-27,1.822
2012-03-28,1.8259
2012-03-29,1.8214
2012-03-30,1.8268
2012-03-31,1.8268
2012-04-01,1.8268
2012-04-02,1.8323
2012-04-03,1.8246
2012-04-04,1.8264
2012-04-05,1.8228
2012-04-06,1.8228
2012-04-07,1.8228
2012-04-08,1.8228
2012-04-09,1.8179
2012-04-10,1.8336
2012-04-11,1.8356
2012-04-12,1.8268
2012-04-13,1.8386
2012-04-14,1.8386
2012-04-15,1.8386
2012-04-16,1.8473
2012-04-17,1.8611
2012-04-18,1.8786
2012-04-19,1.8805
2012-04-20,1.8724
2012-04-21,1.8724
2012-04-22,1.8724
2012-04-23,1.8809
2012-04-24,1.879
2012-04-25,1.88
2012-04-26,1.8856
2012-04-27,1.8878
2012-04-28,1.8878
2012-04-29,1.8878
2012-04-30,1.9083
2012-05-01,1.9083
2012-05-02,1.9232
2012-05-03,1.908
2012-05-04,1.9276
2012-05-05,1.9276
2012-05-06,1.9276
2012-05-07,1.9199
2012-05-08,1.9402
2012-05-09,1.9699
2012-05-10,1.9535
2012-05-11,1.9665
2012-05-12,1.9665
2012-05-13,1.9665
2012-05-14,1.9962
2012-05-15,2.0019
2012-05-16,2.0009
2012-05-17,2.0087
2012-05-18,2.0238
2012-05-19,2.0238
2012-05-20,2.0238
2012-05-21,2.0419
2012-05-22,2.0907
2012-05-23,2.0326
2012-05-24,2.0292
2012-05-25,1.9874
2012-05-26,1.9874
2012-05-27,1.9874
2012-05-28,1.983
2012-05-29,1.9929
2012-05-30,2.0159
2012-05-31,2.0227
2012-06-01,2.0401
2012-06-02,2.0401
2012-06-03,2.0401
2012-06-04,2.0585
2012-06-05,2.0225
2012-06-06,2.0328
2012-06-07,2.0328
2012-06-08,2.0237
2012-06-09,2.0237
2012-06-10,2.0237
2012-06-11,2.0645
2012-06-12,2.0684
2012-06-13,2.0727
2012-06-14,2.0556
2012-06-15,2.0509
2012-06-16,2.0509
2012-06-17,2.0509
2012-06-18,2.059
2012-06-19,2.0289
2012-06-20,2.0258
2012-06-21,2.0619
2012-06-22,2.0665
2012-06-23,2.0665
2012-06-24,2.0665
2012-06-25,2.062
2012-06-26,2.0762
2012-06-27,2.0754
2012-06-28,2.0778
2012-06-29,2.0094
2012-06-30,2.0094
2012-07-01,2.0094
2012-07-02,1.9854
2012-07-03,2.0155
2012-07-04,2.0285
2012-07-05,2.0193
2012-07-06,2.0282
2012-07-07,2.0282
2012-07-08,2.0282
2012-07-09,2.0324
2012-07-10,2.0337
2012-07-11,2.0366
2012-07-12,2.0375
2012-07-13,2.0371
2012-07-14,2.0371
2012-07-15,2.0371
2012-07-16,2.035
2012-07-17,2.0218
2012-07-18,2.0232
2012-07-19,2.0122
2012-07-20,2.0242
2012-07-21,2.0242
2012-07-22,2.0242
2012-07-23,2.0387
2012-07-24,2.0478
2012-07-25,2.033
2012-07-26,2.0213
2012-07-27,2.0216
2012-07-28,2.0216
2012-07-29,2.0216
2012-07-30,2.0411
2012-07-31,2.0569
2012-08-01,2.0443
2012-08-02,2.0496
2012-08-03,2.0284
2012-08-04,2.0284
2012-08-05,2.0284
2012-08-06,2.0311
2012-08-07,2.0285
2012-08-08,2.0212
2012-08-09,2.0132
2012-08-10,2.0157
2012-08-11,2.0157
2012-08-12,2.0157
2012-08-13,2.0209
2012-08-14,2.0262
2012-08-15,2.0229
2012-08-16,2.0173
2012-08-17,2.0155
2012-08-18,2.0155
2012-08-19,2.0155
2012-08-20,2.0171
2012-08-21,2.0164
2012-08-22,2.0163
2012-08-23,2.0238
2012-08-24,2.0266
2012-08-25,2.0266
2012-08-26,2.0266
2012-08-27,2.0336
2012-08-28,2.0428
2012-08-29,2.0499
2012-08-30,2.0484
2012-08-31,2.0308
2012-09-01,2.0308
2012-09-02,2.0308
2012-09-03,2.0329
2012-09-04,2.0423
2012-09-05,2.0391
2012-09-06,2.029
2012-09-07,2.029
2012-09-08,2.029
2012-09-09,2.029
2012-09-10,2.0227
2012-09-11,2.0171
2012-09-12,2.026
2012-09-13,2.0205
2012-09-14,2.0121
2012-09-15,2.0121
2012-09-16,2.0121
2012-09-17,2.032
2012-09-18,2.0234
2012-09-19,2.0246
2012-09-20,2.0214
2012-09-21,2.0231
2012-09-22,2.0231
2012-09-23,2.0231
2012-09-24,2.0256
2012-09-25,2.0307
2012-09-26,2.0356
2012-09-27,2.0296
2012-09-28,2.0264
2012-09-29,2.0264
2012-09-30,2.0264
2012-10-01,2.0268
2012-10-02,2.0259
2012-10-03,2.023
2012-10-04,2.0189
2012-10-05,2.0306
2012-10-06,2.0306
2012-10-07,2.0306
2012-10-08,2.0297
2012-10-09,2.0355
2012-10-10,2.0417
2012-10-11,2.0426
2012-10-12,2.0426
2012-10-13,2.0426
2012-10-14,2.0426
2012-10-15,2.0357
2012-10-16,2.0337
2012-10-17,2.0311
2012-10-18,2.0271
2012-10-19,2.0273
2012-10-20,2.0273
2012-10-21,2.0273
2012-10-22,2.0242
2012-10-23,2.0272
2012-10-24,2.0259
2012-10-25,2.0259
2012-10-26,2.027
2012-10-27,2.027
2012-10-28,2.027
2012-10-29,2.0329
2012-10-30,2.0307
2012-10-31,2.0308
2012-11-01,2.0314
2012-11-02,2.0314
2012-11-03,2.0314
2012-11-04,2.0314
2012-11-05,2.0352
2012-11-06,2.0321
2012-11-07,2.0339
2012-11-08,2.0405
2012-11-09,2.0462
2012-11-10,2.0462
2012-11-11,2.0462
2012-11-12,2.051
2012-11-13,2.0584
2012-11-14,2.0666
2012-11-15,2.0666
2012-11-16,2.0851
2012-11-17,2.0851
2012-11-18,2.0851
2012-11-19,2.0823
2012-11-20,2.0806
2012-11-21,2.0985
2012-11-22,2.1045
2012-11-23,2.0815
2012-11-24,2.0815
2012-11-25,2.0815
2012-11-26,2.0814
2012-11-27,2.0838
2012-11-28,2.0935
2012-11-29,2.0987
2012-11-30,2.136
2012-12-01,2.136
2012-12-02,2.136
2012-12-03,2.1235
2012-12-04,2.1198
2012-12-05,2.0879
2012-12-06,2.0774
2012-12-07,2.0751
2012-12-08,2.0751
2012-12-09,2.0751
2012-12-10,2.0773
2012-12-11,2.0787
2012-12-12,2.0722
2012-12-13,2.0856
2012-12-14,2.086
2012-12-15,2.086
2012-12-16,2.086
2012-12-17,2.0996
2012-12-18,2.089
2012-12-19,2.0718
2012-12-20,2.0693
2012-12-21,2.0791
2012-12-22,2.0791
2012-12-23,2.0791
2012-12-24,2.08
2012-12-25,2.08
2012-12-26,2.0491
2012-12-27,2.0434
2012-12-28,2.0475
2012-12-29,2.0475
2012-12-30,2.0475
2012-12-31,2.0516
2013-01-01,2.0516
2013-01-02,2.0457
2013-01-03,2.0457
2013-01-04,2.0325
2013-01-05,2.0325
2013-01-06,2.0325
2013-01-07,2.0276
2013-01-08,2.0415
2013-01-09,2.0408
2013-01-10,2.029
2013-01-11,2.0339
2013-01-12,2.0339
2013-01-13,2.0339
2013-01-14,2.0316
2013-01-15,2.0358
2013-01-16,2.0424
2013-01-17,2.0388
2013-01-18,2.0414
2013-01-19,2.0414
2013-01-20,2.0414
2013-01-21,2.0411
2013-01-22,2.0428
2013-01-23,2.036
2013-01-24,2.031
2013-01-25,2.03
2013-01-26,2.03
2013-01-27,2.03
2013-01-28,1.9955
2013-01-29,1.9859
2013-01-30,1.9887
2013-01-31,1.9915
2013-02-01,1.988
2013-02-02,1.988
2013-02-03,1.988
2013-02-04,1.9954
2013-02-05,1.9846
2013-02-06,1.9911
2013-02-07,1.9667
2013-02-08,1.9727
2013-02-09,1.9727
2013-02-10,1.9727
2013-02-11,1.9727
2013-02-12,1.9727
2013-02-13,1.9651
2013-02-14,1.9582
2013-02-15,1.9688
2013-02-16,1.9688
2013-02-17,1.9688
2013-02-18,1.9633
2013-02-19,1.9557
2013-02-20,1.962
2013-02-21,1.9728
2013-02-22,1.9727
2013-02-23,1.9727
2013-02-24,1.9727
2013-02-25,1.982
2013-02-26,1.9823
2013-02-27,1.9728
2013-02-28,1.9785
2013-03-01,1.9797
2013-03-02,1.9797
2013-03-03,1.9797
2013-03-04,1.9703
2013-03-05,1.9642
2013-03-06,1.9704
2013-03-07,1.9584
2013-03-08,1.9442
2013-03-09,1.9442
2013-03-10,1.9442
2013-03-11,1.9569
2013-03-12,1.9647
2013-03-13,1.9721
2013-03-14,1.9717
2013-03-15,1.9831
2013-03-16,1.9831
2013-03-17,1.9831
2013-03-18,1.9827
2013-03-19,1.9843
2013-03-20,1.9899
