,USDTWD BGN Curncy
2010-05-31,31.97
2010-06-01,32.218
2010-06-02,32.28
2010-06-03,32.124
2010-06-04,32.19
2010-06-05,32.19
2010-06-06,32.19
2010-06-07,32.437
2010-06-08,32.385
2010-06-09,32.415
2010-06-10,32.423
2010-06-11,32.371
2010-06-12,32.371
2010-06-13,32.371
2010-06-14,32.249
2010-06-15,32.283
2010-06-16,32.2
2010-06-17,32.271
2010-06-18,32.15
2010-06-19,32.15
2010-06-20,32.15
2010-06-21,31.735
2010-06-22,31.828
2010-06-23,31.998
2010-06-24,32.031
2010-06-25,32.04
2010-06-26,32.04
2010-06-27,32.04
2010-06-28,32.085
2010-06-29,32.142
2010-06-30,32.133
2010-07-01,32.23
2010-07-02,32.25
2010-07-03,32.25
2010-07-04,32.25
2010-07-05,32.189
2010-07-06,32.184
2010-07-07,32.191
2010-07-08,32.103
2010-07-09,32.048
2010-07-10,32.048
2010-07-11,32.048
2010-07-12,32.093
2010-07-13,32.175
2010-07-14,32.109
2010-07-15,32.118
2010-07-16,32.109
2010-07-17,32.109
2010-07-18,32.109
2010-07-19,32.145
2010-07-20,32.124
2010-07-21,32.11
2010-07-22,32.185
2010-07-23,32.108
2010-07-24,32.108
2010-07-25,32.108
2010-07-26,32.1
2010-07-27,32.028
2010-07-28,32.028
2010-07-29,31.98
2010-07-30,31.974
2010-07-31,31.974
2010-08-01,31.974
2010-08-02,31.81
2010-08-03,31.76
2010-08-04,31.802
2010-08-05,31.798
2010-08-06,31.738
2010-08-07,31.738
2010-08-08,31.738
2010-08-09,31.673
2010-08-10,31.755
2010-08-11,31.82
2010-08-12,31.907
2010-08-13,31.899
2010-08-14,31.899
2010-08-15,31.899
2010-08-16,31.931
2010-08-17,31.902
2010-08-18,31.924
2010-08-19,31.914
2010-08-20,31.916
2010-08-21,31.916
2010-08-22,31.916
2010-08-23,31.943
2010-08-24,32.006
2010-08-25,32.029
2010-08-26,32.006
2010-08-27,32.002
2010-08-28,32.002
2010-08-29,32.002
2010-08-30,32.026
2010-08-31,32.034
2010-09-01,32.034
2010-09-02,32.0
2010-09-03,31.933
2010-09-04,31.933
2010-09-05,31.933
2010-09-06,31.881
2010-09-07,31.967
2010-09-08,31.965
2010-09-09,31.889
2010-09-10,31.855
2010-09-11,31.855
2010-09-12,31.855
2010-09-13,31.747
2010-09-14,31.726
2010-09-15,31.765
2010-09-16,31.725
2010-09-17,31.681
2010-09-18,31.681
2010-09-19,31.681
2010-09-20,31.655
2010-09-21,31.663
2010-09-22,31.56
2010-09-23,31.545
2010-09-24,31.495
2010-09-25,31.495
2010-09-26,31.495
2010-09-27,31.385
2010-09-28,31.416
2010-09-29,31.237
2010-09-30,31.242
2010-10-01,31.092
2010-10-02,31.092
2010-10-03,31.092
2010-10-04,30.994
2010-10-05,31.079
2010-10-06,30.847
2010-10-07,30.697
2010-10-08,30.929
2010-10-09,30.929
2010-10-10,30.929
2010-10-11,30.803
2010-10-12,30.958
2010-10-13,30.833
2010-10-14,30.677
2010-10-15,30.653
2010-10-16,30.653
2010-10-17,30.653
2010-10-18,30.807
2010-10-19,30.843
2010-10-20,30.88
2010-10-21,30.782
2010-10-22,30.814
2010-10-23,30.814
2010-10-24,30.814
2010-10-25,30.603
2010-10-26,30.679
2010-10-27,30.743
2010-10-28,30.699
2010-10-29,30.624
2010-10-30,30.624
2010-10-31,30.624
2010-11-01,30.471
2010-11-02,30.478
2010-11-03,30.409
2010-11-04,30.258
2010-11-05,30.107
2010-11-06,30.107
2010-11-07,30.107
2010-11-08,30.167
2010-11-09,30.144
2010-11-10,30.18
2010-11-11,30.045
2010-11-12,30.209
2010-11-13,30.209
2010-11-14,30.209
2010-11-15,30.28
2010-11-16,30.257
2010-11-17,30.452
2010-11-18,30.397
2010-11-19,30.321
2010-11-20,30.321
2010-11-21,30.321
2010-11-22,30.274
2010-11-23,30.435
2010-11-24,30.446
2010-11-25,30.383
2010-11-26,30.464
2010-11-27,30.464
2010-11-28,30.464
2010-11-29,30.42
2010-11-30,30.482
2010-12-01,30.431
2010-12-02,30.36
2010-12-03,30.311
2010-12-04,30.311
2010-12-05,30.311
2010-12-06,30.144
2010-12-07,30.113
2010-12-08,30.185
2010-12-09,30.097
2010-12-10,30.119
2010-12-11,30.119
2010-12-12,30.119
2010-12-13,30.043
2010-12-14,29.9
2010-12-15,29.828
2010-12-16,29.863
2010-12-17,29.85
2010-12-18,29.85
2010-12-19,29.85
2010-12-20,29.884
2010-12-21,29.873
2010-12-22,29.917
2010-12-23,29.901
2010-12-24,29.69
2010-12-25,29.69
2010-12-26,29.69
2010-12-27,29.509
2010-12-28,29.513
2010-12-29,29.388
2010-12-30,29.125
2010-12-31,29.299
2011-01-01,29.299
2011-01-02,29.299
2011-01-03,29.097
2011-01-04,29.168
2011-01-05,29.194
2011-01-06,29.398
2011-01-07,29.371
2011-01-08,29.371
2011-01-09,29.371
2011-01-10,29.238
2011-01-11,29.193
2011-01-12,29.084
2011-01-13,29.018
2011-01-14,29.021
2011-01-15,29.021
2011-01-16,29.021
2011-01-17,29.018
2011-01-18,29.028
2011-01-19,29.018
2011-01-20,29.101
2011-01-21,29.121
2011-01-22,29.121
2011-01-23,29.121
2011-01-24,29.051
2011-01-25,29.022
2011-01-26,29.045
2011-01-27,29.046
2011-01-28,29.01
2011-01-29,29.01
2011-01-30,29.01
2011-01-31,29.04
2011-02-01,29.033
2011-02-02,28.925
2011-02-03,28.96
2011-02-04,29.0
2011-02-05,29.0
2011-02-06,29.0
2011-02-07,29.01
2011-02-08,28.922
2011-02-09,28.81
2011-02-10,28.931
2011-02-11,29.195
2011-02-12,29.195
2011-02-13,29.195
2011-02-14,29.306
2011-02-15,29.437
2011-02-16,29.429
2011-02-17,29.413
2011-02-18,29.388
2011-02-19,29.388
2011-02-20,29.388
2011-02-21,29.35
2011-02-22,29.542
2011-02-23,29.569
2011-02-24,29.796
2011-02-25,29.751
2011-02-26,29.751
2011-02-27,29.751
2011-02-28,29.735
2011-03-01,29.592
2011-03-02,29.648
2011-03-03,29.498
2011-03-04,29.372
2011-03-05,29.372
2011-03-06,29.372
2011-03-07,29.402
2011-03-08,29.397
2011-03-09,29.372
2011-03-10,29.488
2011-03-11,29.581
2011-03-12,29.581
2011-03-13,29.581
2011-03-14,29.484
2011-03-15,29.549
2011-03-16,29.546
2011-03-17,29.563
2011-03-18,29.596
2011-03-19,29.596
2011-03-20,29.596
2011-03-21,29.569
2011-03-22,29.54
2011-03-23,29.579
2011-03-24,29.581
2011-03-25,29.458
2011-03-26,29.458
2011-03-27,29.458
2011-03-28,29.488
2011-03-29,29.473
2011-03-30,29.493
2011-03-31,29.405
2011-04-01,29.265
2011-04-02,29.265
2011-04-03,29.265
2011-04-04,29.13
2011-04-05,29.18
2011-04-06,29.005
2011-04-07,28.986
2011-04-08,28.942
2011-04-09,28.942
2011-04-10,28.942
2011-04-11,28.938
2011-04-12,29.092
2011-04-13,29.015
2011-04-14,29.021
2011-04-15,29.024
2011-04-16,29.024
2011-04-17,29.024
2011-04-18,29.086
2011-04-19,29.099
2011-04-20,29.012
2011-04-21,28.88
2011-04-22,28.902
2011-04-23,28.902
2011-04-24,28.902
2011-04-25,28.913
2011-04-26,28.914
2011-04-27,28.855
2011-04-28,28.683
2011-04-29,28.609
2011-04-30,28.609
2011-05-01,28.609
2011-05-02,28.565
2011-05-03,28.552
2011-05-04,28.57
2011-05-05,28.583
2011-05-06,28.676
2011-05-07,28.676
2011-05-08,28.676
2011-05-09,28.608
2011-05-10,28.581
2011-05-11,28.508
2011-05-12,28.639
2011-05-13,28.652
2011-05-14,28.652
2011-05-15,28.652
2011-05-16,28.806
2011-05-17,28.845
2011-05-18,28.839
2011-05-19,28.825
2011-05-20,28.756
2011-05-21,28.756
2011-05-22,28.756
2011-05-23,28.928
2011-05-24,28.89
2011-05-25,28.948
2011-05-26,28.896
2011-05-27,28.821
2011-05-28,28.821
2011-05-29,28.821
2011-05-30,28.772
2011-05-31,28.657
2011-06-01,28.587
2011-06-02,28.699
2011-06-03,28.663
2011-06-04,28.663
2011-06-05,28.663
2011-06-06,28.635
2011-06-07,28.696
2011-06-08,28.681
2011-06-09,28.749
2011-06-10,28.782
2011-06-11,28.782
2011-06-12,28.782
2011-06-13,28.821
2011-06-14,28.828
2011-06-15,28.824
2011-06-16,28.917
2011-06-17,28.962
2011-06-18,28.962
2011-06-19,28.962
2011-06-20,28.985
2011-06-21,28.93
2011-06-22,28.838
2011-06-23,28.875
2011-06-24,28.886
2011-06-25,28.886
2011-06-26,28.886
2011-06-27,28.948
2011-06-28,28.928
2011-06-29,28.881
2011-06-30,28.724
2011-07-01,28.764
2011-07-02,28.764
2011-07-03,28.764
2011-07-04,28.708
2011-07-05,28.783
2011-07-06,28.809
2011-07-07,28.816
2011-07-08,28.761
2011-07-09,28.761
2011-07-10,28.761
2011-07-11,28.834
2011-07-12,28.949
2011-07-13,28.866
2011-07-14,28.822
2011-07-15,28.883
2011-07-16,28.883
2011-07-17,28.883
2011-07-18,28.936
2011-07-19,28.89
2011-07-20,28.863
2011-07-21,28.884
2011-07-22,28.813
2011-07-23,28.813
2011-07-24,28.813
2011-07-25,28.829
2011-07-26,28.799
2011-07-27,28.783
2011-07-28,28.793
2011-07-29,28.857
2011-07-30,28.857
2011-07-31,28.857
2011-08-01,28.81
2011-08-02,28.835
2011-08-03,28.895
2011-08-04,28.934
2011-08-05,28.941
2011-08-06,28.941
2011-08-07,28.941
2011-08-08,28.992
2011-08-09,29.008
2011-08-10,28.945
2011-08-11,28.99
2011-08-12,28.983
2011-08-13,28.983
2011-08-14,28.983
2011-08-15,28.919
2011-08-16,28.935
2011-08-17,28.919
2011-08-18,28.97
2011-08-19,29.003
2011-08-20,29.003
2011-08-21,29.003
2011-08-22,29.01
2011-08-23,28.971
2011-08-24,29.011
2011-08-25,29.028
2011-08-26,29.053
2011-08-27,29.053
2011-08-28,29.053
2011-08-29,29.03
2011-08-30,29.031
2011-08-31,29.01
2011-09-01,28.954
2011-09-02,29.01
2011-09-03,29.01
2011-09-04,29.01
2011-09-05,29.028
2011-09-06,29.106
2011-09-07,29.104
2011-09-08,29.143
2011-09-09,29.208
2011-09-10,29.208
2011-09-11,29.208
2011-09-12,29.465
2011-09-13,29.483
2011-09-14,29.588
2011-09-15,29.6
2011-09-16,29.574
2011-09-17,29.574
2011-09-18,29.574
2011-09-19,29.748
2011-09-20,29.901
2011-09-21,29.946
2011-09-22,30.408
2011-09-23,30.4
2011-09-24,30.4
2011-09-25,30.4
2011-09-26,30.591
2011-09-27,30.462
2011-09-28,30.403
2011-09-29,30.423
2011-09-30,30.485
2011-10-01,30.485
2011-10-02,30.485
2011-10-03,30.572
2011-10-04,30.682
2011-10-05,30.633
2011-10-06,30.607
2011-10-07,30.486
2011-10-08,30.486
2011-10-09,30.486
2011-10-10,30.34
2011-10-11,30.331
2011-10-12,30.385
2011-10-13,30.274
2011-10-14,30.287
2011-10-15,30.287
2011-10-16,30.287
2011-10-17,30.031
2011-10-18,30.141
2011-10-19,30.097
2011-10-20,30.243
2011-10-21,30.285
2011-10-22,30.285
2011-10-23,30.285
2011-10-24,30.128
2011-10-25,30.117
2011-10-26,30.121
2011-10-27,30.057
2011-10-28,29.858
2011-10-29,29.858
2011-10-30,29.858
2011-10-31,29.918
2011-11-01,30.079
2011-11-02,30.098
2011-11-03,30.205
2011-11-04,30.023
2011-11-05,30.023
2011-11-06,30.023
2011-11-07,30.102
2011-11-08,30.1
2011-11-09,30.061
2011-11-10,30.237
2011-11-11,30.184
2011-11-12,30.184
2011-11-13,30.184
2011-11-14,30.164
2011-11-15,30.195
2011-11-16,30.225
2011-11-17,30.199
2011-11-18,30.251
2011-11-19,30.251
2011-11-20,30.251
2011-11-21,30.252
2011-11-22,30.305
2011-11-23,30.392
2011-11-24,30.431
2011-11-25,30.432
2011-11-26,30.432
2011-11-27,30.432
2011-11-28,30.439
2011-11-29,30.393
2011-11-30,30.333
2011-12-01,30.129
2011-12-02,30.151
2011-12-03,30.151
2011-12-04,30.151
2011-12-05,30.171
2011-12-06,30.218
2011-12-07,30.159
2011-12-08,30.163
2011-12-09,30.21
2011-12-10,30.21
2011-12-11,30.21
2011-12-12,30.21
2011-12-13,30.243
2011-12-14,30.28
2011-12-15,30.363
2011-12-16,30.361
2011-12-17,30.361
2011-12-18,30.361
2011-12-19,30.383
2011-12-20,30.335
2011-12-21,30.281
2011-12-22,30.301
2011-12-23,30.283
2011-12-24,30.283
2011-12-25,30.283
2011-12-26,30.293
2011-12-27,30.306
2011-12-28,30.3
2011-12-29,30.277
2011-12-30,30.279
2011-12-31,30.279
2012-01-01,30.279
2012-01-02,30.312
2012-01-03,30.291
2012-01-04,30.285
2012-01-05,30.25
2012-01-06,30.233
2012-01-07,30.233
2012-01-08,30.233
2012-01-09,30.196
2012-01-10,30.035
2012-01-11,29.96
2012-01-12,29.974
2012-01-13,29.974
2012-01-14,29.974
2012-01-15,29.974
2012-01-16,30.038
2012-01-17,29.955
2012-01-18,29.966
2012-01-19,29.923
2012-01-20,29.955
2012-01-21,29.955
2012-01-22,29.955
2012-01-23,29.984
2012-01-24,29.945
2012-01-25,29.932
2012-01-26,29.858
2012-01-27,29.8
2012-01-28,29.8
2012-01-29,29.8
2012-01-30,29.742
2012-01-31,29.573
2012-02-01,29.649
2012-02-02,29.499
2012-02-03,29.53
2012-02-04,29.53
2012-02-05,29.53
2012-02-06,29.587
2012-02-07,29.553
2012-02-08,29.514
2012-02-09,29.441
2012-02-10,29.523
2012-02-11,29.523
2012-02-12,29.523
2012-02-13,29.528
2012-02-14,29.573
2012-02-15,29.504
2012-02-16,29.591
2012-02-17,29.558
2012-02-18,29.558
2012-02-19,29.558
2012-02-20,29.542
2012-02-21,29.545
2012-02-22,29.557
2012-02-23,29.581
2012-02-24,29.577
2012-02-25,29.577
2012-02-26,29.577
2012-02-27,29.595
2012-02-28,29.575
2012-02-29,29.388
2012-03-01,29.449
2012-03-02,29.436
2012-03-03,29.436
2012-03-04,29.436
2012-03-05,29.498
2012-03-06,29.518
2012-03-07,29.544
2012-03-08,29.506
2012-03-09,29.492
2012-03-10,29.492
2012-03-11,29.492
2012-03-12,29.519
2012-03-13,29.514
2012-03-14,29.522
2012-03-15,29.549
2012-03-16,29.545
2012-03-17,29.545
2012-03-18,29.545
2012-03-19,29.527
2012-03-20,29.544
2012-03-21,29.561
2012-03-22,29.561
2012-03-23,29.576
2012-03-24,29.576
2012-03-25,29.576
2012-03-26,29.618
2012-03-27,29.573
2012-03-28,29.55
2012-03-29,29.56
2012-03-30,29.505
2012-03-31,29.505
2012-04-01,29.505
2012-04-02,29.497
2012-04-03,29.465
2012-04-04,29.507
2012-04-05,29.5
2012-04-06,29.531
2012-04-07,29.531
2012-04-08,29.531
2012-04-09,29.546
2012-04-10,29.544
2012-04-11,29.537
2012-04-12,29.519
2012-04-13,29.517
2012-04-14,29.517
2012-04-15,29.517
2012-04-16,29.522
2012-04-17,29.508
2012-04-18,29.523
2012-04-19,29.498
2012-04-20,29.501
2012-04-21,29.501
2012-04-22,29.501
2012-04-23,29.507
2012-04-24,29.502
2012-04-25,29.484
2012-04-26,29.368
2012-04-27,29.295
2012-04-28,29.295
2012-04-29,29.295
2012-04-30,29.169
2012-05-01,29.141
2012-05-02,29.195
2012-05-03,29.213
2012-05-04,29.235
2012-05-05,29.235
2012-05-06,29.235
2012-05-07,29.334
2012-05-08,29.325
2012-05-09,29.353
2012-05-10,29.36
2012-05-11,29.399
2012-05-12,29.399
2012-05-13,29.399
2012-05-14,29.496
2012-05-15,29.48
2012-05-16,29.616
2012-05-17,29.529
2012-05-18,29.598
2012-05-19,29.598
2012-05-20,29.598
2012-05-21,29.567
2012-05-22,29.515
2012-05-23,29.544
2012-05-24,29.61
2012-05-25,29.621
2012-05-26,29.621
2012-05-27,29.621
2012-05-28,29.613
2012-05-29,29.609
2012-05-30,29.711
2012-05-31,29.838
2012-06-01,29.915
2012-06-02,29.915
2012-06-03,29.915
2012-06-04,30.033
2012-06-05,29.978
2012-06-06,29.885
2012-06-07,29.877
2012-06-08,29.963
2012-06-09,29.963
2012-06-10,29.963
2012-06-11,29.893
2012-06-12,29.968
2012-06-13,29.955
2012-06-14,29.942
2012-06-15,29.902
2012-06-16,29.902
2012-06-17,29.902
2012-06-18,29.855
2012-06-19,29.861
2012-06-20,29.859
2012-06-21,29.868
2012-06-22,29.941
2012-06-23,29.941
2012-06-24,29.941
2012-06-25,29.967
2012-06-26,29.963
2012-06-27,29.92
2012-06-28,29.922
2012-06-29,29.872
2012-06-30,29.872
2012-07-01,29.872
2012-07-02,29.88
2012-07-03,29.858
2012-07-04,29.832
2012-07-05,29.868
2012-07-06,29.893
2012-07-07,29.893
2012-07-08,29.893
2012-07-09,29.938
2012-07-10,29.958
2012-07-11,29.94
2012-07-12,30.001
2012-07-13,29.995
2012-07-14,29.995
2012-07-15,29.995
2012-07-16,29.997
2012-07-17,29.968
2012-07-18,29.989
2012-07-19,29.971
2012-07-20,29.965
2012-07-21,29.965
2012-07-22,29.965
2012-07-23,30.043
2012-07-24,30.106
2012-07-25,30.183
2012-07-26,30.115
2012-07-27,30.071
2012-07-28,30.071
2012-07-29,30.071
2012-07-30,30.054
2012-07-31,29.98
2012-08-01,29.954
2012-08-02,29.963
2012-08-03,29.973
2012-08-04,29.973
2012-08-05,29.973
2012-08-06,29.936
2012-08-07,29.936
2012-08-08,29.966
2012-08-09,29.915
2012-08-10,29.957
2012-08-11,29.957
2012-08-12,29.957
2012-08-13,29.991
2012-08-14,29.954
2012-08-15,29.978
2012-08-16,29.995
2012-08-17,29.997
2012-08-18,29.997
2012-08-19,29.997
2012-08-20,30.003
2012-08-21,29.943
2012-08-22,29.978
2012-08-23,29.937
2012-08-24,29.961
2012-08-25,29.961
2012-08-26,29.961
2012-08-27,29.954
2012-08-28,29.964
2012-08-29,29.936
2012-08-30,29.956
2012-08-31,29.945
2012-09-01,29.945
2012-09-02,29.945
2012-09-03,29.89
2012-09-04,29.849
2012-09-05,29.868
2012-09-06,29.856
2012-09-07,29.803
2012-09-08,29.803
2012-09-09,29.803
2012-09-10,29.685
2012-09-11,29.668
2012-09-12,29.607
2012-09-13,29.655
2012-09-14,29.418
2012-09-15,29.418
2012-09-16,29.418
2012-09-17,29.307
2012-09-18,29.339
2012-09-19,29.346
2012-09-20,29.377
2012-09-21,29.34
2012-09-22,29.34
2012-09-23,29.34
2012-09-24,29.366
2012-09-25,29.331
2012-09-26,29.408
2012-09-27,29.37
2012-09-28,29.313
2012-09-29,29.313
2012-09-30,29.313
2012-10-01,29.313
2012-10-02,29.3
2012-10-03,29.315
2012-10-04,29.303
2012-10-05,29.282
2012-10-06,29.282
2012-10-07,29.282
2012-10-08,29.314
2012-10-09,29.314
2012-10-10,29.32
2012-10-11,29.294
2012-10-12,29.258
2012-10-13,29.258
2012-10-14,29.258
2012-10-15,29.234
2012-10-16,29.251
2012-10-17,29.198
2012-10-18,29.228
2012-10-19,29.244
2012-10-20,29.244
2012-10-21,29.244
2012-10-22,29.275
2012-10-23,29.274
2012-10-24,29.293
2012-10-25,29.231
2012-10-26,29.258
2012-10-27,29.258
2012-10-28,29.258
2012-10-29,29.263
2012-10-30,29.249
2012-10-31,29.213
2012-11-01,29.244
2012-11-02,29.238
2012-11-03,29.238
2012-11-04,29.238
2012-11-05,29.245
2012-11-06,29.252
2012-11-07,29.164
2012-11-08,29.121
2012-11-09,29.01
2012-11-10,29.01
2012-11-11,29.01
2012-11-12,28.994
2012-11-13,29.061
2012-11-14,29.057
2012-11-15,29.081
2012-11-16,29.203
2012-11-17,29.203
2012-11-18,29.203
2012-11-19,29.163
2012-11-20,29.111
2012-11-21,29.152
2012-11-22,29.14
2012-11-23,29.132
2012-11-24,29.132
2012-11-25,29.132
2012-11-26,29.103
2012-11-27,29.096
2012-11-28,29.141
2012-11-29,29.114
2012-11-30,29.054
2012-12-01,29.054
2012-12-02,29.054
2012-12-03,29.096
2012-12-04,29.078
2012-12-05,29.086
2012-12-06,29.108
2012-12-07,29.064
2012-12-08,29.064
2012-12-09,29.064
2012-12-10,29.085
2012-12-11,29.092
2012-12-12,29.064
2012-12-13,29.075
2012-12-14,29.059
2012-12-15,29.059
2012-12-16,29.059
2012-12-17,29.064
2012-12-18,29.044
2012-12-19,29.058
2012-12-20,29.06
2012-12-21,29.066
2012-12-22,29.066
2012-12-23,29.066
2012-12-24,29.056
2012-12-25,29.044
2012-12-26,29.073
2012-12-27,29.041
2012-12-28,29.035
2012-12-29,29.035
2012-12-30,29.035
2012-12-31,29.033
2013-01-01,29.062
2013-01-02,29.01
2013-01-03,29.003
2013-01-04,29.021
2013-01-05,29.021
2013-01-06,29.021
2013-01-07,29.006
2013-01-08,29.034
2013-01-09,29.007
2013-01-10,28.977
2013-01-11,28.953
2013-01-12,28.953
2013-01-13,28.953
2013-01-14,28.957
2013-01-15,28.959
2013-01-16,29.01
2013-01-17,28.97
2013-01-18,28.948
2013-01-19,28.948
2013-01-20,28.948
2013-01-21,28.966
2013-01-22,28.996
2013-01-23,28.998
2013-01-24,29.039
2013-01-25,29.15
2013-01-26,29.15
2013-01-27,29.15
2013-01-28,29.536
2013-01-29,29.553
2013-01-30,29.508
2013-01-31,29.55
2013-02-01,29.602
2013-02-02,29.602
2013-02-03,29.602
2013-02-04,29.568
2013-02-05,29.509
2013-02-06,29.575
2013-02-07,29.545
2013-02-08,29.729
2013-02-09,29.729
2013-02-10,29.729
2013-02-11,29.728
2013-02-12,29.755
2013-02-13,29.711
2013-02-14,29.661
2013-02-15,29.562
2013-02-16,29.562
2013-02-17,29.562
2013-02-18,29.666
2013-02-19,29.613
2013-02-20,29.548
2013-02-21,29.63
2013-02-22,29.614
2013-02-23,29.614
2013-02-24,29.614
2013-02-25,29.657
2013-02-26,29.688
2013-02-27,29.658
2013-02-28,29.637
2013-03-01,29.633
2013-03-02,29.633
2013-03-03,29.633
2013-03-04,29.729
2013-03-05,29.689
2013-03-06,29.625
2013-03-07,29.639
2013-03-08,29.664
2013-03-09,29.664
2013-03-10,29.664
2013-03-11,29.686
2013-03-12,29.674
2013-03-13,29.68
2013-03-14,29.709
2013-03-15,29.708
2013-03-16,29.708
2013-03-17,29.708
2013-03-18,29.74
2013-03-19,29.759
2013-03-20,29.787
2013-03-21,29.806
2013-03-22,29.887
2013-03-23,29.887
2013-03-24,29.887
2013-03-25,29.862
2013-03-26,29.858
2013-03-27,29.898
2013-03-28,29.91
2013-03-29,29.825
2013-03-30,29.825
2013-03-31,29.825
2013-04-01,29.891
2013-04-02,29.878
2013-04-03,29.858
2013-04-04,29.944
2013-04-05,29.948
2013-04-06,29.948
2013-04-07,29.948
2013-04-08,30.01
2013-04-09,30.028
2013-04-10,29.962
2013-04-11,29.938
2013-04-12,29.957
2013-04-13,29.957
2013-04-14,29.957
2013-04-15,29.878
2013-04-16,29.899
2013-04-17,29.869
2013-04-18,29.88
2013-04-19,29.813
2013-04-20,29.813
2013-04-21,29.813
2013-04-22,29.829
2013-04-23,29.821
2013-04-24,29.782
2013-04-25,29.685
2013-04-26,29.639
2013-04-27,29.639
2013-04-28,29.639
2013-04-29,29.517
2013-04-30,29.54
2013-05-01,29.49
2013-05-02,29.553
2013-05-03,29.533
2013-05-04,29.533
2013-05-05,29.533
2013-05-06,29.548
2013-05-07,29.516
2013-05-08,29.445
2013-05-09,29.422
2013-05-10,29.64
2013-05-11,29.64
2013-05-12,29.64
2013-05-13,29.819
2013-05-14,29.828
2013-05-15,29.898
2013-05-16,29.945
2013-05-17,29.971
2013-05-18,29.971
2013-05-19,29.971
2013-05-20,29.941
2013-05-21,29.832
2013-05-22,29.812
2013-05-23,29.93
2013-05-24,29.922
2013-05-25,29.922
2013-05-26,29.922
2013-05-27,29.865
2013-05-28,29.937
2013-05-29,29.987
2013-05-30,29.986
2013-05-31,29.94
2013-06-01,29.94
2013-06-02,29.94
2013-06-03,29.955
2013-06-04,29.901
2013-06-05,29.791
2013-06-06,29.799
2013-06-07,29.761
2013-06-08,29.761
2013-06-09,29.761
2013-06-10,29.866
2013-06-11,29.933
2013-06-12,29.865
2013-06-13,29.889
2013-06-14,29.86
2013-06-15,29.86
2013-06-16,29.86
2013-06-17,29.872
2013-06-18,29.886
2013-06-19,29.847
2013-06-20,30.008
2013-06-21,30.137
2013-06-22,30.137
