,USDARS BGN Curncy
2012-01-24,4.3335
2012-01-25,4.337
2012-01-26,4.336
2012-01-27,4.335
2012-01-28,4.335
2012-01-29,4.335
2012-01-30,4.3352
2012-01-31,4.3363
2012-02-01,4.334
2012-02-02,4.3335
2012-02-03,4.333
2012-02-04,4.333
2012-02-05,4.333
2012-02-06,4.3345
2012-02-07,4.337
2012-02-08,4.342
2012-02-09,4.3447
2012-02-10,4.345
2012-02-11,4.345
2012-02-12,4.345
2012-02-13,4.346
2012-02-14,4.3485
2012-02-15,4.3513
2012-02-16,4.3538
2012-02-17,4.354
2012-02-18,4.354
2012-02-19,4.354
2012-02-20,4.354
2012-02-21,4.354
2012-02-22,4.3535
2012-02-23,4.3545
2012-02-24,4.3535
2012-02-25,4.3535
2012-02-26,4.3535
2012-02-27,4.3535
2012-02-28,4.3555
2012-02-29,4.3565
2012-03-01,4.346
2012-03-02,4.3359
2012-03-03,4.3359
2012-03-04,4.3359
2012-03-05,4.335
2012-03-06,4.3355
2012-03-07,4.3372
2012-03-08,4.3386
2012-03-09,4.342
2012-03-10,4.342
2012-03-11,4.342
2012-03-12,4.3454
2012-03-13,4.3528
2012-03-14,4.3571
2012-03-15,4.3515
2012-03-16,4.3573
2012-03-17,4.3573
2012-03-18,4.3573
2012-03-19,4.3636
2012-03-20,4.3638
2012-03-21,4.3665
2012-03-22,4.3661
2012-03-23,4.3669
2012-03-24,4.3669
2012-03-25,4.3669
2012-03-26,4.372
2012-03-27,4.374
2012-03-28,4.373
2012-03-29,4.3758
2012-03-30,4.3788
2012-03-31,4.3788
2012-04-01,4.3788
2012-04-02,4.3788
2012-04-03,4.3811
2012-04-04,4.387
2012-04-05,4.387
2012-04-06,4.387
2012-04-07,4.387
2012-04-08,4.387
2012-04-09,4.3845
2012-04-10,4.383
2012-04-11,4.3875
2012-04-12,4.3935
2012-04-13,4.3959
2012-04-14,4.3959
2012-04-15,4.3959
2012-04-16,4.3945
2012-04-17,4.397
2012-04-18,4.4015
2012-04-19,4.4038
2012-04-20,4.4055
2012-04-21,4.4055
2012-04-22,4.4055
2012-04-23,4.4072
2012-04-24,4.4108
2012-04-25,4.4124
2012-04-26,4.414
2012-04-27,4.4153
2012-04-28,4.4153
2012-04-29,4.4153
2012-04-30,4.4153
2012-05-01,4.4153
2012-05-02,4.4237
2012-05-03,4.4263
2012-05-04,4.428
2012-05-05,4.428
2012-05-06,4.428
2012-05-07,4.4338
2012-05-08,4.4375
2012-05-09,4.44
2012-05-10,4.4385
2012-05-11,4.4369
2012-05-12,4.4369
2012-05-13,4.4369
2012-05-14,4.4405
2012-05-15,4.4405
2012-05-16,4.4462
2012-05-17,4.4513
2012-05-18,4.4588
2012-05-19,4.4588
2012-05-20,4.4588
2012-05-21,4.4637
2012-05-22,4.4663
2012-05-23,4.4683
2012-05-24,4.4695
2012-05-25,4.4695
2012-05-26,4.4695
2012-05-27,4.4695
2012-05-28,4.4688
2012-05-29,4.4705
2012-05-30,4.4703
2012-05-31,4.471
2012-06-01,4.4705
2012-06-02,4.4705
2012-06-03,4.4705
2012-06-04,4.4719
2012-06-05,4.479
2012-06-06,4.4915
2012-06-07,4.484
2012-06-08,4.4845
2012-06-09,4.4845
2012-06-10,4.4845
2012-06-11,4.4875
2012-06-12,4.4888
2012-06-13,4.4888
2012-06-14,4.4936
2012-06-15,4.4963
2012-06-16,4.4963
2012-06-17,4.4963
2012-06-18,4.4974
2012-06-19,4.5025
2012-06-20,4.5025
2012-06-21,4.5035
2012-06-22,4.5105
2012-06-23,4.5105
2012-06-24,4.5105
2012-06-25,4.5138
2012-06-26,4.5145
2012-06-27,4.5141
2012-06-28,4.5236
2012-06-29,4.526
2012-06-30,4.526
2012-07-01,4.526
2012-07-02,4.5255
2012-07-03,4.5241
2012-07-04,4.5237
2012-07-05,4.5291
2012-07-06,4.532
2012-07-07,4.532
2012-07-08,4.532
2012-07-09,4.532
2012-07-10,4.5346
2012-07-11,4.5405
2012-07-12,4.5455
2012-07-13,4.5465
2012-07-14,4.5465
2012-07-15,4.5465
2012-07-16,4.5475
2012-07-17,4.5525
2012-07-18,4.5545
2012-07-19,4.5569
2012-07-20,4.5645
2012-07-21,4.5645
2012-07-22,4.5645
2012-07-23,4.5663
2012-07-24,4.5685
2012-07-25,4.5675
2012-07-26,4.5715
2012-07-27,4.5738
2012-07-28,4.5738
2012-07-29,4.5738
2012-07-30,4.5743
2012-07-31,4.585
2012-08-01,4.5794
2012-08-02,4.586
2012-08-03,4.5886
2012-08-04,4.5886
2012-08-05,4.5886
2012-08-06,4.592
2012-08-07,4.5954
2012-08-08,4.5969
2012-08-09,4.5985
2012-08-10,4.6018
2012-08-11,4.6018
2012-08-12,4.6018
2012-08-13,4.6045
2012-08-14,4.6063
2012-08-15,4.609
2012-08-16,4.6113
2012-08-17,4.615
2012-08-18,4.615
2012-08-19,4.615
2012-08-20,4.615
2012-08-21,4.6175
2012-08-22,4.6165
2012-08-23,4.6164
2012-08-24,4.6255
2012-08-25,4.6255
2012-08-26,4.6255
2012-08-27,4.6285
2012-08-28,4.6313
2012-08-29,4.6289
2012-08-30,4.6318
2012-08-31,4.6385
2012-09-01,4.6385
2012-09-02,4.6385
2012-09-03,4.6388
2012-09-04,4.6489
2012-09-05,4.6514
2012-09-06,4.6545
2012-09-07,4.66
2012-09-08,4.66
2012-09-09,4.66
2012-09-10,4.6605
2012-09-11,4.6605
2012-09-12,4.6613
2012-09-13,4.6645
2012-09-14,4.6715
2012-09-15,4.6715
2012-09-16,4.6715
2012-09-17,4.6738
2012-09-18,4.6765
2012-09-19,4.681
2012-09-20,4.6815
2012-09-21,4.685
2012-09-22,4.685
2012-09-23,4.685
2012-09-24,4.685
2012-09-25,4.6888
2012-09-26,4.6891
2012-09-27,4.6912
2012-09-28,4.6966
2012-09-29,4.6966
2012-09-30,4.6966
2012-10-01,4.6985
2012-10-02,4.6995
2012-10-03,4.7025
2012-10-04,4.7037
2012-10-05,4.709
2012-10-06,4.709
2012-10-07,4.709
2012-10-08,4.709
2012-10-09,4.7113
2012-10-10,4.7137
2012-10-11,4.711
2012-10-12,4.715
2012-10-13,4.715
2012-10-14,4.715
2012-10-15,4.7265
2012-10-16,4.711
2012-10-17,4.7314
2012-10-18,4.7336
2012-10-19,4.7381
2012-10-20,4.7381
2012-10-21,4.7381
2012-10-22,4.7425
2012-10-23,4.743
2012-10-24,4.7475
2012-10-25,4.7513
2012-10-26,4.752
2012-10-27,4.752
2012-10-28,4.752
2012-10-29,4.7565
2012-10-30,4.7621
2012-10-31,4.7663
2012-11-01,4.7695
2012-11-02,4.7708
2012-11-03,4.7708
2012-11-04,4.7708
2012-11-05,4.7705
2012-11-06,4.7705
2012-11-07,4.77
2012-11-08,4.774
2012-11-09,4.778
2012-11-10,4.778
2012-11-11,4.778
2012-11-12,4.78
2012-11-13,4.783
2012-11-14,4.7875
2012-11-15,4.7938
2012-11-16,4.7993
2012-11-17,4.7993
2012-11-18,4.7993
2012-11-19,4.806
2012-11-20,4.807
2012-11-21,4.8155
2012-11-22,4.8225
2012-11-23,4.8185
2012-11-24,4.8185
2012-11-25,4.8185
2012-11-26,4.8185
2012-11-27,4.8238
2012-11-28,4.8235
2012-11-29,4.8315
2012-11-30,4.837
2012-12-01,4.837
2012-12-02,4.837
2012-12-03,4.8412
2012-12-04,4.8465
2012-12-05,4.8512
2012-12-06,4.8575
2012-12-07,4.862
2012-12-08,4.862
2012-12-09,4.862
2012-12-10,4.8628
2012-12-11,4.8678
2012-12-12,4.8717
2012-12-13,4.8738
2012-12-14,4.8777
2012-12-15,4.8777
2012-12-16,4.8777
2012-12-17,4.883
2012-12-18,4.8885
2012-12-19,4.8961
2012-12-20,4.899
2012-12-21,4.9036
2012-12-22,4.9036
2012-12-23,4.9036
2012-12-24,4.9036
2012-12-25,4.9036
2012-12-26,4.9087
2012-12-27,4.912
2012-12-28,4.9137
2012-12-29,4.9137
2012-12-30,4.9137
2012-12-31,4.9155
2013-01-01,4.9155
2013-01-02,4.9237
2013-01-03,4.9262
2013-01-04,4.9257
2013-01-05,4.9257
2013-01-06,4.9257
2013-01-07,4.9305
2013-01-08,4.9315
2013-01-09,4.936
2013-01-10,4.9381
2013-01-11,4.942
2013-01-12,4.942
2013-01-13,4.942
2013-01-14,4.951
2013-01-15,4.9488
2013-01-16,4.9483
2013-01-17,4.9497
2013-01-18,4.9503
2013-01-19,4.9503
2013-01-20,4.9503
2013-01-21,4.9546
2013-01-22,4.9563
2013-01-23,4.964
2013-01-24,4.9625
2013-01-25,4.9653
2013-01-26,4.9653
2013-01-27,4.9653
2013-01-28,4.9709
2013-01-29,4.9742
2013-01-30,4.9785
2013-01-31,4.9785
2013-02-01,4.9855
2013-02-02,4.9855
2013-02-03,4.9855
2013-02-04,4.9818
2013-02-05,4.9835
2013-02-06,4.986
2013-02-07,4.9937
2013-02-08,4.996
2013-02-09,4.996
2013-02-10,4.996
2013-02-11,4.996
2013-02-12,4.996
2013-02-13,5.0033
2013-02-14,5.0045
2013-02-15,5.0115
2013-02-16,5.0115
2013-02-17,5.0115
2013-02-18,5.0113
2013-02-19,5.0217
2013-02-20,5.0217
2013-02-21,5.0295
2013-02-22,5.03
2013-02-23,5.03
2013-02-24,5.03
2013-02-25,5.0335
2013-02-26,5.038
2013-02-27,5.0405
2013-02-28,5.0453
2013-03-01,5.0472
2013-03-02,5.0472
2013-03-03,5.0472
2013-03-04,5.0535
2013-03-05,5.056
2013-03-06,5.061
2013-03-07,5.063
2013-03-08,5.0655
2013-03-09,5.0655
2013-03-10,5.0655
2013-03-11,5.0728
2013-03-12,5.0765
2013-03-13,5.079
2013-03-14,5.0863
2013-03-15,5.091
2013-03-16,5.091
2013-03-17,5.091
2013-03-18,5.0962
2013-03-19,5.0955
2013-03-20,5.0955
2013-03-21,5.102
2013-03-22,5.1112
2013-03-23,5.1112
2013-03-24,5.1112
2013-03-25,5.1178
2013-03-26,5.1184
2013-03-27,5.1213
2013-03-28,5.1213
2013-03-29,5.1213
2013-03-30,5.1213
2013-03-31,5.1213
2013-04-01,5.1213
