,USDCAD BGN Curncy
2011-03-25,0.9805
2011-03-26,0.9805
2011-03-27,0.9805
2011-03-28,0.9779
2011-03-29,0.9744
2011-03-30,0.971
2011-03-31,0.9706
2011-04-01,0.9632
2011-04-02,0.9632
2011-04-03,0.9632
2011-04-04,0.967
2011-04-05,0.9638
2011-04-06,0.9608
2011-04-07,0.9582
2011-04-08,0.9554
2011-04-09,0.9554
2011-04-10,0.9554
2011-04-11,0.9566
2011-04-12,0.9634
2011-04-13,0.9623
2011-04-14,0.9611
2011-04-15,0.9592
2011-04-16,0.9592
2011-04-17,0.9592
2011-04-18,0.9642
2011-04-19,0.9561
2011-04-20,0.9525
2011-04-21,0.9532
2011-04-22,0.9545
2011-04-23,0.9545
2011-04-24,0.9545
2011-04-25,0.9544
2011-04-26,0.9516
2011-04-27,0.9497
2011-04-28,0.9506
2011-04-29,0.9451
2011-04-30,0.9451
2011-05-01,0.9451
2011-05-02,0.9506
2011-05-03,0.9526
2011-05-04,0.9594
2011-05-05,0.9669
2011-05-06,0.9666
2011-05-07,0.9666
2011-05-08,0.9666
2011-05-09,0.9618
2011-05-10,0.9568
2011-05-11,0.9619
2011-05-12,0.9627
2011-05-13,0.9686
2011-05-14,0.9686
2011-05-15,0.9686
2011-05-16,0.9758
2011-05-17,0.9721
2011-05-18,0.9701
2011-05-19,0.9676
2011-05-20,0.9742
2011-05-21,0.9742
2011-05-22,0.9742
2011-05-23,0.978
2011-05-24,0.9767
2011-05-25,0.9774
2011-05-26,0.9777
2011-05-27,0.9761
2011-05-28,0.9761
2011-05-29,0.9761
2011-05-30,0.9771
2011-05-31,0.9685
2011-06-01,0.9772
2011-06-02,0.9759
2011-06-03,0.9778
2011-06-04,0.9778
2011-06-05,0.9778
2011-06-06,0.9809
2011-06-07,0.9745
2011-06-08,0.9793
2011-06-09,0.973
2011-06-10,0.9799
2011-06-11,0.9799
2011-06-12,0.9799
2011-06-13,0.9761
2011-06-14,0.9682
2011-06-15,0.9791
2011-06-16,0.9812
2011-06-17,0.9794
2011-06-18,0.9794
2011-06-19,0.9794
2011-06-20,0.9798
2011-06-21,0.9711
2011-06-22,0.9739
2011-06-23,0.979
2011-06-24,0.9886
2011-06-25,0.9886
2011-06-26,0.9886
2011-06-27,0.9861
2011-06-28,0.9812
2011-06-29,0.9695
2011-06-30,0.9634
2011-07-01,0.9585
2011-07-02,0.9585
2011-07-03,0.9585
2011-07-04,0.9611
2011-07-05,0.9634
2011-07-06,0.9653
2011-07-07,0.9587
2011-07-08,0.9627
2011-07-09,0.9627
2011-07-10,0.9627
2011-07-11,0.9688
2011-07-12,0.9666
2011-07-13,0.9582
2011-07-14,0.9606
2011-07-15,0.9532
2011-07-16,0.9532
2011-07-17,0.9532
2011-07-18,0.9597
2011-07-19,0.9501
2011-07-20,0.9474
2011-07-21,0.9433
2011-07-22,0.948
2011-07-23,0.948
2011-07-24,0.948
2011-07-25,0.9472
2011-07-26,0.9443
2011-07-27,0.9498
2011-07-28,0.9493
2011-07-29,0.9552
2011-07-30,0.9552
2011-07-31,0.9552
2011-08-01,0.957
2011-08-02,0.9613
2011-08-03,0.9621
2011-08-04,0.9815
2011-08-05,0.982
2011-08-06,0.982
2011-08-07,0.982
2011-08-08,0.9945
2011-08-09,0.9772
2011-08-10,0.9949
2011-08-11,0.9842
2011-08-12,0.9873
2011-08-13,0.9873
2011-08-14,0.9873
2011-08-15,0.9792
2011-08-16,0.9824
2011-08-17,0.9807
2011-08-18,0.9905
2011-08-19,0.9901
2011-08-20,0.9901
2011-08-21,0.9901
2011-08-22,0.9905
2011-08-23,0.9874
2011-08-24,0.9871
2011-08-25,0.9883
2011-08-26,0.9813
2011-08-27,0.9813
2011-08-28,0.9813
2011-08-29,0.9769
2011-08-30,0.9779
2011-08-31,0.9777
2011-09-01,0.9769
2011-09-02,0.9853
2011-09-03,0.9853
2011-09-04,0.9853
2011-09-05,0.9907
2011-09-06,0.9905
2011-09-07,0.9833
2011-09-08,0.9895
2011-09-09,0.9967
2011-09-10,0.9967
2011-09-11,0.9967
2011-09-12,0.9927
2011-09-13,0.9857
2011-09-14,0.9893
2011-09-15,0.9836
2011-09-16,0.9781
2011-09-17,0.9781
2011-09-18,0.9781
2011-09-19,0.9907
2011-09-20,0.9927
2011-09-21,1.0081
2011-09-22,1.0284
2011-09-23,1.0281
2011-09-24,1.0281
2011-09-25,1.0281
2011-09-26,1.0251
2011-09-27,1.0193
2011-09-28,1.0335
2011-09-29,1.0359
2011-09-30,1.0503
2011-10-01,1.0503
2011-10-02,1.0503
2011-10-03,1.0547
2011-10-04,1.0513
2011-10-05,1.0402
2011-10-06,1.0371
2011-10-07,1.0395
2011-10-08,1.0395
2011-10-09,1.0395
2011-10-10,1.0258
2011-10-11,1.03
2011-10-12,1.0172
2011-10-13,1.0209
2011-10-14,1.0098
2011-10-15,1.0098
2011-10-16,1.0098
2011-10-17,1.0234
2011-10-18,1.0141
2011-10-19,1.0205
2011-10-20,1.0154
2011-10-21,1.0066
2011-10-22,1.0066
2011-10-23,1.0066
2011-10-24,1.0037
2011-10-25,1.0167
2011-10-26,1.0042
2011-10-27,0.9909
2011-10-28,0.9917
2011-10-29,0.9917
2011-10-30,0.9917
2011-10-31,1.0008
2011-11-01,1.0204
2011-11-02,1.0136
2011-11-03,1.0067
2011-11-04,1.0188
2011-11-05,1.0188
2011-11-06,1.0188
2011-11-07,1.0126
2011-11-08,1.0088
2011-11-09,1.0246
2011-11-10,1.0169
2011-11-11,1.0104
2011-11-12,1.0104
2011-11-13,1.0104
2011-11-14,1.0167
2011-11-15,1.0211
2011-11-16,1.0245
2011-11-17,1.0293
2011-11-18,1.0276
2011-11-19,1.0276
2011-11-20,1.0276
2011-11-21,1.0401
2011-11-22,1.0383
2011-11-23,1.0486
2011-11-24,1.047
2011-11-25,1.0468
2011-11-26,1.0468
2011-11-27,1.0468
2011-11-28,1.0341
2011-11-29,1.0321
2011-11-30,1.0174
2011-12-01,1.0139
2011-12-02,1.0195
2011-12-03,1.0195
2011-12-04,1.0195
2011-12-05,1.0165
2011-12-06,1.01
2011-12-07,1.0099
2011-12-08,1.0232
2011-12-09,1.0169
2011-12-10,1.0169
2011-12-11,1.0169
2011-12-12,1.0271
2011-12-13,1.0343
2011-12-14,1.0397
2011-12-15,1.0351
2011-12-16,1.0383
2011-12-17,1.0383
2011-12-18,1.0383
2011-12-19,1.0389
2011-12-20,1.0298
2011-12-21,1.0266
2011-12-22,1.0203
2011-12-23,1.0206
2011-12-24,1.0206
2011-12-25,1.0206
2011-12-26,1.0196
2011-12-27,1.0186
2011-12-28,1.0244
2011-12-29,1.0199
2011-12-30,1.0213
2011-12-31,1.0213
2012-01-01,1.0213
2012-01-02,1.0189
2012-01-03,1.0104
2012-01-04,1.0127
2012-01-05,1.0198
2012-01-06,1.0284
2012-01-07,1.0284
2012-01-08,1.0284
2012-01-09,1.0235
2012-01-10,1.0154
2012-01-11,1.0196
2012-01-12,1.0191
2012-01-13,1.0232
2012-01-14,1.0232
2012-01-15,1.0232
2012-01-16,1.0179
2012-01-17,1.0151
2012-01-18,1.0112
2012-01-19,1.0108
2012-01-20,1.0132
2012-01-21,1.0132
2012-01-22,1.0132
2012-01-23,1.0086
2012-01-24,1.009
2012-01-25,1.0043
2012-01-26,1.0018
2012-01-27,1.0018
2012-01-28,1.0018
2012-01-29,1.0018
2012-01-30,1.0015
2012-01-31,1.0026
2012-02-01,0.9986
2012-02-02,0.9993
2012-02-03,0.9934
2012-02-04,0.9934
2012-02-05,0.9934
2012-02-06,0.996
2012-02-07,0.9944
2012-02-08,0.996
2012-02-09,0.9947
2012-02-10,1.0014
2012-02-11,1.0014
2012-02-12,1.0014
2012-02-13,0.9997
2012-02-14,0.9991
2012-02-15,1.0
2012-02-16,0.9966
2012-02-17,0.9968
2012-02-18,0.9968
2012-02-19,0.9968
2012-02-20,0.9935
2012-02-21,0.9969
2012-02-22,0.9998
2012-02-23,0.9975
2012-02-24,0.9993
2012-02-25,0.9993
2012-02-26,0.9993
2012-02-27,0.999
2012-02-28,0.9953
2012-02-29,0.9899
2012-03-01,0.9855
2012-03-02,0.9893
2012-03-03,0.9893
2012-03-04,0.9893
2012-03-05,0.9946
2012-03-06,1.0019
2012-03-07,0.9974
2012-03-08,0.9902
2012-03-09,0.9905
2012-03-10,0.9905
2012-03-11,0.9905
2012-03-12,0.9924
2012-03-13,0.9886
2012-03-14,0.9926
2012-03-15,0.9918
2012-03-16,0.9917
2012-03-17,0.9917
2012-03-18,0.9917
2012-03-19,0.9869
2012-03-20,0.9915
2012-03-21,0.9922
2012-03-22,0.9993
2012-03-23,0.9978
2012-03-24,0.9978
2012-03-25,0.9978
2012-03-26,0.9906
2012-03-27,0.9948
2012-03-28,0.9983
2012-03-29,0.9964
2012-03-30,0.9987
2012-03-31,0.9987
2012-04-01,0.9987
2012-04-02,0.9906
2012-04-03,0.9911
2012-04-04,0.9963
2012-04-05,0.9931
2012-04-06,0.9972
2012-04-07,0.9972
2012-04-08,0.9972
2012-04-09,0.9976
2012-04-10,1.0045
2012-04-11,1.0038
2012-04-12,0.9943
2012-04-13,0.9997
2012-04-14,0.9997
2012-04-15,0.9997
2012-04-16,0.9994
2012-04-17,0.9902
2012-04-18,0.9912
2012-04-19,0.9957
2012-04-20,0.9924
2012-04-21,0.9924
2012-04-22,0.9924
2012-04-23,0.9913
2012-04-24,0.9871
2012-04-25,0.9833
2012-04-26,0.9843
2012-04-27,0.9804
2012-04-28,0.9804
2012-04-29,0.9804
2012-04-30,0.9872
2012-05-01,0.9854
2012-05-02,0.9863
2012-05-03,0.9885
2012-05-04,0.9961
2012-05-05,0.9961
2012-05-06,0.9961
2012-05-07,0.9931
2012-05-08,0.9987
2012-05-09,1.0026
2012-05-10,1.0021
2012-05-11,1.0005
2012-05-12,1.0005
2012-05-13,1.0005
2012-05-14,1.0037
2012-05-15,1.0072
2012-05-16,1.0122
2012-05-17,1.0196
2012-05-18,1.0222
2012-05-19,1.0222
2012-05-20,1.0222
2012-05-21,1.0175
2012-05-22,1.0205
2012-05-23,1.0252
2012-05-24,1.0269
2012-05-25,1.0293
2012-05-26,1.0293
2012-05-27,1.0293
2012-05-28,1.0239
2012-05-29,1.0221
2012-05-30,1.0301
2012-05-31,1.0328
2012-06-01,1.041
2012-06-02,1.041
2012-06-03,1.041
2012-06-04,1.0394
2012-06-05,1.0381
2012-06-06,1.0276
2012-06-07,1.0279
2012-06-08,1.0266
2012-06-09,1.0266
2012-06-10,1.0266
2012-06-11,1.0317
2012-06-12,1.0264
2012-06-13,1.0303
2012-06-14,1.0226
2012-06-15,1.0217
2012-06-16,1.0217
2012-06-17,1.0217
2012-06-18,1.0243
2012-06-19,1.0178
2012-06-20,1.0183
2012-06-21,1.0297
2012-06-22,1.0246
2012-06-23,1.0246
2012-06-24,1.0246
2012-06-25,1.0292
2012-06-26,1.0238
2012-06-27,1.0249
2012-06-28,1.0332
2012-06-29,1.0166
2012-06-30,1.0166
2012-07-01,1.0166
2012-07-02,1.0171
2012-07-03,1.0122
2012-07-04,1.013
2012-07-05,1.0142
2012-07-06,1.0196
2012-07-07,1.0196
2012-07-08,1.0196
2012-07-09,1.0192
2012-07-10,1.0226
2012-07-11,1.0198
2012-07-12,1.0191
2012-07-13,1.0141
2012-07-14,1.0141
2012-07-15,1.0141
2012-07-16,1.015
2012-07-17,1.012
2012-07-18,1.0102
2012-07-19,1.0074
2012-07-20,1.0125
2012-07-21,1.0125
2012-07-22,1.0125
2012-07-23,1.0188
2012-07-24,1.0221
2012-07-25,1.0155
2012-07-26,1.0102
2012-07-27,1.0033
2012-07-28,1.0033
2012-07-29,1.0033
2012-07-30,1.0016
2012-07-31,1.0031
2012-08-01,1.0056
2012-08-02,1.0074
2012-08-03,1.0013
2012-08-04,1.0013
2012-08-05,1.0013
2012-08-06,1.0002
2012-08-07,0.997
2012-08-08,0.9942
2012-08-09,0.9911
2012-08-10,0.9911
2012-08-11,0.9911
2012-08-12,0.9911
2012-08-13,0.9926
2012-08-14,0.9923
2012-08-15,0.9894
2012-08-16,0.9866
2012-08-17,0.9893
2012-08-18,0.9893
2012-08-19,0.9893
2012-08-20,0.9884
2012-08-21,0.9892
2012-08-22,0.9914
2012-08-23,0.9939
2012-08-24,0.9923
2012-08-25,0.9923
2012-08-26,0.9923
2012-08-27,0.9907
2012-08-28,0.9882
2012-08-29,0.9894
2012-08-30,0.9925
2012-08-31,0.9863
2012-09-01,0.9863
2012-09-02,0.9863
2012-09-03,0.9858
2012-09-04,0.9859
2012-09-05,0.9905
2012-09-06,0.9827
2012-09-07,0.9786
2012-09-08,0.9786
2012-09-09,0.9786
2012-09-10,0.9776
2012-09-11,0.973
2012-09-12,0.9762
2012-09-13,0.9685
2012-09-14,0.9714
2012-09-15,0.9714
2012-09-16,0.9714
2012-09-17,0.9748
2012-09-18,0.9742
2012-09-19,0.9745
2012-09-20,0.9769
2012-09-21,0.9764
2012-09-22,0.9764
2012-09-23,0.9764
2012-09-24,0.9787
2012-09-25,0.9806
2012-09-26,0.9855
2012-09-27,0.9806
2012-09-28,0.9837
2012-09-29,0.9837
2012-09-30,0.9837
2012-10-01,0.9823
2012-10-02,0.9841
2012-10-03,0.9876
2012-10-04,0.9804
2012-10-05,0.9786
2012-10-06,0.9786
2012-10-07,0.9786
2012-10-08,0.9769
2012-10-09,0.9783
2012-10-10,0.9818
2012-10-11,0.9786
2012-10-12,0.9802
2012-10-13,0.9802
2012-10-14,0.9802
2012-10-15,0.9807
2012-10-16,0.9866
2012-10-17,0.9779
2012-10-18,0.9853
2012-10-19,0.9936
2012-10-20,0.9936
2012-10-21,0.9936
2012-10-22,0.9922
2012-10-23,0.9924
2012-10-24,0.9936
2012-10-25,0.9948
2012-10-26,0.9969
2012-10-27,0.9969
2012-10-28,0.9969
2012-10-29,1.001
2012-10-30,0.9994
2012-10-31,0.9994
2012-11-01,0.9965
2012-11-02,0.9958
2012-11-03,0.9958
2012-11-04,0.9958
2012-11-05,0.9964
2012-11-06,0.9921
2012-11-07,0.9967
2012-11-08,1.0003
2012-11-09,1.0016
2012-11-10,1.0016
2012-11-11,1.0016
2012-11-12,0.9998
2012-11-13,1.0021
2012-11-14,1.0039
2012-11-15,1.001
2012-11-16,1.0012
2012-11-17,1.0012
2012-11-18,1.0012
2012-11-19,0.9963
2012-11-20,0.9968
2012-11-21,0.9963
2012-11-22,0.9972
2012-11-23,0.9929
2012-11-24,0.9929
2012-11-25,0.9929
2012-11-26,0.9935
2012-11-27,0.9946
2012-11-28,0.9921
2012-11-29,0.9925
2012-11-30,0.9944
2012-12-01,0.9944
2012-12-02,0.9944
2012-12-03,0.9951
2012-12-04,0.9927
2012-12-05,0.9917
2012-12-06,0.9914
2012-12-07,0.9884
2012-12-08,0.9884
2012-12-09,0.9884
2012-12-10,0.9863
2012-12-11,0.9861
2012-12-12,0.9844
2012-12-13,0.9849
2012-12-14,0.9855
2012-12-15,0.9855
2012-12-16,0.9855
2012-12-17,0.9835
2012-12-18,0.9857
2012-12-19,0.9888
2012-12-20,0.9877
2012-12-21,0.9932
2012-12-22,0.9932
2012-12-23,0.9932
2012-12-24,0.993
2012-12-25,0.9924
2012-12-26,0.9943
2012-12-27,0.9952
2012-12-28,0.997
2012-12-29,0.997
2012-12-30,0.997
2012-12-31,0.9921
2013-01-01,0.9934
2013-01-02,0.9849
2013-01-03,0.9878
2013-01-04,0.9872
2013-01-05,0.9872
2013-01-06,0.9872
2013-01-07,0.9859
2013-01-08,0.9867
2013-01-09,0.9876
2013-01-10,0.9832
2013-01-11,0.9848
2013-01-12,0.9848
2013-01-13,0.9848
2013-01-14,0.9837
2013-01-15,0.9843
2013-01-16,0.9859
2013-01-17,0.9858
2013-01-18,0.9917
2013-01-19,0.9917
2013-01-20,0.9917
2013-01-21,0.9929
2013-01-22,0.9919
2013-01-23,0.9992
2013-01-24,1.0026
2013-01-25,1.0058
2013-01-26,1.0058
2013-01-27,1.0058
2013-01-28,1.0063
2013-01-29,1.0009
2013-01-30,1.0014
2013-01-31,0.9972
2013-02-01,0.9965
2013-02-02,0.9965
2013-02-03,0.9965
2013-02-04,0.9988
2013-02-05,0.9956
2013-02-06,0.9956
2013-02-07,0.9979
2013-02-08,1.002
2013-02-09,1.002
2013-02-10,1.002
2013-02-11,1.0048
2013-02-12,1.0023
2013-02-13,1.0018
2013-02-14,1.0009
2013-02-15,1.0064
2013-02-16,1.0064
2013-02-17,1.0064
2013-02-18,1.0107
2013-02-19,1.0112
2013-02-20,1.0167
2013-02-21,1.0185
2013-02-22,1.0215
2013-02-23,1.0215
2013-02-24,1.0215
2013-02-25,1.0262
2013-02-26,1.0261
2013-02-27,1.0229
2013-02-28,1.0306
2013-03-01,1.0268
2013-03-02,1.0268
2013-03-03,1.0268
2013-03-04,1.0273
2013-03-05,1.0269
2013-03-06,1.032
2013-03-07,1.0294
2013-03-08,1.0287
2013-03-09,1.0287
2013-03-10,1.0287
2013-03-11,1.0259
2013-03-12,1.0257
2013-03-13,1.0276
2013-03-14,1.0222
2013-03-15,1.0194
